,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Themes,Demographic,German,Genre,Demographics
20,,学園戦記ムリョウ,Shingu: Secret of the Stellar Wars,Shingu: Secret of the Stellar Wars,['TV'],26,Finished Airing,"May 8, 2001 to Dec 4, 2001",['Spring 2001'],Unknown,['Starchild Records'],['Nozomi Entertainment'],['Madhouse'],Original,"['Action', 'Adventure', 'Sci-Fi', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,6.96,#4553,#7346,"8,202",27,2255,"The world is about to be turned upside down for Hajime Murata. First, a strange alien ship appears over Tokyo, and then a mysterious new transfer student arrives at his school wearing an ancient school uniform. His name is Muryou, and with his arrival, everything begins to change. Students suddenly begin to display amazing psychic powers, a giant white guardian keeps appearing in the skies over the city to fight off gigantic alien creatures, and men with threatening weapons are haunting the shadows of the school grounds. With all these strange events taking place around him, Hajime is determined to figure out the truth about a world he thought he already knew. This is his story: a tale of aliens and humans, starships and spies, and friends who are often more than they appear. Join Hajime as he uncovers the mystery of Shingu: Secret of the Stellar Wars! (Source: RightStuf)",[],Gakuen Senki Muryou,Shingu: Secret of the Stellar Wars,"['Mecha', 'Space']",,Shingu: Secret of the Stellar Wars,,
21,Triangle Session,チャンス　トライアングルセッション,Chance Pop Session,Chance Pop Session,['TV'],13,Finished Airing,"May 21, 2001 to Aug 27, 2001",['Spring 2001'],Mondays at 01:30 (JST),['Avex Entertainment'],['ADV Films'],['Madhouse'],Radio,"['Drama', 'Slice of Life']",,24 min. per ep.,PG-13 - Teens 13 or older,6.44,#7449,#8149,"6,306",15,2174,"This anime is based on a 1999 radio drama about three very different girls: Akari, Yuki and Nozomi; going to see the concert of top pop idol Reika and by going to see this concert their lives are greatly influenced by it. Akari was raised in a very religious background, she is bright and cheerful and a big Reika fan. Yuki is an independent girl who ran away from her home in Hakodate. She is working in the concert hall of Reika's performance. Nozomi is the daughter from a wealthy family in Kobe. She's got one of the VIP seats at the concert. The three girls are so inspired by Reika's performance, that they all enroll in the Akiba music school and endeavor to become pop idols themselves. (Source: AnimeNfo)",[],Chance Triangle Session,Chance Pop Session,"['Idols (Female)', 'Music']",,Chance Pop Session,,
22,Princess Comet,Cosmic Baton Girl コメットさん☆,,,['TV'],43,Finished Airing,"Apr 1, 2001 to Jan 27, 2002",['Spring 2001'],Sundays at 09:30 (JST),"['Group TAC', 'TV Osaka', 'Yomiko Advertising', 'TOHO']","None found,",['Nippon Animation'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']",,24 min. per ep.,G - All Ages,7.21,#3332,#8573,"5,612",39,2217,"Comet (12 years old in human years) is the princess of the Harmonica Star country and was to meet the prince of the Tambourine Star country at a ball where he'd pick a bride. But he isn't there and so Comet is sent to Earth to find him. He'll be known by the starlight in his eyes. She finds the Earth and she loves the people she meets there. Meanwhile, Princess Meteor of the Castanet Star country also arrives on Earth in search of the prince. Comet's companion is a little puppy with a star at the end of his tail named Rubba Ball. Of course, Comet was not the first to visit the Earth and love it, another before her did as well and married. Her pet (a white cat with bunny ears and a tiny heart on her tail named Bunny) continued life as a kind of fairy in the forest. Comet's power is drawn from the stars of her home and is channeled through her baton; she also wears a special pendant from where Rubba Ball immerges, and with which she can detect and find the prince. (Source: ANN)",[],Cosmic Baton Girl Comet-san☆,,,,,,
23,PaRappa the Rapper,パラッパラッパー,,,['TV'],30,Finished Airing,"Apr 14, 2001 to Jan 11, 2002",['Spring 2001'],Unknown,"['Aniplex', 'SME Visual Works', 'Fuji TV']","None found,","['J.C.Staff', 'Production I.G']",Game,"['Comedy', 'Fantasy']",,23 min. per ep.,G - All Ages,6.32,#8176,#8777,"5,258",45,1776,"Parappa is just your ordinary talking dog; he enjoys spending time with his friends, listening to music, and going on adventures. Together with his friends, Parappa gets into many strange situations, all the while learning to navigate through life, get along with his friends, and pine for the girl of his dreams, Sunny Funny. Based on an equally quirky rhythm game, Parappa the Rapper boasts a unique flat style, blasts of color, and a string of strange but charming characters. Among Parappa’s friends are an anthropomorphized blue cat, lamb, and even a flower. Parappa's adventures range from the ordinary to the bizarre. He crosses paths with mischievous baddies, helps resolve questions of friendship and love, and even goes on trips through time itself. Nothing can change Parappa's positive outlook on life.",[],Parappa the Rapper,,,,,,
24,Ask Dr. Rin,Dr.リンにきいてみて！,,,['TV'],51,Finished Airing,"Mar 5, 2001 to Feb 25, 2002",['Spring 2001'],Mondays at 18:30 (JST),['Nihon Ad Systems'],"None found,",['Studio Comet'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",['School'],24 min. per ep.,PG - Children,6.79,#5405,#8941,"5,005",18,1253,"Kanzaki Meirin, a junior high school student, posseses fusui power which can drive away evil spirits away whenever they appeared. She is in fact, the fortune teller Dr. Rin. She is in love with her best friend, soccer club member, Yuuki Asuka. However, Yuuki does not like fortune-telling and superstitious things. (Source: ANN)","['Adaptation (Manga) Dr. Rin ni Kiitemite!', '']",Dr. Rin ni Kiitemite!,,,['Shoujo'],,,
25,Offside (2001),オフサイド,,,['TV'],39,Finished Airing,"May 10, 2001 to Jan 31, 2002",['Spring 2001'],Unknown,['Animax'],"None found,",['Ashi Productions'],['Manga'],"['Drama', 'Sports']",['Team Sports'],23 min. per ep.,G - All Ages,7.09,#3939,#9128,"4,705",26,1890,"Goro Kumagaya is an established, tall middle-school goalkeeper who wanted to enter Yokonan high-school that is considered to be among the elites in terms of its football club, only to fail and end up in the lowly-ranked school opposite to Yokonan because of an accident. However, he met Shingo, Hideki and Kazuhito Oda who are all skillful footballers there and together in the Kawasaki High School football club, they challenge Yokonan and any other schools that they have to face in order to improve and become the champions. Any setbacks that they face would instead be an opportunity for a better improvement; one of which was the discovery of Goro's natural talent as an ace striker. (Source: ANN)","['Adaptation (Manga) Offside', '']",Offside (TV),,,,,,
26,"Great Dangaioh, Dangaioh G, Haja-Kyosei G Dangaioh, G Dangaioh",破邪巨星Gダンガイオ,,,['TV'],13,Finished Airing,"Apr 6, 2001 to Jul 6, 2001",['Spring 2001'],Unknown,"None found,",['VIZ Media'],['AIC'],Original,"['Action', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,5.43,#12329,#9771,"3,836",3,1191,"A mysterious explosion on Futagami Island begins a new chapter in the Dangaioh mythos! Led by the evil Professor Katou, a band of warriors calling themselves the ""Tartarus Knights"" have begun their campaign to lay waste to the world by way of a small research station on Futagami Island. Katou's victory seems almost certain until he encounters an advanced fortress guarding the island. From it, a group of three humanoid robots are launched—Dangaioh! (Source: AniDB)","['Prequel (OVA) Haja Taisei Dangaiou', '']",Haja Kyosei G Dangaiou,,,,,,
27,Webdiver,電脳冒険記ウェブダイバー,Brain Adventure Record Webdiver,,['TV'],52,Finished Airing,"Apr 6, 2001 to Mar 23, 2002",['Spring 2001'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Animation', 'Nihon Ad Systems']",['Frontier Works'],['Radix'],Original,"['Action', 'Adventure', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG - Children,6.97,#4528,#10224,"3,310",20,1396,"Set in the year 2100 where the world is tied together by a computer network. The children of the world become Web Divers, adapting their consciousnesses into data, and love to play together in the cyber park called Magical Gate. However, a mysterious computer virus appears beginning to destroy Magical Gate from the inside out. In cyberspace, programs called Web Knights have been created to protect the children. But, the computer virus has turned all the Web Knights against the children. The only Web Knight to escape the ""brainwashing"" is Gladion. Gladion seeks the help of Kaito Yuki, a Web Diver who is in the fourth grade. (Source: ANN)",[],Dennou Boukenki Webdiver,,,,,,
28,R=D,RUN=DIM (ランディム),,Run=Dim: Comandos del Espacio,['TV'],13,Finished Airing,"Apr 1, 2001 to Jun 24, 2001",['Spring 2001'],Unknown,['TV Tokyo'],"None found,","['Idea Factory', 'Digital Dream Studios']",Game,"['Action', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,4.74,#13496,#10689,"2,889",5,645,"In the year 2050 A.D, approximately 1/10th of Japan is now under water due to the global warming effect. The city of Tokyo was no exception. The economy of Japan is crippled from this disaster and the government is willing for anything to help revive the country. As a result, the Japanese government forms ""JESAS"", a military foundation that has evil intentions of controlling Japan's future. JESAS handles the dumping of nuclear wastes into outer space. To insure their protection from other countries, JESAS has developed ""R.B."" Robotic Weaponry, which is controlled by pilots with ""A.I. (Accurate Intuition)"". On the opposite side of the law is the ""Green Frontier"", a united protection agency that was formed by countries sharing the same beliefs, to save the Earth. Featuring JESAS pilots Kanna and Kazuto and Green Frontier's Doota Kang and Mira Yu, these four youngsters will decide the fate of the Earth through love, friendship and the passion for their duty. (Source: AniDB)",[],Run=Dim,,,,,,
29,I Love You! BuBu ChaCha,だいすき! ぶぶチャチャ,I love BuBu ChaCha,,['TV'],26,Finished Airing,"May 10, 2001 to Nov 29, 2001",['Spring 2001'],Unknown,['Amino'],"None found,",['Daume'],Original,,['Pets'],25 min. per ep.,G - All Ages,7.03,#4263,#11761,"2,093",6,1023,"The anime talks about a little boy, Randy, whose dog, Chacha, died in an accident and was reincarnated into a living toy car. Each episode is told like the chapter of a storybook, where Randy learns a valuable thing in life with his cartoonish and goofy friend Chacha. Randy meets several friends in his neighbourhood, such as Catherine, the tall blonde girl in red long socks who rides a bicycle, or Mary, a little hot-tempered brunette girl dressed as a maid and who carries around a mop. (Source: ANN)","['Prequel (TV) Norimono Oukoku BuBu ChaCha', '']",Daisuki! BuBu ChaCha,,,['Kids'],,,
30,,바스토프 레몬,BASToF Syndrome,,['TV'],26,Finished Airing,"May 3, 2001 to Nov 15, 2001",['Spring 2001'],Unknown,"None found,",['ADV Films'],['Dongwoo A&E'],Unknown,"['Adventure', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,6.11,#9320,#12665,"1,568",2,389,"The story takes place in the year 2097 and in the city of Xenon. An ultimate cyber game, where players fight as bio-mechanical cyber robots, has been developed. However, there's something wrong. The game's cyberspace and the real world are linked. The damage that occurs in the game's cyberspace creates destruction in the city of Xenon. This all started when players heard a painful scream, saw a ghostly face, and a powerful scent of lemon overcame them. To solve this mystery, the creator of the game assembles a ""Dream Team,"" which is the top three gamers in all of Xenon. The team is composed of rebellious and arrogant teens, who, have to overcome their attitudes and fears to find the answers, answers to the mystery that are much bigger than just the game. (Source: Wikipedia)",[],Genei Toushi Bastof Lemon,,,,,,
31,,パチスロ貴族 銀,,,['TV'],23,Finished Airing,"Apr 12, 2001 to Sep 20, 2001",['Spring 2001'],Unknown,"['Actas', 'Yomiko Advertising', 'Fuji TV']","None found,",['A-Line'],['Manga'],"['Action', 'Suspense']",,22 min. per ep.,None,5.90,#10461,#12799,"1,503",0,196,"Ginya Otonashi is a college dropout who works part-time for a pachislot publishing company while aspiring to become a novelist. One day, Ginya comes across a secret organization and gets pulled into a competition to become #1 in ""Pachi Battle,"" which is all a part of the Slotseum, a pachislot competition. (Source: ANN)",[],Pachislo Kizoku Gin,,"['Adult Cast', 'High Stakes Game', 'Strategy Game']",,,,
32,Let's Go Quintuplets,ゴーゴー五つ子ら・ん・ど,,,['TV'],50,Finished Airing,"Apr 14, 2001 to Mar 30, 2002",['Spring 2001'],Unknown,['Eiken'],"None found,",['Magic Bus'],Unknown,,['School'],20 min. per ep.,G - All Ages,6.42,#7571,#13942,"1,093",1,388,"The series is about five quintuplets, Kabuto, Hinoki, Arashi, Kinoko and Kodama Morino, who have all kinds of adventures together. Each has their own talent and personality.",[],Go! Go! Itsutsugo Land,,,,,,
33,"Gyoten Ningen Batsealer, Gyoten Ningen Batseelor, Gyouten Ningen Batseelor, Gyoten Ningen Batoshiiraa",仰天人間バトシーラー,Captain Fatz and the Seamorphs,,['TV'],52,Finished Airing,"Apr 7, 2001 to Mar 30, 2002",['Spring 2001'],Unknown,['Group TAC'],"None found,","None found,",Unknown,"['Action', 'Adventure', 'Fantasy']",,25 min. per ep.,PG - Children,6.46,#7359,#15215,763,3,190,"With the ability to transcend time, Captain Fatz and comrades embarked on a journey of battle and adventure to gather the eight scattered stone pieces (namely Light, Darkness, Fire, Water, Air, Earth, Wood & Metal) which was granulated by the lord of destruction, in order to restore the chaotic world back to peace.",[],Gyouten Ningen Batsealer,,,,,,
34,,探偵少年カゲマン,,,['TV'],39,Finished Airing,"Apr 10, 2001 to Jan 16, 2002",['Spring 2001'],Unknown,['Shogakukan Productions'],"None found,",['Studio Hibari'],Unknown,"['Comedy', 'Mystery']",,11 min. per ep.,G - All Ages,[],#14758,#17930,427,0,,Kageman is a boy who wants to become the best detective in the world. Each of the self-contained episode features a fun guessing game and unriddling of a case. (Source: AniDB),[],Tantei Shounen Kageman,,,,,,
35,Tangoo & Ullashong,탱구와 울라숑,,,['TV'],26,Finished Airing,"Mar 23, 2001 to Oct 12, 2001",['Spring 2001'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Comedy']",['Mecha'],22 min. per ep.,PG - Children,[],#14682,#18708,368,4,,The series follows a boy named Tangoo and a robot named Ullashong.,[],Taeng-gu & Ulasyong,,,,,,
36,OP,ONE PIECE,One Piece,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,634","234,850",1420266,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,['Shounen'],,,
37,Inu Yasha,犬夜叉,InuYasha,Inuyasha,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,227","19,338",402579,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",['Shounen'],,,
38,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",ポケットモンスター,Pokémon,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,564",411340,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,Pokémon,,['Kids'],Pokémon,,
39,"The First Step, Hajime no Ippo: The Fighting",はじめの一歩 THE FIGHTING!,Fighting Spirit,Hajime no Ippo: Espíritu de Lucha,['TV'],75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",['Fall 2000'],Tuesdays at 00:50 (JST),['VAP'],"['Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],,['Combat Sports'],23 min. per ep.,PG-13 - Teens 13 or older,8.78,#37,#360,"638,244","23,544",315401,"In his father's absence, teenager Ippo Makunouchi works hard to help his mother run her fishing boat rental business. Ippo's timid nature, his lack of sleep, and the sea smell make him an easy target for relentless bullies who leave him bruised and beaten on a daily basis. Mamoru Takamura, an up-and-coming boxer, rescues Ippo from a violent after-school incident and takes him back to the Kamogawa Boxing Gym for recovery. Takamura and his fellow boxers, Masaru Aoki and Tatsuya Kimura, are stunned by Ippo's powerful punches—a result of strong muscles developed through years serving his physically taxing family business. Following brief training under Takamura, Ippo impresses the other boxers in a practice match against prodigy Ichirou Miyata. He gains a rival in Miyata and a coach in Genji Kamogawa, the gym owner and a former boxer himself. As Ippo takes the first steps in his official boxing career, he faces off against a series of challenging opponents, each more powerful than the last. Victory, loss, and a cycle of dedicated training await Ippo on his journey to achieve greatness. With his tough body and unstoppable fighting spirit, the kind young man seeks to take on the world. [Written by MAL Rewrite]","['Sequel (TV Special) Hajime no Ippo: Champion Road', 'Adaptation (Manga) Hajime no Ippo']",Hajime no Ippo,IPPO Le Challenger,,['Shounen'],,['Sports'],
40,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Strategy Game'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#603,"412,205","5,011",259909,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,Yu-Gi-Oh!,,['Shounen'],,,
41,Detective Conan,名探偵コナン,Case Closed,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#705,"360,897","15,328",164370,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,,['Shounen'],Case Closed,,
42,,グラップラー刃牙,Baki the Grappler,,['TV'],24,Finished Airing,"Jan 9, 2001 to Jun 26, 2001",['Winter 2001'],Unknown,['Free-Will'],['Funimation'],['Group TAC'],['Manga'],,,25 min. per ep.,PG-13 - Teens 13 or older,7.45,#2174,#1600,"156,152",877,80359,"Ever since he was born, Baki Hanma has always known nothing but fighting—strengthening every single muscle and learning different techniques from various martial arts under the supervision of his mother, Emi Akezawa. He trains in order to prepare himself to face and eventually surpass his own father, Yuujirou Hanma, a man feared by the masses as the ""Ogre"" and deemed the strongest being in the world. However, when Baki realizes his mother's techniques are no longer enough, he sets out to become stronger in his own way. Seeking out powerful opponents and forming unbreakable bonds with them, he continues to grow both body and his soul, as the clock continues to tick closer toward the inevitable showdown against his father... [Written by MAL Rewrite]","['Sequel (TV) Grappler Baki: Saidai Tournament-hen', 'Sequel (OVA) Baki: Most Evil Death Row Convicts Special Anime', 'Adaptation (Manga) Grappler Baki', '']",Grappler Baki (TV),Baki the Grappler,"['Combat Sports', 'Gore']",['Shounen'],,['Sports'],
43,,爆転シュート　ベイブレード,Beyblade,,['TV'],51,Finished Airing,"Jan 8, 2001 to Dec 24, 2001",['Winter 2001'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'd-rights']","['Nelvana', 'Discotek Media']",['Madhouse'],['Manga'],"['Adventure', 'Comedy', 'Sports']",,23 min. per ep.,PG - Children,6.79,#5399,#1983,"118,032",409,74369,"Thirteen-year-old Tyson Granger (Takao Kinomiya), along with his fellow teammates, Kai Hiwatari, Max Tate (Max Mizuhura), and Ray Kon (Rei Kon), strive to become the greatest Beybladers in the world. With the technical help of the team's resident genius, Kenny (Kyouju), and with the powerful strength of their BitBeasts, the Bladebreakers armed with their tops (AKA: Blades) attempt to reach their goal. (Source: ANN)","['Sequel (TV) Bakuten Shoot Beyblade 2002', 'Adaptation (Manga) Bakuten Shoot Beyblade']",Bakuten Shoot Beyblade,,,['Kids'],Beyblade,,
44,"Big O Roger, Big O",THEビッグオー,The Big O,,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Mystery', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,850","1,013",39647,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,,"['Adult Cast', 'Mecha', 'Psychological']",,,,
45,,クレヨンしんちゃん,Shin Chan,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],21 min.,G - All Ages,7.80,#1030,#2402,"88,099","1,330",42203,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,['Seinen'],Shin Chan,,
46,,ドラえもん,Doraemon,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Anthropomorphic'],11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,,,,"['Kids', 'Shounen']"
