,Japanese,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,English,Theme,Genre,German,Spanish,French,Demographics
0,SPY×FAMILY,['TV'],12,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",['Spring 2022'],Saturdays at 23:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shueisha']",['Funimation'],"['Wit Studio', 'CloverWorks']",['Manga'],"['Action', 'Award Winning', 'Comedy']","['Childcare', 'Super Power']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.47,#155,#61,"1,707,438","40,076",1048213,"Corrupt politicians, frenzied nationalists, and other warmongering forces constantly jeopardize the thin veneer of peace between neighboring countries Ostania and Westalis. In spite of their plots, renowned spy and master of disguise ""Twilight"" fulfills dangerous missions one after another in the hope that no child will have to experience the horrors of war. In the bustling Ostanian city of Berlint, Twilight dons the alias of ""Loid Forger,"" an esteemed psychiatrist. However, his true intention is to gather intelligence on prominent politician Donovan Desmond, who only appears rarely in public at his sons' school: the prestigious Eden Academy. Enlisting the help of unmarried city hall clerk Yor Briar to act as his wife and adopting the curious six-year-old orphan Anya as his daughter, Loid enacts his master plan. He will enroll Anya in Eden Academy, where Loid hopes she will excel and give him the opportunity to meet Donovan without arousing suspicion. Unfortunately for Loid, even a man of his talents has trouble playing the figure of a loving father and husband. And just like Loid is hiding his true identity, Yor—who is an underground assassin known as ""Thorn Princess""—and Anya—an esper who can read people's minds—have no plans to disclose their own secrets either. Although this picture-perfect family is founded on deception, the Forgers gradually come to understand that the love they share for one another trumps all else. [Written by MAL Rewrite]","['Sequel (TV) Spy x Family Part 2', 'Adaptation (Manga) Spy x Family']",Spy x Family,,,,,,,,
1,かぐや様は告らせたい-ウルトラロマンティック-,['TV'],13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",['Spring 2022'],Saturdays at 00:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],['A-1 Pictures'],['Manga'],"['Comedy', 'Romance']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,8.99,#13,#168,"1,008,850","32,138",572242,"The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends. Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code. As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts. [Written by MAL Rewrite]","['Prequel (TV) Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Sequel (Movie) Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai', 'Adaptation (Manga) Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', '']",Kaguya-sama wa Kokurasetai: Ultra Romantic,"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season, Kaguya-sama: Love is War Season 3rd Season",Kaguya-sama: Love is War -Ultra Romantic-,['School'],,,,,
2,盾の勇者の成り上がり Season2,['TV'],13,Finished Airing,"Apr 6, 2022 to Jun 29, 2022",['Spring 2022'],Wednesdays at 22:00 (JST),"['Frontier Works', 'AT-X', 'Nippon Columbia', 'Glovision', 'Good Smile Company', 'Sammy', 'Crunchyroll', 'Kadokawa Media House', 'NTT Plala', 'Kadokawa']","None found,","['Kinema Citrus', 'DR Movie']",['Light novel'],"['Action', 'Adventure', 'Drama', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.52,#6955,#253,"810,323","12,305",295426,"With another Wave happening in a week, Naofumi Iwatani and his party have no time to waste. However, when bat familiars raid Lurolona Village and the Wave countdown comes to a halt, the Four Cardinal Heroes reconvene with the queen, Mirelia Q Melromarc, for a quick briefing. The queen presumes that the odd occurrences are linked to the Spirit Tortoise—a threatening creature that has awakened from its slumber, back to cause havoc once again. A plan to put the Spirit Tortoise to rest is devised—but out of the four men, only the cursed Shield Hero agrees to help. [Written by MAL Rewrite]","['Prequel (TV) Tate no Yuusha no Nariagari', 'Sequel (TV) Tate no Yuusha no Nariagari Season 3', 'Adaptation (Manga) Tate no Yuusha no Nariagari', 'Adaptation (Light Novel) Tate no Yuusha no Nariagari']",Tate no Yuusha no Nariagari Season 2,Tate no Yuusha no Nariagari 2nd Season,The Rising of the Shield Hero Season 2,['Isekai'],,,,,
3,サマータイムレンダ,['TV'],25,Finished Airing,"Apr 15, 2022 to Sep 30, 2022",['Spring 2022'],Fridays at 00:00 (JST),"['Shogakukan-Shueisha Productions', 'Movic', 'MAGES.', 'Tokyo MX', 'Shueisha', ""Toy's Factory"", 'Bandai Spirits']","None found,",['OLM'],['Manga'],"['Mystery', 'Supernatural', 'Suspense']",,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),8.47,#156,#388,"597,499","10,146",251587,"Since the death of his parents, Shinpei Ajiro had lived with the Kofune family and their two daughters—Mio and Ushio. Although he then left his home island to continue his education in Tokyo, Shinpei returns after Ushio tragically drowns during the attempted rescue of a little girl. During the funeral, his best friend informs him about bruises found around Ushio's neck, casting doubt over the cause of her death. Suspecting a murder has taken place, Shinpei reevaluates recent events, but strange incidents only continue to transpire. Disappearing people and other unexplainable occurrences lead Mio to recall an old folktale referring to entities called ""Shadows,"" which may not be entirely fantasy. Supposedly, an encounter with one's Shadow foretells the person's impending demise. Facing the dark side of Hitogashima Island, Shinpei stands against his grim fate to fulfill Ushio's final will—to protect Mio. [Written by MAL Rewrite]","['Adaptation (Manga) Summertime Render', '']",Summertime Render,,Summer Time Rendering,['Time Travel'],,,,,
4,可愛いだけじゃない式守さん,['TV'],12,Finished Airing,"Apr 10, 2022 to Jul 10, 2022",['Spring 2022'],Sundays at 02:00 (JST),"['Kodansha', 'NBCUniversal Entertainment Japan', 'ABC Animation']","['Crunchyroll', 'Muse Communication']",['Doga Kobo'],['Web manga'],"['Comedy', 'Romance']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.93,#4675,#406,"575,177","5,077",246847,"Yuu Izumi leads a high school life filled with one mishap after another. No matter how improbable the situation, unfortunate events strike him at every turn. In possession of such terrible luck, Izumi enters his second year with a single wish in mind—to spend more time with his affectionate girlfriend, Micchon Shikimori. Cute, athletic, and caring, Shikimori is immensely popular at their school. But since they began dating a year ago, Izumi has witnessed a surprising side to his otherwise adorable girlfriend: when the need arises, she turns incredibly cool! His misfortunes are easily avoided when she is there to protect him with an awe-inspiring look on her face. Charming in every way, she never ceases to make his heart skip a beat. Unfortunate as he may be, Izumi is sure to see his days of bad luck end thanks to the cute yet cool Shikimori. [Written by MAL Rewrite]","['Adaptation (Manga) Kawaii dake ja Nai Shikimori-san', '']",Kawaii dake ja Nai Shikimori-san,"Shikimori's Not Just a Cutie, Miss Shikimori is not just cute, That Girl Is Not Just Cute",Shikimori's Not Just a Cutie,['School'],,,,,
5,古見さんは、コミュ症です。 2,['TV'],12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022",['Spring 2022'],Thursdays at 00:00 (JST),"['TV Tokyo', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Half H.P Studio', 'Nippon Columbia']","None found,",['OLM'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.01,#652,#456,"518,261","3,942",258495,"After an exciting and momentous cultural festival, Shouko Komi continues her endeavor to make one hundred friends alongside her friend and classmate Hitohito Tadano. As winter begins, the class is joined by the seemingly delinquent student Makoto Katai, who has been absent since the first week of school. Despite his intimidating appearance, Katai has difficulty communicating with others and just wants to befriend his classmates. As new friendships form and current ones deepen, Komi and Tadano’s relationship begins to change—though not necessarily for the worse. [Written by MAL Rewrite]","['Prequel (TV) Komi-san wa, Comyushou desu.', 'Adaptation (Manga) Komi-san wa, Comyushou desu.']","Komi-san wa, Comyushou desu. 2nd Season","Komi-san wa, Communication Shougai desu. 2",Komi Can't Communicate Season 2,['School'],['Comedy'],,,,
6,トモダチゲーム,['TV'],12,Finished Airing,"Apr 6, 2022 to Jun 22, 2022",['Spring 2022'],Wednesdays at 01:29 (JST),"['Kodansha', 'Studio Mausu', 'Nippon Television Network', 'King Records']",['Crunchyroll'],['Okuruto Noboru'],['Manga'],,"['High Stakes Game', 'Psychological', 'Strategy Game']",['Shounen'],22 min. per ep.,R - 17+ (violence & profanity),7.72,#1241,#554,"441,032","4,269",228653,"High school student Yuuichi Katagiri cherishes his close circle of friends, composed of four classmates: Yutori Kokorogi, Shiho Sawaragi, Makoto Shibe, and Tenji Mikasa. However, when the funds for the upcoming school trip are stolen, the incident causes Shiho and Makoto—who had been tasked with collecting the money—to distance themselves from the rest of their class. Soon after, Yuuichi and his friends are deceived into meeting up and knocked unconscious by unknown assailants. After waking, the group find themselves confined in a white room with controversial figure Manabu-kun, who reveals that one of the five has gathered them together to clear their personal debt of twenty million yen. To pay off the amount, they must participate in a variety of psychological games that will test the true nature of their friendship and humanity. Distressed and isolated from the outside world, Yuuichi and his friends need to cooperate to complete the games. But as their concealed feelings and problematic pasts begin to surface, their seemingly unbreakable bond may soon shatter into irreparable pieces. [Written by MAL Rewrite]","['Adaptation (Manga) Tomodachi Game', '']",Tomodachi Game,Friends Game,Tomodachi Game,,['Suspense'],,,,
7,阿波連さんははかれない,['TV'],12,Finished Airing,"Apr 2, 2022 to Jun 18, 2022",['Spring 2022'],Saturdays at 02:25 (JST),['bilibili'],['Crunchyroll'],['Felix Film'],['Manga'],"['Comedy', 'Romance']","['Love Status Quo', 'School']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2913,#706,"359,762","2,290",154314,"Beginning his first year of high school, all Matsuboshi Raidou wants is to make friends—starting with the cute, tiny, and soft-spoken Reina Aharen, who sits right next to him in class. Unbeknownst to Raidou, Reina shares the same sentiment, but she has a problem. Awkward and timid, Reina is incapable of determining how chummy she has to be when approaching a person. Due to Reina's complete inability to gauge personal space, the two struggle to spark their unlikely friendship, as even the simplest tasks like talking seem impossible for them. But despite the countless yet pointless challenges that hinder the pair, the overly imaginative Raidou will do whatever it takes to befriend the indecipherable Reina. [Written by MAL Rewrite]","['Sequel (TV) Aharen-san wa Hakarenai Season 2', 'Adaptation (Manga) Aharen-san wa Hakarenai']",Aharen-san wa Hakarenai,Aharen Is Indecipherable,Aharen-san wa Hakarenai,,,,,,
8,乙女ゲー世界はモブに厳しい世界です,['TV'],12,Finished Airing,"Apr 3, 2022 to Jun 19, 2022",['Spring 2022'],Sundays at 22:00 (JST),"['AT-X', 'Sammy', 'bilibili', 'Kadokawa Media House', 'Kadokawa', 'Micro Magazine Publishing', 'Micro House']",['Crunchyroll'],['ENGI'],['Light novel'],"['Action', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'Mecha', 'Reincarnation', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2749,#740,"343,511","2,242",178465,"Blackmailed into playing a dating simulator set in a matriarchy, an ordinary man must put up with the unbearable and convoluted world until he clears the game. After countless days of grinding, he finally manages to beat it, but his hardcore gaming comes at a cost: extreme sleep deprivation and hunger. While heading out to the convenience store to solve one of these problems, the man tumbles down the stairs and falls unconscious, only to wake up to the worst possible realization—he has been reincarnated into the game as the mob character Leon Fou Bartfort. Now trapped in a world he despises, Leon must use his knowledge of the game to navigate through the plot safely and sustain himself in a society where the odds are heavily stacked against him. [Written by MAL Rewrite]","['Sequel (TV) Otome Game Sekai wa Mob ni Kibishii Sekai desu 2nd Season', 'Adaptation (Manga) Otome Game Sekai wa Mob ni Kibishii Sekai desu', 'Adaptation (Light Novel) Otome Game Sekai wa Mob ni Kibishii Sekai desu', '']",Otome Game Sekai wa Mob ni Kibishii Sekai desu,"Otomege Sekai wa Mob ni Kibishii Sekai desu, Mobseka, Mobuseka",Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,,,,,,
9,骸骨騎士様、只今異世界へお出掛け中,['TV'],12,Finished Airing,"Apr 7, 2022 to Jun 23, 2022",['Spring 2022'],Thursdays at 23:30 (JST),"['Pony Canyon', 'AT-X', 'DAX Production', 'Docomo Anime Store', 'Overlap', 'Crunchyroll', 'Muse Communication', 'MAGNET']","None found,","['Studio Kai', 'HORNETS']",['Light novel'],"['Action', 'Adventure', 'Fantasy']",,,23 min. per ep.,R - 17+ (violence & profanity),7.15,#3658,#752,"340,441","1,777",171548,"After falling asleep while playing an online game, a man wakes up and finds himself transported to that game's world as his in-game character, Arc. He wastes no time adjusting to his new environment, but soon realizes that he is using the skeleton avatar he chose when creating his character, which forces him to hide his visage to avoid unwanted attention. Arc goes to the nearby castle town of Luvierte, hoping to become an adventurer and take on quests to earn money. With his overpowered abilities, Arc embarks on a fantastical journey—exploring diverse territories, looting various monsters, and helping people get out of sticky situations. However, his seemingly innocuous actions may soon involve him in a brewing large-scale conflict that will forever alter the fate of the realm. [Written by MAL Rewrite]","['Sequel (TV) Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu II', 'Adaptation (Manga) Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu', 'Adaptation (Light Novel) Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu', '']","Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Skeleton Knight going out to the parallel universe,Skeleton Knight in Another World,['Isekai'],,,,,
