,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Genre,German,Spanish,Theme,Demographics
0,Furuba,フルーツバスケット,Fruits Basket,['TV'],26,Finished Airing,"Jul 5, 2001 to Dec 27, 2001",['Summer 2001'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'King Records']",['Funimation'],['Studio Deen'],['Manga'],"['Drama', 'Romance', 'Supernatural']","['Love Polygon', 'School']",['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1332,#429,"553,059","9,731",288792,"After the accident in which she lost her mother, 16-year-old Tooru moves in with her grandfather, but due to his home being renovated, is unable to continue living with him. Claiming she will find someone to stay with but also fearing the criticism of her family and not wanting to burden any of her friends, Tooru resorts to secretly living on her own in a tent in the woods. One night on her way back from work, she finds her tent buried underneath a landslide. Yuki Souma, the ""prince"" of her school, and his cousin Shigure Souma, a famous author, stumble across Tooru's situation and invite her to stay with them until her grandfather's home renovations are complete. Upon arriving at the Souma house, Tooru discovers their secret: if a Souma is hugged by someone of the opposite gender, they temporarily transform into one of the animals of the zodiac! However, this strange phenomenon is no laughing matter; rather, it is a terrible curse that holds a dark history. As she continues her journey, meeting more members of the zodiac family, will Tooru's kindhearted yet resilient nature be enough to prepare her for what lies behind the Souma household's doors? [Written by MAL Rewrite]","['Adaptation (Manga) Fruits Basket Read Manga', '']",Fruits Basket,,,,,,
1,,シャーマンキング,Shaman King,['TV'],64,Finished Airing,"Jul 4, 2001 to Sep 25, 2002",['Summer 2001'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music']","['4Kids Entertainment', 'Discotek Media']",['Xebec'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.73,#1204,#673,"375,040","3,721",199522,"A battle is about to begin in Tokyo: the Shaman Fight, a tournament held every five hundred years where shaman—those who can command spirits—confront each other in combat. The victor of this contest becomes the Shaman King and the only one who is able to contact and control the Great Spirit, allowing them to reshape the world as they please through its immense power. During a late night walk, Manta Oyamada runs into his classmate, the carefree You Asakura, who invites him to come stargazing with some friends, who, to Manta's horror, turn out to be ghosts from a local cemetery! However, the knowledge that Manta possesses—a rare sixth sense that allows Manta to see these spirits—endears the boy to You. So when You finds out that his new comrade has been beaten up by a local gang, he decides to avenge him with the help of Amidamaru, a samurai ghost whose tomb was broken by the gang leader. Soon Manta uncovers more about the world of spirits, including the Shaman Fight, in which his new friend You aims to claim victory. [Written by MAL Rewrite]","['Adaptation (Manga) Shaman King Read Manga', '']",Shaman King,,,,,,
2,"Baki the Grappler II, Grappler Baki Second Season, Baki The Grappler - The Ultimate Tournament, Grappler Baki Maximum Tournament",グラップラー刃牙(バキ) 最大トーナメント編,Baki the Grappler: Saidai Tournament-hen,['TV'],24,Finished Airing,"Jul 24, 2001 to Dec 25, 2001",['Summer 2001'],Unknown,"None found,",['Funimation'],['Group TAC'],['Manga'],,"['Combat Sports', 'Gore']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.48,#2051,#2258,"98,047",285,54294,"Mitsunari Tokugawa, the organizer of the historic Tokugawa underground fighting ring, has created a tournament featuring 38 of the world's best fighters, many of whom are grandmasters in their respective form of martial arts. With the exception of weapons, anything goes in Tokugawa's ring so that each fighter is able to showcase their true power and strongest secret moves. Baki Hanma earned a place in the tournament due to his status as the reigning champion of Tokugawa's fighting ring. Will he be able to come out on top? [Written by MAL Rewrite]","['Prequel (TV) Grappler Baki (TV)', 'Sequel (OVA) Baki: Most Evil Death Row Convicts Special Anime', 'Sequel (ONA) Baki', 'Adaptation (Manga) Grappler Baki']",Grappler Baki: Saidai Tournament-hen,Baki The Grappler Saison 2: Maximum Tournament,['Sports'],,,,
3,Scryed,スクライド,s-CRY-ed,['TV'],26,Finished Airing,"Jul 4, 2001 to Dec 26, 2001",['Summer 2001'],Wednesdays at 18:00 (JST),['Yomiko Advertising'],"['Bandai Entertainment', 'Sentai Filmworks', 'Discotek Media']",['Sunrise'],Original,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.35,#2592,#2451,"85,567",677,39543,"A strange environmental phenomenon 22 years ago in the Kanazawa prefecture caused the land to split and protrude upwards reaching unprecedented heights, creating the secluded area known as The Lost Ground. Kazuma is a young mercenary who lives in the Lost Ground, looking for any work he can find to sustain his livelihood within the harsh environment. He is one of the few people that are gifted with the Alter ability, which allows him to plaster his right arm and torso with a metallic alloy. When this mercenary encounters HOLY, an order whose purpose is to suppress and capture what they call Native Alter Users, and one of the elite members of HOLY, Ryuho, an epic rivalry begins. (Source: ANN)","['Adaptation (Manga) s.CRY.ed', 'Adaptation (Light Novel) s.CRY.ed After']",s.CRY.ed,s-CRY-ed,,s-CRY-ed,s-CRY-ed,['Super Power'],
4,Ai Mai Mi! Strawberry Egg,あぃまぃみぃ！ストロベリー・エッグ,I My Me! Strawberry Eggs,['TV'],13,Finished Airing,"Jul 4, 2001 to Sep 26, 2001",['Summer 2001'],Wednesdays at 18:30 (JST),"['TBS', 'Pioneer LDC', 'Toshiba Digital Frontiers']",['Geneon Entertainment USA'],['TNK'],Original,"['Comedy', 'Drama', 'Romance']","['Crossdressing', 'School']",,22 min. per ep.,PG-13 - Teens 13 or older,6.74,#5681,#3755,"40,242",103,20503,"Amawa Hibiki is a young man just out of college, with an education to be an athletics teacher. He's been having a hard time finding a job since he graduated, so all his money has gone towards living expenses. When his landlady demands his first payment to live in her living establishment upfront, he heads to the local middle school to get hired as a teacher. However, the principal refuses to hire him without hesitation. She will not hire men as teachers and makes it clear that she hates all men, saying they put no love into their passions and work. Amawa does not give up and with the help of his landlady, he crossdresses as a woman without a second thought, and gets hired, so he can earn money and also prove the principal wrong. Now, he has to keep his real gender a secret, and avoid strange situations, including the affections of his students (from both genders). (Source: ANN)","['Adaptation (Manga) I My Me! Strawberry Eggs', '']",I My Me! Strawberry Eggs,,,,,,
5,Battle Flag of the Stars II,星界の戦旗 II,Banner of the Stars II,['TV'],10,Finished Airing,"Jul 11, 2001 to Sep 26, 2001",['Summer 2001'],Unknown,"['Bandai Visual', 'WOWOW']","['Funimation', 'Bandai Entertainment']",['Sunrise'],['Light novel'],"['Action', 'Romance', 'Sci-Fi']","['Military', 'Space']",,25 min. per ep.,PG-13 - Teens 13 or older,7.77,#1111,#4692,"24,904",127,12432,"Due to a lack of ambassadors for the recently-conquered worlds the rapidly advancing fleet of the Bebaus brothers leave behind, Lafiel is appointed Territorial Ambassador of the planet Lobnas II. Upon arriving to the planet Jinto and Lafiel discover that the planet was used by the United Mankind as a prison planet and now has a million prisoners on the only inhabited island. The prisoners are parted in three blocks. The western where women are housed, the eastern belongs to the men and the central is mixed under the restriction that all prisoners living there are sterilized. The women in the western sector want to emigrate from the planet of fear for the men and when they do the men in the east rebel, overthrowing the guards and capturing Jinto to try to stop the emigration of the women. At the same time an enemy fleet heads toward the system forcing Lafiel to abandon Jinto. (Source: ANN)","['Prequel (TV) Seikai no Senki', 'Sequel (OVA) Seikai no Senki III', 'Adaptation (Light Novel) Seikai no Senki', '']",Seikai no Senki II,,,,,,
6,,SAMURAI GIRL　リアルバウトハイスクール,Samurai Girl Real Bout High School,['TV'],13,Finished Airing,"Jul 30, 2001 to Oct 22, 2001",['Summer 2001'],Mondays at 20:30 (JST),"['Kadokawa Shoten', 'Pony Canyon', 'Kids Station']",['Tokyopop'],['Gonzo'],['Light novel'],"['Action', 'Comedy', 'Fantasy']","['Martial Arts', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,5.90,#10417,#6438,"11,219",11,4550,"At Daimon High School, kids settle their disputes by dueling with each other in the school's official K-Fight battle arena. Ryoko Mitsurugi, samurai girl and undefeated K-Fight champion, is called upon by a mysterious Priestess to protect the Earth from an invasion coming from the alternate universe of Solvania. She must face battles that will test her skills, her friendships, and her heart in order to find her true strength as a samurai warrior. (Source: ANN)","['Adaptation (Light Novel) Shoukan Kyoushi Real Bout High School', 'Adaptation (Manga) Real Bout High School']",Samurai Girl Real Bout High School,,,,,,
7,"Mahou Shoujo Neko Taruto, MNNT",魔法少女猫[まじかる にゃん にゃん]たると,Magical Meow Meow Taruto,['TV'],12,Finished Airing,"Jul 5, 2001 to Sep 27, 2001",['Summer 2001'],Thursdays at 18:00 (JST),"['Bandai Visual', 'Dentsu', 'Omnibus Promotion']",['Bandai Entertainment'],"['Madhouse', 'TNK']",['Manga'],,,,22 min. per ep.,G - All Ages,6.19,#8869,#7237,"8,512",8,2506,"Taruto is a little cat who has just moved to a new city with her master's family. Taruto spends her days making friends and exploring her new home town. She also has a knack for getting herself into trouble. And it turns out that Taruto just might be a legendary magical princess. Almost none of Taruto’s friends believe that she can use magic or that she’s a princess, but Taruto is determined to prove it to them. But Taruto's magic is so unpredictable, you never know what's going to happen when she uses it. (Source: ANN)","['Adaptation (Manga) Magical Nyan Nyan Taruto', '']",Magical Nyan Nyan Taruto,,['Comedy'],,,,
8,Cosmowarrior Zero,コスモウォーリアー零,,['TV'],13,Finished Airing,"Jul 6, 2001 to Sep 28, 2001",['Summer 2001'],Unknown,['AT-X'],"['Media Blasters', 'Discotek Media']",['Vega Entertainment'],Game,"['Action', 'Adventure', 'Sci-Fi']","['Military', 'Space']",,25 min. per ep.,PG-13 - Teens 13 or older,6.52,#6966,#8022,"6,535",6,2376,"The long war between the planet Earth and the machine men is finally over, resulting in a peace that is more a victory for the machine men than the Earth. Warrius Zero lost his family in the war to the machine men but despite this he is still is a member of the Earth fleet that is now working in concert with the machine men. His ship, made up of both humans and machine men, has been given a near impossible task: capture the space pirate Captain Harlock. While Zero struggles to accomplish this task, evidence begins to surface that the peace between machine men and Earth may not be as it seems... (Source: ANN)","['Sequel (TV Special) Young Herlock wo Oe! Cosmo Warrior Zero Gaiden', '']",Cosmo Warrior Zero,La Jeunesse de Albator: Cosmowarrior Zero,,Cosmowarrior Zero,,,
9,"Robot-chan Cubix, Robots for Everyone, Lobojjang Kyubigseu",로보짱 큐빅스,Cubix,['TV'],26,Finished Airing,"Aug 11, 2001 to Apr 26, 2004",['Summer 2001'],Unknown,['CinePix'],['4Kids Entertainment'],['Xebec'],Unknown,,,,23 min. per ep.,PG - Children,5.38,#12487,#8845,"5,155",8,2614,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, bent on taking over the world. Ichiro and his robot partner, Kombock, and his other friends stand against him to crush his schemes. Will they be able to protect the peaceful lives of humans and robots from this evil?! The story of the friendship of Ichiro, Kombock, and their friends begins!! (Source: AniDB)",[],Saiko Robot Kombock,Cubix: Robots pour Tous,['Sci-Fi'],,,['Mecha'],
10,Nonoko,ののちゃん,,['TV'],61,Finished Airing,"Jul 7, 2001 to Sep 28, 2002",['Summer 2001'],Unknown,"None found,","None found,",['Toei Animation'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,25 min. per ep.,G - All Ages,6.07,#9542,#13154,"1,355",1,271,"Nono-chan is the eldest daughter in the Yamada family and a third-grade elementary school student. Her family consists of her father, Mr Yamada Takashi, her mother, Mrs Yamada Matsuko and her brother, Noboru, a junior high student. Together with her grandmother, the family of five makes up a pleasant Japanese family. Everyone is special and everyday is always filled with joy and surprise. (Source: ANN)","['Adaptation (Manga) Tonari no Yamada-kun', '']",Nono-chan,,,,,,
11,,筋肉番付 金剛くんの大冒険!,,['TV'],3,Finished Airing,"Jul 30, 2001 to Aug 30, 2001",['Summer 2001'],Unknown,['Bandai Visual'],"None found,",['Pierrot'],Original,,,['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,5.01,#13217,#14661,904,0,287,"A group of school children are invited to compete in the strongest man competition. As the first match is starting, the bored organizer announces that all matches will now be to the death. None of the competitors have a problem with the change. Who will survive and be crowned the strongest? (Source: AniDB)",[],Kinniku Banzuke: Kongou-kun no Daibouken!,,['Sports'],,,,
