,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Theme,Synonyms,Demographic,German,Spanish,French,Demographics
0,Charlotte（シャーロット）,Charlotte,['TV'],13,Finished Airing,"Jul 5, 2015 to Sep 27, 2015",['Summer 2015'],Sundays at 00:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Movic', 'Visual Arts', 'ASCII Media Works', 'Tokyo MX', 'BS11']",['Aniplex of America'],['P.A. Works'],Original,['Drama'],"['School', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,7.75,#1164,#66,"1,678,333","23,984",1019779,"If not for his ability to take over people's mind and body, Yuu Otosaka would be an ordinary high school student. Though it only lasts for five seconds at a time, Yuu's mysterious power allowed him to cheat his way to the top of his class and enter a prestigious high school, where he continues his dishonest acts. His shenanigans are eventually stopped by Nao Tomori—the headstrong student council president from Hoshinoumi Academy—who sees through his deceit. Through coercion, Nao convinces Yuu to transfer to Hoshinoumi and join the student council. Hoshinoumi Academy is secretly an institution created for adolescents who possess supernatural abilities—with the student council serving as a means of locating those who abuse their powers. With Yuu begrudgingly assisting in council affairs, the group sets out to find and protect new ability users from harm. However, as they further investigate the abilities, their findings entangle them in far more complicated matters than they could ever imagine. [Written by MAL Rewrite]","['Adaptation (Manga) Charlotte', '']",Charlotte,,,,,,,,
1,オーバーロード,Overlord,['TV'],13,Finished Airing,"Jul 7, 2015 to Sep 29, 2015",['Summer 2015'],Tuesdays at 23:00 (JST),"['AT-X', 'Grooove', 'Hakuhodo DY Music & Pictures', 'Kadokawa']",['Funimation'],['Madhouse'],['Light novel'],,,24 min. per ep.,R - 17+ (violence & profanity),7.90,#819,#68,"1,671,833","27,451",990460,"The final hour of the popular virtual reality game Yggdrasil has come. However, Momonga, a powerful wizard and master of the dark guild Ainz Ooal Gown, decides to spend his last few moments in the game as the servers begin to shut down. To his surprise, despite the clock having struck midnight, Momonga is still fully conscious as his character and, moreover, the non-player characters appear to have developed personalities of their own! Confronted with this abnormal situation, Momonga commands his loyal servants to help him investigate and take control of this new world, with the hopes of figuring out what has caused this development and if there may be others in the same predicament. [Written by MAL Rewrite]","['Sequel (TV) Overlord II', 'Adaptation (Manga) Overlord', 'Adaptation (Manga) Overlord: ""Shin"" Sekai-hen', 'Adaptation (Light Novel) Overlord']",Overlord,"['Action', 'Adventure', 'Fantasy']",['Isekai'],,,,,,
2,監獄学園〈プリズンスクール〉,Prison School,['TV'],12,Finished Airing,"Jul 11, 2015 to Sep 26, 2015",['Summer 2015'],Saturdays at 01:05 (JST),"['Genco', 'Kodansha', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'Showgate']",['Funimation'],['J.C.Staff'],['Manga'],,"['Gag Humor', 'School']",24 min. per ep.,R+ - Mild Nudity,7.59,#1622,#157,"1,054,450","7,759",622042,"Located on the outskirts of Tokyo, Hachimitsu Private Academy is a prestigious all-girls boarding school, famous for its high-quality education and disciplined students. However, this is all about to change due to the revision of the school's most iconic policy, as boys are now able to enroll as well. At the start of the first semester under this new decree, a mere five boys have been accepted, effectively splitting the student body into a ratio of two hundred girls to one boy. Kiyoshi, Gakuto, Shingo, Andre, and Jo are quickly cast away without having a chance to make any kind of a first impression. Unable to communicate with their fellow female students, the eager boys set their sights on a far more dangerous task: peeping into the girls' bath! It is only after their plan is thoroughly decimated by the infamous Underground Student Council that the motley crew find their freedom abruptly taken from them, as they are thrown into the school's prison with the sentence of an entire month as punishment. Thus begins the tale of the boys' harsh lives in Prison School, a righteous struggle that will ultimately test the bonds of friendship and perverted brotherhood. [Written by MAL Rewrite]","['Sequel (OVA) Prison School: Mad Wax', 'Adaptation (Manga) Prison School']",Prison School,"['Comedy', 'Ecchi']",,Kangoku Gakuen,['Seinen'],,,,
3,ドラゴンボール超（スーパー）,Dragon Ball Super,['TV'],131,Finished Airing,"Jul 5, 2015 to Mar 25, 2018",['Summer 2015'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']",['Funimation'],['Toei Animation'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.46,#2106,#218,"868,872","10,977",559123,"Seven years after the defeat of Majin Buu, Earth is at peace, and its people live free from any dangers lurking in the universe. However, this peace is short-lived; a sleeping threat awakens in the dark reaches of the galaxy: Beerus, the ruthless God of Destruction. Disturbed by a prophecy that he will be defeated by a ""Super Saiyan God,"" Beerus and his angelic attendant Whis search the universe for this mysterious being. Before long, they reach Earth and encounter Gokuu Son, one of the planet's mightiest warriors, and his powerful friends. [Written by MAL Rewrite]","['Sequel (Movie) Dragon Ball Super: Broly', 'Adaptation (Manga) Dragon Ball Super']",Dragon Ball Super,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Martial Arts'],"Dragon Ball Chou, DB Super, DBS",['Shounen'],,,,
4,GATE（ゲート）自衛隊　彼の地にて、斯く戦えり,GATE,['TV'],12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",['Summer 2015'],Saturdays at 00:30 (JST),"['Genco', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Bandai Namco Games']",['Sentai Filmworks'],['A-1 Pictures'],['Light novel'],,"['Isekai', 'Military']",23 min. per ep.,R - 17+ (violence & profanity),7.68,#1336,#234,"843,367","6,424",469493,"Off-duty Japan Self-Defense Forces (JSDF) officer and otaku Youji Itami is on his way to attend a doujin convention in Ginza, Tokyo when a mysterious portal in the shape of a large gate suddenly appears. From this gate, supernatural creatures and warriors clad in medieval armor emerge, charging through the city, killing and destroying everything in their path. With swift actions, Youji saves as many lives as he can while the rest of the JSDF direct their efforts toward stopping the invasion. Three months after the attack, Youji has been tasked with leading a special recon team, as part of a JSDF task force, that will be sent to the world beyond the gate—now being referred to as the ""Special Region."" They must travel into this unknown world in order to learn more about what they are dealing with and attempt to befriend the locals in hopes of creating peaceful ties with the ruling empire. But if they fail, they face the consequence of participating in a devastating war that will engulf both sides of the gate. [Written by MAL Rewrite]","['Sequel (TV) Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2', 'Adaptation (Manga) Gate: Jieitai Kanochi nite, Kaku Tatakaeri', 'Adaptation (Novel) Gate: Jieitai Kanochi nite, Kaku Tatakaeri', '']","Gate: Jieitai Kanochi nite, Kaku Tatakaeri","['Action', 'Adventure', 'Fantasy']",,Gate: Thus the JSDF Fought There!,,GATE,GATE,Gate: Au-delà de la Porte,
5,下ネタという概念が存在しない退屈な世界,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,['TV'],12,Finished Airing,"Jul 4, 2015 to Sep 19, 2015",['Summer 2015'],Saturdays at 23:00 (JST),"['Frontier Works', 'Shogakukan-Shueisha Productions', 'Genco', 'Starchild Records', 'AT-X', 'KlockWorx']",['Funimation'],['J.C.Staff'],['Light novel'],,"['Gag Humor', 'School']",23 min. per ep.,R+ - Mild Nudity,7.21,#3305,#237,"841,608","4,004",454751,"With the introduction of strict new morality laws, Japan has become a nation cleansed of all that is obscene and impure. By monitoring citizens using special devices worn around their necks, authorities have taken extreme measures to ensure that society remains chaste. In this world of sexual suppression, Tanukichi Okuma—son of an infamous terrorist who opposed the chastity laws—has just entered high school, offering his help to the student council in order to get close to president Anna Nishikinomiya, his childhood friend and crush. Little does he know that the vice president Ayame Kajou has a secret identity: Blue Snow, a masked criminal dedicated to spreading lewd material amongst the sheltered public—and Tanukichi has caught the girl's interest due to his father's notoriety. Soon, Tanukichi is dragged into joining her organization called SOX, where he is forced to spread obscene propaganda, helping to launch an assault against the government's oppressive rule. With their school set as the first point of attack, Tanukichi will have to do the unthinkable when he realizes that their primary target is the person he admires most. [Written by MAL Rewrite]","['Adaptation (Manga) Shimoneta to Iu Gainen ga Sonzai shinai Taikutsu na Sekai: Manmaru-hen', 'Adaptation (Light Novel) Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai']",Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,"['Comedy', 'Ecchi']",,Shimoseka,,"Shimoneta: A Boring World Where the Concept of ""Dirty Jokes"" Doesn't Exist",SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist,Shimoseka: À Bas L'Ordre Normal !,
6,モンスター娘のいる日常,Monster Musume: Everyday Life with Monster Girls,['TV'],12,Finished Airing,"Jul 8, 2015 to Sep 23, 2015",['Summer 2015'],Wednesdays at 00:30 (JST),"['Genco', 'Studio Hibari', 'TOHO animation', 'Toho Music']",['Sentai Filmworks'],['Lerche'],['Manga'],,"['Anthropomorphic', 'Harem', 'Urban Fantasy']",23 min. per ep.,R+ - Mild Nudity,6.93,#4683,#269,"776,628","4,050",442110,"With his parents abroad, Kimihito Kurusu lived a quiet, unremarkable life alone until monster girls came crowding in! This alternate reality presents cutting-edge Japan, the first country to promote the integration of non-human species into society. After the incompetence of interspecies exchange coordinator Agent Smith leaves Kimihito as the homestay caretaker of a Lamia named Miia, the newly-minted ""Darling"" quickly attracts girls of various breeds, resulting in an ever-growing harem flush with eroticism and attraction. Unfortunately for him and the ladies, sexual interactions between species is forbidden by the Interspecies Exchange Act! The only loophole is through an experimental marriage provision. Kimihito's life becomes fraught with an abundance of creature-specific caveats and sensitive interspecies law as the passionate, affectionate, and lusty women hound his every move, seeking his romantic and sexual affections. With new species often appearing and events materializing out of thin air, where Kimihito and his harem go is anyone's guess! [Written by MAL Rewrite]","['Adaptation (Manga) Monster Musume no Iru Nichijou', '']",Monster Musume no Iru Nichijou,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",,MonMusu,['Seinen'],Die Monster Mädchen,Monster Musume: Everyday Life with Monster Girls (Monster Musume no Iru Nichijou),Monster Musume: Everyday Life with Monster Girls,
7,干物妹！うまるちゃん,Himouto! Umaru-chan,['TV'],12,Finished Airing,"Jul 9, 2015 to Sep 24, 2015",['Summer 2015'],Thursdays at 02:14 (JST),"['AT-X', 'TOHO animation', 'Good Smile Company', 'Shueisha', 'BS11', 'Jinnan Studio', 'RAY']",['Sentai Filmworks'],['Doga Kobo'],['Manga'],['Comedy'],"['Otaku Culture', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.10,#3901,#301,"713,523","4,630",393229,"People are not always who they appear to be, as is the case with Umaru Doma, the perfect high school girl—that is, until she gets home! Once the front door closes, the real fun begins. When she dons her hamster hoodie, she transforms from a refined, over-achieving student into a lazy, junk food-eating otaku, leaving all the housework to her responsible older brother Taihei. Whether she's hanging out with her friends Nana Ebina and Kirie Motoba, or competing with her self-proclaimed ""rival"" Sylphinford Tachibana, Umaru knows how to kick back and have some fun! Himouto! Umaru-chan is a cute story that follows the daily adventures of Umaru and Taihei, as they take care of—and put up with—each other the best they can, as well as the unbreakable bonds between friends and siblings. [Written by MAL Rewrite]","['Sequel (OVA) Himouto! Umaru-chan OVA', 'Sequel (TV) Himouto! Umaru-chan R', 'Adaptation (Manga) Himouto! Umaru-chan', '']",Himouto! Umaru-chan,,,My Two-Faced Little Sister,['Seinen'],,,,
8,赤髪の白雪姫,Snow White with the Red Hair,['TV'],12,Finished Airing,"Jul 7, 2015 to Sep 22, 2015",['Summer 2015'],Tuesdays at 00:00 (JST),"['Hakusensha', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'BS Fuji', 'Docomo Anime Store', 'Hakuhodo DY Media Partners']",['Funimation'],['Bones'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.76,#1122,#307,"706,041","8,044",346039,"Although her name means ""snow white,"" Shirayuki is a cheerful, red-haired girl living in the country of Tanbarun who works diligently as an apothecary at her herbal shop. Her life changes drastically when she is noticed by the silly prince of Tanbarun, Prince Raji, who then tries to force her to become his concubine. Unwilling to give up her freedom, Shirayuki cuts her long red hair and escapes into the forest, where she is rescued from Raji by Zen Wistalia, the second prince of a neighboring country, and his two aides. Hoping to repay her debt to the trio someday, Shirayuki sets her sights on pursuing a career as the court herbalist in Zen's country, Clarines. Akagami no Shirayuki-hime depicts Shirayuki's journey toward a new life at the royal palace of Clarines, as well as Zen's endeavor to become a prince worthy of his title. As loyal friendships are forged and deadly enemies formed, Shirayuki and Zen slowly learn to support each other as they walk their own paths. [Written by MAL Rewrite]","['Sequel (TV) Akagami no Shirayuki-hime 2nd Season', 'Adaptation (Manga) Akagami no Shirayuki-hime']",Akagami no Shirayuki-hime,"['Drama', 'Romance']",['Medical'],Akagami no Shirayukihime,['Shoujo'],Snow White with the Red Hair,Snow White with the Red Hair,Shirayuki aux Cheveux Rouges,
9,六花の勇者,Rokka: Braves of the Six Flowers,['TV'],12,Finished Airing,"Jul 5, 2015 to Sep 20, 2015",['Summer 2015'],Sundays at 02:58 (JST),['Pony Canyon'],['Ponycan USA'],['Passione'],['Light novel'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.26,#3056,#348,"654,445","2,681",340983,"An ancient legend states that with the revival of the Demon God, six heroes—the Braves of the Six Flowers—will be chosen by the Goddess of Fate, granting them power to rise up against the fiends attempting to turn the world into a living hell. Adlet Mayer, self-proclaimed ""Strongest Man in the World,"" has arrived at the continent of Piena in hopes of becoming a Brave. Although it doesn't go as smoothly as he had planned, Adlet is ultimately chosen as one of the six heroes shortly after being greeted by Nashetania Loei Piena Augustra, crown princess and fellow Brave. Rokka no Yuusha follows the two as they embark upon their destined journey to fight the Demon God, intending to meet up with their fellow heroes at a small temple outside of the Land of the Howling Demons, the fiends' domain. However, when they finally unite, seven heroes are present, and soon the others begin to suspect Adlet to be a fraud. Now on the run, Adlet must utilize his unique skill set and wit in a fight for his life to identify which member of the group is the true impostor before it's too late! [Written by MAL Rewrite]","['Adaptation (Manga) Rokka no Yuusha', 'Adaptation (Light Novel) Rokka no Yuusha']",Rokka no Yuusha,"['Action', 'Fantasy', 'Mystery']",,Rokka no Yusha,,Rokka: Braves of the Six Flowers,Rokka: Braves of the Six Flowers,Rokka : Brave of The Six Flowers,
