,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,German,Spanish,French,Theme,Themes,Genre,Demographics
0,ブラッククローバー,Black Clover,['TV'],170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",['Fall 2017'],Tuesdays at 18:25 (JST),"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",['Pierrot'],['Manga'],"['Action', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.14,#474,#57,"1,770,793","48,440",909553,"Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically. When they reach the age of 15, Yuno is bestowed a spectacular Grimoire with a four-leaf clover, while Asta receives nothing. However, soon after, Yuno is attacked by a person named Lebuty, whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty, but he is outmatched. Though without hope and on the brink of defeat, he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage, Asta receives a five-leaf clover Grimoire, a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later, the two friends head out into the world, both seeking the same goal—to become the Wizard King! [Written by MAL Rewrite]","['Adaptation (Manga) Black Clover', '']",Black Clover,,,,,,,,
1,食戟のソーマ 餐ノ皿,Food Wars! The Third Plate,['TV'],12,Finished Airing,"Oct 4, 2017 to Dec 20, 2017",['Fall 2017'],Wednesdays at 00:30 (JST),"['Lantis', 'Warner Bros. Japan', 'KlockWorx', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],"['Gourmet', 'Ecchi']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.98,#696,#170,"1,006,753","2,652",611631,"The Moon Festival is Tootsuki Academy's annual gourmet gala, where students compete against each other to earn the most profit through selling their cuisine of choice. But for Souma Yukihira, it is also his first opportunity to challenge the Elite Ten, the supreme council that rules over the academy. However, this is only the beginning of Souma's war against the Elite Ten; a nefarious plot is underway that will provide Souma with the challenge he desires but will also shake the very foundations of Tootsuki Academy itself. [Written by MAL Rewrite]","['Prequel (OVA) Shokugeki no Souma: Ni no Sara OVA', 'Sequel (TV) Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen', 'Adaptation (Manga) Shokugeki no Souma', '']",Shokugeki no Souma: San no Sara,"Shokugeki no Soma 3rd Season, Shokugeki no Soma 3",Food Wars! The Third Plate,Food Wars (Shokugeki no Soma): The Third Plate,Food Wars! The Third Plate,['School'],,,
2,魔法使いの嫁,The Ancient Magus' Bride,['TV'],24,Finished Airing,"Oct 8, 2017 to Mar 25, 2018",['Fall 2017'],Sundays at 01:30 (JST),"['Production I.G', 'Shochiku', 'flying DOG', 'Mag Garden']",['Funimation'],['Wit Studio'],['Manga'],"['Drama', 'Fantasy', 'Romance']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.05,#595,#179,"972,678","12,874",407841,"Chise Hatori, a 15-year-old Japanese girl, was sold for five million pounds at an auction to a tall masked gentleman. Abandoned at a young age and ridiculed by her peers for her unconventional behavior, she was ready to give herself to any buyer if it meant having a place to go home to. In chains and on her way to an unknown fate, she hears whispers from robed men along her path, gossiping and complaining that such a buyer got his hands on a rare Sleigh Beggy. Ignoring the murmurs, the mysterious man leads the girl to a study, where he reveals himself to be Elias Ainsworth—a magus. After a brief confrontation and a bit of teleportation magic, the two open their eyes to Elias' picturesque cottage in rural England. Greeted by fairies and surrounded by weird and wonderful beings upon her arrival, these events mark the beginning of Chise's story as the apprentice and supposed bride of the ancient magus. [Written by MAL Rewrite]","['Sequel (TV) Mahoutsukai no Yome Season 2', 'Adaptation (Manga) Mahoutsukai no Yome']",Mahoutsukai no Yome,"The Magician's Bride, Mahoyome",The Ancient Magus' Bride,The Ancient Magus Bride,The Ancient Magus' Bride,,"['Mythology', 'Urban Fantasy']",,
3,ブレンド・S,BLEND-S,['TV'],12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",['Fall 2017'],Sundays at 00:30 (JST),"['Aniplex', 'Houbunsha', 'Kansai Telecasting', 'Lawson', 'Contents Seed', 'Kinoshita Group Holdings', 'Drecom']",['Aniplex of America'],['A-1 Pictures'],['4-koma manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.25,#3090,#322,"681,642","2,986",381712,"Wishing to be independent, 16-year-old Maika Sakuranomiya is desperate to nail down a part-time job so that she can afford to study abroad. Unfortunately, her applications are constantly rejected due to the menacing look she unintentionally makes whenever she smiles, despite her otherwise cheerful disposition. After yet another failed interview, she chances upon Café Stile, a coffee shop where the servers interact with the customers while roleplaying distinctive characteristics. The Italian store manager, Dino, becomes infatuated with Maika's cuteness at first sight, and offers her a job as a waitress with a sadistic nature. Coupled with her inherent clumsiness, she successfully manages to serve a pair of masochistic customers in accordance with her new, ruthless persona. Alongside Kaho Hinata as the tsundere and Mafuyu Hoshikawa as the younger sister, Maika decides to make the most out of her unique quirk and cements her position in the cafe with merciless cruelty! [Written by MAL Rewrite]","['Adaptation (Manga) Blend S', '']",Blend S,,BLEND-S,BLEND-S,BLEND-S,,"['Otaku Culture', 'Workplace']",['Comedy'],
4,いぬやしき,Inuyashiki: Last Hero,['TV'],11,Finished Airing,"Oct 13, 2017 to Dec 22, 2017",['Fall 2017'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Kodansha', 'Fuji TV', 'DMM pictures']","None found,",['MAPPA'],['Manga'],"['Action', 'Drama', 'Sci-Fi', 'Suspense']",['Seinen'],22 min. per ep.,R - 17+ (violence & profanity),7.63,#1487,#330,"674,022","3,957",325004,"Ichirou Inuyashiki is a 58-year-old family man who is going through a difficult time in his life. Though his frequent back problems are painful, nothing hurts quite as much as the indifference and distaste that his wife and children have for him. Despite this, Ichirou still manages to find solace in Hanako, an abandoned Shiba Inu that he adopts into his home. However, his life takes a turn for the worse when a follow-up physical examination reveals that Ichirou has stomach cancer and only three months to live; though he tries to be strong, his family's disinterest causes an emotional breakdown. Running off into a nearby field, Ichirou embraces his dog and weeps—until he notices a strange figure standing before him. Suddenly, a bright light appears and Ichirou is enveloped by smoke and dust. When he comes to, he discovers something is amiss—he has been reborn as a mechanized weapon wearing the skin of his former self. Though initially shocked, the compassionate Ichirou immediately uses his newfound powers to save a life, an act of kindness that fills him with happiness and newfound hope. However, the origins of these strange powers remain unclear. Who was the mysterious figure at the site of the explosion, and are they as kind as Ichirou when it comes to using this dangerous gift? [Written by MAL Rewrite]","['Adaptation (Manga) Inuyashiki', '']",Inuyashiki,,Inuyashiki Last Hero,Inuyashiki: Last Hero,Inuyashiki le Dernier Héros,,"['Gore', 'Psychological']",,
5,ネト充のススメ,Recovery of an MMO Junkie,['TV'],10,Finished Airing,"Oct 10, 2017 to Dec 12, 2017",['Fall 2017'],Tuesdays at 01:40 (JST),"['DAX Production', 'flying DOG', 'Sony Music Communications', 'Tokyo MX', 'comico', 'JR East Marketing & Communications', 'Crunchyroll SC Anime Fund']",['Funimation'],['Signal.MD'],['Web manga'],"['Comedy', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,7.52,#1897,#487,"491,429","2,471",257646,"For the first time since graduating high school, 30-year-old Moriko Morioka is unemployed—and she couldn't be happier. Having quit her long-standing job of over 11 years, Moriko quickly turns to online games to pass her now-plentiful free time, reinventing herself as the handsome and dashing male hero ""Hayashi"" in the MMO Fruits de Mer. With the pesky societal obligations of the real world out of the way, she blissfully dives headfirst into the realm of the game, where she promptly meets the kind and adorable healer Lily. Befriending each other almost instantly, the two become inseparable just as Moriko herself becomes more and more engrossed in her new ""life"" as Hayashi. Eventually, Moriko adopts the reclusive lifestyle in its entirety, venturing out from the safety of her apartment only when absolutely necessary. Meanwhile, unbeknownst to Moriko, a timid 28-year-old corporate worker named Yuuta Sakurai has also logged onto Fruits de Mer from the other side of town. Coincidentally bumping into each other at the convenience store one night, both write off their meeting as no more than just another awkward encounter with a stranger—however, fate has more in store for them than they think. [Written by MAL Rewrite]","['Sequel (Special) Net-juu no Susume Special', 'Adaptation (Manga) Net-juu no Susume']",Net-juu no Susume,"Netojuu no Susume, Recommendation of the Wonderful Virtual Life",Recovery of an MMO Junkie,Recovery of An MMO Junkie,Recovery of an MMO Junkie,,"['Adult Cast', 'Video Game']",,
6,宝石の国,Land of the Lustrous,['TV'],12,Finished Airing,"Oct 7, 2017 to Dec 23, 2017",['Fall 2017'],Saturdays at 21:30 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'Movic', 'AT-X', 'TOHO animation', 'Tokyo MX', 'Q-Tec', 'Kyoraku Industrial Holdings', 'BS11']",['Sentai Filmworks'],['Orange'],['Manga'],"['Action', 'Drama', 'Fantasy', 'Mystery']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,8.39,#203,#490,"487,856","14,247",207864,"In the mysterious future, crystalline organisms called Gems inhabit a world that has been destroyed by six meteors. Each Gem is assigned a role in order to fight against the Lunarians, a species who attacks them in order to shatter their bodies and use them as decorations. Phosphophyllite, also known as Phos, is a young and fragile Gem who dreams of helping their friends in the war effort. Instead, they are told to compile an encyclopedia because of their delicate condition. After begrudgingly embarking on this task, Phos meets Cinnabar, an intelligent gem who has been relegated to patrolling the isolated island at night because of the corrosive poison their body creates. After seeing how unhappy Cinnabar is, Phos decides to find a role that both of the rejected Gems can enjoy. Houseki no Kuni follows Phos' efforts to be useful and protect their fellow Gems. [Written by MAL Rewrite]","['Adaptation (Manga) Houseki no Kuni', '']",Houseki no Kuni,Country of Jewels,,,,['Anthropomorphic'],,,
7,血界戦線 & BEYOND,Blood Blockade Battlefront & Beyond,['TV'],12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",['Fall 2017'],Sundays at 03:08 (JST),"['Nihon Ad Systems', 'Mainichi Broadcasting System', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],['Manga'],"['Action', 'Fantasy']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.77,#1104,#529,"456,342","1,758",205090,"Three years ago, a gateway between Earth and the Beyond opened in New York City, trapping extradimensional creatures and humans alike in an impermeable bubble. After the city's restoration, monsters, magic, and madness are common findings in the area now known as Hellsalem's Lot. Leonardo Watch, a young photographer who unwillingly obtained the ""All-seeing Eyes of the Gods"" in exchange for his sister's eyesight, came to this paranormal city to find answers to the mysterious power that he possesses. He later finds his life drastically changed when he joins Libra, a secret organization of people with supernatural abilities dedicated to maintaining order in the everyday chaos of Hellsalem's Lot. However, this is only the beginning of Leonardo's unexpected journey ahead. Regardless of the constant threat of otherworldly enemies, he is determined to uncover the secrets of his power and find a way to restore his sister's eyesight. Kekkai Sensen & Beyond follows Leonardo as he sets off on more crazy adventures with his comrades, fighting to ensure peace and order. [Written by MAL Rewrite]","['Prequel (TV) Kekkai Sensen', 'Adaptation (Manga) Kekkai Sensen', 'Adaptation (Manga) Kekkai Sensen: Back 2 Back', '']",Kekkai Sensen & Beyond,Bloodline Battlefront & Beyond,Blood Blockade Battlefront & Beyond,Blood Blockade Battlefront & Beyond,Blood Blockade Battlefront & Beyond,,"['Super Power', 'Urban Fantasy', 'Vampire']",,
8,3月のライオン 第2シリーズ,March Comes In Like a Lion 2nd Season,['TV'],22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",['Fall 2017'],Saturdays at 23:00 (JST),"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",['Aniplex of America'],['Shaft'],['Manga'],,['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,8.91,#19,#590,"417,185","15,274",206247,"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return. Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career. [Written by MAL Rewrite]","['Prequel (TV) 3-gatsu no Lion', 'Adaptation (Manga) 3-gatsu no Lion']",3-gatsu no Lion 2nd Season,Sangatsu no Lion Second Season,March Come in Like a Lion Staffel 2,March Comes in like a Lion Temporada 2,March Comes in like a Lion Saison 2,,"['Childcare', 'Strategy Game']",['Drama'],
9,少女終末旅行,Girls' Last Tour,['TV'],12,Finished Airing,"Oct 6, 2017 to Dec 22, 2017",['Fall 2017'],Fridays at 21:30 (JST),"['AT-X', 'Shinchosha', 'Kadokawa Media House', 'Kadokawa']",['Sentai Filmworks'],['White Fox'],['Web manga'],"['Adventure', 'Mystery', 'Sci-Fi', 'Slice of Life']",,23 min. per ep.,PG-13 - Teens 13 or older,8.22,#373,#685,"368,130","7,721",138940,"Amid the desolate remains of a once-thriving city, only the rumbling of a motorbike breaks the cold winter silence. Its riders, Chito and Yuuri, are the last survivors in the war-torn city. Scavenging old military sites for food and parts, the two girls explore the wastelands and speculate about the old world to pass the time. Chito and Yuuri each occasionally struggle with the looming solitude, but when they have each other, sharing the weight of being two of the last humans becomes a bit more bearable. Between Yuuri's clumsy excitement and Chito's calm composure, their dark days get a little brighter with shooting practice, new books, and snowball fights on the frozen battlefield. Among a scenery of barren landscapes and deserted buildings, Shoujo Shuumatsu Ryokou tells the uplifting tale of two girls and their quest to find hope in a bleak and dying world. [Written by MAL Rewrite]","['Adaptation (Manga) Shoujo Shuumatsu Ryokou', '']",Shoujo Shuumatsu Ryokou,The End Girl Trip,Girls' Last Tour,,,,"['CGDCT', 'Iyashikei']",,
