,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,Spanish,Theme,German,French,Demographics
10,ぬらりひょんの孫 千年魔京,Nura: Rise of the Yokai Clan - Demon Capital,['TV'],24,Finished Airing,"Jul 3, 2011 to Dec 18, 2011",['Summer 2011'],Sundays at 17:30 (JST),"['Yomiuri Telecasting', 'Yomiko Advertising', 'Pony Canyon', 'TOHO', 'Shueisha', 'BS11', 'Imagine']",['VIZ Media'],['Studio Deen'],['Manga'],"['Action', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.93,#769,#1507,"167,633",644,85455,"Long before Rikuo Nura was born, the legendary youkai Nurarihyon, leader of a ""Night Parade of One Hundred Demons,"" fell in love with a human woman. Though the two would initially find happiness, a threat from the terrifying fox-demon Hagoromo Gitsune would get in the way of their relationship. In the present, Rikuo has taken his rightful place as the heir to the Nura Clan. While he has accepted his youkai side, he must continue to maintain the secret of youkai, a difficult task when faced with the Keikain onmyouji clan and his youkai-obsessed friend, Kiyotsugu. Even so, Rikuo will do what he must to protect those important to him. The reappearance of the sinister Hagoromo Gitsune marks the start of Rikuo's most fearsome trial yet. The frightening creature bears a personal vendetta against his family and will stop at nothing to see her dream come to fruition. The world stands at a precipice, an all-out war that will drag Rikuo centerstage. [Written by MAL Rewrite]","['Prequel (TV) Nurarihyon no Mago', 'Adaptation (Manga) Nurarihyon no Mago']",Nurarihyon no Mago: Sennen Makyou,"Nurarihyon no Mago 2, The Grandson of Nurarihyon 2, Grandchild of Nurarihyon 2",,['Shounen'],,['Mythology'],,,
11,アイドルマスター,THE IDOLM@STER,['TV'],25,Finished Airing,"Jul 8, 2011 to Dec 23, 2011",['Summer 2011'],Fridays at 01:25 (JST),"['Aniplex', 'TBS', 'Nippon Columbia', 'Bandai Namco Entertainment']","None found,",['A-1 Pictures'],Game,"['Comedy', 'Drama']","['Idols (Female)', 'Music']",24 min. per ep.,PG-13 - Teens 13 or older,7.60,#1581,#1592,"156,484","1,690",55148,"765 Production Studio manages the unique talents of 13 professional idols as they slowly make their way to the top and become country-wide celebrities. But the girls' journey is far from just fun and games: hard work, sweat, and tears are some of the prerequisites needed to flourish in this industry—and for 765 Pro in particular, a watchful eye out for their rival, the infamous 961 Production. As the girls' fame grows, however, their time together as a family diminishes, and now the very popularity they sought is threatening to tear them apart. A difficult balance of work and bonding must be achieved, or they risk everyone going their separate ways. The personal and professional ordeals of these idols can not be conquered alone, but with each other's loving support, any obstacle or hardship can be overcome! [Written by MAL Rewrite]","['Sequel (Special) The iDOLM@STER: 765 Pro to Iu Monogatari', 'Adaptation (Manga) The iDOLM@STER']",The iDOLM@STER,The Idolmaster,,,,,THE IDOLM@STER,,
12,ダンタリアンの書架,The Mystic Archives of Dantalian,['TV'],12,Finished Airing,"Jul 16, 2011 to Oct 1, 2011",['Summer 2011'],Saturdays at 01:23 (JST),"['TV Tokyo', 'Kadokawa Shoten', 'Half H.P Studio', 'Nippon Columbia', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo', 'Dwango']",['Funimation'],['Gainax'],['Light novel'],"['Action', 'Mystery', 'Supernatural']","['Detective', 'Historical']",24 min. per ep.,R - 17+ (violence & profanity),7.22,#3246,#1613,"154,217",552,58601,"Six months ago, Lord Hugh Anthony Disward, also known as Huey, lost his eccentric grandfather, Sir Wesley Disward, who was a renowned collector of rare books. His grandfather's will states that, in order to inherit his manor and everything inside it, he must take guardianship over the Bibliotheca Mystica de Dantalian—an archive that contains forbidden knowledge—and also take care of a mysterious girl called Dalian. As Huey settles into the manor, an old rival of his grandfather's arranges a meeting with him. Dalian, knowing the rival to be Wesley's killer, tags along and discovers that the murderer is in possession of a Phantom Book—a cursed tome that Wesley tried to seal away. When the book puts the two in danger, Huey discovers that the Bibliotheca Mystica de Dantalian and Dalian are one and the same, and she entrusts Huey with the key to unlocking the knowledge stored within her. Together, Dalian and Huey seal the book away, and thus begins an unlikely partnership as they solve mysteries caused by other Phantom Books. [Written by MAL Rewrite]","['Adaptation (Manga) Dantalian no Shoka', 'Adaptation (Light Novel) Dantalian no Shoka']",Dantalian no Shoka,"Bibliotheca Mystica de Dantalian, Dantalian's Bookshelf",,,,,,,
13,いつか天魔の黒ウサギ,A Dark Rabbit has Seven Lives,['TV'],12,Finished Airing,"Jul 9, 2011 to Sep 24, 2011",['Summer 2011'],Saturdays at 01:05 (JST),"['Frontier Works', 'Kadokawa Shoten', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx']","None found,",['Zexcs'],['Light novel'],"['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']","['Mythology', 'School', 'Vampire']",24 min. per ep.,R+ - Mild Nudity,6.50,#7086,#1780,"135,452",215,59761,"Taito has been really sleepy lately, and keeps dreaming of a female vampire who says she has given him her ""poison."" Sometimes he even thinks he hears her voice when he's awake. But after surviving an accident that should have killed him, Taito's world changes drastically and he realizes that his dreams are more real than he thought.","['Adaptation (Manga) Itsuka Tenma no Kuro Usagi', 'Adaptation (Light Novel) Itsuka Tenma no Kuro Usagi']",Itsuka Tenma no Kuro Usagi,ItsuTen,,,A Dark Rabbit has Seven Lives,,A Dark Rabbit has Seven Lives,A Dark Rabbit has Seven Lives,
14,あーるじゅうご,,['TV'],12,Finished Airing,"Jul 10, 2011 to Sep 25, 2011",['Summer 2011'],Unknown,"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC', 'Glovision']","None found,",['AIC'],['Light novel'],"['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']",24 min. per ep.,R+ - Mild Nudity,6.41,#7662,#2323,"93,029",84,39885,"R-15 is about a boy, Taketo Akutagawa, who attends a school for geniuses: Inspiration Academy Private High School. Taketo is a genius novelist and writes erotica. Despite negative perceptions many people have of him, he aims to be at the top of his class and be recognized as the world's greatest writer. (Source: Wikipedia)","['Sequel (OVA) R-15: R15 Shounen Hyouryuuki', 'Adaptation (Manga) R-15', 'Adaptation (Light Novel) R-15', '']",R-15,R-15,,,,,,,
15,魔乳秘剣帖,Manyu Scroll,['TV'],12,Finished Airing,"Jul 11, 2011 to Sep 26, 2011",['Summer 2011'],Mondays at 01:00 (JST),"['TV Tokyo', 'Lantis', 'Enterbrain', 'Memory-Tech', 'Happinet Pictures']","None found,",['Hoods Entertainment'],['Manga'],"['Action', 'Comedy', 'Ecchi']","['Historical', 'Samurai']",24 min. per ep.,R+ - Mild Nudity,6.18,#8939,#2442,"86,058",317,27249,"The Edo period of Japan gave rise to a clan of warriors with a very specialized, magical skill. The clan was known as the Manyuu, and the skill was the ability to administer a sword strike that could shrink the size of a woman's breasts. This might not seem like an ability that could exert power over a land, but in Manyuu Hikenchou, large breasts denote status, wealth, fame, and influence. Grave concern has arisen in the Manyuu clan due to the actions of their chosen successor, Chifusa. Disgusted with the breast obsessed society that the Manyuu have created and perpetuated, Chifusa has not only deserted the clan, but also stolen the sacred scroll that details their techniques to growing and severing breasts. Fortunately, Chifusa is not completely alone. Her fellow warrior Kaede is sympathetic to her cause; a sympathy that could place her in considerable danger. Now wanted by the very clan that raised her, Chifusa must defend her life and Kaede's while seeking to undo the damage their brethren have done to the land. Along the way, Chifusa will discover that she harbors a power that goes far beyond the scope of her training, one that could help shape and change the land that she seeks to bring equality to.","['Adaptation (Manga) Manyuu Hikenchou', '']",Manyuu Hikenchou,Magic Breast Secret Sword Scroll,,['Seinen'],,,,,
16,ロウきゅーぶ!,Ro-Kyu-Bu ~ Fast Break!,['TV'],12,Finished Airing,"Jul 1, 2011 to Sep 23, 2011",['Summer 2011'],Fridays at 23:30 (JST),"['AT-X', 'Barnum Studio', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works']",['Sentai Filmworks'],"['Project No.9', 'Studio Blanc.']",['Light novel'],"['Comedy', 'Sports', 'Ecchi']","['School', 'Team Sports']",24 min. per ep.,PG-13 - Teens 13 or older,6.75,#5615,#2465,"84,487",196,36476,"Subaru Hasegawa has the ambition to become one of the best basketball superstars of all time. However, this comes to an apparent halt when his school's basketball team ceases activities for a year. Shocked by the news, he decides not to involve himself in basketball anymore. One day, his aunt Mihoshi Takamura invites him to coach the Keishin Academy girls’ basketball team on how to play the sport, and he reluctantly agrees. He meets sixth-graders Tomoka Minato, Maho Misawa, Airi Kashii, Hinata Hakamada and Saki Nagatsuki, and begins training them in the sport with one goal: to defeat all strong opponents along the way. Ro-Kyu-Bu! follows the effort of five elementary girls and their coach as they improve their cute style of playing basketball. [Written by MAL Rewrite]","['Sequel (OVA) Ro-Kyu-Bu!: Tomoka no Ichigo Sundae', 'Adaptation (Manga) Ro-Kyu-Bu!', 'Adaptation (Light Novel) Ro-Kyu-Bu!', '']",Ro-Kyu-Bu!,"Rou-Kyuu-Bu!, Rou-Kyu-Bu!, Ro-Kyu-Bu: Fast Break",,,,,,,
17,セイクリッドセブン,Sacred Seven,['TV'],12,Finished Airing,"Jul 3, 2011 to Sep 16, 2011",['Summer 2011'],Sundays at 02:28 (JST),['Bandai'],['Sentai Filmworks'],['Sunrise'],Original,"['Action', 'Sci-Fi']","['School', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,6.58,#6583,#2553,"80,267",80,33997,"Alma Tandoji lives a lonely life. One day, Ruri Alba, a girl accompanied by her butler and maids, visits him. Knowing the power of Sacred Seven is latent within Alma, she asks him to lend her his powers. However, he refuses and drives her away since he injured many with his unusual strength in the past. Meanwhile, a fiendish Dark Stone creature suddenly appears in this peaceful town in the Kanto region. Only Alma's power of Sacred Seven can fight against it. But Alma just lets his power run amuck and things begin to get worse. Ruri raised her gemstone in order to release his true abilities, My Soul I give to you. With Ruri's wishes engraved in it, will Alma be able to defeat the Dark Stone?","['Adaptation (Manga) Sacred Seven', '']",Sacred Seven,Sacred 7,,,,,,,
18,神様ドォルズ,Kamisama Dolls,['TV'],13,Finished Airing,"Jul 6, 2011 to Sep 28, 2011",['Summer 2011'],Wednesdays at 01:30 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Media Factory', 'Half H.P Studio', 'AT-X', 'flying DOG', 'Sony Music Communications']",['Sentai Filmworks'],"[""Brain's Base""]",['Manga'],"['Action', 'Supernatural']",,24 min. per ep.,R - 17+ (violence & profanity),6.99,#4424,#2671,"74,147",96,31528,"When Kyouhei moves to Tokyo, he thinks he's left his old life behind. But when he discovers a bloody corpse, he also discovers that the past isn't easily left behind, especially when the past is as unusual as Kyouhei's. You see, back in his home town, Kyouhei was a ""seki,"" an individual able to control ""kakashi,"" ancient wooden ""gods"" capable of incredible feats, with his mind. Now there's a kakashi loose in Tokyo, and it just may be up to Kyouhei to stop it AND its seki in Kamisama Dolls! (Source: Sentai Filmworks, edited)","['Adaptation (Manga) Kamisama Dolls', '']",Kamisama Dolls,Kami-sama Dolls,,['Seinen'],,,,,
19,異国迷路のクロワーゼ The Animation,Croisée in a Foreign Labyrinth The Animation,['TV'],12,Finished Airing,"Jul 4, 2011 to Sep 19, 2011",['Summer 2011'],Mondays at 00:30 (JST),"['Media Factory', 'AT-X', 'flying DOG', 'Sony Music Communications', 'Bushiroad', 'Good Smile Company', 'Aoni Entertainment']",['Sentai Filmworks'],['Satelight'],['Manga'],,"['Historical', 'Iyashikei']",23 min. per ep.,G - All Ages,7.41,#2310,#3004,"60,384",168,24645,"In 19th century Paris, Claude Claudel and his grandfather Oscar run a metalworking shop tucked away in the Galerie du Roy shopping arcade. Back home from his recent travels, Oscar appears with a young Japanese girl—Yune—by his side. Although he is initially against it, Claude comes to accept Oscar's announcement that Yune will live and work with them going forward. Bewildered by Yune's foreign customs, Claude must balance looking after her and managing the shop. But over time, as she settles into her new role as a live-in maid, Claude slowly shows interest in learning to understand Yune and the vastly different world she comes from. [Written by MAL Rewrite]","['Adaptation (Manga) Ikoku Meiro no Croisée', '']",Ikoku Meiro no Croisée The Animation,"Ikoku Meiro no Croisee The Animation, La croisée dans un labyrinthe étranger Special",['Slice of Life'],['Seinen'],,,,,
