,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,Spanish,Theme,German,French,Demographics
49,べるぜバブ,Beelzebub,['TV'],60,Finished Airing,"Jan 9, 2011 to Mar 25, 2012",['Winter 2011'],Sundays at 07:00 (JST),"['Pierrot', 'Dentsu', 'Yomiuri Telecasting', 'Shueisha']",['Discotek Media'],['Pierrot Plus'],['Manga'],"['Action', 'Comedy', 'Supernatural']","['Childcare', 'Delinquents', 'Mythology', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.84,#954,#379,"613,713","5,415",287958,"Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule—don't cross first year student Tatsumi Oga, Ishiyama's most vicious fighter. One day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga's back and immediately forms an attachment to him. Though he doesn't know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short—the son of the Demon Lord! As if finding the future Lord of the Underworld isn't enough, Oga is also confronted by Hildegard, Beel's demon maid. Together they attempt to raise Baby Beel—although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine. [Written by MAL Rewrite]","['Adaptation (Manga) Beelzebub', '']",Beelzebub,,,['Shounen'],,,,,
50,銀魂',Gintama Season 2,['TV'],51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",['Spring 2011'],Mondays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","None found,",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,9.02,#9,#401,"580,886","8,343",246061,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child. Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it. With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo. [Written by MAL Rewrite]","['Prequel (TV) Gintama', ""Sequel (TV) Gintama': Enchousen"", 'Adaptation (Manga) Gintama', '']",Gintama',Gintama (2011),,['Shounen'],Gintama Temporada 2,,Gintama Staffel 2,Gintama Saison 2,
51,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#433,#705,"360,744","15,331",164297,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,['Shounen'],,['Detective'],Case Closed,,
52,花咲くいろは,Hanasaku Iroha: Blossoms for Tomorrow,['TV'],26,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",['Spring 2011'],Sundays at 22:00 (JST),"['Bandai Visual', 'Sotsu', 'Yomiuri Telecasting', 'Lantis', 'Pony Canyon', 'Showgate', 'Infinite']","['NIS America, Inc.']",['P.A. Works'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,7.89,#839,#757,"338,922","2,586",131553,"Ohana Matsumae is an energetic and wild teenager residing in Tokyo with her carefree single mother. Abruptly, her mother decides to run away with her new boyfriend from debt collectors, forcing the young girl to fend for herself—as per her mother's ""rely only on yourself"" philosophy—in rural Japan, where her cold grandmother runs a small inn. Driven to adapt to the tranquil lifestyle of the countryside, Ohana experiences and deals with the challenges of working as a maid, as well as meeting and making friends with enthralling people at her new school and the inn. [Written by MAL Rewrite]","['Adaptation (Manga) Hanasaku Iroha', '']",Hanasaku Iroha,,['Drama'],,,['Workplace'],,,
53,TIGER & BUNNY （タイガー・アンド・バニー）,Tiger & Bunny,['TV'],25,Finished Airing,"Apr 3, 2011 to Sep 18, 2011",['Spring 2011'],Sundays at 01:58 (JST),"['Bandai Visual', 'Mainichi Broadcasting System', 'Tohokushinsha Film Corporation']",['VIZ Media'],['Sunrise'],Original,"['Action', 'Comedy', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,7.83,#974,#1123,"232,488","2,999",93285,"In Stern Bild City, those with special abilities are called NEXT, and can use their powers for good or bad. A unique organized group of NEXT appear regularly on Hero TV, where they chase down evildoers to bring limelight to their sponsors and earn Hero Points in the hopes of becoming the next King of Heroes. Kotetsu T. Kaburagi, known as ""Wild Tiger,"" is a veteran hero whose performance has been dwindling as of late, partially due to his inability to cooperate with other heroes. After a disappointing season in which most of the other heroes far outperformed Tiger, he is paired up with a brand new hero who identifies himself by his real name—Barnaby Brooks Jr. Barnaby, nicknamed ""Bunny"" by his frivolous new partner, quickly makes it clear that the two could not be more different. Though they mix as well as oil and water, Tiger and Bunny must learn to work together, both for the sake of their careers and to face the looming threats within Stern Bild. [Written by MAL Rewrite]","['Prequel (Special) Tiger & Bunny Pilot', 'Sequel (Movie) Tiger & Bunny Movie 2: The Rising', 'Adaptation (One-shot) Tiger & Bunny', 'Adaptation (Manga) Tiger & Bunny']",Tiger & Bunny,"Tiger and Bunny, Taibani",,,,,,,
54,スケットダンス,SKET Dance,['TV'],77,Finished Airing,"Apr 7, 2011 to Sep 27, 2012",['Spring 2011'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Avex Entertainment', 'Dentsu']","None found,",['Tatsunoko Production'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,8.20,#393,#1129,"230,805","3,237",86432,"At Kaimei High School there is a special club dedicated to helping others known as the SKET Brigade. The brains of the group is Kazuyoshi ""Switch"" Usui, a tech-savvy otaku who speaks through speech synthesis software, while the brawn is provided by Hime ""Himeko"" Onizuka, the hockey stick-wielding girl once known as ""Onihime."" And last but not least, their leader is Yuusuke ""Bossun"" Fujisaki, whose latent ability is evoked by his goggles, allowing him to summon the awesome power of extraordinary concentration. However, most of the school only know them as the club that handles odd jobs. Many of their days are spent in the clubroom slacking off, but when there is something to be done, they give their all to help others—usually in sincere, but unintentionally hilarious, ways. The SKET Brigade do all they can to provide support, kindness, encouragement, and troubleshooting to any students crazy enough to ask for their services. [Written by MAL Rewrite]","['Adaptation (Manga) SKET Dance', '']",SKET Dance,,['Comedy'],['Shounen'],,['School'],,,
55,逆境無頼カイジ 破戒録篇,Kaiji: Against All Rules,['TV'],26,Finished Airing,"Apr 6, 2011 to Sep 28, 2011",['Spring 2011'],Wednesdays at 00:59 (JST),"['VAP', 'Nippon Television Network']",['Sentai Filmworks'],['Madhouse'],['Manga'],,"['Adult Cast', 'High Stakes Game', 'Psychological', 'Strategy Game']",24 min. per ep.,R - 17+ (violence & profanity),8.24,#344,#1266,"202,399","2,866",111640,"Owing to an increasing debt, Kaiji Itou ends up resuming his old lifestyle. One day, while walking on the street, he stumbles upon Yuuji Endou, who is hunting Kaiji due to the money he owes to the Teiai Group. Unaware of this, Kaiji eagerly follows Endou, hoping for a chance to participate in another gamble, but soon finds out the loan shark's real intentions when he is kidnapped. Given that Kaiji is unable to pay off his huge debt, the Teiai Group instead sends him to work in an underground labor camp. He is told that he will have to live in this hell for 15 years, alongside other debtors, until he can earn his freedom. His only hope to put an early end to this nightmare is by saving enough money to be able to go back to the surface for a single day. Once he is there, he plans to obtain the remaining money needed to settle his account by making a high-stakes wager. However, as many temptations threaten his scarce income, Kaiji may have to resort to gambling sooner than he had expected. [Written by MAL Rewrite]","['Prequel (TV) Gyakkyou Burai Kaiji: Ultimate Survivor', 'Adaptation (Manga) Tobaku Hakairoku Kaiji']",Gyakkyou Burai Kaiji: Hakairoku-hen,"Gyakkyou Burai Kaiji S2, The Suffering Pariah Kaiji: Backslide Arc",['Suspense'],['Seinen'],Kaiji: Against All Rules,,Kaiji: Against All Rules,Kaiji: Against All Rules,
56,トリコ,Toriko,['TV'],147,Finished Airing,"Apr 3, 2011 to Mar 30, 2014",['Spring 2011'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV', 'Shueisha']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1924,#1795,"134,188",876,52975,"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients. Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself! [Written by MAL Rewrite]","['Prequel (Movie) Toriko 3D: Kaimaku Gourmet Adventure!!', 'Adaptation (Manga) Toriko']",Toriko,"Toriko (2011), Toriko (TV), Toriko x One Piece Collabo Special",,['Shounen'],,,,,
57,ポケットモンスターベストウイッシュ,Pokémon: Black & White,['TV'],84,Finished Airing,"Sep 23, 2010 to Jun 14, 2012",['Fall 2010'],Thursdays at 19:00 (JST),"['TV Tokyo', 'MediaNet', 'Half H.P Studio']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,22 min. per ep.,PG - Children,6.45,#7409,#2100,"108,615",162,63572,"When Satoshi and his mother accompany Professor Ookido to the distant Isshu region, Satoshi discovers Pokémon that he’s never seen before… and that he can’t wait to catch! He may have Pikachu at his side together with new friends Iris and Dent, but he’ll still need plenty of new Pokémon on his team if he wants to challenge Isshu's expert Gym Leaders. His quest to become a Pokémon Master just got even tougher! (Source: Official site)","['Prequel (TV) Pokemon Diamond & Pearl', 'Sequel (TV) Pokemon Best Wishes! Season 2']",Pokemon Best Wishes!,"Pocket Monsters: Best Wishes!, Black & White, BW: Rival Destinies",,['Kids'],Pokémon Negro y Blanco. Temporada 14,,Pokémon die Serie: Schwarz und Weiß,Pokémon la Série: Noir et Blanc,
58,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1029,#2401,"88,047","1,330",42182,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,['Seinen'],Shin Chan,['School'],Shin Chan,,
59,イナズマイレブン Go,,['TV'],47,Finished Airing,"May 4, 2011 to Apr 11, 2012",['Spring 2011'],Unknown,"['TV Tokyo', 'Dentsu', 'Half H.P Studio', 'TV Tokyo Music']","None found,",['OLM'],Game,,"['Super Power', 'Team Sports']",24 min. per ep.,G - All Ages,7.02,#4295,#2420,"87,331",312,53747,"Tenma Matsukaze is a new student at Raimon Junior High. Due to his love for soccer, he decides to join the school soccer team, which gained its reputation after the amazing performance shown ten years earlier in the Football Frontier International, a tournament that hosts the best youth teams the world has to offer. Unfortunately, the once renowned school doesn't have the soccer spirit it once enjoyed. This is primarily due to the fact that soccer in Japan is now controlled by a dark entity known as the ""Fifth Sector."" They alone decide the fate of every match, instructing teams to either win or lose. The actions of the Fifth Sector have beaten down the country’s soccer teams, who no longer have a love for the game. Tenma and his teammates will look to shift this paradigm and fight back against their evil oppressors. Thankfully, they will not be alone in this battle, as they will get help from a group known as the ""Resistance."" Cheer on the boys of Inazuma Eleven Go as they fight the good fight!","['Prequel (TV) Inazuma Eleven', 'Sequel (TV) Inazuma Eleven Go: Chrono Stone', 'Adaptation (Manga) Inazuma Eleven Go', '']",Inazuma Eleven Go,,['Sports'],,,,,,
60,遊☆戯☆王ZEXAL,Yu-Gi-Oh! Zexal,['TV'],73,Finished Airing,"Apr 11, 2011 to Sep 24, 2012",['Spring 2011'],Mondays at 19:30 (JST),"['TV Tokyo', 'Marvelous Entertainment', 'Nihon Ad Systems', 'Konami Cross Media NY']",['4Kids Entertainment'],['Gallop'],['Manga'],"['Action', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.43,#7523,#2514,"81,896",349,46876,"In the bustling and futuristic city of Heartland, a young boy named Yuuma Tsukumo has a dream that everyone his age wants to achieve—earning the title of the greatest duelist! Sadly, due to his lackluster dueling skills, this dream is far from achievable. But when the school bully, Ryouga ""Shark"" Kamishiro, splits the key given to him by his father into two pieces, he inadvertently sets Yuuma on a collision course with his dream. Retaining one half of the key, Yuuma begins a duel with Shark, but soon realizes that his inexperienced skills are no match for him. In a sudden turn of events, Yuuma's key repairs itself, and the ""Door of Destiny'' appears before him. Using the key to open it, Yuuma is greeted by an alien by the name of Astral—a being only he can see. The bewildered Yuuma soon learns that his memories have been divided into 100 ""Number Cards,"" all of which he must retrieve. However, he is also not the only one looking for them. Bombarded by these revelations, Yuuma, alongside Astral, must defend the world from the upcoming threats that loom over Heartland City—regardless of any divine intervention that may occur. [Written by MAL Rewrite]","['Sequel (TV) Yu☆Gi☆Oh! Zexal Second', 'Adaptation (Manga) Yu☆Gi☆Oh! Zexal']",Yu☆Gi☆Oh! Zexal,"Yugioh, Yuu Gi Ou! Zexal, Yu-Gi-Oh! Zeal, Yu-Gi-Oh! Zexal",,['Shounen'],Yu-Gi-Oh! Zexal,['Strategy Game'],Yu-Gi-Oh! Zexal,Yu-Gi-Oh! Zexal,
61,カードファイト!! ヴァンガード,Cardfight!! Vanguard,['TV'],65,Finished Airing,"Jan 8, 2011 to Mar 31, 2012",['Winter 2011'],Saturdays at 08:00 (JST),"['Dentsu', 'Sotsu', 'Sakura Create', 'Bushiroad']","None found,",['TMS Entertainment'],Original,,,24 min. per ep.,PG-13 - Teens 13 or older,7.03,#4260,#3116,"56,184",328,27721,"Taking the world by storm, the card game Cardfight Vanguard has influenced many to integrate card games into their everyday lives. Players of the popular game are called ""cardfighters,"" and they frequently battle each other in card shops. The game has inspired many people, one of which is the quiet and timid Aichi Sendou who is often ridiculed and bullied by his peers. Whenever he feels down, he takes a glance at Blaster Blade—a legendary rare card given to him when he was young—and gains the motivation to move on with his life. However, one day, school bully Katsumi Morikawa notices Aichi's treasure and snatches the card away from him. After a turn of events, Aichi soon discovers that the card is now in the hands of Toshiki Kai, a cardfighter who has become the strongest in town despite having only recently arrived. To make matters worse, Kai refuses to return the card unless Aichi defeats him in a cardfight. Much to everyone's surprise, Aichi rises up to the occasion. As he musters up his courage and pictures himself winning this decisive battle, Aichi begins to find his way into the adventurous world of Cardfight Vanguard. [Written by MAL Rewrite]","['Sequel (TV) Cardfight!! Vanguard: Asia Circuit-hen', 'Adaptation (Manga) Cardfight!! Vanguard']",Cardfight!! Vanguard,,['Action'],,,['Strategy Game'],,,
62,爆丸バトルブローラーズ Gundalian Invaders,Bakugan: Gundalian Invaders,['TV'],39,Finished Airing,"Apr 3, 2011 to Jan 22, 2012",['Spring 2011'],Unknown,['Sega'],['Nelvana'],['TMS Entertainment'],Original,"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,G - All Ages,6.36,#7905,#3235,"52,116",104,30742,"Bakugan Interspace is a virtual reality system, where players can brawl against each other and take part in tournaments. Initially designed to help practice and enhance Bakugan skills, it quickly became a meeting place for many enthusiasts. During one of Danma Kuusou's duels, the Interspace crashes, and he gets knocked out cold. Before regaining consciousness, he experiences a vision of Bakugan at war with each other once again. The explosion of energy that accompanied Danma's fight and caused the shutdown of the system sends shock waves across the galaxy, attracting the attention of the Twelve Orders, a Gundalian organization. They infiltrate Bakugan Interspace, looking for strong brawlers to join them in their upcoming war with another alien race, the Neathians. Danma and his companions—Shun Kazami and Chouji Marukura—soon find themselves caught up in an extraterrestrial war. However, distant as it may seem, the conflict threatens the very sovereignty of Earth and the future of the Bakugan race as well. [Written by MAL Rewrite]","['Prequel (TV) Bakugan Battle Brawlers: New Vestroia', 'Sequel (ONA) Bakugan Battle Brawlers: Mechtanium Surge']",Bakugan Battle Brawlers: Gundalian Invaders,,,,Bakugan: Invasores de Gundalia,['Strategy Game'],,Bakugan: Gundalian Invaders,
63,メタルファイト ベイブレード 4D,Beyblade: Metal Fury,['TV'],52,Finished Airing,"Apr 3, 2011 to Apr 1, 2012",['Spring 2011'],Sundays at 08:30 (JST),"['TV Tokyo', 'd-rights']",['Nelvana'],['SynergySP'],['Manga'],"['Adventure', 'Sports']",,24 min. per ep.,PG - Children,7.06,#4088,#3246,"51,828",206,33239,"In the Cosmos, an unusual event has occurred. Taking a break from their latest triumph over Faust and the Spiral Core, Ginga and Co find themselves saving a boy named Yuki from a mysterious youth named Johannes. Although Yuki is a boy genius and an astronomer, he is a Blader who owns “Anubius”. Yuki says that he has come to tell Ginga and his friends about the voice of the Star Fragment. He witnessed the Star Fragment (a meteor) fall from the sky one day. That single light dwells within Anubius and he says that he heard the voice of the Star Fragment that evening. A great evil is trying to revive the “Black Sun” and ""Nemesis"", the god of destruction, by using the unknown power of the Star Fragment and destroy the world. Ginga and his friends must fight again, just as soon as they get the hang of their new 4D system beys! The episode numbers continue from 103.","['Prequel (TV) Metal Fight Beyblade: Baku', 'Sequel (TV) Metal Fight Beyblade Zero G']",Metal Fight Beyblade 4D,Metal Fight Beyblade 3,,['Kids'],,,,Beyblade Métal Fury Saison 3,
64,へうげもの,,['TV'],39,Finished Airing,"Apr 7, 2011 to Jan 26, 2012",['Spring 2011'],Unknown,"['NHK', 'Sogo Vision']","None found,",['Bee Train'],['Manga'],,"['Adult Cast', 'Historical', 'Samurai', 'Visual Arts']",25 min. per ep.,R - 17+ (violence & profanity),7.96,#725,#4312,"29,883",322,5169,"The story is set during Japan's Sengoku Jidai (Era of the Warring States) and centers on Furuta Sasuke, a vassal of the great warlord Oda Nobunaga and a man obsessed with tea ceremony and material desires in his pursuit of a fortuitous life. Having learned from Oda and the legendary tea master Sen no Soueki, Furuta walks the way of the Hyouge Mono. (Source: ANN)","['Adaptation (Manga) Hyouge Mono', '']",Hyouge Mono,Hyougemono,,['Seinen'],,,,,
65,デジモンクロスウォーズ～悪のデスジェネラルと七つの王国～,Digimon Fusion,['TV'],24,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",['Spring 2011'],Sundays at 06:30 (JST),['TV Asahi'],['Flatiron Film Company'],['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,7.09,#3966,#4349,"29,420",52,15432,"Returning to the Digital World, Taiki and Shoutmon learn that the Bagra Army has taken it over and reformatted the world to have Seven Kingdoms, each ruled by a general. (Source: AniDB)","['Prequel (TV) Digimon Xros Wars', 'Sequel (TV) Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi']",Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,"Digimon Crosswars, Digimon Xros Wars: The Evil Death Generals and the Seven Kingdoms, Digimon Xros Wars: Aku no Death General to Shichinin no Oukoku",,,,['Isekai'],,,
66,プリティーリズム オーロラドリーム,,['TV'],51,Finished Airing,"Apr 9, 2011 to Mar 31, 2012",['Spring 2011'],Saturdays at 10:00 (JST),"None found,","None found,",['Tatsunoko Production'],Game,,"['Idols (Female)', 'Music']",23 min. per ep.,PG - Children,7.42,#2264,#4783,"23,848",191,9478,"Aira Harune, a clumsy yet happy-go-lucky girl, is suddenly dragged into the popular world of Prism Shows—an idol show based on figure skating, where performers called ""Prism Stars"" wear outfits encased in Prism Stones and perform stylistic Prism Jumps. Captivated by the dazzling fashion and gorgeous Prism Jumps, Aira decides to become a Prism Star herself. She soon encounters the hot-headed Rizumu ""Rhythm"" Amamiya, who desires to perform the legendary Prism Jump “Aurora Rising”; as well as the prideful Mion Takamine, who dreams of becoming the brightest Prism Star above the rest. The journey of these girls is marked by friendship, growth, and unexpected encounters. Can they perform Prism Jumps high enough to reach their dreams and become the next Prism Queens? [Written by MAL Rewrite]","['Sequel (TV) Pretty Rhythm: Dear My Future', 'Adaptation (Manga) Pretty Rhythm', 'Adaptation (Manga) Pretty Rhythm: Aurora Dream', '']",Pretty Rhythm: Aurora Dream,,['Sports'],,,,,,
67,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min.,PG - Children,7.71,#1247,#5002,"21,412",240,9585,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,,,,['Anthropomorphic'],,,"['Kids', 'Shounen']"
68,スイート プリキュア♪,,['TV'],48,Finished Airing,"Feb 6, 2011 to Jan 29, 2012",['Winter 2011'],Unknown,"None found,","None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,7.29,#2890,#5407,"17,533",131,7040,"Major Land is a colorful world of music where instruments and notes come to life. During an annual concert event, Hummy, the cat songstress of Major Land, prepares to sing the ""Melody of Happiness,"" capable of spreading happiness to worlds beyond. However, Mephisto, the king of Minor Land, interrupts the event and rewrites the score into the ""Melody of Sorrow""—a dissonant composition that would instead cause despair when performed. In order to prevent this from happening, Hummy is tasked with finding the Precure, renowned warriors with an unmatched passion for music, and recreating the Melody of Happiness. Hummy arrives in Kanon Town, home of musically-inclined athlete Hibiki Houjou and studious baker Kanade Minamino. Engaging only in endless bickers, Hibiki and Kanade were formerly best friends and have since fallen out of touch. Their activities are stopped short by an unwelcome guest—the songstress of Minor Land, Siren. When Siren turns an important record into a gigantic monster, the girls' hearts resonate with the desire to protect what they hold dear and the two transform into the Suite Precure! As legendary warriors, Hibiki and Kanade will have to put their personal squabbles aside if they wish to protect the happiness of the world. [Written by MAL Rewrite]","['Adaptation (Manga) Suite Precure♪: Precure Collection', '']",Suite Precure♪,Suite Pretty Cure♪,['Action'],,,['Mahou Shoujo'],,,
69,ダンボール戦機,LBX: Little Battlers eXperience,['TV'],44,Finished Airing,"Mar 2, 2011 to Jan 11, 2012",['Spring 2011'],Wednesdays at Unknown,"['TV Tokyo', 'Dentsu']",['Dentsu Entertainment USA'],['OLM'],Game,,,23 min. per ep.,G - All Ages,7.01,#4347,#6473,"11,060",54,5076,"In 2046, a revolutionary 80% shock-absorbing reinforced cardboard has been developed, rapidly transforming the world's exports. The reinforced cardboard would soon become the battleground for a popular children's hobby called ""LBX"" (Little Battler eXperience). Four years later, a boy named Yamano Ban who loves to play with LBX (although without a mecha himself) is given a case containing the model AX-00 by a mysterious woman. He is told that he now holds the hopes and despairs of mankind in his hands.","['Sequel (TV) Danball Senki W', 'Adaptation (Manga) Danball Senki']",Danball Senki,"Danbooru Senki, Cardboard War Chronicles",['Action'],['Kids'],,['Mecha'],,,
70,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9125,#7130,"8,799",39,1933,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,,
71,ほんとにあった! 霊媒先生,,['TV'],22,Finished Airing,"Apr 13, 2011 to Sep 14, 2011",['Spring 2011'],Wednesdays at 01:29 (JST),"None found,","None found,",['DLE'],['Manga'],"['Comedy', 'Supernatural']",,4 min. per ep.,PG-13 - Teens 13 or older,6.49,#7168,#7323,"8,241",11,2791,"The story revolves around Kibayashi, a teacher whose hobby is speaking with the dead and whose special talent is exorcism. She seems to know everything about the other world, yet nothing about our own. (Source: AniDB)","['Adaptation (Manga) Honto ni Atta! Reibai Sensei', '']",Honto ni Atta! Reibai Sensei,Yuruani,,['Shounen'],,['School'],,,
