,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographics
0,"AoT, SnK",進撃の巨人,Attack on Titan,Attack on Titan,Ataque a los Titanes,L'Attaque des Titans,['TV'],25,Finished Airing,"Apr 7, 2013 to Sep 29, 2013",['Spring 2013'],Sundays at 01:58 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']",['Funimation'],['Wit Studio'],['Manga'],"['Action', 'Award Winning', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),8.56,#109,#1,"4,119,103","178,298",2906884,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations. After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached. [Written by MAL Rewrite]","['Sequel (TV) Shingeki no Kyojin Season 2', 'Adaptation (Manga) Shingeki no Kyojin']",Shingeki no Kyojin,,,
1,Hataraku Maou-sama!,はたらく魔王さま!,The Devil is a Part-Timer!,The Devil is a Part-Timer!,The Devil is a Part-Timer!,The Devil is a Part-Timer!,['TV'],13,Finished Airing,"Apr 4, 2013 to Jun 27, 2013",['Spring 2013'],Thursdays at 22:00 (JST),"['Sotsu', 'Lantis', 'Pony Canyon', 'Magic Capsule', 'KlockWorx', 'ASCII Media Works', 'Showgate', 'Infinite']",['Funimation'],['White Fox'],['Light novel'],"['Comedy', 'Supernatural']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.71,#1266,#74,"1,610,178","10,681",979858,"Striking fear into the hearts of mortals, the Demon Lord Satan begins to conquer the land of Ente Isla with his vast demon armies. However, while embarking on this brutal quest to take over the continent, his efforts are foiled by the hero Emilia, forcing Satan to make his swift retreat through a dimensional portal only to land in the human world. Along with his loyal general Alsiel, the demon finds himself stranded in modern-day Tokyo and vows to return and complete his subjugation of Ente Isla—that is, if they can find a way back! Powerless in a world without magic, Satan assumes the guise of a human named Sadao Maou and begins working at MgRonald's—a local fast-food restaurant—to make ends meet. He soon realizes that his goal of conquering Ente Isla is just not enough as he grows determined to climb the corporate ladder and become the ruler of Earth, one satisfied customer at a time! Whether it's part-time work, household chores, or simply trying to pay the rent on time, Hataraku Maou-sama! presents a hilarious view of the most mundane aspects of everyday life, all through the eyes of a hapless demon lord. [Written by MAL Rewrite]","['Sequel (TV) Hataraku Maou-sama!!', 'Adaptation (Manga) Hataraku Maou-sama!', 'Adaptation (Light Novel) Hataraku Maou-sama!', '']",Hataraku Maou-sama!,,,
2,"Oregairu, My youth romantic comedy is wrong as I expected.",やはり俺の青春ラブコメはまちがっている。,My Teen Romantic Comedy SNAFU,My Teen Romantic Comedy SNAFU,My Teen Romantic Comedy SNAFU,My Teen Romantic Comedy SNAFU,['TV'],13,Finished Airing,"Apr 5, 2013 to Jun 28, 2013",['Spring 2013'],Fridays at 01:28 (JST),"['Geneon Universal Entertainment', 'TBS', 'Delfi Sound', 'Marvelous AQL', 'Atelier Musa']",['Sentai Filmworks'],"[""Brain's Base""]",['Light novel'],"['Comedy', 'Romance']","['Love Polygon', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,8.00,#663,#85,"1,495,282","29,557",883225,"Hachiman Hikigaya is an apathetic high school student with narcissistic and semi-nihilistic tendencies. He firmly believes that joyful youth is nothing but a farce, and everyone who says otherwise is just lying to themselves. In a novel punishment for writing an essay mocking modern social relationships, Hachiman's teacher forces him to join the Volunteer Service Club, a club that aims to extend a helping hand to any student who seeks their support in achieving their goals. With the only other club member being the beautiful ice queen Yukino Yukinoshita, Hachiman finds himself on the front line of other people's problems—a place he never dreamed he would be. As Hachiman and Yukino use their wits to solve many students' problems, will Hachiman's rotten view of society prove to be a hindrance or a tool he can use to his advantage? [Written by MAL Rewrite]","['Sequel (TV) Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Adaptation (Manga) Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue', 'Adaptation (Manga) Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic', 'Adaptation (Light Novel) Yahari Ore no Seishun Love Comedy wa Machigatteiru.']",Yahari Ore no Seishun Love Comedy wa Machigatteiru.,,,
3,,デート・ア・ライブ,Date A Live,,,,['TV'],12,Finished Airing,"Apr 6, 2013 to Jun 22, 2013",['Spring 2013'],Saturdays at 01:30 (JST),"['AIC', 'Kadokawa Shoten', 'AT-X', 'Nippon Columbia', 'Fujimi Shobo']",['Funimation'],['AIC PLUS+'],['Light novel'],"['Action', 'Fantasy', 'Romance', 'Sci-Fi']","['Harem', 'School', 'Urban Fantasy']",,25 min. per ep.,R - 17+ (violence & profanity),7.15,#3646,#155,"1,075,473","10,071",604293,"Thirty years ago, the Eurasian continent was devastated by a supermassive ""spatial quake""—a phenomenon involving space vibrations of unknown origin—resulting in the deaths of over 150 million people. Since then, these quakes have been plaguing the world intermittently, albeit on a lighter scale. Shidou Itsuka is a seemingly average high school student who lives with his younger sister, Kotori. When an imminent spatial quake threatens the safety of Tengu City, he rushes to save her, only to be caught in the resulting eruption. He discovers a mysterious girl at its source, who is revealed to be a ""Spirit,"" an otherworldly entity whose appearance triggers a spatial quake. Soon after, he becomes embroiled in a skirmish between the girl and the Anti-Spirit Team, a ruthless strike force with the goal of annihilating Spirits. However, there is a third party that believes in saving the spirits: ""Ratatoskr,"" which surprisingly is commanded by Shidou's little sister! Kotori forcibly recruits Shidou after the clash, presenting to him an alternative method of dealing with the danger posed by the Spirits—make them fall in love with him. Now, the fate of the world rests on his dating prowess, as he seeks out Spirits in order to charm them. [Written by MAL Rewrite]","['Sequel (OVA) Date A Live: Date to Date', 'Adaptation (Manga) Date A Live', 'Adaptation (Manga) Date A Live: Tooka Dead End', 'Adaptation (Light Novel) Date A Live']",Date A Live,,,
4,HenNeko,変態王子と笑わない猫。,"The ""Hentai"" Prince and the Stony Cat.",,Henneko: The Hentai Prince and the Stony Cat,HENNEKO – The Hentai Prince and the Stony Cat -,['TV'],12,Finished Airing,"Apr 13, 2013 to Jun 29, 2013",['Spring 2013'],Saturdays at 22:30 (JST),"['Frontier Works', 'Media Factory', 'FuRyu']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Comedy', 'Romance', 'Supernatural']","['Harem', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,7.14,#3679,#522,"460,969","1,738",241304,"Youto Yokodera wants to be seen in a way different from most men: as a pervert. However, his lewd actions are often misinterpreted as good intentions, and people cannot see his true nature. Upon hearing rumors of a cat statue that can banish an unwanted trait, he searches for it and prays for his façade to be removed. But each wish comes at a price: those unwelcomed traits are transferred to someone else who desires them! After realizing that vocalizing his dirty thoughts is not the best thing, Youto decides to regain his lost traits by seeking out the person who received them. Unfortunately, he was not alone in praying to the cat statue, and now he must not only fix his life, but the lives of others as well. [Written by MAL Rewrite]","['Adaptation (Manga) Hentai Ouji to Warawanai Neko.', 'Adaptation (Light Novel) Hentai Ouji to Warawanai Neko.']",Hentai Ouji to Warawanai Neko.,,,
5,"My Little Sister Can't Be This Cute 2, Ore no Imouto ga Konna ni Kawaii Wake ga Nai 2",俺の妹がこんなに可愛いわけがない。,OreImo 2,,,,['TV'],13,Finished Airing,"Apr 7, 2013 to Jun 30, 2013",['Spring 2013'],Sundays at 00:00 (JST),"['Aniplex', 'Movic', 'ASCII Media Works', 'Bandai Namco Games']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],"['Comedy', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.89,#4897,#545,"446,145","1,213",269234,"The diehard otaku Kirino Kousaka has returned and settled back into life in Japan with her friends and family. Despite what her older brother Kyousuke has previously done for her, Kirino continues to give him the cold shoulder, much to his frustration. He is worried that his persuasion for Kirino to drop her track and field training in America and return home may have severely strained his relationship with her. On top of that, Kyousuke now also has to decode a bold and cryptic message from Ruri ""Kuroneko"" Gokou, his junior at school as well as Kirino's friend. As the ties between the two siblings and their friends deepen, Kirino and Kyousuke will soon have to figure out how they want to deal with these relationships, helping each other realize their own feelings in the process. In spite of that, Kirino still manages to find time to satisfy her otaku needs with the company of her brother. [Written by MAL Rewrite]","['Prequel (ONA) Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials', 'Sequel (ONA) Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials', 'Adaptation (Manga) Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Adaptation (Light Novel) Ore no Imouto ga Konnani Kawaii Wake ga Nai']",Ore no Imouto ga Konnani Kawaii Wake ga Nai.,['Otaku Culture'],,
6,"Toaru Kagaku no Railgun 2, Toaru Kagaku no Choudenjihou 2, A Certain Scientific Railgun 2",とある科学の超電磁砲S,A Certain Scientific Railgun S,A Certain Scientific Railgun S,A Certain Scientific Railgun S,A Certain Scientific Railgun S,['TV'],24,Finished Airing,"Apr 12, 2013 to Sep 27, 2013",['Spring 2013'],Fridays at 23:30 (JST),"['Geneon Universal Entertainment', 'Movic', 'AT-X', 'Warner Bros. Japan', 'ASCII Media Works']",['Funimation'],['J.C.Staff'],['Manga'],"['Action', 'Fantasy', 'Sci-Fi']","['Super Power', 'Urban Fantasy']",,24 min. per ep.,R - 17+ (violence & profanity),8.00,#660,#618,"400,579","3,774",211094,"Mikoto Misaka and her friends are back, investigating rumors across Academy City. Soon, Mikoto discovers something terrifying: horrific experiments are taking place throughout the city, involving the murder of thousands of espers. Moreover, these espers are far from just ordinary people: they are clones of Mikoto herself. Feeling responsible for their treatment, she sets off to put an end to the experiments; however, the forces opposing her are much more dangerous than she anticipated, and Mikoto finds herself up against some of the most powerful espers imaginable. Toaru Kagaku no Railgun S continues the story of the Railgun as she desperately fights to put an end to the inhuman experiments that she believes she helped cause, her life dragged deep into despair in the process. There's never a dull moment in Academy City, but no one ever said all of them would be pleasant. [Written by MAL Rewrite]","['Prequel (TV) Toaru Kagaku no Railgun', 'Sequel (TV) Toaru Kagaku no Railgun T', 'Adaptation (Manga) Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun', '']",Toaru Kagaku no Railgun S,,,
7,Suisei no Galgantia,翠星のガルガンティア,Gargantia on the Verdurous Planet,Gargantia on the Verdurous Planet,Gargantia on the Verdurous Planet (Suisei no Gargantia),Gargantia on The Verdurous Planet,['TV'],13,Finished Airing,"Apr 7, 2013 to Jun 30, 2013",['Spring 2013'],Sundays at 22:00 (JST),"['Bandai Visual', 'Yomiuri Telecasting', 'Lantis', 'Nitroplus', 'Bushiroad', 'Good Smile Company']",['VIZ Media'],['Production I.G'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.44,#2204,#728,"348,616","1,327",179252,"In the distant future, a majority of humans have left the Earth, and the Galactic Alliance of Humanity is founded to guide exploration and ensure the prosperity of mankind. However, a significant threat arises in the form of strange creatures called Hideauze, resulting in an interstellar war to prevent humanity's extinction. Armed with Chamber, an autonomous robot, 16-year-old lieutenant Ledo of the Galactic Alliance joins the battle against the monsters. In an unfortunate turn of events, Ledo loses control during the battle and is cast out to the far reaches of space, crash-landing on a waterlogged Earth. On the blue planet, Gargantia—a large fleet of scavenger ships—comes across Chamber and retrieves it from the ocean, thinking they have salvaged something of value. Mistaking their actions for hostility, Ledo sneaks aboard and takes a young messenger girl named Amy hostage, only to realize that the residents of Gargantia are not as dangerous as he had believed. Faced with uncertainty, and unable to communicate with his comrades in space, Ledo attempts to get his bearings and acclimate to a new lifestyle. But his peaceful days are about to be short-lived, as there is more to this ocean-covered planet than meets the eye. [Written by MAL Rewrite]","['Sequel (OVA) Suisei no Gargantia: Meguru Kouro, Haruka', 'Adaptation (Manga) Suisei no Gargantia', 'Adaptation (Light Novel) Suisei no Gargantia', '']",Suisei no Gargantia,['Mecha'],,
8,Aku no Hana,惡の華,Flowers of Evil,Flowers of Evil,Aku no Hana: Flowers of Evil,Flowers of Evil,['TV'],13,Finished Airing,"Apr 5, 2013 to Jun 30, 2013",['Spring 2013'],Fridays at 22:00 (JST),"['Starchild Records', 'Animax', 'Kodansha', 'KlockWorx', 'GANSIS']",['Sentai Filmworks'],['Zexcs'],['Manga'],"['Drama', 'Romance', 'Suspense']","['Psychological', 'School']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.15,#3663,#1102,"235,760","3,240",82788,"Takao Kasuga, a high school student fascinated by poetry, reveres Charles Baudelaire and even decorates his room with the poet's portrait. On a normal day, Takao forgets his copy of The Flowers of Evil in the classroom. When returning to retrieve it, he steals the sports garments of Nanako Saeki—a model student who Takao calls his muse and a femme fatale. Deeply ashamed of his act which he sees as a sin and what others see as a crime, Takao realizes with horror that Sawa Nakamura, his classmate and social outcast, knows about his theft. Blackmailed by her, Takao is now forced to partake in Sawa's disturbing fantasies, lest she reveals his deeds to everyone. Caught in a negative spiral of increasingly traumatic experiences, will Takao be able to break free from Sawa's thorns and atone for his sins? [Written by MAL Rewrite]","['Adaptation (Manga) Aku no Hana', '']",Aku no Hana,,,
9,Karneval (2013),カーニヴァル,Karneval,Karneval,Karneval,Karneval,['TV'],13,Finished Airing,"Apr 4, 2013 to Jun 27, 2013",['Spring 2013'],Unknown,"['Bandai Visual', 'Lantis', 'Ichijinsha']",['Funimation'],['Manglobe'],['Manga'],"['Action', 'Fantasy', 'Mystery', 'Sci-Fi']",,['Josei'],24 min. per ep.,PG-13 - Teens 13 or older,7.07,#4068,#1182,"220,314","1,175",91492,"While in search of his precious friend, a young boy named Nai falls captive to a beautiful woman, whose looks are matched only by her taste for human flesh. Meanwhile Gareki, a clever thief, is in the midst of robbing her luxurious home. After causing a distraction, Gareki agrees to help Nai escape, but they are discovered upon the woman's return. As she transforms into a ghoulish monster, the boys flee. On the run, Nai and Gareki are found by ""Circus,"" a government defense agency that deals with criminal activity too difficult for the police to handle and protects civilians from ""varuga""—terrible monsters that devour humans for sustenance. In the hope that it will lead Nai to his missing friend, he and Gareki decide to join Circus. On their perilous journey, they face dangerous varuga and begin to uncover the secrets behind a shadowy organization known as Kafka. [Written by MAL Rewrite]","['Adaptation (Manga) Karneval', '']",Karneval (TV),,,
