,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Demographic,French,Theme,Demographics,German,Spanish
0,バッカーノ！,Baccano!,['TV'],13,Finished Airing,"Jul 27, 2007 to Nov 2, 2007",['Summer 2007'],Fridays at 00:30 (JST),"['Aniplex', 'Movic']","['Funimation', 'Aniplex of America']","[""Brain's Base""]",['Light novel'],"['Action', 'Mystery', 'Supernatural']","['Adult Cast', 'Historical', 'Organized Crime']",24 min. per ep.,R - 17+ (violence & profanity),8.35,#233,#196,"930,534","23,510",390214,"During the early 1930s in Chicago, the transcontinental train, Flying Pussyfoot, is starting its legendary journey that will leave a trail of blood all over the country. At the same time in New York, the ambitious scientist Szilard and his unwilling aide Ennis are looking for missing bottles of the immortality elixir. In addition, a war between the mafia groups is getting worse. On board the Advena Avis, in 1711, alchemists are about to learn the price of immortality. Based on the award-winning light novels of the same name, Baccano! follows several events that initially seem unrelated, both in time and place, but are part of a much bigger story—one of alchemy, survival, and immortality. Merging these events together are the kindhearted would-be thieves, Isaac and Miria, connecting various people, all of them with their own hidden ambitions and agendas, and creating lifelong bonds and consequences for everyone involved. [Written by MAL Rewrite]","['Sequel (Special) Baccano! Specials', 'Adaptation (Manga) Baccano! 1931 The Grand Punk Railroad', 'Adaptation (Manga) Baccano! Read Manga', 'Adaptation (Light Novel) Baccano! Read LN']",Baccano!,,,,,,,,
1,スクールデイズ,School Days,['TV'],12,Finished Airing,"Jul 4, 2007 to Sep 27, 2007",['Summer 2007'],Wednesdays at 02:15 (JST),"['Avex Entertainment', 'Marvelous Entertainment', 'Lantis', 'Pony Canyon']",['Discotek Media'],['TNK'],Visual novel,"['Drama', 'Romance']","['Harem', 'School']",24 min. per ep.,R+ - Mild Nudity,5.51,#12078,#319,"686,273","3,443",408645,"High school student Makoto Itou first notices Kotonoha Katsura at the start of his second semester, freshman year. Immediately, he becomes entranced by her beauty, but his bashfulness doesn't allow him to approach her, even though they ride the same train every day. Instead, he snaps a photo of her in secret and sets it as his cell phone's wallpaper: a charm that, if kept under wraps, would supposedly help you realize your love. However, classmate Sekai Saionji spots the picture, but instead of ratting him out, she offers to help set him up with Kotonoha—going so far as befriending her just for him. Thus, the trio begins a rather impromptu friendship. School Days follows the lives of these three teenagers as they traverse the joys and hardships that come with being a high schooler. In a story alive and brimming with romance and melancholy, the tale of these three students will linger in memory long after the momentous conclusion. [Written by MAL Rewrite]","['Adaptation (Manga) School Days', '']",School Days,,,,,,,,
2,ゼロの使い魔 ～双月の騎士～,The Familiar of Zero: Knight of the Twin Moons,['TV'],12,Finished Airing,"Jul 9, 2007 to Sep 24, 2007",['Summer 2007'],Mondays at 00:30 (JST),"['Genco', 'Media Factory', 'Shochiku', 'Happinet Pictures']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,7.39,#2431,#458,"516,686","1,278",315064,"Revered as heroes for their role in defending Tristain, Louise Françoise and her familiar Saito Hiraga face heavy pressure to continue protecting the Kingdom. With an uneasy peace now established within Albion, the newly crowned Queen Henrietta must deal with a political struggle brewing on the horizon. To make matters worse, a new villain has begun plotting in the shadows against the Crown. With the continuing threats that face the Kingdom, Louise and Saito are compelled to work together once more. No longer ""Louise the Zero,"" the young mage's newfound aptitude for Void magic gives her enough power to wipe out an entire village; however, wielding these abilities comes with its share of challenges. As more conflicts arise, the idea of placing honor above oneself is put into question—regardless of their answer, their only choice is to see it through until the end. [Written by MAL Rewrite]","['Prequel (TV) Zero no Tsukaima', 'Sequel (TV) Zero no Tsukaima: Princesses no Rondo', 'Adaptation (Manga) Zero no Tsukaima', 'Adaptation (Manga) Zero no Tsukaima Chevalier']",Zero no Tsukaima: Futatsuki no Kishi,"Zero's Familiar 2nd Series, Zero no Tsukaima S2, The Familiar of Zero: The Rider of the Twin Moons",,,,,,,
3,ひぐらしのなく頃に解,Higurashi: When They Cry – Kai,['TV'],24,Finished Airing,"Jul 6, 2007 to Dec 18, 2007",['Summer 2007'],Fridays at 02:30 (JST),"['Frontier Works', 'Sotsu', 'Movic']",['Sentai Filmworks'],['Studio Deen'],Visual novel,"['Horror', 'Mystery', 'Suspense']","['Gore', 'Psychological']",24 min. per ep.,R - 17+ (violence & profanity),8.16,#456,#486,"492,853","7,514",260306,"In the small village of Hinamizawa, Rika Furude and her friends live together in relative harmony. Beneath this mask of peace, however, lies a hidden darkness, one that Rika understands all too well. In this eternal summer, she has been witness to unspeakable horrors. Every time the clock resets, Rika must try to find the villain behind these senseless deaths before tragedy strikes again. However, trying to decipher a mystery when only half the clues are present proves time and again to be disastrous, and each time she believes that things will change, she inevitably fails. As the annual festival approaches, Rika begins her descent from hope to despair in her struggle to break the chains of fate entangling them all. [Written by MAL Rewrite]","['Prequel (TV) Higurashi no Naku Koro ni', 'Sequel (OVA) Higurashi no Naku Koro ni Rei', 'Adaptation (Manga) Higurashi no Naku Koro ni Kai: Minagoroshi-hen Read Manga', 'Adaptation (Manga) Higurashi no Naku Koro ni Kai: Matsuribayashi-hen Read Manga']",Higurashi no Naku Koro ni Kai,"Higurashi no Naku Koro ni 2, Higurashi no Naku Koro ni 2nd Series, Higurashi no Nakukoro ni 2nd Season, The Moment the Cicadas Cry 2",,,,,,,
4,さよなら絶望先生,"Sayonara, Zetsubou-Sensei",['TV'],12,Finished Airing,"Jul 8, 2007 to Sep 23, 2007",['Summer 2007'],Unknown,"['Starchild Records', 'Omnibus Promotion']","['Nozomi Entertainment', 'Media Blasters']",['Shaft'],['Manga'],,"['Gag Humor', 'Parody', 'School']",24 min. per ep.,R - 17+ (violence & profanity),7.85,#923,#721,"354,866","4,702",130709,"Nozomu Itoshiki is a high school teacher so pessimistic that even the smallest of misfortunes can send him into a pit of raging despair; some of these ""catastrophes"" even lead to suicide attempts. Sayonara Zetsubou Sensei is a satirical slice-of-life comedy set in the modern day, covering various aspects of Japanese life and culture through Nozomu and his interactions with his students: Kiri Komori, a recluse who refuses to leave the school; Abiru Kobushi, an enigma who frequently arrives to class with severe and mysterious injuries; the hyper-optimistic Kafuuka Fuura, Nozomu's polar opposite; and several other unusual girls, all of whom are just as eccentric as their teacher. [Written by MAL Rewrite]","['Sequel (TV) Zoku Sayonara Zetsubou Sensei', 'Adaptation (Manga) Sayonara Zetsubou Sensei Read Manga']",Sayonara Zetsubou Sensei,"Sayonara Zetsubo Sensei, Goodbye Teacher Despair, SZS",['Comedy'],['Shounen'],,,,,
5,モノノ怪,Mononoke,['TV'],12,Finished Airing,"Jul 13, 2007 to Sep 28, 2007",['Summer 2007'],Fridays at 00:45 (JST),"['Dentsu', 'SKY Perfect Well Think', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",['Discotek Media'],['Toei Animation'],Original,"['Horror', 'Mystery', 'Supernatural', 'Suspense']","['Adult Cast', 'Historical', 'Mythology', 'Psychological']",22 min. per ep.,R - 17+ (violence & profanity),8.41,#193,#733,"346,643","8,765",99589,"The ""Medicine Seller"" is a deadly and mysterious master of the occult who travels across feudal Japan in search of malevolent spirits called ""mononoke"" to slay. When he locates one of these spirits, he cannot simply kill it; he must first learn its Form, its Truth, and its Reason in order to wield the mighty Exorcism Sword and fight against it. He must begin his strange exorcisms with intense psychological analysis and careful investigative work—an extremely dangerous step, as he must first confront and learn about the mononoke before he even has the means to defeat it. The Medicine Seller's journey leads him to an old-fashioned inn where Shino, a pregnant woman, has finally found a place to rest. The owner has reluctantly placed her in the last vacant room; however, as she settles in, it quickly becomes clear that the room is infested by a lethal band of mononoke, the Zashiki Warashi. With his hunter's intuition, the Medicine Seller begins his investigation to discover the Form, the Truth, and the Reason before the Zashiki Warashi can kill again. [Written by MAL Rewrite]","['Prequel (TV) Ayakashi: Japanese Classic Horror', 'Adaptation (Manga) Mononoke: Umibouzu', 'Adaptation (Manga) Mononoke: Zashiki Warashi', 'Adaptation (Manga) Mononoke: Nue']",Mononoke,,,,,,,,
6,デビル メイ クライ,Devil May Cry,['TV'],12,Finished Airing,"Jun 14, 2007 to Sep 6, 2007",['Summer 2007'],Thursdays at 23:00 (JST),"['WOWOW', 'Media Factory', 'Capcom', 'Toshiba Entertainment', 'Showgate']",['Funimation'],['Madhouse'],Game,"['Action', 'Fantasy']","['Gore', 'Mythology']",24 min. per ep.,R - 17+ (violence & profanity),6.93,#4704,#806,"318,807","1,661",173144,"Patty Lowell—the lost heir of a prestigious family—is found at an orphanage, and J.D. Morrison brings her to his acquaintance Dante, the owner of a business called ""Devil May Cry."" Dante takes on so-called ""odd jobs,"" and at Morrison's request, he agrees to become a bodyguard for Patty. Begrudgingly, he sets out to deliver Patty to her family, though he is a bit annoyed with a job that essentially amounts to babysitting. While Dante seems like a lazy good-for-nothing, he is actually a prolific demon hunter, which comes in handy when demons begin pursuing Patty. Soon enough, Dante realizes that there is more to this case than meets the eye, and he makes use of his particular skill set in order to keep Patty safe. [Written by MAL Rewrite]",[],Devil May Cry,"Devil May Cry: The Animated Series, DmC",,,,,,,
7,ZOMBIE-LOAN ゾンビローン,Zombie-Loan,['TV'],11,Finished Airing,"Jul 4, 2007 to Sep 12, 2007",['Summer 2007'],Wednesdays at 02:40 (JST),"['Xebec', 'Nihon Ad Systems']",['Discotek Media'],['XEBEC M2'],['Manga'],"['Action', 'Horror', 'Supernatural']",,23 min. per ep.,R - 17+ (violence & profanity),6.81,#5273,#1712,"142,006",320,65504,"Do you know when you are going to die? Michiru Kita does, as she has the ability to see a ""ring of death"" on the necks of those around her—and the darker the ring, the closer one is to death. One day, she notices that two boys in her class, Chika Akatsuki and Shito Tachibana, have completely black rings. Seeking to warn them of their impending demise, she stumbles onto their secret: they are already dead, but are kept alive due to a contract with Zombie-Loan, a mysterious loan office. Of course, nothing comes without a price, as the boys must hunt down and kill zombies in order to pay off their debt. And once they learn about Michiru's ""Shinigami Eyes,"" they drag her into their crazy world. [Written by MAL Rewrite]","['Sequel (Special) Zombie-Loan Specials', 'Adaptation (Manga) Zombie-Loan']",Zombie-Loan,,,['Shounen'],,,,,
8,シグルイ,Shigurui: Death Frenzy,['TV'],12,Finished Airing,"Jul 19, 2007 to Oct 11, 2007",['Summer 2007'],Thursdays at 23:30 (JST),"['WOWOW', 'Akita Shoten', 'Geneon Entertainment']",['Funimation'],['Madhouse'],['Manga'],"['Action', 'Drama', 'Suspense']","['Adult Cast', 'Gore', 'Historical', 'Martial Arts', 'Psychological', 'Samurai']",23 min. per ep.,R+ - Mild Nudity,7.35,#2562,#1840,"129,378",942,38817,"At the beginning of the Edo Era, when people enjoyed a time of peace, Lord Tokugawa Tadanaga holds a fighting tournament. In the past, matches were fought with wooden swords. This time, real swords will be used. One-armed Fujiki Gennosuke and blind Irako Seigen will fight each other in this match. Both are disciples of Iwamoto Kogan, who is known as Japan's greatest swordsman. Each of them are determined to prove himself the successor of Iwamoto's school. However, there can only be one champion. So begins a story of intertwining fates, conflict, and strange destinies. (Source: ANN)","['Adaptation (Manga) Shigurui', '']",Shigurui,Crazy for Death,,['Seinen'],Shigurui : Furie Meurtrière,,,,
9,湾岸ミッドナイト,,['TV'],26,Finished Airing,"Jun 15, 2007 to Sep 13, 2008",['Summer 2007'],Unknown,['OB Planning'],"None found,",['A.C.G.T.'],['Manga'],,,25 min. per ep.,PG-13 - Teens 13 or older,7.49,#2003,#3403,"47,602",652,18539,"From dusk until dawn, street racers gather on a Tokyo highway—the Wangan Route—in search of only one thing: speed. Among them, a newcomer attracts the attention of the route's veterans after he purchases a Nissan Fairlady Z, a car infamously nicknamed The Devil Z. The newcomer ignores the warnings of Eriko Asakura, who lost her brother, Akio, in an accident involving the same vehicle. The Devil Z's new owner, who coincidentally shares the exact same name as Eriko's brother, becomes bewitched by the car's mysterious power—even after crashing twice. Now a high school dropout who works to pay for his car repairs, Akio befriends regular street racers of the area: the legendary owner of the Porsche 911 Turbo, a car known on the streets as ""Blackbird;"" the genius surgeon Tatsuya Shima; and Reina Akikawa, who works as a model by day and displays unparalleled skill in her Nissan Skyline GT-R by night. Thanks to these connections, Akio manages to find the retired designer of The Devil Z's engine, a solitary man named Jun Kitami. Following his meeting with Akio, Jun resumes building overpowered yet dangerous engines. Meanwhile, the racers of the Wangan Route are caught in a desperate race against The Devil Z with no clear end in sight. [Written by MAL Rewrite]","['Adaptation (Manga) Wangan Midnight', '']",Wangan Midnight,,['Action'],['Seinen'],,['Racing'],,,
