,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Theme,Demographic,Genre,Themes,Demographics
0,"Mob Psycho Hyaku, Mob Psycho One Hundred",モブサイコ100,Mob Psycho 100,['TV'],12,Finished Airing,"Jul 11, 2016 to Sep 27, 2016",['Summer 2016'],Tuesdays at 00:00 (JST),"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']","['Funimation', 'Crunchyroll']",['Bones'],['Web manga'],"['Action', 'Comedy', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,8.49,#148,#28,"2,184,206","51,022",1339710,"Eighth-grader Shigeo ""Mob"" Kageyama has tapped into his inner wellspring of psychic prowess at a young age. But the power quickly proves to be a liability when he realizes the potential danger in his skills. Choosing to suppress his power, Mob's only present use for his ability is to impress his longtime crush, Tsubomi, who soon grows bored of the same tricks. In order to effectuate control on his skills, Mob enlists himself under the wing of Arataka Reigen, a con artist claiming to be a psychic, who exploits Mob's powers for pocket change. Now, exorcising evil spirits on command has become a part of Mob's daily, monotonous life. However, the psychic energy he exerts is barely the tip of the iceberg; if his vast potential and unrestrained emotions run berserk, a cataclysmic event that would render him completely unrecognizable will be triggered. The progression toward Mob's explosion is rising and attempting to stop it is futile. [Written by MAL Rewrite]","['Sequel (TV) Mob Psycho 100 II', 'Adaptation (Manga) Mob Psycho 100']",Mob Psycho 100,,,,,,,,
1,"Shokugeki no Souma 2nd Season, Shokugeki no Soma 2, Food Wars: Shokugeki no Soma 2, Shokugeki no Soma: The Second Plate",食戟のソーマ 弍ノ皿,Food Wars! The Second Plate,['TV'],13,Finished Airing,"Jul 2, 2016 to Sep 24, 2016",['Summer 2016'],Saturdays at 22:00 (JST),"['Dentsu', 'Lantis', 'Mainichi Broadcasting System', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],"['Gourmet', 'Ecchi']",24 min. per ep.,PG-13 - Teens 13 or older,8.07,#573,#130,"1,169,971","3,092",741742,"The qualifiers of the Autumn Elections are now over, and only eight talented chefs remain. Now, they face off in one-on-one food wars, each with their own unique themes. Met with both new judges and new opponents all with their own specialties, Souma must stay on his toes if he hopes to make it to the top of both the Autumn Elections and Tootsuki Culinary Academy. [Written by MAL Rewrite]","['Prequel (TV) Shokugeki no Souma', 'Sequel (OVA) Shokugeki no Souma: Ni no Sara OVA', 'Adaptation (Manga) Shokugeki no Souma', '']",Shokugeki no Souma: Ni no Sara,Food Wars! The Second Plate,Food Wars! (Shokugeki no Soma): Temporada 2 (Ni no Sara),Food Wars! Shokugeki no Soma: The Second Plate,['School'],['Shounen'],,,
2,"Saiki Kusuo no Psi Nan, Saiki Kusuo no Sainan",斉木楠雄のΨ難,The Disastrous Life of Saiki K.,['TV'],120,Finished Airing,"Jul 4, 2016 to Dec 26, 2016",['Summer 2016'],Not scheduled once per week,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Pony Canyon', 'Nippon Columbia', 'KlockWorx', 'Asmik Ace', 'Bandai Namco Entertainment', 'Shueisha', ""Toy's Factory"", 'Dear Stage inc.']",['Funimation'],"['J.C.Staff', 'Egg Firm']",['Manga'],,5 min. per ep.,PG-13 - Teens 13 or older,8.41,#193,#132,"1,169,040","31,508",653098,"To the average person, psychic abilities might seem a blessing; for Kusuo Saiki, however, this could not be further from the truth. Gifted with a wide assortment of supernatural abilities ranging from telepathy to x-ray vision, he finds this so-called blessing to be nothing but a curse. As all the inconveniences his powers cause constantly pile up, all Kusuo aims for is an ordinary, hassle-free life—a life where ignorance is bliss. Unfortunately, the life of a psychic is far from quiet. Though Kusuo tries to stay out of the spotlight by keeping his powers a secret from his classmates, he ends up inadvertently attracting the attention of many odd characters, such as the empty-headed Riki Nendou and the delusional Shun Kaidou. Forced to deal with the craziness of the people around him, Kusuo comes to learn that the ordinary life he has been striving for is a lot more difficult to achieve than expected. [Written by MAL Rewrite]","['Sequel (TV) Saiki Kusuo no Ψ-nan 2', 'Adaptation (Manga) Saiki Kusuo no Ψ-nan']",Saiki Kusuo no Ψ-nan,The Disastrous Life of Saiki K.,The Disastrous Life of Saiki K.,The Disastrous Life of Saiki K.,,['Shounen'],['Comedy'],"['Gag Humor', 'School', 'Super Power']",
3,Re LIFE,ReLIFE,ReLIFE,['TV'],13,Finished Airing,"Jul 2, 2016 to Sep 24, 2016",['Summer 2016'],Saturdays at 00:00 (JST),"['Aniplex', 'Half H.P Studio', 'comico', 'Hakuhodo DY Media Partners', 'Lawson', 'C & I entertainment', 'TMS Music']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Web manga'],"['Drama', 'Romance']",23 min. per ep.,PG-13 - Teens 13 or older,7.96,#714,#151,"1,083,776","10,355",603987,"Dismissed as a hopeless loser by those around him, 27-year-old Arata Kaizaki bounces around from one job to another after quitting his first company. His unremarkable existence takes a sharp turn when he meets Ryou Yoake, a member of the ReLife Research Institute, who offers Arata the opportunity to change his life for the better with the help of a mysterious pill. Taking it without a second thought, Arata awakens the next day to find that his appearance has reverted to that of a 17-year-old. Arata soon learns that he is now the subject of a unique experiment and must attend high school as a transfer student for one year. Though he initially believes it will be a cinch due to his superior life experience, Arata is proven horribly wrong on his first day: he flunks all his tests, is completely out of shape, and can't keep up with the new school policies that have cropped up in the last 10 years. Furthermore, Ryou has been assigned to observe him, bringing Arata endless annoyance. ReLIFE follows Arata's struggle to adjust to his hectic new lifestyle and avoid repeating his past mistakes, all while slowly discovering more about his fellow classmates. [Written by MAL Rewrite]","['Sequel (Special) ReLIFE: Kanketsu-hen', 'Adaptation (Manga) ReLIFE']",ReLIFE,,,,['School'],,,,
4,,orange（オレンジ）,Orange,['TV'],13,Finished Airing,"Jul 4, 2016 to Sep 26, 2016",['Summer 2016'],Mondays at 00:00 (JST),"['TMS Entertainment', 'DAX Production', 'TOHO animation', 'Lawson', 'ABC Animation', 'MediaLink Entertainment Limited']","['Funimation', 'Crunchyroll']",['Telecom Animation Film'],['Manga'],"['Drama', 'Romance', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.63,#1469,#225,"859,945","7,184",414535,"Naho Takamiya's first day of her sophomore year of high school is off to an uneasy start. After waking up late, she receives a strange letter addressed to her. However, the letter is from herself—10 years in the future! At first, Naho is skeptical of the note; yet, after witnessing several events described to take place, she realizes the letter really is from her 26-year-old self. The note details that Naho's future life is filled with regrets, and she hopes that her younger self can correct the mistakes that were made in the past. The letter also warns her to keep a close eye on the new transfer student, Kakeru Naruse. Naho must be especially careful in making decisions involving him, as Kakeru is not around in the future. With the letter as her guide, Naho now has the power to protect Kakeru before she comes to regret it once more. [Written by MAL Rewrite]","['Sequel (Movie) Orange: Mirai', 'Adaptation (Manga) Orange']",Orange,,,,,['Shoujo'],,"['Love Polygon', 'School', 'Time Travel']",
5,,91Days,91 Days,['TV'],12,Finished Airing,"Jul 9, 2016 to Oct 1, 2016",['Summer 2016'],Saturdays at 01:55 (JST),"['Shochiku', 'Mainichi Broadcasting System', 'Shochiku Music Publishing']","['Funimation', 'Crunchyroll']",['Shuka'],Original,"['Action', 'Drama', 'Suspense']",24 min. per ep.,R - 17+ (violence & profanity),7.83,#960,#282,"756,025","8,338",344800,"As a child living in the town of Lawless, Angelo Lagusa has witnessed a tragedy: his parents and younger brother have been mercilessly slaughtered by the Vanetti mafia family. Losing everything he holds dear, he leaves both his name and hometown behind, adopting the new identity of Avilio Bruno. Seven years later, Avilio finally has his chance for revenge when he receives a mysterious letter prompting him to return to Lawless. Obliging, he soon encounters the Vanetti don's son, Nero, and seeks to befriend him using the skills he has quietly honed for years. Set during the Prohibition era, 91 Days tells the story of Avilio's dark, bloodstained path to vengeance, as he slowly ends each of the men involved in the killing of his family. [Written by MAL Rewrite]","['Sequel (Special) 91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita', '']",91 Days,,,,,,,"['Adult Cast', 'Historical', 'Organized Crime']",
6,,七つの大罪 聖戦の予兆,The Seven Deadly Sins: Signs of Holy War,['TV'],4,Finished Airing,"Aug 28, 2016 to Sep 18, 2016",['Summer 2016'],Sundays at 17:00 (JST),"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Kodansha', 'Movic']","None found,",['A-1 Pictures'],['Manga'],"['Action', 'Adventure', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,6.95,#4604,#291,"742,882",812,446377,"The Seven Deadly Sins, along with Elizabeth Liones and Hawk, have won the Kingdom of Leones back from the Holy Knights. At long last, it's their time to indulge in the peaceful lives they fought for. From inedible meat pies, overdue battles, unexpected stalkers, and the butterflies of first love, the Sins are accompanied by their friends in their carefree, fun-filled time together. However, the calm is broken with the premonition of a new threat, bringing upon the signs of Holy War and threatening to shatter the peace of the Sins' easygoing days. [Written by MAL Rewrite]","['Prequel (TV) Nanatsu no Taizai', 'Sequel (TV) Nanatsu no Taizai: Imashime no Fukkatsu', 'Adaptation (Manga) Nanatsu no Taizai', '']",Nanatsu no Taizai: Seisen no Shirushi,,The Seven Deadly Sins: Las Huellas de la Guerra Santa,,,['Shounen'],,,
7,,NEW GAME!,New Game!,['TV'],12,Finished Airing,"Jul 4, 2016 to Sep 19, 2016",['Summer 2016'],Mondays at 22:30 (JST),"['Frontier Works', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Delfi Sound', 'Sony Music Communications', 'Houbunsha', 'MAGES.', 'Lawson']","['Funimation', 'Crunchyroll']",['Doga Kobo'],['4-koma manga'],,24 min. per ep.,PG-13 - Teens 13 or older,7.55,#1780,#551,"442,761","2,897",209913,"Since childhood, Aoba Suzukaze has loved the Fairies Story game series, particularly the character designs. So when she graduates from high school, it is no surprise that she applies to work at Eagle Jump, the company responsible for making her favorite video game. On her first day, she is excited to learn that she will be working on a new installment to the series: Fairies Story 3—and even more so under Kou Yagami, the lead character designer. In their department are people who share the same passion for games. There is Yun Iijima, whose specialty is designing monsters; the shy Hifumi Takimoto, who prefers to communicate through instant messaging; Hajime Shinoda, an animation team member with an impressive figurine collection; Rin Tooyama, the orderly art director; Shizuku Hazuki, the game director who brings her cat to work; and Umiko Ahagon, the short-tempered head programmer. New Game! follows Aoba and the others on their adventure through the ups and downs of game making, from making the perfect character design to fixing all the errors that will inevitably accumulate in the process. [Written by MAL Rewrite]","['Sequel (OVA) New Game! Watashi, Shain Ryokou tte Hajimete nanode...', 'Adaptation (Manga) New Game!']",New Game!,,,,,,['Comedy'],"['Adult Cast', 'CGDCT', 'Otaku Culture', 'Workplace']",
8,,ベルセルク,Berserk (2016),['TV'],12,Finished Airing,"Jul 1, 2016 to Sep 16, 2016",['Summer 2016'],Fridays at 22:30 (JST),"['WOWOW', 'Mainichi Broadcasting System', 'Hakusensha', 'Ultra Super Pictures', 'LIDENFILMS', 'NBCUniversal Entertainment Japan', 'Lucent Pictures Entertainment', 'Docomo Anime Store', 'Koei Tecmo Games']","['Funimation', 'Crunchyroll']","['Millepensee', 'GEMBA']",['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",24 min. per ep.,R+ - Mild Nudity,6.33,#8067,#664,"379,019","2,652",188473,"Now branded for death and destined to be hunted by demons until the day he dies, Guts embarks on a journey to defy such a gruesome fate, as waves of beasts relentlessly pursue him. Steeling his resolve, he takes up the monstrous blade Dragonslayer and vows to exact vengeance on the one responsible, hunting down the very man he once looked up to and considered a friend. Along the way, he encounters some unlikely allies, such as a small elf named Puck, and Isidro, a young thief looking to learn swordsmanship from the former mercenary. As the ragtag group slowly comes together after having decided to join Guts in his quest, they will face incredible danger unlike anything they have ever experienced before. [Written by MAL Rewrite]","['Prequel (TV) Kenpuu Denki Berserk', 'Prequel (Movie) Berserk: Ougon Jidai-hen III - Kourin', 'Sequel (TV) Berserk 2nd Season', 'Adaptation (Manga) Berserk']",Berserk,,,,,['Seinen'],,"['Gore', 'Military', 'Psychological']",
9,Danganronpa 3: The End of Hope's Peak Academy - Future Volume,ダンガンロンパ3 -The End of 希望ヶ峰学園- 未来編,Danganronpa 3: The End of Hope's Peak High School - Future Arc,['TV'],12,Finished Airing,"Jul 11, 2016 to Sep 26, 2016",['Summer 2016'],Mondays at 23:00 (JST),"None found,",['Funimation'],['Lerche'],Visual novel,"['Action', 'Horror', 'Mystery', 'Suspense']",24 min. per ep.,R - 17+ (violence & profanity),7.21,#3326,#686,"366,539","1,699",197185,"After Makoto Naegi and his fellow survivors escaped Hope's Peak Academy to the world beyond, they soon join the Future Foundation, an organization dedicated to combating despair. Just when all seems to be looking up, Naegi is arrested and tried for betrayal due to defending a malicious group of Remnants of Despair. Standing before all of the Future Foundation executives, he finds himself, along with Kyouko Kirigiri and Aoi Asahina, facing an unknown fate. The matter at hand only escalates when the organization's supposedly impenetrable security is hacked into by a familiar face: Monokuma. Much to Naegi's horror, the mechanical bear immediately announces the beginning of a new killing game, as moments later, the first victim appears as a signal for despair to resume its brutal conquest. Naegi, the Super High School-Level Lucky Student, must once again unravel the mystery as his colleagues and friends begin falling around him. However, there are no more class trials; among the 16 desperate participants, there is only one killer—and their death means the end of this infernal game. [Written by MAL Rewrite]","['Prequel (TV) Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation', 'Prequel (TV) Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen', 'Prequel (OVA) Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha', 'Sequel (TV Special) Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen']",Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,,,,,,,"['High Stakes Game', 'Psychological', 'Survival']",
