,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Genre,Theme,German,Demographics
10,,ドッとKONIちゃん,.Koni-chan,,['TV'],26,Finished Airing,"Nov 26, 2000 to May 29, 2001",['Fall 2000'],Sundays at 17:00 (JST),"['Genco', 'Animax']","None found,",['Shaft'],Original,,,,25 min. per ep.,PG-13 - Teens 13 or older,7.28,#2923,#8587,"5,587",22,2131,"Koni (whose character is based on the famous Sumo-wrestler) and his gang have lots of crazy and incoherent adventures in their town. From fighting with their ""Lovely-Teacher"" and dealing with Samurai fish, to confirming if ""The Armored-Guy's"" wife has an affair and saving the world, Koni, High, Moro, Nari and Afro, the Afro-dog, do the craziest and funniest things to have fun. (Source: ANN)",[],Dotto Koni-chan,,['Comedy'],,,
11,"GEAR Senshi Dendoh, Guard Earth and Advanced Reconnaissance Fighter Dendo, GEAR Senshi Dendou",GEAR戦士 電童,,,['TV'],38,Finished Airing,"Oct 4, 2000 to Jun 27, 2001",['Fall 2000'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['Sunrise'],Original,"['Action', 'Adventure', 'Sci-Fi']","['Mecha', 'School', 'Space']",,23 min. per ep.,PG - Children,7.15,#3651,#9321,"4,398",18,1653,"The story takes place in the future where war machines from evil mechanical alien empire Garufa finally reaches Earth. In order to protect earth, an Earth defense organization called GEAR (Guard Earth and Advanced Reconnaissance) is formed. GEAR has an ultimate weapon in a form of war mecha, GEAR Fighter Dendoh, which is piloted by two elementary school students, namely Kusanagi Hokuto and Izumo Ginga. Can the friendship between Hokuto and Ginga unleashed the full potential power of Dendoh in order to fight Garufa? (Source: AniDB)",[],Gear Fighter Dendoh,,,,,
12,,真・女神転生 デビチル,,,['TV'],50,Finished Airing,"Oct 7, 2000 to Sep 29, 2001",['Fall 2000'],Saturdays at 07:30 (JST),"None found,","None found,",['Tokyo Movie'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']","['Mythology', 'Video Game']",['Kids'],23 min. per ep.,PG - Children,6.50,#7039,#9978,"3,574",2,931,A series based off of the Shin Megami Tensei: Devil Children franchise.,"['Sequel (TV) Shin Megami Tensei Devil Children: Light & Dark', 'Adaptation (Manga) Shin Megami Tensei Devil Children']",Shin Megami Tensei Devil Children,,,,,
13,"Clockwork Fighters: Hiwou's War, Hiwou's Windup Dolls Military Commentaries",機巧奇傳　ヒヲウ戦記,Hiwou War Chronicles,,['TV'],26,Finished Airing,"Oct 24, 2000 to May 1, 2001",['Fall 2000'],Tuesdays at 18:30 (JST),"['VAP', 'BeSTACK', 'Victor Entertainment', 'NHK Enterprises']",['Bandai Entertainment'],['Bones'],Original,"['Action', 'Adventure']","['Historical', 'Mecha']",,25 min. per ep.,PG-13 - Teens 13 or older,6.67,#6056,#10919,"2,693",3,955,"8 years ago, Western Civilization visited 19th century Japan. Mechanized dolls and new steam-powered creations began spreading throughout the country. The Wind Gang is a group of doll and steam users who believe in using their creations to violently bring about a new Industrial Era. They attack and destroy the peaceful village of a young doll user named Hiwou one day. Hiwou and his friends escape with a giant doll named Homura. Hiwou now wants to find his father, so that he can help defeat the Wind Gang, and bring peace back to Japan. (Source: ANN)","['Adaptation (Manga) Karakuri Kiden: Hiwou Senki', '']",Karakuri Kiden: Hiwou Senki,,,,,
14,"TriZenon, Invincible Champion Tri-Zenon, Muteki Ou Tri-Zenon, Mutekioh Tri-Zenon",無敵王トライゼノン,Invincible King Tri-Zenon,,['TV'],22,Finished Airing,"Oct 14, 2000 to Mar 17, 2001",['Fall 2000'],Saturdays at 17:30 (JST),"None found,","None found,",['E&G Films'],Original,,,,25 min. per ep.,G - All Ages,6.21,#8783,#11611,"2,195",1,697,"During the Edo Period, 3 mysterious space capsules were sent down to earth. Fear that it might bring chaos to the earth, the humans at that time buried these 3 objects down beneath the ground and entrusted a piece of descriptive map to the Kamui family. Today, these 3 objects were awaken one by one. The first to awaken, Tri-Zenon, one of the Zenon Guardians is now driven by the descendant of the Kamui family, Akira Kamui, his brother Ai Kamui and his friend Kanna. Aliens who descend to earth with a purpose will now have to face Tri-Zenon.",[],Mutekiou Tri-Zenon,,['Sci-Fi'],['Mecha'],,
15,,グレゴリーホラーショー - The Last Train,,,['TV'],26,Finished Airing,"Oct 7, 2000 to Mar 31, 2001",['Fall 2000'],Fridays at 23:54 (JST),"['VAP', 'TV Asahi']",['Geneon Entertainment USA'],['Milky Cartoon'],Original,"['Comedy', 'Horror', 'Mystery', 'Supernatural']","['Mythology', 'Vampire']",,3 min. per ep.,None,6.30,#8250,#12045,"1,924",6,859,"The third series, The Last Train is set with 26 stories during a bizarre train ride that Gregory embarks upon. (Source: AniDB)","['Prequel (TV) Gregory Horror Show: The Second Guest', '']",Gregory Horror Show: The Last Train,,,,,
16,,ハムスター倶楽部,,,['TV'],130,Finished Airing,"Oct 2, 2000 to Mar 30, 2001",['Fall 2000'],Unknown,['TV Tokyo'],"None found,",['Vega Entertainment'],Unknown,,,['Kids'],5 min. per ep.,G - All Ages,6.49,#7162,#13597,"1,201",2,274,Hamster daily life.,"['Adaptation (Manga) Hamster Club', '']",Hamster Club,,,['Pets'],,
17,"Baeku, Pure Heart Baekgu, White Dog with White Heart, My Dog Bakgu, White Heart Baekgu",하얀 마음 백구,,,['TV'],13,Finished Airing,"Oct 6, 2000 to Jan 12, 2001",['Fall 2000'],Unknown,"None found,","None found,","None found,",Unknown,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.46,#7362,#13704,"1,169",3,225,"Sol and Dong live with their widower father on an island village, where he works as a fisherman. One day a white puppy enters their lives. They adopt him and name him Max. However, after their father dies at sea and circumstances separate Max from Sol and Dong, Max must find the will to fight his way home, so he can be reunited with his owners. (Source: THEM Anime Reviews)",[],Hayan Ma-eum Baeggu,,['Adventure'],,,
18,,ベイビーフィリックス,Baby Felix,,['TV'],65,Finished Airing,"Oct 8, 2000 to Jun 29, 2001",['Fall 2000'],Sundays at 17:50 (JST),['NHK'],"None found,",['Radix'],Unknown,,,['Kids'],4 min. per ep.,G - All Ages,5.51,#12076,#14763,877,1,234,A young Felix the Cat and his baby pals find fun and mischief along their travels.,[],Baby Felix,,['Comedy'],['Anthropomorphic'],,
19,,デジタル所さん,Mr.Digital Tokoro,,['TV'],245,Finished Airing,"Oct 2, 2000 to Sep 28, 2001",['Fall 2000'],Not scheduled once per week,"['VAP', 'Nippon Television Network']","None found,",['Polygon Pictures'],Original,,,,3 min. per ep.,G - All Ages,[],#17648,#19779,299,0,,CGI shorts about famous Japanese comedian George Tokoro.,[],Digital Tokoro-san,,['Comedy'],,,
20,OP,ONE PIECE,One Piece,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,612","234,846",1420252,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,,
