,Synonyms,Japanese,English,Spanish,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Genre,Theme,German,Demographics
46,,キョロちゃん,,,['TV'],91,Finished Airing,"Jul 1, 1999 to Mar 29, 2001",['Summer 1999'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems']","None found,",['Group TAC'],Other,"['Adventure', 'Comedy', 'Fantasy']",,,25 min. per ep.,PG - Children,7.28,#2944,#10081,"3,465",26,1740,"While exploring ruins on Angel Island, a doctor finds a myserious newborn bird called Kyoro-chan. Together they form a bond and decide to travel the world together. Three years later when the Doctor and Kyoro-chan try to return to Angel Island they become shipwrecked from a storm. Kyoro-chan was able to make it safely to the island but the Doctor was nowhere to be found. Kyoro-chan prays for his safety and hope he returns as he now starts his new life on Angel Island.",[],Kyoro-chan,,,,,
47,,どーもくん,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,
48,,おじゃる丸,Prince Mackaroo,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,['Kids'],10 min.,G - All Ages,6.39,#7745,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,
49,Mighty Cat Masked Niyander,ニャニがニャンだー ニャンダーかめん,,,['TV'],83,Finished Airing,"Feb 6, 2000 to Sep 30, 2001",['Winter 2000'],Sundays at 07:00 (JST),"['Nagoya Broadcasting Network', 'Tokyu Agency']","None found,",['Sunrise'],Picture book,,,['Kids'],25 min. per ep.,PG - Children,6.85,#5076,#12777,"1,510",9,715,"One day a normal cat boy got a power to transform into a super ""kamen cat."" Whenever he heard people saying ""help"" he would dash right over there and help them fight against enemies.",[],Nyani ga Nyandaa Nyandaa Kamen,,['Comedy'],,,
50,,트랙시티,Track City,,['TV'],26,Finished Airing,"Jan 5, 2000 to May 30, 2002",['Winter 2000'],Unknown,"None found,","None found,",['SBS TV Production'],Unknown,,,,24 min. per ep.,PG - Children,5.94,#10244,#12848,"1,483",1,546,"Jimmy was a typical boy who liked to play computer games. One day he was playing a game called 'Track City' when suddenly he got transported into the game world! Once he regained consciousness, a woman who apparently is the mayoress of the city explains to him that the world is threaten by a powerful malign virus and her allies and their only hope is to ask for the help of the ""Legendary racer"", the best player of 'Track City"". Things get complicated when Jimmy learns that the game made a mistake and confused him with the Legendary racer! Will Jimmy learn the necessary skills to defeat the viruses that threaten the world? Or will he be erased by the 'big head', the heavenly punisher that annihilates those who cannot achieve victory?",[],Track City,,['Action'],['Racing'],,
51,,しましまとらのしまじろう,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,G - All Ages,5.92,#10324,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Anthropomorphic'],,
52,,うちゅう人田中太郎,Taro the Space Alien,,['TV'],24,Finished Airing,"Apr 17, 2000 to Mar 26, 2001",['Spring 2000'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Studio Hibari'],['Manga'],,,['Kids'],20 min. per ep.,G - All Ages,6.05,#9655,#13489,"1,238",2,488,"Takashi Horimachi is an ordinary curious fifth grader attending ""Anytown"" Elementary School. One day, a very unusual transfer student named Tarou Tanaka joins Takashi's class. Takashi and his classmates have never encountered anyone quite like Taro before. He is blue, has huge glowing eyes, pointy ears, a smooth bald head and one horn. Takashi, obsessed with trying to figure out this strange new visitor, attempts to track Tarou's every move; and in the process he continuously falls victim to Tarou's hilarious assortment of cosmic jokes and traps. (Source: ANN)","['Adaptation (Manga) Uchuujin Tanaka Tarou', '']",Uchuujin Tanaka Tarou,,['Comedy'],['School'],,
53,,親子クラブ,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,198",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,
54,"Weekly! Story Land, Shuukan! Story Land",週刊ストーリーランド,,,['TV'],56,Finished Airing,"Oct 14, 1999 to Sep 13, 2001",['Fall 1999'],Thursdays at 20:00 (JST),['Nippon Television Network'],"None found,","['Nippon Animation', 'VAP', 'Satelight', 'Shin-Ei Animation', 'Tokyo Movie']",Original,"['Comedy', 'Drama', 'Slice of Life']",,['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,6.49,#7131,#13972,"1,085",0,158,"This was an anthology program containing several different anime each week along with some non-animated segments. Several of the animated films were short series including: Nazo no Rouba [謎の老婆] (tvss), Meibugyou Bun-san [名奉行・文さん], Jo Keibu Jinguuji Youko [女警部・神宮寺葉子], Remon Suzumori's Soudanjo [鈴森なんでも相談所]. (Source: animated-divots.net)",[],Shuukan Storyland,,,,,
55,,ビックリマン2000,,,['TV'],68,Finished Airing,"Nov 1, 1999 to Feb 22, 2001",['Fall 1999'],Mondays at 18:30 (JST),['Studio Comet'],"None found,","None found,",Unknown,"['Adventure', 'Fantasy']",,['Kids'],24 min. per ep.,G - All Ages,5.93,#10268,#14362,974,0,400,More adventures of Bikkuriman.,"['Prequel (TV) Super Bikkuriman', 'Sequel (TV) Happy☆Lucky Bikkuriman']",Bikkuriman 2000,,,,,
56,,蓝猫淘气3000问,3000 Whys Of Blue Cat,,['TV'],3057,Finished Airing,"Oct 8, 1999 to Aug 2001",['Fall 1999'],Not scheduled once per week,['Beijing Sunchime Happy Culture Company'],"None found,","None found,",Original,"['Adventure', 'Comedy']",,,11 min. per ep.,PG - Children,6.05,#9678,#14603,918,0,228,"Adventures include going into deep sea and accompanying dinosaurs. The shows are mainly based on science or science fiction. It has been popular in China, one reason might be the fact that many of the Chinese youth have been sending questions to the studio, and the studio answers them with one of Lan Mao's adventures. Lan Mao is sometimes impulsive, and in the end gets nothing but trouble. (Source: Wikipedia)",[],Lan Mao,,,,,
57,,ぐるぐるタウン　はなまるくん,,La Pandilla de Hanamaru,['TV'],101,Finished Airing,"Oct 3, 1999 to Sep 29, 2001",['Fall 1999'],Sundays at 09:30 (JST),"None found,","None found,",['Pierrot'],Original,,,['Kids'],25 min. per ep.,G - All Ages,6.08,#9516,#16258,592,1,130,Guruguru Town Hanamaru-kun follows the life of some children in a fictional town.,[],Guruguru Town Hanamaru-kun,,['Comedy'],['Anthropomorphic'],,
58,,날아라 슈퍼보드,The Flying Superboard,,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,,22 min. per ep.,PG - Children,[],#20601,#16828,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,
59,,へろへろくん,,,['TV'],104,Finished Airing,"Apr 3, 2000 to Jan 2, 2001",['Spring 2000'],Unknown,['Public & Basic'],"None found,","['Studio Flag', 'Studio Bogey']",['Manga'],"['Adventure', 'Comedy']",,['Kids'],5 min. per ep.,PG - Children,[],#18557,#16849,523,0,,It's a comedy about children in elementary school.,[],Hero Hero-kun,,,['Strategy Game'],,
60,"Anime Roukyoku Kikou Shimizunojirochou Den, Anime Roukyoku Kikou Shimizu no Jirochou Den",アニメ浪曲紀行 清水次郎長伝,,,['TV'],30,Finished Airing,Apr 2000 to Nov 2000,['Spring 2000'],Saturdays at 05:45 (JST),"None found,","None found,","None found,",Unknown,"['Comedy', 'Drama']",,,15 min. per ep.,G - All Ages,[],#16591,#17993,422,0,,"A story based on Shimizu no Jirochou, an early yakuza who specialized in gambling and maritime transport. The anime is composed of 10 stories. Each story was told over 3 episodes. The particular tale is based on Hirosawa Torazo II's telling; Hirosawa is a roukyoku/naniwabushi.",[],Anime Roukyoku Kikou Shimizu no Jirochouden,,,['Historical'],,
61,Taegwon-wang Gangtaepung,태권왕 강태풍,King of Taekwondo Kang Taepoong,,['TV'],26,Finished Airing,"Jun 2, 2000 to Dec 8, 2000",['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,,"['Martial Arts', 'School']",,22 min. per ep.,PG-13 - Teens 13 or older,[],#14681,#18658,371,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Taekwon-wang Gang Taepung,,['Sports'],,,
62,"Dango 3 Kyodai, Three Dango Brothers, Dango San Kyodai, Dango 3 Kyoudai",だんご3兄弟あっという間劇場,,,['TV'],50,Finished Airing,Oct 1999 to Mar 2004,['Fall 1999'],Unknown,['NHK'],"None found,","None found,",Unknown,,,['Kids'],3 min. per ep.,G - All Ages,[],#17566,#18885,354,0,,The hit Danga San Kyoudai song was adapted into shorts that aired on NHK during commercial breaks in Okaasan to Issho's timeslot. The cheery series about three dango brothers was meant to give children quick lessons about sharing and humbleness.,[],Dango San Kyoudai Attoiuma Gekijou,,,['Music'],,
63,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,,['Kids'],1 min. per ep.,PG - Children,[],#15990,#18988,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,,,
64,,ストレイシープの大冒険,The Adventure of Stray Sheep,,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,,['Kids'],5 min. per ep.,G - All Ages,[],#14611,#22481,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,['Adventure'],,,
65,"Ha Pi Fuzi, Happy Father and Son",哈皮父子,Happy Father Happy Son,,['TV'],104,Finished Airing,Aug 2000 to Aug 2004,['Summer 2000'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",,['Kids'],6 min. per ep.,PG - Children,[],#18441,#22582,152,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Happy Fuzi: Chao Neng Pao Dan', '']",Happy Fuzi,,,,,
66,"Azumanga Web Diaoh, Azumanga Daioh - Web Daioh, Azumanga Diaoh - Web Diaoh",あずまんがWEB大王,Azumanga Web Daioh,,['ONA'],1,Finished Airing,"Dec 28, 2000",,,"None found,","None found,",['Ajia-do'],['4-koma manga'],,"['CGDCT', 'Gag Humor', 'School']",,3 min.,G - All Ages,6.72,#5752,#3972,"35,591",36,18917,"Chiyo brings a video camera to school for a class project. But when Tomo gets a hold of it, heaps of trouble happen all over campus. (Source: ANN)",[],Azumanga Web Daiou,,['Comedy'],,,
67,"Pinky Monkey Series, Pinky's Exciting Journey Stroll",ピンキーわくわく旅ストロ,,,['ONA'],7,Finished Airing,"Dec 1, 2000 to Dec 25, 2000",,,"None found,","None found,","None found,",Other,,,,1 min. per ep.,G - All Ages,4.74,#13494,#17053,501,0,223,A promotional anime for Frente International's Pinky candy featuring their [pink] monkey mascot bring happiness through the power of Pinky candy in honor of the Pinky Citron Mint flavour release.,[],Pinky Wakuwaku Tabi Stroll,,['Slice of Life'],,,
68,"Fooly Cooly, Furi Kuri",フリクリ,FLCL,FLCL Furi Kuri,['OVA'],6,Finished Airing,"Apr 26, 2000 to Mar 16, 2001",,,"['Starchild Records', 'King Records']",['Funimation'],"['Gainax', 'Production I.G']",Original,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi', 'Suspense']","['Mecha', 'Parody', 'Psychological']",,25 min. per ep.,PG-13 - Teens 13 or older,8.03,#624,#228,"857,077","31,703",450365,"Naota Nandaba is an ordinary sixth grader living in a city where nothing amazing ever seems to happen. After his brother Tasuku leaves town to play baseball in America, Naota takes it upon himself to look after everything Tasuku left behind—from his top bunk bed to his ex-girlfriend Mamimi Samejima, who hasn't stopped clinging to Naota since Tasuku left. Little does Naota know, however, that his mundane existence is on the verge of being changed forever: enter Haruko Haruhara, a Vespa-riding, bass guitar-wielding, pink-haired psychopath whose first encounter with Naota leaves him with tire tracks on his back and a giant horn on his head. Though all he wants is some peace and quiet, when Haruko takes up residence at his parents' home, Naota finds himself dragged into the heart of the greatest battle for supremacy that Earth—and quite possibly the entire universe—has ever seen. [Written by MAL Rewrite]","['Sequel (Movie) FLCL Progressive', 'Adaptation (Manga) FLCL', 'Adaptation (Light Novel) FLCL', '']",FLCL,,,,,
69,JoJo's Bizarre Adventure (2000),ジョジョの奇妙な冒険 ADVENTURE,JoJo's Bizarre Adventure (OVA),,['OVA'],7,Finished Airing,"May 25, 2000 to Jan 25, 2002",,,"['KlockWorx', 'BEAM Entertainment']","None found,",['APPP'],['Manga'],"['Action', 'Adventure', 'Drama']","['Super Power', 'Vampire']",['Shounen'],28 min. per ep.,R+ - Mild Nudity,7.24,#3126,#2459,"85,382",378,37681,"Kujo Jotaro is a normal, popular Japanese high-schooler, until he thinks that he is possessed by a spirit, and locks himself in prison. After seeing his grandfather, Joseph Joestar, and fighting Joseph's friend Muhammad Abdul, Jotaro learns that the ""Spirit"" is actually Star Platinum, his Stand, or fighting energy given a semi-solid form. Later, his mother gains a Stand, and becomes sick. Jotaro learns that it is because the vampire Dio Brando has been revived 100 years after his defeat to Jonathan Joestar, Jotaro's great-great-grandfather. Jotaro decides to join Joseph and Abdul in a trip to Egypt to defeat Dio once and for all.","['Sequel (OVA) JoJo no Kimyou na Bouken', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 3: Stardust Crusaders']",JoJo no Kimyou na Bouken: Adventure,,,,,
70,,名探偵コナン: コナンvsキッドvsヤイバ 宝刀争奪大決戦!!,Detective Conan OVA 01: Conan VS KID VS Yaiba,,['OVA'],1,Finished Airing,"Oct 11, 2000",,,"['Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","None found,",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,7.23,#3206,#5053,"20,951",12,11119,"Mitsuhiko Tsuburaya lends Conan Edogawa a massive amount of manga, which Conan starts reading, despite the overwhelming quantity. Elsewhere, Kogorou Mouri is asked by the Mine family to protect the treasured sword in their dojo, as Kaitou Kid has sent a note of his intent to steal it. Upon arriving at the dojo, Conan and the others meet Yaiba Kurogane. Together, they aim to thwart the phantom thief's plans. However, Conan begins to notice something strange about the case. [Written by MAL Rewrite]",[],Meitantei Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!,,,,,
71,NSN,夜勤病棟,Night Shift Nurses,,['OVA'],10,Finished Airing,"Dec 8, 2000 to Jan 30, 2004",,,['Discovery'],"['Central Park Media', 'Critical Mass Video']",['AT-2'],Visual novel,,,,28 min. per ep.,Rx - Hentai,6.29,N/A,#6063,"13,009",83,5140,"On a forbidden hospital ward, the head doctor performs madly erotic experiments, stripping the nursing staff of their uniforms, inhibitions and self-control... until even he is shocked by what he uncovers! (Source: AniDB)","['Sequel (OVA) Yakin Byoutou Ni', 'Adaptation (Light Novel) Yakin Byoutou']",Yakin Byoutou,,['Hentai'],,,
72,,エクスドライバー,,,['OVA'],6,Finished Airing,"Jul 25, 2000 to Sep 25, 2001",,,"['Bandai Visual', 'Xebec', 'Dentsu', 'Genco', 'Triangle Staff', 'Ashi Productions']",['Media Blasters'],['Actas'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.67,#6095,#6135,"12,628",36,5225,"eX-Driver is set in the future, where all transportation is easily controlled by AI. Though, like all machines, they tend to break down, lose control, or get re-programmed. This is where three high schoolers with non-AI cars—a Subaru WRX, a Caterham Super 7, and a Lotus Europa—come in to save the day and make sure the public is safe at all times. (Source: ANN, edited)","['Prequel (Movie) eX-Driver: Nina & Rei Danger Zone', 'Sequel (Movie) eX-Driver the Movie']",eX-Driver,,,['Racing'],,
73,"Pocket Monsters: Pikachu no Fuyuyasumi (2001), Delibird's Present, Delibird's Dilemma, White Story, Snorlax Snowman, We are the Pichu Brothers - Balloon Disturbance, Trouble in Big Town",ピカチュウのふゆやすみ2001,Pokémon: Pikachu's Winter Vacation (2001),,['OVA'],3,Finished Airing,"Dec 22, 2000",,,['Shogakukan Productions'],['4Kids Entertainment'],['OLM'],Game,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],15 min. per ep.,PG - Children,6.40,#7681,#6618,"10,540",4,4668,"Pikachu's Winter Vacations are three series of videos, each composed of several Pikachu shorts. All shorts deal with winter and Christmas. This is the third and last series and contains Delibird's Dilemma, Snorlax Snowman & Trouble in Big Town.","['Prequel (OVA) Pokemon: Pikachu no Fuyuyasumi (2000)', '']",Pokemon: Pikachu no Fuyuyasumi (2001),,,,,
74,Child's Time,こどもの時間,A Forbidden Time,,['OVA'],7,Finished Airing,"Dec 16, 2000 to Dec 18, 2002",,,['Five Ways'],"None found,","['Meltdown', 'Onion Studio']",['Manga'],,,,28 min. per ep.,Rx - Hentai,6.07,N/A,#6656,"10,365",44,3588,"Saki Izumi is your average day high school student, looking for a part-time job. She gets lucky when her neighbors ask her to babysit and tutor their lovely children: three junior high school boys. Saki is more than happy to take on such an easy task, but what she soon finds out is that nothing in life is easy. These lovely children love a bit too much. Lustful and fearless, they force Saki to be their sexual slave; they tie her up and use her as their toy to practice all sorts of perverted fantasies. However, Saki gradually begins to enjoy this awkward situation more than she should...","['Adaptation (Manga) Kodomo no Jikan', '']",Kodomo no Jikan,,['Hentai'],,,
75,True Getter Robo vs. Neo Getter Robo,真ゲッターロボ対ネオゲッターロボ,Shin Getter Robo vs. Neo Getter Robo,,['OVA'],4,Finished Airing,"Dec 21, 2000 to Jun 25, 2001",,,"['Bandai Visual', 'Bee Media', 'Dynamic Planning']",['Discotek Media'],"[""Brain's Base""]",Unknown,"['Action', 'Sci-Fi']",,['Shounen'],27 min. per ep.,PG-13 - Teens 13 or older,7.09,#3951,#7702,"7,240",28,3608,"Years after the defeat of the Reptilian Empire, Getter Team has begun training on a new super robot, Neo Getter Robo. But a surprise attack from the Empire's revived leader forces them to recruit a street fighter named Go Ichimonji as Getter One's pilot. Faced with an enormously powerful foe, the new team's only hope for victory may lie in the resurrection of the lost weapon of humanity, Shin Getter Robo. (Source: ANN)","['Adaptation (Manga) Getter Robo', 'Adaptation (Manga) Getter Robo Go']",Shin Getter Robo tai Neo Getter Robo,Shin Getter Robo vs Neo Getter Robo,,['Mecha'],,
76,Sin: The Motion Picture,sin THE MOVIE,,,['OVA'],1,Finished Airing,"Oct 24, 2000",,,"None found,",['ADV Films'],['Phoenix Entertainment'],Game,"['Action', 'Horror', 'Sci-Fi', 'Supernatural']","['Adult Cast', 'Detective', 'Gore']",,55 min.,R - 17+ (violence & profanity),5.10,#13105,#8242,"6,111",5,2884,"In Sin, Blade must unravel a series of mysterious kidnappings. As he delves into the city's merciless underworld, an elaborate mystery unfold; at is heart, the SinTEK corporation and its leader, the ruthless and beautiful Elexis Sinclair. A Brilliant biochemist, Sinclair will stop at nothing to achieve her goal: a plan that could force the next step of human evolution-or spell doom for mankind. (Source: ANN)",[],Sin: The Movie,,,,,
77,,恋姫,,,['OVA'],2,Finished Airing,"Sep 22, 2000 to Nov 24, 2000",,,['Pink Pineapple'],['NuTech Digital'],['Dream Entertainment'],Visual novel,"['Fantasy', 'Supernatural', 'Hentai']",,,29 min. per ep.,Rx - Hentai,6.55,N/A,#8651,"5,468",21,2122,"When Musashi returns to his childhood home, he rekindles friendships with four beautiful young women from his youth that he'd totally forgotten about. Hidden desires give way to supernatural secrets, though, as Musashi discovers that the village he remembers hides a terrible secret that he never even imagined. Can love really conquer all? (Source: AniDB)","['Sequel (OVA) Zoku Koihime', '']",Koihime,,,['Harem'],,
78,,メーテルレジェンド,,,['OVA'],2,Finished Airing,"Dec 13, 2000 to Mar 7, 2001",,,"None found,",['Central Park Media'],['Vega Entertainment'],Unknown,"['Drama', 'Sci-Fi']",,,45 min. per ep.,PG-13 - Teens 13 or older,6.42,#7589,#8757,"5,294",6,2048,"The artificial sun that lights the frozen planet La Metalle is dying, threatening to extinguish what little life is left there. Queen La Andromeda Prometheum decides that the only way for her people to survive is for them to submit to Hardgear's transformation process, which will turn everyone's body into machines. The Queen's daughters, Emeraldas and Maetel, refuse to submit to this process, and fight to stay human. (Source: ANN)","['Prequel (TV) Shin Taketori Monogatari: 1000-nen Joou', 'Prequel (Movie) 1000-nen Joou: Queen Millennia', 'Prequel (OVA) Herlock Saga: Nibelung no Yubiwa', 'Sequel (TV) Ginga Tetsudou 999']",Maetel Legend,,,['Space'],,
79,Sousei Seiki Devadasy,創世聖紀デヴァダシー,Devadasy,,['OVA'],3,Finished Airing,"Nov 25, 2000 to Jan 25, 2001",,,"['AIC', 'Green Bunny']",['Media Blasters'],['Studio Gazelle'],Game,"['Action', 'Ecchi']","['Mecha', 'Psychological']",,23 min. per ep.,R+ - Mild Nudity,4.60,#13601,#9739,"3,871",0,1556,"For young men like Kei, life is still plagued by nothing but homework and girl trouble. When an unknown force besieges Earth with robotic war machines, however, it is Kei who is chosen to defend the human race.",[],De:vadasy,,,,,
80,,キャンパス,,,['OVA'],2,Finished Airing,"Nov 10, 2000 to Feb 16, 2001",,,['Digital Works'],['Critical Mass Video'],['Y.O.U.C'],Visual novel,,,,28 min. per ep.,Rx - Hentai,5.84,N/A,#10054,"3,494",7,1226,"Takakage is troubled by a strange dream, seemingly of a former life as a soldier in the Sengoku Era of Japan. In that life, he loved the miko Ayame, though their love was doomed by war. Now, in this life, he is given a prophecy that he will meet the woman of his dreams. Takakage, a college student, has been having strange dreams lately. In them, a young shrine priestess named Ayame promises to marry a young, look-alike soldier named Genshiro the night before he is sent to battle. Takakage finds a maiden who looks like the woman from his dreams. With the help of her, his sister, and his fortune-telling friend, he seeks to find the answers of what their, and his, true origins lay. (Source: ANN)",[],Campus,,['Hentai'],,,
81,,コートの中の天使達,Angels in the Court,,['OVA'],2,Finished Airing,"Oct 27, 2000 to Dec 15, 2000",,,['Pink Pineapple'],['NuTech Digital'],['P core'],Visual novel,"['Sports', 'Hentai']",,,27 min. per ep.,Rx - Hentai,5.76,N/A,#10124,"3,418",3,1224,"Leave it up to handsome coach Akira to make sure that the Aota Academy's girls volleyball team members learn excellent technique and ball control. In the first episode, volleyball ace Nanase joins the team, but she can only get fired up to play when the coach gets her ""hot."" When Akira gets beaten up and sent to the hospital, how will the team be able to compete in the championship if Nanase can't get in the mood to play? Find out in this fun and funny sexy adventure! (Source: AniDB)","['Sequel (OVA) Kaette Kita Court no Naka no Tenshi-tachi', '']",Court no Naka no Tenshi-tachi,,,['School'],Angels in the Court,
82,"Grandeek Gaiden, Grandeek Sidestory, Grandeek: The Alternative",GRANDEEK,,,['OVA'],1,Finished Airing,"Nov 1, 2000",,,"['SME Visual Works', 'Movic']","None found,","['Group TAC', 'animate Film']",['Manga'],"['Adventure', 'Fantasy']",,,45 min.,R - 17+ (violence & profanity),5.47,#12222,#10935,"2,674",3,1077,"This is a tale of swords and sorcery as the young warrior-woman Tia Allbright and her hapless assistant, Luke, battle demon assassins in a fantasy land. Tia arrives on the island of Marcleida with her trusted sword 'Grandeek,' which holds a spirit within that helps her on her quests. She is soon turned away however. Determined to get on the island, Tia searches for a way past the fences that guard the entrance, as another stranger arrives on the island to take on a mysterious job. Someone has been killing the inhabitants of the island and has the ability to appear and disappear at will. Seems the sword 'Aihorn' has been stolen and the spirit that resides within it seeks vengenance on those who killed its master 50 years before. As Tia makes her way inside the island, it becomes clear that both she, and the stranger, are after the sword Aihorn, hoping to bring to an end its bloody goal. But the sword has the ability to possess the person who wields it - putting Tia and the stranger at a great disadvantage. Based on the manga by Kohime Ohse, Tia and Grandeek will have to face their most difficult challenge yet... (Source: AnimeNfo)","['Adaptation (Manga) GRANDEEK ReeL', '']",Grandeek,,,,,
83,Masquerade 2,続・御先祖賛江,,,['OVA'],4,Finished Airing,"Oct 25, 2000 to Apr 25, 2001",,,['Green Bunny'],"None found,",['AIC'],Original,,,,30 min. per ep.,Rx - Hentai,5.53,N/A,#11581,"2,215",2,748,"A direct sequel, continuing about nine months after the first season ends.","['Prequel (OVA) Gosenzo Sane', '']",Zoku Gosenzo Sane,,['Hentai'],['Vampire'],,
84,"Koku Dou Ou: Charmstone, Kokudo Oh",黒瞳皇,Legend of the Black Eye,,['OVA'],5,Finished Airing,"Nov 28, 2000 to Jun 18, 2002",,,['Five Ways'],['JapanAnime'],['Alice Production'],Visual novel,"['Fantasy', 'Hentai']",,,28 min. per ep.,Rx - Hentai,5.85,N/A,#11693,"2,145",5,650,"Isheildo is a young prince from the small country of Bosarre. Two larger nations that border Bosarre have sent their princesses to stay with Isheildo for one and a half months, hoping to gain more political power by having him marry one of them. Both are desperate for some kind of alliance and have to allow Isheildo one and a half months to decide whether he will marry Bellshil (of the east country of Rohan) or Ariel (of the West country of Gerod). Both princesses are desperate to win him over, and of course, will go to any lengths to ensure that the diplomatic relationship can be formed. (Source: ANN)","['Prequel (OVA) Doura', 'Sequel (OVA) Kugutsu Ai: Doura Gaiden']",Kokudo Ou,,,,,
85,"Yami Ichiba: Bijo Dorei, Auction: Beautiful Slave",闇市場[オークション] ～美女奴隷～,,,['OVA'],1,Finished Airing,"Dec 20, 2000",,,"['White Bear', 'Mediabank']","None found,",['Studio Kyuuma'],Unknown,,,,37 min.,Rx - Hentai,5.37,N/A,#11725,"2,123",7,546,Based on something labelled 美少女奴隷市 (Bishoujo Dorei Shi) possibly with some involvement by someone named Sawada Naonori (澤田尚徳). (Source: AniDB),[],Auction: Bijo Dorei,,['Hentai'],,,
