,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Themes,Genre,Demographics
0,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Strategy Game'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#603,"412,205","5,011",259909,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,,,,
1,,ラブひな,Love Hina,,['TV'],24,Finished Airing,"Apr 19, 2000 to Sep 27, 2000",['Spring 2000'],Wednesdays at 22:28 (JST),"['TV Tokyo', 'Yomiko Advertising']","['Funimation', 'Bandai Entertainment']",['Xebec'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",['Harem'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.09,#3927,#944,"274,035","1,498",138371,"Keitaro Urashima promised a girl when he was young that they would meet up again at Tokyo University in the future. Sadly, in the National Practice Exam, Keitaro ranked 27th from the bottom. Knowing his grandmother owned a hotel, Keitaro intended to stay there while continuing his studies for Tokyo U, only to find out the hotel had long been transformed into an all-girls dormitory. Through an odd twist of fate, Keitaro eventually became the manager of the dorm, beginning his life of living with five other girls.","['Sequel (OVA) Love Hina Again', 'Adaptation (Manga) Love Hina Read Manga']",Love Hina,,,,,
2,"Digimon Adventure Zero Two, Digimon: Digital Monsters 02",デジモンアドベンチャー０２,Digimon Adventure 02,,['TV'],50,Finished Airing,"Apr 2, 2000 to Mar 25, 2001",['Spring 2000'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['Discotek Media', 'Saban Entertainment', 'Flatiron Film Company']",['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],['Kids'],25 min. per ep.,PG - Children,7.24,#3167,#1145,"227,507",779,146393,"Taichi Yagami and his friends have moved on to junior high, but by that time, they have lost contact with their Digimon partners. Taichi is therefore surprised to suddenly receive a distress call summoning him to the Digital World. Once there, he learns that Digimon are living in fear of the mysterious Digimon Emperor, who is somehow suppressing their ability to Digivolve! In the real world, Hikari Yagami and Takeru Takaishi reunite in the same fifth grade class. They share three schoolmates: Daisuke Motomiya, who reminds them both of Taichi; Miyako Inoue, a technical wizard; and Iori Hida, Miyako's neighbor. When these three children receive ""D-3"" Digivices, they—along with Hikari and Takeru, who still possess their own original Digivices—comprise the new generation of ""Chosen Children"" who must save the world once again. With the power of the Armored Digi-Eggs, they must thwart the Digimon Emperor's plans to spread his influence over the entire Digital World. [Written by MAL Rewrite]","['Prequel (Movie) Digimon Adventure: Bokura no War Game!', 'Sequel (Movie) Digimon Adventure 02: Diablomon no Gyakushuu', 'Adaptation (Manhua) Digimon Zero Two', '']",Digimon Adventure 02,,,,,
3,,妖しのセレス,"Ceres, Celestial Legend",,['TV'],24,Finished Airing,"Apr 20, 2000 to Sep 28, 2000",['Spring 2000'],Thursdays at 18:30 (JST),"['Bandai Visual', 'Shogakukan']","['VIZ Media', 'Discotek Media']",['Pierrot'],['Manga'],"['Adventure', 'Drama', 'Horror', 'Romance', 'Supernatural']",,['Shoujo'],21 min. per ep.,R - 17+ (violence & profanity),7.17,#3507,#2907,"64,425",489,28170,"Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed. Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party,"" Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently. With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction.","['Adaptation (Manga) Ayashi no Ceres', '']",Ayashi no Ceres,"Ceres, Celestial Legend",Ceres: La Leyenda Celestial,"['Psychological', 'Reincarnation']",,
4,Gensou Maden Saiyuki,幻想魔伝 最遊記,Saiyuki,,['TV'],50,Finished Airing,"Apr 4, 2000 to Mar 27, 2001",['Spring 2000'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu', 'Group TAC']",['ADV Films'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy']",['Mythology'],['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.54,#1822,#3085,"57,356",799,21888,"Many years ago, humans and demons lived in harmony. But that unity ended when demons started attacking humans and plotted a mission to unleash Gyumao—an evil demon imprisoned for thousands of years. Now, Genjo Sanzo, a rogue priest, must team up with three demons—Sha Gojyo, Son Goku, and Cho Hakkai—and embark on a perilous journey to the west to stop these demons from resurrecting Gyumao and restore the balance between humans and demons on Earth. (Source: ANN)","['Prequel (OVA) Saiyuuki Reload: Burial', 'Sequel (TV) Saiyuuki Reload', 'Adaptation (Manga) Saiyuuki Read Manga', '']",Gensoumaden Saiyuuki,Saiyuki,Saiyuki,,,
5,NieA_7,ニア アンダーセブン,,NieA under 7,['TV'],13,Finished Airing,"Apr 26, 2000 to Jul 19, 2000",['Spring 2000'],Wednesdays at 18:30 (JST),"['Genco', 'Kadokawa Shoten', 'TBS', 'Pioneer LDC']","['Discotek Media', 'Geneon Entertainment USA']",['Triangle Staff'],['Manga'],"['Sci-Fi', 'Slice of Life']",['Iyashikei'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.85,#5075,#3735,"40,685",192,11550,"In the 21st century, aliens have arrived on Earth and live among humans. In sleepy Enohana, the dirt-poor student Chigasaki Mayuko finds herself living together with NieA, a low-caste (""Under Seven"") alien. While Mayuko struggles diligently to make ends meet, NieA seems to be totally unconcerned with the consequences of her actions. As the odd couple throws off the expected sparks, the wrecked alien mothership looms in the background... (Source: ANN)","['Adaptation (Manga) NieA Under 7', '']",NieA Under 7,,,,,
6,"Battle Flag of the Stars, Crest of the Stars",星界の戦旗,Banner of the Stars,,['TV'],13,Finished Airing,"Apr 14, 2000 to Jul 14, 2000",['Spring 2000'],Unknown,"['Bandai Visual', 'WOWOW']","['Funimation', 'Bandai Entertainment']",['Sunrise'],['Light novel'],"['Action', 'Romance', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.65,#1431,#3978,"35,454",277,15227,"Three years since the end of their intergalactic excursion, both Lafiel Abriel and Jinto Linn have reunited; Lafiel as the captain of the attack ship Basroil and Jinto as her supply officer. The restart of the war between the Abh Empire and the Triple Alliance thrusts the inexperienced duo into the forefront of the deadly conflict. As the catastrophic battle between pure humankind and their greatest creation, the Abh, rages on, both sides accept that their conflict is not merely about territory, but about settling the inherent differences between themselves. [Written by MAL Rewrite]","['Prequel (TV) Seikai no Monshou', 'Sequel (TV) Seikai no Senki II', 'Adaptation (Light Novel) Seikai no Senki', '']",Seikai no Senki,,,"['Military', 'Space']",,
7,Sakura Taisen TV,サクラ大戦,Sakura Wars TV,Sakura Wars,['TV'],25,Finished Airing,"Apr 8, 2000 to Sep 23, 2000",['Spring 2000'],Saturdays at 17:30 (JST),"['Mainichi Broadcasting System', 'TBS', 'Sega', 'Avex Pictures', 'Imagine']","['ADV Films', 'Sentai Filmworks']",['Madhouse'],Game,"['Action', 'Adventure', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.84,#5149,#4405,"28,696",63,8816,"It is the 1920s, and Japan is under attack by demonic invaders. The government has designed sturdy, albeit steam-powered, robot armor suits for the impending battle, but only young ladies with the proper combination of virtue and spirit can pilot the robots successfully. Enter young Sakura, arriving in the Imperial Capital from the countryside to join the Imperial Flower Combat Troop. She has the qualifications to be a fine robot pilot, but she's surprised to learn that this secret Defense Force has a cover story as a musical theatre troupe-and they take their cover jobs very seriously indeed. It's costumes, line readings and robot combat galore, as Sakura struggles to learn the ropes, learn her lines, and do her part to save the nation! (Source: ADV Films)","['Sequel (OVA) Sakura Taisen: Gouka Kenran', 'Sequel (TV) Shin Sakura Taisen the Animation', 'Adaptation (Manga) Sakura Taisen', '']",Sakura Taisen,Sakura Wars,Sakura Wars,"['Mecha', 'Performing Arts']",,
8,"Da!Da!Da!, UFO Baby",だぁ! だぁ! だぁ!,,,['TV'],78,Finished Airing,"Mar 28, 2000 to Feb 26, 2002",['Spring 2000'],Tuesdays at 18:00 (JST),"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Sci-Fi']",['Childcare'],['Shoujo'],25 min. per ep.,G - All Ages,7.63,#1483,#4553,"26,883",253,12282,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. (Source: ANN)","['Adaptation (Manga) Daa! Daa! Daa!', '']",Daa! Daa! Daa!,,,,,
9,,ボーイズ・ビー,Boys Be...,,['TV'],13,Finished Airing,"Apr 11, 2000 to Jul 4, 2000",['Spring 2000'],Tuesdays at 18:30 (JST),"None found,",['Nozomi Entertainment'],['HAL Film Maker'],['Manga'],"['Comedy', 'Romance']",['School'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.38,#7790,#4708,"24,728",46,9844,"There are two sides to every love story, and Boys Be... reveals what's really going on—from the guy's point of view! Meet three normal high school guys with just one thing on their minds: girls. Quiet Kyoichi has been friends with Chiharu ever since they were young, but lately, his feelings have begun to change. Lecherous Makoto, a self-proclaimed master of the rules of romance, is ready to sweep the ladies off their feet. And Yoshihiko, a handsome sports nut, is unfortunately a bit clueless in matters of the heart. Join this hapless trio for a year of romantic misadventures that will change their lives forever! (Source: RightStuf)","['Adaptation (Manga) Boys Be...', '']",Boys Be...,,,,,
