,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographics
0,Tensura 2,転生したらスライムだった件,That Time I Got Reincarnated as a Slime Season 2 Part 2,Meine Wiedergeburt als Schleim in einer anderen Welt Staffel 2 Teil 2,That Time I Got Reincarnated as a Slime Temporada 2 Parte 2,"Moi, Quand Je Me Réincarne en Slime Saison 2 Partie 2",['TV'],12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",['Summer 2021'],Tuesdays at 23:00 (JST),"['Kodansha', 'BS11', 'Bandai Namco Arts', 'Micro Magazine Publishing', 'Bandai Spirits', 'Sony Music Solutions', 'ADK Marketing Solutions']",['Crunchyroll'],['8bit'],['Manga'],"['Action', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.31,#274,#240,"836,333","10,976",482764,"The nation of Tempest is in a festive mood after successfully overcoming the surprise attack from the Falmuth Army and the Western Holy Church. Beyond the festivities lies a meeting between Tempest and its allies to decide the future of the Nation of Monsters. The aftermath of the Falmuth invasion, Milim Nava's suspicious behavior, and the disappearance of Demon Lord Carrion—the problems seem to keep on piling up. Rimuru Tempest, now awakened as a True Demon Lord, decides to go on the offensive against Clayman. With the fully revived Storm Dragon Veldora, Ultimate Skill Raphael, and other powerful comrades, the ruler of the Tempest is confident in taking down his enemies one by one until he can face the man pulling the strings. [Written by MAL Rewrite]","['Prequel (TV) Tensei shitara Slime Datta Ken 2nd Season', 'Sequel (TV) Tensei shitara Slime Datta Ken 3rd Season', 'Adaptation (Manga) Tensei shitara Slime Datta Ken', '']",Tensei shitara Slime Datta Ken 2nd Season Part 2,,,
1,"Kobayashi-san Chi no Maid Dragon 2nd Season, Miss Kobayashi's Dragon Maid 2nd Season",小林さんちのメイドラゴンS,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,['TV'],12,Finished Airing,"Jul 8, 2021 to Sep 23, 2021",['Summer 2021'],Thursdays at 00:00 (JST),"['Lantis', 'ABC Animation', 'Heart Company']","None found,",['Kyoto Animation'],['Manga'],"['Slice of Life', 'Supernatural']",,,23 min. per ep.,PG-13 - Teens 13 or older,8.23,#356,#399,"582,433","5,785",291329,"As Tooru continues on her quest to become the greatest maid and Kanna Kamui fully immerses in her life as an elementary school student, there is not a dull day in the Kobayashi household with mischief being a daily staple. On one such day, however, a massive landslide is spotted on the hill where Kobayashi and Tooru first met—a clear display of a dragon's might. When none of the dragons they know claim responsibility, the perpetrator herself descends from the skies: Ilulu, the radical Chaos Dragon with monstrous power rivaling that of Tooru. Sickened by Tooru's involvement with humans, Ilulu resorts to the typical dragon method of resolving conflict—a battle to the death. Despite such behavior, she becomes intrigued by Kobayashi's ability to befriend dragons and decides instead to observe just what makes Kobayashi so special. With a new troublesome dragon in town, Kobayashi's eccentric life with a dragon maid is only getting merrier. [Written by MAL Rewrite]","['Prequel (Special) Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai', 'Sequel (Movie) Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu', 'Adaptation (Manga) Kobayashi-san Chi no Maid Dragon', '']",Kobayashi-san Chi no Maid Dragon S,,,
2,"Vanitas no Shuki, Memoir of Vanitas, Vanitas no Carte",ヴァニタスの手記,The Case Study of Vanitas,,,,['TV'],12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",['Summer 2021'],Saturdays at 00:00 (JST),"['Aniplex', 'Square Enix', 'Hakuhodo DY Music & Pictures', 'Contents Seed']",['Funimation'],['Bones'],['Manga'],"['Action', 'Fantasy', 'Mystery']","['Historical', 'Urban Fantasy', 'Vampire']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.90,#823,#404,"577,275","7,880",234958,"Scorned by others of his kind for being born under a blue moon, the vampire Vanitas grew afraid and desolate. According to legend, he created a cursed grimoire known as the ""Book of Vanitas,"" and it is said he would one day use it to bring retribution upon all vampires of the crimson moon. In 19th century Paris, Noé Archiviste is searching for the fabled Book of Vanitas. Whilst traveling aboard an airship, he is saved from a vampire attack by an eccentric doctor who calls himself Vanitas and carries the very tome he seeks. Ironically, the self-proclaimed vampire specialist is a mere human who inherited both his name and the book from his master, the same Vanitas of legend. As the odd case of the Charlatan's Parade crops up, the doctor's ability to restore sanity to vampires by recovering their true name will prove most beneficial. [Written by MAL Rewrite]","['Sequel (TV) Vanitas no Karte Part 2', 'Adaptation (Manga) Vanitas no Karte']",Vanitas no Karte,,,
3,Moon-led Journey Across Another World,月が導く異世界道中,Tsukimichi -Moonlit Fantasy-,Tsukimichi: Moonlight Fantasy,Tsukimichi: Moonlight Fantasy,Tsukimichi: Moonlight Fantasy,['TV'],12,Finished Airing,"Jul 7, 2021 to Sep 22, 2021",['Summer 2021'],Wednesdays at 23:00 (JST),"['Mainichi Broadcasting System', 'Nippon Television Network', 'Tokyo MX', 'Medicos Entertainment', 'Nichion', 'A-Sketch', 'DMM pictures', 'BS NTV', 'AQUA ARIS', 'NetEase', 'AlphaPolis']","None found,",['C2C'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1275,#477,"500,918","4,457",266385,"As part of a mysterious contract agreed upon by a goddess and his parents years ago, Makoto Misumi finds himself sent to another world to meet the goddess and become the hero. However, the deity deems Makoto to be ""hideous,"" refusing to even lay eyes upon him and revokes his heroic title. Disdainfully giving him the ability to understand all languages except the human language as compensation, the goddess drives Makoto off to the farthest edges of the wasteland, far from human civilization. Due to the disparity between Earth and this new world, Makoto's inherent physical and magical capabilities awaken, making him extremely powerful. He meets various demihumans and mythical beings who all end up being captivated with his characteristics and join Makoto in building a new community where all of them can peacefully coexist. Nevertheless, despite this success, Makoto still yearns to meet fellow humans. In a world where the goddess herself has barred him from interacting with his kind, it is up to Makoto and his companions to fulfill his desire—and perhaps reform society along the way. [Written by MAL Rewrite]","['Sequel (TV) Tsuki ga Michibiku Isekai Douchuu 2nd Season', 'Adaptation (Manga) Tsuki ga Michibiku Isekai Douchuu', 'Adaptation (Light Novel) Tsuki ga Michibiku Isekai Douchuu', '']",Tsuki ga Michibiku Isekai Douchuu,['Isekai'],,
4,"Re:Construction the Elfrieden Kingdom Tales of Realistic Brave, A Realist Hero's Kingdom Restoration Chronicle, Genkoku",現実主義勇者の王国再建記,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,['TV'],13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021",['Summer 2021'],Sundays at 01:30 (JST),"['KlockWorx', 'King Records', 'Overlap', 'WOWMAX', 'Yostar', 'MIGHTY MEDIA']",['Funimation'],['J.C.Staff'],['Light novel'],"['Action', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'Military']",,24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3098,#576,"424,816","2,688",217247,"After the death of his grandfather, 19-year-old Kazuya Souma—an aspiring civil servant—is left all alone with no one to call family. Out of the blue, he is transported to the Elfrieden Kingdom, a small ailing country in another world, to be a ""hero."" An ongoing war with the demon army has put the entire world in peril, and Kazuya was summoned to aid in the conflict as an offering from Elfrieden to its allies. Dissatisfied with being used as tribute, Kazuya decides to help the kingdom revamp its declining economy—not by way of adventuring or war, but through administrative reform. Abruptly declared the King of Elfrieden and betrothed to the princess, the ""Realist Hero"" Kazuya sets out to assemble a group of talented citizens who will assist him in his bureaucratic battles to get the kingdom back on its feet. [Written by MAL Rewrite]","['Sequel (TV) Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2', 'Adaptation (Manga) Genjitsu Shugi Yuusha no Oukoku Saikenki', 'Adaptation (Light Novel) Genjitsu Shugi Yuusha no Oukoku Saikenki', '']",Genjitsu Shugi Yuusha no Oukoku Saikenki,,,
5,Spirit Chronicles,精霊幻想記,Seirei Gensouki: Spirit Chronicles,Seirei Gensouki: Spirit Chronicles,Seirei Gensouki: Spirit Chronicles,Seirei Gensouki: Spirit Chronicles,['TV'],12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",['Summer 2021'],Tuesdays at 02:00 (JST),"['MediaNet', 'Nippon Columbia', 'KlockWorx', 'Asmik Ace', 'Hobby Japan', 'BS Fuji', 'Strawberry Meets Pictures', 'Crunchyroll', 'Kanon Sound', 'NichiNare', 'Melonbooks', 'TMS Music', 'CTW']","None found,",['TMS Entertainment'],['Light novel'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'Reincarnation']",,23 min. per ep.,PG-13 - Teens 13 or older,7.07,#4045,#588,"417,301","3,393",213666,"When 20-year-old college student Haruto Amakawa dies in a traffic accident, he does not expect to wake up in an unfamiliar world in the body of a young boy named Rio. As their memories and personas fuse, Rio realizes that he now also possesses magical powers. He is relieved to find that his burning passion for revenge against his mother's murderers has not subsided, despite his newly changed identity. Not soon after, Rio comes across the kidnapped princess of the Bertram Kingdom and saves her without hesitation. To express his gratitude, the king grants him the opportunity to enroll in the Bertram Royal Academy. Believing this to be a new chapter in his life, he is excited to study at this prestigious academy, but life here proves to be difficult for him, a slum-dweller surrounded by the majestic children of nobles. [Written by MAL Rewrite]","['Sequel (TV) Seirei Gensouki 2', 'Adaptation (Manga) Seirei Gensouki', 'Adaptation (Manga) Seirei Gensouki', 'Adaptation (Light Novel) Seirei Gensouki']",Seirei Gensouki,,,
6,Kanokano,カノジョも彼女,"Girlfriend, Girlfriend","Girlfriend, Girlfriend","Girlfriend, Girlfriend","Girlfriend, Girlfriend",['TV'],12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",['Summer 2021'],Saturdays at 02:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'Half H.P Studio', 'Nikkatsu', 'NBCUniversal Entertainment Japan', 'Forecast Communications', 'Myrica Music']","None found,",['Tezuka Productions'],['Manga'],"['Comedy', 'Romance']","['Harem', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.52,#6920,#624,"398,070","2,517",194025,"Naoya Mukai is having the time of his life after his childhood friend Saki Saki finally accepts one of his countless confessions. Ensuring that their relationship will stay strong, he spares no effort in showering affection to his now beloved girlfriend. However, one afternoon, another girl named Nagisa Minase suddenly confesses to Naoya following months of preparation. Even though he politely rejects her, Nagisa's irresistible charm and determination continue to attract Naoya. Wanting to fulfill both Saki and Nagisa's desires, Naoya ends up proposing a crazy idea—to date the two of them simultaneously, with both girls fully aware. This unprecedented state of affairs ultimately causes wacky and hilarious situations in whatever they do to keep their unusual relationship going. [Written by MAL Rewrite]","['Sequel (TV) Kanojo mo Kanojo Season 2', 'Adaptation (Manga) Kanojo mo Kanojo']",Kanojo mo Kanojo,,,
7,Tanmoshi,探偵はもう、死んでいる。,The Detective Is Already Dead,,,,['TV'],12,Finished Airing,"Jul 4, 2021 to Sep 19, 2021",['Summer 2021'],Sundays at 21:30 (JST),"['AT-X', 'Kadokawa Media House', 'Kadokawa', 'INCS toenter']",['Funimation'],['ENGI'],['Light novel'],"['Comedy', 'Mystery', 'Romance']",,,25 min. per ep.,PG-13 - Teens 13 or older,6.41,#7627,#643,"390,393","3,195",148836,"Kimihiko Kimizuka has found himself inadvertently entangled in various crimes more times than he can remember, referring to himself as a magnet for trouble. One day, as if it was nothing out of the ordinary, a group of unknown men kidnaps him, forcing him to board a flight—where he also encounters a hijacking. Amid the resulting chaos, however, Kimizuka meets a stunning silver-haired beauty, going by the codename Siesta, who then saves the day. Claiming to be a legendary detective, Siesta enlists Kimizuka to be her sidekick. Though Kimizuka refuses at first, with Siesta's insistence, he eventually joins her—marking the start of a grand adventure spanning the entire world, preventing multiple threats that could spell doom for humanity along the way. Unfortunately, after three years of their unpredictable yet enjoyable time together, Siesta abruptly passes away. Distraught, Kimizuka tries to leave all memories of her behind, but as he begins to meet more people, it seems that Siesta's influence will never truly die. [Written by MAL Rewrite]","['Sequel (TV) Tantei wa Mou, Shindeiru. Season 2', 'Adaptation (Manga) Tantei wa Mou, Shindeiru.', 'Adaptation (Manga) Tantei wa Mou, Shindeiru.: The Lost Memory', 'Adaptation (Light Novel) Tantei wa Mou, Shindeiru.']","Tantei wa Mou, Shindeiru.",['Detective'],,
8,Bokurema,ぼくたちのリメイク,Remake Our Life!,Remake Our Life!,Remake our Life!,Remake Our Life!,['TV'],12,Finished Airing,"Jul 3, 2021 to Sep 25, 2021",['Summer 2021'],Saturdays at 21:30 (JST),"['Studio Mausu', 'bilibili', 'Bushiroad Music', 'DMM pictures', 'Front Wing', 'Bushiroad Move']","None found,",['feel.'],['Light novel'],"['Drama', 'Romance']","['Adult Cast', 'Time Travel']",,25 min. per ep.,PG-13 - Teens 13 or older,7.39,#2423,#696,"361,774","2,454",167547,"Life is not going well for 28-year-old Kyouya Hashiba. Having left his office job to pursue a career in the video game industry, his internship at a popular game studio abruptly ends, leaving him unemployed and forcing him to move back in with his parents. Additionally, his jealousy toward the success of the ""Platinum Generation""—a group of similarly-aged creators—has caused him to regret his decision to attend a traditional university instead of an arts college. Even though he believes there are no second chances in life, Kyouya is suddenly given one when he wakes up one day and finds himself 10 years in the past. Instead of choosing business school like he originally had, Kyouya decides to pursue his passions and attends the Oonaka University of Art. There, he meets classmate Eiko Kawasegawa, the woman who had hired him as an intern in the present, alongside his new housemates and future Platinum Generation members: underachieving artist Aki Shino, aspiring singer and actress Nanako Kogure, and naturally-gifted writer Tsurayuki Rokuonji. With each project they complete together, Kyouya and his friends venture closer to discovering their true potential as creators and remaking their lives into the ideal versions they desire. [Written by MAL Rewrite]","['Adaptation (Manga) Bokutachi no Remake', 'Adaptation (Light Novel) Bokutachi no Remake']",Bokutachi no Remake,,,
9,,Sonny Boy (サニーボーイ),Sonny Boy,,,,['TV'],12,Finished Airing,"Jul 16, 2021 to Oct 1, 2021",['Summer 2021'],Fridays at 00:30 (JST),"['Shochiku', 'Marui Group', 'BS Asahi']",['Funimation'],['Madhouse'],Original,"['Award Winning', 'Mystery']","['Isekai', 'Super Power']",,24 min. per ep.,PG-13 - Teens 13 or older,7.82,#982,#755,"339,453","7,666",121630,"Thirty-six students find themselves and their school building suddenly adrift in a void-like dimension. When supernatural powers awaken in some of them, a sense of detachment begins to divide the group. Despite the student council's attempts to impose order, they clash with the students possessing special abilities, who rebel against their strict control. This conflict leads them to discover that this world has its own set of rules—and following them is necessary for survival. After one of the students decides to take a leap of faith, the school switches dimensions once again. While they deal with the unique challenges and circumstances that each world presents, the students must unravel the mysterious phenomenon and find a way back home. [Written by MAL Rewrite]",[],Sonny Boy,,,
