,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Themes,Theme,Spanish,French,German,Demographics
20,ガンフロンティア,,['TV'],13,Finished Airing,"Mar 28, 2002 to Jun 20, 2002",['Spring 2002'],Unknown,"['TV Tokyo', 'Echo']","['Media Blasters', 'Discotek Media']",['Vega Entertainment'],['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,6.52,#6976,#6281,"11,905",20,4166,"It is a harsh and barren wasteland, where the weak aren't allowed to dream. It is also a sacred land for true men, for there is no place a man can feel more alive. This is the Gun Frontier. Sea Pirate Captain Harlock and the errant samurai, Tochiro arrive in the United States on the Western Frontier. Along with a mysterious woman they meet along the way, the two friends challenge sex rings, bandits, and corrupt sheriff. They are searching for a lost clan of Japanese immigrants, and they will tear Gun Frontier from end to end until they find it. (Source: ANN)","['Adaptation (Manga) Gun Frontier', '']",Gun Frontier,,,,['Historical'],,,,
21,あたしンち,My Family,['TV'],330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",['Spring 2002'],Saturdays at 11:20 (JST),"['TV Asahi', 'Yumeta Company']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,25 min. per ep.,G - All Ages,7.38,#2439,#8236,"6,120",63,2771,"Outrageous misadventures of an almost normal family with a housewife, her husband, and their two kids Yuzuhiko and Mikan. Wacky humor about this weird family's daily life. (Source: AniDB)","[""Sequel (TV) Shin Atashin'chi"", ""Adaptation (Manga) Atashin'chi""]",Atashin'chi,Atashinchi,,,,,,,
22,爆闘宣言ダイガンダー,Daigunder,['TV'],39,Finished Airing,"Apr 5, 2002 to Dec 27, 2002",['Spring 2002'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nippon Animation', 'Victor Entertainment']","None found,","[""Brain's Base""]",Original,"['Adventure', 'Sci-Fi']",,24 min. per ep.,PG - Children,6.82,#5245,#9631,"3,983",21,2189,"Akira Akebono, a young boy who is competing in a robot tournament where many of the robots are capable of transforming into animal forms. Akira wants to win the ultimate prize, the Titan Belt, with the help of his group of robots, all of which are capable of forming into the robot Daigunder. Daigunder is the creation of Akira's father, Professor Hajime Akebono. Together with a girl named Haruka, they compete under the name of Team Akira. However, Team Akira faces opposition from not only their competition, but a robot named Ginzan who is under the control of the evil Professor Maelstrom. (Source: ANN)",[],Bakutou Sengen Daigunder,"Bakutou Sengen Daigander, Bakutoh Sengen Daigunder",,,['Mecha'],,,,
23,ワイルド7 another　謀略運河,Wild 7 Another,['TV'],13,Finished Airing,"Apr 27, 2002 to Aug 31, 2002",['Spring 2002'],Saturdays at 11:00 (JST),"None found,",['Discotek Media'],['E&G Films'],['Manga'],"['Action', 'Adventure', 'Mystery']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),5.13,#13058,#12858,"1,474",1,337,"A big transatlantic ship, full of rich and important people for international business, has been taken by a group of terrorists. The only hope for their rescue is in the hands of a Japanese man known as Japa, but first, he must hire seven companions to help him, and together they will be the Wild Seven. The main plot occurs in the waters of Nicaragua's Canal. (Source: ANN)","['Prequel (OVA) Wild 7', '']",Wild 7 Another Bouryaku Unga,Wild 7 Swirling Canal,,"['Detective', 'Gore']",,,,,
24,ベイベーばあちゃん,Baby Grandma,['TV'],53,Finished Airing,"Apr 8, 2002 to Dec 4, 2002",['Spring 2002'],Not scheduled once per week,"['Bandai Visual', 'NHK', 'Bandai']","None found,","None found,",Original,"['Comedy', 'Drama']",,7 min. per ep.,G - All Ages,6.44,#7443,#13566,"1,213",0,359,"Amika is a elementary school student who dreams of becoming an idol. Her grandmother is a harsh yet wealthy woman who lives on a remote island that she owns. When her grandmother passed away, Amika's life begins to appear subtle changes. Not long after the passing of her grandmother, Amika's mother gave birth to a baby girl. Ironically, Amika's little sister looks and behaves exactly like her grandmother. (Source: ANN)",[],Baby Baachan,,,,,,,,
25,電光超特急ヒカリアン,,['TV'],52,Finished Airing,"Apr 7, 2002 to Mar 30, 2003",['Spring 2002'],Unknown,"['TV Tokyo', 'Tokyo Kids']","None found,","None found,",Unknown,"['Action', 'Adventure']",['Kids'],25 min. per ep.,G - All Ages,6.30,#8244,#13803,"1,132",2,261,The second season of Chou Tokkyuu Hikarian.,"['Prequel (TV) Chou Tokkyuu Hikarian', '']",Denkou Chou Tokkyuu Hikarian,"Hikarian 2: Lightning Attack Express, Lightning Super Express Hikarian",,,,,,,
26,レッチュ ゲッチュ サルゲッチュ,,['TV'],76,Finished Airing,"Apr 8, 2002 to Sep 30, 2002",['Spring 2002'],Unknown,"None found,","None found,","None found,",Game,,,45 sec. per ep.,PG - Children,5.56,#11926,#16254,594,1,131,"The monkeys are up to no good again, but this time they're on the ""heroes"" side. Performing no good magic shows, cloning themselves with a ninja Jutsu and filling UFO catchers with themselves are just a few of the tricks they're pulling, while at the same time trying to adapt themselves to the human lifestyle.","['Prequel (Special) Letchu, Getchu, Saru Getchu Episode 0', '']","Letchu, Getchu, Saru Getchu","Let You, Get You, Saru Get You, Ape Escape: Let Me Get You",['Comedy'],,,,,,
27,フォルツァ！ひでまる,,['TV'],26,Finished Airing,"Apr 6, 2002 to Sep 28, 2002",['Spring 2002'],Unknown,['Nihon Ad Systems'],"None found,",['Gallop'],['Manga'],,,25 min. per ep.,G - All Ages,[],#18015,#16362,578,1,,"A soccer anime with a cast of wacky animals in sports getup seems far out of its time in the early 21st century, but it was the year of the World Cup in Japan and South Korea, and the very young audience sees these tropes with fresh eyes. Hidemaru is a feisty fox; his friends include bunnies, dogs, horses, and a couple of hefty hippo girls. Based on a manga Hidemaru the Soccer Boy by Makoto Mizobuchi, serialized in CoroCoro Comics. (Source: AnimeVice)",[],Forza! Hidemaru,"Go for It! Hidemaru, Go for It! Mario, Forza! Hidemaru, Forza! Mario, Forutsa! Mario, Forutsa! Hidemaru",['Sports'],,['Team Sports'],,,,
28,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,554","234,834",1420221,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,,,,,
29,犬夜叉,InuYasha,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,189","19,337",402566,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,Inu Yasha,,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",,Inuyasha,,,
30,ポケットモンスター,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Kids'],24 min. per ep.,PG - Children,7.40,#2383,#349,"654,011","5,565",411328,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",,,,Pokémon,Pokémon,Pokémon,
31,フルメタル・パニック！,Full Metal Panic!,['TV'],24,Finished Airing,"Jan 8, 2002 to Jun 18, 2002",['Winter 2002'],Tuesdays at 18:30 (JST),"['Kadokawa Shoten', 'KlockWorx']","['ADV Films', 'Funimation']",['Gonzo'],['Light novel'],"['Action', 'Comedy', 'Sci-Fi']",,24 min. per ep.,R - 17+ (violence & profanity),7.59,#1606,#464,"512,486","4,413",246491,"Mithril, a covert military institution using state-of-the-art technology to combat terrorist operations, assigns a specialized team to a sensitive mission. Under the command of superior officer Melissa Mao, sergeants Sousuke Sagara and Kurz Weber must secretly protect Kaname Chidori—a teenage girl who unconsciously holds breakthrough scientific knowledge and is considered a ""Whispered""—from intelligence agencies and other organizations pursuing her abilities. While Kurz and Melissa are to assist him remotely, Sousuke enrolls at Kaname's high school as one of her classmates to closely monitor her. However, his militaristic upbringing and poor social skills lead to a difficult adjustment to civilian life. Not only does he attract unnecessary attention, but his actions frequently make Kaname suspicious of him. Despite the earnest attempts to fulfill his duty, a terrorist ambush further complicates Sousuke's task. Recognizing the vicious mastermind behind the assault, Sousuke abandons his orders to ensure Kaname's safety. [Written by MAL Rewrite]","['Sequel (TV) Full Metal Panic! The Second Raid', 'Adaptation (Manga) Full Metal Panic!', 'Adaptation (Manga) Full Metal Panic! Sigma', 'Adaptation (Light Novel) Full Metal Panic! Tanpenshuu']",Full Metal Panic!,"FMP, Fullmetal Panic!",,"['Mecha', 'Military']",,,,,
32,遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1978,#603,"412,191","5,011",259903,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",,,['Strategy Game'],,Yu-Gi-Oh!,,
33,シャーマンキング,Shaman King,['TV'],64,Finished Airing,"Jul 4, 2001 to Sep 25, 2002",['Summer 2001'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music']","['4Kids Entertainment', 'Discotek Media']",['Xebec'],['Manga'],"['Action', 'Adventure', 'Supernatural']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.73,#1204,#673,"375,025","3,721",199513,"A battle is about to begin in Tokyo: the Shaman Fight, a tournament held every five hundred years where shaman—those who can command spirits—confront each other in combat. The victor of this contest becomes the Shaman King and the only one who is able to contact and control the Great Spirit, allowing them to reshape the world as they please through its immense power. During a late night walk, Manta Oyamada runs into his classmate, the carefree You Asakura, who invites him to come stargazing with some friends, who, to Manta's horror, turn out to be ghosts from a local cemetery! However, the knowledge that Manta possesses—a rare sixth sense that allows Manta to see these spirits—endears the boy to You. So when You finds out that his new comrade has been beaten up by a local gang, he decides to avenge him with the help of Amidamaru, a samurai ghost whose tomb was broken by the gang leader. Soon Manta uncovers more about the world of spirits, including the Shaman Fight, in which his new friend You aims to claim victory. [Written by MAL Rewrite]","['Adaptation (Manga) Shaman King Read Manga', '']",Shaman King,,,,,,,,
34,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,890","15,328",164366,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,,['Detective'],,,Case Closed,
35,テニスの王子様,The Prince of Tennis,['TV'],178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",['Fall 2001'],Wednesdays at 19:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems']","['Funimation', 'VIZ Media']",['Trans Arts'],['Manga'],,['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,7.85,#920,#1341,"190,926","3,041",86558,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]","['Sequel (OVA) Tennis no Oujisama: Zenkoku Taikai-hen', 'Adaptation (Manga) Tennis no Oujisama']",Tennis no Oujisama,"TeniPuri, PoT",['Sports'],,['School'],,The Prince of Tennis,,
36,ヒカルの碁,Hikaru no Go,['TV'],75,Finished Airing,"Oct 10, 2001 to Mar 26, 2003",['Fall 2001'],Unknown,"['TV Tokyo', 'Dentsu', 'Dream Force']",['VIZ Media'],['Pierrot'],['Manga'],"['Comedy', 'Drama', 'Supernatural']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.07,#566,#1701,"143,557","2,477",65028,"While searching through his grandfather's attic, Hikaru Shindou stumbles upon an old go board. Touching it, he is greeted by a mysterious voice, and soon after falls unconscious. When he regains his senses, he discovers that the voice is still present and belongs to Fujiwara no Sai, the spirit of an ancient go expert. A go instructor for the Japanese Emperor in the Heian Era, Sai's passion for the game transcends time and space, allowing him to continue playing his beloved game as a ghostly entity. Sai's ultimate goal is to master a divine go technique that no player has achieved so far, and he seeks to accomplish this by playing the board game through Hikaru. Despite having no interest in board games, Hikaru reluctantly agrees to play, executing moves as instructed by Sai. However, when he encounters the young go prodigy Akira Touya, a passion for the game is slowly ignited within him. Inspired by his newfound rival, Hikaru's journey into the world of go is just beginning. [Written by MAL Rewrite]","['Sequel (Special) Hikaru no Go: Hokuto Hai e no Michi', 'Adaptation (Manga) Hikaru no Go']",Hikaru no Go,Hikaru's Go,,"['School', 'Strategy Game']",,,,,
37,ラーゼフォン,RahXephon,['TV'],26,Finished Airing,"Jan 21, 2002 to Sep 11, 2002",['Winter 2002'],Mondays at 16:25 (JST),"['Media Factory', 'Victor Entertainment', 'Asatsu DK', 'Fuji TV']","['ADV Films', 'Sentai Filmworks']",['Bones'],Original,"['Action', 'Award Winning', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",,23 min. per ep.,PG-13 - Teens 13 or older,7.37,#2504,#1913,"123,638",983,44337,"The ordinary life of high school student Ayato Kamina is turned upside down when Tokyo is suddenly invaded by futuristic fighter jets. Amidst the chaos, he encounters a woman called Haruka Shitow who claims to be from a government organization called TERRA. She reveals that he has been living in a time bubble named ""Tokyo Jupiter"" that was put in place by the Mulians—humanoids from another dimension—in an attempt to isolate and take over Tokyo. TERRA has been trying to break through the barrier surrounding the city ever since. Unable to process the revelation, Ayato panics and flees. He runs into his classmate Reika Mishima who leads him to a place called ""The Shrine of Xephon"" where a large egg slumbers. She starts to sing and an unknown power awakens within Ayato, connecting him to a being called RahXephon that breaks out of the egg. Shortly after, Haruka finds him again and tries to make him join her cause of fighting against the Mulians. Caught between the crosshairs of the Mulians and TERRA, Ayato begins to question his purpose, navigating altered memories and ultimately his very identity in this chaotic new world. [Written by MAL Rewrite]","['Adaptation (Manga) RahXephon', 'Adaptation (Light Novel) RahXephon']",RahXephon,,,"['Mecha', 'Music', 'Psychological']",,,,,
38,レイヴ,Rave Master,['TV'],51,Finished Airing,"Oct 13, 2001 to Sep 28, 2002",['Fall 2001'],Unknown,"['TBS', 'Kodansha']",['Tokyopop'],['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.20,#3360,#2165,"103,797",380,42015,"Fifty years ago, malevolent stones known as Dark Brings brought about the ""Overdrive,"" a calamitous event that destroyed one-tenth of the world. In the present day, the nefarious organization Demon Card seeks the Dark Brings' power for their all but innocent intentions. Haru Glory, a sword-wielding silver-haired teenager, inherits the title of Rave Master: the person who wields the power of the legendary Rave Stones, artifacts capable of destroying the Dark Brings. However, the many Rave Stones were scattered across the globe as a result of the Overdrive, allowing Demon Card to continue their malpractices. Groove Adventure Rave follows Haru, his strange dog Plue, the fiery blonde Ellie, and the infamous thief Musica, as they embark on a great journey that will take them around the vast world, searching for the Rave Stones that will finally end Demon Card's injustice. [Written by MAL Rewrite]","['Adaptation (Manga) Rave Read Manga', '']",Groove Adventure Rave,Groove Adventure Rave,,,,,Rave Master,,
39,THEビッグオー,The Big O,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Mystery', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,843","1,013",39646,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,"Big O Roger, Big O",,"['Adult Cast', 'Mecha', 'Psychological']",,,,,
40,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,093","1,330",42200,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,,['School'],Shin Chan,,Shin Chan,
41,爆転シュート　ベイブレード2002,Beyblade V-Force,['TV'],51,Finished Airing,"Jan 7, 2002 to Dec 30, 2002",['Winter 2002'],Mondays at 18:00 (JST),"['TV Tokyo', 'd-rights']","['Nelvana', 'Discotek Media']",['Nippon Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['Shounen'],21 min. per ep.,PG - Children,6.74,#5661,#2748,"70,911",123,44404,"The Bladebreakers have to join forces once again because a mysterious group under the lead of Oozuma has defeated them, but the real enemy is not Oozuma. The real threath is formed by a group of people who use cyber-BitBeasts to capture the original ones from the Bladebreakers. (Source: ANN)","['Prequel (TV) Bakuten Shoot Beyblade', 'Sequel (TV) Bakuten Shoot Beyblade G Revolution']",Bakuten Shoot Beyblade 2002,Beyblade 2002,,,,Beyblade Vforce,,,
42,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,030",669,39827,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,,['Anthropomorphic'],Doraemon,,,"['Kids', 'Shounen']"
43,とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",['Kids'],25 min. per ep.,G - All Ages,7.01,#4330,#2951,"62,641",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",,,['Anthropomorphic'],Hamtaro,Hamtaro,Hamtaro,
