,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genre,Themes,Theme,Spanish,French,German,Demographics
10,王ドロボウ JING,Jing: King of Bandits,['TV'],13,Finished Airing,"May 15, 2002 to Aug 14, 2002",['Spring 2002'],Unknown,['Aniplex'],['ADV Films'],['Studio Deen'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3534,#3798,"39,194",210,15039,"Jing may appear to be a young boy, but his remarkable skills make him one of the most feared thieves on the planet. Along with his feathered partner Kir, Jing travels from town to town, stealing anything of value regardless of the amount of security. But when he's in a pinch, he has one more trick up his sleeve: Kir bonds with Jing's right arm to perform the effectively deadly ""Kir Royale"" attack. And because of all this, Jing is infamously known by many as the ""King of Bandits.""","['Sequel (OVA) Ou Dorobou Jing in Seventh Heaven', 'Adaptation (Manga) Ou Dorobou Jing']",Ou Dorobou Jing,King of Bandit Jing,,,,,King of Bandit Jing,King of Bandit Jing,
11,天地無用! GXP,,['TV'],26,Finished Airing,"Apr 2, 2002 to Sep 25, 2002",['Spring 2002'],Wednesdays at 00:55 (JST),"['VAP', 'BeSTACK', 'Nippon Television Network']",['Funimation'],['AIC'],Original,"['Action', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.14,#3716,#4147,"32,822",141,15282,"From crashing his bike to falling in lakes, Seina Yamada just cannot shake the bad luck that follows him. But his fortune begins to change when he is forcibly recruited into the Galaxy Police and ends up capturing the most pirates in the force. Now, Seina is no longer just the unfortunate boy from Earth; he is a man that pirates have come to fear. Despite his reputation, Seina is still the same clumsy guy, but at least he has Amane Kaunaq, a former model, and Kiriko Masaki, his long time friend, to keep him together. With their help, Seina sets out on an adventure in the hopes of becoming a great Galaxy Police Officer. [Written by MAL Rewrite]","['Adaptation (Light Novel) Shin Tenchi Muyou! Ryououki Gaiden: Tenchi Muyou! GXP', '']",Tenchi Muyou! GXP,"Tenchi Muyou, Tenchi Muyo! GXP",,"['Detective', 'Harem', 'Mecha', 'Space']",,Tenchi Muyo! GXP,Tenchi Muyo! GXP,Tenchi Muyo! GXP,
12,東京アンダーグラウンド,Tokyo Underground,['TV'],26,Finished Airing,"Apr 2, 2002 to Sep 24, 2002",['Spring 2002'],Tuesdays at 18:30 (JST),['TV Tokyo Music'],"['Discotek Media', 'Geneon Entertainment USA']",['Pierrot'],['Manga'],"['Action', 'Adventure', 'Romance', 'Sci-Fi']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,6.58,#6592,#4245,"30,890",48,12157,"Under the capital city of Tokyo, Japan, there exists a large, vast, and unknown world known as Underground. There, people known as Elemental Users exist; people who have the ability to control the elements: Fire, Water, Lightning, Magnetism, Freeze, etc. Meet Rumina Asagi and his best friend Ginnosuke Isuzu, two average high school freshmen who reside in Tokyo. When they meet Gravity User, Chelsea Rorec, and the Miko of Life, Ruri Sarasa, their whole lives change into one big adventure. (Source: ANN)","['Adaptation (Manga) Tokyo Underground', '']",Tokyo Underground,,,,['Super Power'],,,,
13,HAPPY☆LESSON,,['TV'],13,Finished Airing,"Apr 1, 2002 to Jun 30, 2002",['Spring 2002'],Unknown,['KSS'],['ADV Films'],['Studio Hibari'],['Manga'],"['Comedy', 'Drama', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,6.60,#6485,#4317,"29,866",36,12633,"Hitotose Chitose was always alone and untrusting of people but when 5 female teachers appear and started living together with him in his family's house as his mothers, things started to change and pick up, together with Hazuki-nee and Minazuki (his 2 sisters) everyday is a lesson. (Source: ANN)","['Sequel (TV) Happy☆Lesson Advance', 'Adaptation (Manga) Happy★Lesson: Mama Sensei wa Saikou!']",Happy☆Lesson (TV),Happy Lesson,,,['Harem'],Happy☆Lesson,,,
14,天使な小生意気,Cheeky Angel,['TV'],50,Finished Airing,"Apr 7, 2002 to Mar 30, 2003",['Spring 2002'],Saturdays at 00:45 (JST),['TV Tokyo'],"None found,",['TMS Entertainment'],['Manga'],"['Comedy', 'Romance']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.42,#2275,#4335,"29,568",153,10445,Megumi-chan is a girl with a secret past. She used to be a boy until she met a person she thought was a magic user. This person gave him/her a magical book from which a genie appears to grant one wish when blood is applied to it. Megumi made the wish to be a man in a man's body but the genie has a twist: he grants wishes backwards so he turns Megumi-kun aged 9 to Megumi-chan. Years pass and Megumi enters High School where she immediately beats up the school bully who of course falls in love with her. She is looking for that book again to be able to reverse the spell placed upon her. (Source: ANN),"['Adaptation (Manga) Tenshi na Konamaiki', '']",Tenshi na Konamaiki,,,,['Magical Sex Shift'],,,,
15,りぜるまいん,,['TV'],24,Finished Airing,"Apr 3, 2002 to Dec 22, 2002",['Spring 2002'],Unknown,['m.o.e.'],"None found,","['Madhouse', 'Imagin']",['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,15 min. per ep.,R+ - Mild Nudity,6.50,#7107,#4580,"26,447",50,11091,"Iwaki Tomonori is an average 15-year-old boy who likes older women. He happens to have a crush on his teacher, but soon thereafter, learns she has become engaged. He heads home brokenhearted, only to find a 12-year-old girl named Rizel at his home, who he learns the Japanese government has married him to against his will. Furthermore, he learns Rizel is no ordinary girl; she is a biochemically engineered human, and her creators (her ""papa""s, as they are often referred to) promise to waive multiple bills of Iwaki's parents in exchange to be allowed to stay at their house, and thus Iwaki's life with Rizel begins.","['Adaptation (Manga) Rizelmine', '']",Rizelmine,,,,['School'],,,,
16,ぴたテン,Pita-Ten,['TV'],26,Finished Airing,"Apr 7, 2002 to Sep 29, 2002",['Spring 2002'],Sundays at 09:30 (JST),['Broccoli'],['Nozomi Entertainment'],['Madhouse'],['Manga'],"['Comedy', 'Fantasy', 'Romance']",['Shounen'],24 min. per ep.,G - All Ages,6.92,#4752,#4681,"25,091",89,11140,"Kotarou was pretty much supposed to be your average boy, worried about the pressures of education while enjoying a simple life with his friends. Much to his despair, he one day finds the overly cheerful Misha at his door, asking to be friends out of nowhere. Even more shocking is that Misha is an apprentice angel, yet she does more bad then good. Along with Kotarou's school friends Takashi and Koboshi and the so called devil Shia (once again being able to do more good then bad), the group of friends spend their days getting into all sorts of adventures and troubles.","['Adaptation (Manga) Pita-Ten', 'Adaptation (Light Novel) Pita-Ten']",Pita Ten,Pitaten,,,['School'],Pita-Ten,,Pita-Ten,
17,わがまま☆フェアリー ミルモでポン!,Mirmo Zibang!,['TV'],172,Finished Airing,"Apr 6, 2002 to Sep 27, 2005",['Spring 2002'],Unknown,"['Trinity Sound', 'Shogakukan Productions']",['VIZ Media'],['Studio Hibari'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['Shoujo'],21 min. per ep.,G - All Ages,7.30,#2839,#5032,"21,100",137,9263,"Kaede is a cheerful and energetic eighth grader. When it comes to boys, however, she is hopelessly shy. One day, on her way home from school, Kaede walks into a mysterious shop and buys a colorful cocoa mug. When she reaches home, she casually peeks into the bottom of the mug and discovers an engraved note, which says, ""If you read this message aloud while pouring hot cocoa into the mug, a love fairy (""muglox"") will appear and grant your every wish."" The skeptical but curious Kaede follows the directions and announces her wish to date Yuuki, the class heartthrob. Suddenly, the adorable blue Mirumo appears! We soon find out, however, that this cute little muglox would rather eat chocolate and create mischief than help Kaede. Mirumo, it seems, is prince of the muglox world. Horrified at the prospect of having to marry Rirumu, his princess bride-to-be, Mirumo has escaped the muglox world. Hot on his heels, however, are Rirumu, Yashichi the bounty hunter, and a cast of hundreds of muglox ranging from the good to the bad to the nutty. This gang of adorable troublemakers will see to it that school life for Kaede and her friends is never the same... (Source: mirmo-zibang)","['Adaptation (Manga) Mirumo de Pon!', '']",Wagamama☆Fairy Mirumo de Pon!,"Milmo de Pon!, Mirmo!, Wagamama Fairy Milmo De Pon!, Selfish fairy: Mirumo de Pon!, Selfish Fairy Mirumo de Pon!, Wagamama Fairy Mirumo de Pon! Golden, Wagamama Fairy Mirumo de Pon! Wonderful, Wagamama Fairy Mirumo de Pon! Charming",,,['School'],,Mirmo!,,
18,ホイッスル！,,['TV'],39,Finished Airing,"May 6, 2002 to Feb 3, 2003",['Spring 2002'],Unknown,['Marvelous Entertainment'],"None found,",['Studio Comet'],['Manga'],,['Shounen'],24 min. per ep.,G - All Ages,7.36,#2536,#5669,"15,479",79,7317,"Kazamatsuri Shou's dream has always been to become a professional soccer player, but he has one problem: he's not very good at the game. He was accepted to the prestigious Musashi no Mori Junior High, known for its top rate soccer team, but he was never able to rise beyond the rank of third stringer. After transferring to Sakura Jousui Junior High, he can finally play soccer. And, with the support of his new friends and teammates, his strong determination, and lots of hard work, his soccer skills are developing rapidly and setting Shou well on his way to achieving his dream. (Source: ANN)","['Adaptation (Manga) Whistle!', '']",Whistle!,,['Sports'],"['School', 'Team Sports']",,,,,
19,サイキックアカデミー煌羅万象,Psychic Academy,['TV'],24,Finished Airing,"Mar 29, 2002 to Sep 13, 2002",['Spring 2002'],Unknown,"['Starchild Records', 'GANSIS', 'Omnibus Promotion']",['Tokyopop'],['E&G Films'],['Manga'],"['Comedy', 'Romance', 'Ecchi']",['Seinen'],11 min. per ep.,PG-13 - Teens 13 or older,6.18,#8953,#6190,"12,377",12,5080,"Insecure Ai Shiomi begins attending the prestigous Psychic Academy for psychically gifted students, following in the footsteps of his legendary older brother. (Source: ANN)","['Adaptation (Manga) Psychic Academy Oura Bansho', '']",Psychic Academy,Psychic Academy Aura Banshou,,"['Love Polygon', 'School', 'Super Power']",,,,,
