,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Demographic,Synonyms,Spanish,German,French,Genre,Demographics
0,カウボーイビバップ,Cowboy Bebop,['TV'],26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",['Spring 1998'],Saturdays at 01:00 (JST),"['Bandai Visual', 'Victor Entertainment', 'Audio Planning U']",['Funimation'],['Sunrise'],Original,"['Action', 'Award Winning', 'Sci-Fi']","['Adult Cast', 'Space']",24 min. per ep.,R - 17+ (violence & profanity),8.75,#47,#42,"1,949,477","85,714",1007285,"Crime is timeless. By the year 2071, humanity has expanded across the galaxy, filling the surface of other planets with settlements like those on Earth. These new societies are plagued by murder, drug use, and theft, and intergalactic outlaws are hunted by a growing number of tough bounty hunters. Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor, Spike is haunted by the weight of his violent past. Meanwhile, Jet manages his own troubled memories while taking care of Spike and the Bebop, their ship. The duo is joined by the beautiful con artist Faye Valentine, odd child Edward Wong Hau Pepelu Tivrusky IV, and Ein, a bioengineered Welsh corgi. While developing bonds and working to catch a colorful cast of criminals, the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel, Spike must choose between life with his newfound family or revenge for his old wounds. [Written by MAL Rewrite]","['Adaptation (Manga) Shooting Star Bebop: Cowboy Bebop', 'Adaptation (Manga) Cowboy Bebop']",Cowboy Bebop,,,,,,,,
1,トライガン,Trigun,['TV'],26,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",['Spring 1998'],Thursdays at 01:15 (JST),['Victor Entertainment'],['Funimation'],['Madhouse'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,8.22,#374,#260,"794,670","16,694",385656,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs. With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point. [Written by MAL Rewrite]","['Adaptation (Manga) Trigun', '']",Trigun,['Adult Cast'],['Shounen'],,,,,,
2,カードキャプターさくら,Cardcaptor Sakura,['TV'],70,Finished Airing,"Apr 7, 1998 to Mar 21, 2000",['Spring 1998'],Tuesdays at 18:00 (JST),"['NHK', 'Kodansha', 'Sogo Vision']","['Nelvana', 'NIS America, Inc.', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],"['Adventure', 'Comedy', 'Drama', 'Romance']","['Mahou Shoujo', 'School']",25 min. per ep.,PG - Children,8.17,#443,#531,"454,355","14,101",226684,"Ten-year-old Sakura Kinomoto is an ordinary fourth-grade student living in Tomoeda until, one day, she stumbles upon a mysterious book of cards titled ""The Clow."" Pondering over her discovery, she unintentionally causes a magical gust of wind to scatter the cards all over town. The accident awakens the Beast of the Seal—Keroberos, nicknamed ""Kero""—who tells Sakura that she has released the mystical ""Clow Cards"" created by the sorcerer Clow Reed. Due to each Card's ability to act independently and their incredible power, Clow had sealed them away. Now that they have been set free, the Cards pose great danger to the world, and it is up to Sakura to put an end to them. Appointing Sakura as the ""Cardcaptor"" and granting her the Sealed Key, Kero tasks her with finding and recapturing all the Clow Cards. Alongside her best friend Tomoyo Daidouji, and with Kero's guidance, Sakura must learn to balance her new secret duty with the everyday troubles as she takes flight on her magical adventures as Cardcaptor Sakura. [Written by MAL Rewrite]","['Sequel (Movie) Cardcaptor Sakura Movie 2: Fuuin Sareta Card', 'Sequel (OVA) Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma', 'Adaptation (Manga) Cardcaptor Sakura Read Manga', '']",Cardcaptor Sakura,,['Shoujo'],"CCS, Cardcaptors, Card Captor Sakura",,,,,
3,頭文字〈イニシャル〉D,Initial D First Stage,['TV'],26,Finished Airing,"Apr 19, 1998 to Dec 6, 1998",['Spring 1998'],Tuesdays at 00:00 (JST),"['OB Planning', 'Fuji TV']","['Funimation', 'Tokyopop']","['Gallop', 'Studio Comet']",['Manga'],"['Action', 'Drama']",,25 min. per ep.,PG-13 - Teens 13 or older,8.35,#244,#606,"409,896","13,082",204653,"Unlike his friends, Takumi Fujiwara is not particularly interested in cars, with little to no knowledge about the world of car enthusiasts and street racers. The son of a tofu shop owner, he is tasked to deliver tofu every morning without fail, driving along the mountain of Akina. Thus, conversations regarding cars or driving in general would only remind Takumi of the tiring daily routine forced upon him. One night, the Akagi Red Suns, an infamous team of street racers, visit the town of Akina to challenge the local mountain pass. Led by their two aces, Ryousuke and Keisuke Takahashi, the Red Suns plan to conquer every racing course in Kanto, establishing themselves as the fastest crew in the region. However, much to their disbelief, one of their aces is overtaken by an old Toyota AE86 during a drive back home from Akina. After the incident, the Takahashi brothers are cautious of a mysterious driver geared with remarkable technique and experience in the local roads—the AE86 of Mount Akina. [Written by MAL Rewrite]","['Sequel (TV) Initial D Second Stage', 'Adaptation (Manga) Initial D Read Manga']",Initial D First Stage,['Racing'],['Seinen'],ID,Initial D: Supera el Límite de Velocidad Temporada 1,,,,
4,遊☆戯☆王,,['TV'],27,Finished Airing,"Apr 4, 1998 to Oct 10, 1998",['Spring 1998'],Saturdays at 18:00 (JST),['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Action', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.24,#3153,#1019,"256,883","1,314",146818,"Bullies often target someone frail and weak—someone exactly like Yuugi Mutou. His beautiful childhood friend, Anzu Mazaki, is always there to stand up for him, but he can't depend on her forever. Katsuya Jonouchi, who is almost always accompanied by his verbal sparring partner Hiroto Honda, doesn't seem like a bad person either, despite always bringing Yuugi trouble. But most of all, Yuugi wishes for a true friend who understands him and would never betray him. Yuugi treasures his Millennium Puzzle, an ancient Egyptian artifact that was brought into his grandfather's game shop. Believing that solving the puzzle will grant him his wish, he completes the puzzle, unleashing a new personality within him—the soul of the ""King of Games."" Dark, twisted, strong, and reliable, the new personality named Yami Yuugi is the exact opposite of Yuugi. Upon any injustice toward him, Yami Yuugi takes over Yuugi's body and forces the opponent into a ""Shadow Game."" The stakes are high as whoever loses shall have a taste of the darkness that resides within their own heart. [Written by MAL Rewrite]","['Sequel (Movie) Yu☆Gi☆Oh! (Movie)', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters', 'Adaptation (Manga) Yu☆Gi☆Oh!', '']",Yu☆Gi☆Oh!,['Strategy Game'],['Shounen'],"Game King, Yugioh, King of Games, Yu-Gi-Oh! First Series, Yu-Gi-Oh! Serie Zero, Yugi-Oh, Yuugiou, Yu-Gi-Oh Season 0",Yu-Gi-Oh!,Yu-Gi-Oh!,Yu-Gi-Oh!,,
5,ロードス島戦記　英雄騎士伝,Record of Lodoss War: Chronicles of the Heroic Knight,['TV'],27,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",['Spring 1998'],Wednesdays at 18:00 (JST),"['Kadokawa Shoten', 'Yomiko Advertising', 'Marubeni']","['Funimation', 'Central Park Media']",['AIC'],Novel,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",,25 min. per ep.,PG-13 - Teens 13 or older,7.11,#3858,#3909,"36,858",136,12337,"Five years after the death of the Emperor of Marmo in the War of Heroes, Parn is now the Free Knight of Lodoss, he and his old allies now famous through the land. However, the Emperor's right-hand man, Ashram, seeks the scepter of domination to re-unify Lodoss under his former leader's banner. Meanwhile, beyond his attempts at conquest lies a more sinister force beginning to set the stage for the resurrection of the goddess of death and destruction... (Source: ANN)","['Adaptation (Manga) Lodoss-tou Senki: Eiyuu Kishi Den', '']",Lodoss-tou Senki: Eiyuu Kishi Den,,,Record of Lodoss War TV,Las Crónicas de Lodoss Los Ovas,,Chroniques de la Guerre de Lodoss: La Légende du Chevalier Heroïque,,
6,ああっ女神さまっ 小っちゃいって事は便利だねっ,Oh! My Goddess: The Adventures of Mini-Goddess,['TV'],48,Finished Airing,"Apr 6, 1998 to Mar 29, 1999",['Spring 1998'],Mondays at 19:00 (JST),['Bandai Visual'],['Geneon Entertainment USA'],['OLM'],['4-koma manga'],"['Comedy', 'Supernatural']",,7 min. per ep.,G - All Ages,6.88,#4940,#4836,"23,145",27,10515,"A large collection consisting of the adventures of the Goddesses featured in the anime and manga series Ah My Goddess. Parodies of other works, and a large number of jokes pervade this series of shorts in which the Goddesses torture and hang out with their friend Gan the rat.","['Adaptation (Manga) Aa! Megami-sama!: Chicchai tte Koto wa Benri da ne', '']",Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,,,"Oh! My Goddess: Being Small is Convenient, Ah! My Goddess!: Chichaitte Koto wa Benri da ne",,,,,
7,Weiß kreuz　ヴァイス　クロイツ,Knight Hunters,['TV'],25,Finished Airing,"Apr 9, 1998 to Oct 1, 1998",['Spring 1998'],Unknown,"['animate Film', 'Polygram Japan']",['Media Blasters'],"['Plum', 'Magic Bus']",Original,"['Action', 'Drama']",,23 min. per ep.,PG-13 - Teens 13 or older,6.67,#6077,#5154,"19,886",147,7809,"Aya, Youji, Ken, and Omi are the four young men who comprise Weiss Kreuz (WK), an assassin group that eliminates certain menaces to society. Each member has his own trademark fighting style. Aya is adept at fighting with a katana, Youji has mastered the art of strangulation via strings, Ken is lethal with his metal claws, while Omi specializes in a wide array of projectiles. Under the command of a mysterious man known only as ""Persia"", the WK is dispatched to take care of drug rings, terrorist factions, and the like. But as things go along, they discover that most, if not all, the bad elements they have dealt with are somehow connected to the Takatori family. The Takatori family is rich, powerful, and influential. It seems if the problem is to be nipped in the bud, the WK would have to put an end to one of Japan's most prominent clans. (Source: AniDB)","['Sequel (OVA) Weiß Kreuz OVA', 'Sequel (TV) Weiß Kreuz Glühen', 'Adaptation (Manga) Weiß: An Assassin and White Shaman', '']",Weiß Kreuz,,,"Weiss Kreuz, White Cross",,,,,
8,ロスト・ユニバース,,['TV'],26,Finished Airing,"Apr 3, 1998 to Sep 25, 1998",['Spring 1998'],Fridays at 18:30 (JST),"['SoftX', 'Studio Tulip']","['ADV Films', 'Nozomi Entertainment']",['E&G Films'],['Light novel'],"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']",,22 min. per ep.,PG-13 - Teens 13 or older,6.99,#4428,#5326,"18,393",63,7323,"Millie Nocturne has one great goal in life: to be the best in the universe - at absolutely everything! But when she tries her hand at being the ""best detective,"" she ends up an unwilling partner with two people who will change her life forever: Kane Blueriver, the psi-blade-wielding master of the starship Swordbreaker, and Canal, the smart-mouthed holographic image of the ship's computer. Join this unlikely trio on their adventures as they hurtle through space facing off against intergalactic crime lords, rogue starships, and hijackers dressed as chickens... and that's just the tip of the asteroid! (Source: RightStuf)","['Adaptation (Light Novel) Lost Universe', 'Adaptation (Manga) Lost Universe']",Lost Universe,['Space'],,,,,,,
9,南海奇皇ネオランガ,,['TV'],48,Finished Airing,"Apr 6, 1998 to Sep 28, 1999",['Spring 1998'],Mondays at 19:00 (JST),"['Pony Canyon', 'Marubeni', 'Omnibus Promotion']",['ADV Films'],['Pierrot'],Original,"['Adventure', 'Horror']",,15 min. per ep.,PG-13 - Teens 13 or older,6.54,#6837,#5414,"17,523",43,3663,"An ancient God called Ranga awakens on an isolated island in the South Pacific where it has been slumbering forgotten by mankind. Three sisters living in Tokyo—Minami, Ushio, and Yuuhi Shimabara—discover they have inherited this Island Kingdom, along with the huge God. When Ranga shows up in Tokyo, it soon becomes a source of wonder and conflict for the three sisters that control Ranga, the people who want to destroy it, and ones who want to use it. (Source: ANN)",[],Neo Ranga,['Mecha'],,"Nankai Kio Neoranga, Strange World of the South Seas - Neoranga",,,,,
