,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Genre,German,Demographics
20,Recca no Honoo,烈火の炎,Flame of Recca,Flame of Recca,Flame of Recca,['TV'],42,Finished Airing,"Jul 19, 1997 to Jul 10, 1998",['Summer 1997'],Saturdays at 18:30 (JST),['Fuji TV'],"['VIZ Media', 'Discotek Media']",['Pierrot'],['Manga'],"['Action', 'Adventure']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.34,#2653,#2767,"69,958",270,29060,"Most people think that ninjas are a thing of the past, but Rekka Hanabishi wishes otherwise. Although he comes from a family that makes fireworks, he likes to think of himself as a self-styled, modern-day ninja. Sounds like fun, right? Maybe not. Rekka ends up in lots of fights because he once made the bold announcement that if someone can defeat him, he will become their servant. Then one day, Rekka meets Yanagi Sakoshita, a gentle girl with the ability to heal any wound or injury. Their meeting sets off a chain of events, which culminate into a shocking discovery. Rekka is the last surviving member of a legendary ninja clan that was wiped out centuries ago. Even more astonishing than being an actual ninja, he also wields the power to control fire. What does this mean for Rekka? Who are these strange people after him and Yanagi? Find out in Rekka no Honoo!","['Sequel (Special) Rekka no Honoo: Final Burning', 'Adaptation (Manga) Rekka no Honoo']",Rekka no Honoo,"['Martial Arts', 'Super Power']",,Flame of Recca,
21,,ドラえもん,Doraemon,Doraemon,,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Anthropomorphic'],,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,,"['Kids', 'Shounen']"
22,"Kyuuketsuki Miyu TV, Vampire Princess Miyu (1997)",吸血姫美夕,Vampire Princess Miyu,Vampire Princess Miyu,Vampire Princess Miyu,['TV'],26,Finished Airing,"Oct 6, 1997 to Mar 30, 1998",['Fall 1997'],Tuesdays at 01:15 (JST),"None found,","['Tokyopop', 'Maiden Japan']",['AIC'],['Manga'],"['Action', 'Drama', 'Horror', 'Supernatural']",,['Shoujo'],25 min. per ep.,R - 17+ (violence & profanity),7.13,#3765,#3606,"43,160",185,13041,"Evil Shinma (shape-shifting monsters and vampires) roam the Earth on a mission to unleash their darkness upon the Human race. Miyu Royal Princess from the dark is the Chosen One—the one being who must banish the Evil Shinma from the Earth. She has the power to offer Humans the gift of eternal happiness, yet is herself, trapped between two worlds; destined for perpetual solitude and internal conflict. Miyu's only companion is Larva, once an evil Shimna; now her devoted guardian. Together they share a dark journey through the weakness of the human heart and the tragic loss of innocence. Cut off from humanity by the knowledge of what she is, Miyu lives an endless quest as both the hunter and the hunted, on the edge of darkness. (Source: AniDB)","['Adaptation (Manga) Shin Vampire Miyu', '']",Kyuuketsuhime Miyu (TV),"['Mythology', 'Vampire']",,Vampire Princess Miyu,
23,"Les Enquetes de Kindaichi, Young Kindaichi's Casebook, Kindaichi Case Files",金田一少年の事件簿,The File of Young Kindaichi,,,['TV'],148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",['Spring 1997'],Mondays at 19:00 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Toei Animation'],['Manga'],,,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.94,#751,#4118,"33,304",265,8401,"Hajime Kindaichi's unorganized appearance and lax nature may give the impression of an average high school student, but a book should never be judged by its cover. Hajime is the grandson of the man who was once Japan's greatest detective, and he is also a remarkable sleuth himself. With the help of his best friend, Miyuki Nanase, and the peculiar inspector Isamu Kenmochi, Hajime travels to remote islands, ominous towns, abysmal seas, and other hostile environments. His life's mission is to uncover the truth behind some of the most cunning, grueling, and disturbing mysteries the world has ever faced. [Written by MAL Rewrite]","['Sequel (TV) Kindaichi Shounen no Jikenbo Returns', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: File Series', 'Adaptation (Light Novel) Kindaichi Shounen no Jikenbo', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Short File Series']",Kindaichi Shounen no Jikenbo,,['Mystery'],,
24,Cooking Master Boy,中華一番,,,,['TV'],52,Finished Airing,"Apr 27, 1997 to Sep 13, 1998",['Spring 1997'],Sundays at 19:30 (JST),"None found,","None found,",['Nippon Animation'],['Manga'],"['Action', 'Comedy', 'Drama', 'Gourmet']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.60,#1589,#5057,"20,930",123,8605,"The story takes place in 19th century China during the Qing Dynasty, where the Emperor was weakened and the country was close to chaos. It is also during a fictitious era called ""The Era of the Cooking Wars"". It was an era in which top chefs with different cooking styles tried their best to improve their skills and to become the best chef in China. It is a country where insulting a high-grade chef or fooling around with cooking could land a person in a jail, and impersonating a top-chef is as good as usurpation of authority. Chefs compete with each other in order to gain respect and even power, but also with the risks of losing everything. The country of China has four major regions: Beijing, Szechuan, Shanghai, and Guangdong. The beginning of the story takes place in Szechuan, Mao's birthplace. After the death of Mao's mother, Pai, who was called the 'Fairy of Cuisine', Mao becomes a Super Chef in order to take the title as Master Chef of his mother's restaurant. However, before he takes his mother's place as Master Chef, he continues to travel China in order to learn more of the many ways of cooking, in the hopes of becoming a legendary chef, just like his mother. During his journey, he meets great friends and fierce rivals who wish to challenge him in the field of cooking. (Source: Wikipedia)","['Sequel (TV) Shin Chuuka Ichiban!', 'Adaptation (Manga) Chuuka Ichiban!']",Chuuka Ichiban!,,,,
25,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,Kochikame,,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],,,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,"['Adult Cast', 'Detective', 'Gag Humor']",['Comedy'],,
26,"Dr. Slump 2, Doctor Slump",ドクタースランプ,,,,['TV'],74,Finished Airing,"Nov 26, 1997 to Sep 22, 1999",['Fall 1997'],Wednesdays at 19:00 (JST),['Fuji TV'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",['Gag Humor'],['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,6.98,#4466,#5215,"19,394",51,8054,"In Penguin Village, humans live alongside talking animals and objects. Senbei Norimaki is one of these humans, and he's an inventor with the lofty dream of creating the world's best robot girl. The product of his efforts is Arale, but depending on your definition of perfect, she's anything but! Not only is Arale severely nearsighted, but she also has no common sense! At least she has super-strength, though that often proves to be a setback as well. Although she means well, Arale only causes trouble for her neighbors in the whimsical Penguin Village!","['Adaptation (Manga) Dr. Slump', '']",Dr. Slump,,,,
27,,バトルアスリーテス大運動会,Battle Athletes Victory,,,['TV'],26,Finished Airing,"Oct 3, 1997 to Mar 27, 1998",['Fall 1997'],Fridays at 18:30 (JST),"['TV Tokyo', 'Genco', 'Pioneer LDC']","['Discotek Media', 'Geneon Entertainment USA']",['AIC'],Original,"['Adventure', 'Sci-Fi', 'Sports']",['School'],,22 min. per ep.,PG - Children,6.86,#5028,#6599,"10,587",35,3852,"Akari Kanzaki has just joined an all-girls academy in hopes of entering the University Satellite, an elite sports training facility. She wants to win the title of Cosmo Beauty - a title held years ago by her mother. It's not an easy task for her as fear, doubt and peer pressure get in her way, but friends, rivals and fans slowly encourage her to overcome her obstacles and become the best of the Battle Athletes. (Source: ANN)","['Adaptation (Manga) Battle Athletes Daiundoukai', '']",Battle Athletess Daiundoukai (TV),,,,
28,,サザエさん,Mrs. Sazae,,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,
29,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,El Ninja Boy Rantaró,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,,['Kids'],10 min.,G - All Ages,7.08,#4020,#7395,"8,016",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,['Comedy'],,
30,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,Chibi Maruko-chan,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['School'],['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7911,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,['Comedy'],,
31,"Hakugei: Legend of the Moby Dick, Legend of the White Whale",白鯨伝説,Hakugei: Legend of the Moby Dick,,,['TV'],26,Finished Airing,"Apr 9, 1997 to May 12, 1999",['Spring 1997'],Wednesdays at 18:30 (JST),"['Tezuka Productions', 'Sony Music Entertainment', 'Image Kei']",['ADV Films'],"['Studio Junio', 'Annapuru']",Original,"['Adventure', 'Sci-Fi']",['Space'],,23 min. per ep.,PG-13 - Teens 13 or older,6.58,#6615,#8536,"5,680",33,1490,A courageous young man tries to find the only person who can save his planet from the most terrifying beast in the universe—the great white whale Moby Dick—in this futuristic anime adventure set in 4699. But locating the outlaw Captain Ahab and his illusory crew of whale hunters and persuading them to put an end to the leviathan's long reign of terror won't be easy. Will Ahab take up the challenge one more time?,[],Hakugei Densetsu,,,,
32,,夢のクレヨン王国,Crayon Kingdom of Dreams,,,['TV'],70,Finished Airing,"Sep 7, 1997 to Jan 31, 1999",['Fall 1997'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Book,"['Adventure', 'Comedy', 'Fantasy']",,,24 min. per ep.,G - All Ages,7.23,#3228,#8734,"5,337",27,1656,"The civilians of the Crayon Kingdom have always view their Princess Silver as a twelve-year old girl with a beautiful smile. However, unknown to them, the princess has 12 bad habits. This has created much distress to the Chameleon Prime Minister and the Crayon ministers for it would be embarassing if this gets out. One day, a party was held to celebrate Princess Silver's twelvth birthday. The princess was trying to seek her Prince Charming that she forgot to take notice of her bad habits. One of the boys at the party was so angry that he changed Silver's parents, the King and Queen, into stone. In order to break the curse and save her parents, Silver decided to set on a journey to locate the boy. Together with her companions, Silver begins her adventure.","['Adaptation (Manga) Yume no Crayon Oukoku', '']",Yume no Crayon Oukoku,,,,
33,,マスターモスキートン'99,Master of Mosquiton '99,,,['TV'],26,Finished Airing,"Sep 30, 1997 to Mar 31, 1998",['Fall 1997'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Radix'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']",['Vampire'],,23 min. per ep.,PG-13 - Teens 13 or older,6.54,#6835,#8758,"5,292",5,1950,"Catholic schoolgirl Inaho discovers that a vampire, Mosquiton, is feeding off of her classmates. So she stakes him, but he is revived after her blood comes in contact with the his remains. Mosquiton becomes her slave and also a history teacher. Together, along with Yuuki and Honou, the unlikely duo have many escapades and adventures. One of Inaho's main goals is to find the mythical O-Part to make some money! (Source: AnimeNfo)","['Adaptation (Manga) Master Mosquiton', '']",Master Mosquiton '99,,,,
34,,ゲゲゲの鬼太郎,Spooky Kitaro,,,['TV'],114,Finished Airing,"Jan 7, 1996 to Mar 29, 1998",['Winter 1996'],Sundays at 09:00 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Adventure', 'Supernatural']",['Mythology'],,23 min. per ep.,G - All Ages,6.80,#5337,#8989,"4,933",10,1829,"Kitarou, a ghost, spends his afterlife helping humans in need of his skills. He thwarts the plans of evil spirits who live to torment humanity. This time, Kitarou's friend Megumi is in need of his help. Her father, a botanist, went to Baruru Island to study the plant life there, and was subsequently kidnapped by evil spirits. It's up to Kitarou to save him. (Source: Animenfo)","['Adaptation (Manga) GeGeGe no Kitarou', '']",Gegege no Kitarou (1996),,,,
35,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",,['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,
36,,あずきちゃん,,,,['TV'],117,Finished Airing,"Apr 4, 1995 to Mar 17, 1998",['Spring 1995'],Tuesdays at 18:00 (JST),"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,",['Madhouse'],['Manga'],"['Comedy', 'Romance']",,['Shoujo'],24 min. per ep.,G - All Ages,6.69,#5931,#10007,"3,546",12,1366,"Azusa Noyama is a 12-year-old girl student, taking 5th grade, but everyone knows her as Azuki-Chan, nickname that she dislikes. Yuunosuke Ogasawara, a new student, asks her about her nickname, saying that he likes it. Azuki falls in love with him, and they start going out together. They share a diary, and become boyfriend and girlfriend. (Source: ANN)","['Adaptation (Manga) Azuki-chan', '']",Azuki-chan,,,,
37,,フォーチュン·クエストL,Fortune Quest,,,['TV'],26,Finished Airing,"Oct 18, 1997 to May 23, 1998",['Fall 1997'],Sundays at 01:35 (JST),"None found,",['Media Blasters'],['E&G Films'],Novel,"['Adventure', 'Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.59,#6532,#10767,"2,826",1,925,"Our story is set in another world, parallel to ours. We meet Pastel, an orphan girl, 18 years old, who lives with a group of adventurers in a small house. Pastel works as a writer and also a ""mapper"", charting towns, the countryside, rivers and mountains with sketches and illustrations. She is highly respected by her friends as her intelligence and honesty are extraordinary. Living in the house with Pastel, we meet Clay, a young swordsman; Trapp, the son of a bandit chieftain; Kitton, literally a working dictionary and a descendant of the Family Kittons; Knoll, a big guy a with tender heart; Whitey, a baby dragon; and Rumy, an infant sorcerer of the tribe ""Elf."" Together this odd group become involved in many mysterious adventures from treasure hunting, to searching for a missing person, to challenging a riddle, to many more unexpected quests. (Source: Enoki Films USA)","['Prequel (OVA) Fortune Quest: Yonimo Shiawase na Boukensha-tachi', '']",Fortune Quest L,,,,
38,,超魔神英雄伝ワタル,Super Demon Hero Wataru,,,['TV'],51,Finished Airing,"Oct 2, 1997 to Sep 24, 1998",['Fall 1997'],Fridays at 17:00 (JST),"None found,","None found,",['Sunrise'],Original,"['Action', 'Adventure', 'Comedy']",['Mecha'],,24 min. per ep.,G - All Ages,7.00,#4402,#11222,"2,461",11,939,"After the battle with Doakuder at Soukaizan (the ""other"" world where the rainbow has disappeared because of the devils), a demon world Devil came to Genseikai (human world) and stole Wataru's conscience. Because of that, Wataru's heart of justice and his memories of being Kyuuseishu (world savior) vanished. After Shibaraku and Himiko brought him back to Shinbukai (the ""other"" world, where Soukaizan is located), Wataru regained his memories, however his conscience was still missing. To get it back, Kyuuseishu Wataru must return to fight the devils, rescuing all of Soukaizan from catastrophe! Chou Mashin Eiyuuden Wataru is the 3rd work of the Mashin Eiyuuden Wataru TV series by SUNRISE, and is considered as a ""remake"" series of the previous Wataru series. It started airing from October 2, 1997, and ended on September 24, 1998, every Thursday from 6:00 to 6:30pm, with a total of 51 episodes. (Source: AniDB)","['Prequel (TV) Mashin Eiyuuden Wataru', '']",Chou Mashin Eiyuuden Wataru,,,,
39,,がんばれゴエモン,Legend of the Mystical Ninja,,,['TV'],23,Finished Airing,"Oct 4, 1997 to Mar 28, 1998",['Fall 1997'],Saturdays at 17:00 (JST),"['Konami', 'TBS', 'Public & Basic']",['ADV Films'],['Trans Arts'],Game,,,['Shounen'],24 min. per ep.,G - All Ages,6.13,#9232,#11745,"2,102",4,833,"The evil overlord Makuamuge is planning to take over both the game and real worlds, and it is up to the ninja Goemon, his friends, girlfriend, and giant robot to defeat Makuamuge's henchmen and save both worlds.",[],Ganbare Goemon,,['Comedy'],,
40,,はれときどきぶた,Tokyo Pig,,,['TV'],61,Finished Airing,"Jul 3, 1997 to Sep 29, 1998",['Summer 1997'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Aniplex', 'TV Tokyo Music']","None found,",['Group TAC'],Picture book,,['Parody'],,23 min. per ep.,PG - Children,6.49,#7163,#12569,"1,616",7,411,Tokyo Pig is the wacky and crazy story of a young boy named Spencer and his magical pet pig named Sunny. This is the wierd adventures of these two wierdos. (Source: ANN),[],Hare Tokidoki Buta (TV),,['Comedy'],,
41,"Gakkyuuou Yamazaki, Gakkyu-oh Yamazaki, King of Classroom, Yamaza",学級王ヤマザキ,"King of Classroom, Yamazaki",,,['TV'],54,Finished Airing,"Oct 27, 1997 to Nov 27, 1998",['Fall 1997'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Shogakukan Productions']","None found,",['Magic Bus'],['Manga'],,,,24 min. per ep.,G - All Ages,6.12,#9249,#12828,"1,490",4,666,"Yamazaki comes to Earth from an other planet, hoping to conquer our planet. But he soon realizes, that in order to conquer the world, he has to conquer a his own classroom first. That's why he comes up with lots of different ideas to get everybody to follow him. Also, he spends most of his time making Tatsuya (the class rep.) miserable. Having his loyal and strange dog Watanabe always by his side, and the help from his grandparents, Yamazaki is always doing crazy things with his class, completely forgetting his primary goal, and only thinking in becoming ""The King of the Class"". (Source: ANN)",[],Gakkyuu Ou Yamazaki,,['Comedy'],,
42,,しましまとらのしまじろう,,,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Anthropomorphic'],['Kids'],23 min. per ep.,G - All Ages,5.92,#10326,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,,
43,Deep - Sea Legend Meremanoid,深海伝説MEREMANOID,,,,['TV'],24,Finished Airing,"Oct 9, 1997 to Apr 2, 1998",['Fall 1997'],Thursdays at 01:10 (JST),"['TV Asahi', 'Kitty Films']","None found,",['Triangle Staff'],Game,"['Adventure', 'Fantasy']",,,25 min. per ep.,PG-13 - Teens 13 or older,5.62,#11716,#13284,"1,309",0,149,"The story takes place in the underwater world of Mer. The army of the kingdom of Bars, until recently peaceful, begins a terrible war against its neighbors: the principality of Moslem and the ancient and glorious kingdom of Agadia. No one can explain how the small kingdom of Bars has reached such a power. In a short time, it manages to challenge much larger and more powerful realms. Meanwhile, two young 'spiritual knights' (Jo and Oz) make a living by killing marine monsters. The population, however, is not very tolerant towards the duo. People fear their powers, seeing them as a potential threat. The pair will unwillingly find themselves fighting the army of Bars, and the forces of darkness that have taken its head...",[],Shinkai Densetsu Meremanoid,,,,
44,,親子クラブ,,,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,,5 min. per ep.,G - All Ages,5.47,#12201,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,
45,Hikarian: Great Railroad Protector,超特急ヒカリアン,Super Express Hikarian,,,['TV'],156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",['Spring 1997'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,"['Action', 'Adventure']",,['Kids'],7 min. per ep.,G - All Ages,6.15,#9077,#14329,987,1,366,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion. (Source: Wikipedia)","['Sequel (TV) Denkou Chou Tokkyuu Hikarian', '']",Chou Tokkyuu Hikarian,,,,
46,,バンブー・ベアーズ,,,,['TV'],52,Finished Airing,"Apr 4, 1997 to Mar 27, 1998",['Spring 1997'],Unknown,"None found,","None found,",['Telescreen'],Unknown,,,,25 min. per ep.,None,5.86,#10638,#14441,955,2,297,"Bamboo-Lee, Dah-Lee, and Slo-Lee are three bears with a goal: to save the world before more species become extinct. But can the bears stand up to the spineless villains behind Ratco Corporation? With Ai-Ai the pink dragon on their side, they may be able to rescue the environment before it's too late.",[],Bamboo Bears,,['Comedy'],,
47,"Cojicoji, Koji-koji, Sakura Momoko Theatre: Kojikoji",さくらももこ劇場 コジコジ,Coji-Coji,,,['TV'],100,Finished Airing,"Oct 4, 1997 to Sep 25, 1999",['Fall 1997'],Saturdays at 17:30 (JST),['Aniplex'],"None found,",['Nippon Animation'],['Manga'],"['Comedy', 'Fantasy']",,,25 min. per ep.,G - All Ages,6.28,#8387,#14568,926,1,191,"The only thing that concerns Coji Coji is enjoying life and the wonders of nature. Coji Coji’s friends, on the other hand, are a varied bunch of colorful characters whose many idiosyncrasies have a tendency to create turmoil among one another. Coji Coji’s carefree ways and tendency to shirk responsibility are sometimes a source of frustration, but his childlike wisdom has a way of resolving all of their differences. (Source: AniDB)",[],Sakura Momoko Gekijou: Coji-Coji,,,,
48,Tamagotchi,アニメ　ＴＶで発見！！　たまごっち,Animated Tamagotchi Found on Television!,,,['TV'],27,Finished Airing,"Jul 7, 1997 to Mar 21, 1998",['Summer 1997'],Unknown,"['Fuji TV', 'Bandai']",['NYAV Post'],"None found,",Other,"['Comedy', 'Fantasy', 'Slice of Life']",,['Kids'],20 min. per ep.,G - All Ages,6.13,#9220,#14907,834,3,192,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Anime TV de Hakken! Tamagotchi,,,,
49,Manmaru the Ninja Penguin,忍ペンまん丸,,,,['TV'],30,Finished Airing,"Jul 5, 1997 to Mar 28, 1998",['Summer 1997'],Saturdays at 18:00 (JST),"None found,","None found,",['Shin-Ei Animation'],['Manga'],,,['Shounen'],24 min. per ep.,G - All Ages,[],#20696,#15436,716,3,,"Manmaru goes to ninja school at Nenga, where foxes and raccoons study the art of assassination under a bear ninja master. He is soon thrown in to local rivalry between the Nenga school, the Koga (monkeys), and the Iga (dogs), as well as facing temptations from the Dobe, a group of dropouts from the Nenga. (Source: The Anime Encyclopedia)","['Adaptation (Manga) Ninpen Manmaru', '']",Ninpen Manmaru,"['Anthropomorphic', 'Samurai']",['Comedy'],,
50,,날아라 슈퍼보드,The Flying Superboard,,,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,,22 min. per ep.,PG - Children,[],#20605,#16833,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,
51,,スプーンひめのスイングキッチン,,,,['TV'],34,Finished Airing,"Apr 7, 1997 to Apr 10, 1999",['Spring 1997'],Unknown,['NHK'],"None found,","None found,",Original,,,['Kids'],1 min. per ep.,PG - Children,[],#14600,#19558,311,0,,An NHK toddler's anime following a Spoon Princess and other kitchen themed characters.,[],Spoon-hime no Swing Kitchen,,['Adventure'],,
52,,ストレイシープの大冒険,The Adventure of Stray Sheep,,,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,,['Kids'],5 min. per ep.,G - All Ages,[],#14613,#22482,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,['Adventure'],,
