,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Genre,German,Demographics
10,"Haruba-Ke no Sanninme, Haruniwa Ie no Sanninme, The Third Child of Haruba Family, The Third Person of the Haruba House",春庭家の3人目,,,,['TV'],45,Finished Airing,"Jan 23, 1998 to Mar 26, 1998",['Winter 1998'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Slice of Life', 'Supernatural']",,,3 min. per ep.,G - All Ages,[],#18463,#18224,406,0,,"The Haruba family is a wonderful family of three kids. The protagonist is the youngest son of the three siblings, who is in actuality, a spirit. The story unfolds in a nostalgic background of Japan and relates the life of this incredible family. (Source: ANN)",[],Haruniwa Ie no 3 Nin-me,,,,
11,"The Voyages of Dr. Dolittle, The Voyages of Dr Dolittle",ドリトル先生物語,The Voyages of Doctor Dolittle,,,['TV'],13,Finished Airing,"Dec 24, 1997 to Apr 1, 1998",['Winter 1998'],Unknown,"None found,","None found,","None found,",Unknown,,,['Kids'],22 min. per ep.,G - All Ages,[],#17701,#18312,400,0,,An anime adaptation of the children's book series Doctor Dolittle.,[],Dolittle-sensei Monogatari,,['Adventure'],,
12,Heli-Octopus Puu-Chan,ヘリタコぷーちゃん,,,,['TV'],42,Finished Airing,"Feb 14, 1998 to Feb 6, 1999",['Winter 1998'],Saturdays at 18:30 (JST),"None found,","None found,",['Toei Animation'],Unknown,,,['Kids'],25 min. per ep.,PG - Children,[],#18508,#19229,333,0,,Based on the manga by Sasaki Takemaru.,[],Heli-Tako Puu-chan,,['Comedy'],,
13,"Look This Way, Miiko",こっちむいてみい子,,,,['TV'],42,Finished Airing,"Feb 14, 1998 to Feb 6, 1999",['Winter 1998'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],['Manga'],"['Comedy', 'Slice of Life']",,['Shoujo'],8 min. per ep.,G - All Ages,[],#19507,#20216,275,1,,"The Yamada family consists of Miiko, her brother Mamoru and her parents. Both of her parents have work, so they are usually busy during the day and are outside of the house most of the time. The troubles in Yamada family are usually caused by Miiko's lazy character and her clumsiness. (Source: Official Site)","['Adaptation (Manga) Miiko desu!', 'Adaptation (Manga) Kocchi Muite! Miiko']",Kocchi Muite Miiko,,,,
14,"Berserk: The Chronicles of Wind Blades, Sword-Wind Chronicle Berserk",剣風伝奇ベルセルク,Berserk,Berserk,Berserk,['TV'],25,Finished Airing,"Oct 8, 1997 to Apr 1, 1998",['Fall 1997'],Wednesdays at 01:45 (JST),"['VAP', 'Hakusensha', 'Nippon Television Network']",['Discotek Media'],['OLM'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",,['Seinen'],23 min. per ep.,R+ - Mild Nudity,8.60,#97,#304,"708,550","29,526",380806,"Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Falcon. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow. Incapacitated and taken into the Band of the Falcon's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith. In three years' time, Guts has become one of the Band of the Falcon's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on large groups of enemies all on his own. With Guts' immense strength and Griffith's leadership, the Band of the Falcon dominate every battle they partake in. But something menacing lurks in the shadows, threatening to change Guts' life forever. [Written by MAL Rewrite]","['Sequel (TV) Berserk', 'Adaptation (Manga) Berserk']",Kenpuu Denki Berserk,"['Gore', 'Military', 'Psychological']",,Berserk,
15,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",ポケットモンスター,Pokémon,Pokémon,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,563",411340,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,,,Pokémon,
16,"Samurai X, Wandering Kenshin: Romantic Tales from the Meiji Era",るろうに剣心 -明治剣客浪漫譚-,Rurouni Kenshin,"Kenshin, el Guerrero Samurai",Kenshin le Vagabond,['TV'],94,Finished Airing,"Jan 10, 1996 to Sep 8, 1998",['Winter 1996'],Wednesdays at 19:30 (JST),"['Aniplex', 'SME Visual Works', 'Fuji TV']","['Media Blasters', 'Aniplex of America']","['Gallop', 'Studio Deen']",['Manga'],"['Action', 'Comedy', 'Romance']",,['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,8.28,#306,#466,"510,267","10,248",242628,"In the final years of the Bakumatsu era lived a legendary assassin known as Hitokiri Battousai. Feared as a merciless killer, he was unmatched throughout the country, but mysteriously disappeared at the peak of the Japanese Revolution. It has been ten peaceful years since then, but the very mention of Battousai still strikes terror into the hearts of war veterans. Unbeknownst to them, Battousai has abandoned his bloodstained lifestyle in an effort to repent for his sins, now living as Kenshin Himura, a wandering swordsman with a cheerful attitude and a strong will. Vowing never to kill again, Kenshin dedicates himself to protecting the weak. One day, he stumbles across Kaoru Kamiya at her kendo dojo, which is being threatened by an impostor claiming to be Battousai. After receiving help from Kenshin, Kaoru allows him to stay at the dojo, and so the former assassin temporarily ceases his travels. Rurouni Kenshin: Meiji Kenkaku Romantan tells the story of Kenshin as he strives to save those in need of saving. However, as enemies from both past and present begin to emerge, will the reformed killer be able to uphold his new ideals? [Written by MAL Rewrite]","['Prequel (OVA) Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen', 'Sequel (OVA) Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen', 'Adaptation (Manga) Rurouni Kenshin: Meiji Kenkaku Romantan', '']",Rurouni Kenshin: Meiji Kenkaku Romantan,"['Historical', 'Samurai']",,Rurouni Kenshin,
17,Detective Conan,名探偵コナン,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,904","15,328",164371,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,,Case Closed,
18,,クレヨンしんちゃん,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,104","1,330",42205,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,Shin Chan,
19,Child's Toy,こどものおもちゃ,Kodocha,,,['TV'],102,Finished Airing,"Apr 5, 1996 to Mar 27, 1998",['Spring 1996'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Pony Canyon']","['Funimation', 'Discotek Media']",['Gallop'],['Manga'],"['Comedy', 'Drama', 'Romance']",,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,8.05,#592,#2716,"72,735","1,415",28584,"Sixth grader Sana Kurata has a perfect life. Her mother is a (fairly) successful author, she has a young man employed to keep her happy and safe, and best of all, she is the star of the children's television show Kodomo no Omocha. There's just one thing bothering her, and that's Akito Hayama. Akito is a classmate of Sana's, and ever since he's started acting out in class, the rest of the boys have followed his example. Every day, the girls and the teacher wage a battle to keep the class under control and to get some actual learning done. That rotten Akito… Sana won't stand for this! The hyperactive Sana decides to dig deeper and find out what makes Akito tick, so class can go back to normal and the teacher can stop spending every day crying instead of teaching. But the more she learns about him, the more she realizes that there might be more to Akito than meets the eye.","['Adaptation (Manga) Kodomo no Omocha', '']",Kodomo no Omocha (TV),"['Love Polygon', 'Showbiz']",,,
