,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,Genres,Demographics,French,Theme,German
0,"GTO, GTO - The Animation",グレート・ティーチャー・オニヅカ,Great Teacher Onizuka,['TV'],43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",['Summer 1999'],Wednesdays at 19:30 (JST),"['Aniplex', 'Fuji TV']","['Discotek Media', 'Tokyopop']",['Pierrot'],['Manga'],['Comedy'],"['Delinquents', 'School', 'Workplace']",['Shounen'],25 min. per ep.,R - 17+ (violence & profanity),8.68,#69,#221,"867,349","27,384",425957,"Twenty-two-year-old Eikichi Onizuka—ex-biker gang leader, conqueror of Shonan, and virgin—has a dream: to become the greatest high school teacher in all of Japan. This isn't because of a passion for teaching, but because he wants a loving teenage wife when he's old and gray. Still, for a perverted, greedy, and lazy delinquent, there is more to Onizuka than meets the eye. So when he lands a job as the homeroom teacher of the Class 3-4 at the prestigious Holy Forest Academy—despite suplexing the Vice Principal—all of his talents are put to the test, as this class is particularly infamous. Due to their utter contempt for all teachers, the class' students use psychological warfare to mentally break any new homeroom teacher they get, forcing them to quit and leave school. However, Onizuka isn't your average teacher, and he's ready for any challenge in his way. Bullying, suicide, and sexual harassment are just a few of the issues his students face daily. By tackling the roots of their problems, Onizuka supports them with his unpredictable and unconventional methods—even if it means jumping off a building to save a suicidal child. Thanks to his eccentric charm and fun-loving nature, Class 3-4 slowly learns just how enjoyable school can be when you're the pupils of the Great Teacher Onizuka. [Written by MAL Rewrite]","['Prequel (OVA) Shonan Junai Gumi!', 'Adaptation (Manga) GTO Read Manga']",Great Teacher Onizuka,,,,,,
1,,メダロット,Medabots,['TV'],52,Finished Airing,"Jul 2, 1999 to Jun 30, 2000",['Summer 1999'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Nelvana']","['ADV Films', 'Discotek Media', 'Shout! Factory']",['Bee Train'],Game,,,,24 min. per ep.,PG - Children,7.09,#3931,#2979,"61,664",306,34089,"Medabots—powerful robots granted artificial intelligence through special ""medals""—serve at the whims of their owner. They are more commonly used in ""Robbatling,"" a popular combat sport where two medabots face off against one another. In its professional form, Medafighters use their Medabots to qualify for the World Tournament and fight amongst the elite to gain the title of champion. Elementary schooler Ikki Tenryou has just gained his first Medabot: Metabee, an outdated model with no medal. Fortunately, however, Ikki manages to find a medal in the nearby river; but when Ikki places it into Metabee's head, the latter starts to exhibit strange behaviour. Short-tempered and rebellious, he refuses to obey Ikki's orders. However, to climb the ranks to the World Tournament, Ikki and Metabee must first learn to work together, no matter how difficult the prospect may seem… [Written by MAL Rewrite]","['Sequel (TV) Medarot Damashii', 'Adaptation (Manga) Medarot']",Medarot,Medabots,"['Adventure', 'Comedy', 'Sci-Fi']","['Kids', 'Shounen']",,,
2,"Ebichu Minds the House, Anime Ai no Awa Awa Hour, Anime Lovers' Awa Awa Hour, Anime Lovers' Bubble Bubble Hour, Modern Love's Silliness",おるちゅばんエビちゅ,,['TV'],24,Finished Airing,"Aug 1, 1999 to Oct 1, 1999",['Summer 1999'],Unknown,['Pioneer LDC'],"None found,","['Gainax', 'Group TAC']",['Manga'],,"['Anthropomorphic', 'Gag Humor', 'Pets']",['Seinen'],8 min. per ep.,R+ - Mild Nudity,7.36,#2523,#3138,"55,448",375,20770,"Ebichu the hamster seems like the perfect house pet: she cleans, shops, cooks, does laundry, and anything to please her master, known only as ""Office Lady"" (OL). Unfortunately, OL and her unfaithful boyfriend, combined with Ebichu's uncontrollable exuberance and love for ice cream, often earn her severe and bloody punishment. However, Ebichu doesn't seem to mind the abuse if she achieves her goal of making her beloved master a little bit happier. (Source: IMDB)","['Adaptation (Manga) Oruchuban Ebichu', '']",Oruchuban Ebichu,,"['Comedy', 'Ecchi']",,,,
3,Kachou Ouji: Hard Rock Save the Space,課長王子,Legend of Black Heaven,['TV'],13,Finished Airing,"Jul 8, 1999 to Oct 7, 1999",['Summer 1999'],Thursdays at 19:00 (JST),['Pioneer LDC'],"['Discotek Media', 'Geneon Entertainment USA']","['AIC', 'APPP']",Original,,"['Music', 'Space']",,25 min. per ep.,R+ - Mild Nudity,6.95,#4596,#4128,"33,160",123,8914,"Oji Tanaka has a wife, a child and a mundane job as a salary man in Tokyo's modern society. But life wasn't dull for him to begin with; 15 years ago, he was known as ""Gabriel"", leader of a short-lived heavy metal band called Black Heaven. Oji's life gets a sudden change in direction when he is invited by a mysterious blonde woman named Layla to pick up his Gibson Flying V and once again display his ""legendary"" guitar skills, not knowing that his music generates power for a massive weapon in an intergalactic war. (Source: ANN)","['Adaptation (Manga) Kachou Ouji Gaiden', '']",Kachou Ouji,,"['Adventure', 'Comedy', 'Sci-Fi']",,Kacho Ohji,,
4,,カラフル,Colorful,['TV'],16,Finished Airing,"Sep 6, 1999 to Sep 30, 1999",['Summer 1999'],Not scheduled once per week,"['TBS', 'Studio Wombat']","['ADV Films', 'Sentai Filmworks']",['Triangle Staff'],['Manga'],,,['Seinen'],6 min. per ep.,R+ - Mild Nudity,5.90,#10439,#4393,"28,908",68,10142,"Two horny college slackers and a beautiful professor. A frustrated TV reporter. A sexy track star and her tempted coach. And a high school girlzilla that’s the size of the Empire State building. Colorful! contains over 50 vignettes of men, women, and the pursuit of… well, you’ll just have to see. From hotties on subways and perverted cabbies, to panty-obsessed video geeks, sexy mall babes, and the furry phenomenon, Colorful! is a strange, deranged, racy and hilarious dose of animated Viagra! (And if live action is more your style, check out the behind-the-scenes documentary that shows the twisted, demented cast and crew that bring Colorful! to vivid life!) (Source: ADV Films)","['Adaptation (Manga) Colorful', '']",Colorful,,"['Comedy', 'Ecchi']",,,['Gag Humor'],
5,"Romances of Sealed Gods, Soul Hunter: Battle of the Immortals",仙界伝 封神演義,Soul Hunter,['TV'],26,Finished Airing,"Jul 3, 1999 to Dec 25, 1999",['Summer 1999'],Saturdays at 07:00 (JST),['TV Tokyo Music'],"['ADV Films', 'Discotek Media']",['Studio Deen'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.06,#4102,#5336,"18,239",74,7237,"Thousands of years ago, it was a time of witchcraft and dark magic. An evil sorceress has bewitched the emperor of the mighty dynasty and he has become a mindless puppet. The country is in shambles, and evil spirits lurk everywhere. The human world is on the verge of utter destruction. A bold mission is planned by the Confederation of the Immortal Masters. They send a young master wizard to hunt down the villains and evil warlocks in the devastated lands. (Source: ANN)","['Adaptation (Manga) Houshin Engi', '']",Senkaiden Houshin Engi,Soul Hunter - Senkaiden Houshin Engi -,"['Action', 'Adventure', 'Fantasy']",,Soul Hunter,['Mythology'],Soul Hunter: Im Auftrag der Unsterblichen
6,,魔法使いTai!,Magic User's Club,['TV'],13,Finished Airing,"Jul 7, 1999 to Oct 6, 1999",['Summer 1999'],Wednesdays at 19:00 (JST),['Bandai Visual'],"['Nozomi Entertainment', 'Media Blasters', 'NYAV Post']","['Madhouse', 'Triangle Staff']",Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.73,#5697,#6113,"12,740",32,4097,"The Magic User's Club is a group of five well-meaning misfits who do more than card tricks—they can use actual magic. And with that magic, they managed to defeat a giant ship from outer space! But their close encounter left an enormous cherry blossom tree right in the middle of the city. It's so big that it blocks out the sun! Takeo Takakura, the club's noble (but perverted) president, calls a special Sunday meeting to take care of the tree. It seems simple enough, but when magic is involved, nothing ever goes according to plan… What's more, there's a ghostly figure hidden among the branches, watching their every move. Who is this silent specter, and what does he want? (Source: Nozomi Entertainment, edited)","['Prequel (OVA) Mahoutsukai Tai!', 'Adaptation (Manga) Mahou Tsukai Tai!']",Mahoutsukai Tai! (TV),Escuela De Brujas,"['Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",,Magic User's Club,['School'],Magic User's Clus
7,Cat Soup Theater,ねこぢる劇場 ぢるぢるORIGINAL,,['TV'],27,Finished Airing,"Jul 9, 1999 to Oct 1, 1999",['Summer 1999'],Unknown,['Japan Home Video'],"None found,",['Kent House'],['Manga'],,,,1 min. per ep.,R - 17+ (violence & profanity),6.45,#7399,#6232,"12,146",92,5387,"Based on the comics by the late Nekojiru. Contains 23 animated shorts aired TV Asahi Network's show ""Bokusho Mondai Boss Chara Ou."" and 4 unbroadcast episodes. (Source: AniDB)","['Adaptation (Manga) Nekojiru Udon', '']",Nekojiru Gekijou Jirujiru Original,,"['Action', 'Comedy']",,,['Anthropomorphic'],
8,"Alexander's Campaign, Alexander Record of War",アレクサンダー戦記,Reign: The Conqueror,['TV'],13,Finished Airing,"Sep 15, 1999 to Sep 18, 1999",['Summer 1999'],Not scheduled once per week,"['Media Factory', 'TBS', 'Kadokawa Haruki Corporation', 'Samsung', 'Namisokan']",['Tokyopop'],['Madhouse'],Novel,,,,23 min. per ep.,R+ - Mild Nudity,5.77,#11078,#6944,"9,421",34,3781,"In 356 BC, Alexander the Great arrives in Greece with the ominous destiny that he will become the ""destroyer of the world."" Inheriting the crown, he becomes king of the Macedonians and starts down a road of conquest with terrific speed. Alexander ultimately confronts his fated nemesis, Darius the Third, in a war with Persia which changes Alexander into the devil he was fated to become, assuring the destruction of all in his path, and possibly himself. (Source: TBS Global Business)",[],Alexander Senki,,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']",,Alexander,['Historical'],
9,A Girl in a Lower Grade,下級生,,['TV'],13,Finished Airing,"Jul 2, 1999 to Sep 24, 1999",['Summer 1999'],Fridays at 00:35 (JST),['Pink Pineapple'],"None found,",['PP Project'],Visual novel,,"['Harem', 'School']",,26 min. per ep.,PG-13 - Teens 13 or older,6.26,#8506,#7580,"7,529",9,1657,"When Tsuyoshi rushed to school as usual, he found a girl who tried to help a kitten which couldn't get down from a tree. It was Minamizato Ai who had loved Tsuyoshi secretly for a long time. (Source: AniDB)",[],Kakyuusei (TV),,"['Drama', 'Romance']",,,,
