,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographics
0,"Natsume Yujincho, Natsume Yujin-cho",夏目友人帳,Natsume's Book of Friends,Natsume Yujincho,Natsume Yujincho,Natsume Yujincho,['TV'],13,Finished Airing,"Jul 8, 2008 to Sep 30, 2008",['Summer 2008'],Tuesdays at 01:00 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha']","['NIS America, Inc.', 'Crunchyroll']","[""Brain's Base""]",['Manga'],"['Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,8.30,#288,#422,"564,695","16,361",193179,"Due to an unusual ability to see strange creatures called youkai, Takashi Natsume has never fit in. Passed around from one foster home to another, he was left isolated and lonely. Over time, he has accepted that no one would ever believe him and has closed himself off to his current caretakers and classmates. When Natsume accidentally breaks an intangible barrier, he frees Madara—a mighty spirit in the form of a lucky cat. Madara notices that Natsume bears a remarkable resemblance to his late grandmother Reiko Natsume, an outcast girl who became known across the youkai world for creating the Book of Friends. It is now in Natsume's possession, along with its power to call upon the written names of the youkai Reiko had defeated. With no interest in its powers, Natsume decides to keep the book for the sake of his grandmother's memories and to protect it from scheming youkai. Therefore, he makes a deal with Madara: he will hand him the book once his time is up, and in turn, Madara will act as Natsume's unofficial bodyguard, nicknamed Nyanko-sensei. With his newfound goal of freeing those Reiko had sealed, Natsume's relationship with both youkai and humans slowly begins to improve. [Written by MAL Rewrite]","['Sequel (TV) Zoku Natsume Yuujinchou', 'Adaptation (Manga) Natsume Yuujinchou']",Natsume Yuujinchou,,,
1,"Zero no Tsukaima: Princess no Rondo, Rondo of the Princesses, Zero's Familiar 3rd Series, Zero no Tsukaima S3",ゼロの使い魔 ～三美姫（プリンセッセ）の輪舞（ロンド）～,The Familiar of Zero: Rondo of Princesses,,,,['TV'],12,Finished Airing,"Jul 7, 2008 to Sep 22, 2008",['Summer 2008'],Mondays at 00:30 (JST),"None found,",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,7.31,#2776,#527,"457,508",797,276822,"Following his brave sacrifice in the war against Albion, Saito Hiraga is knighted and treated as an aristocrat, something that proves difficult for Louise Françoise Le Blanc de La Vallière. With their relationship no longer defined as the mighty Void mage and clueless familiar, she wonders what exactly this means for them. While venturing to a castle, Louise is ambushed by a powerful mage named Sheffield. Battling alone, the young mage nearly faces defeat until Saito makes his appearance. The mystical and unknown nature of Void magic seems to be at work in the battle, and Louise begins to believe in the possibility of another Void user. Moreover, she realizes that Saito's magical rune is fading, and so a new adventure begins as they search for the elf who revived Saito in the past. The relationship between former master and servant faces a new challenge as they work to restore the runes and redefine the bond which holds them together. [Written by MAL Rewrite]","['Prequel (TV) Zero no Tsukaima: Futatsuki no Kishi', 'Sequel (TV) Zero no Tsukaima F', 'Adaptation (Manga) Zero no Tsukaima', '']",Zero no Tsukaima: Princesses no Rondo,,,
2,Wagtail,セキレイ,Sekirei,,,,['TV'],12,Finished Airing,"Jul 2, 2008 to Sep 17, 2008",['Summer 2008'],Wednesdays at 23:30 (JST),"['Aniplex', 'Movic']",['Funimation'],['Seven Arcs'],['Manga'],"['Action', 'Comedy', 'Romance', 'Ecchi']","['Harem', 'Super Power']",['Seinen'],23 min. per ep.,R+ - Mild Nudity,7.02,#4310,#580,"421,876","1,760",209437,"Struggling yet brilliant 19-year-old Minato Sahashi has failed his college entrance exams for the second time, resulting in him being regarded as worthless by those around him. However, the course of his seemingly bleak future is altered dramatically when a beautiful, supernatural woman falls from the sky and into his life. That woman, Musubi, is a unique being known as a ""Sekirei,"" a humanoid extraterrestrial with extraordinary abilities. These aliens are known for kissing humans carrying the Ashikabi gene in order to awaken additional latent powers deep within. Recognizing the potential within the seemingly insignificant youth, Musubi kisses the bewildered Minato, initiating a bond between the two of them. This drags him into the high-stakes world of the Sekirei, where he and his new partner must compete against others in a battle for survival called the ""Sekirei Plan."" However, unbeknownst to the contestants, there is far more at risk that what the competition initially entailed. [Written by MAL Rewrite]","['Sequel (TV) Sekirei: Pure Engagement', 'Adaptation (Manga) Sekirei']",Sekirei,,,
3,,ストライクウィッチーズ,Strike Witches,,,,['TV'],12,Finished Airing,"Jul 4, 2008 to Sep 19, 2008",['Summer 2008'],Fridays at 01:20 (JST),"['GDH', 'Kadokawa Shoten', 'KlockWorx', 'NTT Docomo']",['Funimation'],['Gonzo'],Original,"['Action', 'Sci-Fi', 'Ecchi']",,,24 min. per ep.,R+ - Mild Nudity,6.93,#4699,#1428,"176,441","1,091",70590,"In the year 1939, humanity was on the verge of destruction. Equipped with weapons of devastating power, a mysterious alien race, known as the Neuroi, began an invasion of the Earth, ravaging the planet, obliterating countries, and vanquishing human armies. To counter this seemingly unstoppable force, the world's powers united. A new device was produced, called the Striker Unit, capable of facing Neuroi technology. Girls equipped with the Striker Unit became known as the Witches, forming humanity's last line of defense. They began their fight against the Neuroi, utilizing their now-enhanced magical abilities, flaunting destructive weapons no human could manage. Fast forward to 1944—Yoshika Miyafuji is a young teenage girl who eventually decides to join the 501st Joint Fighter Wing, known as the ""Strike Witches."" With no formal training however, can Miyafuji learn to cooperate with her fellow Strike Witches? And if so, can she save humanity from the Neuroi onslaught? [Written by MAL Rewrite]","['Sequel (TV) Brave Witches', 'Adaptation (Manga) Strike Witches: Tenkuu no Otome-tachi', 'Adaptation (Light Novel) Strike Witches: Otome no Maki', '']",Strike Witches,['Military'],,
4,Nogizaka Haruka no Himitsu,乃木坂春香の秘密,Haruka Nogizaka's Secret,,,,['TV'],12,Finished Airing,"Jul 11, 2008 to Sep 26, 2008",['Summer 2008'],Fridays at 02:00 (JST),"['ASCII Media Works', 'Studio Mausu', 'Geneon Entertainment']",['Discotek Media'],['Diomedéa'],['Light novel'],"['Comedy', 'Romance']","['Otaku Culture', 'School']",,25 min. per ep.,PG-13 - Teens 13 or older,7.19,#3438,#1755,"137,261",452,68992,"Haruka Nogizaka is the most popular student in the prestigious Hakujo Academy, possessing unparalleled beauty, talent, and influence. Unbeknownst to her fellow students, however, she keeps an embarrassing secret of being an otaku—something that can potentially destroy her elegant reputation. Unfortunately for Haruka, an encounter with the timid Yuuto Ayase in the school library spells the end of her well-kept secret. However, the two reach a mutual agreement with Yuuto promising to keep Haruka's secret, sparking an unexpected friendship between them. Nonetheless, with Haruka's status as the school celebrity and her friendly relationship with Yuuto, both of them are bound to be the subject of gossip everywhere they go! [Written by MAL Rewrite]","['Sequel (TV) Nogizaka Haruka no Himitsu Purezza ♪', 'Adaptation (Manga) Nogizaka Haruka no Himitsu', 'Adaptation (Light Novel) Nogizaka Haruka no Himitsu', '']",Nogizaka Haruka no Himitsu,,,
5,"Tetsuwan Birdy (2008), Birdy the Mighty TV",鉄腕バーディー (2008),Birdy the Mighty: Decode,,,,['TV'],13,Finished Airing,"Jul 5, 2008 to Sep 27, 2008",['Summer 2008'],Saturdays at 01:00 (JST),"['Aniplex', 'Shogakukan']",['Funimation'],['A-1 Pictures'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.41,#2334,#2218,"100,329",404,36008,"While pursuing an alien fugitive, Birdy Cephon Altera—a bombastic police officer from the Space Federation—finds herself on Earth. Her target, Geega, has disguised himself as a human and assimilated into the fashion industry, so Birdy follows suit and joins a modeling agency, taking on the identity ""Shion Arita."" Her position as a rising model has her posing for photo shoots by day and chasing intergalactic criminals by night. Meanwhile, Tsutomu Senkawa, an average high school student, explores an abandoned building with his friend, and coincidentally, Birdy has tracked down Geega to the same building. Senkawa briefly witnesses the battle before being seized as a hostage by Geega. However, Birdy, oblivious, attacks Geega and accidentally kills Senkawa. Distraught, she quickly decides to save him by integrating his consciousness into her body. Now, Birdy and Senkawa must not only cohabitate the same body, but also balance Senkawa's high school life, Shion Arita's modeling career, and Birdy's increasingly dangerous job as a Federation officer. [Written by MAL Rewrite]","['Sequel (OVA) Tetsuwan Birdy Decode: The Cipher', 'Adaptation (Manga) Tetsuwan Birdy']",Tetsuwan Birdy Decode,,,
6,,無限の住人,Blade of the Immortal,,,,['TV'],13,Finished Airing,"Jul 14, 2008 to Dec 29, 2008",['Summer 2008'],Mondays at 00:00 (JST),"['Production I.G', 'Pony Canyon', 'Kodansha', 'Tokyu Agency']",['Media Blasters'],['Bee Train'],['Manga'],"['Action', 'Adventure', 'Drama', 'Supernatural']","['Gore', 'Historical', 'Martial Arts', 'Samurai']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.81,#5292,#2740,"71,426",152,26829,"Manji is an infamous swordsman in feudal Japan who is known as the ""Hundred Man Killer,"" as he has killed one hundred innocent men. However, there is something far more frightening than his ominous reputation: the fact that he is immortal. This is the handiwork of eight-hundred-year-old nun Yaobikuni, who placed bloodworms capable of healing almost any wound in Manji's body. To atone for his crimes, Manji resolves to kill one thousand evil men. Yaobikuni agrees to this proposal, saying that if he succeeds, she will undo his curse of immortality. Soon after this promise, Manji meets Rin Asano, a 16-year-old girl who requests Manji's assistance in killing those who slaughtered her parents. Initially reluctant, Manji refuses Rin's desperate plea. However, owing to her evident lack of strength, Manji changes his mind and agrees to protect Rin for four years. With this partnership set in stone, the two embark on a perilous journey of bloodshed, vengeance, and redemption, each to fulfill their own life's cause. [Written by MAL Rewrite]","['Adaptation (Manga) Mugen no Juunin', '']",Mugen no Juunin,,,
7,,一騎当千: Great Guardians,,,,Ikki Tousen Saison 3: Great Guardians,['TV'],12,Finished Airing,"Jun 11, 2008 to Aug 27, 2008",['Summer 2008'],Wednesdays at 09:30 (JST),"['Genco', 'Media Factory', 'AT-X', 'Showgate', 'Toranoana']",['Funimation'],['Arms'],['Manga'],"['Action', 'Ecchi']","['Martial Arts', 'School', 'Super Power']",['Seinen'],24 min. per ep.,R+ - Mild Nudity,6.69,#5952,#2745,"71,108",90,30063,"Hakufu's dreams of participating in new fights and tournaments are put on hold as new obstacles block her path. Her friends have lost faith in her, new enemies appear, and a younger sister she never knew existed suddenly shows up on her doorstep. If Hakufu ever hopes to compete worldwide, she's going to have to deal with her issues at home first. (Source: FUNimation)","['Prequel (TV) Ikkitousen: Dragon Destiny', 'Sequel (TV) Ikkitousen: Xtreme Xecutor']",Ikkitousen: Great Guardians,,,
8,,ワールド・デストラクション ～世界撲滅の六人～,Sands of Destruction,Sands of Destruction,Sands of Destruction,Sands of Destruction,['TV'],13,Finished Airing,"Jul 8, 2008 to Sep 30, 2008",['Summer 2008'],Unknown,"['Sega', 'Geneon Entertainment']",['Funimation'],['Production I.G'],Game,"['Adventure', 'Fantasy']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.93,#4706,#3200,"53,372",113,24334,"Spinoff based on the Nintendo DS RPG game by SEGA, released in Japan July, 2008. In a world where humans serve as livestock for the ruling beastman, and where sand fills the roles of water and fire. Kyrie is recruited by the ""World Destruction Committee"" to assist in putting an end to their world. Kyrie alone holds the power needed to do it. (Source: AniDB)","['Adaptation (Manga) World Destruction: Futari no Tenshi', '']",World Destruction: Sekai Bokumetsu no Rokunin,,,
9,,恋姫†無双,,Koihime Musou,Koihime Musou,Koihime Musou,['TV'],12,Finished Airing,"Jul 9, 2008 to Sep 24, 2008",['Summer 2008'],Wednesdays at 02:00 (JST),"None found,",['Sentai Filmworks'],['Doga Kobo'],Visual novel,"['Action', 'Adventure', 'Ecchi']","['Historical', 'Martial Arts']",,24 min. per ep.,R+ - Mild Nudity,6.70,#5869,#3313,"50,406",112,19830,"After witnessing the death of her family at the hands of bandits, Unchou Kan'u has devoted her life to protecting the innocent by exterminating any group of bandits she comes across. Over time, Kan'u's deeds become famous throughout the land—even if she herself remains unknown. During her travels, she runs across a young girl, Chouhi Yokutoku, whose parents suffered a similar fate as Kan'u's. Finding companionship through their similar pasts, the two girls take a vow of sisterhood and continue to wander the land, determined to bring peace to wherever their journey takes them. During Kan'u and Chouhi's journey, they meet and travel with several people who are sympathetic to their cause, such as the noble Chouun Shiryuu, the headstrong Bachou Mouki, and the calculating Shokatsuryou Koumei. From problems with local lords to groups of ravaging bandits, Kan'u and her friends do what they can to make life a little easier for those in need, wherever they may be. [Written by MAL Rewrite]","['Sequel (TV) Shin Koihime†Musou', 'Adaptation (Manga) Koihime†Musou: Doki☆Otome darake no Sangokushi Engi']",Koihime†Musou,,,
