,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Demographic,Theme,Spanish,Genre,Demographics
0,"Full Metal Panic Fumoffu, Fullmetal Panic? Fumoffu",フルメタル・パニック? ふもっふ,Full Metal Panic? Fumoffu,['TV'],12,Finished Airing,"Aug 26, 2003 to Nov 18, 2003",['Summer 2003'],Tuesdays at 02:28 (JST),"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']","['ADV Films', 'Funimation']",['Kyoto Animation'],['Light novel'],"['Action', 'Comedy']","['Gag Humor', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,8.02,#644,#869,"303,598","2,977",178503,"Sergeant Sousuke Sagara returns to Jindai High School to protect the precious war asset, Kaname Chidori, from any threat. However, his lack of social skills and real-life experience result in comical yet dangerous situations, endangering the peaceful school life Kaname longs for. As Sousuke continues to bring a wide range of weapons to school as a means to solve threats—real or fake—Kaname struggles to fulfill her duty as the student council vice president all while keeping him in check. To ensure a successful mission, Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise, he eventually transforms the exuberant uniform into a cutting-edge exoskeleton that has only one dysfunction: the voice translator can only produce the sound ""mofu."" Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause. [Written by MAL Rewrite]","['Adaptation (Light Novel) Full Metal Panic! Tanpenshuu', 'Adaptation (Light Novel) Full Metal Panic! Side Arms']",Full Metal Panic? Fumoffu,,,,,,,
1,"Ikki-Tosen: Legendary Fighter, Battle Vixens",一騎当千,Ikki Tousen: Battle Vixens,['TV'],13,Finished Airing,"Jul 30, 2003 to Oct 22, 2003",['Summer 2003'],Wednesdays at 11:30 (JST),"['Genco', 'Media Factory', 'AT-X']","['Funimation', 'Geneon Entertainment USA']",['J.C.Staff'],['Manga'],"['Action', 'Ecchi']","['Martial Arts', 'School', 'Super Power']",24 min. per ep.,R+ - Mild Nudity,6.37,#7896,#1486,"170,493",443,72425,"In the Kanto region, seven high schools fight to the death for absolute power. Each fighter is the reincarnation of a glorious warrior from the Three Kingdoms period, placing them in a perilous endeavor to overcome their often cruel destinies. Among them is the airheaded Hakufu Sonsaku, a student at Nanyou Academy who—despite possessing brilliant martial art abilities—is deemed to be killed at a young age by the ruthless Ukitsu. However, her fellow classmate Koukin Shuuyu is tasked by Hakufu's mother to protect his cousin from this grim fate. To add to his burden, Hakufu is subject to sudden bursts of anger, where she loses consciousness and unleashes a destructive power that threatens her own life. Together with Nanyou's ""Big Four,"" Hakufu and Shuuyu will have to foil the plans of their main rival schools and uncover the true nature of Hakufu's powers before it is too late. [Written by MAL Rewrite]","['Sequel (TV) Ikkitousen: Dragon Destiny', 'Adaptation (Manga) Ikkitousen']",Ikkitousen,Ikki Tousen: Gragon Girls,Ikki Tousen,['Seinen'],,,,
2,"Green Green TV, Guri Guri",グリーングリーン,Green Green,['TV'],12,Finished Airing,"Jul 13, 2003 to Sep 28, 2003",['Summer 2003'],Tuesdays at 00:05 (JST),"['Pony Canyon', 'Memory-Tech', 'Pony Canyon Enterprises']",['Media Blasters'],['Studio Matrix'],Visual novel,"['Comedy', 'Romance', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.13,#9236,#1946,"120,122",229,67375,"Kanenone Gakuen is an all-male boarding school located in the countryside of Japan. Although an all-male school is nothing new, life can become quite difficult when there are no female students for miles around. In order to help the psychological health of everyone involved, the school board has decided to try and merge with the nearest all-girl boarding school in order to become co-ed. The boys of Kanenone are more than thrilled at the prospect, and the girls are curious as to how interesting school life might become if there were more boys around. Before any serious decisions are made, the girls have been invited to stay at Kanenone for one month as a test. Green Green follows Yuusuke Takazaki and his naughty room mates called the Baka (Idiot) Trio, and their ability to talk to the girls without making complete fools of themselves. But as soon as the school bus with the girls arrives, things become weird, hormonal, and hysterical. In particular, a girl named Midori Chitose leaps off the bus and immediately embraces a very confused Yuusuke. Is he a natural ladies' man, or do the two of them have a shared history that he is not aware of?","['Sequel (OVA) Green Green Thirteen: Erolutions', 'Adaptation (Light Novel) Green Green']",Green Green,,,,['School'],,,
3,Onegai☆Twins,おねがい☆ツインズ,Please Twins!,['TV'],12,Finished Airing,"Jul 15, 2003 to Oct 14, 2003",['Summer 2003'],Tuesdays at Unknown,"['Bandai Visual', 'Genco', 'Lantis']","['Nozomi Entertainment', 'Bandai Entertainment']",['Daume'],Original,"['Comedy', 'Drama', 'Sci-Fi']","['Harem', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,6.80,#5360,#2335,"92,254",184,50831,"Maiku Kamishiro's past has always been somewhat of a mystery to him. The only clue he has to who his family might be is an old photograph showing two young children, a boy and a girl, playing in a small pool outside of a blue house. In an attempt to find his family, he moves to this blue house and begins working as a programmer. He's living a comfortable life until the day two very different girls show up at his door, both in possession of the same photograph, and both claiming to be his twin. With no way to prove who is a relative and who is a stranger, Maiku allows both girls to move in with him until they know for sure. (Source: ANN)","['Sequel (OVA) Onegai☆Twins: Natsu wa Owaranai', 'Adaptation (Light Novel) Onegai☆Twins', 'Adaptation (Manga) Onegai☆Twins', '']",Onegai☆Twins,,Please Twins,,,,,
4,,D.C.～ダ・カーポ～,D.C.~Da Capo~,['TV'],26,Finished Airing,"Jul 5, 2003 to Dec 27, 2003",['Summer 2003'],Saturdays at Unknown,"['Lantis', 'King Records']","None found,","['feel.', 'Zexcs']",Visual novel,"['Drama', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,6.71,#5828,#2593,"77,842",198,31340,"Hatsunejima abounds in mysteries—one of which is the town's unwithering cherry trees that are said to grant the most genuine wishes. There are also rumors of people possessing supernatural powers, like Junichi Asakura, who can see other people's dreams and create sweets out of nothing. Alongside his sister Nemu, he enjoys living in peace with his friends at Kazami Academy but chooses to shroud his identity in secrecy. His tranquil school life comes to a halt when he finds out that his childhood friend Sakura Yoshino has returned from America after six years. She is there for one purpose: to fulfill the promises she made long ago with Junichi. Little does anyone know, however, that Sakura's appearance is bound to change everyone's lives—for better or worse. [Written by MAL Rewrite]","['Sequel (TV) D.C.S.S: Da Capo Second Season', 'Adaptation (Manga) Da Capo']",D.C.: Da Capo,,,,['Harem'],,,
5,,なるたる ～骸なる星・珠たる子～,Shadow Star Narutaru,['TV'],13,Finished Airing,"Jul 7, 2003 to Sep 29, 2003",['Summer 2003'],Tuesdays at 00:00 (JST),"['Kids Station', 'Ken Groove', 'Step Eizou', 'C-TBS']",['Central Park Media'],['Planet'],['Manga'],"['Drama', 'Horror', 'Sci-Fi', 'Suspense']",,24 min. per ep.,R - 17+ (violence & profanity),5.98,#10000,#3854,"38,022",71,10868,"During her summer holiday at her grandparents house Tamai Shiina, a young and cheerful schoolgirl, meets a strange looking creature. They befriend each other and Shiina names it ""Hoshimaru: The Round Star."" When Shiina returns home after the summer to go back to school, she starts meeting other kids that also have befriended a strange creature like Hoshimaru. But she soon finds out that not all these creatures and their masters are as friendly as Hoshimaru. (Source: ANN)","['Adaptation (Manga) Narutaru: Mukuro Naru Hoshi Tama Taru Ko', '']",Narutaru: Mukuro Naru Hoshi Tama Taru Ko,,,['Seinen'],,,,
6,"Po-Po-Tan, Popo-tan",ぽぽたん,,['TV'],12,Finished Airing,"Jul 18, 2003 to Oct 3, 2003",['Summer 2003'],Unknown,['Bandai Visual'],"['Sentai Filmworks', 'Geneon Entertainment USA']",['Shaft'],Visual novel,"['Comedy', 'Drama', 'Supernatural', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.26,#8527,#4614,"25,965",64,10538,"Beautiful sisters Ai, Mai, Mii, their android maid Mea and slippery pet ferret Unagi make an amazing journey together through time and space without ever leaving their beloved mansion behind! Following the clues of the strange dandelion-like ""Popotan,"" the girls are theoretically seeking the person who has the answers to their most personal questions, but they seem to have more than enough time to take side trips, meet new friends, visit hot springs and occasionally operate the X-mas shop they keep in the house along the way! Yet, the girls' ultimate destiny holds more than a few surprises of its own, and not every moment is filled with hilarity, as moving through time means having to leave friends behind as well. (Source: RightStuf)","['Adaptation (Manga) Popotan', '']",Popotan,,,,['Time Travel'],,,
7,Happy Lesson: Advance,HAPPY☆LESSON ADVANCE,,['TV'],13,Finished Airing,"Jul 3, 2003 to Sep 28, 2003",['Summer 2003'],Unknown,['KSS'],"None found,",['Studio Hibari'],['Manga'],"['Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.76,#5573,#5606,"15,999",8,6891,Hitotose Chitose is now living together with his 5 teachers as his mothers when a mysterious girl appears and becomes their neighbor which turns out that that person is Nagatsuki Kuron who wants Mu-chan to be her mother so another sibling rivalry ensues as to who would end up as Mu-chan's child. (Source: ANN),"['Prequel (TV) Happy☆Lesson (TV)', 'Sequel (OVA) Happy☆Lesson The Final', 'Adaptation (Manga) Happy★Lesson: Mama Sensei wa Saikou!', '']",Happy☆Lesson Advance,,,,['Harem'],Happy☆Lesson Advance,,
8,,ダイバージェンス・イヴ,,['TV'],13,Finished Airing,"Jul 2, 2003 to Sep 24, 2003",['Summer 2003'],Wednesdays at 10:00 (JST),"['Media Factory', 'Imagica', 'KlockWorx']","['ADV Films', 'Sentai Filmworks']",['Radix'],Original,"['Adventure', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']",24 min. per ep.,R+ - Mild Nudity,5.90,#10442,#5861,"14,231",15,4782,"In the 24th Century, Intergalactic Space Travel has become a reality. One of the first outposts in the far reaches of space is WATCHER'S NEST - an inflation hole drive portal - which has recently come under attack by a mysterious force known simply as GHOUL... A group of young female cadets assigned to the portal are unexpectedly thrown into a hornet's nest of trouble as they finalize their training to become an elite pilot in the Seraphim Squadron. (Source: DVD Collection Back Cover)","['Sequel (TV) Divergence Eve 2: Misaki Chronicles', '']",Divergence Eve,,,,,,,
9,"Rumic Theater, Rumiko Takahashi Theater, Rumic World TV",高橋留美子劇場,Rumiko Takahashi Anthology,['TV'],13,Finished Airing,"Jul 6, 2003 to Sep 28, 2003",['Summer 2003'],Sundays at 00:55 (JST),['Tokyo Movie Shinsha'],['Geneon Entertainment USA'],['TMS Entertainment'],['Manga'],"['Comedy', 'Drama', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.14,#3713,#7288,"8,343",8,2429,"Shelter. Employment. Companionship. Rumiko Takahashi explores the stress that can befall people when these basic necessities become endangered. From penguins to wedding chapels and to amnesiac husbands, each episode explores supposedly normal people under extreme situations with all of the dramatic skill and warped comedy that you expect from the world-famous creator of InuYasha, Ranma 1/2, Urusei Yatsura! (Source: Geneon)","['Adaptation (Manga) P no Higeki: Takahashi Rumiko Kessakushuu', 'Adaptation (Manga) Senmu no Inu: Takahashi Rumiko Kessakushuu', 'Adaptation (Manga) Akai Hanataba: Takahashi Rumiko Kessakushuu', '']",Takahashi Rumiko Gekijou,,Rumiko Takahashi Anthologie,['Seinen'],,El Teatro de Rumiko,,
