,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,French,Genre,Theme,Spanish,German,Demographics
22,カスミン (第1シリーズ),Mistin,['TV'],26,Finished Airing,"Oct 13, 2001 to Apr 6, 2002",['Fall 2001'],Unknown,['NHK'],"None found,",['OLM'],Unknown,,,['Kids'],25 min. per ep.,G - All Ages,6.39,#7731,#12113,"1,893",1,629,"Haruno Kasumi is a fourth-grader. Her parents are zoologists who went over to Africa to carry out their research studies. In order to see off her parents, Kasumi arrived at Kasumi Town. In the middle of the town lies an enormous mansion surrounded by the forest. The mansion belongs to the Kasumi household, the family in which Kasumi will be lodging in and taken care of. There is a mysterious aura about the mansion and Kasumi discovers a series of talking appliances. The Kasumi family refers to these creatures as ""Henamon"". In return for living in with the family, Kasumi will be helping out with the household chores such as cooking and washing. Surrounded by various interesting characters, Kasumi begins a new chapter in her life. (Source: ANN)","['Sequel (TV) Kasumin 2nd Season', '']",Kasumin,Kasumin 1st Series,,['Fantasy'],,,,
23,バンパイヤン・キッズ,Vampiyan Kids,['TV'],23,Finished Airing,"Oct 13, 2001 to Mar 30, 2002",['Fall 2001'],Saturdays at 18:30 (JST),['Fuji TV'],"None found,","['Production I.G', 'Xebec', 'Trans Arts']",Original,"['Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,G - All Ages,5.94,#10246,#13532,"1,224",2,214,"Have you ever heard of the Vampirians? One noble family of such vegetarian vampires have been banished from Monsterland for their inability to scare humans. To lift the exile set on the family, Papa, the head of the household, must scare 1000 humans. To this end, he attempts to use his magnificent skills in making new inventions, but always and inevitably fails. To complicate things further, Papa's daughter Sue falls in love with a young human boy and no longer wants to return to Monsterland. Will Papa ever get his family back home? (Source: Production I.G.)","['Prequel (Special) Vampiyan Kids: Pilot', '']",Vampiyan Kids,"Nanchatte VAMPIYAN, Vampire Kids",,,,,,
24,ピロッポ,,['TV'],23,Finished Airing,"Oct 11, 2001 to Mar 21, 2002",['Fall 2001'],Unknown,"None found,","None found,",['Studio 4°C'],Other,,,,2 min. per ep.,None,5.34,#12589,#14730,888,2,192,"Piroppo is a short series commisioned by Sony for the promotion of their robot dog Aibo. Apparently 54 slots of about 20 seconds each were made, but the dvd release totals 23 named episodes. Created by ISHII Katsuhito, director of Trava Fist Planet and several of the Grasshoppa live action projects, this is a highly original project despite the limited budget. (Source: AniDB)",[],Piroppo,,,['Comedy'],,,,
25,아장닷컴,,['TV'],13,Finished Airing,"Nov 22, 2001 to Dec 22, 2001",['Fall 2001'],Unknown,"None found,","None found,","None found,",Unknown,,,,25 min. per ep.,G - All Ages,5.67,#11496,#14876,846,3,245,"The spirit world, the real world and the Internet cyber world maintain peace and harmony by the Dimension stone, which was created by the three deities named Dragon King, Zeus and Zoolu. One day, Doddery had a date therefore he switched the stone guard duty with the Super Baby by bribing him with milk. A-jang fights hard with LuPin and Pigu till the end but in that process something goes wrong with the Dimension Stone and due to that unusual energy Spirit world becomes chaotic. Many spirits including LuPin and Pigu falls into cyber space and A-jang just manages to escape. (Source: tvkanald.rs)",[],A-jang.com,Ahjangdatkeom,,['Fantasy'],,,,
26,ストレイシープ ポーのちっちゃな大冒険,,['TV'],18,Finished Airing,"Oct 16, 2001 to Jan 1, 2005",['Fall 2001'],Unknown,['Fuji TV'],"None found,",['Robot Communications'],Original,,,['Kids'],2 min. per ep.,PG - Children,5.99,#9948,#16825,524,0,132,"Stray Sheep is based on the tales of Poe, a naive, independent and curious ram who finds himself sleepwalking into the most unpredictable situations on his path to reuniting with his herd and finding the ""ewe"" of his dreams. (Source: ANN)","['Prequel (TV) Stray Sheep no Daibouken', '']",Stray Sheep: Poe no Chicchana Daibouken,,,['Comedy'],,,,
27,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,625","234,850",1420260,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,,,,
28,犬夜叉,InuYasha,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,227","19,338",402579,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,Inu Yasha,,,,Inuyasha,,
29,ポケットモンスター,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,564",411340,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,"Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",Pokémon,,,Pokémon,Pokémon,
30,はじめの一歩 THE FIGHTING!,Fighting Spirit,['TV'],75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",['Fall 2000'],Tuesdays at 00:50 (JST),['VAP'],"['Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.78,#37,#360,"638,244","23,544",315401,"In his father's absence, teenager Ippo Makunouchi works hard to help his mother run her fishing boat rental business. Ippo's timid nature, his lack of sleep, and the sea smell make him an easy target for relentless bullies who leave him bruised and beaten on a daily basis. Mamoru Takamura, an up-and-coming boxer, rescues Ippo from a violent after-school incident and takes him back to the Kamogawa Boxing Gym for recovery. Takamura and his fellow boxers, Masaru Aoki and Tatsuya Kimura, are stunned by Ippo's powerful punches—a result of strong muscles developed through years serving his physically taxing family business. Following brief training under Takamura, Ippo impresses the other boxers in a practice match against prodigy Ichirou Miyata. He gains a rival in Miyata and a coach in Genji Kamogawa, the gym owner and a former boxer himself. As Ippo takes the first steps in his official boxing career, he faces off against a series of challenging opponents, each more powerful than the last. Victory, loss, and a cycle of dedicated training await Ippo on his journey to achieve greatness. With his tough body and unstoppable fighting spirit, the kind young man seeks to take on the world. [Written by MAL Rewrite]","['Sequel (TV Special) Hajime no Ippo: Champion Road', 'Adaptation (Manga) Hajime no Ippo']",Hajime no Ippo,"The First Step, Hajime no Ippo: The Fighting",IPPO Le Challenger,['Sports'],['Combat Sports'],Hajime no Ippo: Espíritu de Lucha,,
31,フルーツバスケット,Fruits Basket,['TV'],26,Finished Airing,"Jul 5, 2001 to Dec 27, 2001",['Summer 2001'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'King Records']",['Funimation'],['Studio Deen'],['Manga'],"['Drama', 'Romance', 'Supernatural']","['Love Polygon', 'School']",['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.69,#1332,#429,"553,059","9,731",288792,"After the accident in which she lost her mother, 16-year-old Tooru moves in with her grandfather, but due to his home being renovated, is unable to continue living with him. Claiming she will find someone to stay with but also fearing the criticism of her family and not wanting to burden any of her friends, Tooru resorts to secretly living on her own in a tent in the woods. One night on her way back from work, she finds her tent buried underneath a landslide. Yuki Souma, the ""prince"" of her school, and his cousin Shigure Souma, a famous author, stumble across Tooru's situation and invite her to stay with them until her grandfather's home renovations are complete. Upon arriving at the Souma house, Tooru discovers their secret: if a Souma is hugged by someone of the opposite gender, they temporarily transform into one of the animals of the zodiac! However, this strange phenomenon is no laughing matter; rather, it is a terrible curse that holds a dark history. As she continues her journey, meeting more members of the zodiac family, will Tooru's kindhearted yet resilient nature be enough to prepare her for what lies behind the Souma household's doors? [Written by MAL Rewrite]","['Adaptation (Manga) Fruits Basket Read Manga', '']",Fruits Basket,Furuba,,,,,,
32,遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#603,"412,205","5,011",259909,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,"Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",Yu-Gi-Oh!,,['Strategy Game'],,,
33,シャーマンキング,Shaman King,['TV'],64,Finished Airing,"Jul 4, 2001 to Sep 25, 2002",['Summer 2001'],Wednesdays at 18:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music']","['4Kids Entertainment', 'Discotek Media']",['Xebec'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.73,#1204,#673,"375,040","3,721",199522,"A battle is about to begin in Tokyo: the Shaman Fight, a tournament held every five hundred years where shaman—those who can command spirits—confront each other in combat. The victor of this contest becomes the Shaman King and the only one who is able to contact and control the Great Spirit, allowing them to reshape the world as they please through its immense power. During a late night walk, Manta Oyamada runs into his classmate, the carefree You Asakura, who invites him to come stargazing with some friends, who, to Manta's horror, turn out to be ghosts from a local cemetery! However, the knowledge that Manta possesses—a rare sixth sense that allows Manta to see these spirits—endears the boy to You. So when You finds out that his new comrade has been beaten up by a local gang, he decides to avenge him with the help of Amidamaru, a samurai ghost whose tomb was broken by the gang leader. Soon Manta uncovers more about the world of spirits, including the Shaman Fight, in which his new friend You aims to claim victory. [Written by MAL Rewrite]","['Adaptation (Manga) Shaman King Read Manga', '']",Shaman King,,,,,,,
34,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#705,"360,897","15,328",164370,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,,['Detective'],,Case Closed,
35,デジモンテイマーズ,Digimon Tamers,['TV'],51,Finished Airing,"Apr 1, 2001 to Mar 31, 2002",['Spring 2001'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['Saban Entertainment', 'Flatiron Film Company']",['Toei Animation'],Original,"['Adventure', 'Comedy', 'Fantasy']",,,25 min. per ep.,PG - Children,7.65,#1416,#1256,"204,727","1,979",127021,"Ten-year-old Takato Matsuda loves playing the Digimon card game with his friends and immersing himself in its imaginative world. One morning, he finds an unfamiliar blue card in his collection and swipes it through his card reader. Little does he know, his decision leads to its transformation into a D-Ark Digivice. When the mysterious device scans his designs for an original Digimon named Guilmon, it generates a Digi-Egg that later hatches into a living version of his own creation! Although Takato is thrilled to have a real Digimon, his idealized fantasy shatters when he realizes that his rambunctious new companion requires constant supervision. Adding to his troubles, Guilmon is targeted by Ruki Makino, a rival tamer who commands her partner, Renamon, to gain power by defeating other Digimon and absorbing their data. Luckily, Takato finds allies in his schoolmate Li Jianliang and his sassy Digimon partner Terriermon to help him on his journey as a real-life tamer. With sinister foes appearing at an alarming rate, Takato must strengthen his bond with Guilmon to protect both the human world and the Digital World. [Written by MAL Rewrite]","['Sequel (Movie) Digimon Tamers: Bousou Digimon Tokkyuu', 'Adaptation (Manhua) Digimon Tamers']",Digimon Tamers,Digimon: Digital Monsters 03,,,['Isekai'],Digimon 3,,
36,爆転シュート　ベイブレード,Beyblade,['TV'],51,Finished Airing,"Jan 8, 2001 to Dec 24, 2001",['Winter 2001'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'd-rights']","['Nelvana', 'Discotek Media']",['Madhouse'],['Manga'],"['Adventure', 'Comedy', 'Sports']",,['Kids'],23 min. per ep.,PG - Children,6.79,#5399,#1983,"118,032",409,74369,"Thirteen-year-old Tyson Granger (Takao Kinomiya), along with his fellow teammates, Kai Hiwatari, Max Tate (Max Mizuhura), and Ray Kon (Rei Kon), strive to become the greatest Beybladers in the world. With the technical help of the team's resident genius, Kenny (Kyouju), and with the powerful strength of their BitBeasts, the Bladebreakers armed with their tops (AKA: Blades) attempt to reach their goal. (Source: ANN)","['Sequel (TV) Bakuten Shoot Beyblade 2002', 'Adaptation (Manga) Bakuten Shoot Beyblade']",Bakuten Shoot Beyblade,,,,,,Beyblade,
37,THEビッグオー,The Big O,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Mecha', 'Psychological']",,24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,850","1,013",39647,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,"Big O Roger, Big O",,,,,,
38,グラップラー刃牙(バキ) 最大トーナメント編,Baki the Grappler: Saidai Tournament-hen,['TV'],24,Finished Airing,"Jul 24, 2001 to Dec 25, 2001",['Summer 2001'],Unknown,"None found,",['Funimation'],['Group TAC'],['Manga'],,"['Combat Sports', 'Gore']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.48,#2051,#2258,"98,047",285,54294,"Mitsunari Tokugawa, the organizer of the historic Tokugawa underground fighting ring, has created a tournament featuring 38 of the world's best fighters, many of whom are grandmasters in their respective form of martial arts. With the exception of weapons, anything goes in Tokugawa's ring so that each fighter is able to showcase their true power and strongest secret moves. Baki Hanma earned a place in the tournament due to his status as the reigning champion of Tokugawa's fighting ring. Will he be able to come out on top? [Written by MAL Rewrite]","['Prequel (TV) Grappler Baki (TV)', 'Sequel (OVA) Baki: Most Evil Death Row Convicts Special Anime', 'Sequel (ONA) Baki', 'Adaptation (Manga) Grappler Baki']",Grappler Baki: Saidai Tournament-hen,"Baki the Grappler II, Grappler Baki Second Season, Baki The Grappler - The Ultimate Tournament, Grappler Baki Maximum Tournament",Baki The Grappler Saison 2: Maximum Tournament,['Sports'],,,,
39,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,097","1,330",42203,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,,['School'],Shin Chan,Shin Chan,
40,スクライド,s-CRY-ed,['TV'],26,Finished Airing,"Jul 4, 2001 to Dec 26, 2001",['Summer 2001'],Wednesdays at 18:00 (JST),['Yomiko Advertising'],"['Bandai Entertainment', 'Sentai Filmworks', 'Discotek Media']",['Sunrise'],Original,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.35,#2592,#2451,"85,567",677,39543,"A strange environmental phenomenon 22 years ago in the Kanazawa prefecture caused the land to split and protrude upwards reaching unprecedented heights, creating the secluded area known as The Lost Ground. Kazuma is a young mercenary who lives in the Lost Ground, looking for any work he can find to sustain his livelihood within the harsh environment. He is one of the few people that are gifted with the Alter ability, which allows him to plaster his right arm and torso with a metallic alloy. When this mercenary encounters HOLY, an order whose purpose is to suppress and capture what they call Native Alter Users, and one of the elite members of HOLY, Ryuho, an epic rivalry begins. (Source: ANN)","['Adaptation (Manga) s.CRY.ed', 'Adaptation (Light Novel) s.CRY.ed After']",s.CRY.ed,Scryed,s-CRY-ed,,['Super Power'],s-CRY-ed,s-CRY-ed,
41,ドラえもん,Doraemon,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,,,['Anthropomorphic'],Doraemon,,"['Kids', 'Shounen']"
42,とっとこハム太郎,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy']",,['Kids'],25 min. per ep.,G - All Ages,7.01,#4329,#2951,"62,643",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,"Tottoko Hamtaro Dechu, Tottoko Hamutaro",Hamtaro,,['Anthropomorphic'],Hamtaro,Hamtaro,
43,だぁ! だぁ! だぁ!,,['TV'],78,Finished Airing,"Mar 28, 2000 to Feb 26, 2002",['Spring 2000'],Tuesdays at 18:00 (JST),"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Sci-Fi']",,['Shoujo'],25 min. per ep.,G - All Ages,7.63,#1483,#4553,"26,883",253,12282,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. (Source: ANN)","['Adaptation (Manga) Daa! Daa! Daa!', '']",Daa! Daa! Daa!,"Da!Da!Da!, UFO Baby",,,['Childcare'],,,
44,超GALS! 寿蘭,Super GALS!,['TV'],52,Finished Airing,"Apr 1, 2001 to Mar 31, 2002",['Spring 2001'],Sundays at 08:30 (JST),['TV Tokyo'],"['ADV Films', 'Nozomi Entertainment']",['Pierrot'],['Manga'],,,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.39,#2408,#4763,"24,054",218,8792,"Sporting designer clothes, make-up, and nails, Ran Kotobuki is the very picture of a trendy, young Shibuya girl, but don't let that fool you. This girl comes from a family of cops, and she’s ready to lay you out flat if you even think about causing trouble in her town! At least, she will... when she’s not distracted with karaoke, shopping, and dodging her homework. Join Ran and her friends as they defend the streets of Shibuya and attempt to shop their way into the history books as the most famous Gals ever! (Source: RightStuf)","['Adaptation (Manga) Gals!', '']",Super GALS! Kotobuki Ran,,Super GALS!,['Comedy'],,Super GALS!,,
45,も〜っと！おジャ魔女どれみ,,['TV'],50,Finished Airing,"Feb 4, 2001 to Jan 27, 2002",['Winter 2001'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,,,24 min. per ep.,G - All Ages,7.46,#2124,#4822,"23,270",157,11276,"After losing their magical abilities, the girls once again become witches. However, now they have to go through tests from the Witches of the Witch World. They also meet a new member from New York, Momoko.","['Prequel (TV) Ojamajo Doremi Sharp', 'Sequel (TV) Ojamajo Doremi Dokkaan!']",Motto! Ojamajo Doremi,More! Useless Witch Doremi,,['Comedy'],['Mahou Shoujo'],,,
