,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,French,Genre,Theme,Spanish,German,Demographics
12,おとぎストーリー　天使のしっぽ,Angel Tales,['TV'],12,Finished Airing,"Oct 4, 2001 to Dec 20, 2001",['Fall 2001'],Thursdays at 18:30 (JST),['Lantis'],['Bandai Entertainment'],['Tokyo Kids'],Original,"['Comedy', 'Fantasy', 'Romance']",,,22 min. per ep.,PG-13 - Teens 13 or older,6.50,#7101,#5551,"16,381",26,6466,"Goro's down on his luck. He keeps losing jobs and has little money. One day he meets a fortune-teller outside of a pet store who predicts that his luck will change. That night three girls appear in his appartment claiming to be his guardian angels. Soon a total of twelve girls appear to help him, each one a reincarnation of a deceased pet once owned by Goro. (Source: ANN)","['Sequel (TV) Tenshi no Shippo Chu!', '']",Otogi Story Tenshi no Shippo,"Angel's Tail, Fairy Tale Angel Tail, Angel Tails",,,['Harem'],,,
13,旋風の用心棒,Kaze no Yojimbo,['TV'],25,Finished Airing,"Oct 2, 2001 to Mar 26, 2002",['Fall 2001'],Unknown,"None found,",['Bandai Entertainment'],['Pierrot'],Original,"['Action', 'Drama', 'Mystery']",,,23 min. per ep.,R - 17+ (violence & profanity),7.13,#3760,#5552,"16,373",46,3515,"In search for Araki Genzo, George Kodama finds himself in the small town of Kimujuku. George quickly realizes that he is unwelcome and is warned to leave as soon as possible. With two rival syndicates roaming the streets and a dark violent past, the town of Kimujuku isn't what it appears to be. George challenges the town of Kimujuku in order to reveal the towns dark hidden past and discover the truth. (Source: ANN)",[],Kaze no Youjinbou,"Bodyguard of the Wind, Kaze no Youjimbo",,,,,,
14,ナジカ電撃作戦,Najica Blitz Tactics,['TV'],12,Finished Airing,"Oct 5, 2001 to Dec 27, 2001",['Fall 2001'],Fridays at 01:40 (JST),"['GDH', 'Media Factory', 'Nippon Columbia', 'Amber Film Works']",['ADV Films'],['Studio Fantasia'],Original,"['Action', 'Comedy', 'Sci-Fi', 'Ecchi']",,,23 min. per ep.,R+ - Mild Nudity,5.97,#10057,#5590,"16,095",16,6700,"Najica Hiiragi, perfumer and secret agent, is sent out on a number of recovery missions to round up rogue humaritts, androids with combat abilities. Najica is assigned a humaritt partner, Lila, whom Najica is to groom as an agent and receive assistance from along the way. As Najica grows to accept Lila, each new mission they embark on reveals more and more about the capabilities and mysterious origins of the humaritts. (Source: ANN)","['Adaptation (Manga) Najica Dengeki Sakusen', '']",Najica Dengeki Sakusen,,Najica Blitz Tactics,,,,Najica Blitz Tactics,
15,ココロ図書館,,['TV'],13,Finished Airing,"Oct 12, 2001 to Feb 17, 2002",['Fall 2001'],Fridays at 01:15 (JST),['Victor Entertainment'],"None found,",['Studio Deen'],['Manga'],,"['Iyashikei', 'Workplace']",,24 min. per ep.,PG - Children,6.52,#6922,#7478,"7,779",21,2545,"Hidden away on a remote mountaintop, the Kokoro Library struggles to attract many visitors. Nevertheless, it is the home of sisters Iina, Aruto, and Kokoro, who consider it their mission to keep the library running in their parents' stead. Kokoro has long dreamed of becoming a librarian at the library with the same name as her, and tries her best to keep up with her older sisters. Due to the lack of patrons, the girls mainly spend their time sipping tea, chatting, and reading. However, as the number of mysterious visitors progressively increases, Kokoro begins to learn about the strange history of Kokoro Library—a place where small miracles seem to blossom. [Written by MAL Rewrite]","['Sequel (Special) Kokoro Toshokan: Communication Clips', 'Adaptation (Manga) Kokoro Toshokan']",Kokoro Toshokan,Kokoro Library,,['Slice of Life'],,,,
16,激闘! クラッシュギアTURBO,,['TV'],68,Finished Airing,"Oct 7, 2001 to Jan 26, 2003",['Fall 2001'],Unknown,['Bandai Visual'],"None found,",['Sunrise'],Original,,,,25 min. per ep.,G - All Ages,6.84,#5127,#7497,"7,731",38,4196,After losing almost all their members the Tobita Crush Gear club is facing extinction. Kouya who dreams of being a Crush Gear Fighting Champion doesn't want to see the club become extinct and will do whatever he can to keep the club running and become a Cush Gear Champion.,"['Sequel (Movie) Gekitou! Crush Gear Turbo: Kaizabaan no Chousen', 'Adaptation (Manga) Gekitou! Crush Gear Turbo']",Gekitou! Crush Gear Turbo,,,['Sports'],,,Crush Gear Turbo,
17,PROJECT ARMS -The 2nd Chapter-,Project ARMS: The 2nd Chapter,['TV'],26,Finished Airing,"Oct 6, 2001 to Mar 30, 2002",['Fall 2001'],Unknown,"None found,","['VIZ Media', 'Discotek Media']",['TMS Entertainment'],['Manga'],"['Action', 'Fantasy']","['Martial Arts', 'School', 'Super Power']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),6.98,#4486,#7894,"6,820",8,2561,"The 2nd Chapter continues the story of Ryo Takatsuki and his companions' quest to discover the secret of the mysterious A.R.M.S. they all possess and what the future may hold for them. They now know where the answers lie but to get to them, they must fight a desperate fight of survival against a powerful military corporation that wants their secrets no matter what the cost. (Source: AniDB)","['Prequel (TV) Project ARMS', 'Adaptation (Manga) Arms']",Project ARMS: The 2nd Chapter,"Project Arms 2, ARMS2",,,,,,
18,こげぱん,Scorched Bread,['TV'],10,Finished Airing,"Nov 5, 2001 to Nov 16, 2001",['Fall 2001'],Unknown,['San-X'],"None found,",['Pierrot'],Other,"['Comedy', 'Gourmet']",,,4 min. per ep.,G - All Ages,6.77,#5497,#7988,"6,636",37,3413,"An accident in the bakery's oven caused a piece of bread to stay in the oven for way too long. Thus Kogepan was born - a piece of burnt bread, having no chance to be sold. (Source: ANN)",[],Kogepan,,,,,,,
19,バビル２世,Babel II: Beyond Infinity,['TV'],13,Finished Airing,"Oct 5, 2001 to Dec 28, 2001",['Fall 2001'],Unknown,"None found,",['Media Blasters'],['Vega Entertainment'],['Manga'],"['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Supernatural']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,5.67,#11500,#9374,"4,325",3,1415,"Life seems simple for Kouichi, a young student, until he learns that he is the reincarnation of an alien protector who crashed onto the mantle of responsibility as ""defender of the Earth,"" Kouichi/Babel teams up with a trio of super-powered alien companions to battle the the dark forces of an evil cult leader. The war to save humanity takes Babel from the deserts of southern Asia to the upper east side of Manhattan and ultimately to a final showdown with ""the master"" in a hidden base nestled in the Swiss Alps. The action is fast-paced and deadly. The fate of the world rests in the ability of this courageous youth to tame his latent psychic power and use it to defeat the enemies of mankind. (Source: AnimeNfo)","['Adaptation (Manga) Babel Nisei', '']",Babel Nisei (2001),Babel 2-sei,,,,,,
20,しあわせソウのオコジョさん,,['TV'],51,Finished Airing,"Oct 2, 2001 to Sep 24, 2002",['Fall 2001'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Omnibus Promotion']","None found,",['Radix'],['Manga'],,,['Shoujo'],25 min. per ep.,G - All Ages,6.56,#6677,#9496,"4,159",5,767,"Haruka Tsuchiya is a plain and simple university student who has a pet by the name of Okojo-san. Okojo-san was actually born in one of the mountains in the North and brought to one of the pet shops to be sold. Determined to get out of the pet shop, Okojo-san formulated an escape strategy and ended up in the house of Haruka. There are always funny and strange occurances happening around the two, be it the people or animals who are near them. This is a gag anime in which absurdity is the main feature of the story. (Source: ANN)","['Adaptation (Manga) Okojo-san', '']",Shiawase Sou no Okojo-san,"Shiawase Apartment's Okojo-san, Happy Okojo",,['Comedy'],['Pets'],,,
21,ガイスターズ FRACTIONS OF THE EARTH,Geisters: Fractions of the Earth,['TV'],26,Finished Airing,"Oct 6, 2001 to Mar 30, 2002",['Fall 2001'],Unknown,['TV Osaka'],"None found,",['Plum'],Original,"['Action', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,5.68,#11489,#11994,"1,957",1,290,"At the end of the 21st century, a meteorite collision plunged Earth into apocalypse, and the remnants of humanity went in two different directions to survive. The aristocratic Dobias headed into space, while the earthy Shioru went underground. Centuries later, they returned to Earth's surface and are now fighting for control of the planet—that is, when they're not busy fending off a new species of predators known simply as Creatures. Amidst this conflict, an elite team of five soldiers known as Geisters protects humanity from the Creatures and from each other. Although part of the Dobias, the Geisters have recently accepted a soldier of Shioru descent onto the team, and her take-charge personality leaves the other members unsure about her loyalty and usefulness to the group. With Dobias and Shioru tensions heating up on the political floor, Creatures running rampant, and a dangerous new weapon being developed in secret, the Geisters must maintain peace among themselves and the rest of society. (Source: Anime Crash)",[],Geisters: Fractions of the Earth,Guystars: Fractions of the Earth,,,['Military'],,,
