,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,Genre,Theme,Demographic,Demographics
53,ジョジョの奇妙な冒険,JoJo's Bizarre Adventure (2012),JoJo's Bizarre Adventure: Phantom Blood,JoJo's Bizarre Adventure,['TV'],26,Finished Airing,"Oct 6, 2012 to Apr 6, 2013",['Fall 2012'],Saturdays at 00:30 (JST),"['Yomiko Advertising', 'Warner Bros. Japan', 'KlockWorx', 'Studio Mausu', 'Medicos Entertainment', 'Shueisha', 'Imagine']","['VIZ Media', 'Warner Bros. Pictures']",['David Production'],['Manga'],"['Action', 'Adventure', 'Supernatural']","['Historical', 'Vampire']",24 min. per ep.,R - 17+ (violence & profanity),7.87,#878,#58,"1,743,029","38,219",1124257,"The year is 1868; English nobleman George Joestar and his son Jonathan become indebted to Dario Brando after being rescued from a carriage incident. What the Joestars don't realize, however, is that Dario had no intention of helping them; he believed they were dead and was trying to ransack their belongings. After Dario's death 12 years later, George—hoping to repay his debt—adopts his son, Dio. While he publicly fawns over his new father, Dio secretly plans to steal the Joestar fortune. His first step is to create a divide between George and Jonathan. By constantly outdoing his foster brother, Dio firmly makes his place in the Joestar family. But when Dio pushes Jonathan too far, Jonathan defeats him in a brawl. Years later, the two appear to be close friends to the outside world. But trouble brews again when George falls ill, as Jonathan suspects that Dio is somehow behind the incident—and it appears he has more tricks up his sleeve. [Written by MAL Rewrite]","['Sequel (TV) JoJo no Kimyou na Bouken Part 3: Stardust Crusaders', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 1: Phantom Blood', 'Adaptation (Manga) JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu', '']",JoJo no Kimyou na Bouken (TV),"JoJo no Kimyou na Bouken (2012), Battle Tendency, Phantom Blood, Sentou Chouryuu, JoJo's Bizarre Adventure The Animation",JoJo's Bizarre Adventure. Phantom Blood,,,['Shounen'],
54,サイコパス,Psycho-Pass,,,['TV'],22,Finished Airing,"Oct 12, 2012 to Mar 22, 2013",['Fall 2012'],Fridays at 00:45 (JST),"['Dentsu', 'Fuji TV', 'Nitroplus', 'Sony Music Entertainment', 'TOHO animation', 'Kyoraku Industrial Holdings']",['Funimation'],['Production I.G'],Original,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",23 min. per ep.,R - 17+ (violence & profanity),8.33,#254,#64,"1,686,077","39,516",806240,"Justice, and the enforcement of it, has changed. In the 22nd century, Japan enforces the Sibyl System, an objective means of determining the threat level of each citizen by examining their mental state for signs of criminal intent, known as their Psycho-Pass. Inspectors uphold the law by subjugating, often with lethal force, anyone harboring the slightest ill-will; alongside them are Enforcers, jaded Inspectors that have become latent criminals, granted relative freedom in exchange for carrying out the Inspectors' dirty work. Into this world steps Akane Tsunemori, a young woman with an honest desire to uphold justice. However, as she works alongside veteran Enforcer Shinya Kougami, she soon learns that the Sibyl System's judgments are not as perfect as her fellow Inspectors assume. With everything she has known turned on its head, Akane wrestles with the question of what justice truly is, and whether it can be upheld through the use of a system that may already be corrupt. [Written by MAL Rewrite]","['Sequel (TV) Psycho-Pass 2', 'Adaptation (Manga) Kanshikan Tsunemori Akane']",Psycho-Pass,Psychopath,,,,,
55,さくら荘のペットな彼女,The Pet Girl of Sakurasou,The Pet Girl of Sakurasou,The Pet Girl of Sakurasou,['TV'],24,Finished Airing,"Oct 9, 2012 to Mar 26, 2013",['Fall 2012'],Tuesdays at 00:30 (JST),"['Frontier Works', 'Genco', 'Media Factory', 'Animax', 'Mainichi Broadcasting System', 'ASCII Media Works', 'Sony Music Communications']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Drama', 'Romance']","['School', 'Visual Arts']",23 min. per ep.,PG-13 - Teens 13 or older,8.05,#602,#110,"1,282,772","26,217",725493,"At Suimei High, the Sakura-sou dormitory is infamous for housing the school's most notorious delinquents. Thus, when the relatively tame Sorata Kanda is transferred to the dorm, escaping this insane asylum becomes his foremost goal. Trapped there for the time being, he must learn how to deal with his fellow residents, including bubbly animator Misaki Kamiigusa, charming playboy writer Jin Mitaka, and the ever-reclusive Ryuunosuke Akasaka. Surrounded by weirdness, Sorata frequently finds respite in his interactions with his one ""normal"" friend, aspiring voice actress Nanami Aoyama. When Mashiro Shiina—a new foreign exchange student—joins the dormitory, Sorata is instantly enraptured by her beauty. Underneath her otherworldly appearance, Mashiro is an autistic savant, capable of world-renowned brilliance in her art, yet unable to perform simple daily tasks. After Sorata ends up in charge of taking care of Mashiro, the two inevitably grow closer, with Sorata's initial desire to escape the dormitory becoming a forgotten goal. Despite their eccentricities, every resident is incredible in their own field, leaving Sorata to contend with his own lack of any particular skill. With brilliance all around him, he thus strives to become an equal to their talent. Revolving around the hardships and joys of its colorful cast, Sakura-sou no Pet na Kanojo is a heartwarming coming-of-age tale of friendship, love, ambition, and heartbreak—through the lens of an ordinary person surrounded by the extraordinary. [Written by MAL Rewrite]","['Adaptation (Manga) Sakurasou no Pet na Kanojo', 'Adaptation (Light Novel) Sakurasou no Pet na Kanojo']",Sakura-sou no Pet na Kanojo,Sakurasou no Pet na Kanojo,The Pet Girl of Sakurasou,,,,
56,マギ The labyrinth of magic,Magi: The Labyrinth of Magic,,,['TV'],25,Finished Airing,"Oct 7, 2012 to Mar 31, 2013",['Fall 2012'],Sundays at 17:00 (JST),"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Mainichi Broadcasting System', 'Movic', 'GYAO!']",['Aniplex of America'],['A-1 Pictures'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,8.01,#652,#153,"1,080,022","9,384",567060,"A Magi is a magician whose inclination toward magic is so immense that they can be said to shape the world. With their significant influence, each Magi chooses a worthy candidate to become a king, then helps them conquer strange labyrinths called ""Dungeons"" and acquire the power of mythical djinns within. Above all else, the Magi supervises their elected representative as they build a country that might one day bring the world to its knees. Aladdin is a young Magi wandering the world in search of his true self. However, his journey is not a lonely one, as he is accompanied by his friend and mentor Ugo—a djinn he summons using his flute. In his travels, Aladdin also befriends Alibaba Saluja and guides him to a nearby Dungeon. With this newfound friendship, they begin an epic adventure across the world, witnessing various irregularities that seem more frequent than ever. [Written by MAL Rewrite]","['Prequel (TV) Magi: Sinbad no Bouken (TV)', 'Sequel (TV) Magi: The Kingdom of Magic', 'Adaptation (Manga) Magi', '']",Magi: The Labyrinth of Magic,Magi Season 1,,,,['Shounen'],
57,新世界より,From the New World,Shinsekai Yori: From the New World,Shinsekai Yori,['TV'],25,Finished Airing,"Sep 29, 2012 to Mar 23, 2013",['Fall 2012'],Saturdays at 00:30 (JST),"['Aniplex', 'TV Asahi', 'Pony Canyon']",['Sentai Filmworks'],['A-1 Pictures'],Novel,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Suspense']",,22 min. per ep.,R - 17+ (violence & profanity),8.25,#336,#256,"798,833","22,209",283302,"In the year 2011, a small percentage of humans began manifesting psychokinetic abilities known as ""Cantus."" Over a millennium later, in the small town of Kamisu 66, Saki Watanabe is the last of her friends to awaken her powers and join the Sage Academy, a school for psychics like her. Although everyone at the institution has Cantus, they are not all equal; shortly after Saki enrolls, one of her classmates who is regarded as being weaker than the others suddenly disappears. Walking home one day with her friends—the determined Maria Akizuki, the intelligent Shun Aonuma, the observant Satoru Asahina, and the timid Mamoru Itou—she comes across two unfamiliar creatures known as ""Monster Rats."" These beings resemble moles and worship those with Cantus as gods. As a result, when Saki uses her abilities to save one from trouble, she is met with exceptional gratitude. Now unsure about the Monster Rats' place in society, Saki and her friends find out about another disappearance. As time passes, they slowly look for answers to the mysteries that surround them and begin to realize that this seemingly ""perfect"" new world masks humanity's dark past. [Written by MAL Rewrite]","['Adaptation (Manga) Shinsekai yori', 'Adaptation (Novel) Shinsekai yori']",Shinsekai yori,Shin Sekai Yori,Shin Sekai Yori (Del Nuevo Mundo),,['Psychological'],,
58,絶園のテンペスト,Blast of Tempest,Blast of Tempest,Blast of Tempest,['TV'],24,Finished Airing,"Oct 5, 2012 to Mar 29, 2013",['Fall 2012'],Fridays at 02:00 (JST),"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Yahoo! Japan']",['Aniplex of America'],['Bones'],['Manga'],"['Action', 'Drama', 'Fantasy', 'Mystery', 'Suspense']","['Psychological', 'Urban Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.89,#851,#381,"612,362","6,558",266169,"Yoshino Takigawa, an ordinary teenager, is secretly dating his best friend Mahiro Fuwa's younger sister, Aika. But when Aika mysteriously dies, Mahiro disappears, vowing to find the one responsible and make them pay for murdering his beloved sister. Yoshino continues his life as usual and has not heard from Mahiro in a month—until he is confronted by a strange girl who holds him at gunpoint, and his best friend arrives in the nick of time to save him. Yoshino learns that Mahiro has enlisted the help of a witch named Hakaze Kusaribe to find Aika's killer. However, the witch has been banished to a deserted island due to infighting within her clan. Hakaze's brother, Samon, selfishly desires to make use of the Tree of Exodus' power, in spite of both his sister's opposition and the impending peril to the world. With Hakaze out of the picture, it is now up to Yoshino and Mahiro to help her save the world, all while inching ever closer to the truth behind Aika's death. [Written by MAL Rewrite]","['Adaptation (Manga) Zetsuen no Tempest', '']",Zetsuen no Tempest,Zetsuen no Tempest: The Civilization Blaster,Blast of Tempest,,,['Shounen'],
59,名探偵コナン,Case Closed,Case Closed,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,24 min.,PG-13 - Teens 13 or older,8.17,#433,#705,"360,699","15,330",164277,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,,['Detective'],['Shounen'],
60,バクマン。,Bakuman. Season 3,,,['TV'],25,Finished Airing,"Oct 6, 2012 to Mar 30, 2013",['Fall 2012'],Saturdays at 17:30 (JST),"['NHK', 'Shueisha']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,8.52,#132,#760,"337,857","2,959",198676,"Onto their third serialization, manga duo Moritaka Mashiro and Akito Takagi—also known by their pen name, Muto Ashirogi—are ever closer to their dream of an anime adaption. However, the real challenge is only just beginning: if they are unable to compete with the artist Eiji Niizuma in the rankings within the span of six months, they will be canceled. To top it off, numerous rivals are close behind and declaring war. They don't even have enough time to spare thinking about an anime! In Bakuman. 3rd Season, Muto Ashirogi must find a way to stay atop the colossal mountain known as the Shounen Jack rankings. With new problems and new assistants, the pair continue to strive for their dream. [Written by MAL Rewrite]","['Prequel (TV) Bakuman. 2nd Season', 'Prequel (Special) Bakuman. Deraman.', 'Adaptation (Manga) Bakuman.', '']",Bakuman. 3rd Season,Bakuman Season 3,,,['Otaku Culture'],['Shounen'],
61,銀魂' 延長戦,Gintama: Enchousen,,,['TV'],13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",['Fall 2012'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']","None found,",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,9.02,#10,#758,"338,354","3,100",171318,"While Gintoki Sakata was away, the Yorozuya found themselves a new leader: Kintoki, Gintoki's golden-haired doppelganger. In order to regain his former position, Gintoki will need the help of those around him, a troubling feat when no one can remember him! Between Kintoki and Gintoki, who will claim the throne as the main character? In addition, Yorozuya make a trip back down to red-light district of Yoshiwara to aid an elderly courtesan in her search for her long-lost lover. Although the district is no longer in chains beneath the earth's surface, the trio soon learn of the tragic backstories of Yoshiwara's inhabitants that still haunt them. With flashback after flashback, this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls. [Written by MAL Rewrite]","[""Prequel (TV) Gintama'"", 'Sequel (TV) Gintama°', 'Adaptation (Manga) Gintama', '']",Gintama': Enchousen,"Gintama' (2012), Gintama' Overdrive, Kintama",,,,['Shounen'],
62,ガールズ&パンツァー,Girls und Panzer,,Girls und Panzer,['TV'],12,Finished Airing,"Oct 9, 2012 to Mar 25, 2013",['Fall 2012'],Tuesdays at 01:00 (JST),"['Bandai Visual', 'Lantis', 'Movic', 'Showgate', 'Q-Tec', 'Hakuhodo DY Media Partners']",['Sentai Filmworks'],['Actas'],Original,,"['CGDCT', 'Military', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1840,#810,"316,579","5,836",155132,"""Senshadou"" is a traditional sport using World War II era tanks in elimination-based matches. Widely practiced by women and girls alike, it's advertised as a form of art geared towards making ladies more prominent in culture and appealing to men. Becoming a worldwide phenomenon over time, the influence of senshadou leads to the creation of a world championship which will soon be held in Japan. Miho Nishizumi, who comes from a lineage of well-respected senshadou specialists, is at odds with the sport after a traumatic event led to her retirement and eventually a rift to form between her and her family. To steer clear of the practice as much as possible, she transfers to Ooarai Girls Academy where the senshadou program has been abolished. However, with the news of the upcoming championships, the school revives their tankery program, and Miho is pushed into joining. Now, with the aid of some new friends, she must overcome her past and once again take command of a squadron of tanks in an effort to save her school from closure, all while proving to her family that the Nishizumi-style of senshadou is not solely about victory. [Written by MAL Rewrite]","['Sequel (Movie) Girls & Panzer Movie', 'Adaptation (Manga) Girls & Panzer', 'Adaptation (Light Novel) Girls & Panzer', '']",Girls & Panzer,"Garupan, Girls und Panzer",Girls und Panzer,['Action'],,,
63,リトルバスターズ!,Little Busters!,,,['TV'],26,Finished Airing,"Oct 6, 2012 to Apr 6, 2013",['Fall 2012'],Unknown,"['Warner Bros. Japan', 'Showgate']",['Sentai Filmworks'],['J.C.Staff'],Visual novel,"['Comedy', 'Drama']",,24 min. per ep.,PG-13 - Teens 13 or older,7.48,#2018,#878,"299,336","1,894",110648,"As a child, Riki Naoe shut himself from the world, thanks to a diagnosis of narcolepsy following the tragic deaths of his parents. However, Riki is saved when, one fateful day, a boy named Kyousuke recruits him into a team who call themselves the Little Busters. Accompanied by Masato, Kengo, and Rin, these misfits spend their childhood fighting evil and enjoying their youth. Years pass, and even in high school, the well-knit teammates remain together. Kyousuke decides to re-ignite the Little Busters by forming a baseball team as it will be his last school year with them. They have a problem though: there aren't enough members! The tables have turned, for it is now Riki's turn to reach out and recruit new friends into the Little Busters, just like Kyousuke had once done for him. Then, an omen surfaces—Rin finds a strange letter attached to her cat, assigning them the duty of uncovering the ""secret of this world"" by completing specific tasks. Just what is this secret, and why is it being hidden? It's up to the Little Busters to find out! [Written by MAL Rewrite]","['Sequel (TV) Little Busters! Refrain', 'Adaptation (Manga) Little Busters!', 'Adaptation (Manga) Little Busters!', 'Adaptation (Light Novel) Little Busters!']",Little Busters!,LB!,,,['School'],,
64,キングダム,Kingdom,,,['TV'],38,Finished Airing,"Jun 4, 2012 to Feb 25, 2013",['Summer 2012'],Mondays at 19:00 (JST),"['NHK', 'Sogo Vision']",['Funimation'],['Pierrot'],['Manga'],,"['Historical', 'Military']",25 min. per ep.,R - 17+ (violence & profanity),7.89,#843,#1104,"235,489","2,024",81436,"China’s Warring States period, a raging dragon that would raze the land for 500 years, saw many kingdoms rise and fall, making way for the next generation of kings and generals to fight for supremacy. Eventually, seven powerful states emerged from the endless cycle of warfare. In the kingdom of Qin, Xin, a war-orphaned slave, trains vigorously with fellow slave and best friend, Piao, who shares his proud dream of one day becoming a Great General of the Heavens. However, the two are suddenly forced to part ways when Piao is recruited to work in the royal palace by a retainer of the King. After a fierce coup d'état unfolds, Piao returns to Xin, half dead, with a mission that will lead him to a meeting with China's young King, Ying Zheng, who bears a striking resemblance to Piao. Kingdom follows Xin as he takes his first steps into the great blood-soaked pages of China's history. He must carve his own path to glory on his long quest to become a Great General of the historic Seven Warring States. [Written by MAL Rewrite]","['Sequel (TV) Kingdom 2nd Season', 'Adaptation (Manga) Kingdom']",Kingdom,,,['Action'],,['Seinen'],
65,宇宙兄弟,Space Brothers,Space Brothers,Space Brothers,['TV'],99,Finished Airing,"Apr 1, 2012 to Mar 22, 2014",['Spring 2012'],Sundays at 07:00 (JST),"['Yomiuri Telecasting', 'Trinity Sound']",['Sentai Filmworks'],['A-1 Pictures'],['Manga'],,"['Adult Cast', 'Space', 'Workplace']",24 min. per ep.,PG-13 - Teens 13 or older,8.48,#150,#1271,"201,169","3,888",54185,"On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars. Now an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago. [Written by MAL Rewrite]","['Prequel (Movie) Uchuu Kyoudai: Number Zero', 'Adaptation (Manga) Uchuu Kyoudai']",Uchuu Kyoudai,Uchuu Kyodai,Uchuu Kyoudai: Space Brothers,['Comedy'],,['Seinen'],
66,ロボティクス・ノーツ,Robotics;Notes,,,['TV'],22,Finished Airing,"Oct 12, 2012 to Mar 22, 2013",['Fall 2012'],Fridays at 01:15 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Nitroplus', 'Fujipacific Music', 'MAGES.']",['Funimation'],['Production I.G'],Visual novel,"['Drama', 'Mystery', 'Sci-Fi']","['Mecha', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,7.31,#2805,#1393,"182,613",586,76832,"It has always been the aspiration of the Central Tanegashima High School Robotics Research Club to complete the GunPro1, a fully functioning giant robot. For years, the members of the club have contributed to its progress and it is now Akiho Senomiya's goal to finally make the dream of all the past club members become a reality. However, things are not as easy as they seem as the club lacks the funding for such a huge endeavor. Aside from that, the only other club member, Kaito Yashio, shows no interest in assisting his childhood friend and instead indulges in playing mecha-fighting games on his ""PokeCom."" As Kaito is in the middle of wasting his days, he receives an indecipherable message and hears a voice that seems to be drowned out by the noise of static. He searches for the source, only to realize that it came from Airi Yukifune, an AI which only exists within the augmented reality system accessible via the PokeCom. Robotic;Notes follows the story of Kaito as he discovers a peculiar report in Airi's database, one that would have disastrous consequences in the future. [Written by MAL Rewrite]","['Adaptation (Manga) Robotics;Notes', '']",Robotics;Notes,,,,,,
67,頭文字 D Fifth Stage,,,,['TV'],14,Finished Airing,"Nov 4, 2012 to May 10, 2013",['Fall 2012'],Unknown,"['Avex Entertainment', 'Animax']","None found,",['SynergySP'],['Manga'],"['Action', 'Drama']",,27 min. per ep.,PG-13 - Teens 13 or older,8.11,#518,#1571,"160,342",793,84000,"After earning a series of difficult victories in the prefectures of Tochigi, Saitama, and Ibaraki, the drivers of Project D—an amateur street driving group led by ex-street driver and expert tactician Ryousuke Takahashi—Takumi Fujiwara and Keisuke Takahashi now have to take Project D to the next level: the Kanagawa prefecture, commonly known as the holy land of street racing. Their opponents, members of the three best street racing teams of Kanagawa, design an elaborate strategy called the ""Four Lines of Defense"" to put a definitive end to the ambitions of Project D. Meanwhile, Takumi feels he needs to refine his driving skills to overcome the last victory against Toshiya Joushima that he only just managed to snatch. The moment of truth has now come for Project D, which carries with it the hopes of the Gunma Prefecture; will they manage to thwart the surprising tactics of the skilled street racers of Kanagawa? [Written by MAL Rewrite]","['Prequel (TV) Initial D Fourth Stage', 'Sequel (TV) Initial D Final Stage', 'Adaptation (Manga) Initial D', '']",Initial D Fifth Stage,,,,['Racing'],['Seinen'],
68,トリコ,Toriko,,,['TV'],147,Finished Airing,"Apr 3, 2011 to Mar 30, 2014",['Spring 2011'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV', 'Shueisha']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1924,#1795,"134,186",877,52976,"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients. Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself! [Written by MAL Rewrite]","['Prequel (Movie) Toriko 3D: Kaimaku Gourmet Adventure!!', 'Adaptation (Manga) Toriko']",Toriko,"Toriko (2011), Toriko (TV), Toriko x One Piece Collabo Special",,,,['Shounen'],
69,イクシオン サーガ DT,,Ixion Saga: Dimensional Transfer,Ixion Saga: Dimensional Transfer,['TV'],25,Finished Airing,"Oct 8, 2012 to Apr 1, 2013",['Fall 2012'],Mondays at 01:05 (JST),"['Sotsu', 'Genco']","None found,","[""Brain's Base""]",Game,"['Action', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.13,#3754,#1978,"118,003",385,48220,"One day as Kon Hokaze is playing an MMORPG, he receives a request from a female character in the game. He thinks that he has lucked out and found a girlfriend online, but suddenly he finds himself transported into the world of Mira where he accidentally saves a young princess by landing on her attacker with his swivel chair. With no idea how he got there nor how to get back to his own world, Kon tags along with the princess as part of her honor guard while a militant faction of the princess's own country seeks to capture her before she can complete her arranged marriage. (Source: Wikipedia)","['Adaptation (Manga) Ixion Saga ED', '']",Ixion Saga DT,Ixion Saga: Dimensional Transfer,Ixion Saga: Dimensional Transfer,,['Isekai'],,
70,ナルトSD ロック・リーの青春フルパワー忍伝,Naruto Spin-Off: Rock Lee & His Ninja Pals,,Naruto Spin-Off: Rock Lee & His Ninja Pals,['TV'],51,Finished Airing,"Apr 3, 2012 to Mar 26, 2013",['Spring 2012'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Comedy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3524,#2194,"102,505",307,51212,"The competitive shinobi world has proven to be challenging for Rock Lee, who lacks the typically required abilities. To compensate for this handicap, the young ninja tenaciously endures severe training to hone his hand-to-hand combat skills. Whenever necessary, he also resorts to creative fighting techniques. With the constant support of his teammates Neji Hyuuga and Tenten, Lee readily embraces daring adventures as opportunities to advance on his path toward excellence. [Written by MAL Rewrite]","['Adaptation (Manga) Rock Lee no Seishun Full-Power Ninden', '']",Naruto SD: Rock Lee no Seishun Full-Power Ninden,,Rock Lee no Seishun Full-Power Ninden,,['Parody'],['Shounen'],
71,しろくまカフェ,Polar Bear Cafe,Poler Bear's Cafe,,['TV'],50,Finished Airing,"Apr 5, 2012 to Mar 28, 2013",['Spring 2012'],Thursdays at 17:30 (JST),"['TV Tokyo', 'Avex Entertainment']","None found,",['Pierrot'],['Manga'],,"['Anthropomorphic', 'Iyashikei', 'Workplace']",24 min. per ep.,G - All Ages,7.89,#849,#2253,"98,021",988,24317,"Situated near the local zoo and owned by the charismatic polar bear Shirokuma, Shirokuma Cafe is a popular spot for animals and humans alike, allowing them to sit back and relax after a hard day of work. Whether it's a cold beverage or the latest item on his menu, Shirokuma finds joy in being able to serve his customers, often striking up conversations about various subjects. Together with the sarcastic Penguin and the clumsy Panda, they form an odd trio who get themselves caught up in all sorts of misadventures with their other friends such as Grizzly, a bar owner, and Sasako, a human who works at the cafe. From dealing with unrequited love, outdoor camping trips, karaoke sessions, and even the secret to brewing delicious coffee, there's always something bound to be happening in Shirokuma Cafe! [Written by MAL Rewrite]","['Adaptation (Manga) Shirokuma Café', '']",Shirokuma Cafe,"Polar Bear Café, Shirokuma Café",Shirokuma Cafe: Polar Bear´s Cafe,['Slice of Life'],,['Josei'],
72,クレヨンしんちゃん,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,21 min.,G - All Ages,7.80,#1028,#2401,"88,030","1,330",42177,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,,['School'],['Seinen'],
73,イナズマイレブンGO クロノ・ストーン,Inazuma Eleven Go: Chrono Stones,,,['TV'],51,Finished Airing,"Apr 18, 2012 to May 1, 2013",['Spring 2012'],Wednesdays at 19:00 (JST),"None found,","None found,",['OLM'],Game,,"['Super Power', 'Team Sports', 'Time Travel']",23 min. per ep.,G - All Ages,7.28,#2938,#2937,"63,049",381,37764,"Inazuma Eleven Go: Chrono Stone is set after the Holy Road Soccer Tournament. The hero of of the moment, Tenma Matsukaze, traveled all over Japan to teach soccer to kids. He returns to Raimon Junior High School after completing his mission, but to his surprise, it's no longer the same Raimon Junior High that he remembers. The soccer club is non-existent, and the members of the champion team in the Holy Road Soccer Tournament have no recollection of taking part in the tournament. They neither remember Tenma nor the game of soccer they loved. As Tenma is baffled by this twist, Alpha, the leader of the Route Agents and captain of Protocol Omega team, suddenly appears before him. Alpha declares that he and his team are responsible for wiping out passion for soccer in Raimon along with the memories of the soccer club members: and Tenma himself is next. That's when a strange boy named Fei Rune appears just in time to save him. Just who is Fei, and why does Alpha want to eliminate soccer for good? Tenma knows that he needs to do everything in his power to emerge victorious. It's a battle that could seal the fate of soccer forever.","['Prequel (TV) Inazuma Eleven Go', 'Sequel (TV) Inazuma Eleven Go: Galaxy']",Inazuma Eleven Go: Chrono Stone,,,['Sports'],,,
