,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,Genre,Theme,Demographic,Demographics
10,絶対可憐チルドレン THE UNLIMITED 兵部京介,Unlimited Psychic Squad,The Unlimited Hyobu Kyosuke,The Unlimited Hyobu Kyosuke,['TV'],12,Finished Airing,"Jan 8, 2013 to Mar 26, 2013",['Winter 2013'],Unknown,"['TV Tokyo', 'Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']",['Sentai Filmworks'],['Manglobe'],['Manga'],,,24 min. per ep.,R - 17+ (violence & profanity),7.45,#2164,#1580,"158,792",466,62472,"Kyousuke Hyoubu, an ESPer who was betrayed many years ago, is now one of the most powerful ESPers—and also a fugitive. However, behind that glare lies a kind heart. His main mission is to save ESPers who are mistreated by humans, even if that be by force. Through his methods, he has saved many ESPer lives and gained the loyalty of those he has saved. The name of his group: P.A.N.D.R.A. (Source: ANN)","['Adaptation (Manga) The Unlimited: Hyoubu Kyousuke', '']",Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,The Unlimited Hyobu Kyosuke,The Unlimited Hyobu Kyousuke,['Action'],['Super Power'],['Shounen'],
11,閃乱カグラ,Senran Kagura: Ninja Flash,,Senran Kagura: Ninja Flash,['TV'],12,Finished Airing,"Jan 6, 2013 to Mar 24, 2013",['Winter 2013'],Sundays at 20:30 (JST),"['Genco', 'Lantis', 'Media Factory', 'AT-X', 'Marvelous AQL', 'Showgate']",['Funimation'],['Artland'],Game,"['Action', 'Comedy', 'Ecchi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.27,#8464,#1717,"141,657",288,43566,"At the renowned Hanzo Academy, a select group of students trains in secret to become ninjas of an elite clan known as the Shinobi Masters. Following her grandfather's footsteps, the hopeful Asuka undergoes this intensive training alongside her distinctive group of friends: Ikaruga, Katsuragi, Yagyuu, and Hibari. Relentlessly studying the secret ninja arts, they hone their skills in the hopes of one day becoming full-fledged female ninjas. Senran Kagura follows the girls as they fight valiantly against a mysterious new evil terrorizing Hanzo Academy. Dressed in tight clothing, they must prove their worth and protect the academy from its adversaries before it is too late! [Written by MAL Rewrite]","['Sequel (TV) Senran Kagura Shinovi Master: Tokyo Youma-hen', 'Adaptation (Manga) Senran Kagura: Shoujo-tachi no Shinei']",Senran Kagura,Senran Kagura,Senran Kagura: Ninja Flash!,,['School'],,
12,戦勇。,,Senyu,Senyu,['TV'],13,Finished Airing,"Jan 9, 2013 to Apr 3, 2013",['Winter 2013'],Unknown,"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Barnum Studio', 'Dwango', 'Good Smile Company']","None found,","['Ordet', 'LIDENFILMS']",['Web manga'],"['Action', 'Comedy', 'Fantasy']",,4 min. per ep.,PG-13 - Teens 13 or older,7.27,#2985,#1972,"118,453",633,53509,"Once upon a time, the demon lord Rchimedes spread terror throughout the world, until he was eventually sealed away by the legendary hero Creasion. Since then, a thousand years have passed peacefully. However, a mysterious hole has opened up between the demon and human spheres, and countless demons have surged into the human realm once more. Coming to the conclusion that Rchimedes would soon return to wreak havoc, a human king summons the possible descendants of the legendary hero—all 75 of them. Unfortunately, after so long, it was too difficult to pinpoint his true descendants. Among the lionhearted prospects is the amateur adventurer Alba Frühling. His skills may not be top-notch, but he is accompanied by the talented soldier Ross, who helps the young hero whenever he is in a pinch...or at least, he is supposed to. Though undoubtedly a skilled warrior, Ross is actually both sarcastic and sadistic, and hence revels in Alba's suffering. Senyuu. is a comedic adventure following the unlikely duo as they struggle in their endeavor to defeat the demon lord, meeting various eccentrics along the way. [Written by MAL Rewrite]","['Sequel (TV) Senyuu. 2', 'Adaptation (Manga) Senyuu.']",Senyuu.,Senyu.,Senyu,,['Parody'],['Shounen'],
13,八犬伝 -東方八犬異聞-,Hakkenden -Eight Dogs of the East-,Hakkenden: Eight Dogs of The East,Hakkenden: Eight Dogs of The East,['TV'],13,Finished Airing,"Jan 6, 2013 to Mar 31, 2013",['Winter 2013'],Sundays at 02:58 (JST),"['Bandai Visual', 'Frontier Works', 'Lantis', 'Movic', 'DAX Production', 'Sony PCL']",['Sentai Filmworks'],['Studio Deen'],['Manga'],"['Action', 'Fantasy', 'Mystery']",,24 min. per ep.,PG-13 - Teens 13 or older,7.38,#2452,#1989,"117,590",716,44213,"The village of Ootsuka—home to Shino Inuzuka, Sousuke Inukawa, and Hamaji—was lit on fire under the preconception that a virus had seen all of its life eradicated. Now surrounded by flames and on the verge of death, the three were approached by a strange man holding a sword. He tells them that they must reach a decision if they want to live. That night changed everything for these children. Five years later, the family of three now lives under the watchful eye of the small Imperial Church in a nearby village. All is fine and dandy until the Church attempts to reclaim the demonic sword of Murasame. To accomplish this, they kidnap Hamaji to lure Shino, now a bearer of Murasame's soul, and Sousuke, who possesses the ability to transform into a dog. The brothers must put their differences aside to rescue their beloved sister from the Church in the Imperial Capital, signalling the beginning of a very difficult journey.","['Sequel (TV) Hakkenden: Touhou Hakken Ibun 2nd Season', 'Adaptation (Manga) Hakkenden: Touhou Hakken Ibun']",Hakkenden: Touhou Hakken Ibun,Hakkenden: Touhou Hakken Ibun,Hakkenden: Eight Dogs of The East,,['Mythology'],['Shoujo'],
14,キューティクル探偵因幡,Cuticle Detective Inaba,Cuticle Detective Inaba,Cuticle Detective Inaba,['TV'],12,Finished Airing,"Jan 4, 2013 to Mar 22, 2013",['Winter 2013'],Fridays at 23:30 (JST),"['Frontier Works', 'Media Factory', 'AT-X', 'Showgate', 'BIGLOBE']",['Sentai Filmworks'],['Zexcs'],['Manga'],"['Comedy', 'Fantasy', 'Mystery']","['Detective', 'Gag Humor', 'Organized Crime', 'Urban Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.24,#3163,#2082,"110,436",430,38256,"In a world where half-human, half-animal chimeras live and work alongside normal people, there are sure to be a few bad apples in the bunch. Unfortunately, half-human criminals means non-human clues that often leave the police stumped. That's where lone wolf detectives like Hiroshi Inaba come in. He's literally part wolf and has the amazing ability to extract critical information just by examining or tasting a sample of someone's hair! Of course, that ability has also resulted in Inaba having a little bit of a hair fetish, but that doesn't seem to be a problem for his two assistants. (Well, at least the cross-dressing one isn't complaining much.) And it's nothing compared to the strange tastes of Inaba's nemesis, the omnivorous (and half goat) crime boss Don Valentino, who has an appetite for green legal tender instead of tender young greens! Inaba's sworn to cut Valentino out of the criminal flock before the Don can wolf down more ill-gotten dough, but he's going to have to chew his way through a lot of evidence to get his goat. Can sheer dogged detective work put the baaaaad guys behind bars? (Source: Sentai Filmworks)","['Adaptation (Manga) Cuticle Tantei Inaba', '']",Cuticle Tantei Inaba,,Cuticle Detective Inada,,,['Shounen'],
15,ヤマノススメ,Encouragement of Climb,Encouragement of Climb,,['TV'],12,Finished Airing,"Jan 3, 2013 to Mar 21, 2013",['Winter 2013'],Thursdays at 01:30 (JST),['Earth Star Entertainment'],"None found,",['8bit'],['Manga'],"['Adventure', 'Slice of Life']","['CGDCT', 'Iyashikei']",3 min. per ep.,PG-13 - Teens 13 or older,6.84,#5162,#2384,"88,985",199,31316,"As a child, Aoi Yukimura adored mountains and was passionate about climbing. However, a playground accident has since left her afraid of heights, turning her toward indoor hobbies. Unfortunately, now a shy and timid first-year high school student, Aoi has become so absorbed in these pastimes that she can barely socialize with others, leaving her practically friendless. It is only when she runs into the lively Hinata Kuraue, an old friend from her climbing days, that things start to change. Impulsive and high-spirited, Hinata insists on having Aoi join her in all sorts of climbing activities. Though reluctant at first, Aoi quickly finds that her time with Hinata brings back fond memories of their childhood and soon decides to start climbing again. As the return to her past hobby starts to bring her out of her shell, Aoi finds herself gaining close friends, taking on new challenges, and continuing to find her own encouragement to climb. [Written by MAL Rewrite]","['Sequel (Special) Yama no Susume: Kabe tte Kowakunai no?', 'Adaptation (Manga) Yama no Susume']",Yama no Susume,,,,,,
16,ささみさん@がんばらない,,,,['TV'],12,Finished Airing,"Jan 11, 2013 to Mar 29, 2013",['Winter 2013'],Fridays at 01:25 (JST),"['Aniplex', 'TBS']",['Sentai Filmworks'],['Shaft'],['Light novel'],"['Comedy', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,6.66,#6143,#2479,"83,900",147,28476,"The Japanese call them hikikomori—people who've become so withdrawn socially that they refuse to leave their homes for weeks and even months at a time. For Sasami Tsukuyomi, who's attempting to pass her first year of high school despite being a shut in, it's more than just a word. Fortunately though, she lives with her older brother Kamiomi, who just happens to be a teacher at the school Sasami is supposed to attend. Not to mention, her ""Brother Surveillance Tool"" which lets her view the outside world via her computer and will, theoretically, allow her to readjust to interfacing with people again. What it mainly does, however, is let her view her brother's interactions with the three very odd Yagami sisters, who inexplicably seem to have had their ages reversed and have various types of ""interest"" in Kamiomi. And then things start to get really weird... Magical powers? Everything turning into chocolate? Is life via the web warping Sasami's brain, or is it the universe that's going crazy? (Source: Sentai Filmworks)","['Adaptation (Manga) Sasami-san@Ganbaranai', 'Adaptation (Light Novel) Sasami-san@Ganbaranai']",Sasami-san@Ganbaranai,"Sasami-san at Ganbaranai, Sasami-san@Unmotivated",,,,,
17,ビビッドレッド・オペレーション,Vividred Operation,,,['TV'],12,Finished Airing,"Jan 11, 2013 to Mar 29, 2013",['Winter 2013'],Fridays at 01:30 (JST),"['Aniplex', 'Mainichi Broadcasting System']",['Aniplex of America'],['A-1 Pictures'],Original,"['Action', 'Sci-Fi', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,6.43,#7521,#2810,"68,326",103,27896,"Situated on Blue Island, the Manifestation Engine has been the answer to the world's energy problem for five years. On the neighboring island of Izu Ooshima reside the cheerful Akane Isshiki, her dependable little sister Momo, and her grandfather Kenjirou, one of the inventors of the Manifestation Engine. As they live peacefully alongside the powerful creation, it all seems like a dream until mysterious entities known as the ""Alone"" appear seeking to destroy it. With military forces failing to repel the invaders, Kenjirou grants Akane a special key containing the ""Vivid System""—empowering her to fight the Alone. Joined by Aoi Futaba, Wakaba Saegusa, and Himawari Shinomiya, Akane and her friends stand together in the battle against the unforeseen enemy as the last hope for humanity. [Written by MAL Rewrite]","['Adaptation (Manga) Vividred Operation', '']",Vividred Operation,,,,,,
18,みなみけ ただいま,,,,['TV'],13,Finished Airing,"Jan 6, 2013 to Mar 31, 2013",['Winter 2013'],Sundays at 01:00 (JST),"None found,",['Funimation'],['feel.'],['Manga'],,"['CGDCT', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.64,#1459,#3032,"59,397",85,26071,"The everyday lives of the Minami sisters continue. Chiaki, the youngest, continues to call people idiots while worshipping her eldest sister. Kana, the middle, still can't figure out that Fujioka's feelings for her are a crush, not a grudge. Haruka, the eldest, still unknowingly avoids Hosaka's advances to invite her to the volleyball team, and after a long day of excitement, the sisters enjoy sitting at the table at their home. (Source: ANN)","['Prequel (OVA) Minami-ke Omatase', 'Sequel (OVA) Minami-ke Natsuyasumi', 'Adaptation (Manga) Minami-ke', '']",Minami-ke Tadaima,Minami-ke 4th Season,,['Comedy'],,['Seinen'],
19,ポケットモンスター ベストウイッシュ シーズン2 エピソードN,Pokémon: Black & White: Adventures in Unova,Pokémon la Série Staffel 16: Noir et Blanc,Pokémon la Série Saison 16: Noir et Blanc,['TV'],14,Finished Airing,"Jan 17, 2013 to Apr 18, 2013",['Winter 2013'],Thursdays at 19:00 (JST),['TV Tokyo'],['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,22 min. per ep.,PG - Children,6.69,#5974,#3241,"51,977",33,28314,"Following the Isshu League Higaki Tournament, Satoshi and friends set out on a new journey towards the 'White Ruins' discovered by Professor Araragi's father, a place connected to Reshiram, a Pokémon called legendary. There, they meet the mysterious youth N, who claims he can understand what Pokémon are saying. And then the group gets involved in an ominous experiment on Pokémon conducted by the Plasma Gang! Through the works of the mysterious scientist Achroma, even Pikachu and Kibago become hostile towards Satoshi and friends!? What are the true ambitions of the Plasma Gang's leader Ghetsis, who reveals the gang has been searching for N!? And then, the Rocket Gang trio makes their return to the Isshu Region!! Their current mission puts them at odds with the Plasma Gang... how will the resulting battle turn out!? (Source: Official press release; translation from PocketMonsters.net)","['Prequel (TV) Pokemon Best Wishes! Season 2', 'Sequel (TV) Pokemon Best Wishes! Season 2: Decolora Adventure']",Pokemon Best Wishes! Season 2: Episode N,Pocket Monsters: Best Wishes! 2 - Episode N,Pokémon Negro Y Blanco Aventuras En Unova Y Más Allá .,,,['Kids'],
