,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Themes,Demographic,German,Demographics
0,"Boogiepop Never Laughs, Boogiepop Doesn't Laugh",ブギーポップは笑わない Boogiepop Phantom,Boogiepop Phantom,Boogiepop Phantom,Boogiepop Phantom,['TV'],12,Finished Airing,"Jan 5, 2000 to Mar 22, 2000",['Winter 2000'],Thursdays at 01:45 (JST),"['VAP', 'd-rights']",['Nozomi Entertainment'],['Madhouse'],['Light novel'],"['Avant Garde', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Suspense']",['Psychological'],24 min. per ep.,R+ - Mild Nudity,7.15,#3641,#1696,"144,343","1,198",36159,"Boogiepop, a rumored shinigami, is said to lurk where they cannot be seen. Five years ago, a string of gruesome murders shocked the populace, and students attributed some of those killings to the aforementioned death god. When mysterious happenings once again affect the lives of those attending Hijiridani High School and Shinyo Academy, whispers of the enigmatic Boogiepop are resurrected. The stories being told may contain partial truths, or perhaps the world as humans know it is more dangerous than previously believed. [Written by MAL Rewrite]","['Adaptation (Manga) Boogiepop wa Warawanai', 'Adaptation (Manga) Yoake no Boogiepop', 'Adaptation (Light Novel) Boogiepop Series', '']",Boogiepop wa Warawanai,,,,,
1,"Ojamajo Doremi #, Useless Witch Doremi Sharp",おジャ魔女どれみ＃,,,,['TV'],49,Finished Airing,"Feb 6, 2000 to Jan 28, 2001",['Winter 2000'],Sundays at 08:30 (JST),['Asahi Broadcasting'],"None found,",['Toei Animation'],Original,,,24 min. per ep.,G - All Ages,7.46,#2127,#4782,"23,880",118,11751,"At the end of the first season, Doremi and her friends all had to give up their witch powers and be normal girls again. This also meant that they couldn't see Majorika, Lala, and the fairies again. The MAHO-Dou was also deserted and the door to the Majokai was locked. The Queen, having seen all this through her crystal ball, secretly makes it so that Doremi and co. all end up heading into the Majokai again, with the excuse to return Majorika's hair dryer. However they end up stumbling into a garden, and one of the roses reveals a baby! The Queen tells the girls that they must raise the baby for a whole year. To help them, they receive newer and stronger witch powers than before! The adventure isn't over yet!","['Prequel (TV) Ojamajo Doremi', 'Sequel (TV) Motto! Ojamajo Doremi']",Ojamajo Doremi Sharp,['Comedy'],"['Childcare', 'Mahou Shoujo']",,,
2,Pilot Candidate,女神候補生,Candidate for Goddesses,,,['TV'],12,Finished Airing,"Jan 10, 2000 to Mar 27, 2000",['Winter 2000'],Mondays at 18:00 (JST),"['Bandai Visual', 'ING']","['Bandai Entertainment', 'Discotek Media']",['Xebec'],['Manga'],"['Action', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.32,#8169,#4801,"23,535",52,11103,"In the future humankind has expanded and colonized other planets. Then an alien species, Victim, attacks the human colonies leaving only one planet, Zion. In an effort to stop Victim from destroying the last planet a training school, GOA, is set up to gather boys from the Zion colonies and train them to become pilots of the Ingrids AKA The Goddesses, five fighting robots that protect Zion. The boys must possess a rare blood type, EO, as well as a special ability, or EX. Zero (Candidate 88) has just arrived in GOA when he falls into the cockpit of the Ingrid Eeva-Leena. Since the synch between pilot and Ingrid are very sensitive everyone believes the Goddess will kill Zero in an attempt to synch. Just before Zero passes out he makes a full synch with the Goddess. Before he can find out more about the incident, his pilot training begins. (Source: ANN)","['Adaptation (Manga) Megami Kouhosei', '']",Megami Kouhosei,,"['Mecha', 'Military', 'Space']",,,
3,"Wind-borne Moon-lit Ran, The Samurai Girl",風まかせ月影蘭,Carried by the Wind: Tsukikage Ran,,,['TV'],13,Finished Airing,"Jan 26, 2000 to Apr 19, 2000",['Winter 2000'],Wednesdays at 19:00 (JST),['Bandai Visual'],['Bandai Entertainment'],['Madhouse'],Original,"['Adventure', 'Comedy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.09,#3924,#5299,"18,577",87,6293,"In the Edo or Tokugawa period (1600–1868), Ran, a female wandering samurai whose skill with the katana is only matched by her taste for sake (rice wine), is joined by a chinese martial artist who calls herself Lady Meow of the Iron Cat Fist. Tsukikage Ran has individual episodes that are just short stories of their adventures.","['Adaptation (Manga) Kazemakase Tsukikage Ran', '']",Kazemakase Tsukikage Ran,,"['Historical', 'Martial Arts', 'Samurai']",,,
4,,マシュランボー,Shinzo,,Shinzo,['TV'],32,Finished Airing,"Feb 5, 2000 to Sep 23, 2000",['Winter 2000'],Saturdays at 18:28 (JST),"['TV Asahi', 'Toei Advertising']",['Saban Entertainment'],['Toei Animation'],Original,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG - Children,6.93,#4684,#5444,"17,231",82,8578,"In the world of Mushrambo, human life has all but come to an end. After a deadly virus threatened the extinction of mankind, a new race called the Enterrans was created to preserve life on Earth. However, relations between the Enterrans and their creators did not remain peaceful. Soon a war broke out with the Enterrans fighting against the humans and their robots. Ultimately the Enterrans were the victors of this conflict, renaming Earth as Enterra in honor of their victory. Before the last vestiges of humanity fell, one of the few remaining scientists put his daughter, Yakumo Shindou, into a sleep chamber. His hope was that his daughter would one day reawaken and find the human sanctuary known as Shinzo, reviving humanity and restoring peace between humans and Enterrans. Centuries have passed since the war; Yakumo now awakens and meets an Enterran named Mashura who pledges to assist in her quest. Also joined by the Enterrans Sago and Kutal, the group must now work to locate Yakumo's missing memories and locate Shinzo. But not every Enterran is as kind as Yakumo's new friends and some are prepared to commit any atrocity to prevent the return of humanity.","['Adaptation (Manga) Mushrambo', '']",Mushrambo,,,,,
5,,POPEE the ぱフォーマー,Popee the Clown,,,['TV'],39,Finished Airing,"Jan 3, 2000 to Dec 28, 2001",['Winter 2000'],Mondays at 20:53 (JST),"['Kids Station', 'Nippon Columbia']","None found,",['Zuiyo'],Original,"['Avant Garde', 'Comedy']",['Gag Humor'],4 min. per ep.,R - 17+ (violence & profanity),7.27,#2980,#6258,"12,007",333,5261,"Somewhere in the desert lies the Wolf Zirkus: a strange circus where Popee, a clown in a pink rabbit jumpsuit, shares the stage with Kedamono, a purple creature who wears a mask. Together, they juggle the whims of performing, practicing their acts, and poking fun at each other. In a world where anything seems possible, there is no telling what will happen next during this eccentric spectacle. [Written by MAL Rewrite]",[],Popee the Performer,,,,,
6,,マイアミ☆ガンズ,,,,['TV'],13,Finished Airing,"Feb 5, 2000 to May 20, 2000",['Winter 2000'],Sundays at 01:45 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'TOHO']",['AN Entertainment'],['Group TAC'],['Manga'],"['Comedy', 'Ecchi']",['Detective'],24 min. per ep.,R - 17+ (violence & profanity),6.43,#7500,#7338,"8,222",19,2762,"Spoiled rich girl Yao Sakurakouji decides to join the Miami police force to enjoy car chases, gunfights and wanton destruction. The psychotic and not-too-bright Yao is partnered with Lu Amano, the soft-spoken and sharp-tongued daughter of the police chief. Together the dirty duo clean up the streets of Miami and take on a mysterious crime syndicate known only as 'The Organization'. (Source: ANN)","['Adaptation (Manga) Miami☆Guns', '']",Miami Guns,,,['Shounen'],,
7,,OH! スーパーミルクチャン,The Super Milk-Chan Show,,,['TV'],12,Finished Airing,"Jan 27, 2000 to Apr 13, 2000",['Winter 2000'],Thursdays at 18:30 (JST),"['Genco', 'Pioneer LDC', 'Space Shower Music']",['ADV Films'],['Pierrot'],Original,"['Action', 'Comedy', 'Sci-Fi']",['Parody'],21 min. per ep.,R - 17+ (violence & profanity),6.06,#9617,#8142,"6,324",41,2796,"Milk-chan is a drooling, potty-mouthed baby who lives in an apartment with an obsolete robot named Tetsuko, a slug named Hanage, and an uncontrollable pet named Robodog. Whenever the President calls, Milk-chan and the gang rush to the scene to solve any type of problem - whether it's stopping a money counterfeiter hungry for Belgian waffles or counselling a school of drunk fish. At the same time, they have to avoid a nagging landlord, as they're six months behind their rent. (Source: ANN)","['Prequel (TV) Super Milk-chan', '']",Oh! Super Milk-chan,,,,,
8,Rokumon Tengai Monkore Knight,六門天外モンコレナイト,Six Gates Faraway Mon Colle Knights,Los Caballeros del Mundo Mon,Mon Colle Knights,['TV'],51,Finished Airing,"Jan 10, 2000 to Dec 25, 2000",['Winter 2000'],Mondays at 18:00 (JST),"None found,",['Discotek Media'],['Studio Deen'],Card game,"['Adventure', 'Comedy', 'Fantasy']",['Parody'],25 min. per ep.,G - All Ages,6.43,#7512,#8351,"5,945",17,2389,"Two mad scientists, Professor Hiiragi and Count Collection, simultaneously manage to open a dream hole to an alternate world where myths are real, the Sixgate world. Professor Hiiragi recruits his daughter Rokuna and her friend Mondo to be the Mon Colle Knights and help him in obtaining six magical items before Count Collection does. These items which can alter the barriers of dimensions when combined, allowing them to be used to either peacefully have the magic of the Sixgate world cross over in the human world, take over the minds of all monsters, or worse, reformat reality. While this entry only has details based on the Japanese version, it also includes the version aired on Jetix.","['Adaptation (Manga) Rokumon Tengai Mon Colle Knight', '']",Rokumon Tengai Mon Colle Knights,,,['Kids'],Mon Colle Knights,
9,Mighty Cat Masked Niyander,ニャニがニャンだー ニャンダーかめん,,,,['TV'],83,Finished Airing,"Feb 6, 2000 to Sep 30, 2001",['Winter 2000'],Sundays at 07:00 (JST),"['Nagoya Broadcasting Network', 'Tokyu Agency']","None found,",['Sunrise'],Picture book,,,25 min. per ep.,PG - Children,6.85,#5076,#12777,"1,510",9,715,"One day a normal cat boy got a power to transform into a super ""kamen cat."" Whenever he heard people saying ""help"" he would dash right over there and help them fight against enemies.",[],Nyani ga Nyandaa Nyandaa Kamen,['Comedy'],,['Kids'],,
