,Synonyms,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,German,Spanish,Genre,Demographics
0,Digimon Adventure 01,デジモンアドベンチャー,Digimon: Digital Monsters,Digimon: Digital Monsters,['TV'],54,Finished Airing,"Mar 7, 1999 to Mar 26, 2000",['Spring 1999'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['Discotek Media', 'Saban Entertainment', 'Flatiron Film Company']",['Toei Animation'],Other,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],['Kids'],24 min. per ep.,PG - Children,7.78,#1096,#600,"412,972","5,551",262746,"When a group of seven children go to summer camp, the last thing that they expect is snow falling in July. In the confusion that follows this phenomenon, they each receive an odd device that transports them to another world. As soon as they wake up in this new world, they encounter strange creatures who call themselves ""Digimon."" The Digimon tell them that they've landed in the ""Digital World,"" far from home. With only the Digimon and the ""Digivices"" as protection, the seven children set off to find their way home and learn the reason why they were brought here. Led by the impulsive Taichi Yagami and his hungry Digimon partner Agumon, this group will have to fight unknown evils as they discover more about this outlandish Digital World. [Written by MAL Rewrite]","['Prequel (Movie) Digimon Adventure Movie', 'Sequel (Movie) Digimon Adventure: Bokura no War Game!', 'Adaptation (Manhua) Digimon Adventure', '']",Digimon Adventure,,,,,
1,Mobile Suit Gundam Turn A,∀ガンダム,∀ Gundam,,['TV'],50,Finished Airing,"Apr 9, 1999 to Apr 14, 2000",['Spring 1999'],Fridays at 17:00 (JST),"['Sotsu', 'Fuji TV', 'Nakamura Production']",['Nozomi Entertainment'],['Sunrise'],Original,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.78,#1091,#3246,"51,938","1,122",18455,"It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement. A boy named Loran Cehack and two others are sent down to Earth for a reconnaissance mission. Loran ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll."" To Loran's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Loran in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war. [Written by MAL Rewrite]","['Adaptation (Manga) Turn A Gundam', 'Adaptation (Light Novel) Turn A Gundam']",Turn A Gundam,"['Mecha', 'Military', 'Space']",,,,
2,,モンスターファーム,Monster Rancher,Monster Rancher,['TV'],48,Finished Airing,"Apr 17, 1999 to Mar 25, 2000",['Spring 1999'],Saturdays at 07:30 (JST),"None found,","['ADV Films', 'Discotek Media']",['TMS Entertainment'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],,24 min. per ep.,PG-13 - Teens 13 or older,6.79,#5371,#3432,"47,153",115,24395,"Genki is a boy who loves playing video games. One day he's zapped into the world of Monster Rancher and meets the girl Holly and the monsters Mochi, Suezo, Golem, Tiger and Hare. Together, they are searching for a way to revive the Phoenix, which is the only monster capable of stopping the evil Moo. (Source: ANN)","['Sequel (TV) Monster Farm: Legend e no Michi', 'Adaptation (Manga) Monster Farm: Enbanseki no Himitsu']",Monster Farm: Enbanseki no Himitsu,,Monster Rancher,,,
3,ToHeart,トゥハート,To Heart,,['TV'],13,Finished Airing,"Apr 2, 1999 to Jun 25, 1999",['Spring 1999'],Fridays at 00:35 (JST),['KSS'],['Nozomi Entertainment'],['OLM'],Visual novel,"['Drama', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.59,#6510,#4356,"29,402",81,10502,"For as long as Akari can remember, she and Hiroyuki have always been friends. But with time, everything changes, and her feelings have turned into something more. As a new semester of high school begins, will the two childhood friends come closer together or drift further apart? Join Hiroyuki, Akari and all their friends—the bubbly Shiho, the quiet Serika, the lovely Kotone, and more—in this heartwarming tale of love, relationships and friendship! (Source: RightStuf)","['Sequel (TV) To Heart: Remember My Memories', 'Adaptation (Manga) To Heart']",To Heart,"['Harem', 'School']",,,,
4,Jubei-chan - Secret of the Lovely Eyepatch,十兵衛ちゃん ーラブリー眼帯の秘密,Jubei-chan the Ninja Girl: Secret of the Lovely Eyepatch,,['TV'],13,Finished Airing,"Apr 6, 1999 to Jun 29, 1999",['Spring 1999'],Tuesdays at 01:15 (JST),['Bandai Visual'],"['Bandai Entertainment', 'Media Blasters']",['Madhouse'],Original,"['Action', 'Adventure', 'Comedy', 'Drama']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.66,#6123,#5107,"20,394",35,8313,"Jiyu Nanohana is an ordinary schoolgirl until she runs across a scatterbrained 300 year old samurai who tells her that she is the reincarnation of Yagyu Jubei. With the help of the ""Lovely Eyepatch"" she transforms into the legendary swordsman whenever she needs to use his awesome fighting ability, which she needs to do quite often as a rival clan is dead set on conquering Yagyu to satisfy an old family grudge. (Source: ANN)","['Sequel (TV) Juubee-chan 2: Siberia Yagyuu no Gyakushuu', '']",Juubee-chan: Lovely Gantai no Himitsu,,,Jubei-chan: The Ninja Girl,,
5,"Dual! Parare Runrun Monogatari, Dual Parallel! Trouble Adventures",デュアル！ぱられルンルン物語,Dual! Parallel Trouble Adventure,,['TV'],13,Finished Airing,"Apr 8, 1999 to Jul 1, 1999",['Spring 1999'],Thursdays at 19:00 (JST),['Pioneer LDC'],"['Discotek Media', 'Geneon Entertainment USA']",['AIC'],Original,"['Action', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,PG-13 - Teens 13 or older,7.05,#4134,#5151,"19,898",69,9193,"Kazuki Yotsuga is your regular average nerd in high-school, except he isn't smart. He has this website which relates to his visions that only he can see. His visions are about robots who keep fighting each other battle after battle. One day he is sent to a ""parallel world"" where these visions exist and he joins a company to fight back against the devious RaRa, who want to take over the world. (Source: ANN)","['Sequel (Special) Dual! Parallel Runrun Monogatari Special', '']",Dual! Parallel Lun-Lun Monogatari,"['Harem', 'Isekai', 'Mecha']",,Dual! Una Historia Paralela,,
6,Collector Yui,コレクター・ユイ,Corrector Yui,,['TV'],52,Finished Airing,"Apr 9, 1999 to Oct 20, 2000",['Spring 1999'],Fridays at 18:00 (JST),"['NHK', 'Studio Tron']",['VIZ Media'],['Nippon Animation'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,,25 min. per ep.,G - All Ages,6.86,#5030,#5339,"18,178",65,7618,"Yui is an average schoolgirl who lives in a future where all computers are supported by a single global network known as COMNET. Yui is a computer-illiterate girl who after a computer-lab accident is approached by IR, a raccoon looking corrector computer program, which tells her she must save COMNET. She must stop the rogue A.I. (Artificial Intelligence) computer program known as Grosser and his hench-programs from taking over the world. Grosser was originally designed to be that manager of all of COMNET. At first she's very reluctant to play the heroine because of her complete lack of knowledge and ability with computers. To save COMNET she must find and gain the trust of the other seven wayward corrector programs. They must also find the creator or COMNET Professor Inukai, to help stop Grosser for good. (Source: ANN)","['Adaptation (Manga) Corrector Yui', 'Adaptation (Manga) Corrector Yui']",Corrector Yui,,,,,
7,Arc,アークザラッド,,,['TV'],26,Finished Airing,"Apr 5, 1999 to Oct 11, 1999",['Spring 1999'],Mondays at 19:00 (JST),"['Sony Pictures Entertainment', 'Aniplex', 'Sony Interactive Entertainment']",['ADV Films'],['Bee Train'],Game,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",,,22 min. per ep.,R - 17+ (violence & profanity),6.49,#7147,#5419,"17,445",14,6436,"The story follows Elk, a bounty hunter in some strange futuristic world. On this world archaic but advanced technology exists side by side with primitive attitudes, beasts and magic. In other words it's got a bit of everything. It also has an evil conspiracy who are able to produce powerful monsters called chimera, who can also appear as human. Naturally it is not long before Elk has rescued a young female beast-master and gained himself some serious enemies. (Source: ANN)",[],Arc the Lad,,,,,
8,"Gokudo-kun Manyuki, Jester the Adventurer",ゴクドーくん漫遊記,Gokudo,,['TV'],26,Finished Airing,"Apr 2, 1999 to Sep 24, 1999",['Spring 1999'],Fridays at 18:30 (JST),['SoftX'],"['Media Blasters', 'Discotek Media']",['Trans Arts'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.40,#2365,#5507,"16,693",145,6407,"It all starts when Gokudou steals a pouch from a fortuneteller, thinking that it contains a gem. Instead, it turns out to be a rock, from which emerges Djinn. The genie grants Gokudou the standard three wishes, but our anti-hero doesn't think heavily about his wishes. Gokudou does get his wishes, though not exactly in the fashion that he expected. The best thing he gets out of his wishes is Honou no Maken, a magical sword that enables its owner to do fire attacks and it can be summoned from anywhere in the world. Even with an enchanted sword, Gokudou doesn't get much respect. He gets turned into a woman by Djinn, who is also a shapeshifter. He is followed by Rubette La Late, a potential love interest who is more interested in adventure, karaoke and outperforming Gokudou. He gets whapped on the head a lot, especially by the fortuneteller who reappears throughout the series just to plague Gokudou it seems. Later in the series, he gets another sidekick, a former evil magician named Prince, who is more handsome and a better womanizer than Gokudou. (Source: AnimeNfo)","['Adaptation (Light Novel) Gokudou-kun Manyuuki', '']",Gokudou-kun Manyuuki,,,Jester: El Aventurero,,
9,,ベターマン,,,['TV'],26,Finished Airing,"Apr 2, 1999 to Oct 1, 1999",['Spring 1999'],Fridays at 01:15 (JST),['Victor Entertainment'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,"['Action', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Sci-Fi']",,,24 min. per ep.,R - 17+ (violence & profanity),6.58,#6605,#5527,"16,565",81,4877,"Keita Aono is an ordinary high school student who loves to chat with his friends about military technology and the girls in their class. One day, Keita is surprised and delighted by a new transfer student in his class, his childhood friend Hinoki Sai. But when Keita tries to catch up with Hinoki after school, he accidentally wanders into Bottom World—an underground amusement park whose opening was canceled due to an unexplained tragedy. As Keita explores the area, he eventually finds Hinoki in the cockpit of a strange robot. She is here on behalf of Akamatsu Industries, a company contracted with the secretive international organization Mode Warp to investigate strange cases of violence worldwide. After joining Hinoki in the robot, the pair attempt to defend themselves against the various attractions of Bottom World, which have come to life and become violent. However, they are unable to escape until a man with transforming powers—dubbed ""Betterman""—joins their struggle. Faced with an enemy he does not understand and a slew of mysterious new technology, Keita joins Akamatsu Industries in a fight against a force they call ""Algernon."" [Written by MAL Rewrite]","['Adaptation (Manga) Betterman', '']",Betterman,"['Mecha', 'Psychological']",,,,
10,Sensual Phrase,快感 フレーズ,,,['TV'],44,Finished Airing,"Apr 20, 1999 to Mar 26, 2000",['Spring 1999'],Sundays at 00:20 (JST),"['TV Tokyo', 'Shogakukan Productions']","None found,",['Studio Hibari'],['Manga'],"['Drama', 'Romance']",,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.32,#2727,#5816,"14,549",109,4419,"After the break up of their old band, guitarist Yuki & drummer Santa decide to form a new one. They recruit bass player Towa, young guitarist Atsuro, and after much persuasion, vocalist Sakuya. Together they form Lucifer and they struggle to make it in the music business, and also to stay together. As well, they have to deal with personal issues, such as parental objections, and watching their old bands succeed ahead of them. Sakuya is the most troubled band member, as he has to deal with his tragic past, and his relationship with teenaged lyricist Aine.","['Adaptation (Manga) Kaikan♥Phrase', '']",Kaikan Phrase,"['Music', 'Showbiz']",,,,
11,"A.D. Police, AD Police, Advanced Police",アドバンスドポリス,A.D. Police: To Protect and Serve,,['TV'],12,Finished Airing,"Apr 8, 1999 to Jul 1, 1999",['Spring 1999'],Thursdays at 01:45 (JST),['AIC'],['ADV Films'],['Plum'],Original,"['Action', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,5.93,#10263,#6031,"13,228",16,4786,"Set a few years before Bubblegum Crisis Tokyo 2040, A.D. Police chronicles the tales of Mega-Tokyo's special police division designed to control rogue Boomers in the city. A.D. Police Officer Kenji Sasaki faces a major dilemma: he loses another partner to a rabid boomer. A day after he's sent off-duty, he receives a new partner in the form of German cop Hans Kleif. Funny thing is that Kenji sucker-punched Hans at a bar the night before. Not only does Kenji face the everyday task of controlling Boomers, he has to learn to adjust with his new partner. (Source: ANN)","['Prequel (OVA) AD Police', '']",A.D. Police (TV),"['Adult Cast', 'Mecha']",,,,
12,"Seihou Tenshi Angel Rinks, Stellar Angel Angel Links",星方天使エンジェルリンクス,Angel Links,,['TV'],13,Finished Airing,"Apr 7, 1999 to Jun 30, 1999",['Spring 1999'],Wednesdays at 19:00 (JST),['Bandai Visual'],"['Funimation', 'Bandai Entertainment']",['Sunrise'],Novel,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']",['Space'],,24 min. per ep.,PG-13 - Teens 13 or older,5.94,#10231,#6610,"10,558",7,3425,"Li Meifon is the head of a free, no expenses paid protection/security agency for escorting ships across outer space. Though only 16, she posesses great skill and leadership qualities while commanding her crew aboard their ship, the ""Angel Links."" However, some unpleasant memories begin to trouble her and she starts questioning her own past and reason for existence. Join Li Meifon and the rest of the Angel Links crew on their adventures through the Oracion star system as they battle pirates, government organizations, and a Tao master, all while finally uncovering Meifon's dark and mysterious past.","['Adaptation (Manga) Seihou Tenshi Angel Links', '']",Seihou Tenshi Angel Links,,,,,
13,,パワーストーン,,,['TV'],26,Finished Airing,"Apr 3, 1999 to Sep 25, 1999",['Spring 1999'],Saturdays at 17:00 (JST),['Avex Entertainment'],['ADV Films'],['Pierrot'],Game,"['Adventure', 'Comedy', 'Fantasy']",['Historical'],,24 min. per ep.,PG - Children,6.46,#7320,#7104,"8,897",19,4270,"An ancient legend tells of a magical Powerstone that granted its owner any wish desired. Adventurers from all over the globe clash as they seek this mystical gem. Based upon the Dreamcast game, POWERSTONE tries to entertain us with the story behind the game's premise. The plot begins with our hero, Fokker, training to be a fighter like his idol, Vargas. (Source: AniDB)",[],Power Stone,,,,,
14,,天使になるもんっ！,I'm Gonna Be an Angel!,,['TV'],26,Finished Airing,"Apr 7, 1999 to Sep 29, 1999",['Spring 1999'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Broccoli', 'Yomiko Advertising']",['Synch-Point'],['Pierrot'],Original,"['Comedy', 'Fantasy', 'Romance']",['Vampire'],,23 min. per ep.,PG-13 - Teens 13 or older,6.78,#5456,#7173,"8,670",50,2829,"Yuusuke was just a normal kid going to high school. Then one day, the cute and behaloed Noelle fell, quite literally, into his life, naked as a baby and every bit as innocent. Before he can even fathom what's just happened, Yuusuke is inducted into a rather odd family of otherworldly beings. Papa is a Frankenstein monster with a taste for calisthenics. Mama is a gorgeous lady with a penchant for ""round objects"" -- really! The eldest sister, Sara, is literally invisible; the brother, Gabriel, is a teenage vampire with an attitude problem; and the youngest sister, Ruka, loves inventing things. There's a disapproving Grandma, who's a witch to the nth degree, and her vulture familiar. All Yuusuke wanted was for the beautiful Natsumi to even notice his attention, but now he has an angel-in-training to follow him wherever he goes. And Noelle, too, has a guide on her path to being an angel, the mysterious Michael. (Source: AnimeNfo)","['Adaptation (Manga) Tenshi ni Naru mon!', '']",Tenshi ni Narumon!,,,,,
15,"Taiho Shichauzo Special, Taiho Shichau zo TV Specials",逮捕しちゃうぞ Special,You're Under Arrest Mini Specials,,['TV'],20,Finished Airing,"Mar 30, 1999 to Apr 30, 1999",['Spring 1999'],Unknown,['TBS'],['AnimEigo'],['Studio Deen'],['Manga'],"['Action', 'Comedy']",,['Seinen'],8 min. per ep.,PG-13 - Teens 13 or older,7.02,#4314,#7302,"8,300",7,3081,"Best friends and partners Miyuki Kobayakawa and Natsumi Sujimoto, along with the rest of the gang at Bokuto station, confront a motley group of offenders ranging from hi-tech panty thieves, purse-snatchers, and traffic violators. Using Miyuki's driving prowess and tech knowledge, as well as Natsumi's spunk and strength, the duo at times must resort to unconventional methods to see that justice is served. (Source: ANN)","['Prequel (OVA) Taiho Shichau zo', 'Prequel (TV) Taiho Shichau zo (TV)', 'Prequel (TV Special) Taiho Shichau zo: Nagisa no Koutsuu Yuudou', 'Sequel (Movie) Taiho Shichau zo The Movie']",Taiho Shichau zo Special,"['Adult Cast', 'Detective', 'Workplace']",,,,
