,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Theme,Genre,Demographics
20,Shikabane Hime Aka,屍姫 赫,Corpse Princess: Aka,['TV'],13,Finished Airing,"Oct 2, 2008 to Dec 25, 2008",['Fall 2008'],Unknown,"['Square Enix', 'Starchild Records']",['Funimation'],"['Gainax', 'feel.']",['Manga'],"['Action', 'Horror', 'Supernatural']",,24 min. per ep.,R - 17+ (violence & profanity),7.17,#3542,#1868,"127,823",245,46304,"Living at a shrine with other orphans, Ouri Kagami is no stranger to corpses. But when he sees the patron of his orphanage, Keisei Tagami, seemingly revive the scarred corpse of schoolgirl Makina Hoshimura, he cannot help but feel incredibly shocked. Intrigued by the mysterious circumstances surrounding Makina, he learns that she is a Shikabane Hime—an undead being tasked with eliminating others like her who pose a threat to society. As Ouri goes about his daily life, his inexplicable run-ins with her are shrouded in abnormality. But as each encounter grows more intense, the two are brought closer together, and it may be their intertwining fates that hold the key to unveiling the secrets behind the world of Shikabanes. [Written by MAL Rewrite]","['Sequel (TV) Shikabane Hime: Kuro', 'Adaptation (Manga) Shikabane Hime']",Shikabane Hime: Aka,,,,['Shounen'],,,
21,"Nodame Cantabile Paris Chapter, Nodame Cantabile Pari-hen",のだめカンタービレ 巴里編,,['TV'],11,Finished Airing,"Oct 10, 2008 to Dec 19, 2008",['Fall 2008'],Fridays at 00:45 (JST),"['Dentsu', 'Genco', 'SKY Perfect Well Think', 'Kodansha', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']","None found,",['J.C.Staff'],['Manga'],"['Comedy', 'Romance']","['Adult Cast', 'Music']",23 min. per ep.,PG-13 - Teens 13 or older,8.13,#486,#1871,"127,479",288,76641,"Shinichi Chiaki conquers his fear of flying, and Megumi ""Nodame"" Noda's exceptional performance at a piano competition earns her an invitation to study at the prestigious Conservatoire de Paris. The pair go to Paris together to take the next step in their careers: Chiaki as a new rising conductor under the wing of the great maestro Franz von Stresemann, and Nodame as a pupil of the esteemed piano professor Charles Auclair. But, of course, the music world is much bigger than the two of them could have ever imagined. Chiaki and Nodame, alongside old friends and new rivals, must fight and persevere to reach the dazzling musical heights that await them while never losing sight of what matters most. [Written by MAL Rewrite]","['Prequel (TV) Nodame Cantabile', 'Sequel (Special) Nodame Cantabile: Finale - Mine to Kiyora no Saikai', 'Adaptation (Manga) Nodame Cantabile', '']",Nodame Cantabile: Paris-hen,,,,['Josei'],,,
22,,テイルズ オブ ジ アビス,Tales of the Abyss,['TV'],26,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",['Fall 2008'],Unknown,"['Bandai Visual', 'Animax', 'Bandai Namco Games', 'Atelier Musa']","['Funimation', 'Bandai Entertainment']",['Sunrise'],Game,"['Adventure', 'Drama', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,7.27,#2988,#1890,"125,364",536,50895,"The world of Auldrant is bound by the Score, a series of prophecies from centuries past that dictate the world's future. It is considered an absolute fate that everyone lives by—even people whose actions lead to bloodshed and tears. Using magical abilities known as the Fonic Arts, a war between the nation of Kimlasca-Lanvaldear and the Malkuth Empire is waged in hopes of bringing the Score's foreseen utopia to life. Tales of the Abyss follows Luke von Fabre, who spends his days locked away in his manor after being kidnapped and losing memories as a child. One day, while honing his swordsmanship, a woman named Tear attempts to assassinate his master. Luke defends him, but the clash results in the two being teleported to a distant land. Luke and Tear’s journey back quickly escalates into a quest that will either free the world from the Score's chains or destroy it completely.","['Adaptation (Manga) Tales of the Abyss', '']",Tales of the Abyss,,,,,,,
23,"Shugo Chara Ninenme, Shugo Chara! Second Year",しゅごキャラ！！どきっ,Shugo Chara!! Doki,['TV'],51,Finished Airing,"Oct 4, 2008 to Sep 25, 2009",['Fall 2008'],Saturdays at 09:30 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Satelight'],['Manga'],,"['Mahou Shoujo', 'School']",24 min. per ep.,PG - Children,7.42,#2271,#2127,"106,390",586,56451,"Amu Hinamori and the Seiyo Elementary Guardians continue their quest to seek out and purify X Eggs while in pursuit of the elusive Embryo—an egg said to be able to grant any wish. However, the Guardians must secure the Embryo before it falls into the hands of the nefarious Easter Corporation. As part of their plan to lure out the Embryo, Easter hires Lulu de Morcerf, an aloof girl whose ruby necklace gives her the ability to convert Heart Eggs into Mystery Eggs. These strange Mystery Eggs cannot be purified as easily as X Eggs, and they can force its owner to undergo a Character Transformation. With this growing threat, the Guardians must track down its source and put a stop to them before the matter gets out of hand. Facing insurmountable pressure from these two new objectives, will the Guardians be able to recover the Embryo while also dealing with the Mystery Eggs? [Written by MAL Rewrite]","['Prequel (TV) Shugo Chara!', 'Sequel (TV) Shugo Chara! Party!', 'Adaptation (Manga) Shugo Chara!', '']",Shugo Chara!! Doki,,,,['Shoujo'],,['Comedy'],
24,"Hell Girl 3, Jigoku Shoujo 3",地獄少女 三鼎,Hell Girl: Three Vessels,['TV'],26,Finished Airing,"Oct 4, 2008 to Apr 4, 2009",['Fall 2008'],Saturdays at 17:00 (JST),"['Aniplex', 'Tokyo MX']",['Sentai Filmworks'],['Studio Deen'],Original,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",,24 min. per ep.,R - 17+ (violence & profanity),7.60,#1573,#2140,"105,554",277,43212,"Following the events of Jigoku Shoujo Futakomori, Ai Enma, the Hell Girl, has disappeared. Her former companions decide to lead normal lives, until their absent mistress returns to them with a new companion, and in a way that none of them anticipated. Yuzuki Mikage is a normal schoolgirl who soon comes to understand the Hell Girl on an intimate level. During a dream-like trance in the bathtub, Ai kisses Yuzuki and possesses her. So when Yuzuki's friend decides to type in the name of their teacher in the Hell Correspondence website, Ai makes use of Yuzuki's body to accomplish her own task of ferrying the teacher's soul to hell. Yuzuki is disturbed by her new circumstances and wonders why she was chosen to continue Ai's work. Unfortunately for her, the Hell Girl and her assistants resume operation of Hell Correspondence, and she is dragged along for the ride towards hell itself. [Written by MAL Rewrite]","['Prequel (TV) Jigoku Shoujo Futakomori', 'Sequel (TV) Jigoku Shoujo: Yoi no Togi', 'Adaptation (Manga) Jigoku Shoujo', '']",Jigoku Shoujo Mitsuganae,,,,,['Psychological'],,
25,Black Tomb,黒塚,Kurozuka,['TV'],12,Finished Airing,"Oct 7, 2008 to Dec 23, 2008",['Fall 2008'],Tuesdays at 22:00 (JST),['Sony Pictures Entertainment'],['Mill Creek Entertainment'],['Madhouse'],['Manga'],"['Action', 'Drama', 'Horror', 'Romance', 'Sci-Fi']","['Gore', 'Historical', 'Samurai', 'Vampire']",23 min. per ep.,R - 17+ (violence & profanity),6.85,#5066,#2222,"99,705",328,33132,"In 12th-century Japan, swordsman Kurou escapes ghastly pursuers into a deep forest with his servant Benkei. Seeking shelter, the two find themselves within the secluded abode of the mysterious and beautiful Kuromitsu. While they are warmly accepted, the men are warned to never enter Kuromitsu's room. However, driven by innate curiosity and perhaps a condemned love, Kurou peeks through the ajar door, only to find Kuromitsu feasting on the blood of fallen men. He soon learns Kuromitsu is an immortal vampire, and dedicates himself to her—even becoming a vampire himself in order to spend eternity with her. But the cryptic organization known as the Red Army has enlisted the help of Benkei, who betrays Kurou and severs his head. Awaking centuries into the future in an apocalyptic modern-day Japan, Kurou sets off to reunite with his lover and exact revenge on the Red Army. [Written by MAL Rewrite]","['Adaptation (Manga) Kurozuka', '']",Kurozuka,,,,['Seinen'],,,
26,Moryo no Hako,魍魎の匣,Box of Goblins,['TV'],13,Finished Airing,"Oct 8, 2008 to Dec 31, 2008",['Fall 2008'],Wednesdays at 01:29 (JST),"['VAP', 'Kadokawa Shoten', 'Nippon Television Network']","None found,",['Madhouse'],Novel,"['Mystery', 'Supernatural', 'Suspense']","['Detective', 'Historical', 'Psychological']",23 min. per ep.,R - 17+ (violence & profanity),7.12,#3793,#2898,"64,776",257,16655,"Absent-minded schoolgirl Yoriko Kusumoto only has eyes for Kanako Yuzuki. After planning for their summer trip, their journey comes to a premature and brutal end when Kanako is found severely wounded on train tracks and Yoriko in tears on the station's platform. Shuutarou Kiba, a detective who happened to be on the train that hit the girl, takes up the investigation. However, he discovers that the mystery behind this case is intertwined with an intricate network of deceptions involving the Yuzuki family, especially its most prominent member, Youko Yuzuki—a famous actress and Kanako's sister. Although Kanako survives after surgery, her critical state prompts Youko to entrust a doctor, Dr. Koushirou Mimasaka, to take care of the girl in an ominous, box-shaped facility in the forest where she will receive experimental treatment. But soon after, on a night where Kiba and Yoriko visit Kanako, the convalescent suddenly vanished. Now searching for her whereabouts, the burden on Kiba dramatically grows when he learns about other gruesome discoveries: limbs of young girls in boxes. Kiba is suggested by a colleague that the macabre findings are related not only to Kanako's disappearance but also to the truth behind her sister. As the investigation continues, the detective—enlisting the help of his partners Tatsumi Sekiguchi and Akihiko Chuuzenji—has to find a way to solve this series of crimes and find Kanako back. [Written by MAL Rewrite]","['Adaptation (Manga) Mouryou no Hako', '']",Mouryou no Hako,,,,,,,
27,,ヒャッコ,,['TV'],13,Finished Airing,"Oct 2, 2008 to Dec 25, 2008",['Fall 2008'],Thursdays at 02:35 (JST),['Flex Comix'],['Nozomi Entertainment'],['Nippon Animation'],['Manga'],"['Comedy', 'Slice of Life']","['CGDCT', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.23,#3192,#3476,"46,230",110,20800,"On their first day of high school shy Ayumi Nonomura and taciturn Tatsuki Iizuka become lost on the immense campus of Kamizono Academy. An irresistible force of nature named Torako Kageyama accompanied by her best friend Suzume Saotome appears in front of them. Led, sometimes pushed, by Torako, the girls and their classmates work through problems of school, home and adolescence.","['Adaptation (Manga) Hyakko', '']",Hyakko,,,,,,,
28,"The Magician's Academy, MA Project",まかでみWAっしょい！,Magician's Academy,['TV'],12,Finished Airing,"Oct 6, 2008 to Dec 22, 2008",['Fall 2008'],Unknown,['Media Factory'],"None found,",['Zexcs'],['Light novel'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Gag Humor', 'Harem', 'School']",24 min. per ep.,R+ - Mild Nudity,6.90,#4826,#3533,"44,862",110,19272,"Magician's Academy revolves around Takuto Hasegawa, who attends a magic academy that is not marked on any map. During a summoning spell exam, he accidentally creates a girl named Tanarotte, who happens to hold enough magical power to destroy his country, but fortunately Tanarotte professes undying loyalty (and love) to her ""creator."" (Source: ANN)","[""Adaptation (Manga) Magician's Academy"", ""Adaptation (Manga) Magician's Academy"", ""Adaptation (Light Novel) Magician's Academy"", '']",Macademi Wasshoi!,,,,,,,
29,,鉄のラインバレル,Linebarrels of Iron,['TV'],24,Finished Airing,"Oct 3, 2008 to Mar 20, 2009",['Fall 2008'],Unknown,"['Akita Shoten', 'Sotsu Music Publishing']",['Funimation'],['Gonzo'],['Manga'],"['Action', 'Sci-Fi']",,23 min. per ep.,R - 17+ (violence & profanity),6.89,#4889,#3573,"44,043",90,19216,"Fourteen-year-old Kouichi Hayase's life has always been a mediocre one, if not dismal. However, those days of being bullied by classmates and escaping to a fantasy of being a hero are put to an end when a certain ""accident"" bestows on him a girl and a gigantic humanoid robot called ""LINEBARREL."" The extraordinary power that Kouichi obtains puts him and everything around him on a sudden rollercoaster ride of battles, intrigues and friendship! During the course of his adventure, the boy starts to learn what life has to offer; he meets new friends, bids farewell to the old ones, but most of all he now has considerable responsibilities and is forced to confront the world around him. (Source: Official site)","['Adaptation (Manga) Kurogane no Linebarrel', '']",Kurogane no Linebarrels,,,,['Seinen'],['Mecha'],,
30,"The Unknown Girlfriend, Kemeko DX",ケメコデラックス！,,['TV'],12,Finished Airing,"Oct 5, 2008 to Dec 21, 2008",['Fall 2008'],Unknown,"['Yomiuri Telecasting', 'Yomiko Advertising', 'KlockWorx', 'AC Create', 'ASCII Media Works', 'Geneon Entertainment']","None found,",['HAL Film Maker'],['Manga'],"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.54,#6823,#3601,"43,337",59,17706,"When Sanpeita Kobayashi was a child, his lovely friend had to move away, but she vowed that in ten years, they would meet again—as husband and wife. Ten years later, Sanpeita is a high school student, but he hasn't forgotten the feelings they shared. Sanpeita awakes from a dream about his last day with her, only to have his morning interrupted. A weird robot girl is battling other robots in his bedroom, claiming to be his wife. The robot's pilot looks like none other than Sanpeita's long-lost, childhood friend. But who is she really? Why did she have to leave? And what does she have to do with the Mishima Electronics Corporation?","['Adaptation (Manga) Kemeko Deluxe!', '']",Kemeko Deluxe!,,Kemeko DX,,['Shounen'],['School'],,
31,"Kyou no Go no Ni (TV), Today in Class 5-2 (2008), Kyo no Gononi",今日の５の２,,['TV'],13,Finished Airing,"Oct 6, 2008 to Dec 29, 2008",['Fall 2008'],Unknown,"['Starchild Records', 'TV Tokyo Music', 'Omnibus Promotion']","None found,",['Xebec'],['Manga'],"['Comedy', 'Ecchi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.18,#3454,#3899,"36,968",50,14534,"Following the line of the precedent OVAs (of the same name) This anime goes around the normal lives of some elementary school (5th grade, 2nd class room) kids and their adventures, while turning to teens. Their games, stupid jokes, and the misunderstandings around their premature attraction to the opposite sex. Ryota Satou is the main character here, but his friends are almost as important as him since the school wouldn't be the same without them, especially the girls who the majority of time appear to be mature by their ages but in the ends they are as childish and even more ""dangerous"" than the boys. (Source: ANN, edited)","['Sequel (OVA) Kyou no 5 no 2 (TV): Takarabako', 'Adaptation (Manga) Kyou no 5 no 2']",Kyou no 5 no 2 (TV),,,,['Seinen'],['School'],,
32,Astro Fighter Sunred,天体戦士サンレッド,,['TV'],26,Finished Airing,"Oct 3, 2008 to Mar 28, 2009",['Fall 2008'],Unknown,['flying DOG'],"None found,",['AIC ASTA'],['Manga'],,"['Gag Humor', 'Parody', 'Super Power']",13 min. per ep.,PG-13 - Teens 13 or older,7.76,#1117,#4864,"22,866",201,6919,"Tentai Senshi Sunred is the magnificent story of the conflict between good and evil that takes place in the city of Kawasaki. Sunred, ally of justice, is dedicated to stopping the evil organization Florsheim on their quest for world domination, while General Vamp and his minions are constantly thinking up new schemes to defeat Sunred. In what sounds like a typical story, the characters make all the difference. Our hero Sunred is rude, violent, and lazy, playing pachinko all day and leeching off of his girlfriend Kayoko Uchida. Meanwhile General Vamp is polite, conscientious, and an ideal homemaker who cooks, mothers his minions, and discusses housekeeping with Kayoko, who bickers constantly with Sunred. Even the monsters of Florsheim tend to be adorable and harmless. Each episode is comprised of several shorts weighing in at anywhere from a few minutes to a few seconds, and explores the daily lives of these sworn enemies. This is the story of the battle between good and evil that takes place in Kawasaki. [Written by MAL Rewrite]","['Sequel (TV) Tentai Senshi Sunred 2nd Season', 'Adaptation (Manga) Tentai Senshi Sunred']",Tentai Senshi Sunred,,,,['Seinen'],,['Comedy'],
33,"Titania, Taitania",タイタニア,Tytania,['TV'],26,Finished Airing,"Oct 9, 2008 to Mar 26, 2009",['Fall 2008'],Thursdays at 23:32 (JST),"['Kodansha', 'Sogo Vision', 'Magic Capsule', 'Happinet Pictures', 'Sony PCL', 'MICO']",['Sentai Filmworks'],['Artland'],['Light novel'],"['Adventure', 'Romance', 'Sci-Fi']","['Military', 'Psychological', 'Space']",24 min. per ep.,PG-13 - Teens 13 or older,6.79,#5390,#5119,"20,214",35,7578,"One Man vs. an Empire! Through fear and conquest, the Empire of Valdana holds the future of most of human space within its iron hands, and for generations, those hands have belonged to the Landless Lords of the ruling Tytania dynasty. But now the foundation of the empire is crumbling, pockets of rebellion are forming and when a mission sent to punish the city-state of Euriya is shockingly defeated, the man responsible becomes the target of a galaxy-wide manhunt! For Fan Hyurlick, architect of Tytania's first defeat, glory becomes desperation as his own side betrays him. Now Fan must not only save his own life, but somehow turn the tables on opponents who have whole worlds to command! (Source: Sentai Filmworks)","['Adaptation (Manga) Tytania', 'Adaptation (Light Novel) Tytania']",Tytania,,,,,,,
34,Ten no Haou: Hokuto no Ken Raou Gaiden,北斗の拳 ラオウ外伝 天の覇王,Legends of the Dark King: A Fist of the North Star Story,['TV'],13,Finished Airing,"Oct 3, 2008 to Dec 26, 2008",['Fall 2008'],Fridays at 01:28 (JST),"['Showgate', 'Index']",['Sentai Filmworks'],['Satelight'],['Manga'],"['Action', 'Drama']",,24 min. per ep.,R - 17+ (violence & profanity),7.08,#4001,#5992,"13,425",29,5167,"In the wastelands following the great nuclear war, a legend grew of a man. “Hokuto No Ken.” The Fist of the North Star. Master of a legendary fighting technique. A man of impossible strength and endurance. Yet before Ken claimed the title of the Fist, there was another master, trained in the art of Hokuto Shinken, the King of the Fist, the Divine Fist of Heaven. Raoh: the ultimate assassin, the ultimate warrior. This is the story of the world before Fist of the North Star, and how one man took the future of a savage world into his deadly hands and reshaped its destiny. Not as a hero but as a conqueror. For in the mind of the man called Raoh, the only way to save Mankind is to grind it under his giant heel! The greatest battle is about to begin in Legends of the Dark King ~ Fist of the North Star! (Source: Sentai Filmworks)","['Adaptation (Manga) Hokuto no Ken - Raoh Gaiden', '']",Hokuto no Ken: Raoh Gaiden Ten no Haoh,Legends of the Dark King: A First of the North Star Story,Legends of the Dark King: A First of the North Star Story,Legends of the Dark King: A First of the North Star Story,,['Martial Arts'],,
35,Yuna & Stitch,スティッチ！,Stitch!,['TV'],25,Finished Airing,"Oct 8, 2008 to Mar 25, 2009",['Fall 2008'],Wednesdays at 19:26 (JST),"['TV Asahi', 'Disney Platform Distribution']","None found,",['Madhouse'],Other,"['Adventure', 'Comedy']",,25 min. per ep.,PG - Children,6.08,#9484,#7903,"6,794",14,2508,"A spin-off series of Disney's Lilo & Stitch. In the new story, the alien creature Stitch is running off on the mad scientist Jumba's space scooter when he gets caught in a space storm and has to make an emergency landing at Izayoi Island, the southermost tip of Japan. There, he meets Yuuna, a spirited fourth-grade girl who happens to know karate. Yuuna tells Stitch about the Stone of Chitama, a mysterious object that can make any wish come true. However, he has to perform 43 good deeds to receive his wish. (Source: ANN)","['Sequel (Special) Stitch!: Piko Kara no Chousenjou', '']",Stitch!,,,,['Kids'],,,
36,"Junai Cosmetic Comic: Bihada Ichizoku, Pure Love Cosmetic Comic: Bihada Family",美肌一族,,['TV'],12,Finished Airing,"Oct 7, 2008 to Dec 23, 2008",['Fall 2008'],Unknown,"['Omnibus Japan', 'Sony Music Entertainment']","None found,","None found,",Original,,,8 min. per ep.,PG-13 - Teens 13 or older,5.74,#11199,#8821,"5,185",4,1580,"There is a World Beautiful-Skin Competition (WBC) to which the 3 billion women of the world aspire. Carrying on the 300-year legacy of the competition are the twin Bihada sisters, Sara and Saki.","['Adaptation (Manga) Bihada Ichizoku', '']",Bihada Ichizoku,,,,,['Parody'],['Drama'],
37,Usavich 3,ウサビッチ III,Usavich III,['TV'],13,Finished Airing,"Oct 13, 2008 to May 25, 2009",['Fall 2008'],Unknown,"None found,","None found,",['Kanaban Graphics'],Original,,,1 min. per ep.,PG-13 - Teens 13 or older,7.05,#4165,#9098,"4,740",6,2884,The adventures of Putin and Kirenenko continue after they escaped from jail.,"['Prequel (TV) Usavich II', 'Sequel (TV) Usavich IV']",Usavich III,,,,,,['Comedy'],
38,"Battle Spirits: Shonen Toppa Bashin, Battle Spirits Season 1",バトルスピリッツ 少年突破バシン,,['TV'],50,Finished Airing,"Sep 7, 2008 to Sep 6, 2009",['Fall 2008'],Unknown,"['Toei Animation', 'Sotsu', 'Nagoya Broadcasting Network']","None found,",['Sunrise'],Card game,,,23 min. per ep.,PG - Children,6.37,#7877,#9411,"4,271",13,1511,"Energetic and thrill-seeking sixth grader Toppa Bashin has his mind set on only one thing—the card game Battle Spirits. Bearing a ruby pendant inherited from his missing father, Bashin heads to school every day with excitement: not for academics, but for card battling, much to the chagrin of his peers. One day, Bashin encounters J, the child prodigy champion of Battle Spirits, who bears a similar pendant. Star-struck, Bashin challenges J to a battle. However, the battle he gets is one he did not anticipate; the two are teleported to a mysterious arena in the sky—the Isekai World—where Spirits from the game become real. Feeling that his dream is finally within arm's reach, Bashin dives headfirst into the Isekai World, encountering other card battlers with extraordinary pendants. While making his way to the top, he slowly realizes that there is more to Battle Spirits than he ever imagined. [Written by MAL Rewrite]",[],Battle Spirits: Shounen Toppa Bashin,,,,['Shounen'],['Strategy Game'],,
39,,ライブオン CARDLIVER 翔,,['TV'],51,Finished Airing,"Oct 5, 2008 to Sep 27, 2009",['Fall 2008'],Unknown,"['Sotsu', 'Sakura Create']","None found,",['TMS Entertainment'],['Manga'],,,23 min. per ep.,PG - Children,6.27,#8453,#12953,"1,427",3,325,"Kakeru is a big fan of the Live On card game, like so many kids his age. However he loses every time he plays, no matter how hard he tries. Things change when one day Kakeru saves a small dog-like creature chased by weird people. The “dog” is in fact a Create Monster and gives Kakeru an unusual Live Change card, which in turn allows Kakeru to protect his newfound friend… And gets him involved in something he did not expect… (Source: ANN)",[],Live On Cardliver Kakeru,,,,,['Strategy Game'],['Fantasy'],
40,,マッハガール,,['TV'],26,Finished Airing,"Sep 13, 2008 to Sep 14, 2009",['Fall 2008'],Unknown,"None found,","None found,",['Tatsunoko Production'],Original,,,3 min. per ep.,G - All Ages,5.29,#12712,#14160,"1,034",1,201,"A spin-off of Mach Go Go Go (aka: Speed Racer). The titular Mach Girl is, according to Anime News Network, ""a girl named Lip who wanders the land to compete in high-stakes races with her Mach Pink three-wheeler.""",[],Mach Girl,,,,,['Racing'],['Comedy'],
41,"Zettai Yareru Gresia Shinwa, Zettai Yareru Girisha Shinwa, Greek Mythology",絶対やれるギリシャ神話,,['TV'],13,Finished Airing,"Oct 4, 2008 to Dec 27, 2008",['Fall 2008'],Unknown,"['VAP', 'Omnibus Promotion']","None found,","['A-1 Pictures', 'No Side']",Original,"['Comedy', 'Ecchi']",,24 min. per ep.,R+ - Mild Nudity,5.86,#10636,#14822,858,0,161,Comedy show based on Greek myths about how perverted the gods are.,[],Zettai Yareru Greece Shinwa,,,,,,,
42,,のらみみ2,,['TV'],13,Finished Airing,"Oct 1, 2008 to Dec 17, 2008",['Fall 2008'],Unknown,"None found,","None found,","None found,",['Manga'],,,20 min. per ep.,None,[],#20741,#16790,526,0,,Sequel to Noramimi.,"['Prequel (TV) Noramimi', '']",Noramimi 2,,,,,['Childcare'],['Comedy'],
43,,ねぎぼうずのあさたろう,,['TV'],48,Finished Airing,"Oct 12, 2008 to Sep 27, 2009",['Fall 2008'],Unknown,"None found,","None found,",['Toei Animation'],Picture book,"['Adventure', 'Comedy']",,25 min. per ep.,None,[],#20611,#16844,521,0,,Based on a picture book about a onion-headed samurai named Asatarou.,[],Negibouzu no Asatarou,,,,,['Historical'],,
44,"Giga Trive, Tribe GB",기가 트라이브,,['TV'],39,Finished Airing,"Oct 8, 2008 to Feb 4, 2009",['Fall 2008'],Unknown,['Studio Kaab'],"None found,","None found,",Unknown,,"['Parody', 'Super Power']",20 min. per ep.,PG - Children,[],#18198,#17119,494,0,,Gang Tu-Ji is just a normal passionate and determined (pun intended) 13 year old boy trying to woo the prettiest girl in school. That is until 4 mysterious creatures crash through his roof one day. Tu-Ji ends up reluctantly helping them out by transforming into Tribe Captain via the Giga Stone's power they brought. And the creatures themselves are able to morph into fully humanoid super sentai-like warriors! Together they fight against friends and strangers who have been possessed by the evil Bavaria in a catch-phrase sitcom manner.,[],Giga Tribe,,,,,,['Comedy'],
45,"Panpaka Panties, Panpaka Underwear",パンパカパンツ,Panpaka Pantsu,['TV'],27,Finished Airing,"Oct 1, 2008 to Oct 22, 2015",['Fall 2008'],Unknown,['Shizuoka Broadcasting System'],"None found,",['DLE'],Original,,,15 sec. per ep.,G - All Ages,[],#20960,#17402,467,2,,A series of shorts about pigs who wear underpants.,[],Panpaka Pants,,,,['Kids'],,['Comedy'],
46,"Tea-dog, Tea Dogs",お茶犬 ~緑[リョク]っとものがたり~,,['TV'],13,Finished Airing,"Nov 22, 2008 to Feb 21, 2009",['Fall 2008'],Saturdays at 10:25 (JST),['Four Some'],"None found,","None found,",Original,,,3 min. per ep.,G - All Ages,[],#20788,#18150,410,0,,"The third Ocha-ken series, this season focuses on environmental friendly themes.","['Prequel (TV) Ocha-ken: Hotto Monogatari', '']",Ocha-ken: Ryokutto Monogatari,,,,['Kids'],,['Slice of Life'],
47,Online Miracle Shopping,ネットミラクルショッピング,,['TV'],23,Finished Airing,"Oct 3, 2008 to Dec 19, 2008",['Fall 2008'],Unknown,['Mainichi Broadcasting System'],"None found,","None found,",Original,,,3 min. per ep.,PG-13 - Teens 13 or older,[],#20645,#27325,68,0,,"Net Miracle Shopping is a mail-order program that introduces groundbreaking products that have never existed before. The presenters, Yamada and Sota, introduce special products every time. (Source: Wikipedia, translated)","['Sequel (TV) Net Miracle Shopping 2nd Season', '']",Net Miracle Shopping,,,,,,['Comedy'],
48,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,8.28,#304,#16,"2,598,118","115,639",1728699,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Shippuden,Naruto Shippuden,Naruto Shippuden,['Shounen'],['Martial Arts'],,
49,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,476","234,737",1419569,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,['Shounen'],,,
