,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Synonyms,German,Spanish,French,Theme,Genre,Demographics
0,ドクターストーン,Dr. Stone,['TV'],24,Finished Airing,"Jul 5, 2019 to Dec 13, 2019",['Summer 2019'],Fridays at 22:00 (JST),"['TOHO animation', 'Shueisha', '8PAN']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Sci-Fi']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.27,#316,#49,"1,832,849","29,414",1107410,"After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world—turning every single human into stone. Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounters one other living human: his science-loving friend Senkuu, who has been active for a few months. Taiju learns that Senkuu has developed a grand scheme—to launch the complete revival of civilization with science. Taiju's brawn and Senkuu's brains combine to forge a formidable partnership, and they soon uncover a method to revive those petrified. However, Senkuu's master plan is threatened when his ideologies are challenged by those who awaken. All the while, the reason for mankind's petrification remains unknown. [Written by MAL Rewrite]","['Sequel (TV) Dr. Stone: Stone Wars', 'Adaptation (Manga) Dr. Stone']",Dr. Stone,,,,,,,,
1,ヴィンランド・サガ,,['TV'],24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",['Summer 2019'],Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']",['Sentai Filmworks'],['Wit Studio'],['Manga'],"['Action', 'Adventure', 'Drama']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),8.76,#42,#72,"1,644,643","51,758",952330,"Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth. The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on. [Written by MAL Rewrite]","['Sequel (TV) Vinland Saga Season 2', 'Adaptation (Manga) Vinland Saga']",Vinland Saga,"['Gore', 'Historical']",,,,,,,
2,炎炎ノ消防隊,Fire Force,['TV'],24,Finished Airing,"Jul 6, 2019 to Dec 28, 2019",['Summer 2019'],Saturdays at 01:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'bilibili', 'DMM pictures', 'DMM Music']",['Funimation'],['David Production'],['Manga'],"['Action', 'Fantasy', 'Sci-Fi']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1262,#97,"1,420,540","9,948",765523,"Spontaneous Human Combustion: a chaotic phenomenon that has plagued humanity for years, randomly transforming ordinary people into flaming, violent creatures known as Infernals. While Infernals make up the first-generation accounts of Human Combustion, the second and third generations became known as pyrokinetics—people gifted with the ability to manipulate and control their flames while remaining human. To combat the Infernal threat and discover the cause, the Tokyo Armed Forces, Fire Defense Agency, and Holy Church of Sol produced their answer: the Special Fire Force. Young and eager third-generation pyrokinetic Shinra Kusakabe, nicknamed Devil's Footprints for his explosive ability to ignite his feet at will, becomes a member of the lively Special Fire Force Company 8. Upholding the brigade's duty to extinguish the blazing Infernals and lay their souls to rest, Shinra is determined to become a hero who will save the lives of those threatened by the flame terror. However, this is not the hero's game Shinra imagined. The Fire Force is a fractured mess of feuding brigades, abnormal Infernal sightings are increasing all over Tokyo, and a shadowy group is claiming to have answers to the strange fire that caused the death of Shinra's family 12 years ago. Faced with many obstacles within and outside the Fire Force, Shinra fights to uncover the truth behind the burning mysteries that have kept him in the dark. [Written by MAL Rewrite]","['Sequel (TV) Enen no Shouboutai: Ni no Shou', 'Adaptation (Manga) Enen no Shouboutai']",Enen no Shouboutai,,Fire Brigade of Flames,Fire Force,Fire Force,Fire Force,['Urban Fantasy'],,
3,ダンジョンに出会いを求めるのは間違っているだろうかII,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,['TV'],12,Finished Airing,"Jul 13, 2019 to Sep 28, 2019",['Summer 2019'],Saturdays at 00:30 (JST),"['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'Hakuhodo DY Music & Pictures', 'Egg Firm', 'FuRyu', 'GREE']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.24,#3169,#222,"864,005","2,124",495079,"It is business as usual in the massive city of Orario, where legions of adventurers gather to explore the monster-infested ""Dungeon."" Among them is the easily flustered yet brave Bell Cranel, the sole member of the Hestia Familia. With the help of his demi-human supporter Liliruca Arde and competent blacksmith Welf Crozzo, Bell has earned the title of Little Rookie by becoming Orario's fastest-growing adventurer thanks to his endeavors within the deeper levels of the Dungeon. Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II continues Bell's adventures as he tries to bring glory to his goddess and protect those he cares about. However, various familias and gods across the city begin to take notice of his achievements and attempt to add him to their ranks. [Written by MAL Rewrite]","['Prequel (TV) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Sequel (TV) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III', 'Adaptation (Manga) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Adaptation (Manga) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II']",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,,"DanMachi 2nd Season, Is It Wrong That I Want to Meet You in a Dungeon 2nd Season",Is It Wrong to Try to Pick Up Girls in a Dungeon? II,,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,,,
4,ありふれた職業で世界最強,Arifureta: From Commonplace to World's Strongest,['TV'],13,Finished Airing,"Jul 8, 2019 to Oct 7, 2019",['Summer 2019'],Mondays at 23:30 (JST),"['AT-X', 'Sony Music Communications', 'Bushiroad', 'Toranoana', 'Hakuhodo DY Music & Pictures', 'Overlap', 'FuRyu', 'Bandai Namco Arts']",['Funimation'],"['asread.', 'White Fox']",['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.72,#5751,#275,"762,485","6,784",431052,"The ordinary life of 17-year-old otaku Hajime Nagumo is disrupted when he and his classmates are summoned to a fantasy world and tasked with saving mankind. While his classmates are gifted with impressive abilities useful in combat, Hajime is belittled for only gaining an inferior transmutation skill that lacks any real offensive power. During an expedition in the Great Orcus Labyrinth, Hajime is betrayed by one of his classmates, plummeting him to the bottom of an abyss. Though he survives the fall, Hajime is faced with menacing monsters and misfortunes that send him spiraling into a grim nightmare. Desperate to live and return home one day, he resolves to fight for his survival—only to meet an imprisoned vampire he names Yue, who is also seeking to escape the labyrinth. Taking an interest in him, Yue and a few others along the way accompany Hajime on his journey to find a way back home, while steadily transforming from commonplace to the world's strongest. [Written by MAL Rewrite]","['Prequel (ONA) Arifureta Shokugyou de Sekai Saikyou: Prologue', 'Sequel (TV) Arifureta Shokugyou de Sekai Saikyou 2nd Season', 'Adaptation (Manga) Arifureta Shokugyou de Sekai Saikyou', 'Adaptation (Light Novel) Arifureta Shokugyou de Sekai Saikyou']",Arifureta Shokugyou de Sekai Saikyou,"['Harem', 'Isekai']",From Common Job Class to the Strongest in the World,Arifureta: From Commonplace to World's Strongest,,Arifureta: From Commonplace to World's Strongest,,,
5,ギヴン,,['TV'],11,Finished Airing,"Jul 12, 2019 to Sep 20, 2019",['Summer 2019'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Shinshokan']",['Crunchyroll'],['Lerche'],['Manga'],"['Boys Love', 'Drama']",,22 min. per ep.,PG-13 - Teens 13 or older,8.30,#281,#386,"600,497","17,621",327884,"Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life. While taking a nap in a quiet spot on the gymnasium staircase, he has a chance encounter with fellow student Ritsuka Uenoyama, who berates him for letting his guitar's strings rust and break. Noticing Uenoyama's knowledge of the instrument, Satou pleads for him to fix it and to teach him how to play. Uenoyama eventually agrees and invites him to sit in on a jam session with his two band mates: bassist Haruki Nakayama and drummer Akihiko Kaji. Satou's voice is strikingly beautiful, filling Uenoyama with the determination to make Satou the lead singer of the band. Though reticent at first, Satou takes the offer after an emotional meeting with an old friend. With the support of his new friends, Satou must not only learn how to play guitar, but also come to terms with the mysterious circumstances that led him to be its owner. [Written by MAL Rewrite]","['Sequel (Movie) Given Movie 1', 'Adaptation (Manga) Given']",Given,"['Music', 'School']",,,,,,,
6,ダンベル何キロ持てる？,How Heavy Are the Dumbbells You Lift?,['TV'],12,Finished Airing,"Jul 3, 2019 to Sep 18, 2019",['Summer 2019'],Wednesdays at 22:30 (JST),"['AT-X', 'Shogakukan', 'Kadokawa Media House', 'RAY', 'NTT Plala', 'Kadokawa']",['Funimation'],['Doga Kobo'],['Web manga'],"['Comedy', 'Ecchi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.23,#3184,#596,"413,983","1,331",191534,"During a regular after-school grub crawl, gluttonous high schooler Hibiki Sakura is confronted about her ever-expanding waistline by her best friend, Ayaka Uehara. With her attempts at solitary exercise failing miserably, Hibiki decides to join the newly opened Silverman Gym. At her orientation, Hibiki runs into student council president and school idol Akemi Souryuuin. However, it soon turns out that Hibiki is in for a lot more than she bargained for. Not only is Silverman Gym full of world-renowned bodybuilders and athletes, but to make matters worse, Akemi turns out to be a total muscle fetishist! Grossed out by the scene unfolding before her eyes, Hibiki begins to leave, only to be stopped by trainer Naruzou Machio. Completely enthralled with her newfound Prince Charming, Hibiki signs up as a gym member. Now, as a result of her spur-of-the-moment decision, Hibiki must adapt to her new lifestyle. [Written by MAL Rewrite]","['Adaptation (Manga) Dumbbell Nan Kilo Moteru?', '']",Dumbbell Nan Kilo Moteru?,,How Many Kilograms are the Dumbbells You Lift?,How Heavy Are The Dumbbelss You Lift?,,,['CGDCT'],,
7,荒ぶる季節の乙女どもよ。,O Maidens in Your Savage Season,['TV'],12,Finished Airing,"Jul 6, 2019 to Sep 21, 2019",['Summer 2019'],Saturdays at 02:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures']",['Sentai Filmworks'],['Lay-duce'],['Manga'],"['Drama', 'Romance']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.30,#2840,#709,"358,859","1,654",159059,"When they were little kids laughing and playing together, Izumi Norimoto and Kazusa Onodera were like siblings. But as their bodies matured into middle school, Kazusa began seeing him as something different; unfortunately for her, so did the other girls. Ostracized, Kazusa had no choice but to distance herself from him going into high school. After joining the literature club, however, she finds friends that keep her mind occupied. Known throughout the school for reading aloud sex scenes in literature novels, the club's reputation has kept all teachers from accepting the task of being their adviser. During a discussion about what they would put on their bucket list, one of the girls says one thing: sex. This single word sends ripples throughout the five girls, as the thought of sex begins taking over their daily lives. And, after walking in on Izumi during a very private moment, Kazusa is sent into a spiral of emotion that forces her to face her true feelings for him. Now, with their hearts racing and the literature club facing immediate disbandment, the five girls must work hard to keep both their sanities and their club alive. [Written by MAL Rewrite]","['Adaptation (Manga) Araburu Kisetsu no Otome-domo yo.', '']",Araburu Kisetsu no Otome-domo yo.,,Maidens of the Savage Season,,,,['School'],,
8,異世界チート魔術師〈マジシャン〉,Isekai Cheat Magician,['TV'],12,Finished Airing,"Jul 10, 2019 to Sep 25, 2019",['Summer 2019'],Wednesdays at 22:00 (JST),"['AT-X', 'Kadokawa Media House', 'Kadokawa', 'Shufunotomo']","None found,",['Encourage Films'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,5.48,#12180,#731,"347,146",552,180534,"Regular high schooler Taichi Nishimura and his childhood friend, Rin Azuma, are on their way to school one ordinary morning. Suddenly, a glowing light envelops them, transporting them to a fantasy world full of magical creatures. Upon their arrival, Taichi and Rin are threatened by a beast. They are promptly saved by a group of adventurers, who advise the pair that traveling unarmed and inexperienced makes them vulnerable to the recently increasing monster attacks. Taichi and Rin are directed to the Guild, where they can determine their magical aptitude and register as adventurers. However, the test they take reveals an unprecedented result: Taichi and Rin possess extraordinary powers that far surpass the standard mage, instantly transforming them from typical high school students to the ultimate cheat magicians. Taichi and Rin learn to grasp the full extent of their powers and familiarize themselves with their new world. However, while the duo seeks to uncover the reason behind their transportation and a possible way back to their original world, unexpected trouble lurks in the shadows. [Written by MAL Rewrite]","['Sequel (TV Special) Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi', 'Adaptation (Manga) Isekai Cheat Magician', 'Adaptation (Light Novel) Isekai Cheat Magician', '']",Isekai Cheat Magician,,Isekai Cheat Majutsushi,,,,['Isekai'],,
9,からかい上手の高木さん2,Teasing Master Takagi-san 2,['TV'],12,Finished Airing,"Jul 7, 2019 to Sep 22, 2019",['Summer 2019'],Sundays at 23:30 (JST),"['Dentsu', 'TMS Entertainment', 'Asmik Ace', 'TOHO animation', 'Shogakukan', 'Sumitomo']","None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Romance']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.03,#625,#733,"346,372","2,315",189147,"Even after spending a considerable amount of time with Takagi, Nishikata is still struggling to find a perfect plan to defeat the expert teaser. A battle of wits, a contest of physical prowess, a test of courage—any strategy he employs to expose her weaknesses is to no avail. On the contrary, Nishikata's pitiful attempts only reveal more of his own flaws, which Takagi takes advantage of to become increasingly daring in her teasing attempts. To make things worse for Nishikata, rumors about him and Takagi may have spread in class due to the frequent interactions between them. However, the optimistic Nishikata believes that wisdom comes with age and that as the days go by, his experience with her constant teasing will eventually bear fruit, leading him to the awaited moment of victory. Thus, Nishikata continues to strive for the seemingly impossible—to outsmart Takagi and make her blush with embarrassment. [Written by MAL Rewrite]","['Prequel (TV) Karakai Jouzu no Takagi-san', 'Sequel (TV) Karakai Jouzu no Takagi-san 3', 'Adaptation (Manga) Karakai Jouzu no Takagi-san', 'Adaptation (Manga) Ashita wa Doyoubi']",Karakai Jouzu no Takagi-san 2,"['Love Status Quo', 'School']","Skilled Teaser Takagi-san 2nd Season, Karakai Jouzu no Takagi-san Second Season",Karakai Jozu No Takagi-san Staffel 2,Takagi-san: Experta en Bromas Pesadas Temporada 2,Karakai Jozu No Takagi-san Saison 2,,,
