,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genres,Synonyms,Theme,Spanish,Demographics
20,HUNTER×HUNTER（ハンター×ハンター）,Hunter x Hunter,,['TV'],62,Finished Airing,"Oct 16, 1999 to Mar 31, 2001",['Fall 1999'],Saturdays at 18:00 (JST),['Fuji TV'],['VIZ Media'],['Nippon Animation'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.42,#183,#375,"616,841","11,537",300255,"Hunters are specialized in a wide variety of fields, ranging from treasure hunting to cooking. They have access to otherwise unavailable funds and information that allow them to pursue their dreams and interests. However, being a hunter is a special privilege, only attained by taking a deadly exam with an extremely low success rate. Gon Freecss, a 12-year-old boy with the hope of finding his missing father, sets out on a quest to take the Hunter Exam. Along the way, he picks up three companions who also aim to take the dangerous test: the revenge-seeking Kurapika, aspiring doctor Leorio Paladiknight, and a mischievous child the same age as Gon, Killua Zoldyck. As the four aspiring hunters embark on a perilous adventure, they fight for their dreams while defying the odds. [Written by MAL Rewrite]","['Sequel (OVA) Hunter x Hunter: Original Video Animation', 'Adaptation (Manga) Hunter x Hunter']",Hunter x Hunter,,"['Action', 'Adventure', 'Fantasy']",HxH,,Hunter X Hunter: Cazadores de Tesoros,
21,遊☆戯☆王　デュエルモンスターズ,Yu-Gi-Oh!,Yu-Gi-Oh!,['TV'],224,Finished Airing,"Apr 18, 2000 to Sep 29, 2004",['Spring 2000'],Tuesdays at 19:28 (JST),"['Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#603,"412,205","5,011",259909,"Yuugi Mutou is a naïve and lonely high school student who is fascinated by games. While staying with his grandfather, the owner of a game shop, he comes across an ancient Egyption relic known as the ""Millennium Puzzle."" Rumored to grant any wish to those who solve the Puzzle, Yuugi becomes determined to solve it to wish for some friends. After years of struggling, Yuugi manages to complete the puzzle and mysteriously finds that his wish has been fulfilled. Meanwhile, a new card game known as ""Duel Monsters"" starts rising in popularity. In this game, players called duelists fight against each other with ""monsters"" by using magic and trap cards to foil their opponent's plans. Yuugi quickly becomes skilled at the game and lives a peaceful life with his newfound friends. However, Yuugi's peace is short-lived. The undefeated duelist and egocentric billionaire Seto Kaiba suddenly abducts Yuugi's grandfather, forcing him to duel against the rare ""Blue Eyes White Dragon'' card. Yuugi is thrown into a new world of fierce battles and the stakes continue to rise as dark forces interfere from the shadows. After unexpectedly defeating Kaiba with the help of his ""other self""—the spirit of a nameless pharaoh—contained in the puzzle, he unofficially becomes the top duelist known as ""The King of Games."" However, this new title will attract covetousness and Yuugi will have to use all his intelligence and willpower in order to protect what he holds the dearest to him. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh!', 'Sequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', 'Sequel (Movie) Yu☆Gi☆Oh! The Dark Side of Dimensions', 'Adaptation (Manga) Yu☆Gi☆Oh!']",Yu☆Gi☆Oh! Duel Monsters,,"['Action', 'Adventure', 'Fantasy']","Yugioh, Yu-Gi-Oh!, Yu-Gi-Oh!: Duel Monsters, Yugioh: Duel Monsters, Yu-Gi-Oh! Duel Monsters",['Strategy Game'],,
22,名探偵コナン,Case Closed,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],,,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#435,#706,"360,898","15,328",164370,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Case Closed,"['Adventure', 'Comedy', 'Mystery']",Detective Conan,['Detective'],,
23,学校の怪談,Ghost Stories,Ghost Stories,['TV'],19,Finished Airing,"Oct 22, 2000 to Mar 25, 2001",['Fall 2000'],Saturdays at 19:30 (JST),"['Aniplex', 'Fuji TV']","['ADV Films', 'Discotek Media']",['Pierrot'],Novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,7.75,#1168,#1118,"233,279","2,280",98486,"Years ago, all of the ghosts in a haunted schoolhouse were banished by a certain student. Now, they're back—and they want revenge... Satsuki and Keiichirou Miyanoshita are two siblings recovering from the tragic loss of their mother. After moving to their mother's hometown, they learn that the local school they have transferred to is an old building—one said to be haunted. Despite initially brushing it off as a silly rumor, the two soon discover that ghosts are indeed real and that they're after them! Gakkou no Kaidan is the creepy tale of the lives of these siblings and their newfound friends as they try to survive the school's ghosts—with a little help from their pet cat along the way. [Written by MAL Rewrite]",[],Gakkou no Kaidan,Ghost Stories,"['Horror', 'Mystery', 'Supernatural']","Ghosts at School, School Ghost Stories",,Ghost Stories,
24,デジモンアドベンチャー０２,Digimon Adventure 02,,['TV'],50,Finished Airing,"Apr 2, 2000 to Mar 25, 2001",['Spring 2000'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']","['Discotek Media', 'Saban Entertainment', 'Flatiron Film Company']",['Toei Animation'],Original,,,['Kids'],25 min. per ep.,PG - Children,7.24,#3167,#1145,"227,507",779,146393,"Taichi Yagami and his friends have moved on to junior high, but by that time, they have lost contact with their Digimon partners. Taichi is therefore surprised to suddenly receive a distress call summoning him to the Digital World. Once there, he learns that Digimon are living in fear of the mysterious Digimon Emperor, who is somehow suppressing their ability to Digivolve! In the real world, Hikari Yagami and Takeru Takaishi reunite in the same fifth grade class. They share three schoolmates: Daisuke Motomiya, who reminds them both of Taichi; Miyako Inoue, a technical wizard; and Iori Hida, Miyako's neighbor. When these three children receive ""D-3"" Digivices, they—along with Hikari and Takeru, who still possess their own original Digivices—comprise the new generation of ""Chosen Children"" who must save the world once again. With the power of the Armored Digi-Eggs, they must thwart the Digimon Emperor's plans to spread his influence over the entire Digital World. [Written by MAL Rewrite]","['Prequel (Movie) Digimon Adventure: Bokura no War Game!', 'Sequel (Movie) Digimon Adventure 02: Diablomon no Gyakushuu', 'Adaptation (Manhua) Digimon Zero Two', '']",Digimon Adventure 02,,"['Action', 'Adventure', 'Comedy', 'Fantasy']","Digimon Adventure Zero Two, Digimon: Digital Monsters 02",['Isekai'],,
25,THEビッグオー,The Big O,,['TV'],26,Finished Airing,"Oct 13, 1999 to Mar 27, 2003",['Fall 1999'],Unknown,['Bandai Visual'],"['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,,"['Adult Cast', 'Mecha', 'Psychological']",,24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1863,#2202,"101,850","1,013",39647,"Paradigm City, a city of amnesia and a place of belonging. It remains populated by forgotten pasts and the ruins of their labors due to a calamity 40 years ago. Shrouded in a fog-like mystery, it is up to people like Roger Smith to shine a light through the mist. Acting as a professional negotiator and suave agent, Roger is a self-tailored ladies man whose only love is for funeral black. However, as he gets deeply involved with his clients, what often starts as a simple negotiation evolves into Roger saving Paradigm from crime and peril. In the process, Roger stumbles even deeper into the untold folds of the city. As a rule, things are hardly ever as they appear. Serving as gray knight in a gray world, Roger is not without allies. By his side are Norman, a loyal and widely skilled butler, and Dorothy, a human-like android with deadpan snark. Together with the relic Big O, a jet-black mecha of gargantuan size and weight, they help Roger serve iron justice to Paradigm's lurking villains as he discovers the truth about 40 years ago. [Written by MAL Rewrite]","['Adaptation (Manga) The Big O', '']",The Big O,,"['Action', 'Mystery', 'Sci-Fi']","Big O Roger, Big O",,,
26,クレヨンしんちゃん,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],,,['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,099","1,330",42203,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,Shin Chan,"['Comedy', 'Ecchi']",,['School'],Shin Chan,
27,ドラえもん,Doraemon,,['TV'],1787,Finished Airing,"Apr 2, 1979 to Mar 18, 2005",['Spring 1979'],Fridays at 19:00 (JST),"['TV Asahi', 'Asatsu DK']","None found,",['Shin-Ei Animation'],['Manga'],,,,11 min. per ep.,PG - Children,7.86,#898,#2835,"67,037",669,39831,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school. To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is? [Written by MAL Rewrite]","['Prequel (TV) Doraemon', 'Sequel (TV) Doraemon (2005)', 'Adaptation (Manga) Doraemon', '']",Doraemon (1979),,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,['Anthropomorphic'],Doraemon,"['Kids', 'Shounen']"
28,とっとこハム太郎,Hamtaro,Hamtaro,['TV'],296,Finished Airing,"Jul 7, 2000 to Mar 31, 2006",['Summer 2000'],Fridays at 18:30 (JST),"['TV Tokyo', 'Half H.P Studio']",['VIZ Media'],['TMS Entertainment'],['Manga'],,,['Kids'],25 min. per ep.,G - All Ages,7.01,#4329,#2951,"62,643",280,30616,"He's small, fluffy, and absolutely adorable: Hamtarou is one perfect little hamster! After moving to a new house with his owner, 5th grader Hiroko Haruna, Hamtarou discovers other hamsters and quickly makes friends. The group of hamster explorers call themselves the Ham-Hams, and there's nowhere they won't go. The Ham-Hams go on crazy adventures all around the city while their owners are away, visiting everything from plays to magical lands of candy. Meanwhile, the humans face their own dramas.. Hamtarou meets a huge cast of different personalities, gets himself into—and out of—some pretty tight spots, and even helps Hiroko and her friends out more than once. Through it all, he never stops being unbearably cute. It's Hamtarou time!","['Sequel (TV) Tottoko Hamtarou Hai!', 'Adaptation (Manga) Hamtaro']",Tottoko Hamtarou,Hamtaro,"['Adventure', 'Comedy']","Tottoko Hamtaro Dechu, Tottoko Hamutaro",['Anthropomorphic'],Hamtaro,
29,幻想魔伝 最遊記,Saiyuki,,['TV'],50,Finished Airing,"Apr 4, 2000 to Mar 27, 2001",['Spring 2000'],Tuesdays at 18:30 (JST),"['TV Tokyo', 'Dentsu', 'Group TAC']",['ADV Films'],['Pierrot'],['Manga'],,,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.54,#1822,#3085,"57,356",799,21888,"Many years ago, humans and demons lived in harmony. But that unity ended when demons started attacking humans and plotted a mission to unleash Gyumao—an evil demon imprisoned for thousands of years. Now, Genjo Sanzo, a rogue priest, must team up with three demons—Sha Gojyo, Son Goku, and Cho Hakkai—and embark on a perilous journey to the west to stop these demons from resurrecting Gyumao and restore the balance between humans and demons on Earth. (Source: ANN)","['Prequel (OVA) Saiyuuki Reload: Burial', 'Sequel (TV) Saiyuuki Reload', 'Adaptation (Manga) Saiyuuki Read Manga', '']",Gensoumaden Saiyuuki,Saiyuki,"['Action', 'Adventure', 'Drama', 'Fantasy']",Gensou Maden Saiyuki,['Mythology'],Saiyuki,
30,アルジェント ソーマ,,,['TV'],25,Finished Airing,"Oct 6, 2000 to Mar 22, 2001",['Fall 2000'],Fridays at 01:15 (JST),"None found,","['Bandai Entertainment', 'Sentai Filmworks']",['Sunrise'],Original,,"['Mecha', 'Military']",,25 min. per ep.,PG-13 - Teens 13 or older,6.74,#5659,#4361,"29,329",84,7823,"The 21st century was supposed to mark the beginning of mankind's golden age of space travel. However, humanity's lingering dreams of the stars are shelved when Earth suddenly comes under attack by alien entities. Trampling across the planet's surface, these giant invaders leave nothing but death and destruction in their wake. Having suffered personal losses from the invasion, Takuto Kaneshiro joins the fight against the extraterrestrial enemies. In his quest for vengeance, the disillusioned young Takuto must seek out any possible allies, but the line between friend and foe is dangerously thin. When old powers crumble and new opportunities arise, many are prepared to capitalize on the chaos. Takuto soon realizes that the aliens may be the least complicated obstacle to uncovering the greater truth behind the catastrophic invasion. [Written by MAL Rewrite]","['Adaptation (Manga) Argento Soma', '']",Argento Soma,,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",AΠHENTO ΣOMA,,,
31,だぁ! だぁ! だぁ!,,,['TV'],78,Finished Airing,"Mar 28, 2000 to Feb 26, 2002",['Spring 2000'],Tuesdays at 18:00 (JST),"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,",['J.C.Staff'],['Manga'],,,['Shoujo'],25 min. per ep.,G - All Ages,7.63,#1483,#4553,"26,883",253,12282,"Miyu is an 8th grade girl, whose parents have been hired by NASA. They take off to America leaving Miyu with Mr. Saionji. Later, Mr. Saionji decides to go on a 1 year long trip to India leaving Miyu alone with his son, Kanata. More complications rise when an Alien baby and his babysitter pet crashes/lands in their house. To make things worse, alien baby starts calling Miyu and Kanata Mom and Dad, also showing ESP power and floating around. (Source: ANN)","['Adaptation (Manga) Daa! Daa! Daa!', '']",Daa! Daa! Daa!,,"['Comedy', 'Sci-Fi']","Da!Da!Da!, UFO Baby",['Childcare'],,
32,メダロット魂,Medabots Spirits,,['TV'],39,Finished Airing,"Jul 7, 2000 to Mar 30, 2001",['Summer 2000'],Fridays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Nelvana']","['ADV Films', 'Discotek Media']",['Trans Arts'],Game,,,,24 min. per ep.,G - All Ages,6.67,#6060,#4954,"21,901",23,11157,"The sequel to the famous Medabots series, following the continuing adventures of Ikki and Metabee. The two encountered a strange enemy named Jinkai and the so called Death Medabots. Along with Nae and Erica, they will defeat Jinkai and the Death Medabots.","['Prequel (TV) Medarot', '']",Medarot Damashii,,"['Action', 'Adventure', 'Sci-Fi']","Medabots Damashii, Medabots Spirits, Medabots II",,,
33,こちら葛飾区亀有公園前派出所 (1996),,,['TV'],373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",['Summer 1996'],Sundays at 19:00 (JST),"['Asatsu DK', 'Fuji TV']","None found,",['Gallop'],['Manga'],['Comedy'],"['Adult Cast', 'Detective', 'Gag Humor']",['Shounen'],25 min. per ep.,PG-13 - Teens 13 or older,7.78,#1083,#5111,"20,334",197,7455,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","['Adaptation (Manga) Kochira Katsushikaku Kameari Kouenmae Hashutsujo', '']",Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,,"Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",,Kochikame,
34,ブリガドーン まりんとメラン,Brigadoon,,['TV'],26,Finished Airing,"Jul 21, 2000 to Feb 9, 2001",['Summer 2000'],Fridays at 19:30 (JST),['Bandai Visual'],['Tokyopop'],['Sunrise'],Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,7.19,#3409,#5783,"14,753",149,3977,"Marin is a typical junior high school girl with a sunny disposition and a loving adoptive family. Her life takes a drastic change when a mysterious mirage is seen in the sky above the entire earth. Killer androids called Monomakia descend to earth from the formation in the sky called Brigadoon and begin to hunt down little Marin. She discovers a blue bottle in a shrine as she seeks escape and from the bottle comes a protector, a sword carrying gun slinging alien called Melan Blue, together they must save the earth and deal with family crisis, school prejudice and the police and come to an understanding of Marins past and Melans unexplained mission, as well as learn to trust each other. Set in 1969 Japan with a colorful cast of friends and enemies. (Source: ANN)","['Adaptation (Manga) Brigadoon: Marin to Melan', '']",Brigadoon: Marin to Melan,,"['Adventure', 'Comedy', 'Drama', 'Sci-Fi']","Brigadoon Marin and Melan, MariMera",['Mecha'],,
35,POPEE the ぱフォーマー,Popee the Clown,,['TV'],39,Finished Airing,"Jan 3, 2000 to Dec 28, 2001",['Winter 2000'],Mondays at 20:53 (JST),"['Kids Station', 'Nippon Columbia']","None found,",['Zuiyo'],Original,,,,4 min. per ep.,R - 17+ (violence & profanity),7.27,#2980,#6258,"12,007",333,5261,"Somewhere in the desert lies the Wolf Zirkus: a strange circus where Popee, a clown in a pink rabbit jumpsuit, shares the stage with Kedamono, a purple creature who wears a mask. Together, they juggle the whims of performing, practicing their acts, and poking fun at each other. In a world where anything seems possible, there is no telling what will happen next during this eccentric spectacle. [Written by MAL Rewrite]",[],Popee the Performer,,"['Avant Garde', 'Comedy']",,['Gag Humor'],,
36,勝負師伝説哲也,,,['TV'],20,Finished Airing,"Oct 7, 2000 to Mar 24, 2001",['Fall 2000'],Unknown,"['TV Asahi', 'Toei Video', 'Toei Advertising']","None found,",['Toei Animation'],['Manga'],,"['Historical', 'Strategy Game']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.51,#1921,#6416,"11,316",70,3878,"In the year 1947, the people of Shinjuku are down on their luck. With little money to buy food or necessities, some resort to gambling in order to survive. Traveling Tetsuya chooses to spend his time at Mahjong parlors where he is wiping the floor clean with his adversaries. However, when Tetsuya meets the intensely skilled Boushu-san, he realizes that his skills are still lacking. (Source: ANN)","['Adaptation (Manga) Tetsuya: Jansei to Yobareta Otoko', '']",Shoubushi Densetsu Tetsuya,,,Legendary Gambler Tetsuya,,,
37,サイファイハリー,Sci-Fi Harry,,['TV'],20,Finished Airing,"Oct 6, 2000 to Mar 23, 2001",['Fall 2000'],Saturdays at 02:09 (JST),"['TV Asahi', 'Nagoya Broadcasting Network']",['Super Techno Arts'],['APPP'],['Manga'],,"['Psychological', 'Super Power']",,25 min. per ep.,R - 17+ (violence & profanity),6.16,#9043,#6746,"10,097",19,2813,"Harry is definitely not your average American teenager. Instead, he is the epitome of an ""alienated youth""—friendless at school, extremely weird, and nervous to the point of paranoia. But a chance occurrence causes Harry to start to demonstrate what appear to be psychic powers—yet he neither believes in them nor consciously controls them. However, there are other ominous forces at work who do believe in Harry and attempt to make use of him in ways that are threatening and frightful. (Source: AniDB, edited)","['Adaptation (Manga) Sci-Fi Harry', '']",Sci-Fi Harry,,"['Drama', 'Horror', 'Sci-Fi', 'Suspense']",Neo Psychic Experiment: Sci-Fi Harry,,,
38,サザエさん,Mrs. Sazae,,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],,,,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,"['Comedy', 'Slice of Life']",,,,
39,忍たま乱太郎,,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],['Comedy'],,['Kids'],10 min.,G - All Ages,7.08,#4020,#7395,"8,015",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,,,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",,El Ninja Boy Rantaró,
40,ちびまる子ちゃん,Little Miss Maruko,,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],['Comedy'],,['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7910,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),,,Maruko-chan,['School'],Chibi Maruko-chan,
41,ドッとKONIちゃん,.Koni-chan,,['TV'],26,Finished Airing,"Nov 26, 2000 to May 29, 2001",['Fall 2000'],Sundays at 17:00 (JST),"['Genco', 'Animax']","None found,",['Shaft'],Original,['Comedy'],,,25 min. per ep.,PG-13 - Teens 13 or older,7.28,#2923,#8587,"5,587",22,2131,"Koni (whose character is based on the famous Sumo-wrestler) and his gang have lots of crazy and incoherent adventures in their town. From fighting with their ""Lovely-Teacher"" and dealing with Samurai fish, to confirming if ""The Armored-Guy's"" wife has an affair and saving the world, Koni, High, Moro, Nari and Afro, the Afro-dog, do the craziest and funniest things to have fun. (Source: ANN)",[],Dotto Koni-chan,,,,,,
42,それいけ！アンパンマン,,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,,,['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,"['Comedy', 'Fantasy']","Soreike! Anpanman, Go! Anpanman, Anpanman TV",,,
43,GEAR戦士 電童,,,['TV'],38,Finished Airing,"Oct 4, 2000 to Jun 27, 2001",['Fall 2000'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['Sunrise'],Original,,"['Mecha', 'School', 'Space']",,23 min. per ep.,PG - Children,7.15,#3650,#9321,"4,398",18,1653,"The story takes place in the future where war machines from evil mechanical alien empire Garufa finally reaches Earth. In order to protect earth, an Earth defense organization called GEAR (Guard Earth and Advanced Reconnaissance) is formed. GEAR has an ultimate weapon in a form of war mecha, GEAR Fighter Dendoh, which is piloted by two elementary school students, namely Kusanagi Hokuto and Izumo Ginga. Can the friendship between Hokuto and Ginga unleashed the full potential power of Dendoh in order to fight Garufa? (Source: AniDB)",[],Gear Fighter Dendoh,,"['Action', 'Adventure', 'Sci-Fi']","GEAR Senshi Dendoh, Guard Earth and Advanced Reconnaissance Fighter Dendo, GEAR Senshi Dendou",,,
44,真・女神転生 デビチル,,,['TV'],50,Finished Airing,"Oct 7, 2000 to Sep 29, 2001",['Fall 2000'],Saturdays at 07:30 (JST),"None found,","None found,",['Tokyo Movie'],Game,,"['Mythology', 'Video Game']",['Kids'],23 min. per ep.,PG - Children,6.50,#7039,#9979,"3,574",2,931,A series based off of the Shin Megami Tensei: Devil Children franchise.,"['Sequel (TV) Shin Megami Tensei Devil Children: Light & Dark', 'Adaptation (Manga) Shin Megami Tensei Devil Children']",Shin Megami Tensei Devil Children,,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Supernatural']",,,,
45,キョロちゃん,,,['TV'],91,Finished Airing,"Jul 1, 1999 to Mar 29, 2001",['Summer 1999'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems']","None found,",['Group TAC'],Other,,,,25 min. per ep.,PG - Children,7.28,#2944,#10081,"3,465",26,1740,"While exploring ruins on Angel Island, a doctor finds a myserious newborn bird called Kyoro-chan. Together they form a bond and decide to travel the world together. Three years later when the Doctor and Kyoro-chan try to return to Angel Island they become shipwrecked from a storm. Kyoro-chan was able to make it safely to the island but the Doctor was nowhere to be found. Kyoro-chan prays for his safety and hope he returns as he now starts his new life on Angel Island.",[],Kyoro-chan,,"['Adventure', 'Comedy', 'Fantasy']",,,,
46,どーもくん,,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,,,['Kids'],39 sec. per ep.,G - All Ages,6.43,#7544,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,"['Comedy', 'Slice of Life']",,,,
