,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Genres,Synonyms,Theme,Spanish,Demographics
10,すしあざらし,,,['TV'],30,Finished Airing,"Jan 20, 2001 to Sep 29, 2001",['Winter 2001'],Saturdays at 16:55 (JST),"None found,","None found,",['M.S.C'],Picture book,['Comedy'],,,2 min. per ep.,PG - Children,[],#14647,#17833,434,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sushi Azarashi,,,Sushi Seal,,,
11,검정 고무신,Black Rubber Shoes,,['TV'],39,Finished Airing,"Dec 15, 2000 to Jan 5, 2005",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],,,['Kids'],11 min. per ep.,PG - Children,[],#18180,#23238,130,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong Gomusin 4', '']",Geomjeong Gomusin,,,,,,
12,무지개 요정 통통,,,['TV'],19,Finished Airing,"Feb 23, 2001 to Jun 2002",['Winter 2001'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],25 min. per ep.,PG - Children,[],#20473,#23510,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mujigae Yojeong Tongtong,,"['Adventure', 'Fantasy']",,,,
13,검정고무신,,,['TV'],7,Finished Airing,"Dec 15, 2000 to Feb 2, 2001",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],['Comedy'],,['Kids'],24 min. per ep.,PG - Children,[],#18182,#24424,104,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Geomjeong-gomusin 2nd Season', '']",Geomjeong-gomusin,,,,,,
14,검정 고무신 2기,,,['TV'],6,Finished Airing,"Feb 9, 2001 to Mar 16, 2001",['Winter 2001'],Unknown,"None found,","None found,","None found,",['Manga'],['Comedy'],,['Kids'],24 min. per ep.,PG - Children,[],#18183,#24917,97,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Geomjeong-gomusin', 'Sequel (TV) Geomjeong-gomusin 3rd Season']",Geomjeong-gomusin 2nd Season,,,,,,
15,すてき！さくらママ,,,['TV'],18,Finished Airing,"Dec 2, 2000 to Mar 31, 2001",['Winter 2001'],Saturdays at 19:55 (JST),"None found,","None found,","None found,",Unknown,,,,5 min. per ep.,G - All Ages,[],#14652,#25325,91,0,,"I, Sakura Haruno, together with my loving husband Yo and my lovely Mika, am going to learn more and more about how to live and build a wonderful family. In this program, we will use a combination of animation and live-action footage to convey the wisdom of daily life in an easy-to-understand manner! (Source: Official site, translated)",[],Suteki! Sakura Mama,,,,['Educational'],,
16,ONE PIECE,One Piece,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],,,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,650","234,852",1420272,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,"['Action', 'Adventure', 'Fantasy']",OP,,,
17,犬夜叉,InuYasha,,['TV'],167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",['Fall 2000'],Mondays at 19:00 (JST),['Yomiuri Telecasting'],['VIZ Media'],['Sunrise'],['Manga'],,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.87,#894,#245,"827,227","19,338",402579,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands. [Written by MAL Rewrite]","['Sequel (TV) InuYasha: Kanketsu-hen', 'Adaptation (Manga) InuYasha']",InuYasha,,"['Action', 'Adventure', 'Fantasy', 'Romance']",Inu Yasha,,Inuyasha,
18,ポケットモンスター,Pokémon,Pokémon,['TV'],276,Finished Airing,"Apr 1, 1997 to Nov 14, 2002",['Spring 1997'],Thursdays at 19:00 (JST),"['TV Tokyo', 'TV Tokyo Music', 'Shogakukan Productions']","['VIZ Media', '4Kids Entertainment']",['OLM'],Game,,,['Kids'],24 min. per ep.,PG - Children,7.40,#2384,#349,"654,038","5,564",411340,"Pokémon are peculiar creatures with a vast array of different abilities and appearances; many people, known as Pokémon trainers, capture and train them, often with the intent of battling others. Young Satoshi has not only dreamed of becoming a Pokémon trainer but also a ""Pokémon Master,"" and on the arrival of his 10th birthday, he finally has a chance to make that dream a reality. Unfortunately for him, all three Pokémon available to beginning trainers have already been claimed and only Pikachu, a rebellious Electric-type Pokémon, remains. However, this chance encounter would mark the start of a lifelong friendship and an epic adventure! Setting off on a journey to become the very best, Satoshi and Pikachu travel across beautiful, sprawling regions with their friends Kasumi, a Water-type trainer, and Takeshi, a Rock-type trainer. But danger lurks around every corner. The infamous Team Rocket is always nearby, seeking to steal powerful Pokémon through nefarious schemes. It'll be up to Satoshi and his friends to thwart their efforts as he also strives to earn the eight Pokémon Gym Badges he'll need to challenge the Pokémon League, and eventually claim the title of Pokémon Master. [Written by MAL Rewrite]","['Sequel (TV) Pokemon Advanced Generation', 'Adaptation (Manga) Satoshi to Pikachu', 'Adaptation (Manga) Dengeki! Pikachu', '']",Pokemon,Pokémon,"['Action', 'Adventure', 'Comedy', 'Fantasy']","Pocket Monsters, Indigo League, Adventures on the Orange Islands, The Johto Journeys, Johto League Champions, Master Quest",,Pokémon,
19,はじめの一歩 THE FIGHTING!,Fighting Spirit,IPPO Le Challenger,['TV'],75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",['Fall 2000'],Tuesdays at 00:50 (JST),['VAP'],"['Discotek Media', 'Geneon Entertainment USA']",['Madhouse'],['Manga'],['Sports'],,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.78,#37,#360,"638,244","23,544",315401,"In his father's absence, teenager Ippo Makunouchi works hard to help his mother run her fishing boat rental business. Ippo's timid nature, his lack of sleep, and the sea smell make him an easy target for relentless bullies who leave him bruised and beaten on a daily basis. Mamoru Takamura, an up-and-coming boxer, rescues Ippo from a violent after-school incident and takes him back to the Kamogawa Boxing Gym for recovery. Takamura and his fellow boxers, Masaru Aoki and Tatsuya Kimura, are stunned by Ippo's powerful punches—a result of strong muscles developed through years serving his physically taxing family business. Following brief training under Takamura, Ippo impresses the other boxers in a practice match against prodigy Ichirou Miyata. He gains a rival in Miyata and a coach in Genji Kamogawa, the gym owner and a former boxer himself. As Ippo takes the first steps in his official boxing career, he faces off against a series of challenging opponents, each more powerful than the last. Victory, loss, and a cycle of dedicated training await Ippo on his journey to achieve greatness. With his tough body and unstoppable fighting spirit, the kind young man seeks to take on the world. [Written by MAL Rewrite]","['Sequel (TV Special) Hajime no Ippo: Champion Road', 'Adaptation (Manga) Hajime no Ippo']",Hajime no Ippo,,,"The First Step, Hajime no Ippo: The Fighting",['Combat Sports'],Hajime no Ippo: Espíritu de Lucha,
