,Japanese,English,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Theme,Demographic,Spanish,Genre,German,Demographics
0,プリンセスチュチュ,Princess Tutu,Princesse Tutu,['TV'],38,Finished Airing,"Aug 16, 2002 to May 23, 2003",['Summer 2002'],Fridays at 20:30 (JST),"['Memory-Tech', 'GANSIS', 'Marvelous AQL', 'Omnibus Promotion']","['ADV Films', 'Sentai Filmworks']",['HAL Film Maker'],Original,"['Drama', 'Mystery', 'Romance']","['Anthropomorphic', 'Love Polygon', 'Mahou Shoujo', 'Performing Arts']",16 min. per ep.,PG-13 - Teens 13 or older,8.14,#472,#1432,"176,466","5,207",68336,"In a fairy tale come to life, the clumsy, sweet, and gentle Ahiru seems like an unlikely protagonist. In reality, Ahiru is just as magical as the talking cats and crocodiles that inhabit her town—for Ahiru really is a duck! Transformed by the mysterious Drosselmeyer into a human girl, Ahiru soon learns the reason for her existence. Using her magical egg-shaped pendant, Ahiru can transform into Princess Tutu—a beautiful and talented ballet dancer whose dances relieve people of the turmoil in their hearts. With her newfound ability, Ahiru accepts the challenge of collecting the lost shards of her prince's heart, for long ago he had shattered it in order to seal an evil raven away for all eternity. Princess Tutu is a tale of heroes and their struggle against fate. Their beliefs, their feelings, and ultimately their actions will determine whether this fairy tale can reach its ""happily ever after."" [Written by MAL Rewrite]","['Adaptation (Manga) Princess Tutu', '']",Princess Tutu,,,,,,,
1,Witch Hunter ROBIN (ウイッチハンターロビン),Witch Hunter Robin,,['TV'],26,Finished Airing,"Jul 3, 2002 to Dec 25, 2002",['Summer 2002'],Wednesdays at 01:25 (JST),"['Bandai Visual', 'Dentsu', 'Victor Entertainment']","['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,"['Action', 'Drama', 'Mystery', 'Supernatural']",,25 min. per ep.,PG-13 - Teens 13 or older,7.24,#3150,#1927,"121,899",665,45088,"Though hidden away from the general public, Witches—those with supernatural powers—have always existed in human societies. Neither numerous nor inherently evil, Witches are nonetheless capable of creating disorder by misusing their powers for criminal means. The task of solving supernatural crimes falls outside of the jurisdiction of normal authorities and is instead handled by the Solomon organization. Having finished her training in Italy, Robin Sena transfers to Solomon's local Japanese branch, STNJ. Possessing powerful pyrokinetic abilities, she is herself a Witch, putting her at odds with STNJ's methods of dealing with rogue Witches. In particular, Robin opposes the use of an elixir called Orbo, which can weaken or even neutralize a Witch's powers. If Robin wants to find her place within the organization, she must find a way to navigate the internal politics of Solomon while also handling the threat of hostile Witches—but both seem to be dangerous for very different reasons. [Written by MAL Rewrite]",[],Witch Hunter Robin,WHR,['Detective'],,,,,
2,最終兵器彼女,"She, The Ultimate Weapon",,['TV'],13,Finished Airing,"Jul 2, 2002 to Sep 24, 2002",['Summer 2002'],Tuesdays at 19:00 (JST),"['Toei Video', 'Toshiba EMI', 'Tohokushinsha Film Corporation']","['VIZ Media', 'Sentai Filmworks']",['Gonzo'],['Manga'],"['Drama', 'Romance', 'Sci-Fi']","['Military', 'School']",24 min. per ep.,R - 17+ (violence & profanity),7.13,#3781,#2206,"101,323",607,38613,"Chise is an ordinary schoolgirl: small, frail, and not particularly intelligent. Her greatest joy is her budding romance with her classmate and childhood friend, Shuuji. They both live in a small military town in Hokkaido, where high schoolers have few concerns other than who is dating whom and complaining about the steep climb up ""Hell Hill"" every day before school. One day, Shuuji and his friends make a trip to Sapporo to buy gifts for their girlfriends. A massive air raid on Sapporo that day kills thousands, including one of Shuuji's friends, and signals the beginning of a war. Fleeing from the carnage, Shuuji spots Chise, though now she has steel wings and a massive gun where her right arm should be. Against her will, she has been transformed into the ultimate cyborg weapon, capable of leveling entire cities. As the war rages closer and closer to their hometown, Chise and Shuuji's relationship is strained by her transformation, and they are left to wonder whether she is even still human. [Written by MAL Rewrite]","['Adaptation (Manga) Saishuu Heiki Kanojo', '']",Saishuu Heiki Kanojo,"SaiKano, Saishuuheiki Kanojo: The Last Love Song on This Little Planet",,['Seinen'],,,,
3,SAMURAI DEEPER KYO,Samurai Deeper Kyo,Samurai Deeper Kyo,['TV'],26,Finished Airing,"Jul 2, 2002 to Dec 24, 2002",['Summer 2002'],Tuesdays at 01:55 (JST),['Starchild Records'],"['Media Blasters', 'NYAV Post']",['Studio Deen'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Supernatural']","['Historical', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,6.89,#4851,#3065,"58,325",204,27086,"In the year 1600, at the fog-covered battlefield of Sekigahara, a fierce battle was waged by two exemplary swordsmen. One was Kyoushirou Mibu, a skilled and noble warrior in possession of the unique powers of the Mibu Clan. The other was the thousand-man slayer, with eyes and hair the color of blood, ""Demon Eyes"" Kyou. Their legendary clash was cut short when a meteor from the heavens fell down upon that battlefield, leaving both to vanish in its wake. Samurai Deeper Kyou begins four years after that battle, when a gun-wielding bounty hunter by the name of Yuya Shiina hunts down Kyoushirou—now a perverted, traveling medicine-man who has built up a large debt. On her way to claim his bounty, they are attacked by an inhuman monster that seeks to devour Kyoushirou. This encounter awakens ""Demon Eyes"" Kyou, whose mind has been trapped inside of Kyoushirou's body ever since that fateful battle. Thus begins a grand tale of legendary two swordsmen and the discovery of their secrets.","['Adaptation (Manga) Samurai Deeper Kyou', '']",Samurai Deeper Kyou,,,['Shounen'],,,,
4,ドラゴンドライブ,Dragon Drive,,['TV'],38,Finished Airing,"Jul 4, 2002 to Mar 27, 2003",['Summer 2002'],Thursdays at 18:00 (JST),"['Bandai Visual', 'Nihon Ad Systems', 'TV Tokyo Music']",['Bandai Entertainment'],['Madhouse'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG - Children,6.69,#5941,#4742,"24,245",57,10090,"If there's one word to describe Reiji Ozora, it would be ""quitter."" He can never find the motivation to finish anything, and loses interest at the drop of a hat. This all changes when his best friend Maiko introduces him to the new game ""Dragon Drive."" In this virtual reality game, each player is assigned a dragon tailored to match their personality and strength. Reiji hopes for a big, strong, scary beast, but instead, he is stuck with Chibi, a cute, friendly-looking dragon smaller than he is. How disappointing—except it turns out that Chibi is the rarest dragon of them all! Reiji finally discovers something he can remain interested in, and works hard to train both himself and his newfound friend. Soon this training will be put to use to save the world, for there are people who have dark aspirations for Dragon Drive!","['Adaptation (Manga) Dragon Drive', '']",Dragon Drive,,['Isekai'],['Shounen'],,,,
5,円盤皇女ワるきゅーレ,UFO Ultramaiden Valkyrie,,['TV'],12,Finished Airing,"Jul 4, 2002 to Sep 19, 2002",['Summer 2002'],Thursdays at 23:30 (JST),"['Media Factory', 'Nippon Columbia', 'KlockWorx', 'Toshiba Entertainment', 'Omnibus Promotion']",['ADV Films'],['TNK'],['Manga'],"['Comedy', 'Sci-Fi', 'Ecchi']",,23 min. per ep.,R+ - Mild Nudity,6.69,#5986,#4943,"21,970",45,8111,"UFO Princess Warukyure, aka UFO Princess Walkyrie is about a princess from outer space who accidentally crashes on earth, where Kazuto desperately tries to maintain the public bath of his grandfather. Due to circumstances, Kazuto receives part of princess Walkyrie's soul which forces her to stay there with him. But that's not the only problem ... because her soul lost strength, the princess transforms both mentally and physically into a little kid! (Source: AniDB)","['Sequel (TV) UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku', 'Adaptation (Manga) UFO Princess Valkyrie']",UFO Princess Valkyrie,UFO Princess Walkyure,,,,,,
6,魔王ダンテ,Demon Lord Dante,,['TV'],13,Finished Airing,"Aug 31, 2002 to Nov 23, 2002",['Summer 2002'],Unknown,"['AT-X', 'Dynamic Planning']","['Discotek Media', 'Geneon Entertainment USA']",['Magic Bus'],['Manga'],"['Action', 'Horror', 'Supernatural']",,24 min. per ep.,R+ - Mild Nudity,5.96,#10119,#6282,"11,901",13,4260,"While sleeping one night, Ryo Utsugi had a nightmare of monsters attacking him. One day he learns a mysterious power to let him hear voices and have visions of girls getting killed, but one night he hears the same voice. (Source: ANN)","['Adaptation (Manga) Maou Dante', '']",Maou Dante,Dante the Satan,['Mythology'],['Shounen'],Demon Lord Dante,,,
7,朝霧の巫女,Shrine of the Morning Mist,Shrine Of The Morning Mist,['TV'],26,Finished Airing,"Jul 4, 2002 to Dec 26, 2002",['Summer 2002'],Unknown,"['Starchild Records', 'TV Tokyo Music', 'Shounen Gahousha']","['Media Blasters', 'NYAV Post']","['Chaos Project', 'GANSIS']",['Manga'],"['Action', 'Comedy', 'Supernatural']",,12 min. per ep.,PG - Children,6.10,#9402,#7169,"8,674",6,2851,"Since childhood, Tadahiro Amatsu has two different-colored eyes - one brown and one light hazel. But because of a dark secret behind his left eye, he's become a target for the masked sorcerer Ayatara Miramune and his band of demons. To combat the demons appearing all over town, Yuzu Hieda, a priestess in training, recruits four other girls from her high school. Under the supervision of Yuzu's elder sister Kurako, the five young priestesses must undergo months of training to master their abilities. (Source: ANN)","['Adaptation (Manga) Asagiri no Miko', '']",Asagiri no Miko,"Maidens of Morning Mist, Priestesses of the Morning Mist",['Mythology'],['Seinen'],,,,
8,陸上防衛隊まおちゃん,Ground Defense Force! Mao-chan,,['TV'],26,Finished Airing,"Jul 4, 2002 to Dec 26, 2002",['Summer 2002'],Thursdays at 02:35 (JST),"None found,",['Geneon Entertainment USA'],['Xebec'],Original,"['Comedy', 'Sci-Fi']",,12 min. per ep.,G - All Ages,6.33,#8103,#8198,"6,203",11,1890,"Mao Onigawara is a happy 8-year-old grade-schooler and the granddaughter of Chief of Staff of Ground Defense Force. Equipped with her cloverleaf-shaped badge which enables her to transform (but gives her no special power whatsoever), Mao and her best friends (granddaughters of Chief of Staff of Air and Marine Defense Force, respectively) will defend Japan against the invasion from ""cute aliens,"" who are way too cute to be dealt with by regular armed forces. (Source: ANN)","['Adaptation (Manga) Rikujou Bouei-tai Mao-chan', '']",Rikujou Bouei-tai Mao-chan,,['Military'],['Kids'],,,,
9,G-on らいだーす,,,['TV'],13,Finished Airing,"Jul 2, 2002 to Oct 1, 2002",['Summer 2002'],Tuesdays at 18:30 (JST),"None found,","None found,","['Shaft', 'TNK']",Original,"['Action', 'Comedy', 'Sci-Fi']",,22 min. per ep.,R+ - Mild Nudity,5.77,#11088,#8552,"5,648",6,1940,"At Saint Hoshikawa School there is a secret group called the G-On Riders. Students with superior strength and ability are chosen to be in the group, which was formed to fight against alien attacks on the earth. However, many of the problems that the members face are ones amongst themselves, and the same is true for the invaders. And another student at the school, Ichiro, tries desperately to confess his love to Yuki, one of the Riders. (Source: ANN)","['Sequel (Special) G-On Riders Special', 'Adaptation (Manga) G-on Riders']",G-On Riders,,['School'],,,,,
