,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Themes,Genre,Demographics
10,"Hell Girl 2, Hell Girl Futakomori, Hell Girl Second Cage, Hell Girl: The Two Prisoners, Jigoku Shoujo: Futagomori",地獄少女 二籠,Hell Girl: Two Mirrors,['TV'],26,Finished Airing,"Oct 7, 2006 to Apr 7, 2007",['Fall 2006'],Saturdays at 19:30 (JST),"['Aniplex', 'SKY Perfect Well Think']",['Sentai Filmworks'],['Studio Deen'],Original,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",['Psychological'],,25 min. per ep.,R - 17+ (violence & profanity),7.87,#877,#1523,"166,057",710,69752,"Ai Enma and her companions continue to offer their service of revenge against those who have wronged others, and the price is as steep as ever—for damning the offender to hell, the person exacting vengeance is sent to the abyss as well. As they cast soul after soul into the darkness, a new sinister force is watching them: a little girl named Kikuri. While Ai continues her duties, she meets a boy named Takuma Kurebayashi, known as the ""Devil's Child"" because of the horrific events that occur around him. Unfortunately, Takuma's reputation leads the townspeople to use him as a scapegoat for those who have been ferried off to hell. When things quickly spiral out of control, Ai must find a way to bring an end to this senseless violence, as it poses a threat to her very existence. [Written by MAL Rewrite]","['Prequel (TV) Jigoku Shoujo', 'Sequel (TV) Jigoku Shoujo Mitsuganae', 'Adaptation (Manga) Jigoku Shoujo', '']",Jigoku Shoujo Futakomori,,,,,,
11,"Pocket Monsters: Diamond & Pearl, Diamond and Pearl, DP: Battle Dimension, DP: Galactic Battles, DP: Sinnoh League Victors",ポケットモンスター ダイヤモンド&パール,Pokémon: Diamond and Pearl,['TV'],191,Finished Airing,"Sep 28, 2006 to Sep 9, 2010",['Fall 2006'],Thursdays at 19:00 (JST),"['TV Tokyo', 'SoftX', 'Nintendo', 'Shogakukan Productions']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,PG - Children,7.31,#2803,#1607,"155,216",537,94739,"Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings. Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Satoshi and his friends begin their journey through the exciting land of Sinnoh. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Advanced Generation', 'Sequel (TV) Pokemon Best Wishes!']",Pokemon Diamond & Pearl,Pokémon: Diamant und Perl,Pokémon Diamond and Pearl,Pokémon Diamond and Pearl,,,
12,Barrier Master,結界師,Kekkaishi,['TV'],52,Finished Airing,"Oct 16, 2006 to Feb 5, 2008",['Fall 2006'],Mondays at 19:00 (JST),"['Yomiuri Telecasting', 'Tohokushinsha Film Corporation']","['VIZ Media', 'Discotek Media']",['Sunrise'],['Manga'],"['Action', 'Adventure', 'Supernatural']",['Mythology'],['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.59,#1616,#2031,"114,469",626,51484,"Yoshimura Sumimura comes from a long line of ""Kekkaishi,"" individuals who have supernatural abilities and are able to destroy evil creatures called Ayakashi that venture into the human realm from time to time. The Ayakashi are demons that look to feast on the power emanating from the land of Karasumori, which also happens to be where Yoshimura's high school is located. Now, Yoshimura must fight to protect his beloved school and hometown. Although, if it were up to him, he would rather be baking cakes than fighting off the ugly characters that show up at night. Thankfully, Yoshimura isn't the only one helping to keep the baddies at bay. His childhood friend and neighbor, Tokine Yukimura, joins him in this righteous battle. Despite the fact that they are from rival clans, these two make a fantastic team. And teamwork is something vital to fighting the evil that is closing in, as the Ayakashi attack in waves, looking to claim the land as their own, and a shadowy organization looks on, ready to pounce when the time is right...","['Adaptation (Manga) Kekkaishi', '']",Kekkaishi,,Kekkaishi,,,,
13,,ブラック・ブラッド・ブラザーズ,Black Blood Brothers,['TV'],12,Finished Airing,"Sep 8, 2006 to Nov 24, 2006",['Fall 2006'],Fridays at 23:30 (JST),"['Toshiba Entertainment', 'Happinet Pictures', 'Omnibus Promotion']",['Funimation'],"['Group TAC', 'Studio Live']",['Light novel'],"['Action', 'Comedy', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.08,#3990,#2138,"105,699",407,56386,"Black Bloods and Red Bloods, vampires and humans. Despite their differences, these two races once fought together in a crusade against a formidable foe. A decade later, the vampire war hero Jirou Mochizuki, known as the ""Silver Blade,"" travels with his younger brother Kotarou to the Special Zone—a safe haven where vampires and humans live in harmony. However, their journey is suddenly faced with danger when a conflict erupts between vampire migrants and human forces from the Special Zone. With the rise of a developing conspiracy from an old enemy, Jirou will need the help of his new ally, Mimiko ""Compromiser"" Katsuragi, as well as the power of his ancient bloodline to protect what he treasures the most. [Written by MAL Rewrite]","['Adaptation (Light Novel) Black Blood Brothers', 'Adaptation (Manga) Black Blood Brothers ver.C']",Black Blood Brothers,,,,"['Urban Fantasy', 'Vampire']",,
14,,バーテンダー,Bartender,['TV'],11,Finished Airing,"Oct 15, 2006 to Dec 31, 2006",['Fall 2006'],Sundays at 01:45 (JST),"['Pony Canyon', 'Fuji TV', 'Sony Music Entertainment', 'Fujipacific Music', 'Fuji Creative', 'Omnibus Promotion']",['Anime Limited'],['Palm Studio'],['Manga'],"['Drama', 'Gourmet']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.32,#2705,#2191,"102,673",517,30909,"Hidden in the backstreets of the Ginza district is Eden Hall, a lone bar operated by Ryuu Sasakura, the prodigy bartender who is said to mix the most incredible cocktails anyone has ever tasted. However, not just anyone can find Eden Hall; rather, it is Eden Hall that must find those who need it. Customers of varying backgrounds, each plagued with their own troubles, wander into this bar. Nevertheless, Ryuu always knows the ideal cocktail to console and guide each distraught soul. [Written by MAL Rewrite]","['Adaptation (Manga) Bartender', '']",Bartender,,,,"['Adult Cast', 'Workplace']",,
15,"Kin'iro no Chord, Kiniro no Chord, Kin-iro no Corda: Primo Passo, The Golden Chord",金色のコルダ ～primo passo～,La corda d'oro: primo passo,['TV'],25,Finished Airing,"Oct 2, 2006 to Mar 26, 2007",['Fall 2006'],Unknown,"['Aniplex', 'Hakusensha', 'Koei', 'TYO']",['Sentai Filmworks'],['Yumeta Company'],Visual novel,,,['Josei'],24 min. per ep.,PG-13 - Teens 13 or older,7.40,#2371,#2219,"100,043",865,49910,"Seiso Academy is a prestigious high school that sorts students into two majors: General Studies, characterized by distinct grey uniforms, and Music Studies, characterized by pristine white uniforms. While rushing to class one morning, General Studies student Kahoko Hino has a chance encounter with Lili, a small fairy searching for someone with the ability to see her. Lili flies away, and Kahoko, puzzled by their meeting, continues on her way. Later that day, the participants of a school-wide music competition are announced, and all of them are, unsurprisingly, Music Studies students—at least until Kahoko's name is read out. Immediately tracking down Lili, the small fairy gifts Kahoko a magical violin and convinces her to participate in the competition. Kiniro no Corda: Primo Passo follows Kahoko's endeavors alongside Lili, as the young student must now face the challenges of competition and go head-to-head against her competitors while navigating a new world of classical music. [Written by MAL Rewrite]","['Sequel (TV Special) Kiniro no Corda: Secondo Passo', 'Adaptation (Manga) Kiniro no Corda']",Kiniro no Corda: Primo Passo,La Corda d'Oro: Primo Passo,La Corda d'Oro: Primo Passo,La Corda d'Oro: Primo Passo,"['Music', 'Reverse Harem', 'School']",['Romance'],
16,Negima Remake,ネギま!?,Negima!? Magister Negi Magi,['TV'],26,Finished Airing,"Oct 4, 2006 to Mar 28, 2007",['Fall 2006'],Unknown,"None found,","['Funimation', 'Sentai Filmworks']","['Shaft', 'GANSIS']",['Manga'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.93,#4686,#2241,"98,822",271,37875,"A remake of the Negima anime with its own original story. Wizard Negi Springfield may be a boy, but he has a man-sized job to do! Fresh from the Academy of Magic, Negi continues his training as an instructor at Mahora Academy in Japan. But before he can get his Masters in magic, the 31 schoolgirls of Class 3-A are gonna keep him up all night cramming for a final exam in will power. Temptation aside, Negi has more on his syllabus than flirting and spells. Darkness is closing in, and Negi is gonna need help from his lovely student bodies to drive the ghouls from their school. These girls want to prove that they're the best in class, and extra credit is available to the cuties that aren't afraid of after-hours phantom fighting! (Source: DVD case)","['Sequel (TV) UQ Holder! Mahou Sensei Negima! 2', 'Adaptation (Manga) Mahou Sensei Negima! Read Manga', 'Adaptation (Manga) Negima!? Neo', '']",Negima!?,Magister Negi Magi Negima!?,,Shin Negima!?,"['Harem', 'School']",,
17,,すもももももも〜地上最強のヨメ〜,Sumomomo Momomo: The World's Strongest Bride,['TV'],22,Finished Airing,"Oct 6, 2006 to Mar 16, 2007",['Fall 2006'],Fridays at 02:40 (JST),"['TV Asahi', 'Square Enix', 'Lantis', 'Movic']","None found,",['Studio Hibari'],['Manga'],"['Action', 'Comedy', 'Romance']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.83,#5166,#2756,"70,653",104,25557,"Koushi Inuzuka is a smart high school student who aims to become a public prosecutor. Unfortunately for our good guy, he was born into a martial arts family whose head (ie his father) only knows one language: violence. When Koushi was still a baby, his father made a pact with his biggest rival to marry Koushi to his opponent-turned-friend's daughter. The union of the two blood lines is supposed to bring forth Earth's strongest martial arts clan. Skip forward: Koushi is in high school, oblivious to the marriage arranged for him at his birth. Enter Momoko Kuzuryuu: sugar bomb, airhead, loli martial arts artist and Koushi's self-proclaimed bride (the strongest on Earth, no less). Her wish for sexual intercourse meets with Koushi's square refusal as he has absolutely no desire to get it on with someone who looks like she could be his little sister, not to mention that he doesn't have the foggiest idea who she actually is. Meanwhile, a war has broken out between the martial arts families. For Koushi, this means that numerous fighters are out to challenge/assassinate him. As if that weren't bad enough, our protagonist also has a fight phobia due to a traumatic incident that took place in his childhood. Now it's up to Momoko and her superhuman fighting skills to protect her ""husband."" Will the two sweethearts survive the trials and tribulations ahead of them? More importantly, will Momoko get her way receiving a baby from Koushi? (Source: Kotonoha)","['Sequel (Special) Sumomomo Momomo: Chijou Saikyou no Yome Specials', 'Adaptation (Manga) Sumomomo Momomo: Chijou Saikyou no Yome Read Manga']",Sumomomo Momomo: Chijou Saikyou no Yome,,,,"['Harem', 'Martial Arts']",,
18,"Otome wa Onee-sama ni Koi Shiteru, The Maiden is Falling in Love With the Elder Sister, The Maiden is Falling in Love With Me",乙女は僕に恋してる,Otoboku: Maidens are Falling for Me!,['TV'],12,Finished Airing,"Oct 8, 2006 to Dec 24, 2006",['Fall 2006'],Unknown,"['Starchild Records', 'Dream Force', 'GANSIS']",['Media Blasters'],['feel.'],Visual novel,"['Comedy', 'Drama', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.02,#4307,#2883,"65,264",176,26946,"Mizuho can't believe his ears when Grandpa's will is read out. Grandpa's final wish is for Mizuho to attend the same academy as Mizuho's mother. The catch is it's an all-girls school. With the help of friend Mariya however, he gets a makeover good enough to fool everyone at the academy. (Source: ANN)","['Sequel (OVA) Otome wa Boku ni Koishiteru: Futari no Elder The Animation', 'Adaptation (Manga) Otome wa Boku ni Koishiteru']",Otome wa Boku ni Koishiteru,,,,"['Crossdressing', 'School']",,
19,"The Young Spirit Master, Teenager Onmyoji, Shonen Onmyouji",少年陰陽師,Shonen Onmyoji,['TV'],26,Finished Airing,"Oct 4, 2006 to Mar 28, 2007",['Fall 2006'],Tuesdays at 02:30 (JST),"['Sotsu', 'Marine Entertainment']","['Funimation', 'Geneon Entertainment USA']",['Studio Deen'],['Light novel'],"['Action', 'Supernatural']",,['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,7.53,#1858,#3076,"57,614",275,20456,"Masahiro is the grandson of the great onmyouji, Abe no Seimei. However, he lost his sixth sense that enables him to see supernatural beings, which is very important for an onmyouji. Thus, he is left with no choice but to try and pick a different career. But one day, a strange mononoke appears, which he names Mokkun, who shows him his true potential powers after fighting a demon. With the assistance of Mokkun, his quest to become the greatest onmyouji begins.","['Adaptation (Manga) Shounen Onmyouji', 'Adaptation (Manga) Shounen Onmyouji', 'Adaptation (Light Novel) Shounen Onmyouji', '']",Shounen Onmyouji,,,,"['Historical', 'Mythology']",,
