,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Themes,Genre,Demographics
20,Oban Star Racers,オーバン・スターレーサーズ,,['TV'],26,Finished Airing,"Sep 23, 2006 to Mar 25, 2007",['Fall 2006'],Saturdays at 08:06 (JST),['Sav! The World Productions'],['Shout! Factory'],['HAL Film Maker'],Original,"['Action', 'Adventure', 'Sci-Fi']",,,25 min. per ep.,PG - Children,7.50,#1965,#3185,"53,870",561,25523,"Eva's birthday has just passed, and she hasn't heard from her father. Despising the Boarding School she attends, she escapes using her Rocket Bike that she just completed. Taking on the alias ""Molly,"" Eva sneaks with the Earth team to Alwas for the Great Race because the winner of the race gets any one wish granted. Little does the Earth Team know what danger awaits them...",[],Oban Star-Racers,,,,"['Mecha', 'Racing']",,
21,RG,レッド ガーデン,Red Garden,['TV'],22,Finished Airing,"Oct 4, 2006 to Mar 14, 2007",['Fall 2006'],Wednesdays at 02:40 (JST),"['GDH', 'Sotsu Music Publishing', 'Future Vision Music']","['ADV Films', 'Funimation']",['Gonzo'],Original,"['Drama', 'Mystery', 'Supernatural', 'Suspense']",['Psychological'],,23 min. per ep.,R - 17+ (violence & profanity),7.02,#4309,#3423,"47,354",140,11610,"Strange suicides have been taking place in New York. One day, four girls from the same high school wake up in the morning feeling tired and dizzy and not being able to remember anything about the previous night. In school, they find out that one of their classmates has committed suicide. School is canceled for the rest of the day, but instead of going home, the girls are drawn to a park by butterflies only they can see. Suddenly a man and a woman approach the girls, telling them that they all died the previous night. (Source: ANN)","['Sequel (OVA) Red Garden: Dead Girls', 'Adaptation (Manga) Red Garden', 'Adaptation (Light Novel) Red Garden ～Whereabouts of Deep Darkness～', '']",Red Garden,,,,,,
22,PumpSci,パンプキン・シザーズ,,['TV'],24,Finished Airing,"Oct 3, 2006 to Mar 18, 2007",['Fall 2006'],Tuesdays at 02:00 (JST),"['GDH', 'Sotsu Music Publishing']","['ADV Films', 'Funimation']","['Gonzo', 'AIC']",['Manga'],"['Action', 'Comedy', 'Drama']",['Military'],['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.15,#3618,#3514,"45,354",142,17996,"Three years ago, the long war between the Royal Empire and the Republic of Frost came to an end. With both nations a long way from recovery, a passionate young woman named Alice L. Malvin leads the Pumpkin Scissors, a unit of the imperial army specializing in war relief. During a mission to assist a village occupied by renegade soldiers, Alice meets Randal Oland, a scarred former soldier with a sordid past and kind heart. Encouraged by the efforts of the Pumpkin Scissors, he joins the team on their mission. During the assault, however, Randal enters a trance-like state prompted by a mysterious blue lantern. As a result, he acquires monstrous strength and decimates the enemy forces. Despite having witnessed Randal's disturbing transformation, Alice invites him to join her squandrant, confident that his gentle nature will prevail and make him a perfect fit for the Pumpkin Scissors. [Written by MAL Rewrite]","['Adaptation (Manga) Pumpkin Scissors Read Manga', '']",Pumpkin Scissors,,,,,,
23,"Yoake Mae yori Ruri Iro na: Crescent Love, Yoakena",夜明け前より瑠璃色な -Crescent Love-,Brighter Than the Dawning Blue,['TV'],12,Finished Airing,"Oct 5, 2006 to Dec 21, 2006",['Fall 2006'],Thursdays at 02:30 (JST),"['Frontier Works', 'Movic', 'Alchemist', 'Memory-Tech', 'Omnibus Promotion']",['Sentai Filmworks'],['Daume'],Visual novel,"['Comedy', 'Romance', 'Sci-Fi']",['School'],,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#4032,#3657,"42,128",153,17168,"The moon and the earth are linked by a single contact point, ""Mitsuru ga Sakichau Ouren Rakuniushi"" where Tatsuya lives under the supervision of the Sphere Kingdom (Moon Kingdom)'s Princess Feena Fam Earthlight who is coming to stay at his home. (Source: ANN)","['Adaptation (Manga) Yoake Mae yori Ruriiro na', '']",Yoake Mae yori Ruriiro na: Crescent Love,,,,,,
24,,ときめきメモリアル Only Love,Tokimeki Memorial,['TV'],25,Finished Airing,"Oct 3, 2006 to Apr 3, 2007",['Fall 2006'],Tuesdays at 01:30 (JST),['Konami'],"None found,",['AIC ASTA'],Game,"['Comedy', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.01,#4329,#3833,"38,605",94,15919,"Aoba Riku has just transferred to a new high school because of his father's job, and things aren't quite what he expected. The headmaster's secretary controls the school while espousing the virtues of academic freedom, the teachers are even stranger than normal teachers, and half the student body is walking around with animal ears on. On his very first day, Riku is unfortunate enough to find himself at the center of the student council's latest event, which has him running for his life. All this on top of the normal high school rigour of popularity contests, crushes, and homework makes it unsure whether Riku will be able to survive this new school. (Source: ANN)","['Adaptation (Manga) Tokimeki Memorial: Only Love', '']",Tokimeki Memorial: Only Love,,,,"['Harem', 'School']",,
25,,はぴねす！,Happiness!,['TV'],12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",['Fall 2006'],Unknown,['Delfi Sound'],['Maiden Japan'],['Artland'],Visual novel,"['Comedy', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.34,#8050,#3875,"37,601",40,16655,"Kamizaka Haruhi having been rescued when she was young by a mage, longed to be a mage herself, so she enrolled into a special school that allows regular and magic classes into two different sections. Together with her rival/best friend, Hiiragi Anri, they study magic together while she is searching for the boy that saved her years ago, to give him a Valentines' chocolate. (Source: ANN)","['Adaptation (Manga) Happiness!', 'Adaptation (Light Novel) Happiness!']",Happiness!,,,,"['Harem', 'School']",,
26,,ギフト～ eternal rainbow,,['TV'],12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",['Fall 2006'],Unknown,"None found,","None found,",['OLM'],Visual novel,"['Comedy', 'Drama', 'Romance']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.55,#6795,#4150,"32,717",29,14361,"Amaumi Haruhiko is a high school student who attends Shimano Academy in a town called Narasakicho. Narasakicho contains an unknown rainbow which constantly overlooks the town and is related to granting a magical wish called ""Gift."" Gift is a once-in-a-lifetime present between two people. As a child, Haruhiko has been close with his childhood friend, Kirino, until he obtains a new non-blood sister by the name of Riko. Haruhiko develops a strong relationship with Riko until they sadly depart due to the fact Haruhiko's father could no longer support the two of them. After some times passes by, Riko finally returns to the town of Narasakicho, and along with Kirino, starts to attend Shimano Academy with Haruhiko. The series revolves around the relationship among these main protagonists and slowly reveals the story behind both Gift and the rainbow.","['Adaptation (Manga) Gift: Under the Rainbow', '']",Gift: Eternal Rainbow,,,,"['Harem', 'School']",,
27,Mamoru-kun was Blessed by a Goddess!,護くんに女神の祝福を！,Venus to Mamoru!,['TV'],24,Finished Airing,"Oct 6, 2006 to Mar 30, 2007",['Fall 2006'],Fridays at 00:00 (JST),['Kadokawa Shoten'],"None found,",['Zexcs'],['Light novel'],"['Comedy', 'Romance']",['School'],,23 min. per ep.,PG-13 - Teens 13 or older,7.01,#4364,#4447,"28,121",45,11119,"""Beatrice"". It is a mysterious power that responds to people’s will and realize all of them. Tokyo Beatrice University Attached High School is the only school that teaches Beatrice called ""magic appears in the real world"". Yoshimura Mamoru is a high school boy who was saved by Beatrice miraculously when he was a child. At the first day of the school, he meets a girl under the cherry trees on his way to the school. She orders him to go out with her. Her name is Takasu Ayako. She is in the second grade and one year older than him. She is a director of student committee of discipline. Also, she is a granddaughter of a big-name politician, very beautiful, and a genius Beatrician who can even shoot a satellite down. She is called Witch Beatrice or Death Angel in Beatrice, but in fact, she is a pure-hearted girl. (Source: AnimeNfo)","['Adaptation (Light Novel) Mamoru-kun ni Megami no Shukufuku wo!', '']",Mamoru-kun ni Megami no Shukufuku wo!,,,,,,
28,Working Man,働きマン,,['TV'],11,Finished Airing,"Oct 13, 2006 to Dec 22, 2006",['Fall 2006'],Fridays at 00:45 (JST),"['Dentsu', 'SKY Perfect Well Think', 'Kodansha', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment']",['Maiden Japan'],['Gallop'],['Manga'],"['Comedy', 'Drama', 'Romance']",,['Seinen'],22 min. per ep.,PG-13 - Teens 13 or older,6.99,#4417,#4512,"27,325",63,8323,"Hiroko Matsukata is a woman who works for a magazine company. She puts all she has into her work, and is known as a strong, straight-forward working girl, who can at will turn herself into Hataraki man (working man) mode. Despite Hiroko's success at work, her life lacks romance. Even though a hard worker, she'd leave early anytime to go on a date. Too bad her boyfriend is an even bigger workaholic than Hiroko. (Source: ANN)","['Adaptation (Manga) Hataraki Man', '']",Hataraki Man,,,,"['Adult Cast', 'Workplace']",,
29,"A Direction of the Day After Tomorrow, Towards the Day After Tomorrow",あさっての方向。,Living for the Day After Tomorrow,['TV'],12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",['Fall 2006'],Fridays at 01:55 (JST),"['Bandai Visual', 'Lantis', 'TBS', 'Mag Garden']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],"['Drama', 'Supernatural']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.01,#4341,#4624,"25,755",42,10722,"About to enter junior high school, Karada Iokawa is a cheerful and reliable girl, who hates being treated as a child more than anything. After her parents' deaths, her older brother, Hiro, comes back from studying abroad to take care of her. His ex-girlfriend Shouko Nogami, a composed yet sometimes childish and stubborn young woman, follows him to Japan in order to find out why he left her. Between the two girls, the atmosphere is tense, which eventually leads to Shouko calling Karada childish. Later, Karada stands before a shrine praying to grow up. Little does she know that the shrine wishing stone would grant her wish. As Karada grows older, at the same time, Shouko, who happens to be nearby, finds herself a child once again. With their ages now reversed, Shouko and Karada must come to terms with one another and ultimately themselves. [Written by MAL Rewrite]","['Adaptation (Manga) Asatte no Houkou.', '']",Asatte no Houkou.,,,,,,
30,,奏光のストレイン,Strain: Strategic Armored Infantry,['TV'],13,Finished Airing,"Nov 2, 2006 to Feb 15, 2007",['Fall 2006'],Thursdays at 00:00 (JST),"['Happinet Pictures', 'Omnibus Promotion']",['Funimation'],['Studio Fantasia'],Original,"['Action', 'Drama', 'Sci-Fi', 'Ecchi']",,,24 min. per ep.,R+ - Mild Nudity,7.00,#4391,#4771,"23,988",78,9503,"Eleven-year-old Sara Werec's elder brother, Ralph, was sent to the frontlines of an interstellar war 130 light years away, and Sara vowed to reunite with him one day as a comrade. Five years later, Sara is a student at Grapera Space Armed Soldier Academy, training to become a Reasoner, a pilot of an advanced weapons system called a ""Strain."" When the academy is suddenly attacked by enemy forces, Sara enters battle against a Strain that quickly overpowers her. After incapacitating her, the pilot reveals himself to be her Ralph. Killing all the other students and destroying the school, he disappears, leaving Sara to question everything she has ever known. Soukou no Strain is the story of Sara as she reenters training under a new name, now determined to confront her brother and make sense of her brother's actions. [Written by MAL Rewrite]",[],Soukou no Strain,,,,"['Mecha', 'Military', 'Space']",,
31,Zero Zero Nine One,ゼロゼロナインワン,009-1,['TV'],12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",['Fall 2006'],Fridays at 01:25 (JST),"['Aniplex', 'TBS', 'Sony Music Entertainment']","['ADV Films', 'Funimation']",['Ishimori Entertainment'],['Manga'],"['Action', 'Sci-Fi']",['Mecha'],['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),6.20,#8831,#4862,"22,895",30,7629,"Mylene Hoffman, a beautiful cyborg spy with the codename ""009-1"" lives in an alternative world where the cold war never ended, continuously on-going for 140 years. The world is split into two factions, the West and the East block. A masquerade of peace between the two is slowly dissipated as the conflict occurs. Through politics, the two factions battle over supremacy over technology to threats of a nuclear attack. Mylene Hoffman, teaming up with three other agent, gets surrounded by deception, chaos, and rivalry as she carries out missions assigned by her superiors. [Written by MAL Rewrite]","['Adaptation (Manga) 009 no 1', '']",009-1,,,,,,
32,Jjajang Sonyeo Ppukka,짜장소녀 뿌까,,['TV'],26,Finished Airing,"Sep 18, 2006 to May 14, 2007",['Fall 2006'],Unknown,['VOOZ Character System'],['Disney Platform Distribution'],"None found,",Other,"['Comedy', 'Romance']",['Parody'],,23 min. per ep.,G - All Ages,6.72,#5786,#5265,"18,811",40,9862,"Pucca is the young daughter of a Chinese noodle house owner and she is hopelessly in love with the ninja Garu. He tries desperately to avoid Pucca's advances and usually does not return her affection. This results in many comical situations as Pucca goes to great lengths just to steal a kiss from Garu. Expect to see lots of ""funny love"" antics involving everything from noodles to deadly ninjas. (Source: TV.com)","['Prequel (ONA) Pucca', 'Sequel (TV) Pucca (TV) 2nd Season']",Pucca (TV),Pucca & Friends,,,,,
33,"Tenpouibun Ayakashiayashi, Strange Story of Tempou Era: Ayakashiayashi",天保異聞 妖奇士,Ghost Slayers Ayashi,['TV'],25,Finished Airing,"Oct 7, 2006 to Mar 31, 2007",['Fall 2006'],Saturdays at 18:00 (JST),"['Aniplex', 'Mainichi Broadcasting System']",['Bandai Entertainment'],['Bones'],Original,,,,23 min. per ep.,R - 17+ (violence & profanity),6.85,#5090,#5383,"17,748",26,4691,"In the year of Tenpo 14, Yoi, monsters from another world attack Edo. Those who fight against them are members of Bansha Aratemesho. In public, Bansha Aratemsho is known as an organization to study foreign books. In fact, they are a organization dedicated to destroying the Yoi. These warriors are called Ayakashi. They gather information of odd events in the country, and are sent to destroy Yoi who appear. They are generally very strange people. For example, a guy who has lost his memory, a girl who dresses like a man. They have special powers with which to beat the Yoi. (Source: AniDB)","['Sequel (Special) Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku', 'Adaptation (Manga) Tenpou Ibun Ayakashi Ayashi']",Tenpou Ibun: Ayakashi Ayashi,,Ghost Slayers Ayashi,,"['Historical', 'Mythology']",['Supernatural'],
34,"Marginal Prince: Gekkeijyu no Oujitachi, Marginal Prince: Gekkeiju no Ohji Tachi",マージナルプリンス -月桂樹の王子達-,,['TV'],13,Finished Airing,"Oct 2, 2006 to Dec 25, 2006",['Fall 2006'],Mondays at 02:13 (JST),"['GDH', 'Sotsu Music Publishing']","None found,",['Tokyo Kids'],Visual novel,,['School'],,24 min. per ep.,PG-13 - Teens 13 or older,5.80,#10924,#5756,"14,948",18,4384,"""Marginal Prince"" based off of the hit love simulation game series for girls! Yuta studies abroad in a tiny, far away island in the pacific ocean name Alphonso where he enters the all-dorm, all-male Alphonso Gakuen. However, the school is really a place for the children of the famous . . . and the school specializes in classes on empires and alchemy! And one day, after studying enough at the school, the students become known as ""Marginal Princes""! Learn about the stories of fate and trial as each of the students studies to become kings! (Source: Crunchyroll)","['Sequel (Special) Marginal Prince: Gekkeiju no Ouji-tachi - Tokyo Merry-Go-Round', '']",Marginal Prince: Gekkeiju no Ouji-tachi,,,,,['Boys Love'],
35,"Kujian, Kujibiki♥Unbalance (2006), Kujibiki♥Unbalance (TV)",くじびき♥アンバランス,,['TV'],12,Finished Airing,"Oct 7, 2006 to Dec 23, 2006",['Fall 2006'],Saturdays at 00:00 (JST),"['Genco', 'Lantis', 'Media Factory']",['Media Blasters'],['Ajia-do'],Other,"['Comedy', 'Romance']",['School'],,23 min. per ep.,PG-13 - Teens 13 or older,6.22,#8704,#5761,"14,901",16,5133,"Once a year prestigious Rikkyouin High School has a lottery to determine the next year's Student Council membership. On their first day of school Chihiro Enomoto wins the presidency while his childhood friend Tokino Akiyama picks the vice-president's ticket. There is one catch though, they must first pass a one year apprenticeship under the current Student Council and any failure to perform the tasks assigned, however minor, will result in immediate expulsion from the school. (Source: ANN)","['Adaptation (Manga) Kujibiki♥Unbalance', '']",Kujibiki♥Unbalance,,,,,,
36,"Ryusei no Rockman, Rockman of the Shooting Star, Rockman of the Meteor",流星のロックマン,Megaman Star Force,['TV'],55,Finished Airing,"Oct 7, 2006 to Oct 27, 2007",['Fall 2006'],Unknown,['Shogakukan Productions'],['VIZ Media'],['Xebec'],Game,"['Action', 'Sci-Fi']",['Strategy Game'],,10 min. per ep.,PG - Children,7.09,#3949,#5844,"14,327",80,6362,"In the year 220X, the world has advanced toward radio-wave technology, and the world is connected through the Wave Road. Meet Subaru Hoshikawa, a fifth-grade student who lost his father in a space accident. Subaru meets an extraterrestrial radio-wave being named War-Rock, descending from a distant FM planet. War-Rock claims to know about Subaru's father, but many alien beings are after War-Rock. The two work together and merge into Rockman, a radio-wave human capable of traversing the Wave Road and battling the radio-wave viruses and FMs that threaten the Earth. (Source: ANN)","['Sequel (TV) Ryuusei no Rockman Tribe', 'Adaptation (Manga) Ryuusei no Rockman']",Ryuusei no Rockman,,,,,,
37,,蒼天の拳,Fist of the Blue Sky,['TV'],22,Finished Airing,"Oct 5, 2006 to Mar 15, 2007",['Fall 2006'],Thursdays at 02:40 (JST),['TV Asahi'],"None found,",['APPP'],['Manga'],,,,27 min. per ep.,R - 17+ (violence & profanity),6.68,#5996,#6010,"13,346",24,4109,"A mysterious man known as ""the King of Death"" roams the streets of pre-war Shanghai in this action-packed prequel to Fist of the North Star. Shanghai in the 1930s is a dangerous place. Foreign governments and Chinese factions have carved the city into different quarters, each with its own laws and government, and all rife with corruption. As the major powers vie for political control, the streets are left to local gangs. Life is cheap, and death is always near. In days past, one man walked these mean streets battling the forces of evil. He was known only as Yan Wang, ""the King of Death."" Few knew who he really was, but many knew that he was a master of Hokuto Shinken - Fist of the North Star - a lethal martial art. He disappeared years ago after dispatching the city's worst gangsters, and is now rumored to be in Japan. Various people have come to Japan in search of him, but who will find him first?","['Sequel (TV) Souten no Ken: Regenesis', 'Adaptation (Manga) Souten no Ken']",Souten no Ken,,,,"['Historical', 'Martial Arts']",['Action'],
38,,TOKYO TRIBE 2,,['TV'],13,Finished Airing,"Nov 12, 2006 to Feb 18, 2007",['Fall 2006'],Unknown,['Sony Music Entertainment'],"None found,",['Madhouse'],['Manga'],"['Action', 'Drama']",,,24 min. per ep.,R+ - Mild Nudity,6.63,#6346,#6145,"12,581",25,2895,"This is the other side of Tokyo, a Tokyo of a different color. There, various tribes are living. The SARU from Japan's Musashino, WU-RONZE of Bukuro, and HANDS of Shindyuku... Young men living in the city...the public of modern times builds a home out of corruption, these young men of the sordid side of life, a side called ""reality,"" are depicted here! (Source: AnimeNfo)","['Adaptation (Manga) Tokyo Tribe 2', '']",Tokyo Tribe 2,,,,,,
39,,らぶドル～Lovely Idol～,Lovely Idol,['TV'],12,Finished Airing,"Oct 3, 2006 to Dec 19, 2006",['Fall 2006'],Tuesdays at 01:30 (JST),"['AIC', 'Pony Canyon Enterprises']","None found,","['AIC ASTA', 'TNK']",Visual novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.11,#9336,#6934,"9,437",9,3395,"Lovedol, or Lovely Idol, is a girl group consisting of two generations of idols. The 3rd Generation is about to make its debut, but to their surprise, they have been delayed! The vague reason is only that ""they lack something."" The manager, and the 3rd Gen. girls too, must find the answer.","['Sequel (OVA) Lovedol: Lovely Idol OVA', '']",Lovedol: Lovely Idol,,Lovely Idol,,"['Idols (Female)', 'Music']",,
40,"Giniro no Olynsis: Tokito, Gin'iro no Olynssis: Tokito, Giniro no Olynssis: Tokito",銀色のオリンシス TOKITO,,['TV'],12,Finished Airing,"Oct 6, 2006 to Dec 22, 2006",['Fall 2006'],Unknown,"['Happinet Pictures', 'Nagoya Broadcasting Network', 'Asahi Broadcasting']","None found,",['Toei Animation'],Original,"['Adventure', 'Drama', 'Romance']",['Mecha'],,23 min. per ep.,PG-13 - Teens 13 or older,6.21,#8773,#7090,"8,934",6,3188,"AD 3567. Mankind has lost its once great civilization, now living in the ruins of the aftermath. But even though their lives are threatened by Gardeners — mysterious unmanned mobile weapons (of different ranks) sent from the Moon — brave teenagers have to become Gardener hunters to earn their living. And although human civilization at large lies in ruins due to high-tech maintenance free technology, some parts of the remaining cities still work in limited ways, supporting the humans living there. One fateful day Tokito Aizawa meets Tea, awakening a power older and beyond that of the Gardeners, and inadvertently opening up the door to a possibly much brighter future for the remainder of mankind... (Source: AniDB)",[],Giniro no Olynsis: Tokito,,,,,,
41,"Super Robot Wars OG: Divine Wars, SRWOG",スーパーロボット大戦OG -ディバイン・ウォーズ-,Super Robot Wars The Original Generation: The Divine Wars,['TV'],25,Finished Airing,"Oct 5, 2006 to Mar 29, 2007",['Fall 2006'],Unknown,"['GDH', 'Sotsu', 'Genco', 'Banpresto']","['Bandai Entertainment', 'Media Blasters', 'Bandai Visual USA']",['OLM'],Game,"['Action', 'Sci-Fi']",['Mecha'],,24 min. per ep.,PG-13 - Teens 13 or older,6.77,#5468,#7177,"8,653",15,3295,"It is two hundred years after the beginning of the Space Era, when human civilization on Earth began expanding into space. However, by the start of the 21st century, two meteors struck the planet, sending humanity into chaos. By the year 179 of the Space Era, secret technology, dubbed Extra-Over Technology, or EOT, was discovered by the Earth Federal Government within a third meteor that hit Earth in the Marquesas Islands of the South Pacific. Dr. Bian Zoldark, head of the EOTI Institute (Extra-Over Technological Investigative Institute), had evidence the creators of the EOT were heading to Earth, in order to reclaim it...or worse, invade the planet. In order to defend humanity from extraterrestrial threats, the government begins to research and develop humanoid mecha called Personal Troopers. (Source: ANN)","['Sequel (Special) Super Robot Taisen OG: Divine Wars - Sorezore no Michi', 'Adaptation (Manga) Super Robot Taisen OG - Divine Wars', 'Adaptation (Manga) Super Robot Taisen OG - Divine Wars - Record of ATX', '']",Super Robot Taisen OG: Divine Wars,,,,,,
42,"Galaxy Ange-lune, Galaxy Angel II, Galaxy Angerune, Galaxy Ange-Rune",ギャラクシーエンジェる～ん,,['TV'],13,Finished Airing,"Oct 2, 2006 to Dec 25, 2006",['Fall 2006'],Mondays at 02:00 (JST),"['Bandai Visual', 'Lantis', 'Broccoli', 'Sunny Side Up']",['Bandai Visual USA'],['Satelight'],Other,"['Comedy', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,6.22,#8750,#8252,"6,097",4,2064,Apricot Sakuraba and 4 new girls were now assigned as the new Galaxy Angels with the same mission: to search for the Lost Technology and keep peace to Planet Transbaal. (Source: ANN),"['Adaptation (Manga) Galaxy Angel 3rd', '']",Galaxy Angel Rune,,,,,,
43,Sasami: Mahou Shojo Club Season 2,砂沙美☆魔法少女クラブ シーズン2,Sasami Magical Girls Club 2,['TV'],13,Finished Airing,"Oct 5, 2006 to Jan 11, 2007",['Fall 2006'],Unknown,"['VAP', 'AIC', 'BeSTACK']",['Funimation'],['AIC Spirits'],Unknown,,,,25 min. per ep.,PG - Children,6.67,#6070,#8834,"5,171",6,1993,"In this world, there live a group of people who call themselves ""Majo"" or ""Magical Girls"". They hide their powers so as to assimilate into the environment. They have been living together in harmony with the humans for many years to come, and their predecessors continue to do so. Sasami was enthroned with magical powers since her birth. However, at the age of three, she was told by her parents never to use her innate powers and from then on, had kept it a secret from everyone. On the day of a new school term, a new transfer teacher by the name of Wajuu arrives and from then on, Sasami's life begins to change tremendously. (Source: ANN)","['Prequel (TV) Sasami: Mahou Shoujo Club', '']",Sasami: Mahou Shoujo Club 2,,,,"['Mahou Shoujo', 'School']",,
44,"The Galaxy Railways 2, Ginga Tetsudou Monogatari II, The Galaxy Railways: Eternal Divergence",銀河鉄道物語 ～永遠への分岐点～,The Galaxy Railways II,['TV'],24,Finished Airing,"Oct 5, 2006 to Mar 29, 2007",['Fall 2006'],Unknown,"['CBC Television', 'Omnibus Promotion']","None found,",['Planet'],Original,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Space'],,24 min. per ep.,PG-13 - Teens 13 or older,6.71,#5833,#9060,"4,791",4,1443,Second season.,"['Prequel (TV) Ginga Tetsudou Monogatari', 'Prequel (OVA) Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei']",Ginga Tetsudou Monogatari: Eien e no Bunkiten,,,,,,
45,Artificial Insect KABUTO BORG Victory by Victory,人造昆虫カブトボーグ V×V,,['TV'],52,Finished Airing,"Oct 5, 2006 to Oct 11, 2007",['Fall 2006'],Unknown,"['Sony Pictures Entertainment', 'Studio Comet', 'Nihon Ad Systems', 'Animax']","None found,","['G&G Entertainment', 'G&G Direction']",Unknown,"['Action', 'Comedy', 'Fantasy']",['Strategy Game'],,24 min. per ep.,G - All Ages,6.01,#9842,#14255,"1,010",7,283,"BorgBattles between KabutoBorgs have become popular enough to hold world tournaments. The main character Ryuusei is an enthusiast of these battles. Along with his friends Katsuji and Ken, he continues fighting against new enemies day after day.",[],Jinzou Konchuu Kabutoborg VxV,,,,,,
46,,祝! (ハピ☆ラキ)ビックリマン,,['TV'],46,Finished Airing,"Oct 15, 2006 to Sep 30, 2007",['Fall 2006'],Unknown,['TV Asahi'],"None found,",['Toei Animation'],Unknown,"['Adventure', 'Comedy', 'Fantasy']",,['Kids'],24 min. per ep.,G - All Ages,6.28,#8416,#14339,983,1,348,Continuation of the Bikkuriman Series. Genki Seihikari and his friends join the adventure in order to save seven gods of the White Galaxy.,"['Prequel (TV) Bikkuriman 2000', '']",Happy☆Lucky Bikkuriman,,,,,,
47,"Saru! Get You: On Air, Ape Escape",サルゲッチュ ～オンエアー～2nd,,['TV'],51,Finished Airing,"Oct 7, 2006 to Sep 29, 2007",['Fall 2006'],Unknown,"None found,","None found,",['Xebec'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",,['Kids'],10 min. per ep.,PG - Children,5.93,#10250,#15156,777,3,182,Saru Getchu: On Air sequel.,"['Prequel (TV) Saru Getchu: On Air', '']",Saru Getchu: On Air 2nd,,,,,,
48,Silk Road Boy Yuto,シルクロード少年 ユート,,['TV'],26,Finished Airing,"Sep 16, 2006 to Mar 24, 2007",['Fall 2006'],Unknown,['NHK-BS2'],"None found,",['OLM'],Unknown,"['Adventure', 'Fantasy']",['Historical'],,20 min. per ep.,None,[],#14422,#15210,763,1,,"When a boy Yuto visits Qinghai in China, he is involved in the battle between time-travelers, and he is sent to the Silk Road in the past. They are looking for a mysterious treasure, the statue of Yuki Daruma Taishi, which is said to make miracles. Seeing historical events and encountering historical persons, such as Yang Guifei and Xuanzang, he will learn many thinks. Whether will he be able to go back to today? (Source: AnimeNfo)",[],Silk Road Shounen Yuuto,,,,,,
49,Funny Pets Plus,Funny Pets 2ndシーズン,,['TV'],12,Finished Airing,"Oct 9, 2006 to Dec 25, 2006",['Fall 2006'],Mondays at 23:45 (JST),"None found,","None found,","None found,",Original,,,,6 min. per ep.,PG-13 - Teens 13 or older,5.61,#11742,#15430,717,2,304,The story continues where it was left off from in the first season as Crescent and Corona continue bickering over Funny.,"['Prequel (TV) Funny Pets', '']",Funny Pets 2nd Season,,,,,['Comedy'],
50,,ぷるるんっ！しずくちゃん,,['TV'],51,Finished Airing,"Oct 7, 2006 to Sep 29, 2007",['Fall 2006'],Unknown,"None found,","None found,",['TMS Entertainment'],['Manga'],,,['Kids'],24 min. per ep.,G - All Ages,[],#21177,#15809,655,1,,"The series revolves around a playful young child named Shizuku-Chan. He, alongside his schoolmates, friends, and family lives a life of dangerous adventures in the Shizuku Forest. (Source: Wikipedia)","['Sequel (TV) Pururun! Shizuku-chan Aha', '']",Pururun! Shizuku-chan,,,,,['Comedy'],
51,"Ukkari Penelope, Pénélope tête en l'air, Carelessly Penelope, Absent-minded Penelope, Head in the Air Penelope",うっかりペネロペ,,['TV'],26,Finished Airing,"Nov 20, 2006 to Dec 25, 2006",['Fall 2006'],Unknown,['NHK'],"None found,",['Nippon Animation'],Picture book,"['Award Winning', 'Slice of Life']",['Anthropomorphic'],['Kids'],5 min. per ep.,G - All Ages,[],#15134,#16707,538,0,,"Meet Penelope, the absent-minded young koala. Rarely seen without Deudeu – her favourite stuffed rabbit – Penelope likes nothing more than finding another adventure in the most unlikely of places. A simple gust of wind blowing her hat away can lead to Penelope running her own stall atop a tree stump where she trades flowers for apples, and paper planes for acorns. From games of hide and seek with her friends, to playing with the bubbles in the bath or counting sheep during nap time, Penelope’s life is never dull – even if she does wear odd socks when she gets herself dressed in the morning. (Source: Anime-Planet)","['Sequel (TV) Ukkari Pénélope (2009)', '']",Ukkari Pénélope,,,,,,
