,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Theme,German,Themes,Genre,Demographics
45,橡皮泥小镇,,['TV'],365,Finished Airing,Oct 2009 to Dec 2010,['Fall 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],10 min. per ep.,PG - Children,[],#15499,#22364,161,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Xiangpi Ni Xiao Zhen,,,,,,,,
46,外星人小闹闹,The Extraterrestrial Nano,['TV'],52,Finished Airing,Sep 2009 to Jul 2010,['Fall 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],10 min. per ep.,PG - Children,[],#15212,#24050,111,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Waixingren Xiao Nano,Wai Xing Ren Xiao Nao Nao,,,,,,,
47,슈퍼햄스밴드,,['TV'],52,Finished Airing,"Sep 3, 2009 to Apr 1, 2010",['Fall 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],11 min. per ep.,G - All Ages,[],#14632,#24107,110,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Super Hams Band,"Syupeohaemseubaendeu, 勁爆倉鼠樂隊",,,,,,['Comedy'],
48,와글와글 꼬꼬맘,,['TV'],52,Finished Airing,"Nov 18, 2009 to May 19, 2010",['Fall 2009'],Unknown,"None found,","None found,","None found,",Original,,['Kids'],13 min. per ep.,PG - Children,[],#15202,#24049,111,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Wageul-wageul Kokomom,,,,['Anthropomorphic'],,,['Fantasy'],
49,鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,['TV'],64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",['Spring 2009'],Sundays at 17:00 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Techno Sound']","['Funimation', 'Aniplex of America']",['Bones'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),9.10,#2,#3,"3,486,881","232,140",2198350,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor. The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange. As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world. [Written by MAL Rewrite]","['Adaptation (Manga) Fullmetal Alchemist', '']",Fullmetal Alchemist: Brotherhood,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",,Fullmetal Alchemist Brotherhood,['Military'],,,,
50,-ナルト- 疾風伝,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.28,#304,#16,"2,597,956","115,638",1728599,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Hurricane Chronicles,Naruto Shippuden,Naruto Shippuden,['Martial Arts'],Naruto Shippuden,,,
51,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,372","234,727",1419501,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,,,,,
52,BLEACH - ブリーチ -,Bleach,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.97,#705,#35,"2,074,732","78,038",1188618,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,,,,,,
53,化物語,Bakemonogatari,['TV'],15,Finished Airing,"Jul 3, 2009 to Jun 25, 2010",['Summer 2009'],Fridays at 23:00 (JST),"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],['Light novel'],"['Mystery', 'Romance', 'Supernatural']",,25 min. per ep.,R - 17+ (violence & profanity),8.32,#263,#94,"1,443,134","50,039",750207,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa. When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament. Through several tales involving demons and gods, Bakemonogatari follows Araragi as he attempts to help those who suffer from supernatural maladies. [Written by MAL Rewrite]","['Prequel (TV Special) Nekomonogatari: Kuro', 'Sequel (TV) Nisemonogatari', 'Adaptation (Manga) Bakemonogatari', 'Adaptation (Light Novel) Monogatari Series: First Season']",Bakemonogatari,"Ghostory, Monstory",,,['Vampire'],,,,
54,銀魂,Gintama,['TV'],201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#145,"1,104,512","60,226",408343,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo. [Written by MAL Rewrite]","[""Sequel (TV) Gintama'"", 'Adaptation (Manga) Gintama']",Gintama,"Gin Tama, Silver Soul, Yorinuki Gintama-san",,,,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",,
55,家庭教師ヒットマンREBORN!,Reborn!,['TV'],203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010",['Fall 2006'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Marvelous Entertainment', 'Pony Canyon', 'd-rights']","['VIZ Media', 'Discotek Media']",['Artland'],['Manga'],"['Action', 'Comedy']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.12,#500,#415,"570,848","16,015",264913,"There is no putting it lightly—Tsunayoshi Sawada is just no good. He is clumsy, talentless, and desperately in love with the school idol Kyouko Sasagawa, a girl so completely out of his league. Dubbed ""Loser Tsuna"" by his classmates, he seems to be the very personification of failure in the guise of a middle-schooler. Tsuna's boring life takes an extraordinary twist when he encounters the mysterious Reborn, who happens to be a hitman... and shockingly, a baby! Sent from the strongest Mafia family in Italy, Reborn is assigned the daunting mission of preparing the dull middle schooler to succeed the ninth boss of the notorious Vongola family, who is on the brink of retirement. The dull boy has a grueling road ahead, but with the help of his new criminal affiliates and his peculiar home tutor, perhaps even Loser Tsuna can achieve greatness. [Written by MAL Rewrite]","['Adaptation (Manga) Katekyou Hitman Reborn!', '']",Katekyou Hitman Reborn!,"Kateikyoushi Hitman Reborn!, Home Tutor Hitman Reborn!",Reborn!,Mon prof le tueur Reborn!,,,"['Organized Crime', 'Super Power']",,
56,ドラゴンボール改,Dragon Ball Z Kai,['TV'],97,Finished Airing,"Apr 5, 2009 to Mar 27, 2011",['Spring 2009'],Sundays at 09:00 (JST),['Fuji TV'],['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.76,#1130,#604,"411,492","3,705",253486,"Five years after the events of Dragon Ball, martial arts expert Gokuu is now a grown man married to his wife Chi-Chi, with a four-year old son named Gohan. While attending a reunion on Turtle Island with his old friends Master Roshi, Krillin, Bulma and others, the festivities are interrupted when a humanoid alien named Raditz not only reveals the truth behind Gokuu's past, but kidnaps Gohan as well. With Raditz displaying power beyond anything Gokuu has seen before, he is forced to team up with his old nemesis, Piccolo, in order to rescue his son. But when Gokuu and Piccolo reveal the secret of the seven mystical wish-granting Dragon Balls to Raditz, he informs the duo that there is more of his race, the Saiyans, and they won’t pass up an opportunity to seize the power of the Dragon Balls for themselves. These events begin the saga of Dragon Ball Kai, a story that finds Gokuu and his friends and family constantly defending the galaxy from increasingly more powerful threats. Bizarre, comical, heartwarming and threatening characters come together in a series of battles that push the powers and abilities of Gokuu and his friends beyond anything they have ever experienced.","['Prequel (TV) Dragon Ball', 'Sequel (TV Special) Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni', 'Adaptation (Manga) Dragon Ball', '']",Dragon Ball Kai,"Dragonball Kai, DBK, DB Kai, DBZ Kai",,Dragon Ball Z Kai,['Martial Arts'],Dragon Ball Z Kai,,,
57,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#434,#706,"360,790","15,330",164318,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,,['Detective'],Case Closed,,,
58,うみねこのなく頃に,Umineko: When They Cry,['TV'],26,Finished Airing,"Jul 2, 2009 to Dec 24, 2009",['Summer 2009'],Unknown,"['Geneon Universal Entertainment', 'Frontier Works', 'Sotsu', 'Movic']","['NIS America, Inc.']",['Studio Deen'],Visual novel,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",,23 min. per ep.,R - 17+ (violence & profanity),7.02,#4321,#1143,"227,492","1,963",94164,"Considered as the third installment in the highly popular When They Cry series by 07th Expansion, Umineko no Naku Koro ni takes place on the island of Rokkenjima, owned by the immensely wealthy Ushiromiya family. As customary per year, the entire family is gathering on the island for a conference that discusses the current financial situations of each respective person. Because of the family head's poor health, this year involves the topic of the head of the family's inheritance and how it will be distributed. However, the family is unaware that the distribution of his wealth is the least of Ushiromiya Kinzou's (family head) concerns for this year's family conference. After being told that his end was approaching by his longtime friend and physician, Kinzou is desperate to meet his life's true love one last time: the Golden Witch, Beatrice. Having immersed himself in black magic for many of the later years in his life, Kinzou instigates a ceremony to revive his beloved upon his family's arrival on Rokkenjima. Soon after, a violent typhoon traps the family on the island and a string of mysterious murders commence, forcing the eighteen people on the island to fight for their lives in a deadly struggle between fantasy and reality. [Written by MAL Rewrite]","['Adaptation (Manga) Umineko no Naku Koro ni - Episode 1: Legend of the Golden Witch', 'Adaptation (Light Novel) Umineko no Naku Koro ni', 'Adaptation (Manga) Umineko no Naku Koro ni - Episode 2: Turn of the Golden Witch', 'Adaptation (Manga) Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch']",Umineko no Naku Koro ni,"When They Cry 3, When the Seagulls Cry, When They Cry: Seagulls",,,,,"['Gore', 'Psychological']",,
59,イナズマイレブン,,['TV'],127,Finished Airing,"Oct 5, 2008 to Apr 27, 2011",['Fall 2008'],Unknown,"['TV Tokyo', 'Dentsu', 'Half H.P Studio']","None found,",['OLM'],Game,,,24 min. per ep.,G - All Ages,7.74,#1187,#1145,"227,020","4,461",138522,"While other schools in Japan compete for the title of being the best soccer team in the country, Raimon Middle School's soccer club, Inazuma Eleven, struggles to rise from the verge of being disbanded. The grandson of Inazuma Eleven's first generation goalkeeper and captain of the team, Mamoru Endou, takes the challenge of kicking the long neglected club back into shape. To do this, he'll need a little help and more than a little luck. Mamoru Endou finds hope in the hands of Shuuya Gouenji, a brilliant young player who has given up on soccer. Mamoru is determined to get Shuuya and other new recruits to join his team, no matter what the cost. Is his passion and determination enough to treat the ailing club? Or is there no more hope for the team?","['Sequel (TV) Inazuma Eleven Go', 'Adaptation (Manga) Inazuma Eleven', 'Adaptation (Manga) Inazuma Eleven: Special', '']",Inazuma Eleven,,,,,,"['Super Power', 'Team Sports']",['Sports'],
60,ポケットモンスター ダイヤモンド&パール,Pokémon: Diamond and Pearl,['TV'],191,Finished Airing,"Sep 28, 2006 to Sep 9, 2010",['Fall 2006'],Thursdays at 19:00 (JST),"['TV Tokyo', 'SoftX', 'Nintendo', 'Shogakukan Productions']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Kids'],23 min. per ep.,PG - Children,7.31,#2803,#1607,"155,178",537,94722,"Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings. Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Satoshi and his friends begin their journey through the exciting land of Sinnoh. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Advanced Generation', 'Sequel (TV) Pokemon Best Wishes!']",Pokemon Diamond & Pearl,"Pocket Monsters: Diamond & Pearl, Diamond and Pearl, DP: Battle Dimension, DP: Galactic Battles, DP: Sinnoh League Victors",Pokémon Diamond and Pearl,Pokémon Diamond and Pearl,,Pokémon: Diamant und Perl,,,
61,遊☆戯☆王5D's（ファイブディーズ）,Yu-Gi-Oh! 5D's,['TV'],154,Finished Airing,"Apr 2, 2008 to Mar 30, 2011",['Spring 2008'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2099,#1667,"147,902","1,636",85918,"Yuusei Fudou is out to get back what was stolen from him. The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City. In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', ""Adaptation (Manga) Yu☆Gi☆Oh! 5D's""]",Yu☆Gi☆Oh! 5D's,"Yuu Gi Ou: Duel Monsters 5DS, Yugioh 5 D's",Yu-Gi-Oh! 5D's,Yu-Gi-Oh! 5D's,['Strategy Game'],Yu-Gi-Oh! 5D's,,['Action'],
62,ニードレス,Needless,['TV'],24,Finished Airing,"Jul 3, 2009 to Dec 11, 2009",['Summer 2009'],Fridays at 01:30 (JST),"['Avex Entertainment', 'Lantis']",['Sentai Filmworks'],['Madhouse'],['Manga'],"['Action', 'Comedy', 'Sci-Fi', 'Ecchi']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),7.21,#3295,#1684,"145,530",532,62848,"At the onset of World War III, nobody could have predicted the effect it would have on Japan. While it had officially ended fifty years ago in 2150, its battles still persist. Large, mysterious areas known as ""Blackspots"" appeared across the country, filled with the contaminated ruins of cities and countrysides. Those inside were trapped to halt the spread of contamination, and their powers began to mutate—be they shapeshifters, pyromancers, or controllers of gravity itself—they all became known as the Needless. Adam Blade is one such Needless, possessing remarkable regenerative abilities and incredible strength. In order to restore peace to a war-torn Japan, he and his allies must fight together to rise against a heinous research group by the name of Simeon.","['Adaptation (Manga) Needless', '']",Needless,,,,['Super Power'],,,,
63,クロスゲーム,Cross Game,['TV'],50,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 10:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'Half H.P Studio']","None found,",['SynergySP'],['Manga'],"['Drama', 'Romance', 'Sports']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.37,#219,#1861,"128,199","3,061",52312,"Kou Kitamura and Aoba Tsukishima are often at odds—even though their families happen to be close friends and business partners. Although the only child of a sports shop owner, Kou has never been interested in playing baseball. Despite this, he possesses an impressive batting ability honed by frequent visits to the local baseball batting center run by the Tsukishima family. On the other hand, Aoba loves to play baseball and is a star player with exceptional pitching form. However, these two seemingly complete opposites share something very important to them—Wakaba Tsukishima, Aoba's older sister and Kou's destined sweetheart. Admired by the quarrelsome duo, Wakaba often finds herself the catalyst to their never-ending rivalry. But whether or not they realize that they have more in common than either would care to admit, only time will tell. The game of baseball may just be what the pair needs to ultimately overcome their own personal struggles. [Written by MAL Rewrite]","['Adaptation (Manga) Cross Game', '']",Cross Game,,,,,,"['School', 'Team Sports']",,
64,メタルファイト ベイブレード,Beyblade: Metal Fusion,['TV'],51,Finished Airing,"Apr 5, 2009 to Mar 28, 2010",['Spring 2009'],Sundays at 08:30 (JST),"['TV Tokyo', 'd-rights']",['Nelvana'],['Tatsunoko Production'],['Manga'],"['Adventure', 'Comedy', 'Sports']",['Kids'],25 min. per ep.,PG - Children,6.92,#4743,#2228,"99,250",482,64847,"A new cast of characters take on the continued battle between good and evil. Ginga, our hero, and his group of loyal friends take on a dangerous group called the Dark Nebula. The Dark Nebula’s sole mission is to take over the world and unleash their evil upon it; but before they can do so, they must destroy Ginga as he is the only person that’s strong enough to stand in their way. The plot thickens as friends become enemies and enemies become allies. Everything starts and ends with Ginga as he struggles to find the strength to defend his world and the honor of Beyblade. (Source: Beyblade.com)","['Sequel (TV) Metal Fight Beyblade: Baku', 'Adaptation (Manga) Metal Fight Beyblade']",Metal Fight Beyblade,,Beyblade: Metal Fusion,Bayblade Metal Fusion,,Bayblade Metal Fusion,,,
65,獣の奏者エリン,The Beast Player Erin,['TV'],50,Finished Airing,"Jan 10, 2009 to Dec 26, 2009",['Winter 2009'],Saturdays at 18:25 (JST),['NHK'],"None found,","['Production I.G', 'Trans Arts']",Novel,"['Drama', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,8.30,#285,#2376,"89,741","1,500",22030,"In the land of Ryoza, the neighboring provinces of Shin-Ou and Tai-Kou have been at peace. Queen Shinou is the ruler of Ryoza and her greatest general, Grand Duke Taikou, defends the kingdom with his army of powerful war-lizards known as the ""Touda."" Although the two regions have enjoyed a long-standing alliance, mounting tensions threaten to spark a fierce civil war. Within Ake, a village in Tai-Kou tasked with raising the Grand Duke's army, lives Erin, a bright girl who spends her days watching the work of her mother Soyon, the village's head Touda doctor. But while under Soyon's care, a disastrous incident befalls the Grand Duke's strongest Touda, and the peace that Erin and her mother had been enjoying vanishes as Soyon is punished severely. In a desperate attempt to save her mother, Erin ends up falling in a river and is swept towards Shin-Ou. Unable to return home, Erin must learn to lead a new life with completely different people, all while hunting for the truth of both beasts and humanity itself, with tensions between the two regions constantly escalating. [Written by MAL Rewrite]","['Adaptation (Manga) Kemono no Souja', 'Adaptation (Novel) Kemono no Souja']",Kemono no Souja Erin,"Kemono no Soujya Erin, Kemono no Sou-ja Erin",Erin,Erin,,Erin,,,
66,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['Seinen'],21 min.,G - All Ages,7.80,#1030,#2402,"88,065","1,330",42189,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,Shin Chan,,['School'],Shin Chan,,,
67,ケロロ軍曹,Sgt. Frog,['TV'],358,Finished Airing,"Apr 3, 2004 to Apr 4, 2011",['Spring 2004'],Unknown,"['TV Tokyo', 'Nihon Ad Systems', 'Rakuonsha']","['ADV Films', 'Funimation', 'Discotek Media']",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.70,#1298,#2552,"80,330","1,281",35920,"It is the year 2004 AD, and pandemonium breaks as a mysterious frog-like alien race fills the sky with UFOs—or so 12-year-old Fuyuki Hinata dreams. Coincidentally, Sergeant Keroro, leader of a preliminary squad for the Keronian invasion of Pekopon—the alien name for Earth—begins his mission by invading Fuyuki's home. After subduing the boy and his sister, Keroro plans to reunite with his comrades and return to the mothership to repair his invaluable invasion device, the Kero Ball. Unfortunately, he receives word that headquarters has abandoned his unit's retrieval due to an unprecedented issue that forced the rest of the Keronians to flee. Consequently, Keroro is forced to stay at the Hinata residence together with the friendly, starry-eyed Fuyuki; his athletic, short-tempered sister Natsumi; and their hardworking, attractive mother Aki. Now stuck until further notice, Keroro and his platoon spend each day plotting world domination, but are thwarted each and every time by various unexpected factors. Nevertheless, as they live alongside humans, they learn to treat them as friends and allies, forming comedic yet meaningful connections that make their lives on Earth worthwhile. [Written by MAL Rewrite]","['Prequel (Special) Kero 0: Shuppatsu da yo! Zenin Shuugou!', 'Adaptation (Manga) Keroro Gunsou']",Keroro Gunsou,Sergeant Frog,,,['Parody'],,,,
