,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Theme,German,Themes,Genre,Demographics
10,生徒会の一存,Student Council's Discretion,['TV'],12,Finished Airing,"Oct 3, 2009 to Dec 19, 2009",['Fall 2009'],Unknown,"['Kadokawa Shoten', 'AMG MUSIC']",['Sentai Filmworks'],['Studio Deen'],['Light novel'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.30,#2826,#1272,"201,205",719,84705,"Imagine living life as the vice president of the student council, passing the days eating snacks, playing games, and bonding with a harem of beautiful girls. This is exactly the kind of life that high school student Ken Sugisaki leads, or so he thinks! Usually, the officers of Hekiyou Academy's student council are elected by popular vote, but an additional position is granted to the student who scores the highest on the exams. Ken, who historically has had below average grades, worked hard to improve them to be accepted into the student council, with the ultimate goal of surrounding himself with girls who fawn over him. Unfortunately for the vice president, things do not go quite as planned. Not only do the ladies of the council continually rebuff his advances, they also prefer to focus on more important and ""boring"" activities, such as organizing school events and managing the other clubs. But a few minor hurdles like these won't stop Ken from chasing after his dreams, even if they seem a bit ridiculous. [Written by MAL Rewrite]","['Sequel (ONA) Seitokai no Ichizon Lv.2', 'Adaptation (Manga) Seitokai no Ichizon', 'Adaptation (Light Novel) Seitokai no Ichizon', '']",Seitokai no Ichizon,"Seitokai no Ichizon: Hekiyou Gakuen Seitokai Gijiroku, It's Student Council's Judgment",,Seitokai No Ichizon: Student Councils Discretion,,Seitokai No Ichizon: Student Councils Discretion,"['Harem', 'Parody', 'School']",['Comedy'],
11,聖剣の刀鍛冶（ブラックスミス）,The Sacred Blacksmith,['TV'],12,Finished Airing,"Oct 3, 2009 to Dec 19, 2009",['Fall 2009'],Unknown,"['Media Factory', 'AT-X', 'Earth Star Entertainment']",['Funimation'],['Manglobe'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,R+ - Mild Nudity,6.64,#6240,#1330,"192,180",237,88386,"Forty-four years ago, the surviving nations of the Valbanil War declared peace and forbade the use of the devastating demon contracts that ravaged the land. Now, inexperienced knight Cecily Cambell is eager to follow the example of her family and protect the people of the city using the sword she inherited from her father. Her first challenge arises in the market. A crazed swordsman wreaks havoc upon civilians and Cecily jumps into action to restore order. Overwhelmed, her weapon shatters, but a skilled stranger wielding a strange-looking sword intervenes. With the situation diffused, Cecily heads to a local blacksmith in an effort to restore her family heirloom. However, she finds out that her savior—the blacksmith Luke Ainsworth—may be the only person capable of such intricate repairs. Determined to have her treasured sword repaired, she seeks out the man who rescued her. However, a group of bandits suddenly attack a convoy headed for the city. The assailants look inhuman, and an ice demon appears. Luke suspects the use of a demon contract and calls upon a sacred power to defeat them. Meanwhile, a shadowy hooded figure lurks, watching from a distance. Who is this mysterious evildoer, and what does his appearance mean for the pair? [Written by MAL Rewrite]","['Adaptation (Manga) Seiken no Blacksmith', 'Adaptation (Light Novel) Seiken no Blacksmith']",Seiken no Blacksmith,Seiken no Katanakaji,La Espada Sagrada,,,,,,
12,こばと。,Kobato.,['TV'],24,Finished Airing,"Oct 6, 2009 to Mar 23, 2010",['Fall 2009'],Tuesdays at 20:00 (JST),"['NHK', 'Kadokawa Shoten', 'NHK-BS2', 'KlockWorx', 'flying DOG']",['Sentai Filmworks'],['Madhouse'],['Manga'],"['Adventure', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.94,#756,#1469,"171,755","1,556",63103,"The friendly and sincere Kobato Hanato has a wish to go to a particular place no matter what. To fulfill this desire, she is tasked with helping people in their times of distress. For each mended broken heart, a small candy-like fragment is produced and fills a special bottle. Once the bottle is full, her wish will be granted. As Kobato carries out her mission alongside her stuffed toy companion, Ioryogi, she encounters various people troubled by their different situations. From a child struggling with his parents, a high school girl troubled about romance, and everything in between, Kobato's naturally sweet smile and outgoing personality are ready to brighten their day! [Written by MAL Rewrite]","['Adaptation (Manga) Kobato.', '']",Kobato.,,,,,,,,
13,テガミバチ,Tegami Bachi: Letter Bee,['TV'],25,Finished Airing,"Oct 3, 2009 to Mar 27, 2010",['Fall 2009'],Saturdays at 22:55 (JST),"['Pierrot', 'TV Tokyo']",['Sentai Filmworks'],['Pierrot Plus'],['Manga'],"['Adventure', 'Fantasy']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.60,#1581,#1900,"124,495",752,45970,"Gauche Suede is highly respected among the Letter Bees—a government organization that delivers written messages to even the most remote locations. However, the Amberground, the land Gauche must traverse, is blanketed in a constant twilight and home to monsters known as Gaichuu. On one precarious journey, Gauche meets Lag Seeing, a troubled young boy who has himself been sent as a letter. Five years later, Lag joins the Letter Bee as well, inspired by his journey with Gauche. As he strives to become like his hero, Lag discovers the conflict and complexity at the heart of his world. [Written by MAL Rewrite]","['Sequel (TV) Tegamibachi Reverse', 'Adaptation (Manga) Tegamibachi']",Tegamibachi,,Tegami Bachi Letter Bee,Letter Bee,,Tegami Bachi: Letter Bee,,,
14,空中ブランコ,Welcome to Irabu's Office,['TV'],11,Finished Airing,"Oct 15, 2009 to Dec 24, 2009",['Fall 2009'],Fridays at 00:45 (JST),"['Dentsu', 'Fuji TV', 'Asmik Ace', 'Sony Music Entertainment', 'Bungeishunjuu']","None found,",['Toei Animation'],Novel,"['Avant Garde', 'Drama']",,23 min. per ep.,R - 17+ (violence & profanity),7.90,#813,#2266,"97,587","1,319",26306,"The world of psychology is far from strange to the unusual Dr. Ichirou Irabu, a resident psychiatrist of Irabu General Hospital. He and his charming nurse Mayumi run through several patients, each suffering from a mental illness that harms their everyday life. Patients should be wary of the seductive Mayumi, with her spellbinding looks and devilishly short pink nurse uniform. On the other hand, the doctor seems to have three separate personalities: a child with an oversized lab coat; an intelligent, youthful man with feminine traits; and a selfish, outgoing green bear. While curing his patients in questionable ways, Dr. Irabu often tries to gain something from them outside of his profession—and in doing so, occasionally forgets his role as a doctor. As each patient struggles to face the nature of their distress, an obvious yet invisible thread ties their paths together. [Written by MAL Rewrite]",[],Kuuchuu Buranko,"Kuchu Buranko, Trapeze, Flying Trapeze",,,,,"['Medical', 'Psychological']",,
15,夢色パティシエール,,['TV'],50,Finished Airing,"Oct 4, 2009 to Sep 26, 2010",['Fall 2009'],Unknown,"['Pierrot', 'Yomiuri Telecasting', 'DAX Production', 'Shueisha']",['Maiden Japan'],['Studio Hibari'],['Manga'],,['Shoujo'],24 min. per ep.,G - All Ages,7.84,#953,#2431,"86,671","1,208",41073,"Aside from her deep passion for eating cakes, the clumsy Ichigo Amano has never been successful at anything. After an encounter with Henri Lucas, a famous patissier, Ichigo's amazing tasting abilities—although unbeknownst to her—are discovered. Recognizing her talent, Henri offers her the chance to attend St. Marie Academy, a prestigious culinary school which specializes in desserts. In spite of the fact that she is a beginner lacking skills, thanks to Henri's recommendation, Ichigo is placed in the topmost group with the ""Sweets Princes."" The princes, famous throughout the school for their magical treats, are Sennosuke Andou, an expert in traditional Japanese sweets; Satsuki Hanabusa, with a flair for candied flowers; and Makoto Kashino, a gifted chocolatier. Ichigo and the Sweets Princes, each accompanied by their ""Sweets Spirits""—fairies who make patissiers' dreams come true—all work towards their goals in the competitive world of sweets. [Written by MAL Rewrite]","['Sequel (TV) Yume-iro Pâtissière SP Professional', 'Adaptation (Manga) Yume-iro Pâtissière']",Yume-iro Pâtissière,"Yumeiro Patissiere, YumePati, Dream-Colored Pastry Chef, Yumeiro Pâtissière",Yumeiro Patissiere,Yumeiro Pâtissière,['School'],Yumeiro Pâtissière,,['Gourmet'],
16,ささめきこと,Whispered Words,['TV'],13,Finished Airing,"Oct 8, 2009 to Dec 31, 2009",['Fall 2009'],Unknown,"['Half H.P Studio', 'flying DOG']","None found,",['AIC'],['Manga'],"['Comedy', 'Girls Love']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.05,#4155,#2608,"77,275",315,27463,"Murasame Sumika is popular in the high school for her excellence in the marks and sports. However, she has a secret: she is in love with her classmate Kazama Ushio. Ushio also has a liking to the love between girls, but she hasn't noticed Sumika's feelings and has always been refused by other girls.","['Adaptation (Manga) Sasameki Koto', '']",Sasameki Koto,"Sasamekikoto, Sasame Kikoto",,,['School'],,,,
17,しゅごキャラ！パーティー！,,['TV'],25,Finished Airing,"Oct 3, 2009 to Mar 27, 2010",['Fall 2009'],Saturdays at 09:30 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Satelight'],['Manga'],,['Shoujo'],21 min. per ep.,PG - Children,6.66,#6150,#2631,"76,055",176,37656,"After overcoming the threat of the Easter Corporation, Amu Hinamori and the Seiyo Academy Guardians return to their council duties, eliminating any stray X Eggs they find along the way. With four of the five members graduating this year, the state of next year's Guardians Council is up in the air. In an effort to ensure the council's survival, the group recruits two ""Guardian Apprentices"" in the hopes that they will develop their own Heart's Egg someday. One of the Apprentices they take on is Rikka Hiiragi, a spunky and upbeat girl who is capable of communicating with X Eggs. As the Guardians have not been able to speak with these Eggs previously, Rikka's uncanny ability intrigues them. However, Rikka fears that she will never be accepted as a full-fledged Guardian if they ever find out what exactly she does with her ability. [Written by MAL Rewrite]","['Prequel (TV) Shugo Chara!! Doki', 'Adaptation (Manga) Shugo Chara!']",Shugo Chara! Party!,"Shugo Chara!!! Dokki Doki, Shugo Chara! Third, Shugo Chara! Pucchi Puchi",,,,,"['Mahou Shoujo', 'School']",['Comedy'],
18,乃木坂春香の秘密ぴゃあれっつぁ♪,Haruka Nogizaka's Secret Purezza,['TV'],12,Finished Airing,"Oct 6, 2009 to Dec 22, 2009",['Fall 2009'],Tuesdays at 02:14 (JST),"['ASCII Media Works', 'Studio Mausu']",['Discotek Media'],['Diomedéa'],['Light novel'],"['Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.17,#3529,#2706,"72,999",97,41270,"Haruka's manga and anime hobby is still concealed by her dear friend Yuuto, but Yuuto's other female friend starts to feel affection and attraction towards him, so a feelings war begins among their circle of friends. Meanwhile Yuuto tries to make Haruka happy doing what she likes the most: drawing manga, watching anime, and attending special anime events. (Source: ANN)","['Prequel (TV) Nogizaka Haruka no Himitsu', 'Sequel (OVA) Nogizaka Haruka no Himitsu Finale ♪', 'Adaptation (Manga) Nogizaka Haruka no Himitsu', 'Adaptation (Light Novel) Nogizaka Haruka no Himitsu']",Nogizaka Haruka no Himitsu Purezza ♪,"Nogizaka Haruka no Himitsu 2, Haruka Nogizaka's Secret Purity",,,,,"['Otaku Culture', 'School']",,
19,戦う司書 The Book of Bantorra,Armed Librarians: The Book of Bantorra,['TV'],27,Finished Airing,"Oct 2, 2009 to Apr 2, 2010",['Fall 2009'],Fridays at 22:00 (JST),"['Geneon Universal Entertainment', 'Studio Mausu', 'Sakura Create', 'Atelier Musa']",['Sentai Filmworks'],['David Production'],['Light novel'],"['Action', 'Fantasy']",,24 min. per ep.,R - 17+ (violence & profanity),7.18,#3472,#2779,"69,607",229,17746,"In a world where dead people turn into books and are stored in the Bantorra Library where anyone who reads a book can learn their past, Bantorra Library is maintained by Armed Librarians who wield psychic powers and their enemy is a religious society known as Sindeki Kyoudan.","['Adaptation (Manga) Tatakau Shisho to Koisuru Bakudan', 'Adaptation (Light Novel) Tatakau Shisho Series']",Tatakau Shisho: The Book of Bantorra,"Tatakau Shisho, Tatakau Shisho to Koisuru Bakudan, Fighting Librarians",The Book of Bantorra,The Book of Bantorra,,The Book of Bantorra,"['Adult Cast', 'Super Power']",,
