,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Synonyms,Demographics
0,進撃の巨人 Season2,Attack on Titan Season 2,Attack on Titan – 2. Staffel,Ataque a los Titanes Temporada 2,L'Attaque des Titans Saison 2,['TV'],12,Finished Airing,"Apr 1, 2017 to Jun 17, 2017",['Spring 2017'],Saturdays at 22:00 (JST),"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",['Funimation'],['Wit Studio'],['Manga'],"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),8.52,#132,#12,"2,847,468","22,133",1949253,"For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more. In Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members. [Written by MAL Rewrite]","['Prequel (TV) Shingeki no Kyojin', 'Sequel (TV) Shingeki no Kyojin Season 3', 'Adaptation (Manga) Shingeki no Kyojin', '']",Shingeki no Kyojin Season 2,,,,
1,僕のヒーローアカデミア,My Hero Academia Season 2,My Hero Academia – 2. Staffel,My Hero Academia Temporada 2,My Hero Academia Saison 2,['TV'],25,Finished Airing,"Apr 1, 2017 to Sep 30, 2017",['Spring 2017'],Saturdays at 17:30 (JST),"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],['Manga'],,"['School', 'Super Power']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.06,#579,#15,"2,612,417","16,906",1778886,"At UA Academy, not even a violent attack can disrupt their most prestigious event: the school sports festival. Renowned across Japan, this festival is an opportunity for aspiring heroes to showcase their abilities, both to the public and potential recruiters. However, the path to glory is never easy, especially for Izuku Midoriya—whose quirk possesses great raw power but is also cripplingly inefficient. Pitted against his talented classmates, such as the fire and ice wielding Shouto Todoroki, Izuku must utilize his sharp wits and master his surroundings to achieve victory and prove to the world his worth. [Written by MAL Rewrite]","['Prequel (TV) Boku no Hero Academia', 'Prequel (TV Special) Boku no Hero Academia: Hero Note', 'Sequel (TV) Boku no Hero Academia 3rd Season', 'Adaptation (Manga) Boku no Hero Academia']",Boku no Hero Academia 2nd Season,['Action'],,,
2,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,,,,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9902,#208,"895,143","7,373",456883,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,,['Martial Arts'],,
3,ロクでなし魔術講師と禁忌教典,Akashic Records of Bastard Magic Instructor,Akashic Records of Bastard Magic Instructor,Akashic Records of Bastard Magical Instructor,Akashic Records of Bastard Magic Instructor,['TV'],12,Finished Airing,"Apr 4, 2017 to Jun 20, 2017",['Spring 2017'],Tuesdays at 20:30 (JST),"['Media Factory', 'AT-X', 'Ultra Super Pictures', 'Tohokushinsha Film Corporation', 'Sony Music Communications', 'Fujimi Shobo', 'Kanetsu Investment', 'Kadokawa']",['Funimation'],['LIDENFILMS'],['Light novel'],"['Action', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.12,#3802,#271,"770,963","3,417",435767,"The Alzano Empire is home to one of the most distinguished magic schools in the world: the Alzano Imperial Magic Academy. Here, ambitious young students undergo training to become competent magicians. Sistine Fibel—a stern noble girl—and her bright-eyed best friend Rumia Tingel attend the Academy, determined to cultivate their magical skills. However, their world is thrown for a loop when their favorite teacher suddenly retires and the enigmatic Glenn Radars replaces him. His lazy and indifferent attitude toward life and magic quickly puts him at odds with his class. What's more, nefarious forces hidden within the empire's walls start to become active, and Sistine, Rumia, and Glenn find themselves caught up in their schemes. Rokudenashi Majutsu Koushi to Akashic Records follows Sistine, who is captivated by a mysterious floating Sky Castle; Rumia, who is haunted by a troubled past; and Glenn, who may be more than meets the eye. Though completely different on the surface, they are inexplicably bound together by a thread of fate. [Written by MAL Rewrite]","['Adaptation (Manga) Rokudenashi Majutsu Koushi to Akashic Records', 'Adaptation (Light Novel) Rokudenashi Majutsu Koushi to Akashic Records']",Rokudenashi Majutsu Koushi to Akashic Records,,['School'],RokuAka,
4,エロマンガ先生,Eromanga Sensei,Eromanga Sensei,Eromanga Sensei,Eromanga Sensei,['TV'],12,Finished Airing,"Apr 9, 2017 to Jun 25, 2017",['Spring 2017'],Sundays at 00:30 (JST),"['Aniplex', 'Movic', 'ASCII Media Works', 'BS11', 'Kinoshita Group Holdings']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],"['Comedy', 'Romance', 'Ecchi']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.32,#8146,#290,"743,597","2,749",437232,"One year ago, Sagiri Izumi became step-siblings with Masamune Izumi. But the sudden death of their parents tears their new family apart, resulting in Sagiri becoming a shut-in which cut her off from her brother and society. While caring for what's left of his family, Masamune earns a living as a published light novel author with one small problem: he's never actually met his acclaimed illustrator, Eromanga-sensei, infamous for drawing the most lewd erotica. Through an embarrassing chain of events, he learns that his very own little sister was his partner the whole time! As new characters and challenges appear, Masamune and Sagiri must now face the light novel industry together. Eromanga-Sensei follows the development of their relationship and their struggle to become successful; and as Sagiri slowly grows out of her shell, just how long will she be able to hide her true persona from the rest of the world? [Written by MAL Rewrite]","['Adaptation (Manga) Eromanga-sensei', 'Adaptation (Light Novel) Eromanga-sensei']",Eromanga-sensei,,['Otaku Culture'],,
5,月がきれい,Tsukigakirei,Tsukigakirei,Tsukigakirei,Tsukigakirei,['TV'],12,Finished Airing,"Apr 7, 2017 to Jun 30, 2017",['Spring 2017'],Fridays at 00:00 (JST),"['Sotsu', 'Mainichi Broadcasting System', 'flying DOG']","['Funimation', 'Crunchyroll']",['feel.'],Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,8.03,#619,#418,"567,238","8,017",264598,"With a new school year comes a new crowd of classmates, and for their final year of junior high, aspiring writer Kotarou Azumi and track team member Akane Mizuno end up in the same class. Though initially complete strangers, a few chance encounters stir an innocent desire within their hearts. A yearning gaze, a fluttering heart—the hallmarks of young love slip into their lives as fate brings their paths to a cross. However, though love is patient and love is kind, Kotarou and Akane discover it is not always straightforward. Despite the comfort they find in each other's company, heartache and anxiety come hand in hand with pursuing the feelings in their hearts. With the uncertainty of how the other truly feels as well as the competing affections of those around them, the road ahead is unclear. Even so, under the shining light of a beautiful full moon, Kotarou gathers his courage to ask Akane a single question, one that forever changes their quiet relationship. [Written by MAL Rewrite]",[],Tsuki ga Kirei,['Romance'],['School'],"The Moon is Beautiful, As the Moon, So Beautiful",
6,Re:CREATORS 〈レクリエイターズ〉,Re:CREATORS,,Re: Creadores,,['TV'],22,Finished Airing,"Apr 8, 2017 to Sep 16, 2017",['Spring 2017'],Saturdays at 23:30 (JST),"['Aniplex', 'Magic Capsule', 'Shogakukan', 'ABC Animation']","None found,",['TROYCA'],Original,"['Action', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.55,#1786,#452,"523,681","3,658",204308,"Humans have designed countless worlds—each one born from the unique imagination of its creator. Souta Mizushino is a high school student who aspires to be such a creator by writing and illustrating his own light novel. One day, while watching anime for inspiration, he is briefly transported into a fierce fight scene. When he returns to the real world, he realizes something is amiss: the anime's headstrong heroine, Selesia Yupitilia, has somehow returned with him. Before long, other fictional characters appear in the world, carrying the hopes and scars of their home. A princely knight, a magical girl, a ruthless brawler, and many others now crowd the streets of Japan. However, the most mysterious one is a woman in full military regalia, dubbed ""Gunpuku no Himegimi,"" who knows far more than she should about the creators' world. Despite this, no one knows her true name or the world she is from. Meanwhile, Souta and Selesia work together with Meteora Österreich, a calm and composed librarian NPC, to uncover the meaning behind these unnatural events. With powerful forces at play, the once clear line between reality and imagination continues to blur, leading to a fateful meeting between creators and those they created. [Written by MAL Rewrite]","['Adaptation (Manga) Re:Creators', '']",Re:Creators,,['Urban Fantasy'],,
7,ダンジョンに出会いを求めるのは間違っているだろうか外伝 ソード・オラトリア,Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,DanMachi: Sword Oratoria,¿Qué tiene de Malo intentar ligar en una Mazmorra? Familia Myth: Sword Oratoria,DanMachi: Sword Oratoria,['TV'],12,Finished Airing,"Apr 15, 2017 to Jul 1, 2017",['Spring 2017'],Saturdays at 00:30 (JST),"['Genco', 'Movic', 'Warner Bros. Japan', 'KlockWorx', 'SoftBank Creative', 'MAGES.', 'Hakuhodo DY Music & Pictures', 'FuRyu', 'Imagine']",['Sentai Filmworks'],['J.C.Staff'],['Light novel'],"['Action', 'Adventure', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.08,#3990,#508,"472,350",748,235375,"After having descended upon this world, the gods have created guilds where adventurers can test their mettle. These guilds, known as ""familia,"" grant adventurers the chance to explore, gather, hunt, or simply enjoy themselves. Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria begins in Orario, the lively city of adventures. The Sword Princess, Ais Wallenstein, and the novice mage, Lefiya Viridis, are members of the Loki Familia, who are experts at monster hunting. With the rest of their group, they journey to the tower of Babel in hopes of exploring the dungeon underneath. Home to powerful monsters, the dungeon will fulfill Ais's desire to master her sword skills, while bringing Lefiya closer to her dream of succeeding Riveria Ljos Alf, vice-captain of the Loki Familia, as the most powerful mage in the land. [Written by MAL Rewrite]","['Adaptation (Manga) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria', 'Adaptation (Light Novel) Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria']",Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,,,Danmachi Sword Oratoria,
8,終末なにしてますか？忙しいですか？救ってもらっていいですか？,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,WorldEnd: What Do You Do at The End of The World? Are You Busy? Will You Save Us?,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,['TV'],12,Finished Airing,"Apr 11, 2017 to Jun 27, 2017",['Spring 2017'],Tuesdays at 23:30 (JST),"['Lantis', 'AT-X', 'DAX Production', 'KlockWorx', 'Kadokawa Media House', 'Production Ace', 'Kadokawa']",['Funimation'],"['Satelight', 'C2C']",['Light novel'],"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",,,24 min. per ep.,PG-13 - Teens 13 or older,7.67,#1359,#583,"419,769","4,658",197842,"Putting his life on the line, Willem Kmetsch leaves his loved ones behind and sets out to battle a mysterious monster, and even though he is victorious, he is rendered frozen in ice. It is during his icy slumber that terrifying creatures known as ""Beasts"" emerge on the Earth's surface and threaten humanity's existence. Willem awakens 500 years later, only to find himself the sole survivor of his race as mankind is wiped out. Together with the other surviving races, Willem takes refuge on the floating islands in the sky, living in fear of the Beasts below. He lives a life of loneliness and only does odd jobs to get by. One day, he is tasked with being a weapon storehouse caretaker. Thinking nothing of it, Willem accepts, but he soon realizes that these weapons are actually a group of young Leprechauns. Though they bear every resemblance to humans, they have no regard for their own lives, identifying themselves as mere weapons of war. Among them is Chtholly Nota Seniorious, who is more than willing to sacrifice herself if it means defeating the Beasts and ensuring peace. Willem becomes something of a father figure for the young Leprechauns, watching over them fondly and supporting them in any way he can. He, who once fought so bravely on the frontlines, can now only hope that the ones being sent to battle return safely from the monsters that destroyed his kind. [Written by MAL Rewrite]","['Adaptation (Manga) Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?', 'Adaptation (Light Novel) Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?']",Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,,,"SukaSuka, What are you doing at the end? Are you busy? Can you save me?",
9,武装少女マキャヴェリズム,Armed Girl's Machiavellism,Armed Girl's Machiavellism,Armed Girl's Machiavellism,Armed Girl's Machiavellism,['TV'],12,Finished Airing,"Apr 5, 2017 to Jun 21, 2017",['Spring 2017'],Wednesdays at 23:00 (JST),"['Media Factory', 'AT-X', 'Nippon Columbia', 'KlockWorx', 'Glovision', 'Kadokawa Media House', 'Toshiba Digital Frontiers', 'Tsukuru no Mori', 'Kadokawa']",['Sentai Filmworks'],"['SILVER LINK.', 'Connect']",['Manga'],"['Action', 'Comedy', 'Ecchi']","['Harem', 'Martial Arts', 'School']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.87,#4967,#617,"401,226","1,023",213848,"When Aichi Coexistence Academy converted from all-girls to a coed model, the female students were so concerned about male misbehavior that they armed themselves! Now the school is ruled by the lovely but lethal Supreme Five Swords, and the boys are forced to dress and act like girls or suffer the razor sharp points of the Swords' anger. Unfortunately for the Swords, new transfer student Fudo Nomura thinks that sounds like a total drag, and he might just have the martial arts chops and rapier wit needed to slash through the Swords' defenses and carve a new niche for himself in their feisty feminine hearts! It's a whole new kind of slice of life High School Drama, extra heavy on the ""slice,"" as one Bad Boy meets some very Dicey Girls in Armed Girl's Machiavellism! (Source: Sentai Filmworks, edited)","['Sequel (OVA) Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou', 'Adaptation (Manga) Busou Shoujo Machiavellianism']",Busou Shoujo Machiavellianism,,,,
