,Synonyms,Japanese,English,German,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Spanish,Genre,Demographics
62,OP,ONE PIECE,One Piece,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,494,849","234,559",1418581,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,
63,,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,,,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9902,#208,"895,143","7,373",456883,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,['Martial Arts'],,,
64,"Dragon Ball Chou, DB Super, DBS",ドラゴンボール超（スーパー）,Dragon Ball Super,,,['TV'],131,Finished Airing,"Jul 5, 2015 to Mar 25, 2018",['Summer 2015'],Sundays at 09:00 (JST),"['Yomiko Advertising', 'Fuji TV']",['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.46,#2106,#218,"868,925","10,980",559150,"Seven years after the defeat of Majin Buu, Earth is at peace, and its people live free from any dangers lurking in the universe. However, this peace is short-lived; a sleeping threat awakens in the dark reaches of the galaxy: Beerus, the ruthless God of Destruction. Disturbed by a prophecy that he will be defeated by a ""Super Saiyan God,"" Beerus and his angelic attendant Whis search the universe for this mysterious being. Before long, they reach Earth and encounter Gokuu Son, one of the planet's mightiest warriors, and his powerful friends. [Written by MAL Rewrite]","['Sequel (Movie) Dragon Ball Super: Broly', 'Adaptation (Manga) Dragon Ball Super']",Dragon Ball Super,['Martial Arts'],,,
65,,Re:CREATORS 〈レクリエイターズ〉,Re:CREATORS,,,['TV'],22,Finished Airing,"Apr 8, 2017 to Sep 16, 2017",['Spring 2017'],Saturdays at 23:30 (JST),"['Aniplex', 'Magic Capsule', 'Shogakukan', 'ABC Animation']","None found,",['TROYCA'],Original,"['Action', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.55,#1786,#452,"523,681","3,658",204308,"Humans have designed countless worlds—each one born from the unique imagination of its creator. Souta Mizushino is a high school student who aspires to be such a creator by writing and illustrating his own light novel. One day, while watching anime for inspiration, he is briefly transported into a fierce fight scene. When he returns to the real world, he realizes something is amiss: the anime's headstrong heroine, Selesia Yupitilia, has somehow returned with him. Before long, other fictional characters appear in the world, carrying the hopes and scars of their home. A princely knight, a magical girl, a ruthless brawler, and many others now crowd the streets of Japan. However, the most mysterious one is a woman in full military regalia, dubbed ""Gunpuku no Himegimi,"" who knows far more than she should about the creators' world. Despite this, no one knows her true name or the world she is from. Meanwhile, Souta and Selesia work together with Meteora Österreich, a calm and composed librarian NPC, to uncover the meaning behind these unnatural events. With powerful forces at play, the once clear line between reality and imagination continues to blur, leading to a fateful meeting between creators and those they created. [Written by MAL Rewrite]","['Adaptation (Manga) Re:Creators', '']",Re:Creators,['Urban Fantasy'],Re: Creadores,,
66,Detective Conan,名探偵コナン,Case Closed,Case Closed,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#433,#704,"360,659","15,327",164265,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,['Detective'],,,
67,,神撃のバハムート VIRGIN SOUL,Rage of Bahamut: Virgin Soul,Rage of Bahamut: Virgin Soul,Rage of Bahamut: Virgin Soul,['TV'],24,Finished Airing,"Apr 8, 2017 to Sep 30, 2017",['Spring 2017'],Saturdays at 01:55 (JST),['Cygames'],"None found,",['MAPPA'],Card game,"['Action', 'Adventure', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.42,#2270,#1031,"251,597","1,059",92775,"A decade ago, humans, gods, and demons joined forces to stand against the threat of the colossal dragon, Bahamut. Now, in the present, humans living in the capital city of Anatae have been enjoying lavish and prosperous lives. Their progress is largely due to the administration of the newly appointed king, Charioce XVII, who has stolen a power from the gods and allowed for the abuse and slavery of the demon race in the capital. As humans continue to immorally exploit demons, a sense of hostility against humans begins to build up within demon communities, threatening a revolt. Meanwhile, an atmosphere of uneasiness is spreading among the gods, as they scramble to regain their lost power. Amidst it all, Nina Drango, a cheerful young bounty hunter, has arrived at the Royal Capital with hopes of settling down and earning a living. However, her peaceful life in the capital is quickly thrown into chaos when she crosses paths with the ominous Rag Demon who is determined to seek revenge against humans, and Kaisar Lidfard, a noble knight battling an internal moral conflict. Shingeki no Bahamut: Virgin Soul continues the tale of the social and moral conflict between humans, gods, and demons, and their struggle for survival and dominance. [Written by MAL Rewrite]","['Prequel (TV) Shingeki no Bahamut: Genesis', 'Prequel (ONA) Shingeki no Bahamut: Genesis - Short Story', 'Adaptation (Manga) Shingeki no Bahamut: Twin Heads', '']",Shingeki no Bahamut: Virgin Soul,,,,
68,,サクラクエスト,Sakura Quest,,,['TV'],25,Finished Airing,"Apr 6, 2017 to Sep 21, 2017",['Spring 2017'],Thursdays at 00:00 (JST),"['AT-X', 'Houbunsha', 'TOHO animation', 'BS11', 'ABC Animation', 'Sony PCL']",['Funimation'],['P.A. Works'],Original,,"['Adult Cast', 'Workplace']",,23 min. per ep.,PG-13 - Teens 13 or older,7.38,#2464,#1610,"154,464",532,48666,"Tired of her rural home, recent college graduate Yoshino Koharu is desperate to lead a more exciting life in Tokyo. After a fruitless job hunt, she finally receives a part-time offer as queen of the bizarre ""Kingdom of Chupakabura,"" a rundown mini-attraction in the small agricultural town of Manoyama. However, Yoshino discovers upon her arrival in Manoyama that she was mistaken for a celebrity and the job offer was a mistake. Left with no other options, Yoshino reluctantly agrees to take on the role and aid the Board of Tourism in their efforts to revitalize Manoyama. Determined to bring excitement to the dying town with the help of local residents, the queen enacts a series of projects to highlight the beauty and charm of Manoyama's culture. Sakura Quest delves into the story of a tight-knit community that is struggling to balance change while also maintaining the rich traditions and bonds which define their identity. [Written by MAL Rewrite]","['Adaptation (Manga) Sakura Quest', '']",Sakura Quest,,,['Slice of Life'],
69,,サクラダリセット,Sagrada Reset,,,['TV'],24,Finished Airing,"Apr 5, 2017 to Sep 13, 2017",['Spring 2017'],Wednesdays at 23:30 (JST),"['flying DOG', 'Asmik Ace', 'Showgate', 'Teichiku Entertainment', 'Hakuhodo DY Music & Pictures', 'Kansai Telecasting', 'BS11', 'Sony PCL', 'Radio Osaka', 'A-Sketch', 'Parco', 'e-notion', 'Kadokawa']",['Sentai Filmworks'],['David Production'],['Light novel'],"['Drama', 'Mystery']","['School', 'Super Power', 'Time Travel']",,25 min. per ep.,PG-13 - Teens 13 or older,7.33,#2678,#1649,"149,637",607,43911,"Kei Asai lives in the oceanside city of Sakurada—a town where the inhabitants are born with strange abilities. On the school rooftop one day, he meets Misora Haruki, an apathetic girl with the power to reset anything around her up to three days prior. While no one knows when she has reset, not even Haruki, Kei can retain everything before the reset thanks to his own ability: photographic memory. After they successfully help someone by combining their powers, they join the Service Club to aid others in their town. However, their club becomes involved with and begins completing missions for the mysterious Administration Bureau—an organization that focuses on managing the abilities in Sakurada and manipulating the town's events for their own ends. They may find out that there are more things at work in Sakurada than the machinations of the uncanny organization. [Written by MAL Rewrite]","['Adaptation (Manga) Sakurada Reset: Cat, Ghost and Revolution Sunday', 'Adaptation (Manga) Sakurada Reset', 'Adaptation (Light Novel) Sakurada Reset', '']",Sakurada Reset,,Sagrada Reset,,
70,"Pocket Monsters Sun & Moon, Pokémon Sun & Moon",ポケットモンスター サン＆ムーン,Pokémon the Series: Sun & Moon,Pokémon Die TV-Serie: Sonne und Mond Staffel 20,Pokémon La Serie: Soleil et Lune Saison 20,['TV'],146,Finished Airing,"Nov 17, 2016 to Nov 3, 2019",['Fall 2016'],Sundays at 18:00 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Fantasy']","['School', 'Strategy Game']",['Kids'],24 min. per ep.,PG - Children,6.95,#4608,#1923,"122,078",595,65603,"After his mother wins a free trip to the islands, Pokémon trainer Satoshi and his partner Pikachu head for Melemele Island of the beautiful Alola region, which is filled with lots of new Pokémon and even variations of familiar faces. Eager to explore the island, Satoshi and Pikachu run wild with excitement, quickly losing their way while chasing after a Pokémon. The pair eventually stumbles upon the Pokémon School, an institution where students come to learn more about these fascinating creatures. At the school, when he and one of the students—the no-nonsense Kaki—have a run-in with the nefarious thugs of Team Skull, Satoshi discovers the overwhelming might of the Z-Moves, powerful attacks originating from the Alola region that require the trainer and Pokémon to be in sync. Later that night, he and Pikachu have an encounter with the guardian deity Pokémon of Melemele Island, the mysterious Kapu Kokeko. The Pokémon of legend bestows upon them a Z-Ring, a necessary tool in using the Z-Moves. Dazzled by their earlier battle and now in possession of a Z-Ring, Satoshi and Pikachu decide to stay behind in the Alola Region to learn and master the strength of these powerful new attacks. Enrolling in the Pokémon School, Satoshi is joined by classmates such as Lillie, who loves Pokémon but cannot bring herself to touch them, Kaki, and many others. Between attending classes, fending off the pesky Team Rocket—who themselves have arrived in Alola to pave the way for their organization's future plans—and taking on the Island Challenge that is necessary to master the Z-Moves, Satoshi and Pikachu are in for an exciting new adventure. [Written by MAL Rewrite]","['Prequel (TV) Pokemon XY&Z', 'Sequel (TV) Pokemon (2019)']",Pokemon Sun & Moon,,Pokémon Serie: Sol y Luna Temporada 20,,
71,,アグレッシブ烈子,Aggretsuko,,,['TV'],100,Finished Airing,"Apr 2, 2016 to Mar 31, 2018",['Spring 2016'],Saturdays at 12:00 (JST),['Sanrio'],"None found,",['Fanworks'],Other,,"['Anthropomorphic', 'Music', 'Workplace']",,1 min. per ep.,PG-13 - Teens 13 or older,7.62,#1488,#2075,"110,798",679,52933,"Whether it be facing misogynistic remarks from her boss or being pressured by condescending co-workers, stress is just another part of the job for 25-year-old red panda Retsuko. Despite being one of the most diligent workers at her office, her diminutiveness and modesty often lead her to be exploited by her colleagues. However, when her irritation hits the limit, Retsuko brings forth her unique brand of letting off steam: aggressive death metal karaoke bashing the idiocy and hypocrisy of her co-workers' actions and work life. Although this venting only takes place in her mind, it gives her an outlet to counter her frustration in a world where hierarchy and appearances reign supreme. [Written by MAL Rewrite]",[],Aggressive Retsuko,,,['Comedy'],
72,,クレヨンしんちゃん,Shin Chan,Shin Chan,,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1028,#2400,"88,022","1,330",42174,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,['School'],Shin Chan,,
73,"Yuu Gi Ou!, Yugioh",遊戯王VRAINS,Yu-Gi-Oh! VRAINS,Yu-Gi-Oh! Vrains,Yu-Gi-Oh! Vrains,['TV'],120,Finished Airing,"May 10, 2017 to Sep 25, 2019",['Spring 2017'],Wednesdays at 18:25 (JST),"['TV Tokyo', 'Nihon Ad Systems']",['Konami Cross Media NY'],['Gallop'],Card game,"['Action', 'Fantasy', 'Sci-Fi']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.70,#5906,#3341,"49,411",267,20297,"The world of Duel Monsters is once again evolving with the development of a network called Link Vrains and a new summoning mechanic introduced as Link Summoning. By using this cyberspace, duelists can now create their own avatars and duel their way to glory within a virtual reality. However, much like the real world, the digital world is not free from war, conflict, and mysteries. Years ago, a hacker organization known as the Knights of Hanoi unleashed an attack on Link Vrains. Led by the anonymous Revolver, their aim was to annihilate the artificial intelligence program known as the Cyberse. After a failed attempt, one of their targets, Ignis, managed to escape and hide the Cyberse somewhere in the network. Five years later, high school student Yuusaku Fujiki encounters a strange artificial intelligence program while dueling in Link Vrains. Under the guise of his avatar named Playmaker, Yuusaku and his partner in crime, Shouichi Kusanagi, decide to join forces with the peculiar existence. As he seeks the truth behind a mysterious incident of the past, Yuusaku battles against the Knights of Hanoi and SOL Technologies in a race that might alter the fate of the world. [Written by MAL Rewrite]",[],Yu☆Gi☆Oh! VRAINS,['Strategy Game'],Yu-Gi-Oh! Vrains,,
74,Yokai Watch,妖怪ウォッチ,Yo-kai Watch,Yo-Kai Watch,Yo-Kai Watch,['TV'],214,Finished Airing,"Jan 8, 2014 to Mar 30, 2018",['Winter 2014'],Fridays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['Dentsu Entertainment USA'],['OLM'],Game,"['Comedy', 'Supernatural']",,['Kids'],23 min. per ep.,G - All Ages,6.68,#6009,#3993,"35,147",270,16274,"Primary school student Keita Amano's curiosity is as innocent as any other child's his age. But when one day he decides to venture deeper into the forest, he encounters a small and mysterious capsule. Out from its depths comes Whisper. After 190 years of imprisonment, this ghost-like creature is glad that someone has been kind enough to set him free. He decides to reward Keita by becoming his guardian against supernatural forces. Whisper is one of many Youkai that exist in the world, and provides Keita with a special Youkai Watch, which enables him to see and interact with all the other Youkai. Youkai Watch follows Keita, Whisper and the cat spirit Jibanyan as they encounter Youkai, befriend them, fix all the trouble that they so often cause, and, with the help of the watch, use the powers of previously encountered Youkai to aid them. Young Keita may have been just an ordinary primary school student when he first encountered the Youkai, but the many adventures that follow his discovery provide him with invaluable experiences and precious life lessons that help him grow.","['Sequel (TV) Youkai Watch!', 'Adaptation (Manga) Youkai Watch']",Youkai Watch,['Mythology'],Yo-Kai Watch,,
75,,境界のRINNE,RIN-NE Season 3,Rin-ne Staffel 3,Rin-ne Saison 3,['TV'],25,Finished Airing,"Apr 8, 2017 to Sep 23, 2017",['Spring 2017'],Saturdays at 17:35 (JST),"['Shogakukan-Shueisha Productions', 'NHK', 'Shogakukan', 'Egg Firm']",['Sentai Filmworks'],"[""Brain's Base""]",['Manga'],"['Comedy', 'Supernatural']","['Mythology', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.06,#4085,#4773,"23,963",21,8197,The third season of Kyoukai no Rinne.,"['Prequel (TV) Kyoukai no Rinne 2nd Season', 'Adaptation (Manga) Kyoukai no Rinne']",Kyoukai no Rinne 3rd Season,,Rin-ne Temporada 3,,
76,,アイカツスターズ！,,,,['TV'],100,Finished Airing,"Apr 7, 2016 to Mar 29, 2018",['Spring 2016'],Thursdays at 18:25 (JST),"['TV Tokyo', 'Echoes']","None found,",['Bandai Namco Pictures'],Original,,"['Idols (Female)', 'Music', 'School']",,24 min. per ep.,PG - Children,7.62,#1489,#4999,"21,425",308,7316,"Yume Nijino has been accepted into Four Stars academy, home of the beautiful and talented S4 idol group. She and the other newcomers are determined to discover their talent, with a choice of specializing in beauty, singing, dancing, or drama. A tough road lies ahead of them, and they must rely on each other to overcome their weaknesses and develop their unique strengths. At the first-years' opening performances, Yume performs stellarly but faints and is unable to remember being on stage at all. Struggling to find her talent, she meets Rola ""Laura"" Sakuraba, and the two develop a friendly rivalry, working together to learn and improve. Though they have their differences, all the students share the same goal: to become the next S4 idol. But hard work and determination, along with teamwork, are needed if they want to join the elite S4. [Written by MAL Rewrite]",[],Aikatsu Stars!,,,['Slice of Life'],
77,,ドラえもん (2005),,,,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,,25 min.,PG - Children,7.72,#1246,#5000,"21,404",239,9583,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),['Anthropomorphic'],,,"['Kids', 'Shounen']"
78,,ベイブレードバースト 神〈ゴッド〉,Beyblade Burst Evolution,,Beyblade Burst Evolution,['TV'],51,Finished Airing,"Apr 3, 2017 to Mar 26, 2018",['Spring 2017'],Mondays at 17:55 (JST),"['TV Tokyo', 'd-rights']",['ADK Emotions NY Inc.'],['OLM'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",,['Kids'],24 min. per ep.,PG - Children,7.14,#3665,#5053,"20,908",149,12302,"Valt Aoi, who participated in the Japanese Championship, was scouted for the prestigious Spanish team BC Sol and heads out to Spain. With their sights set on the world, Valt and his friends begin their challenge for the World League! However, in order to qualify for the World League, they must first win the European League. Will Valt be able to take BC Sol to the World League? And can he defeat the world's strongest Bladers? (Source: Beyblade Fandom Wiki)","['Prequel (TV) Beyblade Burst', 'Sequel (TV) Beyblade Burst Chouzetsu']",Beyblade Burst God,,,,
79,Appmon,デジモンユニバース アプリモンスターズ,Digimon Universe App Monsters,Digimon Universe App Monsters,Digimon Universe App Monsters,['TV'],52,Finished Airing,"Oct 1, 2016 to Sep 30, 2017",['Fall 2016'],Saturdays at 09:30 (JST),['Dentsu'],"None found,",['Toei Animation'],Original,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,['Kids'],24 min. per ep.,PG - Children,6.61,#6452,#5557,"16,298",88,6444,"Everyone in the world uses smartphone apps. But inside them lurks unknown creatures called ""Appli Monsters,"" or ""Appmon."" The Appmon are AI lifeforms with the ability to think and act, and exist in the boundary between the human world and digital space. In the vast sea of the internet, the ""last boss AI"" Leviathan takes control of the Appmon with a virus and begins hacking every system, thus starting to control the human world from the world of the net. Haru Shinkai is led to acquire the Appli Drive, and uses it to materialize Gatchmon, a search app monster. (Source: ANN)","['Adaptation (Manga) Digimon Universe: Appli Monsters', '']",Digimon Universe: Appli Monsters,,Digimon Universe App Monsters,,
80,,モンスターハンターストーリーズ RIDE ON,Monster Hunter Stories: Ride On,Monster Hunter Stories Ride On,Monster Hunter Stories Ride On,['TV'],75,Finished Airing,"Oct 2, 2016 to Apr 1, 2018",['Fall 2016'],Sundays at 08:30 (JST),"['Dentsu', 'Fuji TV', 'Capcom', 'Fuji Creative']",['Funimation'],['David Production'],Game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.28,#8379,#5578,"16,105",49,3775,"This is a world where both men and monsters exist. Those who hunt the monsters are called Hunters. But in a small corner of the Hunter's world, there are those called Riders who bond with and coexist with monsters. With their Kizuna Ishi (Bonding Stones) that allow them to awaken the hidden power inside monsters, Riders live in secrecy together with their Otomon, the monsters they formed a connection with. Ryuto, a young boy living in the Rider village of Hakum, dreams of becoming the world's best Rider. Having just turned 12, he sets out to find his own Otomon for himself before the ceremony where he is given his own Kizuna Ishi. Together with his kind-hearted childhood friend Cheval, his inquisitive childhood friend Lilia, and his partner Naville, he sets out deep into the forest, and has a miraculous encounter with a Rathalos. (Source: ANN, edited)",[],Monster Hunter Stories: Ride On,,,['Fantasy'],
81,Kirakira☆Precure À La Mode,キラキラ☆プリキュアアラモード,Kirakira Pretty Cure A La Mode,Kira Kira☆Pretty Cure a La Mode,Kira Kira☆Pretty Cure a La Mode,['TV'],49,Finished Airing,"Feb 5, 2017 to Jan 28, 2018",['Winter 2017'],Sundays at 08:30 (JST),"['Asatsu DK', 'Asahi Broadcasting', 'ABC Animation', 'Echoes']","None found,",['Toei Animation'],Original,"['Action', 'Gourmet']",,,24 min. per ep.,G - All Ages,7.13,#3761,#5775,"14,791",154,5438,"Cheerful teenager Ichika Usami has a passion for sweets that is inspired by her mother's baking. In celebration of her mother's return from overseas, she tries her hand at making a cake herself. She is interrupted when a dog-like fairy named Pekorin crashes into her kitchen. With Pekorin's help, Ichika successfully bakes her cake. Only then enters an imp named Gummy who bursts in and attempt to steal the cake's ""kirakiraru"", a magical power that gives sweets the ability to bring happiness. Though Ichika initially offers her cake to Gummy in order to protect Pekorin, the fairy helps her realize how important the treat is and the love it represents. As the kirakiraru within Ichika's cake grows, it changes into a set of trinkets that transforms her into Cure Whip, a hero known as a Pretty Cure. Using her newfound powers, she goes on to battle kirakiraru thieves whenever they appear. Ichika fights to protect Ichigozaka's sweets and finds colorful new allies along the way. [Written by MAL Rewrite]","['Adaptation (Manga) Kirakira☆Precure à la Mode', '']",Kirakira☆Precure A La Mode,['Mahou Shoujo'],Kira Kira☆Pretty Cure a La Mode,,
82,,ぐでたま,The Lazy Egg,,,['TV'],1717,Finished Airing,"Mar 31, 2014 to Dec 24, 2023",['Spring 2014'],Not scheduled once per week,['Sanrio'],"None found,",['Gathering'],Original,"['Comedy', 'Gourmet']",,['Kids'],1 min. per ep.,G - All Ages,6.61,#6458,#5997,"13,397",60,2722,"Gudetama, an egg that is dead to the world and completely lacks motivation. No matter what cooking method you use, Gudetama remains unmoved. (Source: ANN)",[],Gudetama,,,,
83,,信長の忍び~伊勢・金ヶ崎篇~,Ninja Girl & Samurai Master 2nd,Ninja Girl & Samurai Master 2nd,Nobunaga no Shinobi Saison 2,['TV'],26,Finished Airing,"Apr 8, 2017 to Sep 30, 2017",['Spring 2017'],Saturdays at 01:35 (JST),['TMS Music'],"None found,",['TMS Entertainment'],['4-koma manga'],,,,3 min. per ep.,PG-13 - Teens 13 or older,7.16,#3595,#6020,"13,252",15,5796,"A skilled, deadly ninja on the clock and an adorable, naïve girl off it, Chidori continues to pave the way forward for her master, Nobunaga Oda, in his conquest of the Land of the Rising Sun. Though Nobunaga has made great progress in his quest, uniting a nation has not become any easier. Between vindictive former enemies and powerful new rivals, his stubborn adversaries have taken up arms to stamp out the warlord's ambitions. However, standing beside the ambitious general are his many close friends and supporters, including one loyal, capable shinobi. Ready to serve in whatever way she can, Chidori gathers key allies, infiltrates enemy castles, and duels against skilled warriors in the name of realizing her lord's dream: establishing a unified Japan. [Written by MAL Rewrite]","['Prequel (TV) Nobunaga no Shinobi', 'Sequel (TV) Nobunaga no Shinobi: Anegawa Ishiyama-hen', 'Adaptation (Manga) Nobunaga no Shinobi', '']",Nobunaga no Shinobi: Ise Kanegasaki-hen,['Historical'],Nobunaga no Shinobi: Saga de Ise/Kanagasaki,['Comedy'],
84,,CARDFIGHT!! ヴァンガードG NEXT,,Cardfight!! Vanguard G: NEXT,Cardfight!! Vanguard G: NEXT,['TV'],52,Finished Airing,"Oct 2, 2016 to Oct 1, 2017",['Fall 2016'],Sundays at 10:00 (JST),"['Sotsu', 'Ace Crew Entertainment']","None found,",['OLM'],Card game,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.68,#6021,#6267,"11,925",18,5245,Third season of Cardfight!! Vanguard G series.,"['Prequel (TV) Cardfight!! Vanguard G: Stride Gate-hen', 'Sequel (TV) Cardfight!! Vanguard G Z']",Cardfight!! Vanguard G Next,['Strategy Game'],Cardfight!! Vanguard G: NEXT,['Action'],
85,PazuDora Cross,パズドラクロス,Puzzle & Dragons X,Puzzle & Dragons X,Puzzle & Dragons X,['TV'],89,Finished Airing,"Jul 4, 2016 to Mar 26, 2018",['Summer 2016'],Mondays at 18:25 (JST),"['Audio Planning U', 'GungHo Online Entertainment']",['Funimation'],['Pierrot'],Game,,,['Kids'],24 min. per ep.,PG-13 - Teens 13 or older,6.49,#7128,#7046,"9,035",20,2664,"Dorogoza Island is rich in ""Drop Energy"" that players can use on friendly monsters. Once strong enough, they can face enemies in puzzle wars. Winners reap rewards, but what happens to the losers? Only the brave can take on these monstrous challenges! (Source: FUNimation)",[],Puzzle & Dragons Cross,['Strategy Game'],Puzzle & Dragons X,,
