,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Themes,Demographic,Spanish,Theme,Genre,Demographics
10,Wolfed Away,おおかみかくし,Okamikakushi: Masque of the Wolf,['TV'],12,Finished Airing,"Jan 8, 2010 to Mar 26, 2010",['Winter 2010'],Fridays at 01:59 (JST),"['TBS', 'flying DOG']",['Sentai Filmworks'],['AIC'],Visual novel,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",24 min. per ep.,PG-13 - Teens 13 or older,6.29,#8363,#2656,"74,913",90,31528,"Due to his father's job, 15-year-old Hiroshi Kuzumi and his family move to the mountain town of Jouga. While some teenagers might have to worry about fitting in or feel out of place in a new environment, Hiroshi is welcomed enthusiastically at school by most of his new classmates. In fact, it seems like they just can't get enough of him, and he makes two friends rather quickly: the clingy and overly-affectionate Isuzu Tsumuhana, who is also his neighbor; and Kaname Asagiri, who also recently moved to Jouga. All in all, Hiroshi's new life seems to be quite normal—until people start disappearing. Hiroshi is told that the missing townsfolk have simply moved away or suddenly transferred, but he can't shake the feeling that something is wrong. Meanwhile, in the dead of night under a red moon, masked individuals led by a girl with a scythe stalk their prey in the darkened streets of Jouga. Who are they, and are any of the residents safe from their wrath? [Written by MAL Rewrite]","['Adaptation (Manga) Ookamikakushi: Kokihi no Shou', 'Adaptation (Manga) Ookamikakushi: Keshimurasaki no Shou', 'Adaptation (Light Novel) Ookamikakushi', '']",Ookamikakushi,,,,,,['Psychological'],,
11,"Chuu Bra!!, Chubra!!, Chuubra!!",ちゅーぶら!!,Chu-Bra!!,['TV'],12,Finished Airing,"Jan 4, 2010 to Mar 22, 2010",['Winter 2010'],Mondays at 23:30 (JST),"['Starchild Records', 'GANSIS']",['Media Blasters'],['Zexcs'],['Manga'],"['Comedy', 'Ecchi']",23 min. per ep.,R+ - Mild Nudity,6.19,#8899,#3337,"49,614",51,22749,"Nayu Hayama makes quite an impression on everyone at Ounan Middle School when she trips while attempting to get on stage to make a speech. The unfortunate incident causes Nayu to flash her unusual underwear in front of the entire freshman class, marking an eventful start to the school year. Underwear is Nayu’s passion, and she believes that possessing a good selection of them is important to women of all ages. However, her desire to spread this wisdom to her classmates and teachers is not an easy task to accomplish. Not only does her odd hobby circulate embarrassing and uncomfortable rumors, but it also leads to unwanted attention from the opposite sex. With obstacles to her underwear school revolution beginning to mount, Nayu has her work cut out for her. [Written by MAL Rewrite]","['Adaptation (Manga) Chu-Bra!!', '']",Chuu Bra!!,,,,['Seinen'],Chu-Bra,['School'],,
12,Heartcatch Pretty Cure!,ハートキャッチプリキュア!,,['TV'],49,Finished Airing,"Feb 7, 2010 to Jan 30, 2011",['Winter 2010'],Sundays at 08:30 (JST),"None found,","None found,",['Toei Animation'],Original,"['Action', 'Comedy']",24 min. per ep.,G - All Ages,7.86,#901,#4025,"34,679",658,13268,"Young flower enthusiast Tsubomi Hanasaki is often modest and quiet. But with her family moving to a new town, she aims to reinvent her image at her new school as someone more confident and outgoing. On moving day, she dreams of a mysterious tree in the sky guarded by a warrior named ""Cure Moonlight."" Tsubomi quickly learns that this was no ordinary dream when she encounters two mysterious fairies—Chypre and Coffret—who are being hunted down by a strange woman. When the woman summons a giant monster to attack the city, Tsubomi finds herself transforming into a warrior to fight the enemy! Taking on the alias ""Cure Blossom,"" Tsubomi learns that the woman is part of a villainous group that aims to turn the world into a lifeless desert, with her new duty being to stop it from happening. As Tsubomi continues to battle more monsters and uncover the secrets behind Cure Moonlight, will she find the confidence needed to overcome her timid nature? [Written by MAL Rewrite]","['Adaptation (Manga) Heartcatch Precure!', 'Adaptation (Novel) Shousetsu Heartcatch Precure!']",Heartcatch Precure!,,,,,,['Mahou Shoujo'],,
13,"Hidamari Sketch x Hoshi Mittsu, Hidamari Sketch 3rd Season",ひだまりスケッチ×☆☆☆,,['TV'],12,Finished Airing,"Jan 8, 2010 to Mar 26, 2010",['Winter 2010'],Fridays at 01:29 (JST),"['Aniplex', 'Lantis', 'TBS', 'Movic', 'Houbunsha', 'Omnibus Promotion']",['Sentai Filmworks'],['Shaft'],['4-koma manga'],,24 min. per ep.,PG-13 - Teens 13 or older,7.90,#835,#4356,"29,384",149,13876,"When we first met Yuno, she'd just been accepted to the prestigious Yamabuki Art School, and it was up to her new neighbors at Hidamari to help her find her way in the big scary world. Now a seasoned vet of the Hidamari Apartments herself, Yuno's newest challenge is to help the latest arrivals, Nazuna and Nori, acclimate to life on their own. Of course, since it IS Hidamari, there are still lots of trials and tribulations ahead, and nothing will ever go quite as expected. But with friends like Miyako, Hiro, and Sae ready to lend a hand, there will always be a ray of sunshine at the end of every storm in Hidamari Sketch x Hoshimittsu. (Source: Sentai Filmworks)","['Prequel (Special) Hidamari Sketch x 365 Specials', 'Sequel (TV Special) Hidamari Sketch x ☆☆☆ Specials', 'Adaptation (Manga) Hidamari Sketch', '']",Hidamari Sketch x ☆☆☆,,,"['CGDCT', 'Iyashikei', 'School', 'Visual Arts']",,,,['Slice of Life'],
14,Weiss Survive R,ヴァイス・サヴァイヴR,,['TV'],12,Finished Airing,"Dec 5, 2009 to Mar 27, 2010",['Winter 2010'],Saturdays at 01:25 (JST),['TBS'],"None found,",['Studio Hibari'],Card game,"['Comedy', 'Ecchi']",2 min. per ep.,PG-13 - Teens 13 or older,5.98,#10010,#6273,"11,911",4,5354,The second season of Weiß Survive.,"['Prequel (TV) Weiß Survive', 'Adaptation (Manga) Weiß Survive']",Weiß Survive R,,,,,,['Strategy Game'],,
15,Cobra The Animation: Rokunin no Yuushi,COBRA THE ANIMATION,,['TV'],13,Finished Airing,"Jan 2, 2010 to Mar 27, 2010",['Winter 2010'],Saturdays at 23:30 (JST),['Happinet Pictures'],['Sentai Filmworks'],['Magic Bus'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",24 min. per ep.,R+ - Mild Nudity,7.07,#4056,#6762,"10,012",28,3957,"This Cobra adaptation features short arcs of Cobra saving the world, his friends or himself.","['Prequel (OVA) Cobra The Animation: Time Drive', 'Adaptation (Manga) Cobra', 'Adaptation (Manga) Cobra: Galaxy Nights', '']",Cobra The Animation,,,"['Adult Cast', 'Space']",['Shounen'],,,,
16,"Kaito Reina, Phantom Thief Reinya",怪盗レーニャ,,['TV'],12,Finished Airing,"Jan 9, 2010 to Mar 27, 2010",['Winter 2010'],Unknown,['Kadokawa Pictures Japan'],"None found,",['Stingray'],['4-koma manga'],,3 min. per ep.,PG - Children,5.60,#11803,#9695,"3,905",0,1804,"Reinya appears to be an ordinary girl working at a convenience store but she is in fact, the Phantom Thief Reinya. Together with her assistant Chūtarō in their secret hideout right below the local convenience store, Reinya hatches plans to steal various treasures made of gold. They face an incompetent trio of a perverted police inspector, a policewoman who is a natural airhead, and a detective totally infatuated with Reinya, all of them in a police station beside Reinya's convenience store. (Source: ANN)",[],Kaitou Reinya,,,,,Phantom Thief Reinya,,['Comedy'],
17,Gyagu Manga Biyori +,増田こうすけ劇場 ギャグマンガ日和+,,['TV'],12,Finished Airing,"Jan 5, 2010 to Jun 29, 2010",['Winter 2010'],Tuesdays at 02:14 (JST),"['Bandai Visual', 'Yomiuri Telecasting', 'Kids Station', 'Shueisha']","None found,",['Studio Deen'],['Manga'],,5 min. per ep.,PG-13 - Teens 13 or older,6.93,#4679,#10843,"2,747",1,856,Based on a shounen gag manga by Masuda Kousuke serialised in Monthly Shounen Jump.,"['Prequel (TV) Masuda Kousuke Gekijou: Gag Manga Biyori 3', 'Sequel (TV) Masuda Kousuke Gekijou: Gag Manga Biyori Go', 'Adaptation (Manga) Masuda Kousuke Gekijou: Gag Manga Biyori', '']",Masuda Kousuke Gekijou: Gag Manga Biyori +,,,,,,['Gag Humor'],['Comedy'],
18,Chii-Sui Maru,ちーすい丸,,['TV'],41,Finished Airing,"Feb 6, 2010 to Nov 26, 2010",['Winter 2010'],Unknown,"None found,","None found,","None found,",Original,,1 min. per ep.,G - All Ages,5.79,#10971,#15690,672,1,133,"The offensive and defensive battles between Nobuo, an office worker, and Chi-Sui Maru, a mosquito.","['Sequel (TV) Chi-Sui Maru 2nd Season', '']",Chi-Sui Maru,,,,,,,['Comedy'],
19,"Space Adventures, Star Field War Record Astro Plan, Xingyuan Zhanji",太空历险记,Astro Plan,['TV'],26,Finished Airing,"Jan 16, 2010 to Feb 2010",['Winter 2010'],Not scheduled once per week,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",20 min. per ep.,G - All Ages,[],#14692,#17008,506,3,,"In the year 2735, mankind has begun to venture into space to find a new home after Earth's environment succumbs to global warming and the bombardment of asteroids into the atmosphere. During their voyage, the Space Migration Fleet encounters an alien race from the planet Iccus. As raiders of natural resources, the aliens are bent on galactic domination. To combat the threat, six young fighters are recruited into the Sky Arrow Flight Team and are equipped with transformable Type Yi fighter planes. (Source: Wikipedia)",[],Taikong Lixianji,,,,['Kids'],,['Mecha'],,
