,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Themes,Demographic,Spanish,Theme,Genre,Demographics
20,,ローズオニール キューピー,,['TV'],26,Finished Airing,"Dec 2, 2009 to May 26, 2010",['Winter 2010'],Unknown,"None found,","None found,",['TMS Entertainment'],Other,,5 min. per ep.,G - All Ages,[],#21428,#17289,477,0,,"Kewpie, the babylike doll that the late American artist Rose O'Neill created for Ladies' Home Journal magazine in 1909, will celebrate its 100th anniversary this December with its first animated project. (Source: ANN)",[],Rose O'Neill Kewpie,,,,,,,['Comedy'],
21,Shit Naive School,うんこさん ツイてる人にしか見えない妖精 純情派,,['TV'],13,Finished Airing,"Jan 10, 2010 to Apr 4, 2010",['Winter 2010'],Unknown,"None found,","None found,",['Kachidoki Studio'],Original,,3 min. per ep.,PG - Children,[],#15157,#17514,458,2,,"On a legendary island shaped like an unusually regular turd, a population of turd-people and insanely aggressive animals go about their hilarity-packed day to day lives. Central character Yoshiko Un is known as Unko-san, but you're unlikely to meet her--the island appears only to the fortunate few, to whom they give good luck. (Source: The Anime Encyclopedia)","['Prequel (TV) Unko-san: Tsuiteru Hito ni Shika Mienai Yousei', '']",Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,,,,,,,['Comedy'],
22,,ケシカスくん,,['TV'],44,Finished Airing,"Jan 12, 2010 to Apr 1, 2011",['Winter 2010'],Not scheduled once per week,"None found,","None found,",['Shogakukan Music & Digital Entertainment'],['Manga'],,1 min. per ep.,G - All Ages,[],#19401,#18547,379,0,,Keshikasu-kun is an anthropomorphism anime about stationery. The main character is the eraser Keshikasu who aims to be an idol of the stationary world. He fights against other stationary and erases a mechanical pencil or gets crushed by a permanent marker.,[],Keshikasu-kun,,,,['Kids'],,,['Comedy'],
23,"Ltd. Zoo, Kabushiki Gaisha Zoo",株式会社ZOO,,['TV'],12,Finished Airing,"Jan 20, 2010 to Aug 30, 2010",['Winter 2010'],Unknown,"['NHK', 'Milky Cartoon', 'Opera House']","None found,","None found,",Original,,2 min. per ep.,PG - Children,[],#19171,#19782,298,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Kabushiki Kaisha Zoo,,,,['Kids'],,,['Comedy'],
24,,헬로 코코몽,Hello Cocomong,['TV'],13,Finished Airing,"Feb 26, 2010 to Feb 25, 2011",['Winter 2010'],Fridays at Unknown,"None found,","None found,","None found,",Original,,9 min. per ep.,G - All Ages,[],#18530,#20163,278,1,,"I can dance! I can sing! So, I can speak English! Hello Cocomong is a series of musical episodes teaching kids through song and dance. A large amount of episodes are aimed to teach English to Korean speaking children, though the intention is lost with the official English dub of the show.","['Sequel (TV) Hello Cocomong 2', '']",Hello Cocomong,,,,['Kids'],,['Music'],,
25,The Fifty-Three Stations of the Toukaidou,忍者玉丸 東海道五十三次,,['TV'],26,Finished Airing,"Dec 26, 2009 to Jun 26, 2010",['Winter 2010'],Unknown,"None found,","None found,","None found,",Original,,5 min. per ep.,G - All Ages,[],#20688,#20521,257,0,,The third season of Ninja Tamamaru.,"['Prequel (TV) Shin Ninja Tamamaru', '']",Ninja Tamamaru: Toukaidou Gojuusan-ji,,,,['Kids'],,['Martial Arts'],,
26,,麦圈可可远古大冒险,Maiquan & Keke's Ancient Adventures,['TV'],46,Finished Airing,Feb 2010 to Oct 2010,['Winter 2010'],Unknown,"None found,","None found,","None found,",Original,,11 min. per ep.,PG - Children,[],#19967,#23667,119,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Maiquan Keke Man Youji', 'Sequel (TV) Maiquan Keke Xunbao Ji']",Maiquan Keke Yuangu Da Maoxian,,,,['Kids'],,,['Adventure'],
27,,太昊伏羲,,['TV'],26,Finished Airing,Jan 2010 to Feb 2011,['Winter 2010'],Unknown,"None found,","None found,","None found,",Other,,13 min. per ep.,PG - Children,[],#14676,#24344,105,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tai Hao Fuxi,,,,['Kids'],,,,
28,Online Miracle Shopping 2nd Season,ネットミラクルショッピング 第2期,,['TV'],22,Finished Airing,"Jan 8, 2010 to Mar 26, 2010",['Winter 2010'],Unknown,['Mainichi Broadcasting System'],"None found,","None found,",Original,,3 min. per ep.,PG-13 - Teens 13 or older,[],#20645,#27323,68,0,,Second season of Net Miracle Shopping.,"['Prequel (TV) Net Miracle Shopping', '']",Net Miracle Shopping 2nd Season,,,,,,,['Comedy'],
29,"Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",鋼の錬金術師 FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,['TV'],64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",['Spring 2009'],Sundays at 17:00 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Techno Sound']","['Funimation', 'Aniplex of America']",['Bones'],['Manga'],"['Action', 'Adventure', 'Drama', 'Fantasy']",24 min. per ep.,R - 17+ (violence & profanity),9.10,#2,#3,"3,486,881","232,139",2198350,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor. The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher's Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange. As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world. [Written by MAL Rewrite]","['Adaptation (Manga) Fullmetal Alchemist', '']",Fullmetal Alchemist: Brotherhood,,Fullmetal Alchemist Brotherhood,,['Shounen'],,['Military'],,
30,Naruto Hurricane Chronicles,-ナルト- 疾風伝,Naruto Shippuden,['TV'],500,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",['Winter 2007'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'KSS', 'Rakuonsha', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,8.28,#304,#16,"2,597,956","115,639",1728599,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world. Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage. [Written by MAL Rewrite]","['Prequel (TV) Naruto', 'Sequel (Movie) Boruto: Naruto the Movie', 'Sequel (TV) Boruto: Naruto Next Generations', 'Adaptation (Manga) Naruto']",Naruto: Shippuuden,Naruto Shippuden,Naruto Shippuden,,['Shounen'],Naruto Shippuden,['Martial Arts'],,
31,OP,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,496,345","234,722",1419488,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,,,,['Shounen'],,,,
32,,BLEACH - ブリーチ -,Bleach,['TV'],366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",['Fall 2004'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.97,#705,#35,"2,074,732","78,038",1188618,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]","['Sequel (TV) Bleach: Sennen Kessen-hen', 'Adaptation (Manga) Bleach']",Bleach,,,,['Shounen'],,,,
33,,FAIRY TAIL（フェアリーテイル）,Fairy Tail,['TV'],175,Finished Airing,"Oct 12, 2009 to Mar 30, 2013",['Fall 2009'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Pony Canyon', 'Kodansha', 'DAX Production']",['Funimation'],"['Satelight', 'A-1 Pictures']",['Manga'],"['Action', 'Adventure', 'Fantasy']",24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1695,#54,"1,790,884","47,064",1035449,"In the enchanted Kingdom of Fiore, the lively Lucy Heartfilia has one wish: to join the renowned Fairy Tail—one of the many magical wizard guilds scattered around the continent. Luckily, a chance encounter with Natsu Dragneel, the ""Salamander"" of Fairy Tail, whisks her into the legendary guild. From Natsu's rivalrous antics with ice wizard Gray Fullbuster to the frightening presence of the unmatched combat goddess Erza Scarlet, Fairy Tail's powerful mages have a slight penchant for trouble. Through all the lucrative odd jobs and adventures to save the world from destruction lies an absolute and unyielding trust stronger than family that has formed between each guild member. Teaming up with Natsu, Gray, and Erza, Lucy finds herself amidst the guild's most misfit wizards. But as they constantly stand in the eye of every danger, there is one name that never ceases to resurface: Zeref, the feared master of dark magic. [Written by MAL Rewrite]","['Sequel (TV) Fairy Tail (2014)', 'Adaptation (Manga) Fairy Tail']",Fairy Tail,,,,['Shounen'],,,,
34,"Ghostory, Monstory",化物語,Bakemonogatari,['TV'],15,Finished Airing,"Jul 3, 2009 to Jun 25, 2010",['Summer 2009'],Fridays at 23:00 (JST),"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],['Light novel'],"['Mystery', 'Romance', 'Supernatural']",25 min. per ep.,R - 17+ (violence & profanity),8.32,#263,#94,"1,443,134","50,039",750207,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa. When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament. Through several tales involving demons and gods, Bakemonogatari follows Araragi as he attempts to help those who suffer from supernatural maladies. [Written by MAL Rewrite]","['Prequel (TV Special) Nekomonogatari: Kuro', 'Sequel (TV) Nisemonogatari', 'Adaptation (Manga) Bakemonogatari', 'Adaptation (Light Novel) Monogatari Series: First Season']",Bakemonogatari,,,,,,['Vampire'],,
35,"Gin Tama, Silver Soul, Yorinuki Gintama-san",銀魂,Gintama,['TV'],201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",['Spring 2006'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],['Manga'],"['Action', 'Comedy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,8.93,#17,#145,"1,104,512","60,224",408343,"Edo is a city that was home to the vigor and ambition of samurai across the country. However, following feudal Japan's surrender to powerful aliens known as the ""Amanto,"" those aspirations now seem unachievable. With the once-influential shogunate rebuilt as a puppet government, a new law is passed that promptly prohibits all swords in public. Enter Gintoki Sakata, an eccentric silver-haired man who always carries around a wooden sword and maintains his stature as a samurai despite the ban. As the founder of Yorozuya, a small business for odd jobs, Gintoki often embarks on endeavors to help other people—though usually in rather strange and unforeseen ways. Assisted by Shinpachi Shimura, a boy with glasses supposedly learning the way of the samurai; Kagura, a tomboyish girl with superhuman strength and an endless appetite; and Sadaharu, their giant pet dog who loves biting on people's heads, the Yorozuya encounter anything from alien royalty to scuffles with local gangs in the ever-changing world of Edo. [Written by MAL Rewrite]","[""Sequel (TV) Gintama'"", 'Adaptation (Manga) Gintama']",Gintama,,,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen'],,,,
36,Reaching You,君に届け,Kimi ni Todoke: From Me to You,['TV'],25,Finished Airing,"Oct 7, 2009 to Mar 31, 2010",['Fall 2009'],Wednesdays at 00:59 (JST),"['VAP', 'Nippon Television Network', 'Shueisha']","['NIS America, Inc.']",['Production I.G'],['Manga'],"['Drama', 'Romance']",22 min. per ep.,PG-13 - Teens 13 or older,8.02,#634,#169,"1,009,334","14,923",491488,"Known for her semblance to the Sadako character of The Ring series, Sawako Kuronuma is given the nickname ""Sadako"" and misunderstood to be frightening and malicious like her fictional counterpart, despite having a timid and sweet nature. Longing to make friends and live a normal life, Sawako is naturally drawn to the cheerful and friendly Shouta Kazehaya, the most popular boy in her class. From their first meeting, Sawako has admired Kazehaya's ability to be the center of attention and aspires to be like him. When Kazehaya organizes a test of courage for the entire class and encourages her to attend, Sawako sees this as an opportunity to get along with her classmates, starting with Ayane Yano and Chizuru Yoshida. Through each new encounter and emotion she experiences, Sawako believes that meeting Kazehaya has changed her for the better. Little does Sawako know, her presence has also changed Kazehaya. [Written by MAL Rewrite]","['Sequel (TV) Kimi ni Todoke 2nd Season', 'Adaptation (Manga) Kimi ni Todoke']",Kimi ni Todoke,,Swako: Kimi ni Todoke,,['Shoujo'],Kimi ni Todoke: From Me To You,['School'],,
37,Toaru Kagaku no Choudenjihou,とある科学の超電磁砲,A Certain Scientific Railgun,['TV'],24,Finished Airing,"Oct 3, 2009 to Mar 20, 2010",['Fall 2009'],Saturdays at 01:30 (JST),"['Geneon Universal Entertainment', 'Movic', 'AT-X', 'ASCII Media Works']",['Funimation'],['J.C.Staff'],['Manga'],"['Action', 'Fantasy', 'Sci-Fi']",24 min. per ep.,PG-13 - Teens 13 or older,7.65,#1436,#366,"628,460","6,023",295360,"The student-filled Academy City is at the forefront of scientific advancement and home to the esper development program. The seven ""Level 5"" espers are the most powerful in Academy City, and ranked third among them is middle schooler Mikoto Misaka, an electricity manipulator known as ""The Railgun."" When strange incidents begin occurring throughout the city, she finds each crime to be connected to the elusive ""Level Upper,"" a legendary device that allegedly increases the esper level of its user. As the situation escalates, it becomes apparent that there is more to the Level Upper than meets the eye, and that Academy City may be a far more twisted place than the glamorous utopia it appears to be. Toaru Kagaku no Railgun focuses on Mikoto and her friends—and the dangerous situations they find themselves in—as they get caught up in the matter of the Level Upper. As Mikoto says, ""There's never a dull moment in this city."" [Written by MAL Rewrite]","['Sequel (TV) Toaru Kagaku no Railgun S', 'Adaptation (Manga) Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun']",Toaru Kagaku no Railgun,A Certain Scientific Railgun,A Certain Scientific Railgun,"['Super Power', 'Urban Fantasy']",,A Certain Scientific Railgun,,,
38,"Kateikyoushi Hitman Reborn!, Home Tutor Hitman Reborn!",家庭教師ヒットマンREBORN!,Reborn!,['TV'],203,Finished Airing,"Oct 7, 2006 to Sep 25, 2010",['Fall 2006'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu', 'Marvelous Entertainment', 'Pony Canyon', 'd-rights']","['VIZ Media', 'Discotek Media']",['Artland'],['Manga'],"['Action', 'Comedy']",24 min. per ep.,PG-13 - Teens 13 or older,8.12,#500,#415,"570,848","16,015",264913,"There is no putting it lightly—Tsunayoshi Sawada is just no good. He is clumsy, talentless, and desperately in love with the school idol Kyouko Sasagawa, a girl so completely out of his league. Dubbed ""Loser Tsuna"" by his classmates, he seems to be the very personification of failure in the guise of a middle-schooler. Tsuna's boring life takes an extraordinary twist when he encounters the mysterious Reborn, who happens to be a hitman... and shockingly, a baby! Sent from the strongest Mafia family in Italy, Reborn is assigned the daunting mission of preparing the dull middle schooler to succeed the ninth boss of the notorious Vongola family, who is on the brink of retirement. The dull boy has a grueling road ahead, but with the help of his new criminal affiliates and his peculiar home tutor, perhaps even Loser Tsuna can achieve greatness. [Written by MAL Rewrite]","['Adaptation (Manga) Katekyou Hitman Reborn!', '']",Katekyou Hitman Reborn!,,Mon prof le tueur Reborn!,"['Organized Crime', 'Super Power']",['Shounen'],Reborn!,,,
39,"Dragonball Kai, DBK, DB Kai, DBZ Kai",ドラゴンボール改,Dragon Ball Z Kai,['TV'],97,Finished Airing,"Apr 5, 2009 to Mar 27, 2011",['Spring 2009'],Sundays at 09:00 (JST),['Fuji TV'],['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.76,#1130,#604,"411,492","3,705",253486,"Five years after the events of Dragon Ball, martial arts expert Gokuu is now a grown man married to his wife Chi-Chi, with a four-year old son named Gohan. While attending a reunion on Turtle Island with his old friends Master Roshi, Krillin, Bulma and others, the festivities are interrupted when a humanoid alien named Raditz not only reveals the truth behind Gokuu's past, but kidnaps Gohan as well. With Raditz displaying power beyond anything Gokuu has seen before, he is forced to team up with his old nemesis, Piccolo, in order to rescue his son. But when Gokuu and Piccolo reveal the secret of the seven mystical wish-granting Dragon Balls to Raditz, he informs the duo that there is more of his race, the Saiyans, and they won’t pass up an opportunity to seize the power of the Dragon Balls for themselves. These events begin the saga of Dragon Ball Kai, a story that finds Gokuu and his friends and family constantly defending the galaxy from increasingly more powerful threats. Bizarre, comical, heartwarming and threatening characters come together in a series of battles that push the powers and abilities of Gokuu and his friends beyond anything they have ever experienced.","['Prequel (TV) Dragon Ball', 'Sequel (TV Special) Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni', 'Adaptation (Manga) Dragon Ball', '']",Dragon Ball Kai,Dragon Ball Z Kai,Dragon Ball Z Kai,,['Shounen'],,['Martial Arts'],,
40,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",24 min.,PG-13 - Teens 13 or older,8.17,#434,#706,"360,788","15,329",164318,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Case Closed,,,['Shounen'],,['Detective'],,
41,Inu Yasha: Kanketsu-hen,犬夜叉 完結編,InuYasha: The Final Act,['TV'],26,Finished Airing,"Oct 4, 2009 to Mar 30, 2010",['Fall 2009'],Sundays at 02:20 (JST),"['Yomiuri Telecasting', 'Shogakukan']",['VIZ Media'],['Sunrise'],['Manga'],"['Action', 'Adventure', 'Fantasy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,8.20,#401,#889,"294,048","2,265",148081,"Thwarted again by Naraku, Inuyasha, Kagome Higurashi, and their friends must continue their hunt for the few remaining Shikon Jewel shards, lest they fully form into a corrupted jewel at the hands of Naraku. But Naraku has plans of his own to acquire them, and will destroy anyone and anything standing in his way—even his own underlings. The persistent, unyielding danger posed by Naraku forces Sango and Miroku to decide what is most important to them—each other or their duty in battle. Meanwhile, Inuyasha must decide whether his heart lies with Kikyou or Kagome, before fate decides for him. Amid the race to find the shards, Inuyasha and his brother Sesshoumaru must also resolve their feud and cooperate for their final confrontation with Naraku, as it is a battle they must win in order to put a stop to his evil and cruelty once and for all. [Written by MAL Rewrite]","['Prequel (TV) InuYasha', 'Sequel (TV) Hanyou no Yashahime: Sengoku Otogizoushi', 'Adaptation (Manga) InuYasha', '']",InuYasha: Kanketsu-hen,InuYasha: The Final Act,,"['Historical', 'Love Polygon', 'Mythology', 'Time Travel']",['Shounen'],,,,
42,,イナズマイレブン,,['TV'],127,Finished Airing,"Oct 5, 2008 to Apr 27, 2011",['Fall 2008'],Unknown,"['TV Tokyo', 'Dentsu', 'Half H.P Studio']","None found,",['OLM'],Game,,24 min. per ep.,G - All Ages,7.74,#1187,#1145,"227,020","4,461",138522,"While other schools in Japan compete for the title of being the best soccer team in the country, Raimon Middle School's soccer club, Inazuma Eleven, struggles to rise from the verge of being disbanded. The grandson of Inazuma Eleven's first generation goalkeeper and captain of the team, Mamoru Endou, takes the challenge of kicking the long neglected club back into shape. To do this, he'll need a little help and more than a little luck. Mamoru Endou finds hope in the hands of Shuuya Gouenji, a brilliant young player who has given up on soccer. Mamoru is determined to get Shuuya and other new recruits to join his team, no matter what the cost. Is his passion and determination enough to treat the ailing club? Or is there no more hope for the team?","['Sequel (TV) Inazuma Eleven Go', 'Adaptation (Manga) Inazuma Eleven', 'Adaptation (Manga) Inazuma Eleven: Special', '']",Inazuma Eleven,,,"['Super Power', 'Team Sports']",,,,['Sports'],
43,,こばと。,Kobato.,['TV'],24,Finished Airing,"Oct 6, 2009 to Mar 23, 2010",['Fall 2009'],Tuesdays at 20:00 (JST),"['NHK', 'Kadokawa Shoten', 'NHK-BS2', 'KlockWorx', 'flying DOG']",['Sentai Filmworks'],['Madhouse'],['Manga'],"['Adventure', 'Fantasy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.94,#756,#1469,"171,755","1,556",63103,"The friendly and sincere Kobato Hanato has a wish to go to a particular place no matter what. To fulfill this desire, she is tasked with helping people in their times of distress. For each mended broken heart, a small candy-like fragment is produced and fills a special bottle. Once the bottle is full, her wish will be granted. As Kobato carries out her mission alongside her stuffed toy companion, Ioryogi, she encounters various people troubled by their different situations. From a child struggling with his parents, a high school girl troubled about romance, and everything in between, Kobato's naturally sweet smile and outgoing personality are ready to brighten their day! [Written by MAL Rewrite]","['Adaptation (Manga) Kobato.', '']",Kobato.,,,,,,,,
44,"Pocket Monsters: Diamond & Pearl, Diamond and Pearl, DP: Battle Dimension, DP: Galactic Battles, DP: Sinnoh League Victors",ポケットモンスター ダイヤモンド&パール,Pokémon: Diamond and Pearl,['TV'],191,Finished Airing,"Sep 28, 2006 to Sep 9, 2010",['Fall 2006'],Thursdays at 19:00 (JST),"['TV Tokyo', 'SoftX', 'Nintendo', 'Shogakukan Productions']","['VIZ Media', 'The Pokemon Company International']",['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",23 min. per ep.,PG - Children,7.31,#2803,#1607,"155,178",537,94722,"Following the end of Satoshi's Hoenn journey, he travels to the Sinnoh region for his next adventure en route to becoming a Pokémon Master. Immediately upon arrival, Team Rocket makes another attempt to snatch Pikachu, only for it to fail once again. However, Pikachu has fallen deep into a forest and it's up to Satoshi to find him! Along the way, he reunites with Takeshi—a Pokémon breeder with whom he has traveled through many regions—and meets his soon-to-be rival, Shinji, a power-hungry trainer who cares little for his Pokémons' feelings. Still in search for Pikachu, Satoshi notices a powerful electric attack in the distance and heads toward it to find Pikachu with Team Rocket and Hikari—a novice trainer aiming to be the top Pokémon coordinator. After foiling Team Rocket's plans, Satoshi reunites with Pikachu and Hikari joins the group. And thus, Satoshi and his friends begin their journey through the exciting land of Sinnoh. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Advanced Generation', 'Sequel (TV) Pokemon Best Wishes!']",Pokemon Diamond & Pearl,Pokémon: Diamant und Perl,Pokémon Diamond and Pearl,,['Kids'],Pokémon Diamond and Pearl,,,
45,"Yuu Gi Ou: Duel Monsters 5DS, Yugioh 5 D's",遊☆戯☆王5D's（ファイブディーズ）,Yu-Gi-Oh! 5D's,['TV'],154,Finished Airing,"Apr 2, 2008 to Mar 30, 2011",['Spring 2008'],Wednesdays at 18:00 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Shueisha']",['Konami'],['Gallop'],['Manga'],,24 min. per ep.,PG-13 - Teens 13 or older,7.46,#2099,#1667,"147,902","1,636",85918,"Yuusei Fudou is out to get back what was stolen from him. The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City. In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes. [Written by MAL Rewrite]","['Prequel (TV) Yu☆Gi☆Oh! Duel Monsters GX', ""Adaptation (Manga) Yu☆Gi☆Oh! 5D's""]",Yu☆Gi☆Oh! 5D's,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! 5D's,,['Shounen'],Yu-Gi-Oh! 5D's,['Strategy Game'],['Action'],
