,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,German,Spanish,French,Demographics
31,幻想三國誌 -天元霊心記-,Fantasia Sango: Realm of Legends,['TV'],12,Finished Airing,"Jan 11, 2022 to Mar 29, 2022",['Winter 2022'],Tuesdays at 02:00 (JST),['Tohokushinsha Film Corporation'],['Funimation'],['Geek Toys'],Game,,['Historical'],,24 min. per ep.,PG-13 - Teens 13 or older,5.31,#12653,#4896,"22,377",102,4723,"In spite of their defeat, the remnant factions of the Taipingtao Revolution continue to resist, plunging China into a seemingly never-ending war. Moreover, the negative emotions left behind by the rebellion's massive death toll begin to form miasma—giving birth to malignant beings called the ""wangliang."" These creatures can possess humans and turn them into horrifying demons, thus bringing about more deaths and miasma and spinning a vicious cycle that inflicts further despair upon the land. As a countermeasure, the immortal deities known as the ""Tianyuan"" select certain individuals to be ""Hunters."" Accompanying them are the ""Guizhan,"" specialists created by the Tianyuan who can absorb miasma and transform into demons themselves, acting as indispensable weapons against the wangliang. After a tragic accident involving an out-of-control Guizhan causes the disbandment of the Sixth Hunter Unit, the Tianyuan designate three promising Hunters—namely Ji Ying, Qiao Xun, and Yan Ding—to reform the group. However, for an unknown reason, the Tianyuan also appoint Xiao Ling—the young Guizhan responsible for the former unit's downfall—to fight alongside the trio. Despite growing tensions, the members of the revived team must settle their differences and collectively use their abilities to attain victory against the common enemy. [Written by MAL Rewrite]",[],Gensou Sangokushi: Tengen Reishinki,Huanxiang Sanguozhi,,['Fantasy'],,,,
32,最遊記RELOAD -ZEROIN-,,['TV'],13,Finished Airing,"Jan 6, 2022 to Mar 31, 2022",['Winter 2022'],Thursdays at 23:00 (JST),['Lantis'],['Sentai Filmworks'],['LIDENFILMS'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Mythology'],['Josei'],23 min. per ep.,PG-13 - Teens 13 or older,6.66,#6149,#5921,"13,849",74,3012,"Getting ambushed by rogue demons on the road is business as usual for the Sanzou party. But when their latest assailants turn out to be humans, the group is left dumbfounded. The mystery only deepens when they encounter a wandering priest, Hazel Grouse, and his imposing bodyguard, Gaty Nene Hawk. The pair hails from the far West, with Hazel using his powers of resurrection to aid grief-stricken villages. While his ability is greatly welcomed by the people, the truth behind it is less miraculous than it seems. Furthermore, the resurrected humans gain golden eyes, a trait they share with the group's recent attackers. It appears that the friendly priest's intentions are not as generous as one might expect—and the Sanzou party is a step away from unraveling them. [Written by MAL Rewrite]","['Prequel (TV) Saiyuuki Reload', 'Sequel (TV) Saiyuuki Reload Blast', 'Adaptation (Manga) Saiyuuki Reload', '']",Saiyuuki Reload: Zeroin,Saiyuuki Reload: Even a Worm Arc,,,,,,
33,イロドリミドリ,,['TV'],8,Finished Airing,"Jan 5, 2022 to Feb 23, 2022",['Winter 2022'],Wednesdays at 01:00 (JST),"['Sega', 'Front Wing']","None found,",['Akatsuki'],Game,,,,3 min. per ep.,PG-13 - Teens 13 or older,5.72,#11295,#6455,"11,117",46,3287,"Maigahara Senior High School is a prestigious institution renowned for producing many talented musicians over the years. True to the school's reputation, an intriguing rumor is widespread among its students: whosoever provides a spectacular performance at the upcoming festival will receive extra credits. Serina Akesaka is an outgoing first-year student on the verge of failing her classes. After recalling the circulating rumor, Serina decides to recruit four students—Nazuna Tennouzu, Aliciana Ogata, Hakobe Naru, and Nagi Kobotoke—to form a band with her. As these five passionate girls start their journey together, the music they will soon produce is bound to touch everyone's hearts and leave an everlasting impact. [Written by MAL Rewrite]",[],Irodorimidori,,"['CGDCT', 'Music']",['Slice of Life'],,,,
34,デリシャスパーティ♡プリキュア,Delicious Party Pretty Cure,['TV'],45,Finished Airing,"Feb 6, 2022 to Jan 29, 2023",['Winter 2022'],Sundays at 08:30 (JST),"['TV Asahi', 'Asatsu DK', 'Asahi Broadcasting', 'ABC Animation', 'ADK Emotions']","None found,",['Toei Animation'],Original,,['Mahou Shoujo'],,24 min. per ep.,G - All Ages,6.86,#5030,#6466,"11,071",121,3421,"The mysterious, delicious world of CooKingdom, which rules over all the cuisine in this world. CooKingdom has closely guarded the Recipe-Bon, in which it's written how to prepare any dish. But, oh no! One day, it gets stolen by the Bundoru Gang! The Bundoru Gang plans to monopolize everything for themselves, and their next target is the Cuisine Fairy Recipeppi... The Energy Fairies have come to Oishi-Na Town in the human world in search of the Recipe-Bon. With their help, an unexpected turn of events leads to three ordinary girls transforming into Pretty Cures! They stand up to the Bundoru Gang, to recover the Recipe-Bon, and to protect everyone's delicious smiles! (Source: Toei Animation USA)","['Adaptation (Manga) Delicious Party♡Precure: Precure Collection', '']",Delicious Party♡Precure,,,['Action'],,,,
35,闇芝居 十期,Theatre of Darkness: Yamishibai 10,['TV'],13,Finished Airing,"Jan 10, 2022 to Apr 4, 2022",['Winter 2022'],Mondays at 02:35 (JST),"None found,","None found,","['ILCA', 'DRAWIZ', 'yell']",Original,"['Avant Garde', 'Horror', 'Supernatural']",,,4 min. per ep.,PG-13 - Teens 13 or older,6.18,#8974,#6488,"10,981",35,4253,Tenth season of Yami Shibai,"['Prequel (TV) Yami Shibai 9', 'Sequel (TV) Yami Shibai 11']",Yami Shibai 10,"Yamishibai: Japanese Ghost Stories Tenth Season, Yamishibai: Japanese Ghost Stories 10",,,,,,
36,あたしゃ川尻こだまだよ～デンジャラスライフハッカーのただれた生活～,I'm Kodama Kawashiri,['TV'],24,Finished Airing,"Jan 14, 2022 to Aug 12, 2022",['Winter 2022'],Fridays at 01:35 (JST),"None found,","None found,",['Lapin Track'],['Web manga'],,,,2 min. per ep.,PG-13 - Teens 13 or older,5.72,#11282,#7054,"8,999",31,3739,"The story depicts the lazy, unhealthy daily life of Kawashiri, who loves alcohol and anything greasy, salty, or sweet. (Source: ANN)",[],Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,The Kodama's Lazy Life,,['Comedy'],,,,
37,錆色のアーマ-黎明-,Rusted Armors,['TV'],12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",['Winter 2022'],Sundays at 22:00 (JST),['Spectrum'],"None found,",['Kigumi'],Mixed media,,,,23 min. per ep.,PG-13 - Teens 13 or older,3.82,#13776,#7833,"6,908",22,2009,"The era is a turbulent Warring States period in Hinomoto. Kinokuni, the unexplored region of the mountains and the sea. In the depths of this deep forest, there is a group using ""Yatagarasu"" as their flag symbol and using guns as weapons. Their name is ""Saikashu"". It is ""Magoichi"" who arrived from a foreign country that inherited the name as the head of Saikashu. On the other hand, ""Saburo"" quickly senses the signs of aggression from the European powers and struggles to protect Hinomoto. The fate of the two who would not meet originally will be crossed by the fight against the invaders who came from a foreign country ─! (Source: YTV)","['Adaptation (Manga) Sabiiro no Armor', 'Adaptation (Manga) Sabiiro no Armor: Reimei']",Sabiiro no Armor: Reimei,,"['Historical', 'Samurai']",['Action'],,,,
38,ニンジャラ,,['TV'],Unknown,Currently Airing,"Jan 8, 2022 to ?",['Winter 2022'],Saturdays at 07:00 (JST),['TV Tokyo'],['Sentai Filmworks'],['OLM'],Game,,,,23 min.,PG - Children,5.57,#11916,#10493,"3,040",24,424,"The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy. And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... (Source: Official Game website)","['Adaptation (Manga) Ninjala', '']",Ninjala (TV),,,['Action'],,,,
39,オンエアできない!,,['TV'],12,Finished Airing,"Jan 10, 2022 to Mar 28, 2022",['Winter 2022'],Mondays at 01:05 (JST),"['Pierrot', 'TV Tokyo', 'WarRock']","None found,","['Space Neko Company', 'Jinnan Studio']",['Manga'],,['Showbiz'],,3 min. per ep.,PG-13 - Teens 13 or older,5.84,#10751,#11077,"2,555",11,232,"Set in 2014, the anime follows the adventures of 23 years old Mafuneko, a newly minted assistant director who joins the TV production department at Tokyo Hajikko Television, only to discover that the glamorous and glitzy life of working behind-the-scenes making TV shows involves strange and inexplicable tasks such as ""gathering 300 acorns"" and ""making a mosaic out of the images reflected in the camera lens."" Despite being surrounded by chaos, set-backs, and weirdos, Mafuneko struggles to become a fully-fledged TV producer. (Source: Crunchyroll, edited)",[],On Air Dekinai!,,,['Comedy'],,,,
40,ガル学。II〜Lucky Stars〜,,['TV'],50,Finished Airing,"Jan 10, 2022 to Mar 18, 2022",['Winter 2022'],Not scheduled once per week,"None found,","None found,",['OLM'],Mixed media,,,,3 min. per ep.,PG-13 - Teens 13 or older,5.94,#10221,#12725,"1,524",11,179,"Sequel of Gal-gaku.: Hijiri Girls Square Gakuin, featuring Lucky2 as the cast.","['Prequel (TV) Garugaku.: Sei Girls Square Gakuin', '']",Garugaku. II: Lucky Stars,Gal-gaku. II,"['Idols (Female)', 'Music', 'School']",,,,,
41,テイコウペンギン,,['TV'],13,Finished Airing,"Jan 5, 2022 to Mar 30, 2022",['Winter 2022'],Wednesdays at 07:30 (JST),"None found,","None found,","None found,",['Manga'],,['Workplace'],,5 min. per ep.,PG - Children,[],#14775,#14396,958,7,,"Centers on a penguin who works in an abusive company and gripes about the difficulties of workplace life. The title is a play on the ""koutei penguin,"" the Japanese name for the emperor penguin. (Source: ANN)",[],Teikou Penguin (TV),,,,,,,
42,BABY-HAMITANG,,['TV'],6,Finished Airing,"Jan 12, 2022 to Feb 16, 2022",['Winter 2022'],Wednesdays at 19:26 (JST),"None found,","None found,",['Robot Communications'],Original,,['Educational'],['Kids'],3 min. per ep.,G - All Ages,[],#19341,#17740,437,0,,"The episodes will present topics from the list of 17 Sustainable Development Goals (SDG) such as global warming, food waste, and gender equality, in an easy-to-understand manner. Baby Hamitang will then solve the issues. (Source: ANN)",[],Baby-Hamitang,,,,,,,
43,赤ちゃん本部長,Baby in Charge 2nd Season,['TV'],8,Finished Airing,"Jan 9, 2022 to Feb 27, 2022",['Winter 2022'],Not scheduled once per week,"['NHK', 'NHK Enterprises']","None found,",['Tomovies'],['Manga'],,['Workplace'],['Seinen'],5 min. per ep.,G - All Ages,[],#19138,#18830,353,0,,The second season of Akachan Honbuchou.,"['Prequel (TV) Akachan Honbuchou', 'Sequel (TV) Akachan Honbuchou 3rd Season']",Akachan Honbuchou 2nd Season,General Manager of Baby 2nd Season,,['Comedy'],,,,
44,アイラブみー,,['TV'],3,Finished Airing,"Mar 28, 2022 to Mar 30, 2022",['Winter 2022'],Unknown,['NHK'],"None found,",['Oddjob'],Original,,,['Kids'],10 min. per ep.,G - All Ages,[],#21440,#19629,304,1,,"The anime is related to the #BeyondGender project, which aims to foster a society where people can live as they are, without being bound by social and cultural gender differences such as ""masculinity"" and ""femininity."" The anime follows Mii, who has daydreams and thoughts triggered by questions about mind, body, and life. Professors of developmental psychology, gender theory, sex education, and other related subjects are supervising the program. (Source: ANN)","['Sequel (TV) I Love Me 2nd Season', '']",I Love Me,,,,,,,
45,ざんねんないきもの事典 (2022),Encyclopedia of Pitiful Creatures (2022),['TV'],5,Finished Airing,"Feb 13, 2022 to Mar 13, 2022",['Winter 2022'],Unknown,"['NHK', 'Fanworks', 'NHK Enterprises']","None found,","None found,",Picture book,,['Educational'],,5 min. per ep.,PG - Children,[],#16206,#20010,282,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Zannen na Ikimono Jiten (2021)', '']",Zannen na Ikimono Jiten (2022),,,['Comedy'],,,,
46,赤ちゃん本部長(第3シリーズ),,['TV'],10,Finished Airing,"Mar 27, 2022",['Winter 2022'],Unknown,"None found,","None found,",['Tomovies'],['Manga'],,['Workplace'],['Seinen'],5 min. per ep.,G - All Ages,[],#19139,#20268,269,0,,The third season of Akachan Honbuchou.,"['Prequel (TV) Akachan Honbuchou 2nd Season', '']",Akachan Honbuchou 3rd Season,General Manager of Baby 3rd Season,,['Comedy'],,,,
47,띠띠뽀 띠띠뽀 3,Titipo Titipo Season 3,['TV'],26,Finished Airing,"Feb 28, 2022 to May 24, 2022",['Winter 2022'],Unknown,['EBS'],"None found,","['Iconix Entertainment', 'Studio Gale']",Unknown,,['Racing'],['Kids'],11 min. per ep.,PG - Children,[],#14897,#20497,256,1,,The third season of Titipo Titipo.,"['Prequel (TV) Titipo Titipo 2', '']",Titipo Titipo 3,,,,,,,
48,브레드 이발소 3,Bread Barbershop 3,['TV'],25,Finished Airing,"Dec 25, 2021 to Oct 20, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,"['Comedy', 'Fantasy']",['Anthropomorphic'],['Kids'],10 min. per ep.,PG - Children,[],#19551,#21684,191,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Beuledeu Ibalso 2', 'Sequel (TV) Beuledeu Ibalso 4: Bakery Ppang Stars']",Beuledeu Ibalso 3,,,,,,,
49,뱀파이어소녀 달자,,['TV'],26,Finished Airing,"Jan 4, 2022 to Jun 7, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,,['Vampire'],,12 min. per ep.,G - All Ages,[],#19345,#21960,175,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Baempaieosonyeo Dalja,,,['Comedy'],,,,
50,疾风劲射,,['TV'],26,Finished Airing,"Feb 16, 2022 to Apr 7, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,,['Team Sports'],,15 min. per ep.,G - All Ages,[],#16514,#22370,159,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Jifeng Jingshe,,,['Sports'],,,,
51,출동! 슈퍼윙스6,Super Wings 6,['TV'],39,Finished Airing,"Feb 28, 2022 to Jul 11, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,,['Racing'],['Kids'],11 min. per ep.,PG - Children,[],#19995,#22976,136,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Chuldong! Super Wings 5', 'Sequel (TV) Chuldong! Super Wings 7']",Chuldong! Super Wings 6,,,['Adventure'],,,,
52,티티체리,,['TV'],26,Finished Airing,"Dec 30, 2021 to Jul 7, 2022",['Winter 2022'],Unknown,"None found,","None found,","None found,",Original,"['Adventure', 'Fantasy']",,['Kids'],11 min. per ep.,PG - Children,[],#14763,#23428,123,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Tea Tea Cherry,,,,,,,
53,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,493,094","234,346",1417496,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,,,,
54,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Martial Arts'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9915,#208,"894,766","7,372",456672,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,,,,,,,
55,王様ランキング,Ranking of Kings,['TV'],23,Finished Airing,"Oct 15, 2021 to Mar 25, 2022",['Fall 2021'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Kadokawa', 'Bandai Spirits']",['Funimation'],['Wit Studio'],['Web manga'],"['Adventure', 'Fantasy']",,,22 min. per ep.,PG-13 - Teens 13 or older,8.50,#143,#314,"696,636","13,229",367201,"The people of the kingdom look down on the young Prince Bojji, who can neither hear nor speak. They call him ""The Useless Prince"" while jeering at his supposed foolishness. However, while Bojji may not be physically strong, he is certainly not weak of heart. When a chance encounter with a shadow creature should have left him traumatized, it instead makes him believe that he has found a friend amidst those who only choose to notice his shortcomings. He starts meeting with Kage, the shadow, regularly, to the point where even the otherwise abrasive creature begins to warm up to him. Kage and Bojji's unlikely friendship lays the budding foundations of the prince's journey, one where he intends to conquer his fears and insecurities. Despite the constant ridicule he faces, Bojji resolves to fulfill his desire of becoming the best king he can be. [Written by MAL Rewrite]","['Adaptation (Manga) Ousama Ranking', '']",Ousama Ranking,King Ranking,,,,,,
56,86―エイティシックス―,86 Eighty-Six Part 2,['TV'],12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022",['Fall 2021'],Sundays at 00:00 (JST),"['Aniplex', 'Kadokawa', 'Bandai Spirits']","None found,",['A-1 Pictures'],['Light novel'],"['Action', 'Drama', 'Sci-Fi']",,,23 min. per ep.,R - 17+ (violence & profanity),8.71,#58,#423,"561,710","16,598",322266,"The disappearance of the Spearhead Squadron beyond the horizon does little to hide the intensity of the Republic of San Magnolia's endless propaganda. Vladilena Milizé continues to operate as ""Handler One,"" the commander of yet another dehumanized 86th faction's squadron in the continuous war against the Legion. On the Western Front, Shinei Nouzen and his squad are quarantined in a military base controlled by the Federal Republic of Giad, formerly known as the Giadian Empire. The newly-established government grants the saved Eighty-Six full citizenship and freedom. Housed by the president Ernst Zimmerman himself, the group meets his adoptive daughter and the last Empress, Augusta Frederica Adel-Adler. However, within the calm of this tender society, Shinei and his team feel that their purpose is on the battlefield. Before long, they are once again in the midst of the Legion's onslaught as a part of the Federacy's Nordlicht Squadron, accompanied by Augusta Frederica. But, as history repeats itself, they realize that no matter the side, death and pain on the front lines are the only comfort they know. [Written by MAL Rewrite]","['Prequel (TV) 86', 'Adaptation (Manga) 86', 'Adaptation (Manga) 86: Run Through the Battlefront', 'Adaptation (Manga) 86: Fragmental Neoteny']",86 Part 2,,"['Mecha', 'Military']",,,,,
57,プラチナエンド,Platinum End,['TV'],24,Finished Airing,"Oct 8, 2021 to Mar 25, 2022",['Fall 2021'],Fridays at 01:28 (JST),"['Pierrot', 'Dentsu', 'Pony Canyon', 'TBS', 'Magic Capsule', 'Medicos Entertainment', 'BS11']","None found,",['Signal.MD'],['Manga'],"['Drama', 'Supernatural', 'Suspense']",,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),6.03,#9785,#616,"402,232","2,557",141590,"Ever since he lost his family in an explosion, Mirai Kakehashi has lived a life of pain and despair. Every day, he endures abuse at the hands of the relatives who took him in. As his anguish steadily chips away at his will to live, he is eventually pushed to the brink. Prepared to throw it all away, he stands on the edge of a precipice and takes the leap. However, instead of falling to his death, he enters a trance where he meets a winged being who claims to be his guardian angel. Named Nasse, the angel offers him two priceless abilities and convinces him to go on living. When Mirai experiences the marvel of his new powers firsthand, he gets a taste of the freedom that was locked away from him for so long. Armed with Nasse's gifts, Mirai is flung into a showdown with 12 other individuals, one of which will be chosen to become the next God. In stark contrast to when he wanted to end his life, Mirai is now prepared to do whatever it takes to protect his bleak chance at happiness, lest it be wrenched from his grasp forever. [Written by MAL Rewrite]","['Adaptation (Manga) Platinum End', '']",Platinum End,,"['Mythology', 'Psychological', 'Survival']",,,,,
58,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",['Detective'],['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#434,#703,"360,527","15,321",164219,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,Detective Conan,,,Case Closed,,,
59,SHAMAN KING,,['TV'],52,Finished Airing,"Apr 1, 2021 to Apr 21, 2022",['Spring 2021'],Thursdays at 17:55 (JST),['TV Tokyo'],"None found,",['Bridge'],['Manga'],"['Action', 'Adventure', 'Supernatural']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.90,#4849,#947,"271,985","1,737",77174,"Shamans are extraordinary individuals with the ability to communicate with ghosts, spirits, and gods, which are invisible to ordinary people. The Shaman Fight—a prestigious tournament pitting shamans from all over the world against each other—is held every five hundred years, where the winner is crowned Shaman King. This title allows the current incumbent to call upon the Great Spirit and shape the world as they see fit. Finding himself late for class one night, Manta Oyamada, an ordinary middle school student, decides to take a shortcut through the local cemetery. Noticing him, a lone boy sitting on a gravestone invites Manta to stargaze with ""them."" Realizing that ""them"" refers to the boy and his ghostly friends, Manta flees in terror. Later, the boy introduces himself as You Asakura, a Shaman-in-training, and demonstrates his powers by teaming up with the ghost of six-hundred-year-old samurai Amidamaru to save Manta from a group of thugs. You befriends Manta due to his ability to see spirits, and with the help of Amidamaru, they set out to accomplish You's goal of becoming the next Shaman King. [Written by MAL Rewrite]","['Sequel (TV) Shaman King: Flowers', 'Adaptation (Manga) Shaman King', 'Adaptation (Manga) Shaman King Kanzenban', '']",Shaman King (2021),,,,Shaman King,Shaman King,Shaman King,
60,ポケットモンスター(2019),Pokémon Journeys: The Series,['TV'],136,Finished Airing,"Nov 17, 2019 to Dec 16, 2022",['Fall 2019'],Fridays at 18:55 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'MediaNet']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,PG - Children,7.55,#1784,#2285,"95,684",655,40336,"On a new day in the Kanto region, Satoshi gets invited by Professor Yukinari Ookido over to Professor Sakuragi's lab-opening ceremony in Vermillion City. During the ceremonial speech, Professor Sakuragi receives an alert of a possibly rare Pokémon appearing in Vermillion City's harbor, leading Satoshi and the other trainers to rush to the area in hopes of finding the mysterious Pokémon. At the harbor, they find Lugia—a Legendary Pokémon—engaged in combat with other trainers. Noticing the other trainers' tactics, Satoshi has his partner, Pikachu, strike Lugia with a Thunderbolt attack. Unfazed, Lugia flees, but not before Satoshi determinedly leaps onto its back. To Satoshi's surprise, he meets another boy, Gou, who leapt onto Lugia's back as well. The two ride on Lugia's back as it brings them along on a bizarre adventure across the seas. As it lets the two back on the ground, Satoshi and Gou bid their farewells to Lugia and return to Sakuragi Institute. Impressed by Gou's findings and Satoshi's insight taken during their encounter, Sakuragi requests for the duo to be his new research partners. And so the duo's journey begins, traveling across multiple regions to meet many new Pokémon—including ones that have the ability to Gigantamax! [Written by MAL Rewrite]","['Prequel (TV) Pokemon Sun & Moon', 'Sequel (TV) Pokemon: Mezase Pokemon Master', 'Adaptation (Manga) Pocket Monsters: Satoshi to Gou no Monogatari!', '']",Pokemon (2019),"Pocket Monsters, Pokemon 2019, Pokémon",,,,Pokémon Viajes Serie,,
61,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",['School'],['Seinen'],21 min.,G - All Ages,7.80,#1028,#2399,"87,965","1,328",42152,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,,,Shin Chan,Shin Chan,,
