,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,Theme,French,Genre,Demographics
0,"Elfen Song, Elfic Song, Elf Song",エルフェンリート,Elfen Lied,['TV'],13,Finished Airing,"Jul 25, 2004 to Oct 17, 2004",['Summer 2004'],Sundays at 22:30 (JST),"['VAP', 'Genco', 'Zack Promotion']",['ADV Films'],['Arms'],['Manga'],"['Action', 'Drama', 'Horror', 'Romance', 'Suspense']","['Gore', 'Psychological', 'Super Power']",['Seinen'],25 min. per ep.,R+ - Mild Nudity,7.46,#2105,#78,"1,561,700","24,501",897557,"Lucy is a special breed of human referred to as Diclonius, born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the government. However, once circumstances present her an opportunity to escape, Lucy, corrupted by the confinement and torture, unleashes a torrent of bloodshed as she escapes her captors. During her breakout, she receives a crippling head injury that leaves her with a split personality: someone with the mentality of a harmless child possessing limited speech capacity. In this state of instability, she stumbles upon two college students, Kouta and his cousin Yuka, who unknowingly take an injured fugitive into their care, unaware of her murderous tendencies. This act of kindness will change their lives, as they soon find themselves dragged into the shadowy world of government secrecy and conspiracy. [Written by MAL Rewrite]","['Adaptation (Manga) Elfen Lied', '']",Elfen Lied,,,,,,
1,"Gantz *uncut*, Gantz - Second Stage, Gantz 2nd stage",ガンツ,Gantz: Second Stage,['TV'],13,Finished Airing,"Aug 26, 2004 to Nov 18, 2004",['Summer 2004'],Thursdays at 10:00 (JST),['Fuji TV'],"['ADV Films', 'Funimation']",['Gonzo'],['Manga'],"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Suspense']","['Gore', 'High Stakes Game', 'Psychological', 'Survival']",['Seinen'],23 min. per ep.,R+ - Mild Nudity,7.01,#4353,#1514,"167,390",442,100776,"Despite having seemingly returned to their normal lives, Kei Kurono, Masaru Katou, and Kei Kishimoto are forced back into the lethal game after Gantz's recent activity. The black sphere continues to summon recently deceased people to fight alien invaders. And having survived the two previous encounters, the trio are more than prepared for the upcoming missions. As they progress through the tournament's stages, the three proceed in their attempt to earn 100 points, which is said to be the only way to leave the parallel dimension for good. However, with the constant onslaught of alien invaders and the threat of imminent death, they must first focus on the task at hand—immediate survival. [Written by MAL Rewrite]","['Prequel (TV) Gantz', 'Adaptation (Manga) Gantz']",Gantz 2nd Stage,,,,,,
2,,GIRLSブラボー first season,Girls Bravo,['TV'],11,Finished Airing,"Jul 5, 2004 to Sep 27, 2004",['Summer 2004'],Unknown,"['AIC', 'Lantis', 'Kadokawa Shoten', 'Fuji TV', 'Rakuonsha', 'KlockWorx', 'Happinet Pictures']","['Funimation', 'Geneon Entertainment USA']",['AIC Spirits'],['Manga'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai', 'School']",['Shounen'],23 min. per ep.,R+ - Mild Nudity,6.36,#7913,#1606,"155,385",330,74000,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him. (Source: ANN)","['Sequel (TV) Girls Bravo: Second Season', 'Adaptation (Manga) Girls Bravo']",Girls Bravo: First Season,Girls Bravo,Girls Bravo,,,,
3,,ディアーズ,DearS,['TV'],12,Finished Airing,"Jul 11, 2004 to Sep 26, 2004",['Summer 2004'],Sundays at 00:30 (JST),"['Bandai Visual', 'HAL Film Maker', 'Genco', 'Lantis']","['Discotek Media', 'Geneon Entertainment USA']",['Daume'],['Manga'],"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,['Shounen'],23 min. per ep.,R+ - Mild Nudity,6.54,#6814,#1628,"152,627",360,81181,"One year ago, a UFO containing 150 aliens crash-landed off the shores of Kasai. Because no one could fix their ship, the Japanese Government decided to bestow upon them the designation ""DearS"" and make them into Japanese citizens, teaching them the language, customs, and culture of Japan. However, in order for them to become more familiar with human society, a home-stay program has been enacted to allow them to mingle with other humans. One misty morning, a truck carrying a capsule that housed one of these aliens ends up dropping it into the riverbank, releasing her from her confinement. She is eventually found by a high school student named Takeya Ikuhara, who saves her from being hit by a truck and takes pity on her, despite being extremely distrustful of their race and wanting nothing to do with them. Upon being named Ren, she imprints upon him as her ""Master"" and serves as his personal ""Slave,"" leaving him with a ""DearS"" who wants to remain with him no matter what and bringing his ordinary, alien-free days to an end.","['Adaptation (Manga) DearS', '']",DearS,,,['Harem'],,,
4,Samurai Seven,サムライセブン,Samurai 7,['TV'],26,Finished Airing,"Jun 12, 2004 to Dec 25, 2004",['Summer 2004'],Not scheduled once per week,"['GDH', 'Sotsu Music Publishing', 'Future Vision Music', 'MICO']",['Funimation'],['Gonzo'],Other,"['Action', 'Sci-Fi']","['Historical', 'Mecha', 'Samurai']",,26 min. per ep.,PG-13 - Teens 13 or older,7.43,#2215,#1785,"135,029",717,64218,"In the far distant future, on a planet that might have been called ""earth"", there was a war between samurai who mechanized their bodies. After the long war, people enjoyed a modest peace. Facing starvation and abductions at the hands of fearsome mechanized bandits (Nobuseri), the farmers of Kanna Village make the dangerous choice to hire samurai for protection. The village's water priestess, Kirara, her younger sister, Komachi, and a heartbroken villager, Rikichi, set off to hire willing samurai with nothing to offer but rice from their meager harvests. Through dangerous encounters and a bit of luck, seven samurai of varying specialties and experience are gathered for an epic battle against the bandits and the merchants that influence them. Samurai 7 is based loosely upon Kurosawa Akira's famous movie ""Seven Samurai""/""Shichinin no Samurai""","['Adaptation (Manga) Samurai 7', '']",Samurai 7,,,,,,
5,Fafner in the Azure: Dead Aggressor,蒼穹のファフナーDead Aggressor,Fafner,['TV'],25,Finished Airing,"Jul 5, 2004 to Dec 27, 2004",['Summer 2004'],Unknown,"['TV Tokyo Music', 'King Records']","['Funimation', 'Geneon Entertainment USA']",['Xebec'],Original,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",,24 min. per ep.,PG-13 - Teens 13 or older,7.25,#3079,#3300,"50,704",273,15784,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind. (Source: ANN)","['Prequel (TV Special) Soukyuu no Fafner: Dead Aggressor - Right of Left', 'Sequel (Movie) Soukyuu no Fafner: Dead Aggressor - Heaven and Earth', 'Adaptation (Manga) Soukyuu no Fafner: Dead Aggressor', 'Adaptation (Light Novel) Soukyuu no Fafner: Dead Aggressor']",Soukyuu no Fafner: Dead Aggressor,,,,,,
6,"2x2=Shinobuden, 2x2 Shinobuden, 2 X 2 = The Legend of Shinobu, Ninin ga Shinobuden: The Nonsense Kunoichi Fiction, Nin x Nin = Shinobuden",ニニンがシノブ伝,Ninja Nonsense,['TV'],12,Finished Airing,"Jul 10, 2004 to Sep 25, 2004",['Summer 2004'],Saturdays at 00:30 (JST),"['Toshiba Entertainment', 'Happinet Pictures']","['Nozomi Entertainment', 'NYAV Post']",['ufotable'],['Manga'],,"['Martial Arts', 'Parody']",,24 min. per ep.,R - 17+ (violence & profanity),6.87,#4991,#3926,"36,496",137,16710,"Kaede is a normal school girl who was studying for her exams for school when suddenly she is interrupted by Shinobu, a girl who is a ninja-in-training, attempting to complete her exam. The problem is, in order for her to successfully complete her exam, she must steal one of Kaede's panties! In Kaede's attempt to stop Shinobu from stealing her panties, an unexpected friendship is forged between the two. Kaede soon becomes engrossed in Shinobu's world, surrounded by partying ninjas and a yellow pac-man like thing by the name of Onsokumaru, who claims to be the master of all ninjas! [Written by MAL Rewrite]","['Adaptation (Manga) Ninin ga Shinobuden', '']",Ninin ga Shinobuden,Ninja Nonsense,Ninja Nonsense,,Ninja Nonsense,['Comedy'],
7,,クラウ ファントムメモリー,,['TV'],24,Finished Airing,"Jun 25, 2004 to Dec 16, 2004",['Summer 2004'],Unknown,"['TV Asahi', 'Media Factory', 'Victor Entertainment', 'Fonishia']","['ADV Films', 'Funimation']",['Bones'],Original,"['Action', 'Drama', 'Sci-Fi']","['Space', 'Super Power']",,23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2943,#4138,"32,950",141,8670,"It is the year 2100, and on the colonized Moon, a project is under way to explore new aspects of energy. Amami Kurau is the daughter of the chief scientist on the project, and on her 12th birthday, she accompanies her father to the lab to observe the experiments. Then something goes awry, and Kurau is struck by twin bolts of light. In the aftermath, her father is dismayed to find that his daughter is no longer his daughter. Rather, her body is now home to two energy entities with fantastic powers. (Source: ANN)","['Adaptation (Light Novel) KURAU Phantom Memory', 'Adaptation (Manga) KURAU Phantom Memory']",Kurau Phantom Memory,,,,,,
8,"The Virgin Mary is Watching You: Spring, MariMite: Haru, La Vierge Marie Vous Regarde",マリア様がみてる～春～,Maria Watches Over Us: Printemps,['TV'],13,Finished Airing,"Jul 4, 2004 to Sep 26, 2004",['Summer 2004'],Sundays at 07:30 (JST),"['TV Tokyo', 'Yomiko Advertising', 'd-rights']",['Nozomi Entertainment'],['Studio Deen'],['Light novel'],"['Drama', 'Girls Love']",,['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,7.61,#1563,#4355,"29,404",91,13545,"The spring term is beginning for the students at Lillian Girls' Academy. Friends are reunited, but for the Yamayuri Council, it's a bittersweet time. Yoko, Eriko, and Sei are busy preparing to depart Lillian while Sachiko, Rei, and Shimako are doing their best to ensure that their dear sisters receive a memorable commencement. Sei's departure will leave a sizable hole in the White Roses, and filling it won't be easy. But is there anyone who could appeal to Shimako enough to become the next Rosa Gigantea en bouton? (Source: RightStuf)","['Prequel (TV) Maria-sama ga Miteru', 'Sequel (OVA) Maria-sama ga Miteru 3rd', 'Adaptation (Manga) Maria-sama ga Miteru', 'Adaptation (Light Novel) Maria-sama ga Miteru']",Maria-sama ga Miteru: Haru,,María nos mira. Primavera,['School'],,,
9,,お伽草子,Otogi Zoshi: The Legend of Magatama,['TV'],26,Finished Airing,"Jul 7, 2004 to Mar 30, 2005",['Summer 2004'],Unknown,"['VAP', 'Nippon Television Network']",['Media Blasters'],['Production I.G'],Original,"['Adventure', 'Drama', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4762,#5258,"18,914",48,4716,"The year is 972 A.D. in Kyoto, the capital of ancient Japan. Kyoto is becoming a corrupt and run-down city; selfish samurai and onmyoji, who care only about gaining political power are everywhere. To make matters worse the city is suffering from famine and widespread disease. Unable to ignore the condition of the city any longer, the Imperial Court decides to send Minamoto no Raiko, a famous samurai well-known for his archery skills, to recover a legendary gem said to hold mysterious power to save the world. However Raiko also falls ill to disease. Instead his youngest sister, Hikaru, decides secretely to make the journey in his place. Hikaru meets many people, and has many adventures while on her trip for the legendary gem. (Source: ANN)","['Adaptation (Manga) Otogizoushi', '']",Otogizoushi,,,['Historical'],Legend Of The Magatama,,
