,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Theme,Genre,Demographics
0,Mousou Dairinin,妄想代理人,Paranoia Agent,Paranoja Agent,Paranoia Agent,Paranoia Agent,['TV'],13,Finished Airing,"Feb 3, 2004 to May 18, 2004",['Winter 2004'],Saturdays at 00:00 (JST),"['WOWOW', 'Asmik Ace', 'Tohokushinsha Film Corporation']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],Original,"['Avant Garde', 'Award Winning', 'Drama', 'Mystery', 'Supernatural', 'Suspense']","['Adult Cast', 'Detective', 'Psychological']",24 min. per ep.,R+ - Mild Nudity,7.66,#1391,#552,"442,973","5,915",170574,"The infamous Shounen Bat is terrorizing the residents of Musashino City. Flying around on his rollerblades and beating people down with a golden baseball bat, the assailant seems impossible to catch—much less understand. His first victim, the well-known yet timid character designer Tsukiko Sagi, is suspected of orchestrating the attacks. Believed only by her anthropomorphic pink stuffed animal, Maromi, Tsukiko is just one of Shounen Bat's many victims. As Shounen Bat continues his relentless assault on the town, detectives Keiichi Ikari and Mitsuhiro Maniwa begin to investigate the identity of the attacker. However, more and more people fall victim to the notorious golden bat, and news of the assailant begins circulating around the town. Paranoia starts to set in as chilling rumors spread amongst adults and children alike. Will the two detectives be able to unravel the truth behind Shounen Bat, or will the paranoia get to them first? [Written by MAL Rewrite]",[],Mousou Dairinin,,,,
1,Ghost In The Shell S.A.C. 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,Ghost in the Shell: Stand Alone Complex 2nd GIG,['TV'],26,Finished Airing,"Jan 1, 2004 to Jan 8, 2005",['Winter 2004'],Unknown,"['Bandai Visual', 'Dentsu', 'Victor Entertainment', 'Kodansha', 'Tokuma Shoten', 'Nippon Television Network', 'Fonishia']","['Bandai Entertainment', 'Manga Entertainment']",['Production I.G'],['Manga'],"['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Mecha', 'Military']",25 min. per ep.,R - 17+ (violence & profanity),8.51,#142,#1116,"233,647","3,213",106502,"Following the closure of the ""Laughing Man"" case, Section 9 is re-established by Japan's newly elected Prime Minister, Youko Kayabuki, to combat the persistent threat of cyber-terrorism. A group calling themselves ""The Individual Eleven"" has begun committing acts of terror across Japan. While Motoko Kusanagi, Daisuke Aramaki, Batou, and the other members of Section 9 investigate this new menace, the Japanese government faces a separate crisis, as foreign refugees displaced by the Third World War seek asylum in Japan. But as the members of the special-ops team continually encounter Gouda Kazundo—a leading member of the Cabinet Intelligence Service—in their hunt, they begin to suspect that he may be involved, and that the events of the refugee crisis and The Individual Eleven may be more connected than they realize... [Written by MAL Rewrite]","['Prequel (TV) Koukaku Kidoutai: Stand Alone Complex', 'Sequel (TV Special) Koukaku Kidoutai: Stand Alone Complex - Solid State Society']",Koukaku Kidoutai: Stand Alone Complex 2nd GIG,['Seinen'],,,
2,"MariMite, La Vierge Marie Vous Regarde, The Virgin Mary is Watching You",マリア様がみてる,Maria Watches Over Us,,María nos mira,,['TV'],13,Finished Airing,"Jan 8, 2004 to Apr 1, 2004",['Winter 2004'],Thursdays at 01:00 (JST),"['Rondo Robe', 'TV Tokyo Music']","['Nozomi Entertainment', 'Maiden Japan']",['Studio Deen'],['Light novel'],"['Drama', 'Girls Love']",,23 min. per ep.,PG-13 - Teens 13 or older,7.28,#2949,#2693,"73,573",710,22712,"Sachiko Ogasawara, a brilliant and refined student at Lillian Girls' Academy, hides a troubled personality behind her status as the school idol. She has a deep aversion to men and is revolted by the idea of having to dance with a male student for the upcoming school play. Desiring to step down from her role, she proposes to the Yamayuri Council, Lillian's student council, that she will instead prove her worth by finding a petite sœur—an underclassman who becomes the protegee of her grande sœur. To the bewilderment of all, Yumi Fukuzawa, the first-year student Sachiko invites to become her petite sœur, refuses the proposal. However, senior Yamayuri Council member Sei Satou proposes a challenge: if Sachiko can convince Yumi to become her petite sœur, she can withdraw from the play. Although Sachiko often struggles to connect with others, she endeavors to do everything in her power to win Yumi over. [Written by MAL Rewrite]","['Sequel (TV) Maria-sama ga Miteru: Haru', 'Adaptation (Manga) Maria-sama ga Miteru', 'Adaptation (Light Novel) Maria-sama ga Miteru', '']",Maria-sama ga Miteru,['Shoujo'],['School'],,
3,We Are Pretty Cure,ふたりはプリキュア,Pretty Cure,Pretty Cure,Pretty Cure,Pretty Cure,['TV'],49,Finished Airing,"Feb 1, 2004 to Jan 30, 2005",['Winter 2004'],Sundays at 08:30 (JST),"['Asatsu DK', 'Asahi Production', 'Asahi Broadcasting']",['4Kids Entertainment'],['Toei Animation'],Original,"['Action', 'Comedy']",,24 min. per ep.,G - All Ages,7.10,#3899,#3135,"55,508",377,21126,"Middle school students Nagisa Misumi and Honoka Yukishiro are the epitome of dissimilarity. Popular with their classmates, Nagisa is the school's energetic star lacrosse player, while Honoka is the soft-spoken ""Queen of Intelligence."" As unrelated as they may seem, Nagisa and Honoka live double lives as the ""emissaries of light"": Cure Black and Cure White of Pretty Cure. With the assistance of two fairies, Mipple and Mepple, the girls fight against the Dotsuku Zone—an evil force that has invaded the Garden of Light. In order to prevent the Dotsuku Zone from taking over the Garden of Rainbows as well, the pair must work together to find seven Prism Stones and restore the Prism Hopish to drive out the vile forces. With strong foes standing in their way, Nagisa and Honoka learn to work together and harness their newfound powers in order to save the worlds from further ruin. [Written by MAL Rewrite]","['Sequel (TV) Futari wa Precure: Max Heart', 'Adaptation (Manga) Futari wa Precure']",Futari wa Precure,,['Mahou Shoujo'],,
4,,ごくせん,The Gokusen,,,,['TV'],13,Finished Airing,"Jan 7, 2004 to Mar 31, 2004",['Winter 2004'],Wednesdays at 01:23 (JST),"['VAP', 'Omnibus Promotion']","['Media Blasters', 'NYAV Post']",['Madhouse'],['Manga'],"['Action', 'Comedy']","['Delinquents', 'Organized Crime', 'School', 'Workplace']",23 min. per ep.,R - 17+ (violence & profanity),7.41,#2302,#3303,"50,687",271,22838,"Kumiko Yamaguchi is smart, enthusiastic, and ready to start her dream job as a math teacher at Shirokin Academy. But as her first day opens on atrocious students and cowering teachers, Kumiko realizes that the all-boys high school is a cesspool of delinquents with no intention of improving themselves. However, what her rowdy students don't know is that behind her dorky facade, Kumiko is the acting head of a powerful yakuza clan, and she has the skills to prove it! Capable of overpowering even the strongest of gangsters in seconds, Kumiko must keep her incredible strength and criminal influence a secret in order to keep her job. Unfortunately, with the vice principal constantly trying to get her fired and Shin Sawada, the leader of her class of delinquents, suspecting she's stronger than she lets on, Kumiko has a difficult teaching career ahead of her. [Written by MAL Rewrite]","['Adaptation (Manga) Gokusen', '']",Gokusen,['Josei'],,,
5,,ゆめりあ,,,,,['TV'],12,Finished Airing,"Jan 9, 2004 to Mar 26, 2004",['Winter 2004'],Fridays at 00:30 (JST),"None found,","['ADV Films', 'Sentai Filmworks']",['Studio Deen'],Visual novel,"['Action', 'Comedy', 'Ecchi']","['Harem', 'Super Power']",24 min. per ep.,PG-13 - Teens 13 or older,6.06,#9642,#4368,"29,203",33,13244,"On his 16th birthday, Tomokazu Mikuri had a realistic dream where he sees a girl battling a giant floating monstrosity. When he wakes up, he is surprised that the girl is actually sleeping next to him... Whenever he sleeps from now on, he ends up back at the dream world, and more and more people that he knows keep showing up there too. He finds out from a mysterious masked woman in the dream world named Silk that they are fighting against one named Faydoom, and he is the one who provides the powers to those girls so that they can fight these monsters. And so it goes... (Source: ANN)",[],Yumeria,,,,
6,"Mezzo Danger Service Agency, Mezzo Forte TV, Mezzo TV Danger Service Agency",メゾ,,,,Mezzo,['TV'],13,Finished Airing,"Jan 4, 2004 to Mar 28, 2004",['Winter 2004'],Sundays at 23:30 (JST),"['Pierrot', 'Shochiku', 'Memory-Tech', 'Happinet Pictures']","['ADV Films', 'Sentai Filmworks']",['Arms'],Original,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Sci-Fi']",,24 min. per ep.,R+ - Mild Nudity,6.62,#6407,#4697,"24,818",73,9277,"Mikura, Kurokawa, and Harada are the 3 members of the Danger Service Agency (DSA). Mikura is the brawns of the group, Harada is the brains, and Kurokawa is just a bitter ex-cop that likes to think he's in charge. They'll take on any job as long as it involves lots of danger and, of course, money. If you want to live long enough to eat dinner, you better not cross them. Their biggest case, however, could prove to be finding out why someone wants Kurokawa assassinated. (Source: ANN)","['Prequel (OVA) Mezzo Forte', '']",Mezzo DSA,,,,
7,,光と水のダフネ,Daphne in the Brilliant Blue,,,Daphne in The Brilliant Blue,['TV'],24,Finished Airing,"Jan 16, 2004 to Jul 3, 2004",['Winter 2004'],Saturdays at 00:30 (JST),"['Genco', 'Lantis', 'Pony Canyon', 'Toshiba Entertainment']","['Sentai Filmworks', 'Geneon Entertainment USA']",['J.C.Staff'],Original,"['Comedy', 'Drama', 'Mystery', 'Sci-Fi', 'Ecchi']","['Detective', 'Psychological']",24 min. per ep.,PG-13 - Teens 13 or older,6.75,#5597,#5489,"16,828",31,5494,"In the future, water has covered much of the Earth due to the effects of global warming. The orphaned Maia Mizuki, 15, just graduated from middle school and has already applied for employment in the elite paramilitary Ocean Agency, part of the futuristic world government. Only the best, most intelligent, and physically fit students are eligible for admission. Maia, the series' protagonist, is set to become one of the few. But her ideal life quickly falls apart. To her disappointment, Maia unexpectedly fails her entrance exams. Making matters worse, she promptly gets evicted from her house, pick pocketed, taken hostage, then shot. She is ""saved"" by two women (Rena and Shizuka) that are part of an unorthodox help-for-hire organization called Nereids (inspired by the Greek mythological Nereids ). With nowhere to go, Maia joins up with Nereids, taking jobs from capturing wanted criminals to chasing stray cats, often with unexpected results. Gloria and Yu later join up with Nereids. ""Daphne"" in the title refers to a subplot that starts midway into the series and eventually become important to Maia. ""Brilliant Blue"" refers to the fact that this is a world covered by water with almost no land. The world consists of vast oceans, a few islands, and floating cities. (Source: Wikipedia)","['Adaptation (Manga) Ai: Hikari to Mizu no Daphne', '']",Hikari to Mizu no Daphne,,,,
8,Area 88 (2004),エリア８８,,,,,['TV'],12,Finished Airing,"Jan 9, 2004 to Mar 26, 2004",['Winter 2004'],Fridays at 02:12 (JST),"['TV Asahi', 'Animax', 'Studio Live']",['ADV Films'],['Group TAC'],['Manga'],"['Action', 'Drama', 'Romance']",,23 min. per ep.,PG-13 - Teens 13 or older,6.98,#4458,#5672,"15,442",65,5954,"Deep in the sandy plains of the Middle Eastern kingdom of Asran, Japanese photojournalist Makoto Shinjou travels to the remote airbase Area 88 to document the activities of the mercenaries who destroy the country's enemies for a living. Among their ranks is Shin Kazama, a Japanese ace pilot who was tricked by his former best friend into signing a contract with the Asran's fighter squad. Because of this, he lost his career as an airline pilot and the chance to marry his fiancee Ryoko Tsugumo. Now, Shin has three choices in order to leave Area 88 and return to Japan: serve the mercenary group for three years, earn US$1.5 million, or desert the base, risking imminent death. (Source: ANN)","['Adaptation (Manga) Area 88', '']",Area 88 (TV),['Shounen'],['Military'],,
9,"Bedaman, Battle B'Daman",B-伝説(ビーレジェンド)! バトルビーダマン,Battle B-Daman,,,,['TV'],52,Finished Airing,"Jan 5, 2004 to Dec 27, 2004",['Winter 2004'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising', 'd-rights', 'Heewon Entertainment']",['Hasbro'],['Nippon Animation'],['Manga'],"['Adventure', 'Fantasy']",,22 min. per ep.,PG - Children,6.31,#8218,#5822,"14,467",30,8063,"Upon the creation of marble launching machines known as B-Daman, people started to participate in the competitive sport B-DaBattles. However, B-Daman contain hidden powers which enhance marble shooting that can be misused for combative purposes. One night, a certain object residing behind the walls of a restaurant calls upon Yamato Daiwa—a boy raised by cats. Yamato has been having visions of the object which resembles a machine familiar to everyone. Little does he know, hidden behind the walls is not a mere machine, but the fate of the world. [Written by MAL Rewrite]","['Sequel (TV) B-Legend! Battle B-Daman Fire Spirits!', 'Adaptation (Manga) B-Densetsu! Battle B-Daman']",B-Legend! Battle B-Daman,['Kids'],['Strategy Game'],,
10,,勇午 ～交渉人～,Yugo The Negotiator,,,,['TV'],13,Finished Airing,"Feb 25, 2004 to May 26, 2004",['Winter 2004'],Tuesdays at 00:00 (JST),['G&G Entertainment'],['ADV Films'],"['Artland', 'G&G Direction']",['Manga'],"['Action', 'Drama', 'Mystery', 'Suspense']","['Military', 'Psychological']",24 min. per ep.,R - 17+ (violence & profanity),7.06,#4110,#5942,"13,765",33,4055,"""Negotiation means, you turn words into weapons"" This is the realization of the popular comic Yu-go that was published in Kondasha Afternoon Magazine over a period of 10 years. Beppu Yuugo is the world's most successfull negotiator. His only weapons are ""words."" Yuugo doesn't kill people. Neither does he threaten them with brute violence. With rich knowledge and a calm judgement, he believes in the humans inside them. Doing only that he has managed many dangerous negotiations successfully until now. Now two of the many episodes have been chosen very carefully, one taking place in Russia, the other one in Pakistan. In the burning desert and the freezing Siberia Yuugo begins his negotiations. (Source: AniDB)","['Adaptation (Manga) Yuugo', '']",Yuugo: Koushounin,['Seinen'],,,
11,,十兵衛ちゃん2 ～シベリア柳生の逆襲～,Jubei-chan 2: The Counterattack of Siberia Yagyu,,,,['TV'],13,Finished Airing,"Jan 8, 2004 to Apr 1, 2004",['Winter 2004'],Unknown,['TV Tokyo Music'],"['Media Blasters', 'Geneon Entertainment USA']",['Madhouse'],Original,"['Action', 'Adventure', 'Comedy', 'Drama']","['Martial Arts', 'Samurai']",24 min. per ep.,PG-13 - Teens 13 or older,6.82,#5210,#6224,"12,210",18,4812,"Three hundred years ago, in the frigid land of Siberia, Jubei Yagyu engaged in a fierce battle with Kitaretsusai of the Northern Yagyu clan. The duel was costly, as his daughter Freesia was frozen in suspended animation. As a result of global warming in the present day, Freesia breaks free from her icy grave and moves to Japan as a middle school transfer student, where she befriends Jiyuu Nanohana. Little does Jiyuu know that Freesia is targeting her to acquire the coveted Lovely Eye Patch, which Freesia believes is rightfully hers. (Source: ANN)","['Prequel (TV) Juubee-chan: Lovely Gantai no Himitsu', '']",Juubee-chan 2: Siberia Yagyuu no Gyakushuu,,,,
12,"Burn-Up Scramble, Burn Up! Scramble",バーンナップスクランブル,,,Burn-Up Scramble: Policias del Futuro,,['TV'],12,Finished Airing,"Jan 12, 2004 to Mar 29, 2004",['Winter 2004'],Unknown,"['AIC', 'Memory-Tech', 'Toshiba Entertainment', 'Geneon Entertainment']",['Geneon Entertainment USA'],['AIC Spirits'],Original,"['Action', 'Comedy', 'Drama', 'Mystery', 'Sci-Fi', 'Ecchi']",,24 min. per ep.,R - 17+ (violence & profanity),6.14,#9148,#6554,"10,725",6,3482,"AD. 2023, Tokyo. Because of the change of the society such as internationalization and enlargement of the trading, the dark side of the society also continues changing. The criminals are getting deep, and their organizations are increasing its size, then the peace and security is getting worse. The government takes it seriously, and decides to introduce an innovative system. In order to cope with the special criminals, an extralegal police is founded. It is a special criminal team, Warriors, which consists of a few elite members. (Source: AnimeNfo)",[],Burn Up Scramble,,['Detective'],,
13,Northward: Diamond Dust Drops,北へ。 ～Diamond Dust Drops～,Diamond Daydreams,,,,['TV'],12,Finished Airing,"Jan 20, 2004 to Apr 5, 2004",['Winter 2004'],Unknown,"None found,",['ADV Films'],['Studio Deen'],Visual novel,"['Drama', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.56,#6717,#6725,"10,140",10,3109,"If a couple sees the diamond dust together, then they will certainly find eternal happiness. Or so it is said. This is a drama about the romances, friendships and conflicts of six girls from Hokkaido and how the diamond dust affects them and eventually links them together in the search for happiness. (Source: ANN)",[],Kita e.: Diamond Dust Drops,,,,
14,Gravion Zwei,超重神グラヴィオンツヴァイ,Super Heavy God Gravion Zwei,,,,['TV'],12,Finished Airing,"Jan 9, 2004 to Mar 26, 2004",['Winter 2004'],Fridays at 00:15 (JST),"None found,",['ADV Films'],['Gonzo'],Original,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,23 min. per ep.,R+ - Mild Nudity,6.63,#6292,#6760,"10,024",19,4145,"After Gravion was able to use its ultimate attack, the Zeravire threat seemed to have temporary stopped. However when it rises back up all of a sudden, the Earth Gult and its trump card, the super robot Gravion, is needed to defend this world again. All this while, the EFA is planning to create their own weapons to counter the Zeravire, the Grand Trooper. Now as they attempt to fend off the Zeravire, the people of the Earth Gult and EFA must protect their future as well as confront their pasts, and unveil the mysteries of the Zeravire. (Source: ANN)","['Prequel (TV) Choujuushin Gravion', 'Adaptation (Light Novel) Choujuushin Gravion Zwei']",Choujuushin Gravion Zwei,,['Mecha'],,
15,Superior Defender Gundam Force,SDガンダムフォース,,,,,['TV'],52,Finished Airing,"Jan 7, 2004 to Dec 29, 2004",['Winter 2004'],Wednesdays at 18:00 (JST),"['Bandai Visual', 'Sotsu', 'TV Tokyo Music']",['Bandai Entertainment'],['Sunrise'],Original,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,5.40,#12435,#6770,"9,988",11,4763,"The land of Neotopia is attacked by the Dark Axis, evil invaders from another dimension who wish to conquer this land. Neotopia's answer: the secret Super Dimensional Guard and their defenders, the Gundam Force. Led by Captain Gundam, the Gundam Force and its team of Gundams with special abilities are aided by a boy named Shute as they stop at nothing to defend the land from the Dark Axis and to defeat them once and for all. (Source: ANN)",[],SD Gundam Force,,['Mecha'],,
16,Super Transformation Cosprayers,超変身コス∞プレイヤー,The Cosmopolitan Prayers,,,,['TV'],8,Finished Airing,"Jan 13, 2004 to Mar 2, 2004",['Winter 2004'],Unknown,['m.o.e.'],"None found,","['Imagin', 'Studio Live']",Original,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Ecchi']",,17 min. per ep.,PG-13 - Teens 13 or older,4.83,#13396,#6932,"9,452",4,3623,"Koto unknowingly seals away the Sun Goddess Amaterasu, and now she is in a different world and can't return. Meeting priestesses who combat the evil in this strange place she learns that Black Towers throughout the land keep Amaterasu sealed away and are guarded by evil monsters. Koto must now find a way to help defeat these monsters and return the world to the way it was. (Source: ANN)",[],Chou Henshin Cosprayers,,['Super Power'],,
