,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Spanish,French,Genre,Theme,Themes,German,Demographics
20,双恋,Twin Love,['TV'],13,Finished Airing,"Oct 7, 2004 to Dec 30, 2004",['Fall 2004'],Thursdays at 01:00 (JST),['Lantis'],['Discotek Media'],['Telecom Animation Film'],Original,"['Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.42,#7569,#3918,"36,695",26,16614,"With his mother dead and his father working abroad, Futami Nozomu returns to the town where he lived as a child, to attend high school and work part-time at a local shrine. He soon finds himself caught up in a local legend of twin girls loving the same man. And there are many twin girls in this town.... (Source: ANN)",[],Futakoi,,,,,['School'],,,
21,ファンタジックチルドレン,Fantastic Children,['TV'],26,Finished Airing,"Oct 5, 2004 to Mar 29, 2005",['Fall 2004'],Tuesdays at 01:00 (JST),['Hakuhodo DY Media Partners'],['Bandai Entertainment'],['Nippon Animation'],Original,"['Adventure', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",,24 min. per ep.,PG-13 - Teens 13 or older,7.50,#1952,#3980,"35,414",293,8724,"A group of enigmatic white-haired children has been spotted at different times and places in Europe for over 500 years. Always with the appearance of 11-year-olds, they behave far more mature than they should be, never grow old, and seem to have supernatural power. What they have been seeking is a girl, and the only clue they have is a picture with a crescent moon. Now, in the year of 2012, an athletic boy named Tohma is about to be involved in this centuries-long mystery. (Source: ANN)","['Sequel (Special) Fantastic Children: Befort no Kodomo-tachi no Sonogo', 'Adaptation (Manga) Fantastic Children: Tokei Jikake no Tabibito-tachi']",Fantastic Children,,,,,,,,
22,うた∽かた,Utakata,['TV'],12,Finished Airing,"Oct 3, 2004 to Dec 19, 2004",['Fall 2004'],Sundays at 00:30 (JST),"['Bandai Visual', 'gimik']",['Sentai Filmworks'],['HAL Film Maker'],Original,"['Drama', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.65,#6168,#4558,"26,835",73,9985,"It's the last day of the school term in Kamakura Girl's School, and summer is about to begin. Serious but polite 14-year-old Ichika Tachibana is excited to make her summer vacation with her friends a special break to remember! But little does Ichika know that this summer will be more special than she could have ever imagined. While cleaning in an unused school building, Ichika notices an image of an unfamiliar girl in place of her own reflection in a large mirror. Convinced by her friends that she was just seeing things, she is surprised to see the girl in the mirror later that day, holding her lost cell phone. Introducing herself as Manatsu Kuroki, she comes out of the mirror and hands Ichika's phone back—and to Ichika's surprise, the stones on her cell phone charm have changed colors and now allow her to borrow the power of the 12 Djinn that watch over the world. Uta Kata is a tale of a young girl who will realize new things through her interactions with these spirits. As the Djinn show her overwhelming sights, they will soon also bring to her overwhelming thoughts... [Written by MAL Rewrite]","['Sequel (Special) Uta∽Kata: Shotou no Futanatsu', 'Adaptation (Manga) Uta∽Kata']",Uta∽Kata,"Uta-Kata, Uta~Kata,One~Song, Poem~Piece, Poem Fragment",,,,,"['Mahou Shoujo', 'Psychological']",,
23,遙かなる時空の中で〜八葉抄〜,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,['TV'],26,Finished Airing,"Oct 6, 2004 to Mar 30, 2005",['Fall 2004'],Wednesdays at 01:00 (JST),"None found,",['Bandai Visual USA'],['Yumeta Company'],Visual novel,"['Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.99,#4416,#4601,"26,187",116,8187,"Akane Motomiya and her friends Tenma and Shimon are pulled by a demon into another world, where Akane becomes the Priestess of the Dragon God. The people of this world tell her that she is the only one who can stop the demons from taking over; meanwhile, the demons want to use her power for their own ends. Luckily, Akane has the Hachiyou, eight men with powers of their own who are sworn to protect the Dragon Priestess. (Source: ANN)","['Sequel (OVA) Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko', 'Sequel (Special) Harukanaru Toki no Naka de: Hachiyou Shou Specials', 'Adaptation (Manga) Harukanaru Toki no Naka de', '']",Harukanaru Toki no Naka de: Hachiyou Shou,"HaruToki, Haruka 8, Haruka naru Toki no Naka de TV, Harukanaru Toki no Nakade - Hachiyosho -, In a Distant Time",,Harukanaru Toki No Naka De: Hachiyou Shou a Tale of the Eight Guardian,,,"['Isekai', 'Mythology', 'Reverse Harem']",,
24,ジパング,,['TV'],26,Finished Airing,"Oct 8, 2004 to Apr 1, 2005",['Fall 2004'],Fridays at 01:25 (JST),"['Marvelous Entertainment', 'Animax', 'Pony Canyon', 'TBS']",['Geneon Entertainment USA'],['Studio Deen'],['Manga'],"['Action', 'Drama', 'Sci-Fi']",['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.49,#1990,#4757,"24,095",197,8234,"A Ripple in Time Turns the Crucial Tide of WWII. Scheduled for routine military exercises, Commander Kadomatsu and the crew of Japan's newest and most modern Battlecruiser, The Mirai, are ready to test out the ship's state-of-the-art Aegis System. Instead, they find themselves transported back to June 4th, 1942—date of the crucial Battle of Midway, where the Japanese fleet was dealt a crippling blow. When an overzealous Kadomatsu rescues one of the battle's victims, Kusaka, from a sinking zero fighter, the Mirai's fate is sealed. The crew pledges not to do anything to alter the past further. However, they're now forced to fight a U.S. submarine in a battle that should never have occurred. Thus setting off a chain of events that may forever change the flow of history! (Source: Geneon Entertainment USA, edited)","['Adaptation (Manga) Zipang', '']",Zipang,,,,,,"['Adult Cast', 'Historical', 'Military', 'Time Travel']",,
25,風人物語,Windy Tales,['TV'],13,Finished Airing,"Sep 11, 2004 to Feb 26, 2005",['Fall 2004'],Not scheduled once per week,"['Tohokushinsha Film Corporation', 'Hakuhodo DY Media Partners', 'Sky Perfect Communications', 'Culture Publishers', 'Fonishia']",['Sentai Filmworks'],['Production I.G'],Original,"['Slice of Life', 'Supernatural']",,25 min. per ep.,G - All Ages,7.22,#3258,#5081,"20,577",126,4715,"Nao, an 8th grader, is one of the only two members of a Digital Camera Club, where she also serves as the manager. It's a mystery that she shoots nothing else but the skies and clouds. One day, she finds a cat on a rooftop where she usually shoots her camera. It's a cat that knows how to manipulate the flow of a wind. Shocked to find a strange animal, Nao loses her footing and falls off from the rooftop! Miki is the other member of the club, and also Nao's best friend. Mr. Taiki is the teacher who's taught the cat how to manipulate the flow of a wind. Ryoko is a girl who has a huge crush on Mr. Taiki. And there's Jun, who helps Nao and Miki look for a cat that can fly. Then, there's Yukio, who is the widow of Mr. Taiki's deceased brother. On the outskirts of this big city, a town off the ""Wind Handlers,"" has been formed—and a mysterious Wind Festival is about to begin... (Source: Production I.G)",[],Fuujin Monogatari,,,,,,"['Iyashikei', 'School']",,
26,W 〜ウィッシュ〜,Double Wish,['TV'],13,Finished Airing,"Oct 3, 2004 to Dec 26, 2004",['Fall 2004'],Unknown,"None found,","None found,","['Trinet Entertainment', 'Picture Magic']",Visual novel,"['Drama', 'Romance']",,12 min. per ep.,PG-13 - Teens 13 or older,6.12,#9291,#5518,"16,610",15,5934,"Based on a game by Princess Soft The main character, Junna has a twin sister Senna. He is an ordinal student of an elite school. However, in the past, a traffic accident deprived him of his parents and his memory. Junna survived the accident, and he has lived only with his sister though he has been looked after by his relatives. And present... The life with Senna in the same high school is so pleasant that he can forget the severe past. Because he has been in the world where there is only Senna, his lives in this town, such as the beginning of a new life, new environments, and the meetings, are so refreshing. However, he begins to recall the memories he lost in the accident. Though he enjoys happy and pleasant days, he is tossed by the past, the present, and the future. What is the truth hidden in his memory? (Source: AniDB)",[],W: Wish,,,,,,"['Harem', 'School']",,
27,冒険王ビィト,Beet the Vandel Buster,['TV'],52,Finished Airing,"Sep 30, 2004 to Sep 29, 2005",['Fall 2004'],Thursdays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['Illumitoon Entertainment'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],23 min. per ep.,PG - Children,6.92,#4727,#5576,"16,173",16,6935,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century.","['Sequel (TV) Bouken Ou Beet Excellion', 'Adaptation (Manga) Boukenou Beet']",Bouken Ou Beet,Adventure King Beet,,,,,,,
28,吟遊黙示録 マイネリーベ,,['TV'],13,Finished Airing,"Nov 4, 2004 to Feb 3, 2005",['Fall 2004'],Thursdays at 22:30 (JST),['Rondo Robe'],"None found,",['Bee Train'],Visual novel,"['Drama', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.44,#7458,#5934,"13,812",30,4374,"The first season begins with introducing the characters, their past and their ambitions. Orpherus, Eduard, Camus, Lui, and Naoji are five noblemen who attend the prestigious Rozenstolz academy, and who are a part of the Strahl class—a class for potential candidates for the advisory positions in the royal palace in the small European country of Kuchen. Isaac is an English writer who visits Kuchen. While still students, the five noblemen are forced to deal with corrupted politicians, secret agents, attempted murder and ambitious individuals from both inside and outside of school who threatens to break the fragile peace in their country, and even assassinate the king.","['Sequel (TV) Ginyuu Mokushiroku Meine Liebe Wieder', 'Adaptation (Manga) Meine Liebe: Eien Naru Traumerei']",Ginyuu Mokushiroku Meine Liebe,"Meine Liebe, My Love",,,,,,Meine Liebe,
29,ビューティフル ジョー,,['TV'],51,Finished Airing,"Oct 2, 2004 to Sep 24, 2005",['Fall 2004'],Saturdays at 07:00 (JST),"['TV Tokyo', 'MediaNet', 'Capcom', ""We've Inc.""]",['Geneon Entertainment USA'],['Group TAC'],Game,"['Action', 'Comedy', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.76,#5544,#6117,"12,731",28,5766,"Joe, a red-headed movie buff, and Silvia, his girlfriend, are having a bit of relationship trouble. Silvia feels that Joe is taking her for-granted and wants to do something together for once, so Joe decides to take her to see an old action movie featuring his favorite hero, Captain Blue. What started out as a cute movie date takes a turn for the worst when Silvia is pulled into the movie by the leader of the evil organization, Jado. Joe follows her into the mysterious ""Movieland,"" and is granted a powerful device known as a V-Watch by Captain Blue himself. With it, he transforms into the action hero named ""Viewtiful Joe"" and goes off to rescue his girlfriend before she can be used by Jado to take over the world. It's a long road to go from average Joe to full-blown hero, but he'll give it his all to save both his girl and the world—and he'll do it in the most ""view-ti-ful"" way possible.",[],Viewtiful Joe,Beautiful Joe,,,,,,,
30,LEGEND OF DUO,,['TV'],12,Finished Airing,"Oct 27, 2004 to Jan 12, 2005",['Fall 2004'],Wednesdays at 23:30 (JST),"None found,","None found,","['Radix', 'Marine Entertainment']",Original,"['Boys Love', 'Drama', 'Supernatural']",,5 min. per ep.,R - 17+ (violence & profanity),4.83,#13401,#6194,"12,354",13,4961,"It is the early 21st century, and mankind is doomed. Due to a mysterious virus that steals the essence of human life, humanity has been pushed to the brink of extinction with only one hope for salvation: the blood of a vampire. Vampires have closely guarded the key to curing the virus for several years, which has led to an immense rift between them and humans and the world's descension into chaos. A vampire named Duo, having leaked the secret to saving humanity, is now considered a traitor to his race, and the powerful vampire Zieg is on his trail. However, due to Zieg's sense of duty, his heart is torn: should he kill the man who betrayed his people, or will his personal history with Duo sway him to have a change of heart? [Written by MAL Rewrite]",[],Legend of Duo,,,,,['Vampire'],,,
31,ゾイド・フューザーズ,Zoids Fuzors,['TV'],26,Finished Airing,"Oct 3, 2004 to Apr 3, 2005",['Fall 2004'],Unknown,['Shogakukan Productions'],"None found,",['Tokyo Kids'],Unknown,"['Action', 'Adventure', 'Sci-Fi']",,25 min. per ep.,PG-13 - Teens 13 or older,6.39,#7764,#6329,"11,666",17,5216,"R.D. is a delivery boy who works for a company called Mach Storm in order to earn money to search for the legendary Alpha Zoid. A Zoid that he heard rumours about from his dad that he passionately believes in. Mach Storm also doubles as a Zoid Battling team. In R.D.'s first Coliseum Zoid Battle, he encounters a team that can fuse Zoids. R.D. soon discovers that he has a Zoid that can computably fuse with his Zoid, Liger Zero. After this happens R.D.'s adventure to discover the truth about the Alpha Zoid begins. (Source: ANN)",[],Zoids Fuzors,,,,,['Mecha'],,,
32,ロックマンエグゼStream,,['TV'],51,Finished Airing,"Oct 2, 2004 to Sep 24, 2005",['Fall 2004'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],Game,"['Action', 'Adventure', 'Sci-Fi']",,25 min. per ep.,PG - Children,7.06,#4097,#6516,"10,934",30,4422,"A comet burns in the sky, its brilliant light shining down upon the people of Earth. At that time, a giant army of viruses invade the real world, crushing everything in their path. Netto and Enzan use cross fusion to intervene, but are whisked away to an unknown location, only to be confronted by the one responsible for the attack - Duo! (Source: Official Site)","['Prequel (TV) Rockman.EXE Axess', 'Sequel (TV) Rockman.EXE Beast']",Rockman.EXE Stream,Rockman EXE Stream,,,,,"['Mecha', 'School', 'Strategy Game']",,
33,トゥハート ~remember my memories~,,['TV'],13,Finished Airing,"Oct 2, 2004 to Dec 25, 2004",['Fall 2004'],Unknown,"['Rondo Robe', 'Geneon Entertainment']","None found,","['OLM', 'AIC ASTA']",Visual novel,"['Drama', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,6.37,#7862,#6633,"10,457",6,4001,"Time flies by; Hiroyuki and Akari are 12th-graders now. Both of them and their friends have grown up gradually in someway, physically or mentally, but one of their best friends is missing: the lifelike android Multi. To their surprise, Multi is brought to their campus again without notice, yet she is no longer the same Multi they have known. (Source: ANN)","['Prequel (TV) To Heart', 'Adaptation (Manga) To Heart ~remember my memories~']",To Heart: Remember My Memories,,,,,,"['Harem', 'School']",,
34,サムライガン,,['TV'],12,Finished Airing,"Oct 4, 2004 to Dec 14, 2004",['Fall 2004'],Unknown,"['Avex Entertainment', 'TV Asahi']",['ADV Films'],['Studio Egg'],['Manga'],,['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),5.93,#10249,#6693,"10,218",9,3261,"It is the beginning of the industrial revolution, and feudal Japan is in turmoil. The ruling Shogun are wielding their abusive powers to instill fear and dominance over their oppressed subjects. Beatings, imprisonment, rape and even murder are the adopted tactics chosen to maintain their reign. The bloodshed must end. A group of Samurai have banded together, and, with the development of new weapons and new technology, they have both the will and the hardware to stand up and fight. Ichimatsu is one of these fighters. By day, he works incognito at a local tavern, in the evenings he frequents the brothels, and by the dark of night, he doles out some big-time, gun-barrel justice. He is here to help. He is Samurai Gun. (Source: ANN)","['Adaptation (Manga) Samurai Gun', '']",Samurai Gun,,,,['Action'],,"['Historical', 'Samurai']",,
35,下級生２ ～瞳の中の少女たち～,Kakyusei 2,['TV'],13,Finished Airing,"Oct 2, 2004 to Dec 25, 2004",['Fall 2004'],Unknown,['Soft Garage'],"None found,",['Arms'],Visual novel,"['Comedy', 'Drama', 'Romance']",,25 min. per ep.,R+ - Mild Nudity,5.77,#11060,#7816,"6,978",6,1867,"Many people have fond memories of meeting a certain teenage boy in their younger years. However, their ages vary widely, and each remembers him as a teen. This story follows the intricate intertwining of their various stories and how this young man, who apparently lives outside of time, has affected each of them.","['Sequel (OVA) Kakyuusei 2: Anthology', '']",Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,,,,,,"['Harem', 'School']",,
36,陰陽大戦記,The Chronicle of the Big Battle between Yin and Yang,['TV'],52,Finished Airing,"Nov 30, 2004 to Sep 29, 2005",['Fall 2004'],Thursdays at 18:00 (JST),"None found,","None found,",['Sunrise'],['Manga'],"['Adventure', 'Fantasy', 'Supernatural']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.12,#3798,#8017,"6,552",31,2050,"Riku Tachibana is an average 1st year junior high school student who was supposed to be living a peaceful, ordinary life, but just after entering junior high he ends up fighting a duel against a mysterious man calling himself “a Warrior of Earth,” and Riku’s life is changed forever! Riku discovers that he is a survivor of the believed extinct “Warriors of Heaven,” Using a device called “DRIVE” and summoning a Shikigami, or “Divine Beast,” called Kogenta to his side, Riku devotes his life to the battle against the Warriors of Earth! (Source: Sunrise)","['Adaptation (Manga) Onmyou Taisenki', '']",Onmyou Taisenki,Onmyou Tai Senki,,,,,,,
37,リングにかけろ１,,['TV'],12,Finished Airing,"Oct 6, 2004 to Dec 15, 2004",['Fall 2004'],Unknown,"None found,","None found,",['Toei Animation'],['Manga'],,['Shounen'],23 min. per ep.,PG - Children,6.35,#7999,#8694,"5,398",3,1797,"In order to fulfill their dead father's wish, the siblings Takane Kiku and Takane Ryuji aim for the champion title of the boxing arena. Their sister, Kiku, will act as the trainer while her brother, Ryuji, will concentrate on the role of the boxer and learn the Boomerang. His battle with many rivals has led to the growth and maturing of Ryuji. The junior high boxing tournament has begun and Ryuji will be fighting his arch-rival, Kenzaki Jun. The battle begins. (Source: ANN)","['Sequel (TV) Ring ni Kakero 1: Nichibei Kessen-hen', 'Adaptation (Manga) Ring ni Kakero']",Ring ni Kakero 1,Put it all in the Ring,,,['Sports'],['Combat Sports'],,,
38,流星戦隊ムスメット,,['TV'],13,Finished Airing,"Oct 4, 2004 to Dec 27, 2004",['Fall 2004'],Unknown,['Pony Canyon'],"None found,",['TNK'],Original,"['Adventure', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,22 min. per ep.,PG-13 - Teens 13 or older,6.00,#9928,#9845,"3,752",1,1384,"One day, seven shooting stars fell on to the ground. The shooting stars were colored by seven colors, and they had terrible powers. Those who took the shooting star were tuned into monsters by embodying their desires. Dr. Mishina and Dr. Kishiwada obtained the red, green, and blue stars secretly, and they studied the stars. Finally, they could successfully control their power by putting a special helmet on. The newly developed helmet, ""Musumet"", was as large as an automobile helmet. Putting Musumet on the head, it turned a person's body into the strongest one on the earth. Furthermore, it received the signal from the brain and amplified the inherent power and ability unlimitedly. To utilize the power of ""Musumet"", to keep the world peace, and to protect from the disasters caused by the remaining shooting stars, Dr. Mishima and Dr. Kishida founded a secret organization ""MET"". However, he died before he accomplished his aim. The bereaved daughters, Aoi, Midori, and Kurenai, made up their minds to become Musmet in order to execute the father's will. Even if they turned into Musumet, their wearing wouldn't change except helmets, gloves, and boots. Therefore, they had to go to the scenes wearing their own clothes. The girls had to go to the incident spots occasionally wearing school uniforms, occasionally gymnasium suits, occasionally swimming suits, depending the case, they had to go there even if they were naked, and they would do great jobs. On the other hand, at other times, they were ordinal adolescent girls who were dreaming of lovely meetings with boyfriends. Whether would they cope with the world peace and boyfriends at the same time? (Source: AnimeNfo)",[],Ryuusei Sentai Musumet,"Ryusei Sentai Musumet, Shooting Starlets Musumet, Meteor Team Musumet",,,,,,,
39,きまぐれロボット,,['TV'],10,Finished Airing,"Dec 22, 2004",['Fall 2004'],Unknown,['Beyond C.'],"None found,",['Studio 4°C'],Book,"['Comedy', 'Fantasy', 'Sci-Fi']",,2 min. per ep.,PG - Children,5.95,#10134,#10937,"2,673",0,1163,"A brilliant, slightly crazy, and extremely eccentric scientist toils away his days in his lab, creating robots to carry out different tasks. A robot to grant three wishes, a robot to help you write your diary, a robot that intentionally misbehaves in order to keep its master from becoming bored… the robots are each built for a very specific purpose, and can’t really do much of anything else. Luckily for mankind, however, these robots are much more useful than they appear to be at first glance… most of the time, anyway. (Source: ANN)",[],Kimagure Robot,The Capricious Robot,,,,,,,
40,カッパの飼い方,How to Breed Kappas,['TV'],26,Finished Airing,"Oct 4, 2004 to Apr 4, 2005",['Fall 2004'],Unknown,['Nihon Ad Systems'],"None found,",['Picture Magic'],['Manga'],,,3 min. per ep.,PG - Children,6.19,#8864,#11279,"2,428",4,935,"A young man passes a pet shop on his way home, and seeing a kappa in the window, decides to buy it on a whim. He brings the creature home, and names him Kaatan. He's never owned a kappa before, so he relies heavily on a book he purchased on the subject of raising and training kappa. The books gives several good tips for bringing up a smart and well behaved kappa, and it all seems very simple. Unfortunately, putting these techniques into practice and actually making them work is not quite as easy as the book implies. Kaatan seems to understand things at first, but usually ends up either forgetting what he's learned, or isn't interested in learning in the first place. However, this particular young man has a lot of patience, and continues his possibly fruitless effort to raise Kaatan into a pet he can be proud of. (Source: ANN)","['Adaptation (Manga) Kappa no Kaikata', '']",Kappa no Kaikata,"Kappa no Kai-kata, How to Raise a Water Imp",,,['Comedy'],['Pets'],,,
41,ななみちゃん,,['TV'],12,Finished Airing,"Oct 2, 2004 to Jan 8, 2005",['Fall 2004'],Unknown,['Robot Communications'],"None found,","None found,",Other,,['Kids'],5 min. per ep.,G - All Ages,5.97,#10057,#12862,"1,469",1,584,"Michi and her family have just moved into the Happiness House, a huge tree with all sorts of little buildings and houses built on and inside of it. Upon exploring what is to be her new bedroom, Michi finds an odd nut-like object. Before long, a strange creature, Nanami-chan, hatches out of it. The two become fast friends. Together, Michi and Nanami-chan learn all kind of new things, and everyday they meet more eccentric residents of the Happiness House. (Source: ANN)","['Sequel (TV) Nanami-chan 2nd Series', '']",Nanami-chan,,,,['Comedy'],,,,
42,アークエとガッチンポー,,['TV'],13,Finished Airing,"Oct 2, 2004 to Dec 25, 2004",['Fall 2004'],Unknown,"None found,","None found,","None found,",Unknown,,['Kids'],24 min. per ep.,PG-13 - Teens 13 or older,[],#16531,#17328,473,1,,Surreal gag-packed story about curious kid and his companions.,"['Sequel (TV) Akuei to Gacchinpo: Tenkomori', '']",Akuei to Gacchinpo,A-kuei & Gatchinpo,,,['Comedy'],,,,
43,カレーの国のコバ～ル,,['TV'],13,Finished Airing,"Sep 20, 2004 to Dec 13, 2004",['Fall 2004'],Mondays at 07:41 (JST),"['Kids Station', 'DAX Production']","None found,",['Artland'],Original,,,4 min. per ep.,G - All Ages,[],#17457,#18883,354,1,,"Coburoux is a prince of Curry Kingdom. Although he is a prince, he goes to the school for common people, and he is treated like other students. In fact, he is scolded by the teacher, is made to stand during class as a punishment, go some errands for a chef, and is teased by a girl whom he loves. He is always worried, and wonders whether the prince should be better. Being surrounded by weird friends and strange people in Curry Kingdom, he spends worrying days. (Source: AnimeNfo)",[],Curry no Kuni no Coburoux,Curry no Kuni no Kobal,,,['Comedy'],,,,
44,トントンあったと にいがたの昔ばなし,,['TV'],13,Finished Airing,"Oct 3, 2004 to Dec 26, 2004",['Fall 2004'],Unknown,['Group TAC'],"None found,","None found,",Unknown,,,25 min. per ep.,None,[],#14968,#19724,302,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Ton-Ton Atta to Niigata no Mukashibanashi,,,,['Comedy'],,,,
45,ナルト,Naruto,['TV'],220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",['Fall 2002'],Thursdays at 19:30 (JST),"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.01,#653,#9,"2,966,857","82,502",2044700,"Moments before Naruto Uzumaki's birth, a huge demon known as the Nine-Tailed Fox attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the demon's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. In the present, Naruto is a hyperactive and knuckle-headed ninja growing up within Konohagakure. Shunned because of the demon inside him, Naruto struggles to find his place in the village. His one burning desire to become the Hokage and be acknowledged by the villagers who despite him. However, while his goal leads him to unbreakable bonds with lifelong friends, it also lands him in the crosshairs of many deadly foes. [Written by MAL Rewrite]","['Sequel (TV) Naruto: Shippuuden', 'Adaptation (Manga) Naruto']",Naruto,NARUTO,,,,['Martial Arts'],,,
46,ONE PIECE,One Piece,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,497,341","234,813",1420087,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,OP,,,,,,,
47,サムライチャンプルー,Samurai Champloo,['TV'],26,Finished Airing,"May 20, 2004 to Mar 19, 2005",['Spring 2004'],Saturdays at 10:30 (JST),"['Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG']","['Funimation', 'Geneon Entertainment USA']",['Manglobe'],Original,"['Action', 'Adventure', 'Comedy']",,24 min. per ep.,R - 17+ (violence & profanity),8.51,#138,#109,"1,288,361","39,310",658861,"Fuu Kasumi is a young and clumsy waitress who spends her days peacefully working in a small teahouse. That is, until she accidentally spills a drink all over one of her customers! With a group of samurai now incessantly harassing her, Fuu desperately calls upon another samurai in the shop, Mugen, who quickly defeats them with his wild fighting technique, utilizing movements reminiscent to that of breakdancing. Unfortunately, Mugen decides to pick a fight with the unwilling ronin Jin, who wields a more precise and traditional style of swordfighting, and the latter proves to be a formidable opponent. The only problem is, they end up destroying the entire shop as well as accidentally killing the local magistrate's son. For their crime, the two samurai are captured and set to be executed. However, they are rescued by Fuu, who hires the duo as her bodyguards. Though she no longer has a place to return to, the former waitress wishes to find a certain samurai who smells of sunflowers and enlists the help of the now exonerated pair to do so. Despite initially disapproving of this idea, the two eventually agree to assist the girl in her quest; thus, the trio embark upon an adventure to find this mysterious warrior—that is, if Fuu can keep Mugen and Jin from killing each other. Set in an alternate Edo Period of Japan, Samurai Champloo follows the journey of these three eccentric individuals in an epic quest full of action, comedy, and dynamic sword fighting, all set to the beat of a unique hip-hop infused soundtrack. [Written by MAL Rewrite]","['Adaptation (Manga) Samurai Champloo', '']",Samurai Champloo,SAMURAI CHAMPLOO,,,,,"['Historical', 'Samurai']",,
