,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,French,Theme,German,Spanish,Genre,Demographics
54,,魔法科高校の劣等生,The Irregular at Magic High School,['TV'],26,Finished Airing,"Apr 6, 2014 to Sep 28, 2014",['Spring 2014'],Sundays at 00:30 (JST),"['Aniplex', 'Square Enix', 'Movic', 'ASCII Media Works']",['Aniplex of America'],['Madhouse'],['Light novel'],"['Action', 'Fantasy', 'Romance', 'Sci-Fi']","['School', 'Urban Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,7.38,#2459,#140,"1,109,962","11,054",606996,"In the dawn of the 21st century, magic, long thought to be folklore and fairy tales, has become a systematized technology and is taught as a technical skill. In First High School, the institution for magicians, students are segregated into two groups based on their entrance exam scores: ""Blooms,"" those who receive high scores, are assigned to the First Course, while ""Weeds"" are reserve students assigned to the Second Course. Mahouka Koukou no Rettousei follows the siblings, Tatsuya and Miyuki Shiba, who are enrolled in First High School. Upon taking the exam, the prodigious Miyuki is placed in the First Course, while Tatsuya is relegated to the Second Course. Though his practical test scores and status as a ""Weed"" show him to be magically inept, he possesses extraordinary technical knowledge, physical combat capabilities, and unique magic techniques—making Tatsuya the irregular at a magical high school. [Written by MAL Rewrite]","['Prequel (TV Special) Mahouka Koukou no Rettousei: Tsuioku-hen', 'Sequel (TV) Mahouka Koukou no Rettousei: Raihousha-hen', 'Adaptation (Manga) Mahouka Koukou no Rettousei: Nyuugaku-hen', 'Adaptation (Manga) Mahouka Koukou no Rettousei: Kyuukousen-hen']",Mahouka Koukou no Rettousei,The Irregular at Magic High School,,The Irregular at Magic High School,,,
55,Fairy Tail Season 2,FAIRY TAIL（フェアリーテイル）,Fairy Tail Series 2,['TV'],102,Finished Airing,"Apr 5, 2014 to Mar 26, 2016",['Spring 2014'],Saturdays at 10:30 (JST),"['TV Tokyo', 'Dentsu']",['Funimation'],"['A-1 Pictures', 'Bridge']",['Manga'],"['Action', 'Adventure', 'Fantasy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.65,#1416,#161,"1,035,478","12,467",578138,"The Grand Magic Games reaches its climax following Natsu Dragneel and Gajeel Redfox's stunning victory over Sting Eucliffe and Rogue Cheney of the Sabertooth guild. This success pushes the Fairy Tail guild closer to being crowned the overall champions, but obtaining victory is not the only challenge they face. A mystery still surrounds a hooded stranger and the ominous Eclipse Gate, leaving more questions than answers. More crazy adventures are on the horizon for Fairy Tail as their destructive antics and joyful rowdiness continue unabated. Their greatest trial is quickly approaching, but united as a family, the guild will always be ready to face any threat that comes their way. [Written by MAL Rewrite]","['Prequel (TV) Fairy Tail', 'Sequel (TV) Fairy Tail: Final Series', 'Adaptation (Manga) Fairy Tail', 'Adaptation (Manga) Fairy Tail Zerø']",Fairy Tail (2014),Fairy Tail Deuxième Saison,,Fairy Tail Zweite Staffel,Fairy Tail Temporada 2,,
56,Detective Conan,名探偵コナン,Case Closed,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],"['Adventure', 'Comedy', 'Mystery']",,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#433,#704,"360,638","15,327",164254,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,,['Detective'],Case Closed,,,
57,"Daiya no Ace, Ace of the Diamond, Dia no A",ダイヤのA[エース],Ace of Diamond,['TV'],75,Finished Airing,"Oct 6, 2013 to Mar 29, 2015",['Fall 2013'],Sundays at 08:30 (JST),"['TV Tokyo', 'Sotsu', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production']","None found,","['Production I.G', 'Madhouse']",['Manga'],,"['School', 'Team Sports']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.11,#515,#1024,"254,590","4,763",119479,"With a stray pitch that completely missed the batter, Eijun Sawamura loses his final middle school baseball game. Frustrated by this defeat, Eijun and his teammates vow to reach the national tournament once they are in high school. But everything changes when a scout unexpectedly invites him to Tokyo's prestigious Seidou High School after seeing the potential in his unusual pitching style. Encouraged by his teammates, Eijun accepts the offer, ready to improve his skills and play at a much more competitive level of baseball. However, now surrounded by a large number of skilled players, Eijun struggles to find his place on the team. He declares that he will one day become the team's ace, but that's only if fellow first year Satoru Furuya doesn't take the title first, with his breakneck fastballs that earn him a coveted spot on the starting roster. With the addition of these talented new players to an already powerful lineup, the Seidou baseball team aims to become the best in Japan, facing off against a number of formidable foes that stand in their way. [Written by MAL Rewrite]","['Sequel (TV) Diamond no Ace: Second Season', 'Adaptation (Manga) Diamond no Ace']",Diamond no Ace,Ace of Diamond,,Ace of Diamond,Ace of the Diamond,['Sports'],
58,"Dragonball Kai, DBK, DB Kai, DBZ Kai",ドラゴンボール改,Dragon Ball Z Kai: The Final Chapters,['TV'],61,Finished Airing,"Apr 6, 2014 to Jun 28, 2015",['Spring 2014'],Sundays at 09:00 (JST),['Fuji TV'],['Funimation'],['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1261,#1263,"203,318",862,117030,Remastered version of the Majin Buu saga that adheres more to the manga's story.,"['Prequel (TV Special) Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni', 'Adaptation (Manga) Dragon Ball']",Dragon Ball Kai (2014),Dragon Ball Z Kai: The Final Chapters,['Martial Arts'],,,,
59,"Pocket Monsters XY, Pokémon XY",ポケットモンスターXY,Pokémon the Series: XY,['TV'],93,Finished Airing,"Oct 17, 2013 to Oct 22, 2015",['Fall 2013'],Thursdays at 19:00 (JST),['TV Tokyo'],['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,['Kids'],23 min. per ep.,PG - Children,7.44,#2200,#1396,"182,334",637,112854,"Satoshi and Pikachu have arrived in Lumiose City of the illustrious Kalos region to capture more Pokémon and continue their journey toward becoming the very best. Meanwhile, a genius inventor named Citron and his little sister Eureka wander the city when they run into Satoshi who quickly challenges them to a battle. However, they are soon caught up in a dangerous incident when Team Rocket, following Satoshi into Kalos, cause a Gaburias to rampage through the city. Far away in the quiet Vaniville Town, a young girl named Serena slogs through daily Sihorn riding practice at the behest of her mother, a professional Sihorn racer. After practice, she sees the events unfolding in Miare City on television where she recognizes a boy from her childhood. Having left a significant impact on her life, the sight of him stirs in her a desire to meet him again; and so, Serena sets off to Miare City, determined to find the boy from her past. Pokemon XY follows the group as they travel throughout Kalos in pursuit of their ambitions—Satoshi challenging Pokémon gyms, Citron learning from Satoshi, and Serena searching for what exactly her dream is. Along the way, they meet new friends, face new rivals, and continue to thwart Team Rocket's schemes, all the while discovering a little about the mysteries of mega evolution. [Written by MAL Rewrite]","['Prequel (TV) Pokemon Best Wishes! Season 2: Decolora Adventure', 'Prequel (TV Special) Pokemon XY SP: Road to Kalos', 'Sequel (TV) Pokemon XY&Z', '']",Pokemon XY,Pokémon Saision XY,,Pokémon Staffel XY,Pokémon Temporada XY,,
60,Baby Steps,ベイビーステップ,,['TV'],25,Finished Airing,"Apr 6, 2014 to Sep 21, 2014",['Spring 2014'],Unknown,['NHK'],"None found,",['Pierrot'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.80,#1024,#1641,"150,421",850,76002,"Diligent and methodical honor student Eiichirou Maruo decides to exercise more during the little free time he has available because he is worried about his health. For this reason, after seeing a flyer, he joins the Southern Tennis Club at the beginning of his freshman year. During his free trial at the club, he meets Natsu Takasaki, another first year student, who is determined on becoming a professional tennis player due to her love for the sport. In contrast, Eiichirou's study-oriented life exists because he believes that it is what he has to do, not because he enjoys it. However, his monotonous days come to an end as the more he plays tennis, the more he becomes fascinated by it. Baby Steps is the story of a boy who makes the most of his hard-working and perfectionist nature to develop his own unique playing style. Little by little, Eiichirou's skills begin to improve, and he hopes to stand on equal footing with tennis' best players. [Written by MAL Rewrite]","['Sequel (TV) Baby Steps 2nd Season', 'Adaptation (Manga) Baby Steps']",Baby Steps,,['School'],,,['Sports'],
61,,クレヨンしんちゃん,Shin Chan,['TV'],Unknown,Currently Airing,"Apr 13, 1992 to ?",['Spring 1992'],Fridays at 19:30 (JST),['TV Asahi'],['Funimation'],['Shin-Ei Animation'],['Manga'],"['Comedy', 'Ecchi']",,['Seinen'],21 min.,G - All Ages,7.80,#1028,#2400,"88,013","1,330",42170,"There is no such thing as an uneventful day in the life of kindergartener Shinnosuke ""Shin-chan"" Nohara. The five-year-old is a cut above the most troublesome, perverted, and shameless kid one can imagine. Shin-chan is almost always engaged in questionable activities such as forgetting about a friend during hide and seek, sumo wrestling for love, performing various gags including the notorious ""elephant"" in public, and flirting with college girls. The exemplary troublemaker has done it all and has no plans to stop anytime soon. Crayon Shin-chan follows the daily shenanigans of Shin-chan with his group of friends, parading around as the self-proclaimed ""Kasukabe Defense Force."" The adults witnessing these shenanigans unfold can't help but adore Shin-chan, as he keeps them entertained while unintentionally solving their daily troubles through his mindless antics—leaving himself as the only problem they do not know what to do with. [Written by MAL Rewrite]","['Adaptation (Manga) Crayon Shin-chan', '']",Crayon Shin-chan,,['School'],Shin Chan,Shin Chan,,
62,,キャプテン・アース,Captain Earth,['TV'],25,Finished Airing,"Apr 6, 2014 to Sep 21, 2014",['Spring 2014'],Sundays at 01:58 (JST),"['Avex Entertainment', 'Dentsu', 'Shochiku', 'Mainichi Broadcasting System', 'Bandai Namco Entertainment', 'Good Smile Company', 'A-Sketch']",['Sentai Filmworks'],['Bones'],Original,"['Action', 'Romance', 'Sci-Fi']","['Mecha', 'Space']",,24 min. per ep.,PG-13 - Teens 13 or older,6.40,#7710,#2803,"68,562",88,27269,"One night, right before summer vacation, Manatsu Daichi, a second-year in high school, sees a weird round rainbow floating in the sky above Tanegashima and ventures there alone. He has seen this rainbow before. With the memories of his father's mysterious death and an encounter of a strange boy and girl, Daiji arrives on the island while the alarm of a building labeled Earth Engine is going off. Someone asks him if he is a captain, just as robotic intruders from Uranus called Kill-T-Gang arrive. The battle around the shining stars is about to begin. (Source: ANN)","['Adaptation (Manga) Captain Earth', '']",Captain Earth,,,,Capitan Earth,,
63,"Yugioh, Yuu Gi Ou! Arc-V, Yu-Gi-Oh! Arc Five, Yu-Gi-Oh! Arc-V",遊☆戯☆王　アーク・ファイブ ARC-V,Yu-Gi-Oh! Arc-V,['TV'],148,Finished Airing,"Apr 6, 2014 to Mar 26, 2017",['Spring 2014'],Sundays at 17:30 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Marvelous AQL', 'Konami Cross Media NY']","None found,",['Gallop'],['Manga'],"['Action', 'Fantasy']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.72,#5808,#2813,"68,024",502,35675,"Action Duels, which allow duelists to soar and swing alongside their Duel Monsters, are taking the world by storm. Due to an evolutionary breakthrough, the ""Solid Vision"" system is now able to provide Duel Monsters with mass. Yuuya Sakaki is Yuusho Sakaki's son, the latter being the founder of You Show Duel School in Miami City. Yuusho insists that duels are not a tool of war, but rather are to bring smiles to people and thus introduced the concept of Entertainment Dueling. However, at the height of his fame, Yuusho disappears and fails to attend his duel with Strong Ishijima, the Action Duel champion. Although scarred by this sudden leave, Yuuya vows to become an Entertainment Duelist like his father. Several years later, in the midst of a battle with Strong Ishijima, Yuuya's desperation to win brings forth a miracle. His pendant begins glowing, turning his cards into Pendulum Cards, which enables him to perform a Pendulum Summon—a summoning method unknown to the world and himself—gaining him fame overnight. As a result, Reiji Akaba, CEO of Leo Corporation and founder of the elite Leo Duel School, starts producing new Pendulum Cards to incorporate Pendulum Summoning into the system. Thus, the mysteries that surround Pendulum Summoning and Yuuya's father start to unravel, and Yuuya learns bit by bit what it takes to become an Entertainment Duelist. [Written by MAL Rewrite]","['Adaptation (One-shot) Yu☆Gi☆Oh! Arc-V', 'Adaptation (Manga) Yu☆Gi☆Oh! Arc-V']",Yu☆Gi☆Oh! Arc-V,Yu-Gi-Oh! Arc-V,['Strategy Game'],Yu-Gi-Oh! Arc-V,Yu-Gi-Oh! Arc-V,,
64,"M3: Sono Kuroki Tetsu, M3 The Dark Metal, Mortal Metal Memories",M3～ソノ黒キ鋼～,,['TV'],24,Finished Airing,"Apr 22, 2014 to Sep 30, 2014",['Spring 2014'],Tuesdays at 01:35 (JST),"['Sotsu', 'Magic Capsule', 'flying DOG', 'Happinet Pictures', 'Bandai Namco Games', 'Mobcast']","None found,","['Satelight', 'C2C']",Original,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']","['Mecha', 'Psychological']",,24 min. per ep.,R - 17+ (violence & profanity),6.56,#6726,#3071,"57,806",77,19190,"In a dark void known as the Lightless Realm, a group of children meet and bond, but are then separated and returned to their own dimension. Years later, these children reunite to fight ""Admonitions,"" monsters that originate from the same void, using robots known as ""Vess."" However, their efforts only slow the ever-encroaching and expanding Lightless Realm from infecting their world. Their lives take a drastic turn when a new foe appears in the form of a ""Corpse,"" whose song is rumored to kill any who hear it within nine days. The ""Corpse Song"" is heard by the group, and with this, they each begin to pull away and become caught up in their own personal problems—ultimately threatening the fate of humanity. [Written by MAL Rewrite]","['Adaptation (Manga) M3: Sono Kuroki Hagane', '']",M3: Sono Kuroki Hagane,,,,,,
65,"Aikatsu! Idol Katsudou! Idol ga Tsudou!, Aidoru ga Tsudou!, Aikatsu! 2, Idol ga Tsudou! 2",アイカツ！アイドルカツドウ！,,['TV'],178,Finished Airing,"Oct 8, 2012 to Mar 31, 2016",['Fall 2012'],Thursdays at 18:30 (JST),"['TV Tokyo', 'Bandai Visual', 'Dentsu']","None found,","['Sunrise', 'Bandai Namco Pictures']",Original,,"['Idols (Female)', 'Music', 'School']",,24 min. per ep.,PG - Children,7.47,#2054,#3498,"45,702",918,15210,"An idol's brilliance illuminates the dreams of humanity. Starlight Academy, a holy ground for celebrities in training, seeks to realize this belief. Behind its rigorous entrance requirements lie not only the top young stars in the entertainment business, but some of the best memories these students will ever have. Or so Aoi Kiriya believes. Alongside her best friend Ichigo, Aoi decides to apply for the prestigious private school in hopes of living up to the praise of the biggest idol in the world: Mizuki Kanzaki. As they journey through the numerous laughs, friendships, and heartbreaks that await them, can the two girls light up the lives of others as Mizuki has done for them? Whether it be chopping down Christmas trees, traversing obstacle courses, or even rock climbing, there's always a playful new adventure to be found in the world of Aikatsu!. [Written by MAL Rewrite]","['Sequel (Movie) Aikatsu!: Nerawareta Mahou no Aikatsu! Card', '']",Aikatsu!,,,,,['Slice of Life'],
66,Yokai Watch,妖怪ウォッチ,Yo-kai Watch,['TV'],214,Finished Airing,"Jan 8, 2014 to Mar 30, 2018",['Winter 2014'],Fridays at 18:30 (JST),"['TV Tokyo', 'Dentsu']",['Dentsu Entertainment USA'],['OLM'],Game,"['Comedy', 'Supernatural']",,['Kids'],23 min. per ep.,G - All Ages,6.68,#6016,#3994,"35,137",270,16268,"Primary school student Keita Amano's curiosity is as innocent as any other child's his age. But when one day he decides to venture deeper into the forest, he encounters a small and mysterious capsule. Out from its depths comes Whisper. After 190 years of imprisonment, this ghost-like creature is glad that someone has been kind enough to set him free. He decides to reward Keita by becoming his guardian against supernatural forces. Whisper is one of many Youkai that exist in the world, and provides Keita with a special Youkai Watch, which enables him to see and interact with all the other Youkai. Youkai Watch follows Keita, Whisper and the cat spirit Jibanyan as they encounter Youkai, befriend them, fix all the trouble that they so often cause, and, with the help of the watch, use the powers of previously encountered Youkai to aid them. Young Keita may have been just an ordinary primary school student when he first encountered the Youkai, but the many adventures that follow his discovery provide him with invaluable experiences and precious life lessons that help him grow.","['Sequel (TV) Youkai Watch!', 'Adaptation (Manga) Youkai Watch']",Youkai Watch,Yo-Kai Watch,['Mythology'],Yo-Kai Watch,Yo-Kai Watch,,
67,,ドラえもん (2005),,['TV'],Unknown,Currently Airing,"Apr 22, 2005 to ?",['Spring 2005'],Fridays at 19:00 (JST),['TV Asahi'],"None found,",['Shin-Ei Animation'],['Manga'],"['Comedy', 'Sci-Fi']",,,25 min.,PG - Children,7.72,#1247,#4999,"21,403",239,9584,"Doraemon (2005) is the most recent anime series based on Fujiko Fujio's manga of the same name. It is the 2005 version of 1979 series, with certain changes in the animation and other things. Doraemon is a cat-like robot who appears in the present to steer Nobita/Noby, who is a dumb, naive and clumsy boy on the right path in order to secure his future. Nobita's love interest is Shizuka Minamoto/Sue, his frenemies are Takeshi Goda/Big G and Suneo/Sneech. (Source: Wikipedia)","['Prequel (TV) Doraemon (1979)', 'Adaptation (Manga) Doraemon']",Doraemon (2005),,['Anthropomorphic'],,,,"['Kids', 'Shounen']"
68,"Kindaichi Shounen no Jikenbo R, Kindaichi Case Files Returns, Kindaichi Case Files R",金田一少年の事件簿R【リターンズ】,The File of Young Kindaichi Returns,['TV'],25,Finished Airing,"Apr 5, 2014 to Sep 27, 2014",['Spring 2014'],Unknown,['Yomiuri Telecasting'],"None found,",['Toei Animation'],['Manga'],,,['Shounen'],24 min. per ep.,R - 17+ (violence & profanity),7.54,#1793,#5175,"19,639",67,7959,"High school student Hajime Kindaichi is the supposed grandson of famous private detective Kosuke Kindaichi. Visiting Hong Kong for a fashion event with Kindaichi, our hero's girlfriend Miyuki is captured by a stranger in a case of mistaken identity. The journey to save Miyuki itself leads to yet another crime case... (Source: YTV)","['Prequel (TV) Kindaichi Shounen no Jikenbo', 'Sequel (TV) Kindaichi Shounen no Jikenbo Returns 2nd Season', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo - Shin Series', 'Adaptation (Manga) Kindaichi Shounen no Jikenbo: 20-shuunen Kinen Series']",Kindaichi Shounen no Jikenbo Returns,,,,,['Mystery'],
69,,カードファイト!! ヴァンガード レギオンメイト編,Cardfight!! Vanguard Legion Mate,['TV'],33,Finished Airing,"Mar 9, 2014 to Oct 19, 2014",['Spring 2014'],Sundays at 10:00 (JST),"['Dentsu', 'Sotsu', 'Bushiroad']","None found,",['TMS Entertainment'],Original,,,,24 min. per ep.,PG-13 - Teens 13 or older,6.74,#5675,#5425,"17,385",37,8854,"In the wake of Aichi Sendou's heroic defeat of Link Joker, Toshiki Kai believes the world has returned to normal. However, during a routine visit to Card Capital, Kai discovers that everyone else has completely forgotten who Aichi is. Compelled to solve the mystery behind his friend's disappearance, Kai sets out to look for clues. While searching Aichi's high school, Kai sees a vision of Blaster Blade, Aichi's favorite Cardfight Vanguard unit. Suddenly, a stack of cards materializes in his hand: Aichi's Royal Paladin deck. Using these familiar cards, Kai challenges Aichi's companions to duels that help them recall their dear friend's impact on their lives. After regaining their memories, they join forces with Kai to find Aichi-—and to bring him home at any cost. [Written by MAL Rewrite]","['Prequel (TV) Cardfight!! Vanguard: Link Joker-hen', 'Sequel (TV) Cardfight!! Vanguard G']",Cardfight!! Vanguard: Legion Mate-hen,Cardfight!! Vanguard Legion Mate Saison 4,['Strategy Game'],Cardfight!! Vanguard Legion Mate Staffel 4,Cardfight!! Vanguard Legion Mate Temporada 4,['Action'],
70,,魔法少女大戦,Magica Wars,['TV'],26,Finished Airing,"Apr 8, 2014 to Sep 30, 2014",['Spring 2014'],Tuesdays at 21:55 (JST),"None found,","None found,",['Gainax'],Other,,,,4 min. per ep.,PG-13 - Teens 13 or older,5.73,#11248,#5471,"16,997",5,5915,"""Mahou Shoujo Taisen"" is a project created from a variety show for the Otaku ""2.5 Chigen TV"" (2.5 Dimension TV). The characters are the mahou shoujo that represent each local town in Japan. The characters that won from the second illustration competitions that were held on pixiv will appear in the anime. (Source: MAL News)",[],Mahou Shoujo Taisen,,,,,,
71,,ぐでたま,The Lazy Egg,['TV'],1717,Finished Airing,"Mar 31, 2014 to Dec 24, 2023",['Spring 2014'],Not scheduled once per week,['Sanrio'],"None found,",['Gathering'],Original,"['Comedy', 'Gourmet']",,['Kids'],1 min. per ep.,G - All Ages,6.62,#6398,#5996,"13,397",60,2721,"Gudetama, an egg that is dead to the world and completely lacks motivation. No matter what cooking method you use, Gudetama remains unmoved. (Source: ANN)",[],Gudetama,,,,,,
72,HappinessCharge Precure!,ハピネスチャージプリキュア！,,['TV'],49,Finished Airing,"Feb 2, 2014 to Jan 25, 2015",['Winter 2014'],Unknown,"None found,","None found,",['Toei Animation'],Original,,,,24 min. per ep.,G - All Ages,6.80,#5341,#6005,"13,359",56,5325,"Some time ago, the opening of a box known as the ""Axia"" set loose the previously sealed members of the Phantom Empire into the world. Rising to protect humanity from these spiteful villains are warriors known as the Precure, whose heroic feats have garnered them celebrity status on television screens across the globe. Hime Shirayuki, princess of the kingdom where the Axia was originally held, is one such warrior who transforms into ""Cure Princess"" to battle monsters summoned by the Empire. However, Hime's timid personality often hampers her success in fending off the enemy. Frustrated with her hard luck and determined to find a Precure partner, Hime befriends Megumi Aino, a happy-go-lucky teenager. When a general of the Phantom Empire appears, Hime fails to do much in the face of his attacks. Intent on protecting her new friend, Megumi ignites her hidden potential—transforming into ""Cure Lovely."" With their sights set on protecting the world, Megumi and Hime form a new Precure team known as the ""Happiness Charge Precure"" whilst embarking on a journey to discover true love. [Written by MAL Rewrite]","['Adaptation (Manga) Happiness Charge Precure!', '']",Happiness Charge Precure!,,['Mahou Shoujo'],,,['Action'],
73,,レディ ジュエルペット,,['TV'],52,Finished Airing,"Apr 5, 2014 to Mar 28, 2015",['Spring 2014'],Unknown,"['TV Tokyo', 'Sotsu', 'MediaNet', 'Sanrio', 'Miracle Bus']","None found,","['Studio Comet', 'Zexcs']",Original,"['Fantasy', 'Romance']","['Anthropomorphic', 'Mahou Shoujo']",,25 min. per ep.,PG - Children,7.46,#2125,#6169,"12,436",104,4056,"Momona is an ordinary junior-high school student hailing from Jewel Land. At her cousin's wedding, she envies the bride, Lady Diana, due to the fact that she is marrying the cousin who she had a slight crush on. However, once she sees Lady Diana and her cousin together, Momona begins to like her, and accepts her as her cousin's bride. Just as Lady Diana is about to properly meet her and introduce herself, Momona is transported to a snowy place in Jewel Land where the ruler, Lady Jewel, is giving a speech to the Petit Ladies, girls who are chosen as Jewel Candidates to be the next Lady Jewel. Momona meets her partner and mentor, Ruby, a white rabbit, who will guide her through the tasks in becoming Lady Jewel. Whoever passes the most tasks wins and becomes the next Lady Jewel, but standing in her way is Lillian, a girl who also aims to win the title of Lady Jewel, so she can choose her brother, Cayenne, to be her King alongside her. Momona soon also begins to fall in love with Cayenne, yet Lillian doesn't want her to get too close to him. Cayenne also seems to harbor feelings for Momona, but who will be chosen in the end as Lady Jewel to decide it all? And will Momona and Lillian ever become true friends and will Cayenne and Momona ever be together? (Source: Wikipedia)","['Adaptation (Manga) Lady Jewelpet', '']",Lady Jewelpet,,,,,,
74,,フューチャーカード バディファイト,Future Card Buddyfight,['TV'],64,Finished Airing,"Jan 4, 2014 to Apr 4, 2015",['Winter 2014'],Saturdays at 08:00 (JST),['Bushiroad'],"None found,","['Xebec', 'OLM']",Card game,,,,24 min. per ep.,PG - Children,6.73,#5741,#6278,"11,886",53,5574,"An adaptation of the Future Card Buddyfight card game. Future Card Buddyfight takes place in a more futuristic version of today. The card game connects to a parallel universe through special cards (Buddy Rare Cards) that act as portals. They bring monsters to Earth in order for them to become buddies with humans. Through friendship and courage, they take on and fight challenges, known as Buddyfights, where people of all ages have friendly non-hurtful competitions. The main character, Gaou Mikado has just started Buddyfighting. As the story progresses, Buddyfights are seeming to become a little too real...","['Sequel (TV) Future Card Buddyfight Hundred', 'Adaptation (Manga) Future Card Buddyfight']",Future Card Buddyfight,,['Strategy Game'],,,,
75,Hometown Rebuilding: Folktales from Japan,ふるさと再生 日本の昔ばなし,Folktales from Japan,['TV'],258,Finished Airing,"Apr 1, 2012 to Mar 26, 2017",['Spring 2012'],Sundays at 09:00 (JST),"['TV Tokyo', 'Sony Music Entertainment', 'Peter Pan Creation']","None found,",['Tomason'],Other,,,['Kids'],24 min. per ep.,G - All Ages,6.93,#4667,#6444,"11,151",26,2789,"Like in any culture, Japanese kids grow up listening to the stories repeatedly told by their parents and grandparents. The boy born from a peach; the princess from the moon who is discovered inside a bamboo; the old man who can make a dead cherry tree blossom, etc. These short stories that teach kids to see both the dark and bright sides of life have passed traditional moral values from generation to generation. Each half-hour episode of Folktales from Japan consists of three self-contained stories, well-known and unknown, with a special focus on heartwarming stories that originate from Tohoku, the northern region heavily touched by the earthquake of 2011. May this program help cheer up earthquake victims and cast a light of hope for them? (Source: Crunchyroll)","['Sequel (TV) Furusato Meguri: Nippon no Mukashibanashi', '']",Furusato Saisei: Nippon no Mukashibanashi,Folktales from Japan,['Historical'],Folktales from Japan,Historias Tradicionales Japonesas para la Reconstrucción de los Pueblos,['Supernatural'],
76,"Keroro Gunsou TV 2, Keroro Gunsou (2014)",ケロロ,,['TV'],23,Finished Airing,"Mar 22, 2014 to Sep 6, 2014",['Spring 2014'],Unknown,"None found,","None found,",['Sunrise'],['Manga'],"['Comedy', 'Sci-Fi']",,['Shounen'],3 min. per ep.,PG-13 - Teens 13 or older,6.90,#4827,#6702,"10,171",28,4112,Second TV (flash animated) series of Keroro Gunsou.,"['Adaptation (Manga) Keroro Gunsou', '']",Keroro,,,,,,
77,,マジンボーン,,['TV'],52,Finished Airing,"Apr 1, 2014 to Mar 31, 2015",['Spring 2014'],Unknown,"None found,","None found,",['Toei Animation'],Game,,,,22 min. per ep.,PG-13 - Teens 13 or older,6.63,#6324,#6725,"10,123",34,3917,"Anime adaptation of Majin Bone, a digital card game project. Majin, the creator of the Universe, has been resurrected in the present day. Shougo Ryuujin, an ordinary high school student who transforms into the Bone Fighter Dragonbone with the Bone Card in order to save Earth. Together, with the other White Bone warriors take a stand against the Dark Bone, a foe that has appeared from darkness to devastate Earth. However, ""could the true enemy be ourselves?"" (Source: ANN)","['Adaptation (Manga) Majin Bone', '']",Majin Bone,,['Strategy Game'],,,,
78,Roughneck Sumo Wrestler!! Matsutarou,暴れん坊力士！！松太郎,Rowdy Sumo Wrestler Matsutaro!!,['TV'],23,Finished Airing,"Apr 6, 2014 to Sep 28, 2014",['Spring 2014'],Unknown,"None found,","None found,",['Toei Animation'],['Manga'],,,['Seinen'],22 min. per ep.,PG-13 - Teens 13 or older,6.07,#9577,#6772,"9,960",12,4497,"Matsutarou Sakaguchi is a giant roughneck man with strength far beyond ordinary people. He never uttered words like ""work hard,"" ""strive,"" and ""dream"" like the typical shounen manga protagonist. However, he is stronger than anyone and peerless in sumo wrestling. His greatest weakness is his own carefree personality. He grows into a full-fledged sumo wrestler. (Source: ANN)","['Adaptation (Manga) Notari Matsutarou', '']",Abarenbou Rikishi!! Matsutarou,Rowdy Sumo Wrestler Matsutaro,['Combat Sports'],Rowdy Sumo Wrestler Matsutaro,Notari Matsutarō,['Sports'],
