,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,French,Genre,Themes,Demographic,Spanish,Demographics
0,"Hyou-ka, Hyouka: You can't escape, Hyou-ka: You can't escape, Hyoka",氷菓,Hyouka,['TV'],22,Finished Airing,"Apr 23, 2012 to Sep 17, 2012",['Spring 2012'],Mondays at 00:00 (JST),"['Lantis', 'Kadokawa Shoten', 'KlockWorx', 'chara-ani.com', 'Animation Do']",['Funimation'],['Kyoto Animation'],Novel,"['Mystery', 'Slice of Life']",['School'],25 min. per ep.,PG-13 - Teens 13 or older,8.06,#582,#96,"1,423,308","27,721",665199,"High school freshman Houtarou Oreki has but one goal: to lead a gray life while conserving as much energy as he can. Unfortunately, his peaceful days come to an end when his older sister, Tomoe, forces him to save the memberless Classics Club from disbandment. Luckily, Oreki's predicament seems to be over when he heads to the clubroom and discovers that his fellow first-year, Eru Chitanda, has already become a member. However, despite his obligation being fulfilled, Oreki finds himself entangled by Chitanda's curious and bubbly personality, soon joining the club of his own volition. Soon enough, the club's membership grows to four, as Oreki's friends Satoshi Fukube and Mayaka Ibara join. Driven by Chitanda's insatiable curiosity, the members of the Classics Club solve the trivial yet intriguing mysteries that permeate their daily lives. [Written by MAL Rewrite]","['Adaptation (Manga) Hyouka', 'Adaptation (Novel) Koten-bu Series']",Hyouka,,,,,,,
1,"Kuroko no Basuke, KuroBas, The Basketball Which Kuroko Plays",黒子のバスケ,Kuroko's Basketball,['TV'],25,Finished Airing,"Apr 8, 2012 to Sep 22, 2012",['Spring 2012'],Sundays at 01:58 (JST),"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Mainichi Broadcasting System', 'Banpresto', 'Shueisha', 'BS11']","None found,",['Production I.G'],['Manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,8.05,#593,#117,"1,251,720","21,310",738364,"For the last three years, Teikou Middle School has dominated the national basketball scene with its legendary lineup: the ""Generation of Miracles."" It consisted of five prodigies who excelled at the sport, but a ""Phantom Sixth Man"" lurked in the shadows and helped earn the team their revered status. Eventually, their monstrous growth jaded them from the sport they loved and made them go their separate ways in high school. In search of new members, the Seirin High School basketball team recruits Taiga Kagami and Tetsuya Kuroko, two freshmen who seem to have significant differences in abilities. Having returned recently from America, Kagami has both a natural aptitude and relentless love for the sport. Meanwhile, Kuroko lacks presence and exhibits no outstanding athletic talent. However, it is later revealed that he is Teikou's Phantom Sixth Man—the player once part of the Generation of Miracles. Kuroko wants to prove to the Seirin team that he is strong in his own way. Seeing his conviction, Kagami forms a dynamic partnership with Kuroko, the latter promising to support Kagami's ""light"" as his ""shadow."" Alongside their new Seirin teammates, they aim to conquer the upcoming Interhigh championship, but the reappearance of Kuroko's former teammates complicates their plan. [Written by MAL Rewrite]","['Prequel (Special) Kuroko no Basket: Tip Off', 'Sequel (TV) Kuroko no Basket 2nd Season', 'Adaptation (Manga) Kuroko no Basket', '']",Kuroko no Basket,Kuroko’s Basketball,Kuroko's Basket,['Sports'],"['School', 'Team Sports']",['Shounen'],,
2,Fate/Zero Second Season,フェイト/ゼロ 2ndシーズン,Fate/Zero Season 2,['TV'],12,Finished Airing,"Apr 8, 2012 to Jun 24, 2012",['Spring 2012'],Sundays at 00:00 (JST),"['Aniplex', 'Nitroplus', 'Seikaisha', 'Notes']",['Aniplex of America'],['ufotable'],['Light novel'],"['Action', 'Fantasy']",['Urban Fantasy'],24 min. per ep.,R - 17+ (violence & profanity),8.54,#125,#136,"1,151,260","20,545",731254,"As the Fourth Holy Grail War rages on with no clear victor in sight, the remaining Servants and their Masters are called upon by Church supervisor Risei Kotomine, in order to band together and confront an impending threat that could unravel the Grail War and bring about the destruction of Fuyuki City. The uneasy truce soon collapses as Masters demonstrate that they will do anything in their power, no matter how despicable, to win. Seeds of doubt are sown between Kiritsugu Emiya and Saber, his Servant, as their conflicting ideologies on heroism and chivalry clash. Meanwhile, an ominous bond forms between Kirei Kotomine, who still seeks to find his purpose in life, and one of the remaining Servants. As the countdown to the end of the war reaches zero, the cost of winning begins to blur the line between victory and defeat. [Written by MAL Rewrite]","['Prequel (TV) Fate/Zero', 'Sequel (TV) Fate/stay night', 'Sequel (Movie) Fate/stay night Movie: Unlimited Blade Works', 'Sequel (TV Special) Fate/stay night: Unlimited Blade Works Prologue']",Fate/Zero 2nd Season,Fate/Zero Staffel 2,Fate Zero Saison 2,,,,Fate/Zero Temporada 2,
3,Accelerated World,アクセル・ワールド,Accel World,['TV'],24,Finished Airing,"Apr 7, 2012 to Sep 22, 2012",['Spring 2012'],Saturdays at 00:30 (JST),"['Genco', 'Rakuonsha', 'Warner Bros. Japan', 'flying DOG', 'ASCII Media Works']",['VIZ Media'],['Sunrise'],['Light novel'],"['Action', 'Romance', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.20,#3342,#292,"729,643","3,895",394728,"Haruyuki Arita is an overweight, bullied middle schooler who finds solace in playing online games. But his life takes a drastic turn one day, when he finds that all his high scores have been topped by Kuroyukihime, the popular vice president of the student council. She then invites him to the student lounge and introduces him to ""Brain Burst,"" a program which allows the users to accelerate their brain waves to the point where time seems to stop. Brain Burst also functions as an augmented reality fighting game, and in order to get more points to accelerate, users must win duels against other players. However, if a user loses all their points, they will also lose access to Brain Burst forever. Kuroyukihime explains that she chose to show Haruyuki the program because she needs his help. She wants to meet the creator of Brain Burst and uncover the reason of why it was created, but that's easier said than done; to do so, she must defeat the ""Six Kings of Pure Color,"" powerful faction leaders within the game, and reach level 10, the highest level attainable. After the girl helps Haruyuki overcome the bullies that torment him, he vows to help her realize her goal, and so begins the duo's fight to reach the top. [Written by MAL Rewrite]","['Sequel (OVA) Accel World EX', 'Adaptation (Manga) Accel World Read Manga', 'Adaptation (Light Novel) Accel World Read Manga', '']",Accel World,,,,"['School', 'Video Game']",,,
4,,さんかれあ,Sankarea: Undying Love,['TV'],12,Finished Airing,"Apr 6, 2012 to Jun 29, 2012",['Spring 2012'],Fridays at 01:55 (JST),"['Lantis', 'Pony Canyon', 'TBS', 'Kodansha', 'BS-TBS']",['Funimation'],['Studio Deen'],['Manga'],"['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi']",['Love Polygon'],24 min. per ep.,R+ - Mild Nudity,7.27,#2984,#362,"636,785","2,774",323465,"Ever since he was a child, zombie-obsessed Chihiro Furuya has wanted an undead girlfriend. Soon enough, his love for all things zombie comes in handy when his cat Baabu gets run over, prompting Chihiro to try to make a resurrection potion and bring him back to life. During his endeavor, he sees a rich girl named Rea Sanka yelling into an old well every day about her oppressive life. After meeting and bonding with her, Chihiro is convinced by Rea to persevere in saving Baabu. Eventually, he succeeds with the help of the poisonous hydrangea flowers from Rea's family garden. Unaware of the potion's success and seeking to escape the burdens of her life, Rea drinks the resurrection potion, mistakenly thinking she will die. Though it doesn't kill her, the effects still linger and her death from a fatal accident causes her to be reborn as a zombie. With help from Chihiro, Rea strives to adjust to her new—albeit undead—life. For a boy wanting a zombie girlfriend, this situation would seem like a dream come true. But in Sankarea, Chihiro's life becomes stranger than usual as he deals with Rea's odd new cravings and the unforeseen consequences of her transformation. [Written by MAL Rewrite]","['Sequel (Special) Sankarea: Wagahai mo... Zombie de Aru...', 'Adaptation (Manga) Sankarea Read Manga']",Sankarea,Sankarea: Undying Love,,,,['Shounen'],,
5,Tasogare Otome x Amnesia,黄昏乙女×アムネジア,Dusk Maiden of Amnesia,['TV'],12,Finished Airing,"Apr 9, 2012 to Jun 25, 2012",['Spring 2012'],Mondays at 00:30 (JST),"['Square Enix', 'Media Factory']",['Sentai Filmworks'],['SILVER LINK.'],['Manga'],"['Horror', 'Mystery', 'Romance', 'Supernatural']",['School'],23 min. per ep.,R - 17+ (violence & profanity),7.81,#1010,#587,"418,570","4,700",187527,"Seikyou Private Academy, built on the intrigue of traditional occult myths, bears a dark past—for 60 years, it has been haunted by a ghost known as Yuuko, a young woman who mysteriously died in the basement of the old school building. With no memory of her life or death, Yuuko discreetly finds and heads the Paranormal Investigations Club in search of answers. A chance meeting leads Yuuko to cling to diligent freshman Teiichi Niiya, who can see the quirky ghost. They quickly grow close, and he decides to help her. Along with Kirie Kanoe, Yuuko's relative, and the oblivious second year Momoe Okonogi, they delve deep into the infamous Seven Mysteries of the storied school. [Written by MAL Rewrite]","['Sequel (Special) Tasogare Otome x Amnesia: Taima Otome', 'Adaptation (Manga) Tasogare Otome x Amnesia']",Tasogare Otome x Amnesia,Dusk Maiden of Amnesia,Dusk Maiden of Amnesia,,,['Shounen'],Dusk Maiden of Amnesia,
6,"Sakamichi no Aporon, Apollo on the Slope",坂道のアポロン,Kids on the Slope,['TV'],12,Finished Airing,"Apr 13, 2012 to Jun 29, 2012",['Spring 2012'],Fridays at 00:45 (JST),"['Dentsu', 'Fuji TV', 'TOHO', 'DAX Production', 'Sony Music Entertainment']",['Sentai Filmworks'],"['Tezuka Productions', 'MAPPA']",['Manga'],"['Drama', 'Romance']",,22 min. per ep.,PG-13 - Teens 13 or older,8.29,#292,#620,"400,261","7,167",177308,"Introverted classical pianist and top student Kaoru Nishimi has just arrived in Kyushu for his first year of high school. Having constantly moved from place to place since his childhood, he abandons all hope of fitting in, preparing himself for another lonely, meaningless year. That is, until he encounters the notorious delinquent Sentarou Kawabuchi. Sentarou's immeasurable love for jazz music inspires Kaoru to learn more about the genre, and as a result, he slowly starts to break out of his shell, making his very first friend. Kaoru begins playing the piano at after-school jazz sessions, located in the basement of fellow student Ritsuko Mukae's family-owned record shop. As he discovers the immense joy of using his musical talents to bring enjoyment to himself and others, Kaoru's summer might just crescendo into one that he will remember forever. Sakamichi no Apollon is a heartwarming story of friendship, music, and love that follows three unique individuals brought together by their mutual appreciation for jazz. [Written by MAL Rewrite]","['Adaptation (Manga) Sakamichi no Apollon', '']",Sakamichi no Apollon,Kids on the Slope,Kids on the Slope,,"['Historical', 'Love Polygon', 'Music', 'School']",['Josei'],Kids on the Slope,
7,"Kore wa Zombie Desu ka? 2, Koreha Zombie Desu ka? Jigokuhen, Kore ha Zombie Desu ka? Jigokuhen, Kore wa Zombie Desu ka? Jigokuhen, Kore wa Zombie Desuka? of the Dead",これはゾンビですか? OF THE DEAD,Is This a Zombie? of the Dead,['TV'],10,Finished Airing,"Apr 5, 2012 to Jun 7, 2012",['Spring 2012'],Thursdays at Unknown,"['Kadokawa Shoten', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx', 'flying DOG']",['Funimation'],['Studio Deen'],['Light novel'],"['Action', 'Comedy', 'Fantasy', 'Ecchi']",,24 min. per ep.,R - 17+ (violence & profanity),7.47,#2073,#649,"387,088",733,221165,"Aikawa Ayumu was revived as a zombie by the cute necromancer Eucliwood Hellscythe. After the zany, madcap adventures in the first season of Is This a Zombie? ended, Ayumu thought his life might finally get back to normal, or as normal as it can be for a zombie. However, destiny has other plans for him. Some guys just can't catch a break. (Source: FUNimation)","['Prequel (OVA) Kore wa Zombie desu ka? OVA', 'Sequel (OVA) Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu', 'Adaptation (Manga) Kore wa Zombie desu ka? Read Manga', 'Adaptation (Manga) Kore wa Zombie desu ka? Hai, Anata no Yome desu']",Kore wa Zombie desu ka? of the Dead,,,,"['Harem', 'Urban Fantasy', 'Vampire']",,,
8,,ヨルムンガンド,Jormungand,['TV'],12,Finished Airing,"Apr 11, 2012 to Jun 27, 2012",['Spring 2012'],Wednesdays at 00:30 (JST),"['Geneon Universal Entertainment', 'Shogakukan-Shueisha Productions']",['Funimation'],['White Fox'],['Manga'],"['Action', 'Adventure']",,24 min. per ep.,R+ - Mild Nudity,7.79,#1068,#661,"379,417","3,169",157999,"Brought up in a conflict-ridden environment, child soldier Jonathan ""Jonah"" Mar hates weapons and those who deal them. But when Koko Hekmatyar, an international arms dealer, takes on Jonah as one of her bodyguards, he has little choice but to take up arms. Along with Koko's other bodyguards, composed mostly of former special-ops soldiers, Jonah is now tasked with protecting Koko and her overly idealistic goal of world peace from the countless dangers that come from her line of work. Jormungand follows Koko, Jonah, and the rest of crew as they travel the world selling weapons under the international shipping company HCLI. As Koko's work is illegal under international law, she is forced to constantly sidestep both local and international authorities while doing business with armies, private militaries, and militias. With the CIA always hot on her trail, and assassins around every corner, Jonah and the crew must guard Koko and her dream of world peace with their lives or die trying. [Written by MAL Rewrite]","['Sequel (TV) Jormungand: Perfect Order', 'Adaptation (Manga) Jormungand']",Jormungand,,,,"['Adult Cast', 'Military', 'Organized Crime']",['Seinen'],,
9,"Nyarko-san: Another Crawling Chaos, Haiyoru! Nyaruko-san",這いよれ！ニャル子さん,Nyaruko: Crawling With Love!,['TV'],12,Finished Airing,"Apr 10, 2012 to Jun 26, 2012",['Spring 2012'],Unknown,"['TV Tokyo', 'Avex Entertainment', 'Sotsu', 'KlockWorx', 'Cospa', 'SoftBank Creative', 'Studio Mausu', 'Bulls Eye']","['NIS America, Inc.']",['Xebec'],['Light novel'],"['Comedy', 'Sci-Fi']",['Parody'],24 min. per ep.,PG-13 - Teens 13 or older,6.97,#4535,#688,"365,821","1,338",155818,"Mahiro Yasaka is just an ordinary high school student, until one day he is suddenly attacked by a dangerous monster. Just when everything seems to be lost, he is saved by a silver-haired girl named Nyaruko, who claims to be the shape-shifting deity Nyarlathotep from horror author H. P. Lovecraft's Cthulhu Mythos, sent by the Space Defense Agency to Earth. She explains to Mahiro that the creature chasing him was an alien called Nightgaunt, who had planned on abducting and selling him as a slave. After rescuing him from the alien, the Lovecraftian deity falls madly in love with Mahiro and forces herself into his household, much to his chagrin. Moreover, they are soon joined by two others from the fictional universe: Cthuko, a girl obsessed with Nyaruko, and Hasuta, a young boy easily mistaken for a beautiful female. Together, the three eccentric aliens protect Mahiro from the various extraterrestrial dangers that threaten both his and Earth's well-being, all the while making his life a living hell. [Written by MAL Rewrite]","['Sequel (TV) Haiyore! Nyaruko-san W', 'Adaptation (Manga) Haiyore! Nyaruko-san', 'Adaptation (Light Novel) Haiyore! Nyaruko-san', '']",Haiyore! Nyaruko-san,Nyarko-san: Another Crawling Chaos,Nyarko-san: Another Crawling Chaos,,,,,
