,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Genre,Themes,Demographics
0,"Tengen Toppa Gurren-Lagann, Making Break-Through Gurren Lagann, Heavenly Breakthrough Gurren Lagann, TTGL, Gurren Laggan",天元突破グレンラガン,Gurren Lagann,Gurren Lagann,Gurren Lagann,Gurren Lagann,['TV'],27,Finished Airing,"Apr 1, 2007 to Sep 30, 2007",['Spring 2007'],Sundays at 08:30 (JST),"['TV Tokyo', 'Aniplex', 'Dentsu', 'Konami', 'Half H.P Studio', 'Bandai']","['ADV Films', 'Bandai Entertainment', 'Aniplex of America']",['Gainax'],Original,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi']",['Mecha'],24 min. per ep.,PG-13 - Teens 13 or older,8.63,#84,#67,"1,676,619","80,895",930772,"Simon and Kamina were born and raised in a deep, underground village, hidden from the fabled surface. Kamina is a free-spirited loose cannon bent on making a name for himself, while Simon is a timid young boy with no real aspirations. One day while excavating the earth, Simon stumbles upon a mysterious object that turns out to be the ignition key to an ancient artifact of war, which the duo dubs Lagann. Using their new weapon, Simon and Kamina fend off a surprise attack from the surface with the help of Yoko Littner, a hot-blooded redhead wielding a massive gun who wanders the world above. In the aftermath of the battle, the sky is now in plain view, prompting Simon and Kamina to set off on a journey alongside Yoko to explore the wastelands of the surface. Soon, they join the fight against the ""Beastmen,"" humanoid creatures that terrorize the remnants of humanity in powerful robots called ""Gunmen."" Although they face some challenges and setbacks, the trio bravely fights these new enemies alongside other survivors to reclaim the surface, while slowly unraveling a galaxy-sized mystery. [Written by MAL Rewrite]","['Adaptation (Manga) Tengen Toppa Gurren Lagann', '']",Tengen Toppa Gurren Lagann,,,,
1,DTB,Darker than BLACK -黒の契約者-,Darker than Black,Darker Than Black,,Darker than Black,['TV'],25,Finished Airing,"Apr 6, 2007 to Sep 28, 2007",['Spring 2007'],Fridays at 01:25 (JST),"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'Myrica Music', 'Fonishia']",['Funimation'],['Bones'],Original,"['Action', 'Mystery', 'Sci-Fi']",['Super Power'],24 min. per ep.,R - 17+ (violence & profanity),8.05,#605,#178,"974,576","16,760",445296,"It has been 10 years since Heaven's Gate appeared in South America and Hell's Gate appeared in Japan, veiling the once familiar night sky with an oppressive skyscape. Their purposes unknown, these Gates are spaces in which the very laws of physics are ignored. With the appearance of the Gates emerged Contractors, who, in exchange for their humanity, are granted supernatural abilities. In the Japanese city surrounding Hell's Gate, Section 4 Chief Misaki Kirihara finds herself at odds with an infamous Contractor codenamed Hei. Called ""Black Reaper"" in the underground world, Hei, like his associates, undertakes missions for the mysterious and ruthless Syndicate while slowly peeling back the dark layers covering a nefarious plot that threatens the very existence of Contractors. From the mind of Tensai Okamura comes a sci-fi thriller taking the form of a subtle exposé on a war in which political positions and justice have no sway—a war waged exclusively in the shadows. [Written by MAL Rewrite]","['Sequel (Special) Darker than Black: Kuro no Keiyakusha Gaiden', 'Adaptation (Manga) Darker than Black: Kuro no Keiyakusha']",Darker than Black: Kuro no Keiyakusha,,,,
2,,クレイモア,Claymore,,,,['TV'],26,Finished Airing,"Apr 4, 2007 to Sep 26, 2007",['Spring 2007'],Wednesdays at 01:26 (JST),"['VAP', 'Avex Entertainment', 'Nippon Television Network', 'D.N. Dream Partners']",['Funimation'],['Madhouse'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Gore'],23 min. per ep.,R+ - Mild Nudity,7.73,#1208,#315,"695,403","8,620",335585,"When a shapeshifting demon with a thirst for human flesh, known as ""youma,"" arrives in Raki's village, a lone woman with silver eyes walks into town with only a sword upon her back. She is a ""Claymore,"" a being manufactured as half-human and half-youma, for the express purpose of exterminating these monsters. After Raki's family is killed, the Claymore saves his life, but he is subsequently banished from his home. With nowhere else to go, Raki finds the Claymore, known as Clare, and decides to follow her on her journeys. As the pair travel from town to town, defeating youma along the way, more about Clare's organization and her fellow warriors comes to light. With every town cleansed and every demon destroyed, they come closer to the youma on which Clare has sought vengeance ever since she chose to become a Claymore. [Written by MAL Rewrite]","['Adaptation (Manga) Claymore', '']",Claymore,['Shounen'],,,
3,Lucky Star,らき☆すた,Lucky☆Star,,,,['TV'],24,Finished Airing,"Apr 8, 2007 to Sep 17, 2007",['Spring 2007'],Mondays at 00:00 (JST),"['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'KlockWorx', 'Lucky Paradise']","['Funimation', 'Bandai Entertainment', 'Kadokawa Pictures USA']",['Kyoto Animation'],['4-koma manga'],,,24 min. per ep.,PG-13 - Teens 13 or older,7.75,#1151,#334,"671,404","12,754",331151,"Lucky☆Star follows the daily lives of four cute high school girls—Konata Izumi, the lazy otaku; the Hiiragi twins, Tsukasa and Kagami (sugar and spice, respectively); and the smart and well-mannered Miyuki Takara. As they go about their lives at school and beyond, they develop their eccentric and lively friendship and making humorous observations about the world around them. Be it Japanese tradition, the intricacies of otaku culture, academics, or the correct way of preparing and eating various foods—no subject is safe from their musings. [Written by MAL Rewrite]","['Sequel (OVA) Lucky☆Star: Original na Visual to Animation', 'Adaptation (Manga) Lucky☆Star']",Lucky☆Star,,['Comedy'],"['CGDCT', 'Gag Humor', 'Otaku Culture', 'School']",
4,"Love★Com, Love Com",ラブ★コン,Lovely Complex,Lovely Complex,Lovely Complex,Lovely Complex,['TV'],24,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",['Spring 2007'],Saturdays at 17:30 (JST),"['TBS', 'TAP', 'Sony Music Entertainment', 'Shueisha', 'Nichion']",['Discotek Media'],['Toei Animation'],['Manga'],"['Comedy', 'Romance']",['School'],24 min. per ep.,PG-13 - Teens 13 or older,8.03,#628,#374,"617,207","10,571",303575,"Love is unusual for Risa Koizumi and Atsushi Ootani, who are both striving to find their ideal partner in high school—172 cm tall Koizumi is much taller than the average girl, and Ootani is much shorter than the average guy at 156 cm. To add to their plights, their crushes fall in love with each other, leaving Koizumi and Ootani comically flustered and heartbroken. To make matters worse, they're even labeled as a comedy duo by their homeroom teacher due to their personalities and the stark difference in their heights, and their classmates even think of their arguments as sketches. Lovely★Complex follows Koizumi and Ootani as they encourage each other in finding love and become close friends. Apart from their ridiculous antics, they soon find out an unexpected similarity in their music and fashion tastes. Maybe they possess a chemistry yet unknown, but could love ever bloom between the mismatched pair? [Written by MAL Rewrite]","['Adaptation (Manga) Lovely★Complex', '']",Lovely★Complex,['Shoujo'],,,
5,"Kaze no Seikon, Stigma of the Wind",風のスティグマ,Kaze no Stigma,,,,['TV'],24,Finished Airing,"Apr 13, 2007 to Sep 21, 2007",['Spring 2007'],Fridays at 01:30 (JST),"None found,",['Funimation'],['Gonzo'],['Light novel'],"['Action', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.15,#3606,#518,"464,833","1,965",241334,"Kazuma Yagami is a user of ""Fuujutsu,"" the ability to control the wind. He returns to his old home, the noble Kannagi household, after being banished four years ago for his inability to control fire and his subsequent defeat in a duel at the hands of his younger cousin, Ayano Kannagi. Returning after such a brutal exile already gives rise to many conflicts, but to make matters worse, several Kannagi family members have recently been murdered with Fuujutsu. This leads the Kannagi family, including the hot-headed Ayano, to suspect Kazuma as the culprit. Now, Kazuma must not only clear his name, but also aid the family he shares a mutual hatred with, in order to discover the true identity of the killer. [Written by MAL Rewrite]","['Adaptation (Manga) Kaze no Stigma: Kouen no Miko', 'Adaptation (Light Novel) Kaze no Stigma']",Kaze no Stigma,,,,
6,,アフロサムライ,Afro Samurai,,,,['TV'],5,Finished Airing,"May 3, 2007 to May 4, 2007",['Spring 2007'],Unknown,"['Dentsu', 'Victor Entertainment', 'Pony Canyon', 'Fuji TV']",['Funimation'],['Gonzo'],['Manga'],"['Action', 'Adventure']",,26 min. per ep.,R+ - Mild Nudity,7.37,#2473,#640,"392,201","2,033",209104,"When he was a young boy, Afro witnessed his father be cut down in a duel at the hands of a man known only as Justice. After taking the life of Afro's father, Justice cast aside his Number Two headband and took the Number One to claim its godly powers as his own. Years later, having obtained the Number Two headband which grants him the right to challenge the Number One, Afro moves forward in his hunt for revenge on the man who murdered his father. There is just one thing that stands in his way—everyone else in the world! Though the Number One can only be challenged by the Number Two, the Number Two can be challenged by anyone. As his enemies gather to try and take the title of Number Two, Afro must fight through a myriad of foes and obstacles if he hopes to reach the Number One and claim vengeance once and for all. [Written by MAL Rewrite]","['Sequel (Movie) Afro Samurai: Resurrection', 'Adaptation (Manga) Afro Samurai']",Afro Samurai,,,"['Gore', 'Samurai']",
7,The Inland Sea Bride,瀬戸の花嫁,My Bride is a Mermaid,,My Bride is a Mermaid,,['TV'],26,Finished Airing,"Apr 2, 2007 to Oct 1, 2007",['Spring 2007'],Mondays at 02:00 (JST),"['TV Tokyo', 'Square Enix', 'Sotsu']",['Funimation'],"['Gonzo', 'AIC']",['Manga'],"['Comedy', 'Romance', 'Supernatural']",,24 min. per ep.,PG-13 - Teens 13 or older,7.65,#1410,#762,"337,628","3,003",147531,"During his summer vacation, middle school student Nagasumi Michishio travels to the Seto Inland Sea. One day, while swimming at Mio Sun Beach, his leg suddenly cramps. No one is close enough to notice his desperate screams for help, and so he sinks into the ocean, where he is left to drown alone. Just as he loses consciousness, however, a mermaid appears and saves his life. That night, Nagasumi is visited by his savior, a girl who introduces herself as Sun Seto—a mermaid from a yakuza family. As it turns out, under mermaid law, a mermaid whose identity is revealed to a human must be punished by execution. To avoid this harrowing outcome, the Seto family propose a solution: Nagasumi must marry Sun or die at the hands of Gouzaburou, Sun's father and boss of the Seto clan. Faced with no other option, Nagasumi takes her hand in marriage. Now, the newlyweds face the difficult task of keeping their relationship secret. Between Gouzaburou's unending attempts on Nagasumi's life and the eccentric antics of a slew of antagonists, a genuine and innocent love blossoms between the pair as they adapt to their new life. [Written by MAL Rewrite]","['Sequel (OVA) Seto no Hanayome OVA', 'Adaptation (Manga) Seto no Hanayome']",Seto no Hanayome,['Shounen'],,"['Organized Crime', 'Parody', 'School']",
8,Hayate no Gotoku!,ハヤテのごとく！,Hayate the Combat Butler,Hayate the Combat Butler!,Hayate the Combat Butler!,Hayate the Combat Butler!,['TV'],52,Finished Airing,"Apr 1, 2007 to Mar 30, 2008",['Spring 2007'],Sundays at 10:00 (JST),"['TV Tokyo', 'Studio Tulip', 'Shogakukan Productions']","['Bandai Entertainment', 'Sentai Filmworks']",['SynergySP'],['Manga'],"['Action', 'Comedy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,7.50,#1976,#1127,"231,544","1,591",99445,"According to Murphy's Law, ""anything that can go wrong, will go wrong,"" and truer words cannot describe the unfortunate life of the hard-working Hayate Ayasaki. Abandoned by his parents after accumulating a debt of over one hundred fifty million yen, he is sold off to the yakuza, initiating his swift getaway from a future he does not want. On that fateful night, he runs into Nagi Sanzenin, a young girl whom he decides to try and kidnap to pay for his family's massive debt. Unfortunately, due to his kind-hearted nature and a string of misunderstandings, Nagi believes Hayate to be confessing his love to her. After saving her from real kidnappers, Hayate is hired as Nagi's personal butler, upon which she is revealed to be a member of one of the wealthiest families in Japan. Highly skilled but cursed with the world's worst luck, Hayate gets straight to work serving his employer all the while trying to deal with the many misfortunes that befall him. From taking care of a mansion to fending off dangerous foes, and even unintentionally wooing the hearts of the women around him, Hayate is in over his head in the butler comedy Hayate no Gotoku! [Written by MAL Rewrite]","['Sequel (OVA) Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!', 'Adaptation (Manga) Hayate no Gotoku!']",Hayate no Gotoku!,['Shounen'],,"['Harem', 'Parody']",
9,Guardian of the Sacred Spirit,精霊の守り人,Moribito - Guardian of the Spirit,Guardian of the Spirit,Moribito: Guardíán del Espíritu Sagrado,Moribito: Guardian Of The Spirit,['TV'],26,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",['Spring 2007'],Saturdays at 08:06 (JST),"['Dentsu', 'NHK Enterprises', 'Geneon Entertainment', 'Fonishia']","['VIZ Media', 'Media Blasters', 'Sentai Filmworks', 'Geneon Entertainment USA']",['Production I.G'],Novel,"['Action', 'Adventure', 'Fantasy']",,25 min. per ep.,PG-13 - Teens 13 or older,8.12,#496,#1155,"225,889","2,801",78642,"On the precipice of a cataclysmic drought, the Star Readers of the Shin Yogo Empire must devise a plan to avoid widespread famine. It is written in ancient myths that the first emperor, along with eight warriors, slew a water demon to avoid a great drought and save the land that was to become Shin Yogo. If a water demon was to appear once more, its death could bring salvation. However, the water demon manifests itself within the body of the emperor's son, Prince Chagum—by the emperor's order, Chagum is to be sacrificed to save the empire. Meanwhile, a mysterious spear-wielding mercenary named Balsa arrives in Shin Yogo on business. After saving Chagum from a thinly veiled assassination attempt, she is tasked by Chagum's mother to protect him from the emperor and his hunters. Bound by a sacred vow she once made, Balsa accepts. Seirei no Moribito follows Balsa as she embarks on her journey to protect Chagum, exploring the beauty of life, nature, family, and the bonds that form between strangers. [Written by MAL Rewrite]","['Adaptation (Manga) Seirei no Moribito', 'Adaptation (Manga) Yami no Moribito', 'Adaptation (Light Novel) Moribito Series', '']",Seirei no Moribito,,,,
