,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,French,Theme,German,Themes,Genre,Demographics
10,,鋼鉄天使くるみ,Steel Angel Kurumi,['TV'],24,Finished Airing,"Oct 5, 1999 to Apr 4, 2000",['Fall 1999'],Tuesdays at 19:00 (JST),['Pony Canyon'],['ADV Films'],['OLM'],['Manga'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance']",,15 min. per ep.,R+ - Mild Nudity,6.74,#5682,#4584,"26,415",72,10767,"During Japan's Taisho Era (1912-1926), a scientist named Ayanokoji developed the Steel Angel - an artificial humanoid with superhuman physical abilities. While the Imperial Army wanted to use the Steel Angel as a new means of modern warfare, Ayanokoji wanted his creation to be a new step in the future of mankind. Thus, he defied orders from the Army and secretly made the Steel Angel codenamed ""Kurumi"". Then one day, a young boy named Nakahito Kagura snuck into Ayanokoji's house as a dare by his friends and stumbled upon Kurumi's lifeless body. A sudden attack by the Imperial Army shook the house, causing Kurumi to fall on Nakahito. At that moment, their lips met, and Kurumi woke up from ""the kiss that started a miracle"". (Source: ANN)","['Sequel (TV) Koutetsu Tenshi Kurumi 2', 'Adaptation (Manga) Koutetsu Tenshi Kurumi']",Koutetsu Tenshi Kurumi,,"Kurumi, l'Ange d'Acier",,,"['Historical', 'Mecha', 'Military']",,
11,Sorcerous Stabber Orphen Revenge,魔術士オーフェンRevenge,Orphen 2: Revenge,['TV'],23,Finished Airing,"Oct 2, 1999 to Mar 25, 2000",['Fall 1999'],Saturdays at 17:00 (JST),"['Kadokawa Shoten', 'TBS']","['ADV Films', 'Sentai Filmworks']",['J.C.Staff'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.75,#5606,#5193,"19,565",25,7742,Orphen and his gang has set out on an all new adventure with many monsters to battle and no peace and quiet. But a new friend has joined the group. Her name Lycorus who was sent to find Orphen. Many mysterious shadows are overhanging over head. (Source: ANN),"['Prequel (TV) Majutsushi Orphen', '']",Majutsushi Orphen: Revenge,,,,,,,
12,"Jibaku-kun: Twelve World Story, Bucky: Searching for world 0, Bucky",ジバクくん,Bucky: The Incredible Kid,['TV'],26,Finished Airing,"Oct 5, 1999 to Mar 28, 2000",['Fall 1999'],Tuesdays at 18:30 (JST),['TV Tokyo'],['Enoki Films'],['Trans Arts'],['Manga'],"['Adventure', 'Comedy', 'Fantasy']",,22 min. per ep.,PG-13 - Teens 13 or older,7.34,#2633,#5843,"14,345",69,6792,"Bucky, the protagonist of the history, is a normal boy that lives in the first world. He lives with a single and humble ambition: to dominate the world (in the sense of the whole planet). He is very certain and he would certainly die to reach his dream. One day he meets with Spark, the Great Child of Primas (World One). Spark is known as the strongest Great Child of all of the worlds, and he is a successor's search. After finding Bucky and talk a little with him, Spark without apparent reason choose Bucky his successor. Bucky has just become a Great Child and to win the company of Jibaki, the spirit of the first world. (Source: Wikipedia)","['Adaptation (Manga) Jibaku-kun', '']",Jibaku-kun,,,,,,,
13,"Ningyou Zoushi Ayatsuri Sakon, Puppet Master Sakon, Tales of Puppetmaster Sakon",人形草紙あやつり左近,,['TV'],26,Finished Airing,"Oct 8, 1999 to Mar 31, 2000",['Fall 1999'],Tuesdays at 18:30 (JST),['WOWOW'],"None found,",['TMS Entertainment'],['Manga'],"['Mystery', 'Suspense']",['Shounen'],25 min. per ep.,R - 17+ (violence & profanity),7.34,#2634,#6075,"12,942",63,3737,"The dark-haired bishounen is Sakon Tachibana, a puppeteer, and the other is Ukon, his favorite puppet, and best friend. Sakon is the (only) grandson of Saemon Tachibana, a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them. (Source: AnimeNfo)","['Adaptation (Manga) Karakurizoushi Ayatsuri Sakon', '']",Karakuri Zoushi Ayatsuri Sakon,,,['Detective'],,,,
14,,サイバーシックス,Cybersix,['TV'],13,Finished Airing,"Sep 6, 1999 to Nov 29, 1999",['Fall 1999'],Mondays at 20:30 (JST),['Tokyo Movie Shinsha'],['Discotek Media'],['Telecom Animation Film'],Other,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.20,#3349,#6261,"11,998",79,3916,"Anime based upon the original Argentine graphic novel series of the same name. The story follows the titular character who is a genetically engineered super-soldier; one of the creations of Dr. Von Reichter's diabolic experiments. (The fictional) Von Reichter is actually a former Nazi who conducted horrendous experiments during the second world war. He flees to South America where he continues his experiments which culminate in the creation of the ""Cybers,"" one of which happens to be Cybersix. However, since the Cybers exhibit free will at an young age (an undesired trait), Von Reichter destroys all the Cybers to prevent a rebellion. In the present day, Cybersix is one of the Cybers who managed to escape and is living a quiet life under the alias of ""Adrian Seidelman""; however, she finds out that her survival is dependent on a special substance that Von Reichter created and thus she is forced to hunt down the ""Technos,"" a newer generation of super-soldiers created by him, in order to survive. Unintentionally, in the process, Cybersix becomes a superhero protecting the world from Dr. Von Reichter's creations and his evil plans.",[],Cybersix,,,,,,,
15,"Dai-Guard, Daiguard",地球防衛企業ダイ・ガード,Dai-Guard: Terrestrial Defense Corp.,['TV'],26,Finished Airing,"Oct 5, 1999 to Mar 28, 2000",['Fall 1999'],Tuesdays at 18:00 (JST),"['TV Tokyo', 'Sotsu', 'Victor Entertainment', 'TV Tokyo Music']","['ADV Films', 'Discotek Media']",['Xebec'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.10,#3896,#6616,"10,540",34,3461,"Thirteen years after their sudden disappearance, an alien race known as the Heterodyne resurface without warning. To combat the Heterodyne, three office workers from the 21st Century Security Corporation operate Dai-Guard - a giant robot no longer regarded as an oversized paperweight. Unfortunately, Dai-Guard is somewhat obsolete and in disrepair. It's a tough job, but salarymen can also save the world. (Source: ANN)",[],Chikyuu Bouei Kigyou Dai-Guard,,Terrestorial Defense Corp. Dai-Guard,,,"['Mecha', 'Military']",,
16,,サイボーグクロちゃん,,['TV'],66,Finished Airing,"Oct 2, 1999 to Jan 6, 2001",['Fall 1999'],Saturdays at 08:00 (JST),"['Public & Basic', 'Imagine']","None found,",['Studio Bogey'],['Manga'],"['Comedy', 'Sci-Fi']",,25 min. per ep.,PG - Children,7.15,#3644,#6739,"10,120",66,4846,"Kuro is just an ordinary cat who only wants to protect his owners who are an old couple that can't fend for themselves. One day while on a date with his girlfriend Pooly who is a dog, he is kidnapped by an evil scientist and turned into a robot. Kuro somehow removes the chip that controlled him and notices that people get scared with his new robotic appearance and that he can now talk like a human. He decides to disguise himself with the skin of a stuffed toy and to continue living as a pet. (Source: ANN)","['Adaptation (Manga) Cyborg Kuro-chan', '']",Cyborg Kuro-chan,,,,,,,
17,,ワイルドアームズ トワイライトヴェノム,Wild Arms,['TV'],22,Finished Airing,"Oct 18, 1999 to Mar 27, 2000",['Fall 1999'],Mondays at 19:00 (JST),"['Aniplex', 'WOWOW', 'SME Visual Works', 'Sony Interactive Entertainment']",['ADV Films'],['Bee Train'],Game,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,22 min. per ep.,PG-13 - Teens 13 or older,6.62,#6368,#7055,"9,033",14,3499,"This anime is based on a playstation game under the same title. The story is about four people who travel the desolated land of Filgaea and carve themselves a legendary story while they're at it. These adventurers are Sheyenne Rainstorm, a gunslinger who holds the legendary weapon called ARMs; Kiel Aromax, a scientist who looks like he should be carrying a sword; Roleta Oratorio the Crest Sorceress, a magic-user who uses cards called Crests to cast spells; and Mirabelle Graceland, one of the Noble Red, which are a family of vampiric creatures who live alongside human beings They also travel with cute little intelligent furry things, from the Popepi Pipepo Tribe, named Isaac and Jerusha. (Source: AniDB)",[],Wild Arms: Twilight Venom,,Wild Arms,['Vampire'],,,,
18,"Dangerous Girl, Miss Critical Moment, Ippatsu Kikimusume",イッパツ危機娘,,['TV'],16,Finished Airing,"Oct 5, 1999 to Oct 29, 1999",['Fall 1999'],Not scheduled once per week,['TBS'],"None found,",['Group TAC'],['Manga'],"['Action', 'Comedy', 'Ecchi']",,3 min. per ep.,R+ - Mild Nudity,6.19,#8915,#7440,"7,868",10,2956,Kunyan lives her crazy life of misadventures from episode to episode. This comedy series is accompanied by a narrator who scientifically explains all that happens to her.,"['Adaptation (Manga) Ippatsu Kiki Musume', '']",Ippatsu Kiki Musume,,,,,,,
19,,セラフィムコール,,['TV'],12,Finished Airing,"Oct 6, 1999 to Dec 22, 1999",['Fall 1999'],Thursdays at 01:45 (JST),"['d-rights', 'TV Tokyo Music', 'Banpresto']",['Media Blasters'],['Sunrise'],Original,"['Drama', 'Romance', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.21,#8789,#7859,"6,892",12,2027,"What's it like to feel like an average girl in everything.​.. except for your one special gift.​ Eleven young hearts with eleven dreams.​ Deep in their hearts,​ each girl has a secret dream of love and sadness.​ They meet together at Acropolis Tower to see if their dreams will come true.​ Imagine what happens when eleven average girls with eleven special talents join together to make the world a better place! (Source: Media Blasters)",[],Seraphim Call,,,,,,,
