,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Genre,Demographics
0,"Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains 2nd Season, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 2nd Season, Kaguya-sama: Love is War 2nd Season",かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,Kaguya-sama: Love is War?,Kaguya-sama: Love Is War Staffel 2,Kaguya-sama: Love Is War? Temporada 2,Kaguya-sama: Love is War Saison 2,['TV'],12,Finished Airing,"Apr 11, 2020 to Jun 27, 2020",['Spring 2020'],Saturdays at 23:30 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],['A-1 Pictures'],['Manga'],"['Comedy', 'Romance']",['School'],['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,8.62,#91,#98,"1,404,803","18,881",899930,"After a slow but eventful summer vacation, Shuchiin Academy's second term is now starting in full force. As August transitions into September, Miyuki Shirogane's birthday looms ever closer, leaving Kaguya Shinomiya in a serious predicament as to how to celebrate it. Furthermore, the tenure of the school's 67th student council is coming to an end. Due to the council members being in different classes, the only time Kaguya and Miyuki have to be together will soon disappear, putting all of their cunning plans at risk. A long and difficult election that will decide the fate of the new student council awaits, as multiple challengers fight for the coveted title of president. [Written by MAL Rewrite]","['Prequel (TV) Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'Sequel (TV) Kaguya-sama wa Kokurasetai: Ultra Romantic', 'Adaptation (Manga) Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', '']",Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,,,
1,"Sin-ui Tap, 신의 탑",神之塔 -Tower of God-,Tower of God,Tower of God,Tower of God,Tower of God,['TV'],13,Finished Airing,"Apr 2, 2020 to Jun 25, 2020",['Spring 2020'],Thursdays at 00:30 (JST),"['Sega', 'Crunchyroll', 'Rialto Entertainment', 'Sola Entertainment', 'Naver Webtoons', 'IRMA LA DOUCE']",['VIZ Media'],['Telecom Animation Film'],['Web manga'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.56,#1709,#167,"1,007,274","6,836",582602,"There is a tower that summons chosen people called ""Regulars"" with the promise of granting their deepest desires. Whether it be wealth, fame, authority, or something that surpasses them all—everything awaits those who reach the top. Twenty-Fifth Bam is a boy who had only known a dark cave, a dirty cloth, and an unreachable light his entire life. So when a girl named Rachel came to him through the light, his entire world changed. Becoming close friends with Rachel, he learned various things about the outside world from her. But when Rachel says she must leave him to climb the Tower, his world shatters around him. Vowing to follow after her no matter what it takes, he sets his sight on the tower, and a miracle occurs. Thus begins the journey of Bam, a young boy who was not chosen by the Tower but opened its gates by himself. They call his kind ""Irregulars""—beings that have shaken the very foundation of the Tower each time they set foot inside it. [Written by MAL Rewrite]","['Sequel (TV) Kami no Tou: Ouji no Kikan', 'Adaptation (Manhwa) Tower of God']",Kami no Tou,,,
2,Shokugeki no Soma 5th Season,食戟のソーマ 豪ノ皿,Food Wars! The Fifth Plate,Food Wars! The Fifth Plate,Food Wars! The Fifth Plate,Food Wars! Fifth Plate,['TV'],13,Finished Airing,"Apr 11, 2020 to Sep 26, 2020",['Spring 2020'],Saturdays at 00:30 (JST),"['Warner Bros. Japan', 'KlockWorx', 'Shueisha', 'Bandai Namco Arts']",['Sentai Filmworks'],['J.C.Staff'],['Manga'],"['Gourmet', 'Ecchi']",['School'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.31,#2764,#423,"556,389","1,423",281343,"Thanks to Souma Yukihira, Erina Nakiri, and the rebel forces overthrowing the regime of Azami Nakiri—the previous school director—and the former Elite Ten, Tootsuki Culinary Academy is back in order. However, its students have one more great battle ahead of them: the BLUE, a competition where young chefs seeking world-class fame compete. Faced with new trials and rivals, Souma and his friends will fight to conquer the BLUE and to defeat Asahi Saiba, the leader of an underworld organization of chefs known as Noir, who once defeated Souma and his father in a Shokugeki. [Written by MAL Rewrite]","['Prequel (TV) Shokugeki no Souma: Shin no Sara', 'Adaptation (Manga) Shokugeki no Souma']",Shokugeki no Souma: Gou no Sara,,,
3,"Fruits Basket (2019) 2nd Season, Furuba, Fruits Basket (Kouhen)",フルーツバスケット 2nd season,Fruits Basket 2nd Season,Fruits Basket Staffel 2,Fruits Basket Temporada 2,Fruits Basket Sasion 2,['TV'],25,Finished Airing,"Apr 7, 2020 to Sep 22, 2020",['Spring 2020'],Tuesdays at 01:30 (JST),"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",['Funimation'],['TMS Entertainment'],['Manga'],"['Drama', 'Romance', 'Supernatural']",['School'],['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,8.54,#126,#434,"541,500","6,236",279066,"A year has passed since Tooru Honda began living in the Souma residence, and she has since created stronger relationships with its inhabitants Shigure, Kyou, and Yuki. She has also grown closer to the rest of the Souma family and has become familiar with their ancestral secret, having helped them with many of their personal issues. The closer Tooru gets, however, the more she begins to realize that their secret holds a darker truth than she first presumed. Summer is approaching and Tooru is invited to spend her days with the Soumas, mainly Kyou and Yuki. Tooru wishes for an easy-going vacation, but her close relationships with the two boys and the rest of the Soumas may prove to cause trouble. As they grow more intimate, their carefree time together is hindered by older hardships and feelings from the past that begin to resurface. The Eternal Banquet also dawns on the members of the zodiac, and they must tend to their duties alongside the unnerving head of the family, Akito Souma. With the banquet approaching and a plethora of feelings to be solved, will Tooru's life with the Soumas remain peaceful, or will she find herself in a situation from which she cannot escape? [Written by MAL Rewrite]","['Prequel (TV) Fruits Basket 1st Season', 'Sequel (TV) Fruits Basket: The Final', 'Adaptation (Manga) Fruits Basket', '']",Fruits Basket 2nd Season,,,
4,,グレイプニル,Gleipnir,Glepnir,,,['TV'],13,Finished Airing,"Apr 5, 2020 to Jun 28, 2020",['Spring 2020'],Sundays at 23:30 (JST),"['Kodansha', 'bilibili', 'Good Smile Film']",['Funimation'],['PINE JAM'],['Manga'],"['Action', 'Mystery', 'Ecchi']",['Super Power'],['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),6.96,#4546,#461,"512,010","1,975",237311,"Shuuichi Kagaya is what one would consider an average high school student, but sometimes, he turns into a monster. He doesn't know how or why he got his abilities, only that he would prefer no one knows about them. One night, he finds a building ablaze with a girl trapped inside. Deciding to save her, he transforms and carries her to safety, but accidentally drops his phone. The next day, the girl he saved—Claire Aoki—finds him and confronts him about his monster identity. She even goes so far as to push him off the school roof to prove her theory after Shuuichi denies her allegations. Desperate to save himself, he transforms, and Claire snaps a picture in order to blackmail him into telling her everything he knows about monsters, which, ironically, isn't much. As it turns out, Claire has a secret of her own: she has been searching for her sister, who also became a monster. She enlists Shuuichi's help to track her down, but they aren't the only ones searching for answers. [Written by MAL Rewrite]","['Adaptation (Manga) Gleipnir', '']",Gleipnir,,,
5,"Hamefura, I Reincarnated into an Otome Game as a Villainess With Only Destruction Flags…, Destruction Flag Otome",乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,My Next Life as a Villainess: All Routes Lead to Doom!,My Next Life as a Villainess: Wie überlebe ich in einem Dating-Game?,My Next Life as a Villainess: All Routes Lead to Doom!,My Next Life as a Villainess: All Routes Lead to Doom!,['TV'],12,Finished Airing,"Apr 5, 2020 to Jun 21, 2020",['Spring 2020'],Sundays at 01:30 (JST),"['Mainichi Broadcasting System', 'Asmik Ace', 'King Records', 'Ichijinsha', 'Nichion']",['Crunchyroll'],['SILVER LINK.'],['Light novel'],"['Comedy', 'Fantasy', 'Romance']",,['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.45,#2138,#496,"479,016","3,104",257579,"Most people would prefer being the protagonist of a world full of adventure, be it in a game or in another world. But, unfortunately, a certain girl is not so lucky. Regaining the memories of her past life, she realizes that she was reborn in the world of Fortune Lover—one of the games she used to play. Unfortunately, the character she was reincarnated into—Catarina Claes—is the game's main antagonist, who faces utter doom in every ending. Using her extensive knowledge of the game, she takes it upon herself to escape from the chains of this accursed destiny. However, this will not be an easy feat, especially since she needs to be cautious as to not set off death flags that may speed up the impending doom she is trying to avoid. Even so, to make a change that will affect the lives of everyone around her, she strives—not as the heroine—but as the villainess. [Written by MAL Rewrite]","['Sequel (TV) Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X', 'Adaptation (Manga) Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...', 'Adaptation (Light Novel) Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...', '']",Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,"['Isekai', 'Reverse Harem', 'School', 'Villainess']",,
6,,富豪刑事 Balance:UNLIMITED,The Millionaire Detective – Balance: Unlimited,,,,['TV'],11,Finished Airing,"Apr 10, 2020 to Sep 25, 2020",['Spring 2020'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Animax', 'Movic', 'Fuji TV', 'Sonilude']",['Aniplex of America'],['CloverWorks'],Novel,,,,23 min. per ep.,PG-13 - Teens 13 or older,7.51,#1924,#532,"450,105","3,005",206025,"Daisuke Kanbe, a man of extraordinary wealth, is assigned to the Modern Crime Prevention Headquarters as a detective. It is there that he gets partnered with Haru Katou, a humane detective who values justice above all. The two are polar opposites, and their morals clash time and time again. Haru despises Daisuke for using monetary wealth to solve cases, as he believes that money is not everything. They will have to combine their efforts, however, to solve the mysteries that are coming their way. [Written by MAL Rewrite]",[],Fugou Keiji: Balance:Unlimited,"['Adult Cast', 'Detective']",['Mystery'],
7,Brand New Animal,BNA ビー・エヌ・エー,BNA: Brand New Animal,,,,['TV'],12,Finished Airing,"Apr 9, 2020 to Jun 25, 2020",['Spring 2020'],Thursdays at 00:55 (JST),"['Movic', 'Fuji TV', 'Ultra Super Pictures', 'BS Fuji', 'TOHO animation', 'Hakuhodo DY Media Partners', 'Bandai Spirits', 'Toho Music']","None found,",['Trigger'],Original,"['Action', 'Fantasy']",,,22 min. per ep.,PG-13 - Teens 13 or older,7.34,#2628,#653,"383,096","2,712",211054,"Throughout history, humans have been at odds with Beastmen—a species capable of changing shape due to their genetic ""Beast Factor."" Because of this conflict, Beastmen have been forced into hiding. Anima City serves as a safe haven for these oppressed individuals to live free from human interference. During a festival celebrating the town's 10th anniversary, Michiru Kagemori, a human who suddenly turned into a tanuki, finds that Anima City is a far cry from paradise. After witnessing an explosion in the square, she is confronted by Shirou Ogami, a seemingly indestructible wolf and sworn protector of all Beastmen. As they pursue the criminals behind the bombing, the two discover that Michiru is anything but an ordinary Beastman, and look to investigate her mysterious past and uncanny abilities. Could she turn out to be the missing link between Humans and Beastmen? [Written by MAL Rewrite]","['Adaptation (Manga) BNA', '']",BNA,"['Anthropomorphic', 'Urban Fantasy']",,
8,"Hidden Things, Kakushigoto: My Dad's Secret Ambition",かくしごと,Kakushigoto,,,,['TV'],12,Finished Airing,"Apr 2, 2020 to Jun 18, 2020",['Spring 2020'],Thursdays at 23:30 (JST),"['Dentsu', 'Marvelous Entertainment', 'Kodansha', 'AT-X', 'Studio Mausu', 'Tokyo MX', 'Avex Pictures', 'A-Sketch']",['Funimation'],['Ajia-do'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.97,#706,#746,"339,789","2,121",143950,"Kakushi Gotou is a somewhat popular manga artist whose works are known for inappropriate content. Because of this raunchiness, when his daughter Hime was born, he vowed to keep his profession hidden from her, believing that she will be disillusioned if she finds out. This paranoia-induced belief leads Kakushi into hectic situations. Despite being a single father, he does his best and often resorts to extreme ends just to protect his secret, such as guising as a salaryman every day or holding emergency drills in case Hime somehow finds her way to his workplace. Kakushigoto tells the story of a father and daughter living side by side, maintaining their peaceful existence as the father attempts to preserve the status quo. However, there is a saying: ""there are no secrets that time cannot reveal."" In time, Hime must learn the reality behind the things she took for granted as she grew up. [Written by MAL Rewrite]","['Adaptation (Manga) Kakushigoto', '']",Kakushigoto,"['Childcare', 'Gag Humor', 'Otaku Culture', 'Workplace']",['Comedy'],
9,,イエスタデイをうたって,"Sing ""Yesterday"" for Me","Sing ""Yesterday"" for Me","Sing ""Yesterday"" for Me","Sing ""Yesterday"" for Me",['TV'],12,Finished Airing,"Apr 5, 2020 to Jun 21, 2020",['Spring 2020'],Sundays at 01:30 (JST),"['TV Asahi', 'Sotsu', 'Delfi Sound', 'Lucent Pictures Entertainment', 'CyberAgent', 'AbemaTV', 'DMM.futureworks']","None found,",['Doga Kobo'],['Manga'],"['Drama', 'Romance']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.87,#4993,#798,"320,785","1,361",147198,"Rikuo Uozumi has all but resigned himself to a bleak future, aimlessly working at a convenience store in Tokyo after graduating from college. His monotonous life is interrupted when the peculiar Haru Nonaka makes a lively appearance, frequently dropping by his workplace to befriend him. When Rikuo learns that an old college friend and crush, Shinako Morinome, has moved back into town, he reaches out to further their relationship. Unbeknownst to Rikuo however, Shinako is carrying painful memories from her past that were holding her back from accepting his feelings. Meanwhile, as Haru continually opens up to Rikuo, he discovers that she, much like him, is living by herself and wants to step out of her comfort zone into an uncertain future. The past lingers long in the mind, and the future remains elusive. At a crossroads along their intertwined paths, these three experience what it means to let go of their feelings of yesterday and embrace the change that tomorrow brings. [Written by MAL Rewrite]","['Adaptation (Manga) Yesterday wo Utatte', '']",Yesterday wo Utatte,"['Adult Cast', 'Love Polygon']",,
