,MAL_id,Title,Score
0,16498,Shingeki_no_Kyojin,
1,31952,Kono_Bijutsu-bu_ni_wa_Mondai_ga_Aru,
2,22319,Tokyo_Ghoul,
3,16067,Nagi_no_Asu_kara,
4,150,Blood_,
5,21995,Ao_Haru_Ride,
6,18507,Free,
7,6045,Kimi_ni_Todoke,
8,15051,Love_Live_School_Idol_Project,
9,33206,Kobayashi-san_Chi_no_Maid_Dragon,
10,30276,One_Punch_Man,
11,17409,Suki_tte_Ii_na_yo__Mei_and_Marshmallow,
12,28927,Owari_no_Seraph__Nagoya_Kessen-hen,
13,26243,Owari_no_Seraph,
14,6164,Aoi_Hana,
15,21405,Bokura_wa_Minna_Kawai-sou,
16,24913,Bokura_wa_Minna_Kawai-sou__Hajimete_no,
17,23755,Nanatsu_no_Taizai,
18,1535,Death_Note,
19,1222,Bokura_ga_Ita,
20,2001,Tengen_Toppa_Gurren_Lagann,
21,855,Strawberry_Panic,
22,34525,Centaur_no_Nayami,
23,28851,Koe_no_Katachi,
24,24973,Bokura_wa_Minna_Kawai-sou_Specials,
25,34566,Boruto__Naruto_Next_Generations,
26,1,Cowboy_Bebop,
27,6747,Dance_in_the_Vampire_Bund,
28,5630,Higashi_no_Eden,
29,34280,Gamers,
30,20583,Haikyuu,
31,16528,Hal,
32,4713,Heart_no_Kuni_no_Alice__Wonderful_Wonder_World,
33,8768,Hiyokoi,
34,33899,IDOLiSH7,
35,10408,Hotarubi_no_Mori_e,
36,25681,Kamisama_Hajimemashita%E2%97%8E,
37,10152,Kimi_ni_Todoke__Kataomoi,
38,9656,Kimi_ni_Todoke_2nd_Season,
39,7054,Kaichou_wa_Maid-sama,
40,5030,Maria%E2%80%A0Holic,
41,24211,Orenchi_no_Furo_Jijou,
42,35363,Kobayashi-san_Chi_no_Maid_Dragon__Valentine_Soshite_Onsen_-_Amari_Kitai_Shinaide_Kudasai,
43,31964,Boku_no_Hero_Academia,
44,14227,Tonari_no_Kaibutsu-kun,
45,16866,Tonari_no_Kaibutsu-kun__Tonari_no_Gokudou-kun,
46,19815,No_Game_No_Life,
47,34136,Orange__Mirai,
48,325,Peach_Girl,
49,164,Mononoke_Hime,
50,31414,Nijiiro_Days,
51,440,Shoujo_Kakumei_Utena,
52,28497,Rokka_no_Yuusha,
53,199,Sen_to_Chihiro_no_Kamikakushi,
54,4224,Toradora,
55,34902,Tsurezure_Children,
56,585,Mimi_wo_Sumaseba,
57,35159,Kimi_no_Hikari__Asagao_to_Kase-san,
