,MAL_id,Title,Score
0,54112,Zom_100__Zombie_ni_Naru_made_ni_Shitai_100_no_Koto,
1,1689,Byousoku_5_Centimeter,8.0
2,32998,91_Days,9.0
3,34777,91_Days__Toki_no_Asase_Subete_no_Kinou_Ashita_Mata_Ashita,6.0
4,35839,Sora_yori_mo_Tooi_Basho,10.0
5,28851,Koe_no_Katachi,8.0
6,35413,Imouto_sae_Ireba_Ii,9.0
7,34984,Koi_wa_Ameagari_no_You_ni,8.0
8,34881,Aho_Girl,7.0
9,101,Air,6.0
10,656,Air_in_Summer,8.0
11,32951,Rokudenashi_Majutsu_Koushi_to_Akashic_Records,5.0
12,34051,Akibas_Trip_The_Animation,5.0
13,34350,Alice_to_Zouroku,6.0
14,6547,Angel_Beats,9.0
15,10067,Angel_Beats_Another_Epilogue,8.0
16,9062,Angel_Beats_Specials,7.0
17,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,9.0
18,15039,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie,9.0
19,33203,Fukumenkei_Noise,5.0
20,33475,Busou_Shoujo_Machiavellianism,7.0
21,37171,Asobi_Asobase,8.0
22,38002,Asobi_Asobase_Specials,7.0
23,37996,Asobi_Asobase__Cosplay_Taikai_Otona_no_Watashi_e,7.0
24,66,Azumanga_Daiou_The_Animation,9.0
25,659,Azumanga_Daiou__Gekijou_Tanpen,6.0
26,1593,Azumanga_Web_Daiou,7.0
27,9471,Baka_to_Test_to_Shoukanjuu__Matsuri,9.0
28,8516,Baka_to_Test_to_Shoukanjuu_Ni,9.0
29,6347,Baka_to_Test_to_Shoukanjuu,9.0
30,5081,Bakemonogatari,9.0
31,18153,Kyoukai_no_Kanata,6.0
32,23385,Kyoukai_no_Kanata__Shinonome,7.0
33,28675,Kyoukai_no_Kanata_Movie_2__Ill_Be_Here_-_Mirai-hen,7.0
34,889,Black_Lagoon,8.0
35,8440,Black_Lagoon_Omake,7.0
36,4901,Black_Lagoon__Robertas_Blood_Trail,6.0
37,1519,Black_Lagoon__The_Second_Barrage,7.0
38,7059,Black%E2%98%85Rock_Shooter_OVA,7.0
39,34618,Blend_S,7.0
40,14345,Btooom,7.0
41,30485,Ch%C3%A4oS_Child,6.0
42,34753,Ch%C3%A4oS_Child_Episode_0,7.0
43,34712,Kujira_no_Kora_wa_Sajou_ni_Utau,6.0
44,30296,Rakudai_Kishi_no_Cavalry,7.0
45,2167,Clannad,9.0
46,4181,Clannad__After_Story,9.0
47,6351,Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen,9.0
48,4059,Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen,9.0
49,35507,Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,6.0
50,8142,Colorful_Movie,5.0
51,22839,Cross_Road,9.0
52,11843,Danshi_Koukousei_no_Nichijou,9.0
53,12893,Danshi_Koukousei_no_Nichijou_Specials,7.0
54,14353,Death_Billiards,9.0
55,34497,Death_March_kara_Hajimaru_Isekai_Kyousoukyoku,5.0
56,28223,Death_Parade,8.0
57,36524,Dies_Irae__Reimei,4.0
58,5630,Higashi_no_Eden,7.0
59,6372,Higashi_no_Eden_Movie_I__The_King_of_Eden,7.0
