,MAL_id,Title,Score
0,37475,Kishuku_Gakkou_no_Juliet,8.0
1,30694,Dragon_Ball_Super,
2,6702,Fairy_Tail,8.0
3,37349,Goblin_Slayer,8.0
4,9289,Hanasaku_Iroha,
5,20,Naruto,8.0
6,21,One_Piece,10.0
7,37450,Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,9.0
8,32105,Sousei_no_Onmyouji,8.0
9,24405,World_Trigger,
10,17741,Kimi_no_Iru_Machi,5.0
11,11759,Accel_World,8.0
12,13939,Accel_World_EX,8.0
13,29785,Jitsu_wa_Watashi_wa,7.0
14,22199,Akame_ga_Kill,8.0
15,31764,Nejimaki_Seirei_Senki__Tenkyou_no_Alderamin,8.0
16,22147,Amagi_Brilliant_Park,8.0
17,31404,Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta,9.0
18,6547,Angel_Beats,9.0
19,24133,Taimadou_Gakuen_35_Shiken_Shoutai,7.0
20,8630,Hidan_no_Aria,8.0
21,24833,Ansatsu_Kyoushitsu,10.0
22,30654,Ansatsu_Kyoushitsu_2nd_Season,10.0
23,16498,Shingeki_no_Kyojin,9.0
24,8516,Baka_to_Test_to_Shoukanjuu_Ni,8.0
25,6347,Baka_to_Test_to_Shoukanjuu,9.0
26,10396,Ben-To,10.0
27,18153,Kyoukai_no_Kanata,8.0
28,269,Bleach,7.0
29,11633,Blood_Lad,8.0
30,30296,Rakudai_Kishi_no_Cavalry,8.0
31,15583,Date_A_Live,9.0
32,19163,Date_A_Live_II,9.0
33,225,Dragon_Ball_GT,7.0
34,813,Dragon_Ball_Z,9.0
35,22777,Dragon_Ball_Kai_2014,7.0
36,28171,Shokugeki_no_Souma,10.0
37,32282,Shokugeki_no_Souma__Ni_no_Sara,10.0
38,121,Fullmetal_Alchemist,10.0
39,5114,Fullmetal_Alchemist__Brotherhood,10.0
40,28907,Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri,9.0
41,31637,Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_Part_2,8.0
42,13535,Binbougami_ga,9.0
43,31859,Hai_to_Gensou_no_Grimgar,8.0
44,2001,Tengen_Toppa_Gurren_Lagann,10.0
45,10719,Boku_wa_Tomodachi_ga_Sukunai,7.0
46,14967,Boku_wa_Tomodachi_ga_Sukunai_Next,7.0
47,26023,Haiyore_Nyaruko-san_F,8.0
48,32542,Sakamoto_desu_ga,8.0
49,23269,Hello_Kiniro_Mosaic,7.0
50,270,Hellsing,9.0
51,777,Hellsing_Ultimate,8.0
52,31338,Hundred,6.0
53,28121,Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,9.0
54,14765,Ixion_Saga_DT,8.0
55,5680,K-On,7.0
56,28623,Koutetsujou_no_Kabaneri,8.0
57,6205,K%C3%A4mpfer,7.0
58,18679,Kill_la_Kill,10.0
59,16732,Kiniro_Mosaic,7.0
60,32899,Watashi_ga_Motete_Dousunda,8.0
61,34104,Knights___Magic,8.0
62,8876,Koe_de_Oshigoto_The_Animation,7.0
63,11887,Kokoro_Connect,8.0
64,30831,Kono_Subarashii_Sekai_ni_Shukufuku_wo,8.0
65,11771,Kuroko_no_Basket,8.0
66,16894,Kuroko_no_Basket_2nd_Season,8.0
67,24415,Kuroko_no_Basket_3rd_Season,9.0
68,35557,Houseki_no_Kuni,10.0
69,17265,Log_Horizon,10.0
70,23321,Log_Horizon_2nd_Season,10.0
71,14741,Chuunibyou_demo_Koi_ga_Shitai,9.0
72,18671,Chuunibyou_demo_Koi_ga_Shitai_Ren,9.0
73,31741,Magi__Sinbad_no_Bouken_TV,10.0
74,18115,Magi__The_Kingdom_of_Magic,9.0
75,14513,Magi__The_Labyrinth_of_Magic,9.0
76,7054,Kaichou_wa_Maid-sama,9.0
77,9936,Maken-Ki,7.0
78,14833,Maoyuu_Maou_Yuusha,9.0
79,32182,Mob_Psycho_100,10.0
80,30307,Monster_Musume_no_Iru_Nichijou,8.0
81,23289,Gekkan_Shoujo_Nozaki-kun,9.0
82,31964,Boku_no_Hero_Academia,9.0
83,14227,Tonari_no_Kaibutsu-kun,8.0
84,19221,Ore_no_Nounai_Sentakushi_ga_Gakuen_Love_Comedy_wo_Zenryoku_de_Jama_Shiteiru,8.0
85,14813,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,9.0
86,31442,Musaigen_no_Phantom_World,8.0
87,18897,Nisekoi,8.0
88,27787,Nisekoi_,8.0
89,19815,No_Game_No_Life,10.0
90,20507,Noragami,9.0
91,30503,Noragami_Aragoto,9.0
92,11785,Haiyore_Nyaruko-san,8.0
93,15699,Haiyore_Nyaruko-san_W,8.0
94,31490,One_Piece_Film__Gold,10.0
95,12859,One_Piece_Film__Z,9.0
96,30276,One_Punch_Man,10.0
97,14199,Oniichan_dakedo_Ai_sae_Areba_Kankeinai_yo_ne,6.0
98,8769,Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai,7.0
99,13659,Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai,7.0
100,853,Ouran_Koukou_Host_Club,9.0
101,29803,Overlord,9.0
102,527,Pokemon,7.0
103,20159,Pokemon__The_Origin,9.0
104,6201,Princess_Lover,6.0
105,30240,Prison_School,8.0
106,31240,Re_Zero_kara_Hajimeru_Isekai_Seikatsu,10.0
107,1604,Katekyou_Hitman_Reborn,8.0
108,36038,Net-juu_no_Susume,9.0
109,30015,ReLIFE,10.0
110,23277,Saenai_Heroine_no_Sodatekata,10.0
111,20847,Seitokai_Yakuindomo,8.0
112,28927,Owari_no_Seraph__Nagoya_Kessen-hen,7.0
113,26243,Owari_no_Seraph,7.0
114,29786,Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai,8.0
115,12549,Dakara_Boku_wa_H_ga_Dekinai,7.0
116,18277,Strike_the_Blood,7.0
117,8675,Seitokai_Yakuindomo,8.0
118,11757,Sword_Art_Online,5.0
119,21881,Sword_Art_Online_II,6.0
120,29758,Taboo_Tattoo,5.0
121,32093,Tanaka-kun_wa_Itsumo_Kedaruge,9.0
122,30544,Gakusen_Toshi_Asterisk,8.0
123,31737,Gakusen_Toshi_Asterisk_2nd_Season,8.0
124,21863,Mangaka-san_to_Assistant-san_to_The_Animation,7.0
125,15809,Hataraku_Maou-sama,9.0
126,1195,Zero_no_Tsukaima,7.0
127,11319,Zero_no_Tsukaima_F,7.0
128,1840,Zero_no_Tsukaima__Futatsuki_no_Kishi,7.0
129,3712,Zero_no_Tsukaima__Princesses_no_Rondo,7.0
130,479,Ueki_no_Housoku,8.0
131,13759,Sakura-sou_no_Pet_na_Kanojo,10.0
132,23755,Nanatsu_no_Taizai,9.0
133,16706,Kami_nomi_zo_Shiru_Sekai__Megami-hen,8.0
134,4224,Toradora,8.0
135,30749,Saijaku_Muhai_no_Bahamut,6.0
136,16742,Watashi_ga_Motenai_no_wa_Dou_Kangaetemo_Omaera_ga_Warui,9.0
137,25159,Inou-Battle_wa_Nichijou-kei_no_Naka_de,9.0
138,28677,Yamada-kun_to_7-nin_no_Majo,9.0
139,32281,Kimi_no_Na_wa,10.0
140,481,Yu%E2%98%86Gi%E2%98%86Oh_Duel_Monsters,9.0
141,16067,Nagi_no_Asu_kara,
142,28851,Koe_no_Katachi,
143,31080,Anne_Happy%E2%99%AA,
144,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,
145,28883,Hidan_no_Aria_AA,
146,66,Azumanga_Daiou_The_Animation,
147,5081,Bakemonogatari,
148,3974,Tetsuwan_Birdy_Decode,
149,14075,Zetsuen_no_Tempest,
150,9919,Ao_no_Exorcist,
151,21995,Ao_Haru_Ride,
152,10800,Chihayafuru,
153,14397,Chihayafuru_2,
154,20031,D-Frag,
155,31636,Dagashi_Kashi,
156,6747,Dance_in_the_Vampire_Bund,
157,6746,Durarara,
158,31043,Boku_dake_ga_Inai_Machi,
159,227,FLCL,
160,31376,Flying_Witch,
161,28977,Gintama%C2%B0,
162,667,Kashimashi__Girl_Meets_Girl,
163,8425,Gosick,
164,20583,Haikyuu,
165,1852,Hidamari_Sketch,
166,22835,Himegoto,
167,26349,Danna_ga_Nani_wo_Itteiru_ka_Wakaranai_Ken,
168,19685,Kanojo_ga_Flag_wo_Oraretara,
169,16317,Ishida_to_Asakura,
170,6045,Kimi_ni_Todoke,
171,32937,Kono_Subarashii_Sekai_ni_Shukufuku_wo_2,
172,11179,Papa_no_Iukoto_wo_Kikinasai,
173,13655,Little_Busters,
174,32083,Luck___Logic,
175,5030,Maria%E2%80%A0Holic,
176,33487,Masamune-kun_no_Revenge,
177,11761,Medaka_Box,
178,330,Midori_no_Hibi,
179,28817,Mikagura_Gakuen_Kumikyoku_TV,
180,2963,Minami-ke,
181,8424,MM,
182,2104,Seto_no_Hanayome,
183,28297,Ore_Monogatari,
184,23847,Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku,
185,12467,Nazo_no_Kanojo_X,
186,33338,One_Piece__Heart_of_Gold,
187,1569,Otome_wa_Boku_ni_Koishiteru,
188,34161,Overlord_Movie_1__Fushisha_no_Ou,
189,31559,Prince_of_Stride__Alternative,
190,32485,Prison_School__Mad_Wax,
191,11499,Sankarea,
192,24765,Gakkougurashi,
193,33836,Seiren,
194,25835,Shirobako,
195,32175,Shounen_Maid,
196,79,Shuffle,
