,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genre,Demographics
0,"The Town Where Only I am Missing, BokuMachi",僕だけがいない街,Erased,"ERASED - Die Stadt, in der es mich nicht gibt -",Desaparecido,ERASED,['TV'],12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",['Winter 2016'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one']",['Aniplex of America'],['A-1 Pictures'],['Manga'],"['Mystery', 'Suspense']","['Psychological', 'Time Travel']",['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),8.30,#278,#29,"2,180,609","49,603",1413097,"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mysterious phenomenon, which he calls ""Revival,"" to save many lives. However, when he is wrongfully accused of murdering someone close to him, Satoru is sent back to the past once again, but this time to 1988, 18 years in the past. Soon, he realizes that the murder may be connected to the abduction and killing of one of his classmates, the solitary and mysterious Kayo Hinazuki, that took place when he was a child. This is his chance to make things right. Boku dake ga Inai Machi follows Satoru in his mission to uncover what truly transpired 18 years ago and prevent the death of his classmate while protecting those he cares about in the present. [Written by MAL Rewrite]","['Adaptation (Manga) Boku dake ga Inai Machi', '']",Boku dake ga Inai Machi,,,
1,Give Blessings to This Wonderful World!,この素晴らしい世界に祝福を！,KonoSuba: God's Blessing on This Wonderful World!,KonoSuba: God's Blessing on This Wonderful World!,KonoSuba: God's blessing on this wonderful world!,KonoSuba: God's Blessing on This Wonderful World!,['TV'],10,Finished Airing,"Jan 14, 2016 to Mar 17, 2016",['Winter 2016'],Thursdays at 01:05 (JST),"['Half H.P Studio', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House', 'Kadokawa']","['Discotek Media', 'Crunchyroll']",['Studio Deen'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody']",,23 min. per ep.,PG-13 - Teens 13 or older,8.10,#523,#38,"2,050,847","46,390",1325452,"After dying a laughable and pathetic death on his way back from buying a game, high school student and recluse Kazuma Satou finds himself sitting before a beautiful but obnoxious goddess named Aqua. She provides the NEET with two options: continue on to heaven or reincarnate in every gamer's dream—a real fantasy world! Choosing to start a new life, Kazuma is quickly tasked with defeating a Demon King who is terrorizing villages. But before he goes, he can choose one item of any kind to aid him in his quest, and the future hero selects Aqua. But Kazuma has made a grave mistake—Aqua is completely useless! Unfortunately, their troubles don't end here; it turns out that living in such a world is far different from how it plays out in a game. Instead of going on a thrilling adventure, the duo must first work to pay for their living expenses. Indeed, their misfortunes have only just begun! [Written by MAL Rewrite]","['Sequel (TV) Kono Subarashii Sekai ni Shukufuku wo! 2', 'Adaptation (Manga) Kono Subarashii Sekai ni Shukufuku wo!', 'Adaptation (Light Novel) Kono Subarashii Sekai ni Shukufuku wo!', '']",Kono Subarashii Sekai ni Shukufuku wo!,,,
2,"Ansatsu Kyoushitsu Season 2, Ansatsu Kyoushitsu Final Season",暗殺教室　第２期,Assassination Classroom Second Season,Assassination Classroom Staffel 2,Assassination Classroom Temporada 2,Assassination Classroom Saison 2,['TV'],25,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",['Winter 2016'],Fridays at 01:25 (JST),"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'Avex Pictures', 'Shueisha', 'Kansai Telecasting']",['Funimation'],['Lerche'],['Manga'],"['Action', 'Comedy']",,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.48,#152,#86,"1,494,356","17,739",928787,"Returning from their summer vacation, the students of Class 3-E at the prestigious Kunugigaoka Middle School find themselves up against unbeatable odds. Faced with the possibility of world annihilation, the students must come up with increasingly elaborate and creative ways to kill their teacher, the cunning yet optimistic and helpful Koro-sensei. However, eliminating Koro-sensei is not the only objective the students need to worry about. Gakuhou Asano, the academy's merciless and cruel principal, seeks to prevent Class 3-E's success by brainwashing his other hard-working pupils into ruthlessly competitive studying machines. Hostility begins to linger in the air as traitors and killers alike attempt to claim the bounty on Koro-sensei's head for themselves. Nagisa Shiota, one of Class 3-E's most skilled assassins, finds himself in the middle of the conflict. While he works to maintain his academic standing and prevent the end of the world, domestic affairs jeopardize his place in Class 3-E. Together with his dedicated classmates, he must now face the threats head-on. [Written by MAL Rewrite]","['Prequel (TV) Ansatsu Kyoushitsu', 'Adaptation (Manga) Ansatsu Kyoushitsu']",Ansatsu Kyoushitsu 2nd Season,['School'],,
3,"Grimgal of Ashes and Fantasies, Hai to Gensou no Grimgal",灰と幻想のグリムガル,Grimgar: Ashes and Illusions,"Grimgar, Ashes and Illusions",,Grimgar: Le Monde des Cendres et de Fantaisie,['TV'],12,Finished Airing,"Jan 11, 2016 to Mar 28, 2016",['Winter 2016'],Mondays at 00:30 (JST),['TOHO animation'],['Funimation'],['A-1 Pictures'],['Light novel'],"['Action', 'Adventure', 'Drama', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.66,#1403,#274,"766,594","6,516",392277,"Fear, survival, instinct. Thrown into a foreign land with nothing but hazy memories and the knowledge of their name, they can feel only these three emotions resonating deep within their souls. A group of strangers is given no other choice than to accept the only paying job in this game-like world—the role of a soldier in the Reserve Army—and eliminate anything that threatens the peace in their new world, Grimgar. When all of the stronger candidates join together, those left behind must create a party together to survive: Manato, a charismatic leader and priest; Haruhiro, a nervous thief; Yume, a cheerful hunter; Shihoru, a shy mage; Moguzo, a kind warrior; and Ranta, a rowdy dark knight. Despite its resemblance to one, this is no game—there are no redos or respawns; it is kill or be killed. It is now up to this ragtag group of unlikely fighters to survive together in a world where life and death are separated only by a fine line. [Written by MAL Rewrite]","['Adaptation (Manga) Hai to Gensou no Grimgar', 'Adaptation (Light Novel) Hai to Gensou no Grimgar']",Hai to Gensou no Grimgar,['Isekai'],,
4,Ajin,亜人,Ajin: Demi-Human,Ajin: Demi Human,Ajin: Semi Humano,Ajin Demi-Human,['TV'],13,Finished Airing,"Jan 16, 2016 to Apr 9, 2016",['Winter 2016'],Saturdays at 01:55 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'KlockWorx', 'Sony Music Communications', 'TOHO animation', 'King Records']",['Sentai Filmworks'],['Polygon Pictures'],['Manga'],"['Action', 'Horror', 'Mystery', 'Supernatural']",,['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),7.38,#2434,#383,"605,590","3,257",303638,"Mysterious immortal humans known as ""Ajin"" first appeared 17 years ago in Africa. Upon their discovery, they were labeled as a threat to mankind, as they might use their powers for evil and were incapable of being destroyed. Since then, whenever an Ajin is found within society, they are to be arrested and taken into custody immediately. Studying hard to become a doctor, Kei Nagai is a high schooler who knows very little about Ajin, only having seen them appear in the news every now and then. Students are taught that these creatures are not considered to be human, but Kei doesn't pay much attention in class. As a result, his perilously little grasp on this subject proves to be completely irrelevant when he survives an accident that was supposed to claim his life, signaling his rebirth as an Ajin and the start of his days of torment. However, as he finds himself alone on the run from the entire world, Kei soon realizes that more of his species may be a lot closer than he thinks. [Written by MAL Rewrite]","['Sequel (TV) Ajin Part 2', 'Adaptation (Manga) Ajin']",Ajin,['Gore'],,
5,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season, Gate: Thus the JSDF Fought There! Fire Dragon Arc, Gate: Jieitai Kanochi nite, Kaku Tatakaeri - Enryuu-hen",GATE（ゲート）自衛隊　彼の地にて、斯く戦えり　第2クール,GATE Part 2,GATE Staffel 2,GATE Temporada 2,Gate : Au-delà de la Porte,['TV'],12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",['Winter 2016'],Saturdays at 01:05 (JST),"['Genco', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Bandai Namco Games']",['Sentai Filmworks'],['A-1 Pictures'],['Light novel'],"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Military']",,23 min. per ep.,R - 17+ (violence & profanity),7.71,#1263,#404,"577,553","1,914",351611,"Several months have passed since the infamous Ginza Incident, with tensions between the Empire and JSDF escalating in the vast and mysterious ""Special Region"" over peace negotiations. The greed and curiosity of the global powers have also begun to grow, as reports about the technological limitations of the magical realm's archaic civilizations come to light. Meanwhile, Lieutenant Youji Itami and his merry band of female admirers struggle to navigate the complex political intrigue that plagues the Empire's court. Despite her best efforts, Princess Piña Co Lada faces difficulties attempting to convince her father that the JSDF has no intention of conquering their kingdom. Pressured from both sides of the Gate, Itami must consider even more drastic measures to fulfill his mission. [Written by MAL Rewrite]","['Prequel (TV) Gate: Jieitai Kanochi nite, Kaku Tatakaeri', 'Adaptation (Manga) Gate: Jieitai Kanochi nite, Kaku Tatakaeri', 'Adaptation (Novel) Gate: Jieitai Kanochi nite, Kaku Tatakaeri', '']","Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",,,
6,Musaigen no Phantom World,無彩限のファントム・ワールド,Myriad Colors Phantom World,Myriad Colors Phantom World,Myriad Colors Phantom World,Myriad Colors Phantom World,['TV'],13,Finished Airing,"Jan 7, 2016 to Mar 31, 2016",['Winter 2016'],Thursdays at 00:00 (JST),"['Lantis', 'Pony Canyon', 'Asahi Broadcasting']","['Funimation', 'Crunchyroll']",['Kyoto Animation'],['Light novel'],"['Action', 'Comedy', 'Fantasy', 'Ecchi']","['School', 'Urban Fantasy']",,24 min. per ep.,PG-13 - Teens 13 or older,6.85,#5072,#420,"566,029","1,367",250828,"Phantoms: supernatural entities such as ghosts or youkai that, until recently, were thought to be superstition. However, when a virus that infects the brain spreads throughout society, people's perception of the world changes as the mythical beings are revealed to have been living alongside humanity the entire time. This virus has also affected those of the next generation significantly, allowing them to develop special abilities that they can use to fight against dangerous phantoms. Haruhiko Ichijou and Mai Kawakami are two of those that were granted such power—Haruhiko wields the ability to summon and seal phantoms through drawings, while Mai imbues the power of the elements into martial arts. Together, along with the friendly phantom Ruru, they form Team E of Hosea Academy, which is dedicated to dealing with these often mischievous beings. In a world where the real and surreal intertwine, they handle the everyday troubles caused by phantoms. [Written by MAL Rewrite]","['Sequel (Special) Musaigen no Phantom World: Mizutama no Kiseki', 'Adaptation (Light Novel) Musaigen no Phantom World']",Musaigen no Phantom World,,,
7,Dagashikashi,だがしかし,Dagashi Kashi,,,,['TV'],12,Finished Airing,"Jan 8, 2016 to Apr 1, 2016",['Winter 2016'],Fridays at 02:16 (JST),"['Pony Canyon', 'TBS', 'DAX Production', 'BS-TBS', 'Shogakukan', 'Lawson', 'RAY', 'U-NEXT', 'Nichion']",['Funimation'],['feel.'],['Manga'],"['Comedy', 'Gourmet']",,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.60,#6471,#506,"472,604","1,025",205182,"Out in the countryside stands a sweet shop run by the Shikada family for nine generations: Shikada Dagashi, a small business selling traditional Japanese candy. However, despite his father's pleas, Kokonotsu Shikada, an aspiring manga artist, adamantly refuses to inherit the family business. However, this may start to change with the arrival of the eccentric Hotaru Shidare. Hotaru is in search of Kokonotsu's father, with the goal of bringing him back to work for her family's company, Shidare Corporation, a world famous sweets manufacturer. Although the senior Shikada initially refuses, he states that he will change his mind on one condition: if Hotaru can convince Kokonotsu to take over the family shop. And so begins Hotaru's mission to enlighten the boy on the true joy of delicious and nostalgic dagashi! [Written by MAL Rewrite]","['Sequel (TV) Dagashi Kashi 2', 'Adaptation (Manga) Dagashi Kashi']",Dagashi Kashi,,,
8,Saijaku Muhai no Bahamut,最弱無敗の神装機竜《バハムート》,Undefeated Bahamut Chronicle,Undefeated Bahamut Chronicle,Undefeated Bahamut Chronicle,Undefeated Bahamut Chronicle,['TV'],12,Finished Airing,"Jan 11, 2016 to Mar 28, 2016",['Winter 2016'],Mondays at 22:30 (JST),"['Lantis', 'Orange']",['Sentai Filmworks'],['Lerche'],['Light novel'],"['Action', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,6.52,#6939,#595,"414,213","1,078",205716,"Lux, a former prince of an empire named Arcadia that was overthrown via a rebellion five years earlier, accidentally trespasses in a female dormitory's bathing area, sees the kingdom's new princess Lisesharte naked, incurring her wrath. Lisesharte then challenges Lux to a Drag-Ride duel. Drag-Rides are ancient armored mechanical weapons that have been excavated from ruins all around the world. Lux used to be called the strongest Drag-Knight, but now he's known as the ""undefeated weakest"" Drag-Knight because he will absolutely not attack in battle. After his duel with Lisesharte, Lux ends up attending the female-only academy that trains royals to be Drag-Knights. (Source: ANN)","['Adaptation (Manga) Saijaku Muhai no Bahamut', 'Adaptation (Light Novel) Saijaku Muhai no Bahamut']",Saijaku Muhai no Bahamut,,,
9,Durarara!!x2 Ketsu,デュラララ!!×2 結,Durarara!! x2 Ketsu,,,,['TV'],12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",['Winter 2016'],Saturdays at 23:30 (JST),['Aniplex'],['Aniplex of America'],['Shuka'],['Light novel'],"['Action', 'Mystery', 'Supernatural']",,,24 min. per ep.,R - 17+ (violence & profanity),8.05,#612,#647,"389,671","1,080",191768,"As Mikado Ryuugamine continues to purge the Dollars from within in accordance with his warped sense of justice, Masaomi Kida hopes to bring his friend back to his senses by bringing the Yellow Scarves together once more. Little do they know that a far more dominant force is about to enter their struggle for power, one that their friend Anri Sonohara is all too familiar with. Meanwhile, the group that has gathered at Shinra Kishitani's apartment realizes that they are on the brink of something life-changing, an event that will throw Ikebukuro into a spiral of confusion. Their anxiety is realized when reports of Celty's head being found in public start to appear all over the news as Kasane Kujiragi begins to make her move. Gone are the brief periods of tranquility as the current turmoil sets the stage for one final performance in this thrilling conclusion to the story of Ikebukuro's finest. [Written by MAL Rewrite]","['Prequel (TV) Durarara!!x2 Ten', 'Adaptation (Manga) Durarara!! RE;Dollars-hen', 'Adaptation (Light Novel) Durarara!!', '']",Durarara!!x2 Ketsu,,,
