,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Synonyms,Theme,Demographics
37,アフリカのサラリーマン (TV),Africa Salaryman,,,,['TV'],12,Finished Airing,"Oct 7, 2019 to Dec 23, 2019",['Fall 2019'],Mondays at 00:30 (JST),"['Pony Canyon', 'Movic', 'Bandai Namco Live Creative', 'Ai Addiction', 'Sammy', 'Kadokawa Media House', 'Kadokawa', 'pH Studio']",['Funimation'],['HOTZIPANG'],['Web manga'],['Comedy'],"['Anthropomorphic', 'Workplace']",,23 min. per ep.,PG-13 - Teens 13 or older,6.55,#6778,#4462,"27,926",70,9980,"Africa no Salaryman is a slapstick workplace comedy that follows the adventures of kind Lion, jaded Lizard, and perverted Toucan, as they trudge through office life while also becoming caught up in antics no regular office worker should. Of course, most of these are the fault of Toucan, whose selfish actions and lack of filter still haven't gotten him fired. It's up to Lizard and Lion to keep themselves out of trouble and hang on to their jobs at the office. But trouble is never too far away from these savannah-treading folk. [Written by MAL Rewrite]","['Adaptation (Manga) Africa no Salaryman', '']",Africa no Salaryman (TV),,"Businessman in Africa (TV), African Office Worker (TV)",,
38,ファンタシースターオンライン2 エピソード・オラクル,Phantasy Star Online 2: Episode Oracle,,,,['TV'],25,Finished Airing,"Oct 7, 2019 to Mar 30, 2020",['Fall 2019'],Mondays at 22:30 (JST),"['Frontier Works', 'Pony Canyon', 'Sega', 'Tokyo MX', 'Sammy', 'Studio Kai', 'ADK Emotions', 'Sega Games']",['Funimation'],['Gonzo'],Game,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.50,#7113,#4511,"27,282",40,7103,"A TV anime adaptation of episode 1-3 out of 5 the total episodes from the Phantasy Star Online 2 game. Some anime-original content will be created as well. Episode 1: During their qualification exam in planet Naberius, the player and fellow ARKS trainee Afin were attacked by vile organisms known as Darkers. This is followed by the two discovering a mysterious girl who lost most of her memories, and the truth regarding Naberius and the recent spike of Darker activities. Episode 2: The plot follows the player and Matoi as they try to unravel a dark conspiracy regarding the origin and purpose of ARKS. Episode 3: The discovery of the planet Harukotan brought a new quest into the fray, as the peace between the Shironian and Kuronites that dwell in the planet is disturbed by the Kuronites' sudden attack. The newly-reformed ARKS is tasked to investigate the reason behind it all, and it seems like the truth is more complicated and horrifying than expected... (Source: phantasystar.fandom.com)","['Sequel (TV) Phantasy Star Online 2 The Animation', '']",Phantasy Star Online 2: Episode Oracle,"['Action', 'Sci-Fi']",,['Space'],
39,ACTORS -Songs Connection-,,,,,['TV'],12,Finished Airing,"Oct 6, 2019 to Dec 22, 2019",['Fall 2019'],Sundays at 23:30 (JST),"['Sotsu', 'Pony Canyon', 'AT-X', 'Nippon Television Network', 'Tokyo MX', 'JY Animation']",['Funimation'],['Drive'],Music,,"['Music', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,6.30,#8249,#5197,"19,481",80,5927,"Tensho School is located in the 7th Ward of Thrive Central, where emphasis is put on extracurricular activities and all clubs participate in an annual fall singing contest. Having to delay the start of his school year due to his older sister's hospitalization, transfer student Saku Otonomiya finds himself struggling to adapt to his hectic new life. Balancing his part-time job and caring for his sister, he finds it difficult to make time to join a school club. In preparation for the upcoming singing contest, the school's singing club wishes to use Sousuke Kagura's song ""Cloudy Days,"" but Kagura is reluctant to grant his permission. The song requires someone with a three-octave range to sing it and he believes that only a VOCALOID can meet the standards. He allows for the club to use his song on the condition that they can find someone who possesses that vocal range to properly sing it. While racking his brain over the composition of his next song, Kagura stumbles upon Otonomiya singing ""Cloudy Days"" perfectly. He invites Otonomiya to form a unit with him for the competition. At the same time, the singing club tries to goad him into joining so they can use Kagura's song. As the contest inches closer, Otonomiya must overcome his uncertainty and decide who to team up with. [Written by MAL Rewrite]",[],Actors: Songs Connection,,,,
40,ばなにゃ ふしぎななかまたち,Bananya and the Curious Bunch,Bananya And The Curious Bunch,Bananya and the Curious Bunch,Bananya and the Curious Bunch,['TV'],13,Finished Airing,"Oct 1, 2019 to Dec 24, 2019",['Fall 2019'],Tuesdays at 07:30 (JST),"None found,",['Discotek Media'],"['TMS Entertainment', 'Gathering']",Original,['Slice of Life'],,['Kids'],2 min. per ep.,G - All Ages,6.62,#6381,#5455,"17,098",45,8884,"On a little planet live little creatures called ""Bananyas."" Come watch their daily lifes full of adventures and discoveries.","['Prequel (TV) Bananya', 'Sequel (ONA) Bananya: Around the World']",Bananya: Fushigi na Nakama-tachi,,,['Anthropomorphic'],
41,Z/X Code Reunion,,,,,['TV'],12,Finished Airing,"Oct 8, 2019 to Dec 24, 2019",['Fall 2019'],Tuesdays at 23:00 (JST),['Broccoli'],['Sentai Filmworks'],['Passione'],Card game,,,,24 min. per ep.,PG-13 - Teens 13 or older,5.80,#10957,#5793,"14,669",23,3832,"The signing of a peace treaty has secured a tenuous ceasefire between mankind and the Zex, beings who emerged from space/time rifts connected to mysterious, distant worlds. Partnered with a Zex named Rigel, Azumi Kakamigahara must shoulder the fate of her own idyllic world. The unlikely pair head to newly established Fujimisaki Academy, where their destinies await. (Source: ANN)","['Prequel (TV) Z/X: Ignition', 'Adaptation (Manga) Z/X: Code Reunion']",Z/X: Code Reunion,"['Fantasy', 'Sci-Fi']",,['School'],
42,真・中華一番!,True Cooking Master Boy,,,,['TV'],12,Finished Airing,"Oct 12, 2019 to Dec 28, 2019",['Fall 2019'],Saturdays at 02:25 (JST),"['Kodansha', 'DMM pictures', 'JY Animation', 'China Film Animation', 'Beijing IMMG']","None found,","['Production I.G', 'Nihon Ad Systems']",['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.45,#7425,#6170,"12,429",15,4285,"After passing the Guangzhou Special Chef Trials, Mao decided to travel around China, to learn more about the unique preparation of food. Upon his return, he will learn that the real battle has only just begun. The Underground Cooking Society has already begun to move... (Source: MU)","['Prequel (TV) Chuuka Ichiban!', 'Sequel (TV) Shin Chuuka Ichiban! 2nd Season', 'Adaptation (Manga) Shin Chuuka Ichiban!', '']",Shin Chuuka Ichiban!,"['Comedy', 'Gourmet']",New Cooking Master Boy,,
43,天華百剣 ~めいじ館へようこそ!~,,,,,['TV'],12,Finished Airing,"Oct 13, 2019 to Dec 29, 2019",['Fall 2019'],Sundays at 22:54 (JST),"None found,","None found,",['LIDENFILMS'],Game,,"['Anthropomorphic', 'Historical', 'Martial Arts']",,3 min. per ep.,PG-13 - Teens 13 or older,5.02,#13193,#7017,"9,137",11,1920,"The Tenka Hyakken franchise centers around the ""Mitsurugi,"" maidens who are physical incarnations of ancient swords. They have pledged to live peaceful lives after the era of warfare, but are now returning to battle to fight a new foe that has arisen during an alternate version of the Meiji Era, three hundred years after the Battle of Sekigahara. (Source: ANN)",[],Tenka Hyakken: Meiji-kan e Youkoso!,"['Action', 'Adventure', 'Fantasy']",Tenka Hyakken: Welcome to Meiji Hall!,,
44,アイカツオンパレード!,,,,,['TV'],25,Finished Airing,"Oct 5, 2019 to Mar 28, 2020",['Fall 2019'],Saturdays at 10:30 (JST),['Sunrise Music'],"None found,",['Bandai Namco Pictures'],Game,['Slice of Life'],"['Idols (Female)', 'Music', 'School']",,24 min. per ep.,PG - Children,7.04,#4184,#7850,"6,889",31,2583,"Raki Kiseki is a second-year middle school student who transfers to Star Harmony Academy to become an idol. However, when she uses an Aikatsu Pass she received from her big sister (an Aikatsu engineer), something mysterious happens. Lots of doors appeared before her, and when she opens them, she meets Aikatsu idols she never knew before, such as Yume Nijino (Aikatsu Stars!). Raki vows to design her own premium dress and perform in it on stage. (Source: Anime News Network)","['Prequel (TV) Aikatsu Friends!: Kagayaki no Jewel', '']",Aikatsu on Parade!,,,,
45,浦島坂田船の日常,Days of Urashimasakatasen,Days Of Urashimasakatasen,Days of Urashimasakatasen,Days of Urashimasakatasen,['TV'],12,Finished Airing,"Oct 2, 2019 to Dec 18, 2019",['Fall 2019'],Wednesdays at 21:54 (JST),['NBCUniversal Entertainment Japan'],"None found,",['Gainax Kyoto'],Music,['Comedy'],,,4 min. per ep.,PG-13 - Teens 13 or older,6.12,#9305,#8196,"6,192",38,2965,"The anime centers on the members of the real-world four-member male vocal unit Urashimasakatasen. Uratanuki, Shima, Tonari no Sakata, and Senra appear in the shorts as high school students. (Source: ANN)","['Sequel (Special) Urashimasakatasen no Nichijou Special', '']",Urashimasakatasen no Nichijou,,,['School'],
46,ゾイドワイルド ZERO,,,,,['TV'],50,Finished Airing,"Oct 4, 2019 to Oct 16, 2020",['Fall 2019'],Fridays at 17:55 (JST),"None found,","None found,",['OLM'],Other,,"['Mecha', 'Military']",,22 min. per ep.,PG - Children,5.97,#10086,#9028,"4,839",12,755,"In the 21st century planet Earth was rendered inhospitable to life, and people mass-migrated to Planet Zi, the natural home of metallic life forms known as Zoids. Many years later, Zi faces its end. Its inhabitants partake the journey to migrate back to Earth. Attempting to regenerate the Earth to make it hospitable, the migrants come up with a ""Zi-Forming"" scheme. However, the plan fails and Earth is left in its state of turmoil. Overrun by Zoids and blanked by unstable weather phenomena, the migrants are faced with a difficult life. The Empire and Republic settlements attempt to uncover Zoids buried within the Earth to bolster their respective armies. The story picks up following second-generation Earth citizens: Leo Conrad and Buzz Cunningham, who have a chance encounter with a girl Sally Land as she flees the clutches of the Empire. (Source: Zoids Wiki)",[],Zoids Wild Zero,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,,
47,SUPER SHIRO (スーパーシロ),,,,,['TV'],48,Finished Airing,"Oct 14, 2019 to Sep 7, 2020",['Fall 2019'],Unknown,"['Shin-Ei Animation', 'TV Aichi', 'Futabasha', 'Audio Planning U', 'Imagine']","None found,",['Science SARU'],['Manga'],,,['Kids'],5 min. per ep.,PG - Children,6.14,#9137,#10895,"2,707",4,777,"Spin-off series of Crayon Shin-chan franchise, featuring Shiro. Commemorates 60th Anniversary of TV Asahi.",[],Super Shiro,,,,
48,GO!GO!アトム,Go Astro Boy Go!,,,,['TV'],52,Finished Airing,"Oct 3, 2019 to Oct 1, 2020",['Fall 2019'],Thursdays at 18:10 (JST),['TV Tokyo'],"None found,","['Tezuka Productions', 'Planet Nemo Animation']",['Manga'],,,['Kids'],11 min. per ep.,PG - Children,5.87,#10593,#13571,"1,206",0,252,"The eco-systems of planet Earth are endangered. Lucky for us, a super-powered robot boy is flying to rescue! astro in on a mission to help anyone anywhere in the world with a problem involving natural phenomena. Go little Astro Boy! GO! (Source: Planet Nemo)","['Adaptation (Manga) Tetsuwan Atom', '']",Go! Go! Atom,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",,,
49,耐え子の日常,,,,,['TV'],26,Finished Airing,"Oct 6, 2019 to Mar 29, 2020",['Fall 2019'],Sundays at 01:00 (JST),"['Tokyo MX', 'Asahi Broadcasting']","None found,",['DLE'],['Manga'],['Slice of Life'],,,5 min. per ep.,G - All Ages,[],#14662,#15895,640,2,,"A short anime about Taeko Shinbou who is an office worker that is patient with everything and greets everything that comes her way with cheer. An announcement was made that a ""regular person"" from Kantou will voice Taeko rather than an industry professional. (Source: ANN)","['Sequel (TV) Taeko no Nichijou 2nd Season', '']",Taeko no Nichijou,,Taeko's Everyday Life,['Workplace'],
50,エイリは王さま!,,,,,['TV'],10,Finished Airing,"Oct 8, 2019 to Dec 10, 2019",['Fall 2019'],Unknown,"None found,","None found,","None found,",Original,,,,Unknown,G - All Ages,[],#17866,#16756,529,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Eily wa Ousama!,"['Comedy', 'Fantasy']",,,
51,EGG CAR エッグカー,,,,,['TV'],52,Finished Airing,"Oct 3, 2019 to Oct 1, 2020",['Fall 2019'],Thursdays at 18:10 (JST),"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#17860,#18845,354,3,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Egg Car,"['Adventure', 'Comedy', 'Fantasy']",,,
52,かいじゅうステップ ワンダバダ,,,,,['TV'],26,Finished Airing,"Sep 27, 2019 to Mar 27, 2020",['Fall 2019'],Unknown,"['Tsuburaya Productions', 'NHK Enterprises']","None found,",['Usagi Ou'],Picture book,['Comedy'],,['Kids'],5 min. per ep.,PG - Children,[],#19199,#18940,348,0,,"Anime based on the picture book Kaijuu Step, which features monsters from Ultraman series","['Sequel (TV) Kaijuu Step Wandabada 2nd Season', '']",Kaijuu Step Wandabada,,,,
53,むかしケイバなし,,,,,['TV'],4,Finished Airing,"Nov 30, 2019 to Dec 21, 2019",['Fall 2019'],Saturdays at Unknown,"None found,","None found,",['DLE'],Original,,,,2 min. per ep.,G - All Ages,[],#20462,#19248,329,0,,A fairytale and folklore parody anime focused on race horses. They take classic stories (like Momotarou or Cinderella) and put them in race horse situations with the narrator voicing the action in typical fast-paced sports commentary. The anime is funded and promoted by the Japan Racing Association (JRA).,"['Sequel (TV) Mukashi Keibanashi 2nd Season', '']",Mukashi Keibanashi,"['Comedy', 'Fantasy', 'Sports']","JRA Anime, Horse Racing Folktales",['Parody'],
54,猪猪侠 竞速小英雄,GG Bond Season 16: Racing,,,,['TV'],104,Finished Airing,"Oct 25, 2019 to Dec 26, 2019",['Fall 2019'],Unknown,"None found,","None found,","None found,",Original,['Sci-Fi'],"['Racing', 'Space', 'Super Power']",['Kids'],15 min. per ep.,G - All Ages,[],#16366,#19743,299,0,,"GG Bond is separated from his friends and lands in an unfamiliar part of the universe. He will have to rejoin his teammates and take part in speed races to find his way home. This season has 4 arcs, each arc is composed of 26 episodes. (Source: videoageinternational.net)","['Prequel (TV) Zhu Zhu Xia: Konglong Riji', '']",Zhu Zhu Xia: Jing Su Xiao Yingxiong,,GG Bond 16,,
55,シルバニアファミリー ミニストーリー クローバー,Calico Critters: Mini Episodes - Clover,,,,['TV'],12,Finished Airing,"Oct 3, 2019 to Dec 19, 2019",['Fall 2019'],Thursdays at 19:26 (JST),"None found,","None found,",['Shogakukan Music & Digital Entertainment'],Other,['Slice of Life'],,['Kids'],3 min. per ep.,G - All Ages,[],#14646,#20666,248,1,,"The story takes place in a village called Sylvania, and centers on Chocolate Usagi-chan, Kurumi Risu-kun, and their friends and families. (Source: ANN)","['Prequel (TV) Sylvanian Families: Mini Story 2nd Season', 'Sequel (TV) Sylvanian Families: Mini Story - Peony']",Sylvanian Families: Mini Story - Clover,,"Sylvanian Families: Mini Episodes - Clover, Sylvanian Families: Mini Story 3rd Season",,
56,빠샤메카드 S,,,,,['TV'],26,Finished Airing,"Oct 2, 2019 to Apr 7, 2020",['Fall 2019'],Unknown,"None found,","None found,","None found,",Original,,"['Mecha', 'Strategy Game']",['Kids'],22 min. per ep.,PG - Children,[],#16884,#20943,233,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Bbasha Mecard', '']",Bbasha Mecard S,,,,
57,コロコロアニマルABC@きんてれ,,,,,['TV'],13,Finished Airing,"Oct 11, 2019 to Jan 10, 2020",['Fall 2019'],Unknown,"None found,","None found,",['Milky Cartoon'],Original,['Comedy'],,['Kids'],2 min. per ep.,G - All Ages,[],#17407,#21992,175,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],ColoColo Animal ABC@Kin Tele,,,,
58,숲 속 친구 스토니즈,Stonyz,,,,['TV'],13,Finished Airing,"Nov 20, 2019 to Feb 13, 2020",['Fall 2019'],Unknown,"None found,","None found,","None found,",Unknown,,,['Kids'],Unknown,PG - Children,[],#14621,#22500,154,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sup Sog Chingu Seutonijeu,,,,
59,롱롱 죽겠지?,Journey of Long,,,,['TV'],26,Finished Airing,"Sep 28, 2019 to May 2, 2020",['Fall 2019'],Unknown,"None found,","None found,",['Studio Gale'],Original,,,['Kids'],7 min. per ep.,PG - Children,[],#19865,#23359,126,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Longlong Juggessji? 2nd Season', '']",Longlong Juggessji?,"['Comedy', 'Fantasy']",Wouldn't it be Long?,,
60,少年师爷之稽山阳明,,,,,['TV'],26,Finished Airing,"Nov 4, 2019 to Nov 11, 2019",['Fall 2019'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],14 min. per ep.,PG - Children,[],#14058,#24135,109,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Zhihui Si Lu', '']",Shaonian Shiye: Jishan Yang Ming,,,['Historical'],
61,少年师爷之智慧丝路,,,,,['TV'],26,Finished Airing,"Oct 28, 2019 to Nov 4, 2019",['Fall 2019'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],14 min. per ep.,PG - Children,[],#14065,#24149,108,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Shaonian Shiye: Duanan Chuanqi', 'Sequel (TV) Shaonian Shiye: Jishan Yang Ming']",Shaonian Shiye: Zhihui Si Lu,,,['Historical'],
62,ONE PIECE,One Piece,,,,['TV'],Unknown,Currently Airing,"Oct 20, 1999 to ?",['Fall 1999'],Sundays at 09:30 (JST),"['Fuji TV', 'TAP', 'Shueisha']","['Funimation', '4Kids Entertainment']",['Toei Animation'],['Manga'],,,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.73,#51,#17,"2,494,502","234,508",1418359,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it. The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many. As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', 'Adaptation (Light Novel) One Piece: Loguetown-hen']",One Piece,"['Action', 'Adventure', 'Fantasy']",OP,,
63,ドクターストーン,Dr. Stone,,,,['TV'],24,Finished Airing,"Jul 5, 2019 to Dec 13, 2019",['Summer 2019'],Fridays at 22:00 (JST),"['TOHO animation', 'Shueisha', '8PAN']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],,,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.27,#316,#49,"1,832,849","29,414",1107410,"After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world—turning every single human into stone. Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounters one other living human: his science-loving friend Senkuu, who has been active for a few months. Taiju learns that Senkuu has developed a grand scheme—to launch the complete revival of civilization with science. Taiju's brawn and Senkuu's brains combine to forge a formidable partnership, and they soon uncover a method to revive those petrified. However, Senkuu's master plan is threatened when his ideologies are challenged by those who awaken. All the while, the reason for mankind's petrification remains unknown. [Written by MAL Rewrite]","['Sequel (TV) Dr. Stone: Stone Wars', 'Adaptation (Manga) Dr. Stone']",Dr. Stone,"['Adventure', 'Comedy', 'Sci-Fi']",,,
64,ブラッククローバー,Black Clover,,,,['TV'],170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",['Fall 2017'],Tuesdays at 18:25 (JST),"['TV Tokyo', 'Avex Pictures', 'Shueisha']","['Funimation', 'Crunchyroll']",['Pierrot'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.14,#474,#57,"1,770,540","48,440",909402,"Asta and Yuno were abandoned at the same church on the same day. Raised together as children, they came to know of the ""Wizard King""—a title given to the strongest mage in the kingdom—and promised that they would compete against each other for the position of the next Wizard King. However, as they grew up, the stark difference between them became evident. While Yuno is able to wield magic with amazing power and control, Asta cannot use magic at all and desperately tries to awaken his powers by training physically. When they reach the age of 15, Yuno is bestowed a spectacular Grimoire with a four-leaf clover, while Asta receives nothing. However, soon after, Yuno is attacked by a person named Lebuty, whose main purpose is to obtain Yuno's Grimoire. Asta tries to fight Lebuty, but he is outmatched. Though without hope and on the brink of defeat, he finds the strength to continue when he hears Yuno's voice. Unleashing his inner emotions in a rage, Asta receives a five-leaf clover Grimoire, a ""Black Clover"" giving him enough power to defeat Lebuty. A few days later, the two friends head out into the world, both seeking the same goal—to become the Wizard King! [Written by MAL Rewrite]","['Adaptation (Manga) Black Clover', '']",Black Clover,"['Action', 'Fantasy']",,,
65,ヴィンランド・サガ,,,,,['TV'],24,Finished Airing,"Jul 8, 2019 to Dec 30, 2019",['Summer 2019'],Mondays at 00:10 (JST),"['Production I.G', 'Dentsu', 'Kodansha', 'Twin Engine']",['Sentai Filmworks'],['Wit Studio'],['Manga'],,"['Gore', 'Historical']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),8.76,#42,#72,"1,644,643","51,758",952330,"Young Thorfinn grew up listening to the stories of old sailors that had traveled the ocean and reached the place of legend, Vinland. It's said to be warm and fertile, a place where there would be no need for fighting—not at all like the frozen village in Iceland where he was born, and certainly not like his current life as a mercenary. War is his home now. Though his father once told him, ""You have no enemies, nobody does. There is nobody who it's okay to hurt,"" as he grew, Thorfinn knew that nothing was further from the truth. The war between England and the Danes grows worse with each passing year. Death has become commonplace, and the viking mercenaries are loving every moment of it. Allying with either side will cause a massive swing in the balance of power, and the vikings are happy to make names for themselves and take any spoils they earn along the way. Among the chaos, Thorfinn must take his revenge and kill Askeladd, the man who murdered his father. The only paradise for the vikings, it seems, is the era of war and death that rages on. [Written by MAL Rewrite]","['Sequel (TV) Vinland Saga Season 2', 'Adaptation (Manga) Vinland Saga']",Vinland Saga,"['Action', 'Adventure', 'Drama']",,,
66,炎炎ノ消防隊,Fire Force,Fire Force,Fire Force,Fire Force,['TV'],24,Finished Airing,"Jul 6, 2019 to Dec 28, 2019",['Summer 2019'],Saturdays at 01:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'bilibili', 'DMM pictures', 'DMM Music']",['Funimation'],['David Production'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1262,#97,"1,420,540","9,948",765523,"Spontaneous Human Combustion: a chaotic phenomenon that has plagued humanity for years, randomly transforming ordinary people into flaming, violent creatures known as Infernals. While Infernals make up the first-generation accounts of Human Combustion, the second and third generations became known as pyrokinetics—people gifted with the ability to manipulate and control their flames while remaining human. To combat the Infernal threat and discover the cause, the Tokyo Armed Forces, Fire Defense Agency, and Holy Church of Sol produced their answer: the Special Fire Force. Young and eager third-generation pyrokinetic Shinra Kusakabe, nicknamed Devil's Footprints for his explosive ability to ignite his feet at will, becomes a member of the lively Special Fire Force Company 8. Upholding the brigade's duty to extinguish the blazing Infernals and lay their souls to rest, Shinra is determined to become a hero who will save the lives of those threatened by the flame terror. However, this is not the hero's game Shinra imagined. The Fire Force is a fractured mess of feuding brigades, abnormal Infernal sightings are increasing all over Tokyo, and a shadowy group is claiming to have answers to the strange fire that caused the death of Shinra's family 12 years ago. Faced with many obstacles within and outside the Fire Force, Shinra fights to uncover the truth behind the burning mysteries that have kept him in the dark. [Written by MAL Rewrite]","['Sequel (TV) Enen no Shouboutai: Ni no Shou', 'Adaptation (Manga) Enen no Shouboutai']",Enen no Shouboutai,"['Action', 'Fantasy', 'Sci-Fi']",Fire Brigade of Flames,['Urban Fantasy'],
67,BORUTO -NARUTO NEXT GENERATIONS-,Boruto: Naruto Next Generations,,,,['TV'],293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",['Spring 2017'],Sundays at 17:30 (JST),"['TV Tokyo', 'Aniplex', 'Rakuonsha', 'Shueisha']",['VIZ Media'],['Pierrot'],['Manga'],,,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.00,#9909,#208,"895,061","7,372",456832,"Following the successful end of the Fourth Shinobi World War, Konohagakure has been enjoying a period of peace, prosperity, and extraordinary technological advancement. This is all due to the efforts of the Allied Shinobi Forces and the village's Seventh Hokage, Naruto Uzumaki. Now resembling a modern metropolis, Konohagakure has changed, particularly the life of a shinobi. Under the watchful eye of Naruto and his old comrades, a new generation of shinobi has stepped up to learn the ways of the ninja. Boruto Uzumaki is often the center of attention as the son of the Seventh Hokage. Despite having inherited Naruto's boisterous and stubborn demeanor, Boruto is considered a prodigy and is able to unleash his potential with the help of supportive friends and family. Unfortunately, this has only worsened his arrogance and his desire to surpass Naruto which, along with his father's busy lifestyle, has strained their relationship. However, a sinister force brewing within the village may threaten Boruto's carefree life. New friends and familiar faces join Boruto as a new story begins. [Written by MAL Rewrite]","['Prequel (TV) Naruto: Shippuuden', 'Sequel (TV) Boruto: Naruto Next Generations Part 2', 'Adaptation (Manga) Naruto Gaiden: Nanadaime Hokage to Akairo no Hanatsuzuki', 'Adaptation (Manga) Boruto: Naruto Next Generations']",Boruto: Naruto Next Generations,"['Action', 'Adventure', 'Fantasy']",,['Martial Arts'],
68,名探偵コナン,Case Closed,Case Closed,,,['TV'],Unknown,Currently Airing,"Jan 8, 1996 to ?",['Winter 1996'],Saturdays at 18:00 (JST),"['Yomiuri Telecasting', 'Shogakukan', 'Audio Planning U', 'Tokyo Movie', 'Polydor Records']","['Funimation', 'Crunchyroll']",['TMS Entertainment'],['Manga'],,,['Shounen'],24 min.,PG-13 - Teens 13 or older,8.17,#433,#704,"360,637","15,327",164254,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child. Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa. Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday. [Written by MAL Rewrite]","['Adaptation (Manga) Meitantei Conan', '']",Meitantei Conan,"['Adventure', 'Comedy', 'Mystery']",Detective Conan,['Detective'],
