,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Genres,Theme,Demographics
33,イナズマイレブン アレスの天秤,Inazuma Eleven: Ares,,,,['TV'],26,Finished Airing,"Apr 6, 2018 to Sep 28, 2018",['Spring 2018'],Fridays at 17:55 (JST),"['TV Tokyo', 'Dentsu']","None found,",['OLM'],Game,['Sports'],"['Super Power', 'Team Sports']",,23 min. per ep.,G - All Ages,6.69,#5962,#3563,"44,125",116,22226,"Taking place in an alternate timeline after Raimon Junior High wins the Football Frontier, a group of boys is playing soccer on a remote island off the coast of Japan. However, one day the students witness the demolition of the only soccer field on the island as they fight desperately to prevent its destruction, to no avail. The only way to regain their soccer club is to become champions of the Football Frontier. Asuto Inamori and his classmates take up the offer, moving to mainland Japan and attending Raimon Junior High. Leaving behind their families and entering metropolitan Tokyo, they embark on a journey that will test their resolve to be the best in all of Japan. Inazuma Eleven: Ares no Tenbin tells the tale of a group of friends whose desire for soccer burns brighter by the day. Through their encounters with several titans of the soccer landscape, including the mysterious coach Zhao Jinyun—they rush headlong into the Football Frontier to face the greatest teams Japan has to offer! [Written by MAL Rewrite]","['Prequel (Special) Inazuma Eleven: Reloaded - Soccer no Henkaku', 'Sequel (TV) Inazuma Eleven: Orion no Kokuin', 'Adaptation (Manga) Inazuma Eleven: Ares no Tenbin', '']",Inazuma Eleven: Ares no Tenbin,Inazuma Eleven: Balance of Ares,,,
34,ニル・アドミラリの天秤,Libra of Nil Admirari,Libra of Nil Admirari,Libra of Nil Admirari,Libra of Nil Admirari,['TV'],12,Finished Airing,"Apr 8, 2018 to Jun 24, 2018",['Spring 2018'],Sundays at 22:00 (JST),['Pony Canyon'],"None found,",['Zero-G'],Visual novel,,"['Historical', 'Reverse Harem']",['Josei'],23 min. per ep.,PG-13 - Teens 13 or older,6.66,#6139,#3641,"42,585",132,12350,"The Taishou era didn't end in 15 years, but went on for another 25. In order to protect her waning family, a girl resolves to marry a man she doesn't even know the name of. However, just before the marriage was to take place, the girl's younger brother mysteriously committed suicide by self-immolation and was found holding an old book in his hands. Appearing before the bewildered young girl was the ""Imperial Library Intelligence Asset Management Bureau,"" more commonly referred to as ""Fukurou."" According to these men, there exists ""Maremono,"" which are books that greatly affect their readers. On top of that, ever since the incident involving the girl's younger brother, she unwittingly gains the ability to see ""Auras"" (the sentiments of the Maremono which manifest as bright lights and are usually invisible to humans). It was as though fate were trying to drag the young girl in its flames. And then, even though apprehensive, the girl chooses to venture outside her bird cage. Jealousy, hatred, scorn, compassion, and love. What awaited the girl was the darkness of betrayal that had already begun to bewitchingly inlay the imperial capital. Toyed by and swayed within that darkness, will the young girl finally reach the truth after her struggles, or...? (Source: MAL News)","['Adaptation (Manga) Nil Admirari no Tenbin: Teito Genwaku Kitan', '']",Nil Admirari no Tenbin,The Scales of Nil Admirari ~The Mysterious Story of Teito~,"['Romance', 'Supernatural']",,
35,重神機パンドーラ,Last Hope,,Last Hope,,['TV'],26,Finished Airing,"Mar 29, 2018 to Sep 20, 2018",['Spring 2018'],Wednesdays at 23:30 (JST),"None found,","None found,",['Satelight'],Original,['Sci-Fi'],,,23 min. per ep.,PG-13 - Teens 13 or older,6.32,#8168,#3721,"40,816",44,12896,"The series is set in a near-future world where the boundary between human being and AI is vague. A rapid biological evolution, similar to ""Cambrian Explosion,"" is caused by one incident. This incident turns into the genesis of a new jostle for supremacy, and the influence of the evolution goes beyond biological framework and spreads to various kinds of materials and technologies. The era of massive evolution involving diverse existences, such as human, machines, and biotechnologies, is coming. Characters fight an existential war in such a world. (Source: ANN)",[],Juushinki Pandora,Unit Pandora,,['Mecha'],
36,ラストピリオド -終わりなき螺旋の物語-,Last Period: The Journey to the End of the Despair,Last Period: The Journey to the End of the Despair,Last Period: The Journey to The End of The Despair,Last Period: The Journey to the End of the Despair,['TV'],12,Finished Airing,"Apr 12, 2018 to Jun 28, 2018",['Spring 2018'],Thursdays at 00:00 (JST),"['Asmik Ace', 'NBCUniversal Entertainment Japan', 'Egg Firm', 'Hakuhodo DY Media Partners', 'Kadokawa', 'Happy Elements']","None found,",['J.C.Staff'],Game,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.36,#7934,#3727,"40,696",33,11811,"""Period"" is how magic users called who beat ""Spiral""—monsters that were summoned from isolation. Due to the rise of these beings, 14-year-old apprentice Period Haru, who is a part of the Eighth Arc-end Division, is called to break the cycle and cast himself into the endless battle. However, a mysterious thievery occurred and sank the division into bankruptcy, forcing Haru and his other comrades have to leave their headquarters. To rebuild a branch, they have to overcome quest after quest. (Source: MAL News)",[],Last Period: Owarinaki Rasen no Monogatari,,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,
37,ありすorありす,,,,,['TV'],12,Finished Airing,"Apr 4, 2018 to Jun 20, 2018",['Spring 2018'],Wednesdays at 22:25 (JST),"None found,",['Sentai Filmworks'],['EMT Squared'],['4-koma manga'],['Slice of Life'],,,3 min. per ep.,PG-13 - Teens 13 or older,5.35,#12561,#3843,"38,267",47,15250,"This story gives a look at the daily life of a pair of Alice twins and their older brother who has a sister complex. Them eating meals, getting into fights, playing with friends... Would you like to peek at the heart-full daily life of the cute Alices? (Source: MAL News)","['Adaptation (Manga) Alice or Alice: Siscon Niisan to Futago no Imouto', '']",Alice or Alice,Alice or Alice: Siscon Niisan to Futago no Imouto,,['CGDCT'],
38,鹿楓堂よついろ日和,Yotsuiro Biyori,Yotsuiro Biyori,Yotsuiro Biyori,Yotsuiro Biyori,['TV'],12,Finished Airing,"Apr 11, 2018 to Jun 27, 2018",['Spring 2018'],Wednesdays at 00:30 (JST),"None found,","None found,",['Zexcs'],['Manga'],,"['Adult Cast', 'Iyashikei', 'Workplace']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.64,#1464,#3965,"35,601",216,12974,"Kyousui ""Sui"" Tougoku inherits a traditional Japanese-style cafe called Rokuhoudou from his grandfather, which he manages alongside Gregorio ""Gure"" Valentino, Tokitaka Nagae, and Tsubaki Nakao. Their hospitality par excellence undoubtedly turns any one-time visitor into a regular. Having gone through their own share of trials and tribulations, the staff at this modest cafe do their best to serve their customers—whether it be through tea, sweets, or even helping with the various troubles one may have. Although most days pass pleasantly, the small world of Sui and his friends takes an unexpected path when their reputation as a cafe flourishes overnight. [Written by MAL Rewrite]","['Adaptation (Manga) Rokuhou-dou Yotsuirobiyori', '']",Rokuhou-dou Yotsuiro Biyori,,"['Gourmet', 'Slice of Life']",,
39,メジャーセカンド,,Major 2nd,Major 2nd,Major 2nd,['TV'],25,Finished Airing,"Apr 7, 2018 to Sep 22, 2018",['Spring 2018'],Saturdays at 17:35 (JST),"['Shogakukan-Shueisha Productions', 'NHK', 'NHK Enterprises']","None found,",['OLM'],['Manga'],['Sports'],,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.38,#2460,#3981,"35,353",75,16351,"Daigo, the son of renowned baseball player Gorou Shigeno, believes he has to live up to his father's name by becoming an all-star player himself. With great dreams, as soon as he reaches fourth-grade, he promptly joins the same little league baseball team his dad played on, the Mifune Dolphins. However, things don't go as planned. After only the first couple of practices, Daigo's lack of talent and inherent baseball sense shows, and his confidence is crushed. Unable to bear the pressure of living up to his father, a baseball prodigy, he quits the team in less than a year. Two years later, now in sixth-grade, a transfer student joins Daigo's class. This student turns out to be Hikaru, the son of Gorou's lifelong friend and fellow baseball star, Toshiya Satou. One day, Daigo's mother receives a call from the Dolphins requesting players for a game, so she forces Daigo to attend. To Daigo's surprise, he finds Hikaru there. Even more shocking is that despite his father's occupation, Hikaru has never played baseball before! Unlike Daigo, though, Hikaru immediately picks up the game demonstrating excellent performance. Needless to say, Daigo and Hikaru are polar opposites of each other. But this friction will inevitably thrust both of these inexperienced children into the world their fathers cherish—the world of baseball. [Written by MAL Rewrite]","['Prequel (OVA) Major: Message', 'Sequel (TV) Major 2nd 2nd Season', 'Adaptation (Manga) Major 2nd', '']",Major 2nd,,,['Team Sports'],
40,あまんちゅ！～あどばんす～,,,,,['TV'],12,Finished Airing,"Apr 7, 2018 to Jun 23, 2018",['Spring 2018'],Saturdays at 23:00 (JST),"['Production I.G', 'Frontier Works', 'Shochiku', 'AT-X', 'flying DOG', 'Tokyo MX', 'Mag Garden']","None found,",['J.C.Staff'],['Manga'],['Slice of Life'],"['Iyashikei', 'School']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.11,#3838,#4117,"33,237",37,12875,Second season of Amanchu!.,"['Prequel (TV) Amanchu!', 'Prequel (OVA) Amanchu!: Yakusoku no Natsu to Atarashii Omoide no Koto', 'Adaptation (Manga) Amanchu!', '']",Amanchu! Advance,Amanchu! 2,,,
41,ガンダムビルドダイバーズ,Gundam Build Divers,,,,['TV'],25,Finished Airing,"Apr 3, 2018 to Sep 25, 2018",['Spring 2018'],Tuesdays at 17:55 (JST),"['TV Tokyo', 'Sotsu']","None found,",['Sunrise'],Original,,,,24 min. per ep.,G - All Ages,6.31,#8238,#4125,"33,121",52,14482,"Gunpla Battle Nexus Online (GBN) is a new network game that lets people enjoy a variety of missions using Gunpla in a virtual cyberspace dimension. Middle-school students Riku Mikami and Yukio Hidaka recruit their classmate Momoka Yashiro and dive together into this vast world. Becoming ""Divers,"" or inhabitants of GBN, they meet a mysterious girl named Sarah who has an amazing sensitivity to Gunpla. They begin playing alongside her, but... There are many other famous Divers, starting with Kyoya Kujo, the champion whom Riku admires. Multiple Divers can join to form a team called a ""force."" Meanwhile, the game is disrupted by Mass-Divers who use unofficial tools called break decals. Through many encounters and experiences, Riku and his friends will build not only Gunpla, but their own adventures as well! (Source: Official Website)","['Prequel (ONA) Gundam Build Divers Prologue', 'Sequel (ONA) Gundam Build Divers Re:Rise']",Gundam Build Divers,,"['Action', 'Sci-Fi']",['Mecha'],
42,Lostorage conflated WIXOSS,,,,,['TV'],12,Finished Airing,"Apr 7, 2018 to Jun 23, 2018",['Spring 2018'],Saturdays at 00:30 (JST),"None found,","None found,",['J.C.Staff'],Card game,['Suspense'],"['High Stakes Game', 'Psychological', 'Strategy Game']",,23 min. per ep.,R - 17+ (violence & profanity),7.08,#4006,#4165,"32,345",79,11104,"Tensions from the Selector battles have seemingly vanished, and the remaining participants have quickly put the entire ordeal behind them. However, Kiyoi Mizushima feels that the conflict has yet to end. Despite Kou Satomi's defeat, his supporters are already attempting to revive his plans in the background. It does not take long for Mizushima's suspicions to be confirmed true. Not only does the Selector battle system reemerge, but also a new mechanic has been implemented. Players receive a special key card that will unlock with gold coins, releasing a hidden power. Aware of the formidable foes that lie ahead, Mizushima begins to seek out skilled allies in her endeavor to finally break the cycle of darkness. [Written by MAL Rewrite]","['Prequel (TV) Lostorage Incited WIXOSS', 'Prequel (OVA) Lostorage Conflated WIXOSS: Missing Link']",Lostorage Conflated WIXOSS,,,,
43,鬼灯の冷徹 第弐期その弐,Hozuki's Coolheadedness 2: Part 2,Hozuki's Coolheadedness 2,Hozuki's Coolheadedness 2,Hozuki's Coolheadedness 2,['TV'],13,Finished Airing,"Apr 8, 2018 to Jul 1, 2018",['Spring 2018'],Sundays at 01:00 (JST),"None found,",['Sentai Filmworks'],['Studio Deen'],['Manga'],,,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.85,#930,#4265,"30,516",54,12623,The second cour of Hoozuki no Reitetsu season 2.,"['Prequel (TV) Hoozuki no Reitetsu 2nd Season', 'Adaptation (Manga) Hoozuki no Reitetsu']",Hoozuki no Reitetsu 2nd Season: Sono Ni,Hoozuki no Reitetsu 2nd Season: Second Cour,"['Comedy', 'Fantasy']",['Mythology'],
44,宇宙戦艦ティラミス,Space Battleship Tiramisu,Space Battleship Tiramisu,Space BattleShip Tiramisu,Space Battleship Tiramisu,['TV'],13,Finished Airing,"Apr 3, 2018 to Jun 26, 2018",['Spring 2018'],Tuesdays at 01:00 (JST),"['Frontier Works', 'Nippon Columbia', 'Studio Mausu', 'Tokyo MX', 'Adores', 'Shinchosha', 'FuRyu', 'Exa International', 'NTT Plala', 'JY Animation']",['Funimation'],['Gonzo'],['Web manga'],,"['Mecha', 'Parody', 'Space']",,7 min. per ep.,PG-13 - Teens 13 or older,6.36,#7949,#4347,"29,446",32,10817,"Subaru Ichinose loves his cockpit as, to him, it's like being in his mother's womb. Whenever he struggles to converse with his fellow pilots, his cockpit is the one place he can be alone. As the ace pilot aboard the Tiramisu, Earth Union's most important battleship, it is his job to defend Mother Earth from the threats that emerge from humanity's extended dominion spreading throughout the vast reaches of the universe. Armed with his personal mecha Durandal, Subaru must fend off encroaching foreign colonies as he struggles to protect his personal sanctuary from rogue fried pork skewers, suffocating backwards shirts, and unsolicited redecorations. In the year Space Age 0156, the fate of humanity rests entirely in his hands. [Written by MAL Rewrite]","['Sequel (TV) Uchuu Senkan Tiramisù II', 'Adaptation (Manga) Uchuu Senkan Tiramisù']",Uchuu Senkan Tiramisù,,"['Action', 'Comedy', 'Sci-Fi']",,
45,Butlers~千年百年物語~,Butlers x Battlers,,,,['TV'],12,Finished Airing,"Apr 12, 2018 to Jun 28, 2018",['Spring 2018'],Thursdays at 01:05 (JST),"['Lantis', 'Kadokawa']","None found,",['SILVER LINK.'],Original,,"['School', 'Time Travel']",,23 min. per ep.,PG-13 - Teens 13 or older,5.66,#11559,#4657,"25,274",43,6341,"Butlers: They are guardians that hold a thousand-year history and a certain fate. Jay lived in peace with his little sister Tenna and a fellow Butler named Hayakawa. However, those peaceful days came to a sudden end. Tenna was swallowed up into the void and Jay was sent a hundred years into the future. Jay finds there is now an academy called Koyomi Academy standing in the place where his mansion once stood. Jay took up the name Jinguji Koma and became the student council president of the school as he looks for clues about the past. Jay will eventually find out the truth behind this world. (Source: Crunchyroll)","['Adaptation (Manga) Butlers: Chitose Momotose Monogatari', '']",Butlers: Chitose Momotose Monogatari,,"['Drama', 'Supernatural']",,
46,キューティーハニー ユニバース,,,,,['TV'],12,Finished Airing,"Apr 8, 2018 to Jun 24, 2018",['Spring 2018'],Sundays at 21:00 (JST),"['Pony Canyon', 'AT-X', 'Memory-Tech', 'Dynamic Planning', 'Bandai Namco Entertainment', 'Pony Canyon Enterprises']","['Sentai Filmworks', 'Ponycan USA']",['Production Reed'],['Manga'],,,['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),5.44,#12306,#5093,"20,446",20,5673,"The forces of evil are on the rise. When the evil mastermind Sister Jill transforms one of her girls into the bestial Breast Claw and sends her minions out on a mission involving the group Panther Claw and a jewelry store heist, Honey Kisaragi departs from her Catholic girls' school to confront the threat as Cutie Honey. But that's exactly what Sister Jill wants, as she desires Honey's Airborne Element Fixing Device, which allows her to transform into Honey's seven different forms. Meanwhile, Sister Jill is also on the scene in disguise as Inspector Genet, trying to worm her way into Honey's confidence from a different angle. (Source: ANN)","['Adaptation (Manga) Cutie Honey', '']",Cutie Honey Universe,Cutey Honey Universe,"['Action', 'Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",,
47,レイトン ミステリー探偵社~カトリーのナゾトキファイル~,,,,,['TV'],50,Finished Airing,"Apr 8, 2018 to Mar 31, 2019",['Spring 2018'],Sundays at 08:30 (JST),['Level-5'],"None found,",['LIDENFILMS'],Game,,,['Kids'],23 min. per ep.,PG - Children,7.23,#3201,#5342,"18,098",62,4224,"The Layton Detective Agency, a business that helps its clients solve unusual mysteries, is run by Katrielle Layton—daughter of the world-renowned archaeology professor Hershel Layton. Together with her assistant Noah Montoir and talking dog Sherl, Katrielle finds herself unraveling cases involving a newly purchased cursed house, a dress imbued with a ""demon's curse,"" and the zombie of a client's deceased spouse, just to name a few. Aside from her more quirky cases, Katrielle has been working on another unsolved problem: the disappearance of her father. Founding the agency was only the first step in her attempt to uncover the truth behind his vanishing. As she continues to take on client after client, each with wackier and stranger issues to tackle, Katrielle steadily closes in on the answer to the biggest mystery of her life. [Written by MAL Rewrite]","['Adaptation (Manga) Layton Mystery Tanteisha: Katri no Nazotoki File', '']",Layton Mystery Tanteisha: Katri no Nazotoki File,"LMDA, Layton Mystery Detective Agency: Kat's Mystery-Solving Files","['Comedy', 'Mystery']",,
48,ベイブレードバースト 超ゼツ,Beyblade Burst Turbo,,Beyblade Burst Turbo,Beyblade Burst Turbo,['TV'],51,Finished Airing,"Apr 2, 2018 to Mar 25, 2019",['Spring 2018'],Mondays at 17:55 (JST),"['TV Tokyo', 'd-rights']",['ADK Emotions NY Inc.'],['OLM'],['Manga'],,,['Kids'],24 min. per ep.,PG - Children,6.65,#6182,#5373,"17,778",106,10323,"Two years after the God Blader's Cup, Valt Aoi battles Aiga Akaba, a ""wild child"" that grew up in nature. After battling, he became inspired to become the No.1 Blader in the world, along with his Beyblade, Z Achilles. He aims to fight strong opponents in an effort to become stronger himself. To defeat Valt Aoi and become the World Champion, Aiga begins his journey.","['Prequel (TV) Beyblade Burst God', 'Sequel (TV) Beyblade Burst Gachi', 'Adaptation (Manga) Beyblade Burst', '']",Beyblade Burst Chouzetsu,Beyblade Burst Super Z,"['Action', 'Adventure', 'Sci-Fi']",,
49,カードファイト!! ヴァンガード (2018),,Cardfight!! Vanguard,Cardfight!! Vanguard,Cardfight!! Vanguard,['TV'],52,Finished Airing,"May 5, 2018 to May 4, 2019",['Spring 2018'],Saturdays at 22:30 (JST),['Ace Crew Entertainment'],"None found,",['OLM'],Original,['Action'],,,23 min. per ep.,PG-13 - Teens 13 or older,6.74,#5673,#5799,"14,629",50,6303,"The main protagonist Sendou Aichi, is a timid and mundane third-year middle school boy. The thing that supported Aichi's heart, was the ""Blaster Blade"" card that he received as a child. It's an important rare card from ""Vanguard"", a card game with the imaginary world of ""Planet Cray"" as its stage. From the day he reunited with the person who gave him that card ""Toshiki Kai"", Aichi's everyday life began to change. (Source: Crunchyroll)","['Sequel (TV) Cardfight!! Vanguard: Zoku Koukousei-hen', 'Adaptation (Manga) Cardfight!! Vanguard']",Cardfight!! Vanguard (2018),,,['Strategy Game'],
50,お前はまだグンマを知らない,You Don't Know Gunma Yet,You Don't Know Gunma Yet,You Don't Know Gunma Yet,You Don't Know Gunma Yet,['TV'],12,Finished Airing,"Apr 2, 2018 to Jun 18, 2018",['Spring 2018'],Mondays at 20:55 (JST),['TOHO animation'],"None found,",['Asahi Production'],['Web manga'],['Comedy'],,,3 min. per ep.,PG-13 - Teens 13 or older,5.26,#12774,#5812,"14,555",3,5503,"Nori Kamitsuki has recently moved to the Gunma prefecture from Chiba, following after Otoya Todoroki, a former friend who moved there in elementary school. While on the way there, he receives an ominous text message from Todoroki telling him to turn back and that once someone enters Gunma, they never return. Ignoring the message, As Kamitsuki goes about his school life and makes new friends. These people make it their mission to prove any negative stereotypes surrounding Gunma wrong and show Kamitsuki all the ways Gunma is different from the rest of Japan—from its local foods and landmarks, the changes to its daily school life, and even the attitude of the people who live there. Gunma is widely regarded as the least popular prefecture in Japan, but they clearly don't know Gunma yet! [Written by MAL Rewrite]","['Adaptation (Manga) Omae wa Mada Gunma wo Shiranai', '']",Omae wa Mada Gunma wo Shiranai,,,['School'],
51,美男高校地球防衛部HAPPY KISS!,Cute High Earth Defense Club HAPPY KISS!,Cute High Earth Defense Club Happy Kiss!,Cute High Earth Defense Club: Happy Kiss!,Cute High Earth Defense Club Happy Kiss!,['TV'],12,Finished Airing,"Apr 9, 2018 to Jul 2, 2018",['Spring 2018'],Mondays at 01:35 (JST),['Sotsu'],['Ponycan USA'],['Studio Comet'],Original,['Comedy'],"['Parody', 'School']",,24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7259,#6026,"13,229",38,3915,"In the northern Kanto area in Japan, there is Binan City… At Binan High School, as per usual, the “Earth Defense Club (lol)” was a club that did nothing. The club members Kyoutarou Shuzenji, Ryouma Kirishima, Nanao Wakura, Taishi Manza, and Ichiro Dogou nonchalantly enjoyed tea while having pointless conversations that amount to nothing. All of them have now gathered at Kurotama Bath after school. When Ryouma pulls Kyoutarou Shuzenji by his arm out of water that he claims feels too good, together with his towel comes a pretty boy in strange clothing. These five boys are then dragged into a battle for the heir of the magical kingdom, Honila Land... (Source: KA)","['Prequel (OVA) Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!', 'Sequel (Movie) Binan Koukou Chikyuu Bouei-bu Eternal Love!']",Binan Koukou Chikyuu Bouei-bu Happy Kiss!,,,,
52,アイカツフレンズ！,,,,,['TV'],50,Finished Airing,"Apr 5, 2018 to Mar 28, 2019",['Spring 2018'],Thursdays at 18:25 (JST),"['TV Tokyo', 'Dentsu', 'Echoes']","None found,",['Bandai Namco Pictures'],Game,['Slice of Life'],"['Idols (Female)', 'Music', 'School']",,24 min. per ep.,PG - Children,7.18,#3484,#6061,"12,993",72,4153,"Aine Yuuki, who is a regular student at Star Harmony Academy's normal division, meets Mio Minato from the idol division, who invites her to join Aikatsu to fulfill Aine's goal to make friends. She also befriends Maika Chōno and Ema Hinata who are also idols. Aine and Mio form a pair to become best friends to become the bright ""Diamond Friends"". Karen Kamishiro and Mirai Asuku are categorized as ""Diamond Friends"" and are in the Diamond Class! (Source: Wikipedia)","['Sequel (TV) Aikatsu Friends!: Kagayaki no Jewel', '']",Aikatsu Friends!,,,,
53,グラゼニ,Gurazeni: Money Pitch,Gurazeni: Money Pitch,Gurazeni: Money Pitch,Gurazeni: Money Pitch,['TV'],12,Finished Airing,"Apr 6, 2018 to Jun 22, 2018",['Spring 2018'],Fridays at 22:30 (JST),"['Kodansha', 'Ai Addiction', 'SKY PerfecTV!']","None found,",['Studio Deen'],['Manga'],['Sports'],"['Adult Cast', 'Team Sports']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.39,#7729,#6212,"12,249",15,5111,"This is the story of Natsunosuke Honda, a pro baseball player—a relief pitcher who has been playing pro in a team called Spiders for 8 years. The team operates as a highly-stratified society, where the player's performance determines his annual salary. Natsunosuke is one of the highest paid players in the game. He measures how good players are by how much money they make, and he intends to be on top and stay there, and as such is always looking for players to challenge and does everything to insure that he is better than they are. (Source: MAL News)","['Sequel (TV) Gurazeni Season 2', 'Adaptation (Manga) Gurazeni']",Gurazeni,,,,
54,蒼天の拳 REGENESIS,Fist of the Blue Sky: Regenesis,Fist of the Blue Sky: Regenesis,Fist of the Blue Sky: Regenesis,Souten no Ken,['TV'],12,Finished Airing,"Apr 10, 2018 to Jun 26, 2018",['Spring 2018'],Tuesdays at 00:30 (JST),['Souten no Ken'],['Ponycan USA'],['Polygon Pictures'],['Manga'],['Action'],"['Historical', 'Martial Arts']",['Seinen'],22 min. per ep.,R - 17+ (violence & profanity),5.67,#11540,#6316,"11,699",19,3553,"Long before Kenshiro said, ""You're already dead,"" a different Kenshiro walked the violent streets of Shanghai. The city is in constant crisis as two mafia families battle one another for supremacy. In the crossfire, a little girl named Erika is orphaned and soon taken under the wing of martial artist Liu Fei-Yan. Sorrow seems to follow the girl, as every time Fei-Yan attempts to hand her off, her new guardians end up dead. Fei-Yan decides to bring the girl to a man named Guise but instead crosses paths with powerful Kenshiro Kasumi. (Source: ANN)","['Prequel (TV) Souten no Ken', 'Sequel (TV) Souten no Ken: Regenesis 2nd Season', 'Adaptation (Manga) Souten no Ken: Regenesis', '']",Souten no Ken: Regenesis,"Souten no Ken 2, Fist of the Blue Sky: Regenesis",,,
55,信長の忍び~姉川・石山篇~,Ninja Girl & Samurai Master: Anegawa and Ishiyama Arc,Ninja Girl & Samurai Master Staffel 3,Nobunaga no Shinobi Temporada 3,Nobunaga no Shinobi Saison 3,['TV'],26,Finished Airing,"Apr 7, 2018 to Sep 29, 2018",['Spring 2018'],Saturdays at 01:35 (JST),"None found,","None found,",['TMS Entertainment'],['4-koma manga'],['Comedy'],,,3 min. per ep.,PG-13 - Teens 13 or older,7.10,#3920,#6870,"9,600",4,3861,Third season of the Nobunaga no Shinobi series.,"['Prequel (TV) Nobunaga no Shinobi: Ise Kanegasaki-hen', 'Adaptation (Manga) Nobunaga no Shinobi']",Nobunaga no Shinobi: Anegawa Ishiyama-hen,Ninja Girl & Samurai Master 3rd,,['Historical'],
56,若おかみは小学生！,Okko's Inn,,,,['TV'],24,Finished Airing,"Apr 8, 2018 to Sep 23, 2018",['Spring 2018'],Sundays at 07:14 (JST),"['TV Tokyo', 'Nihon Ad Systems', 'Kodansha', 'AT-X', 'GAGA', 'Techno Sound', 'NADA Holdings', 'Aeon Entertainment']","None found,","['Madhouse', 'DLE']",Novel,,,,12 min. per ep.,G - All Ages,6.64,#6256,#7374,"8,045",6,2128,"12-year-old Oriko Seki, who lost her parents in a car accident, ended up living in her grandmother's Onsen Ryokan ""Haru no Ya."" With the ghost ""Uribou"" cohabitating with her and all the other odds, she ended up training to be a young female innkeeper. At first, she didn't like the training, but gradually felt her admiration for her title and began to train seriously. Thus, the growth of the young warrior Oriko begins. (Source: MAL News)",[],Wakaokami wa Shougakusei!,,"['Comedy', 'Slice of Life', 'Supernatural']",,
57,キラッとプリ☆チャン,,,,,['TV'],51,Finished Airing,"Apr 8, 2018 to Mar 31, 2019",['Spring 2018'],Sundays at 10:00 (JST),['TV Tokyo'],['Crunchyroll'],"['Tatsunoko Production', 'Dongwoo A&E']",Game,['Slice of Life'],"['Idols (Female)', 'Music']",,24 min. per ep.,PG - Children,7.14,#3687,#7933,"6,744",47,1721,"First-year middle school girls Mirai Momoyama and Emo Moegi are two aspiring idols who decide to use the ""Pri☆Chan System,"" a system used by famous people and companies to broadcast content. Like many girls starting their own channels and uploading content, the pair decide to become their own producers, starting their own channel in an attempt to become Pri☆Chan idols. (Source: ANN)","['Sequel (TV) Kiratto Pri☆chan Season 2', '']",Kiratto Pri☆chan,Kiratto Pri-chan,,,
58,ぱすてるらいふ,,,,,['TV'],6,Finished Airing,"May 17, 2018 to Jun 21, 2018",['Spring 2018'],Unknown,"None found,","None found,",['Studio A-CAT'],Mixed media,['Slice of Life'],,,3 min. per ep.,PG-13 - Teens 13 or older,6.55,#6759,#8027,"6,509",10,3321,"A Nico Live broadcast of BanG Dream! franchise on Monday has announced a spin-off anime featuring one of the units in the franchise, Pastel*Palettes. Titled Pastel Life, the slice-of-life series is yet to announce its type and broadcast details. (Source: MAL News)",[],Pastel Life,,,['Music'],
59,レディスポ,,,,,['TV'],12,Finished Airing,"Apr 10, 2018 to Jun 26, 2018",['Spring 2018'],Tuesdays at 01:20 (JST),"['DAX Production', 'Quatre Stella', 'RME']","None found,",['Brio Animation'],Original,,,,4 min. per ep.,PG-13 - Teens 13 or older,3.00,#13840,#9058,"4,779",4,1375,"A science-fiction comedy where various pro sports bounty hunters fight each other in sporting events. The story centers on Arigetti, Korupi, and Sabina, three women in a team who participate in various sports.",[],Ladyspo,Lady Sports,"['Comedy', 'Sci-Fi', 'Sports']",['Team Sports'],
60,フューチャーカード バディファイト バッツ オールスターファイト,,,,,['TV'],8,Finished Airing,"Apr 7, 2018 to May 26, 2018",['Spring 2018'],Saturdays at 08:00 (JST),['Bushiroad'],"None found,","['Xebec', 'OLM']",Card game,,,,24 min. per ep.,PG - Children,6.79,#5414,#10477,"3,065",5,1452,The fifth season of Future Card Buddyfight.,"['Prequel (TV) Future Card Buddyfight Battsu', 'Sequel (TV) Future Card Shin Buddyfight']",Future Card Buddyfight Battsu: All-Star Fight,Future Card Buddyfight X: All-Star Fight,,['Strategy Game'],
